Tax_Reg_No,Bill To Address,Invoice Number,Item Code,Description,Value Column Name,Value
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30392","Invoice-D30392","Price","26564"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30392","Invoice-D30392","Quantity","55"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30392","Invoice-D30392","Unit Price","484"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27458","Invoice-D27458","Discount","55"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27458","Invoice-D27458","Price","10313"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27458","Invoice-D27458","Quantity","36"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27458","Invoice-D27458","Unit Price","288"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28436","Invoice-D28436","Discount","55"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28436","Invoice-D28436","Price","12125"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28436","Invoice-D28436","Quantity","42"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28436","Invoice-D28436","Unit Price","290"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46042","Invoice-D46042","Discount","54"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46042","Invoice-D46042","Price","8922"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46042","Invoice-D46042","Quantity","44"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46042","Invoice-D46042","Unit Price","204"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37304","Invoice-D37304","Discount","52"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37304","Invoice-D37304","Price","5864"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37304","Invoice-D37304","Quantity","58"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37304","Invoice-D37304","Unit Price","102"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43169","Invoice-D43169","Discount","49"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43169","Invoice-D43169","Price","7085"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43169","Invoice-D43169","Quantity","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43169","Invoice-D43169","Unit Price","174"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D22882","Invoice-D22882","Discount","47"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D22882","Invoice-D22882","Price","4153"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D22882","Invoice-D22882","Quantity","42"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D22882","Invoice-D22882","Unit Price","100"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33589","Invoice-D33589","Discount","44"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33589","Invoice-D33589","Price","21951"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33589","Invoice-D33589","Quantity","53"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33589","Invoice-D33589","Unit Price","415"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D48224","Invoice-D48224","Discount","44"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D48224","Invoice-D48224","Price","18954"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D48224","Invoice-D48224","Quantity","46"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D48224","Invoice-D48224","Unit Price","413"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D32436","Invoice-D32436","Discount","43"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D32436","Invoice-D32436","Price","6436"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D32436","Invoice-D32436","Quantity","31"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D32436","Invoice-D32436","Unit Price","209"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37183","Invoice-D37183","Discount","43"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37183","Invoice-D37183","Price","14891"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37183","Invoice-D37183","Quantity","38"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D37183","Invoice-D37183","Unit Price","393"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D47643","Invoice-D47643","Discount","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D47643","Invoice-D47643","Price","6679"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D47643","Invoice-D47643","Quantity","32"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D47643","Invoice-D47643","Unit Price","210"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49304","Invoice-D49304","Discount","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49304","Invoice-D49304","Price","23767"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49304","Invoice-D49304","Quantity","48"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49304","Invoice-D49304","Unit Price","496"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49806","Invoice-D49806","Discount","38"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49806","Invoice-D49806","Price","3775"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49806","Invoice-D49806","Quantity","31"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D49806","Invoice-D49806","Unit Price","123"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30106","Invoice-D30106","Discount","35"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30106","Invoice-D30106","Price","15873"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30106","Invoice-D30106","Quantity","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30106","Invoice-D30106","Unit Price","388"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D42519","Invoice-D42519","Discount","35"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D42519","Invoice-D42519","Price","21195"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D42519","Invoice-D42519","Quantity","55"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D42519","Invoice-D42519","Unit Price","386"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D19600","Invoice-D19600","Discount","33"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D19600","Invoice-D19600","Price","10191"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D19600","Invoice-D19600","Quantity","36"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D19600","Invoice-D19600","Unit Price","284"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D20086","Invoice-D20086","Discount","33"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D20086","Invoice-D20086","Price","19272"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D20086","Invoice-D20086","Quantity","45"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D20086","Invoice-D20086","Unit Price","429"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24071","Invoice-D24071","Discount","33"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24071","Invoice-D24071","Price","10047"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24071","Invoice-D24071","Quantity","30"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24071","Invoice-D24071","Unit Price","336"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28967","Invoice-D28967","Discount","31"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28967","Invoice-D28967","Price","13775"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28967","Invoice-D28967","Quantity","59"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D28967","Invoice-D28967","Unit Price","234"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D41443","Invoice-D41443","Discount","31"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D41443","Invoice-D41443","Price","6695"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D41443","Invoice-D41443","Quantity","57"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D41443","Invoice-D41443","Unit Price","118"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31852","Invoice-D31852","Discount","68"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31852","Invoice-D31852","Price","9219"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31852","Invoice-D31852","Quantity","37"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31852","Invoice-D31852","Unit Price","251"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D35869","Invoice-D35869","Discount","68"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D35869","Invoice-D35869","Price","19092"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D35869","Invoice-D35869","Quantity","40"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D35869","Invoice-D35869","Unit Price","479"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D40148","Invoice-D40148","Discount","68"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D40148","Invoice-D40148","Price","16045"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D40148","Invoice-D40148","Quantity","41"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D40148","Invoice-D40148","Unit Price","393"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34003","Invoice-D34003","Discount","66"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34003","Invoice-D34003","Price","4692"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34003","Invoice-D34003","Quantity","39"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34003","Invoice-D34003","Unit Price","122"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D14490","Invoice-D14490","Discount","65"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D14490","Invoice-D14490","Price","7495"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D14490","Invoice-D14490","Quantity","56"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D14490","Invoice-D14490","Unit Price","135"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D37764","Invoice-D37764","Discount","64"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D37764","Invoice-D37764","Price","12514"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D37764","Invoice-D37764","Quantity","38"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D37764","Invoice-D37764","Unit Price","331"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D13098","Invoice-D13098","Discount","63"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D13098","Invoice-D13098","Price","19717"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D13098","Invoice-D13098","Quantity","43"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D13098","Invoice-D13098","Unit Price","460"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D24527","Invoice-D24527","Discount","54"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D24527","Invoice-D24527","Price","9342"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D24527","Invoice-D24527","Quantity","58"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D24527","Invoice-D24527","Unit Price","162"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29424","Invoice-D29424","Discount","51"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29424","Invoice-D29424","Price","10695"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29424","Invoice-D29424","Quantity","54"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29424","Invoice-D29424","Unit Price","199"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29634","Invoice-D29634","Discount","50"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29634","Invoice-D29634","Price","17851"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29634","Invoice-D29634","Quantity","39"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D29634","Invoice-D29634","Unit Price","459"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31251","Invoice-D31251","Discount","49"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31251","Invoice-D31251","Price","14942"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31251","Invoice-D31251","Quantity","57"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D31251","Invoice-D31251","Unit Price","263"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23084","Invoice-D23084","Discount","48"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23084","Invoice-D23084","Price","21028"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23084","Invoice-D23084","Quantity","44"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23084","Invoice-D23084","Unit Price","479"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D43764","Invoice-D43764","Discount","47"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D43764","Invoice-D43764","Price","11433"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D43764","Invoice-D43764","Quantity","35"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D43764","Invoice-D43764","Unit Price","328"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49846","Invoice-D49846","Discount","47"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49846","Invoice-D49846","Price","6843"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49846","Invoice-D49846","Quantity","53"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49846","Invoice-D49846","Unit Price","130"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22956","Invoice-D22956","Discount","46"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22956","Invoice-D22956","Price","9026"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22956","Invoice-D22956","Quantity","36"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22956","Invoice-D22956","Unit Price","252"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23110","Invoice-D23110","Discount","46"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23110","Invoice-D23110","Price","15929"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23110","Invoice-D23110","Quantity","45"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23110","Invoice-D23110","Unit Price","355"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23662","Invoice-D23662","Discount","46"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23662","Invoice-D23662","Price","26442"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23662","Invoice-D23662","Quantity","56"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D23662","Invoice-D23662","Unit Price","473"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D41850","Invoice-D41850","Discount","45"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D41850","Invoice-D41850","Price","12304"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D41850","Invoice-D41850","Quantity","53"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D41850","Invoice-D41850","Unit Price","233"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D19401","Invoice-D19401","Discount","42"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D19401","Invoice-D19401","Price","18498"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D19401","Invoice-D19401","Quantity","60"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D19401","Invoice-D19401","Unit Price","309"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49666","Invoice-D49666","Discount","41"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49666","Invoice-D49666","Price","11332"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49666","Invoice-D49666","Quantity","51"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D49666","Invoice-D49666","Unit Price","223"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34103","Invoice-D34103","Discount","35"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34103","Invoice-D34103","Price","5575"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34103","Invoice-D34103","Quantity","33"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D34103","Invoice-D34103","Unit Price","170"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D26705","Invoice-D26705","Discount","32"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D26705","Invoice-D26705","Price","23439"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D26705","Invoice-D26705","Quantity","49"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D26705","Invoice-D26705","Unit Price","479"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22668","Invoice-D22668","Discount","30"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22668","Invoice-D22668","Price","16424"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22668","Invoice-D22668","Quantity","38"
"TX-100140","1684 Costa Mesa Orange County California United States","100140","D22668","Invoice-D22668","Unit Price","433"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D57546","Invoice-D57546","Discount","70"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D57546","Invoice-D57546","Price","6257"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D57546","Invoice-D57546","Quantity","57"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D57546","Invoice-D57546","Unit Price","111"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60005","Invoice-D60005","Discount","70"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60005","Invoice-D60005","Price","4809"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60005","Invoice-D60005","Quantity","41"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60005","Invoice-D60005","Unit Price","119"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D69389","Invoice-D69389","Discount","66"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D69389","Invoice-D69389","Price","14830"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D69389","Invoice-D69389","Quantity","56"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D69389","Invoice-D69389","Unit Price","266"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D75734","Invoice-D75734","Discount","65"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D75734","Invoice-D75734","Price","14065"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D75734","Invoice-D75734","Quantity","45"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D75734","Invoice-D75734","Unit Price","314"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63100","Invoice-D63100","Discount","57"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63100","Invoice-D63100","Price","17331"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63100","Invoice-D63100","Quantity","46"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63100","Invoice-D63100","Unit Price","378"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D70030","Invoice-D70030","Discount","57"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D70030","Invoice-D70030","Price","8259"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D70030","Invoice-D70030","Quantity","36"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D70030","Invoice-D70030","Unit Price","231"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D72732","Invoice-D72732","Discount","57"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D72732","Invoice-D72732","Price","7197"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D72732","Invoice-D72732","Quantity","39"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D72732","Invoice-D72732","Unit Price","186"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D76382","Invoice-D76382","Discount","54"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D76382","Invoice-D76382","Price","28389"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D76382","Invoice-D76382","Quantity","57"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D76382","Invoice-D76382","Unit Price","499"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63752","Invoice-D63752","Discount","51"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63752","Invoice-D63752","Price","19686"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63752","Invoice-D63752","Quantity","51"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D63752","Invoice-D63752","Unit Price","387"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D64512","Invoice-D64512","Discount","51"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D64512","Invoice-D64512","Price","18009"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D64512","Invoice-D64512","Quantity","60"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D64512","Invoice-D64512","Unit Price","301"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D62706","Invoice-D62706","Discount","50"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D62706","Invoice-D62706","Price","13418"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D62706","Invoice-D62706","Quantity","37"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D62706","Invoice-D62706","Unit Price","364"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D74485","Invoice-D74485","Discount","49"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D74485","Invoice-D74485","Price","7709"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D74485","Invoice-D74485","Quantity","18"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D74485","Invoice-D74485","Unit Price","431"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60766","Invoice-D60766","Discount","48"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60766","Invoice-D60766","Price","18610"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60766","Invoice-D60766","Quantity","38"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D60766","Invoice-D60766","Unit Price","491"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D66180","Invoice-D66180","Discount","43"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D66180","Invoice-D66180","Price","27097"
"TX-100150","335 Phoenix Maricopa County Arizona United States","100150","D66180","Invoice-D66180","Quantity","59"
