Orders.Region,Orders.Category,Orders.Sub-Category,Min(Orders.Ship Date),Sum(Orders.Sales),Sum(Orders.Profit)
West,Office Supplies,Fasteners,2014-02-05T18:30:00.000Z,923.2160000000002,275.1907
Central,Office Supplies,Envelopes,2014-03-31T18:30:00.000Z,4636.872000000001,1777.5282999999997
East,Office Supplies,Envelopes,2014-03-07T18:30:00.000Z,4375.874,1812.4089999999994
South,Office Supplies,Envelopes,2014-01-14T18:30:00.000Z,3345.5560000000014,1465.4769999999999
West,Office Supplies,Envelopes,2014-01-19T18:30:00.000Z,4118.1,1908.7623999999998
Central,Office Supplies,Appliances,2014-01-25T18:30:00.000Z,23650.842999999997,-2762.4755
East,Office Supplies,Appliances,2014-05-01T18:30:00.000Z,34188.466,8391.4134
South,Office Supplies,Appliances,2014-03-12T18:30:00.000Z,19525.325999999997,4123.939600000001
West,Office Supplies,Appliances,2014-01-20T18:30:00.000Z,30236.335999999978,8261.269900000001
Central,Office Supplies,Supplies,2014-09-18T18:30:00.000Z,9467.372000000003,-661.8881000000002
East,Office Supplies,Supplies,2014-03-07T18:30:00.000Z,10760.115999999998,-1155.1351999999997
South,Office Supplies,Supplies,2014-04-08T18:30:00.000Z,8318.928,1.877300000000048
West,Office Supplies,Supplies,2014-02-17T18:30:00.000Z,18127.122,626.0464999999994
Central,Furniture,Chairs,2014-02-14T18:30:00.000Z,85230.64599999994,6592.722100000003
East,Furniture,Chairs,2014-03-31T18:30:00.000Z,96260.683,9357.77059999999
South,Furniture,Chairs,2014-01-09T18:30:00.000Z,45176.445999999974,6612.0893000000015
West,Furniture,Chairs,2014-02-17T18:30:00.000Z,101781.32799999994,4027.584299999993
Central,Furniture,Furnishings,2014-01-11T18:30:00.000Z,15254.369999999979,-3906.2168000000006
East,Furniture,Furnishings,2014-01-13T18:30:00.000Z,29071.37999999999,5881.4071
South,Furniture,Furnishings,2014-01-14T18:30:00.000Z,17306.68400000001,3442.6829000000007
West,Furniture,Furnishings,2014-01-24T18:30:00.000Z,30072.72999999998,7641.270400000003
Central,Furniture,Bookcases,2014-01-28T18:30:00.000Z,24157.176799999994,-1997.9043000000006
East,Furniture,Bookcases,2014-01-14T18:30:00.000Z,43819.33399999997,-1167.6318000000008
South,Furniture,Bookcases,2014-08-09T18:30:00.000Z,10899.361999999997,1339.4917999999996
West,Furniture,Bookcases,2014-01-17T18:30:00.000Z,36004.1235,-1646.5117000000016
Central,Furniture,Tables,2014-03-06T18:30:00.000Z,39154.97099999998,-3559.6504000000027
East,Furniture,Tables,2014-03-20T18:30:00.000Z,39139.80699999999,-11025.380100000006
South,Furniture,Tables,2014-02-14T18:30:00.000Z,43916.19199999999,-4623.0579000000025
West,Furniture,Tables,2014-02-01T18:30:00.000Z,84754.562,1482.6072999999951
Central,Technology,Phones,2014-03-31T18:30:00.000Z,72403.28199999996,12323.026700000004
East,Technology,Phones,2014-01-17T18:30:00.000Z,100614.98200000008,12314.685999999994
South,Technology,Phones,2014-01-09T18:30:00.000Z,58304.43799999998,10767.275300000007
West,Technology,Phones,2014-03-25T18:30:00.000Z,99595.77600000003,9179.099400000003
Central,Technology,Accessories,2014-01-12T18:30:00.000Z,33956.07600000001,7251.630600000004
East,Technology,Accessories,2014-02-11T18:30:00.000Z,45033.37199999999,11195.8644
South,Technology,Accessories,2014-01-14T18:30:00.000Z,27276.753999999983,7004.542399999999
West,Technology,Accessories,2014-02-17T18:30:00.000Z,61114.11600000001,16484.598299999994
Central,Technology,Machines,2014-03-16T18:30:00.000Z,26797.384,-1486.0666000000037
East,Technology,Machines,2014-06-22T18:30:00.000Z,66106.165,6928.642899999998
South,Technology,Machines,2014-03-22T18:30:00.000Z,53890.96,-1438.8930000000028
West,Technology,Machines,2014-03-23T18:30:00.000Z,42444.122,-618.9264000000023
Central,Technology,Copiers,2014-06-02T18:30:00.000Z,37259.57,15608.841299999996
East,Technology,Copiers,2014-05-09T18:30:00.000Z,53219.46199999999,17022.841799999995
South,Technology,Copiers,2014-05-03T18:30:00.000Z,9299.756000000001,3658.9067
West,Technology,Copiers,2014-08-14T18:30:00.000Z,49749.24199999999,19327.235099999998
