Category,Sub-Category,Value Column Name,Value
"Office Supplies","Art","Formula Measure","-24118.791999999998"
"Office Supplies","Art","Static Measure","2563"
"Office Supplies","Art","Rank of Profit","6"
"Office Supplies","Art","Overall Rank of Profit","11"
"Office Supplies","Labels","Sales","12486.312000000005"
"Office Supplies","Labels","Profit","5546.253999999996"
"Office Supplies","Labels","Quantity","1400"
"Office Supplies","Labels","Discount","25"
"Office Supplies","Labels","Discount - Sales","-12461.312000000005"
"Office Supplies","Labels","(Discount - Sales)%","-0.9979978075191458"
"Office Supplies","Labels","Discount - Profit","-5521.253999999996"
"Office Supplies","Labels","(Discount - Profit)%","-0.9954924531043836"
"Office Supplies","Labels","Discount - Quantity","-1375"
"Office Supplies","Labels","(Discount - Quantity)%","-0.9821428571428571"
"Office Supplies","Labels","Profit - Sales","-6940.058000000009"
"Office Supplies","Labels","(Profit - Sales)%","-0.5558132777716916"
"Office Supplies","Labels","Quantity - Sales","-11086.312000000005"
"Office Supplies","Labels","(Quantity - Sales)%","-0.8878772210721629"
"Office Supplies","Labels","Quantity - Profit","-4146.253999999996"
"Office Supplies","Labels","(Quantity - Profit)%","-0.7475773738454818"
"Office Supplies","Labels","Formula Measure","-11086.312000000005"
"Office Supplies","Labels","Static Measure","22"
"Office Supplies","Labels","Rank of Profit","7"
"Office Supplies","Labels","Overall Rank of Profit","12"
"Office Supplies","Envelopes","Sales","16476.402"
"Office Supplies","Envelopes","Profit","6964.176699999995"
"Office Supplies","Envelopes","Quantity","906"
"Office Supplies","Envelopes","Discount","20.4"
"Office Supplies","Envelopes","Discount - Sales","-16456.001999999997"
"Office Supplies","Envelopes","(Discount - Sales)%","-0.998761865606338"
"Office Supplies","Envelopes","Discount - Profit","-6943.776699999996"
"Office Supplies","Envelopes","(Discount - Profit)%","-0.9970707233778259"
"Office Supplies","Envelopes","Discount - Quantity","-885.6"
"Office Supplies","Envelopes","(Discount - Quantity)%","-0.9774834437086093"
"Office Supplies","Envelopes","Profit - Sales","-9512.225300000002"
"Office Supplies","Envelopes","(Profit - Sales)%","-0.5773241815779927"
"Office Supplies","Envelopes","Quantity - Sales","-15570.401999999998"
"Office Supplies","Envelopes","(Quantity - Sales)%","-0.9450122666344266"
"Office Supplies","Envelopes","Quantity - Profit","-6058.176699999995"
"Office Supplies","Envelopes","(Quantity - Profit)%","-0.8699056558975592"
"Office Supplies","Envelopes","Formula Measure","-15570.401999999998"
"Office Supplies","Envelopes","Static Measure","112"
"Office Supplies","Envelopes","Rank of Profit","5"
"Office Supplies","Envelopes","Overall Rank of Profit","10"
"Office Supplies","Fasteners","Sales","3024.2799999999997"
"Office Supplies","Fasteners","Profit","949.5181999999995"
"Office Supplies","Fasteners","Quantity","914"
"Office Supplies","Fasteners","Discount","17.8"
"Office Supplies","Fasteners","Discount - Sales","-3006.4799999999996"
"Office Supplies","Fasteners","(Discount - Sales)%","-0.9941143015858319"
"Office Supplies","Fasteners","Discount - Profit","-931.7181999999996"
"Office Supplies","Fasteners","(Discount - Profit)%","-0.9812536505356085"
"Office Supplies","Fasteners","Discount - Quantity","-896.2"
"Office Supplies","Fasteners","(Discount - Quantity)%","-0.9805251641137857"
"Office Supplies","Fasteners","Profit - Sales","-2074.7618"
"Office Supplies","Fasteners","(Profit - Sales)%","-0.6860349570806937"
"Office Supplies","Fasteners","Quantity - Sales","-2110.2799999999997"
"Office Supplies","Fasteners","(Quantity - Sales)%","-0.6977793061489015"
"Office Supplies","Fasteners","Quantity - Profit","-35.518199999999524"
"Office Supplies","Fasteners","(Quantity - Profit)%","-0.03740654997450238"
"Office Supplies","Fasteners","Formula Measure","-2110.2799999999997"
"Office Supplies","Fasteners","Static Measure","100"
"Office Supplies","Fasteners","Rank of Profit","8"
"Office Supplies","Fasteners","Overall Rank of Profit","14"
"Office Supplies","Supplies","Sales","46673.53799999997"
"Office Supplies","Supplies","Profit","-1189.0994999999998"
"Office Supplies","Supplies","Quantity","647"
"Office Supplies","Supplies","Discount","14.600000000000001"
"Office Supplies","Supplies","Discount - Sales","-46658.93799999997"
"Office Supplies","Supplies","(Discount - Sales)%","-0.9996871889163406"
"Office Supplies","Supplies","Discount - Profit","1203.6994999999997"
"Office Supplies","Supplies","(Discount - Profit)%","1.0122781987546037"
"Office Supplies","Supplies","Discount - Quantity","-632.4"
"Office Supplies","Supplies","(Discount - Quantity)%","-0.9774343122102009"
"Office Supplies","Supplies","Profit - Sales","-47862.63749999997"
"Office Supplies","Supplies","(Profit - Sales)%","-1.0254769522721847"
"Office Supplies","Supplies","Quantity - Sales","-46026.53799999997"
"Office Supplies","Supplies","(Quantity - Sales)%","-0.9861377554022153"
"Office Supplies","Supplies","Quantity - Profit","1836.0994999999998"
"Office Supplies","Supplies","(Quantity - Profit)%","1.544109218782785"
"Office Supplies","Supplies","Formula Measure","-46026.53799999997"
"Office Supplies","Supplies","Static Measure",
"Office Supplies","Supplies","Rank of Profit","9"
"Office Supplies","Supplies","Overall Rank of Profit","15"
"Furniture","Furnishings","Sales","91705.16399999989"
"Furniture","Furnishings","Profit","13059.143600000005"
"Furniture","Furnishings","Quantity","3563"
"Furniture","Furnishings","Discount","132.39999999999938"
"Furniture","Furnishings","Discount - Sales","-91572.7639999999"
"Furniture","Furnishings","(Discount - Sales)%","-0.9985562426997023"
"Furniture","Furnishings","Discount - Profit","-12926.743600000005"
"Furniture","Furnishings","(Discount - Profit)%","-0.9898615097547439"
"Furniture","Furnishings","Discount - Quantity","-3430.600000000001"
"Furniture","Furnishings","(Discount - Quantity)%","-0.9628403031153525"
"Furniture","Furnishings","Profit - Sales","-78646.02039999988"
"Furniture","Furnishings","(Profit - Sales)%","-0.8575964206334113"
"Furniture","Furnishings","Quantity - Sales","-88142.16399999989"
"Furniture","Furnishings","(Quantity - Sales)%","-0.9611472261256737"
"Furniture","Furnishings","Quantity - Profit","-9496.143600000005"
"Furniture","Furnishings","(Quantity - Profit)%","-0.727164344834986"
"Furniture","Furnishings","Formula Measure","-88142.16399999989"
"Furniture","Furnishings","Static Measure","-25"
"Furniture","Furnishings","Rank of Profit","2"
"Furniture","Furnishings","Overall Rank of Profit","9"
"Furniture","Chairs","Sales","328449.10300000064"
"Furniture","Chairs","Profit","26590.16630000003"
"Furniture","Chairs","Quantity","2356"
"Furniture","Chairs","Discount","104.99999999999945"
"Furniture","Chairs","Discount - Sales","-328344.10300000064"
"Furniture","Chairs","(Discount - Sales)%","-0.9996803157656972"
"Furniture","Chairs","Discount - Profit","-26485.16630000003"
"Furniture","Chairs","(Discount - Profit)%","-0.9960511717446461"
"Furniture","Chairs","Discount - Quantity","-2251.0000000000005"
"Furniture","Chairs","(Discount - Quantity)%","-0.955432937181664"
"Furniture","Chairs","Profit - Sales","-301858.9367000006"
"Furniture","Chairs","(Profit - Sales)%","-0.9190432671085724"
"Furniture","Chairs","Quantity - Sales","-326093.10300000064"
"Furniture","Chairs","(Quantity - Sales)%","-0.9928268947045961"
"Furniture","Chairs","Quantity - Profit","-24234.16630000003"
"Furniture","Chairs","(Quantity - Profit)%","-0.911395815527487"
"Furniture","Chairs","Formula Measure","-326093.10300000064"
"Furniture","Chairs","Static Measure","-124"
"Furniture","Chairs","Rank of Profit","1"
"Furniture","Chairs","Overall Rank of Profit","6"
"Furniture","Tables","Sales","206965.53199999995"
"Furniture","Tables","Profit","-17725.481100000015"
"Furniture","Tables","Quantity","1241"
"Furniture","Tables","Discount","83.34999999999991"
"Furniture","Tables","Discount - Sales","-206882.18199999994"
"Furniture","Tables","(Discount - Sales)%","-0.9995972759367487"
"Furniture","Tables","Discount - Profit","17808.831100000014"
"Furniture","Tables","(Discount - Profit)%","1.0047022701121493"
"Furniture","Tables","Discount - Quantity","-1157.65"
"Furniture","Tables","(Discount - Quantity)%","-0.932836422240129"
"Furniture","Tables","Profit - Sales","-224691.01309999995"
"Furniture","Tables","(Profit - Sales)%","-1.0856446043392385"
"Furniture","Tables","Quantity - Sales","-205724.53199999995"
"Furniture","Tables","(Quantity - Sales)%","-0.9940038324835654"
"Furniture","Tables","Quantity - Profit","18966.481100000015"
"Furniture","Tables","(Quantity - Profit)%","1.0700122040693156"
"Furniture","Tables","Formula Measure","-205724.53199999995"
"Furniture","Tables","Static Measure",
"Furniture","Tables","Rank of Profit","4"
"Furniture","Tables","Overall Rank of Profit","17"
"Furniture","Bookcases","Sales","114879.9963"
"Furniture","Bookcases","Profit","-3472.5560000000046"
"Furniture","Bookcases","Quantity","868"
"Furniture","Bookcases","Discount","48.13999999999997"
"Furniture","Bookcases","Discount - Sales","-114831.8563"
"Furniture","Bookcases","(Discount - Sales)%","-0.9995809540255007"
"Furniture","Bookcases","Discount - Profit","3520.6960000000045"
"Furniture","Bookcases","(Discount - Profit)%","1.0138629873787492"
"Furniture","Bookcases","Discount - Quantity","-819.86"
"Furniture","Bookcases","(Discount - Quantity)%","-0.9445391705069125"
"Furniture","Bookcases","Profit - Sales","-118352.55230000001"
"Furniture","Bookcases","(Profit - Sales)%","-1.0302276820320546"
"Furniture","Bookcases","Quantity - Sales","-114011.9963"
"Furniture","Bookcases","(Quantity - Sales)%","-0.9924442894502427"
"Furniture","Bookcases","Quantity - Profit","4340.556000000004"
"Furniture","Bookcases","(Quantity - Profit)%","1.2499599718478258"
"Furniture","Bookcases","Formula Measure","-114011.9963"
"Furniture","Bookcases","Static Measure",
"Furniture","Bookcases","Rank of Profit","3"
"Furniture","Bookcases","Overall Rank of Profit","16"
"Technology","Phones","Sales","330007.0539999998"
"Technology","Phones","Profit","44515.73059999999"
"Technology","Phones","Quantity","3289"
"Technology","Phones","Discount","137.4000000000009"
"Technology","Phones","Discount - Sales","-329869.6539999998"
"Technology","Phones","(Discount - Sales)%","-0.9995836452635342"
"Technology","Phones","Discount - Profit","-44378.33059999999"
"Technology","Phones","(Discount - Profit)%","-0.9969134506353581"
"Technology","Phones","Discount - Quantity","-3151.599999999999"
"Technology","Phones","(Discount - Quantity)%","-0.9582243843113405"
"Technology","Phones","Profit - Sales","-285491.3233999998"
"Technology","Phones","(Profit - Sales)%","-0.8651067301125024"
"Technology","Phones","Quantity - Sales","-326718.0539999998"
"Technology","Phones","(Quantity - Sales)%","-0.9900335463738298"
"Technology","Phones","Quantity - Profit","-41226.73059999999"
"Technology","Phones","(Quantity - Profit)%","-0.9261160053834991"
"Technology","Phones","Formula Measure","-326718.0539999998"
"Technology","Phones","Static Measure",
"Technology","Phones","Rank of Profit","2"
"Technology","Phones","Overall Rank of Profit","2"
"Technology","Accessories","Sales","167380.318"
"Technology","Accessories","Profit","41936.635699999955"
"Technology","Accessories","Quantity","2976"
"Technology","Accessories","Discount","60.800000000000004"
"Technology","Accessories","Discount - Sales","-167319.518"
"Technology","Accessories","(Discount - Sales)%","-0.9996367553800443"
"Technology","Accessories","Discount - Profit","-41875.83569999995"
"Technology","Accessories","(Discount - Profit)%","-0.9985501936675383"
"Technology","Accessories","Discount - Quantity","-2915.2"
"Technology","Accessories","(Discount - Quantity)%","-0.9795698924731182"
"Technology","Accessories","Profit - Sales","-125443.68230000004"
"Technology","Accessories","(Profit - Sales)%","-0.7494530049823424"
"Technology","Accessories","Quantity - Sales","-164404.318"
"Technology","Accessories","(Quantity - Sales)%","-0.9822201317600555"
"Technology","Accessories","Quantity - Profit","-38960.635699999955"
"Technology","Accessories","(Quantity - Profit)%","-0.9290357953058213"
"Technology","Accessories","Formula Measure","-164404.318"
"Technology","Accessories","Static Measure",
"Technology","Accessories","Rank of Profit","3"
"Technology","Accessories","Overall Rank of Profit","3"
"Technology","Machines","Sales","189238.631"
"Technology","Machines","Profit","3384.756899999995"
"Technology","Machines","Quantity","440"
"Technology","Machines","Discount","35.199999999999974"
"Technology","Machines","Discount - Sales","-189203.43099999998"
"Technology","Machines","(Discount - Sales)%","-0.9998139914677356"
"Technology","Machines","Discount - Profit","-3349.556899999995"
"Technology","Machines","(Discount - Profit)%","-0.9896004348200015"
"Technology","Machines","Discount - Quantity","-404.8"
"Technology","Machines","(Discount - Quantity)%","-0.92"
"Technology","Machines","Profit - Sales","-185853.8741"
"Technology","Machines","(Profit - Sales)%","-0.9821138163909038"
"Technology","Machines","Quantity - Sales","-188798.631"
"Technology","Machines","(Quantity - Sales)%","-0.9976748933466972"
"Technology","Machines","Quantity - Profit","-2944.756899999995"
"Technology","Machines","(Quantity - Profit)%","-0.8700054352500173"
"Technology","Machines","Formula Measure","-188798.631"
"Technology","Machines","Static Measure",
"Technology","Machines","Rank of Profit","4"
"Technology","Machines","Overall Rank of Profit","13"
"Technology","Copiers","Sales","149528.02999999994"
"Technology","Copiers","Profit","55617.824900000036"
"Technology","Copiers","Quantity","234"
"Technology","Copiers","Discount","11.000000000000007"
"Technology","Copiers","Discount - Sales","-149517.02999999994"
"Technology","Copiers","(Discount - Sales)%","-0.9999264351974676"
"Technology","Copiers","Discount - Profit","-55606.824900000036"
"Technology","Copiers","(Discount - Profit)%","-0.9998022216794744"
"Technology","Copiers","Discount - Quantity","-223"
"Technology","Copiers","(Discount - Quantity)%","-0.9529914529914529"
"Technology","Copiers","Profit - Sales","-93910.2050999999"
"Technology","Copiers","(Profit - Sales)%","-0.6280441539957421"
"Technology","Copiers","Quantity - Sales","-149294.02999999994"
"Technology","Copiers","(Quantity - Sales)%","-0.9984350760188575"
"Technology","Copiers","Quantity - Profit","-55383.824900000036"
"Technology","Copiers","(Quantity - Profit)%","-0.9957927157270042"
"Technology","Copiers","Formula Measure","-149294.02999999994"
"Technology","Copiers","Static Measure",
"Technology","Copiers","Rank of Profit","1"
"Technology","Copiers","Overall Rank of Profit","1"
