Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
July,Qtr 3,Central,Baytown,,
August,Qtr 3,Central,Baytown,,
September,Qtr 3,Central,Baytown,,
October,Qtr 4,Central,Baytown,,
November,Qtr 4,Central,Baytown,,
December,Qtr 4,Central,Baytown,,
January,Qtr 1,Central,Beaumont,,
February,Qtr 1,Central,Beaumont,,
March,Qtr 1,Central,Beaumont,2,0.9575999999999993
April,Qtr 2,Central,Beaumont,,
May,Qtr 2,Central,Beaumont,,
June,Qtr 2,Central,Beaumont,,
July,Qtr 3,Central,Beaumont,,
August,Qtr 3,Central,Beaumont,,
September,Qtr 3,Central,Beaumont,,
October,Qtr 4,Central,Beaumont,8,-35.24440000000003
November,Qtr 4,Central,Beaumont,,
December,Qtr 4,Central,Beaumont,11,93.40320000000001
January,Qtr 1,Central,Bedford,,
February,Qtr 1,Central,Bedford,,
March,Qtr 1,Central,Bedford,,
April,Qtr 2,Central,Bedford,,
May,Qtr 2,Central,Bedford,,
June,Qtr 2,Central,Bedford,,
July,Qtr 3,Central,Bedford,,
August,Qtr 3,Central,Bedford,21,3.8081999999999887
September,Qtr 3,Central,Bedford,4,6.811999999999999
October,Qtr 4,Central,Bedford,,
November,Qtr 4,Central,Bedford,,
December,Qtr 4,Central,Bedford,,
January,Qtr 1,Central,Bloomington,,
February,Qtr 1,Central,Bloomington,,
March,Qtr 1,Central,Bloomington,3,37.757999999999996
April,Qtr 2,Central,Bloomington,5,15.552000000000001
May,Qtr 2,Central,Bloomington,,
June,Qtr 2,Central,Bloomington,,
July,Qtr 3,Central,Bloomington,,
August,Qtr 3,Central,Bloomington,3,7.465499999999999
September,Qtr 3,Central,Bloomington,9,-385.93050000000017
October,Qtr 4,Central,Bloomington,4,-7.764000000000001
November,Qtr 4,Central,Bloomington,24,113.14539999999998
December,Qtr 4,Central,Bloomington,10,-29.5814
January,Qtr 1,Central,Bolingbrook,,
February,Qtr 1,Central,Bolingbrook,,
March,Qtr 1,Central,Bolingbrook,,
April,Qtr 2,Central,Bolingbrook,,
May,Qtr 2,Central,Bolingbrook,,
June,Qtr 2,Central,Bolingbrook,,
July,Qtr 3,Central,Bolingbrook,2,16.703999999999986
August,Qtr 3,Central,Bolingbrook,16,-4.898000000000005
September,Qtr 3,Central,Bolingbrook,,
October,Qtr 4,Central,Bolingbrook,,
November,Qtr 4,Central,Bolingbrook,5,-16.467000000000002
December,Qtr 4,Central,Bolingbrook,,
January,Qtr 1,Central,Broken Arrow,9,355.773
February,Qtr 1,Central,Broken Arrow,,
March,Qtr 1,Central,Broken Arrow,,
April,Qtr 2,Central,Broken Arrow,,
May,Qtr 2,Central,Broken Arrow,,
June,Qtr 2,Central,Broken Arrow,,
July,Qtr 3,Central,Broken Arrow,,
August,Qtr 3,Central,Broken Arrow,,
September,Qtr 3,Central,Broken Arrow,8,219.74960000000002
October,Qtr 4,Central,Broken Arrow,,
November,Qtr 4,Central,Broken Arrow,,
December,Qtr 4,Central,Broken Arrow,,
January,Qtr 1,Central,Brownsville,,
February,Qtr 1,Central,Brownsville,,
March,Qtr 1,Central,Brownsville,,
April,Qtr 2,Central,Brownsville,19,192.39289999999997
May,Qtr 2,Central,Brownsville,,
June,Qtr 2,Central,Brownsville,,
July,Qtr 3,Central,Brownsville,,
August,Qtr 3,Central,Brownsville,,
September,Qtr 3,Central,Brownsville,1,-0.34880000000000033
October,Qtr 4,Central,Brownsville,,
November,Qtr 4,Central,Brownsville,2,-14.458800000000025
December,Qtr 4,Central,Brownsville,5,24.486699999999985
January,Qtr 1,Central,Bryan,,
February,Qtr 1,Central,Bryan,,
March,Qtr 1,Central,Bryan,12,-179.2486
April,Qtr 2,Central,Bryan,,
May,Qtr 2,Central,Bryan,,
June,Qtr 2,Central,Bryan,,
July,Qtr 3,Central,Bryan,,
August,Qtr 3,Central,Bryan,,
September,Qtr 3,Central,Bryan,,
October,Qtr 4,Central,Bryan,,
November,Qtr 4,Central,Bryan,15,-34.46300000000001
December,Qtr 4,Central,Bryan,,
January,Qtr 1,Central,Buffalo Grove,,
February,Qtr 1,Central,Buffalo Grove,,
March,Qtr 1,Central,Buffalo Grove,,
April,Qtr 2,Central,Buffalo Grove,,
May,Qtr 2,Central,Buffalo Grove,,
June,Qtr 2,Central,Buffalo Grove,3,-184.83660000000003
July,Qtr 3,Central,Buffalo Grove,,
August,Qtr 3,Central,Buffalo Grove,,
September,Qtr 3,Central,Buffalo Grove,7,95.18879999999997
October,Qtr 4,Central,Buffalo Grove,,
November,Qtr 4,Central,Buffalo Grove,,
December,Qtr 4,Central,Buffalo Grove,,
January,Qtr 1,Central,Burlington,5,20.584999999999994
February,Qtr 1,Central,Burlington,,
March,Qtr 1,Central,Burlington,,
April,Qtr 2,Central,Burlington,,
May,Qtr 2,Central,Burlington,,
June,Qtr 2,Central,Burlington,,
July,Qtr 3,Central,Burlington,,
August,Qtr 3,Central,Burlington,,
September,Qtr 3,Central,Burlington,,
October,Qtr 4,Central,Burlington,,
November,Qtr 4,Central,Burlington,,
December,Qtr 4,Central,Burlington,4,6.0864
January,Qtr 1,Central,Canton,,
February,Qtr 1,Central,Canton,,
March,Qtr 1,Central,Canton,,
April,Qtr 2,Central,Canton,,
May,Qtr 2,Central,Canton,,
June,Qtr 2,Central,Canton,,
July,Qtr 3,Central,Canton,,
August,Qtr 3,Central,Canton,,
September,Qtr 3,Central,Canton,,
October,Qtr 4,Central,Canton,,
November,Qtr 4,Central,Canton,13,149.2776
December,Qtr 4,Central,Canton,,
January,Qtr 1,Central,Carol Stream,,
February,Qtr 1,Central,Carol Stream,,
March,Qtr 1,Central,Carol Stream,,
April,Qtr 2,Central,Carol Stream,,
May,Qtr 2,Central,Carol Stream,,
June,Qtr 2,Central,Carol Stream,,
July,Qtr 3,Central,Carol Stream,18,-39.86830000000013
August,Qtr 3,Central,Carol Stream,,
September,Qtr 3,Central,Carol Stream,,
October,Qtr 4,Central,Carol Stream,,
November,Qtr 4,Central,Carol Stream,,
December,Qtr 4,Central,Carol Stream,,
January,Qtr 1,Central,Carrollton,,
February,Qtr 1,Central,Carrollton,1,-2.9940000000000015
March,Qtr 1,Central,Carrollton,11,1.7347999999999972
April,Qtr 2,Central,Carrollton,6,-564.9804000000003
May,Qtr 2,Central,Carrollton,,
June,Qtr 2,Central,Carrollton,6,30.020000000000003
July,Qtr 3,Central,Carrollton,,
August,Qtr 3,Central,Carrollton,10,46.857300000000016
September,Qtr 3,Central,Carrollton,,
October,Qtr 4,Central,Carrollton,,
November,Qtr 4,Central,Carrollton,16,19.148399999999995
December,Qtr 4,Central,Carrollton,,
January,Qtr 1,Central,Cedar Hill,,
February,Qtr 1,Central,Cedar Hill,,
March,Qtr 1,Central,Cedar Hill,,
April,Qtr 2,Central,Cedar Hill,,
May,Qtr 2,Central,Cedar Hill,,
June,Qtr 2,Central,Cedar Hill,,
July,Qtr 3,Central,Cedar Hill,,
August,Qtr 3,Central,Cedar Hill,3,40.353599999999986
September,Qtr 3,Central,Cedar Hill,,
October,Qtr 4,Central,Cedar Hill,,
November,Qtr 4,Central,Cedar Hill,3,2.477999999999999
December,Qtr 4,Central,Cedar Hill,,
January,Qtr 1,Central,Cedar Rapids,,
February,Qtr 1,Central,Cedar Rapids,,
March,Qtr 1,Central,Cedar Rapids,,
April,Qtr 2,Central,Cedar Rapids,,
May,Qtr 2,Central,Cedar Rapids,,
June,Qtr 2,Central,Cedar Rapids,,
July,Qtr 3,Central,Cedar Rapids,,
August,Qtr 3,Central,Cedar Rapids,,
September,Qtr 3,Central,Cedar Rapids,3,80.73599999999998
October,Qtr 4,Central,Cedar Rapids,,
November,Qtr 4,Central,Cedar Rapids,,
December,Qtr 4,Central,Cedar Rapids,,
January,Qtr 1,Central,Champaign,,
February,Qtr 1,Central,Champaign,,
March,Qtr 1,Central,Champaign,,
April,Qtr 2,Central,Champaign,,
May,Qtr 2,Central,Champaign,,
June,Qtr 2,Central,Champaign,,
July,Qtr 3,Central,Champaign,,
August,Qtr 3,Central,Champaign,,
September,Qtr 3,Central,Champaign,,
October,Qtr 4,Central,Champaign,,
November,Qtr 4,Central,Champaign,,
December,Qtr 4,Central,Champaign,5,-182.35200000000003
January,Qtr 1,Central,Chicago,21,-42.310199999999995
February,Qtr 1,Central,Chicago,49,-295.7201000000001
March,Qtr 1,Central,Chicago,71,-296.26789999999994
April,Qtr 2,Central,Chicago,98,-312.62910000000005
May,Qtr 2,Central,Chicago,128,-188.73040000000026
June,Qtr 2,Central,Chicago,121,-801.9694
July,Qtr 3,Central,Chicago,90,-109.13220000000032
August,Qtr 3,Central,Chicago,14,14.354199999999985
September,Qtr 3,Central,Chicago,182,-1591.2605000000005
October,Qtr 4,Central,Chicago,89,436.7064999999995
November,Qtr 4,Central,Chicago,122,-214.40450000000013
December,Qtr 4,Central,Chicago,147,-3253.205200000001
January,Qtr 1,Central,College Station,,
February,Qtr 1,Central,College Station,,
March,Qtr 1,Central,College Station,,
April,Qtr 2,Central,College Station,,
May,Qtr 2,Central,College Station,,
June,Qtr 2,Central,College Station,,
July,Qtr 3,Central,College Station,,
August,Qtr 3,Central,College Station,,
September,Qtr 3,Central,College Station,,
October,Qtr 4,Central,College Station,,
November,Qtr 4,Central,College Station,3,-53.270399999999995
December,Qtr 4,Central,College Station,16,-64.352
January,Qtr 1,Central,Columbia,14,27.735400000000002
February,Qtr 1,Central,Columbia,14,106.79109999999999
March,Qtr 1,Central,Columbia,,
April,Qtr 2,Central,Columbia,,
May,Qtr 2,Central,Columbia,,
June,Qtr 2,Central,Columbia,,
July,Qtr 3,Central,Columbia,,
August,Qtr 3,Central,Columbia,,
September,Qtr 3,Central,Columbia,,
October,Qtr 4,Central,Columbia,10,972.2454000000001
November,Qtr 4,Central,Columbia,,
December,Qtr 4,Central,Columbia,,
January,Qtr 1,Central,Columbus,2,56.510999999999996
February,Qtr 1,Central,Columbus,,
March,Qtr 1,Central,Columbus,1,1.3677
April,Qtr 2,Central,Columbus,,
May,Qtr 2,Central,Columbus,13,754.7022
June,Qtr 2,Central,Columbus,9,154.39780000000002
July,Qtr 3,Central,Columbus,,
August,Qtr 3,Central,Columbus,17,438.6804000000001
September,Qtr 3,Central,Columbus,23,433.1956
October,Qtr 4,Central,Columbus,,
November,Qtr 4,Central,Columbus,22,281.9993999999999
December,Qtr 4,Central,Columbus,27,401.6305
January,Qtr 1,Central,Conroe,,
February,Qtr 1,Central,Conroe,,
March,Qtr 1,Central,Conroe,,
April,Qtr 2,Central,Conroe,,
May,Qtr 2,Central,Conroe,,
June,Qtr 2,Central,Conroe,,
July,Qtr 3,Central,Conroe,,
August,Qtr 3,Central,Conroe,,
September,Qtr 3,Central,Conroe,,
October,Qtr 4,Central,Conroe,,
November,Qtr 4,Central,Conroe,9,6.979499999999991
December,Qtr 4,Central,Conroe,,
January,Qtr 1,Central,Coon Rapids,,
February,Qtr 1,Central,Coon Rapids,,
March,Qtr 1,Central,Coon Rapids,,
April,Qtr 2,Central,Coon Rapids,,
May,Qtr 2,Central,Coon Rapids,,
June,Qtr 2,Central,Coon Rapids,,
July,Qtr 3,Central,Coon Rapids,,
August,Qtr 3,Central,Coon Rapids,,
September,Qtr 3,Central,Coon Rapids,,
October,Qtr 4,Central,Coon Rapids,,
November,Qtr 4,Central,Coon Rapids,7,136.45319999999998
December,Qtr 4,Central,Coon Rapids,,
January,Qtr 1,Central,Coppell,,
February,Qtr 1,Central,Coppell,,
March,Qtr 1,Central,Coppell,4,34.742
April,Qtr 2,Central,Coppell,,
May,Qtr 2,Central,Coppell,,
June,Qtr 2,Central,Coppell,,
July,Qtr 3,Central,Coppell,,
August,Qtr 3,Central,Coppell,,
September,Qtr 3,Central,Coppell,13,6.747199999999999
October,Qtr 4,Central,Coppell,,
November,Qtr 4,Central,Coppell,,
December,Qtr 4,Central,Coppell,,
January,Qtr 1,Central,Corpus Christi,,
February,Qtr 1,Central,Corpus Christi,,
March,Qtr 1,Central,Corpus Christi,,
April,Qtr 2,Central,Corpus Christi,,
May,Qtr 2,Central,Corpus Christi,,
June,Qtr 2,Central,Corpus Christi,3,23.234999999999992
July,Qtr 3,Central,Corpus Christi,,
August,Qtr 3,Central,Corpus Christi,,
September,Qtr 3,Central,Corpus Christi,13,-19.627000000000002
October,Qtr 4,Central,Corpus Christi,,
November,Qtr 4,Central,Corpus Christi,,
December,Qtr 4,Central,Corpus Christi,17,-47.33839999999999
January,Qtr 1,Central,Cottage Grove,6,54.796800000000005
February,Qtr 1,Central,Cottage Grove,,
March,Qtr 1,Central,Cottage Grove,,
April,Qtr 2,Central,Cottage Grove,,
May,Qtr 2,Central,Cottage Grove,,
June,Qtr 2,Central,Cottage Grove,,
July,Qtr 3,Central,Cottage Grove,,
August,Qtr 3,Central,Cottage Grove,,
September,Qtr 3,Central,Cottage Grove,,
October,Qtr 4,Central,Cottage Grove,,
November,Qtr 4,Central,Cottage Grove,,
December,Qtr 4,Central,Cottage Grove,,
January,Qtr 1,Central,Dallas,48,-1616.1582000000003
February,Qtr 1,Central,Dallas,10,-3.714800000000004
March,Qtr 1,Central,Dallas,61,-69.12200000000004
April,Qtr 2,Central,Dallas,15,-76.09740000000001
May,Qtr 2,Central,Dallas,22,66.29889999999995
June,Qtr 2,Central,Dallas,34,-220.4277000000001
July,Qtr 3,Central,Dallas,75,-685.6418000000001
August,Qtr 3,Central,Dallas,64,-212.62410000000008
September,Qtr 3,Central,Dallas,43,62.67739999999989
October,Qtr 4,Central,Dallas,73,-93.31700000000008
November,Qtr 4,Central,Dallas,102,139.4451999999999
December,Qtr 4,Central,Dallas,8,-137.8442
January,Qtr 1,Central,Danville,,
February,Qtr 1,Central,Danville,,
March,Qtr 1,Central,Danville,,
April,Qtr 2,Central,Danville,,
May,Qtr 2,Central,Danville,7,-69.39520000000003
June,Qtr 2,Central,Danville,,
July,Qtr 3,Central,Danville,,
August,Qtr 3,Central,Danville,,
September,Qtr 3,Central,Danville,,
October,Qtr 4,Central,Danville,,
November,Qtr 4,Central,Danville,,
December,Qtr 4,Central,Danville,,
January,Qtr 1,Central,Dearborn,,
February,Qtr 1,Central,Dearborn,,
March,Qtr 1,Central,Dearborn,,
April,Qtr 2,Central,Dearborn,3,23.1192
May,Qtr 2,Central,Dearborn,,
June,Qtr 2,Central,Dearborn,,
July,Qtr 3,Central,Dearborn,,
August,Qtr 3,Central,Dearborn,,
September,Qtr 3,Central,Dearborn,,
October,Qtr 4,Central,Dearborn,,
November,Qtr 4,Central,Dearborn,,
December,Qtr 4,Central,Dearborn,20,444.26719999999995
January,Qtr 1,Central,Dearborn Heights,,
February,Qtr 1,Central,Dearborn Heights,,
March,Qtr 1,Central,Dearborn Heights,3,90.0462
April,Qtr 2,Central,Dearborn Heights,16,50.844300000000004
May,Qtr 2,Central,Dearborn Heights,,
June,Qtr 2,Central,Dearborn Heights,,
July,Qtr 3,Central,Dearborn Heights,,
August,Qtr 3,Central,Dearborn Heights,,
September,Qtr 3,Central,Dearborn Heights,,
October,Qtr 4,Central,Dearborn Heights,,
November,Qtr 4,Central,Dearborn Heights,,
December,Qtr 4,Central,Dearborn Heights,,
January,Qtr 1,Central,Decatur,,
February,Qtr 1,Central,Decatur,21,79.27889999999991
March,Qtr 1,Central,Decatur,,
April,Qtr 2,Central,Decatur,8,7.6296000000000035
May,Qtr 2,Central,Decatur,,
June,Qtr 2,Central,Decatur,32,-382.60950000000014
July,Qtr 3,Central,Decatur,,
August,Qtr 3,Central,Decatur,,
September,Qtr 3,Central,Decatur,,
October,Qtr 4,Central,Decatur,5,-92.76660000000011
November,Qtr 4,Central,Decatur,2,-1.0656000000000017
December,Qtr 4,Central,Decatur,9,78.50069999999998
January,Qtr 1,Central,Deer Park,6,-10.386
February,Qtr 1,Central,Deer Park,,
March,Qtr 1,Central,Deer Park,,
April,Qtr 2,Central,Deer Park,,
May,Qtr 2,Central,Deer Park,,
June,Qtr 2,Central,Deer Park,,
July,Qtr 3,Central,Deer Park,,
August,Qtr 3,Central,Deer Park,,
September,Qtr 3,Central,Deer Park,,
October,Qtr 4,Central,Deer Park,,
November,Qtr 4,Central,Deer Park,,
December,Qtr 4,Central,Deer Park,,
January,Qtr 1,Central,Des Moines,,
February,Qtr 1,Central,Des Moines,20,105.9391
March,Qtr 1,Central,Des Moines,,
April,Qtr 2,Central,Des Moines,7,109.50120000000005
May,Qtr 2,Central,Des Moines,,
June,Qtr 2,Central,Des Moines,,
July,Qtr 3,Central,Des Moines,,
August,Qtr 3,Central,Des Moines,1,3.1104000000000003
September,Qtr 3,Central,Des Moines,5,12.690999999999999
October,Qtr 4,Central,Des Moines,,
November,Qtr 4,Central,Des Moines,10,129.1592
December,Qtr 4,Central,Des Moines,,
January,Qtr 1,Central,Des Plaines,,
February,Qtr 1,Central,Des Plaines,,
March,Qtr 1,Central,Des Plaines,,
April,Qtr 2,Central,Des Plaines,4,47.97999999999999
May,Qtr 2,Central,Des Plaines,,
June,Qtr 2,Central,Des Plaines,,
July,Qtr 3,Central,Des Plaines,,
August,Qtr 3,Central,Des Plaines,,
September,Qtr 3,Central,Des Plaines,,
October,Qtr 4,Central,Des Plaines,,
November,Qtr 4,Central,Des Plaines,20,-284.7474000000001
December,Qtr 4,Central,Des Plaines,,
January,Qtr 1,Central,Detroit,19,803.8237999999997
February,Qtr 1,Central,Detroit,4,11.650200000000002
March,Qtr 1,Central,Detroit,4,421.08239999999995
April,Qtr 2,Central,Detroit,30,553.4381
May,Qtr 2,Central,Detroit,35,1754.5555
June,Qtr 2,Central,Detroit,49,957.7428999999998
July,Qtr 3,Central,Detroit,1,3.04
August,Qtr 3,Central,Detroit,30,486.2703
September,Qtr 3,Central,Detroit,89,823.3449
October,Qtr 4,Central,Detroit,26,183.9563
November,Qtr 4,Central,Detroit,26,395.6042
December,Qtr 4,Central,Detroit,128,6787.282200000001
January,Qtr 1,Central,Dubuque,,
February,Qtr 1,Central,Dubuque,,
March,Qtr 1,Central,Dubuque,,
April,Qtr 2,Central,Dubuque,,
May,Qtr 2,Central,Dubuque,,
June,Qtr 2,Central,Dubuque,,
July,Qtr 3,Central,Dubuque,,
August,Qtr 3,Central,Dubuque,,
September,Qtr 3,Central,Dubuque,14,401.12600000000003
October,Qtr 4,Central,Dubuque,,
November,Qtr 4,Central,Dubuque,4,76.54839999999999
December,Qtr 4,Central,Dubuque,,
January,Qtr 1,Central,Eagan,,
February,Qtr 1,Central,Eagan,,
March,Qtr 1,Central,Eagan,4,27.9776
April,Qtr 2,Central,Eagan,,
May,Qtr 2,Central,Eagan,,
June,Qtr 2,Central,Eagan,,
July,Qtr 3,Central,Eagan,,
August,Qtr 3,Central,Eagan,8,34.183800000000005
September,Qtr 3,Central,Eagan,,
October,Qtr 4,Central,Eagan,,
November,Qtr 4,Central,Eagan,10,24.8724
December,Qtr 4,Central,Eagan,,
January,Qtr 1,Central,Eau Claire,,
February,Qtr 1,Central,Eau Claire,,
March,Qtr 1,Central,Eau Claire,,
April,Qtr 2,Central,Eau Claire,,
May,Qtr 2,Central,Eau Claire,3,45.839999999999996
June,Qtr 2,Central,Eau Claire,,
July,Qtr 3,Central,Eau Claire,,
August,Qtr 3,Central,Eau Claire,,
September,Qtr 3,Central,Eau Claire,,
October,Qtr 4,Central,Eau Claire,,
November,Qtr 4,Central,Eau Claire,,
December,Qtr 4,Central,Eau Claire,18,381.65779999999995
January,Qtr 1,Central,Edinburg,,
February,Qtr 1,Central,Edinburg,,
March,Qtr 1,Central,Edinburg,,
April,Qtr 2,Central,Edinburg,,
May,Qtr 2,Central,Edinburg,,
June,Qtr 2,Central,Edinburg,,
July,Qtr 3,Central,Edinburg,,
August,Qtr 3,Central,Edinburg,9,26.979799999999997
September,Qtr 3,Central,Edinburg,,
October,Qtr 4,Central,Edinburg,,
November,Qtr 4,Central,Edinburg,,
December,Qtr 4,Central,Edinburg,2,0.8287999999999999
January,Qtr 1,Central,Edmond,,
February,Qtr 1,Central,Edmond,,
March,Qtr 1,Central,Edmond,,
April,Qtr 2,Central,Edmond,,
May,Qtr 2,Central,Edmond,,
June,Qtr 2,Central,Edmond,,
July,Qtr 3,Central,Edmond,,
August,Qtr 3,Central,Edmond,,
September,Qtr 3,Central,Edmond,,
October,Qtr 4,Central,Edmond,,
November,Qtr 4,Central,Edmond,9,243.1039
December,Qtr 4,Central,Edmond,,
January,Qtr 1,Central,El Paso,14,-133.36980000000008
February,Qtr 1,Central,El Paso,6,-4.522499999999998
March,Qtr 1,Central,El Paso,20,-61.157700000000006
April,Qtr 2,Central,El Paso,,
May,Qtr 2,Central,El Paso,,
June,Qtr 2,Central,El Paso,2,11.876799999999998
July,Qtr 3,Central,El Paso,6,46.82640000000002
August,Qtr 3,Central,El Paso,,
September,Qtr 3,Central,El Paso,2,-2.0364000000000004
October,Qtr 4,Central,El Paso,,
November,Qtr 4,Central,El Paso,,
December,Qtr 4,Central,El Paso,15,-37.517500000000005
January,Qtr 1,Central,Elkhart,,
February,Qtr 1,Central,Elkhart,,
March,Qtr 1,Central,Elkhart,,
April,Qtr 2,Central,Elkhart,,
May,Qtr 2,Central,Elkhart,,
June,Qtr 2,Central,Elkhart,,
July,Qtr 3,Central,Elkhart,7,16.672099999999997
August,Qtr 3,Central,Elkhart,,
