Category,SubCategory,Month,Value Column Name,Value
"Home Appliances","Coffee Machines","Sep","Margin","11520.5"
"Home Appliances","Coffee Machines","Sep","Sales","71783"
"Home Appliances","Coffee Machines","Sep","YoY Sales %",
"Home Appliances","Coffee Machines","Sep","YoY Sales","71783"
"Home Appliances","Coffee Machines","Sep","YoY Margin","11520.5"
"Home Appliances","Coffee Machines","Sep","YoY Margin %",
"Home Appliances","Coffee Machines","Sep","Margin %","16.049064541743867"
"Home Appliances","Coffee Machines","Sep","Revenue","71783"
"Home Appliances","Coffee Machines","Sep","Total Customers","32"
"Home Appliances","Coffee Machines","Oct","","63036"
"Home Appliances","Coffee Machines","Oct","Margin","-13884"
"Home Appliances","Coffee Machines","Oct","Sales","63036"
"Home Appliances","Coffee Machines","Oct","YoY Sales %",
"Home Appliances","Coffee Machines","Oct","YoY Sales","63036"
"Home Appliances","Coffee Machines","Oct","YoY Margin","-13884"
"Home Appliances","Coffee Machines","Oct","YoY Margin %",
"Home Appliances","Coffee Machines","Oct","Margin %","-22.025509232819342"
"Home Appliances","Coffee Machines","Oct","Revenue","63036"
"Home Appliances","Coffee Machines","Oct","Total Customers","50"
"Home Appliances","Coffee Machines","Nov","","82362"
"Home Appliances","Coffee Machines","Nov","Margin","-5193"
"Home Appliances","Coffee Machines","Nov","Sales","82362"
"Home Appliances","Coffee Machines","Nov","YoY Sales %","1.8553302132085283"
"Home Appliances","Coffee Machines","Nov","YoY Sales","53517"
"Home Appliances","Coffee Machines","Nov","YoY Margin","-13833"
"Home Appliances","Coffee Machines","Nov","YoY Margin %","-1.6010416666666667"
"Home Appliances","Coffee Machines","Nov","Margin %","-6.305092154148758"
"Home Appliances","Coffee Machines","Nov","Revenue","82362"
"Home Appliances","Coffee Machines","Nov","Total Customers","51"
"Home Appliances","Coffee Machines","Dec","","74212"
"Home Appliances","Coffee Machines","Dec","Margin","-14123"
"Home Appliances","Coffee Machines","Dec","Sales","74212"
"Home Appliances","Coffee Machines","Dec","YoY Sales %","3.618620861339308"
"Home Appliances","Coffee Machines","Dec","YoY Sales","58144"
"Home Appliances","Coffee Machines","Dec","YoY Margin","-12663.5"
"Home Appliances","Coffee Machines","Dec","YoY Margin %","8.67660157588215"
"Home Appliances","Coffee Machines","Dec","Margin %","-19.030614994879535"
"Home Appliances","Coffee Machines","Dec","Revenue","74212"
"Home Appliances","Coffee Machines","Dec","Total Customers","43"
"Home Appliances","Fans","Jan","","2919"
"Home Appliances","Fans","Jan","Margin","-2463"
"Home Appliances","Fans","Jan","Sales","2919"
"Home Appliances","Fans","Jan","YoY Sales %",
"Home Appliances","Fans","Jan","YoY Sales","2919"
"Home Appliances","Fans","Jan","YoY Margin","-2463"
"Home Appliances","Fans","Jan","YoY Margin %",
"Home Appliances","Fans","Jan","Margin %","-84.37821171634121"
"Home Appliances","Fans","Jan","Revenue","2919"
"Home Appliances","Fans","Jan","Total Customers","16"
"Home Appliances","Fans","Feb","","6482"
"Home Appliances","Fans","Feb","Margin","-2221"
"Home Appliances","Fans","Feb","Sales","6482"
"Home Appliances","Fans","Feb","YoY Sales %",
"Home Appliances","Fans","Feb","YoY Sales","6482"
"Home Appliances","Fans","Feb","YoY Margin","-2221"
"Home Appliances","Fans","Feb","YoY Margin %",
"Home Appliances","Fans","Feb","Margin %","-34.26411601357606"
"Home Appliances","Fans","Feb","Revenue","6482"
"Home Appliances","Fans","Feb","Total Customers","18"
"Home Appliances","Fans","Mar","","6476"
"Home Appliances","Fans","Mar","Margin","-841"
"Home Appliances","Fans","Mar","Sales","6476"
"Home Appliances","Fans","Mar","YoY Sales %",
"Home Appliances","Fans","Mar","YoY Sales","6476"
"Home Appliances","Fans","Mar","YoY Margin","-841"
"Home Appliances","Fans","Mar","YoY Margin %",
"Home Appliances","Fans","Mar","Margin %","-12.986411365040148"
"Home Appliances","Fans","Mar","Revenue","6476"
"Home Appliances","Fans","Mar","Total Customers","16"
"Home Appliances","Fans","Apr","","3845"
"Home Appliances","Fans","Apr","Margin","-1717"
"Home Appliances","Fans","Apr","Sales","3845"
"Home Appliances","Fans","Apr","YoY Sales %",
"Home Appliances","Fans","Apr","YoY Sales","3845"
"Home Appliances","Fans","Apr","YoY Margin","-1717"
"Home Appliances","Fans","Apr","YoY Margin %",
"Home Appliances","Fans","Apr","Margin %","-44.6553966189857"
"Home Appliances","Fans","Apr","Revenue","3845"
"Home Appliances","Fans","Apr","Total Customers","19"
"Home Appliances","Fans","May","","1417"
"Home Appliances","Fans","May","Margin","-1049"
"Home Appliances","Fans","May","Sales","1417"
"Home Appliances","Fans","May","YoY Sales %",
"Home Appliances","Fans","May","YoY Sales","1417"
"Home Appliances","Fans","May","YoY Margin","-1049"
"Home Appliances","Fans","May","YoY Margin %",
"Home Appliances","Fans","May","Margin %","-74.02964008468595"
"Home Appliances","Fans","May","Revenue","1417"
"Home Appliances","Fans","May","Total Customers","14"
"Home Appliances","Fans","Jun","","7191"
"Home Appliances","Fans","Jun","Margin","-2376"
"Home Appliances","Fans","Jun","Sales","7191"
"Home Appliances","Fans","Jun","YoY Sales %",
"Home Appliances","Fans","Jun","YoY Sales","7191"
"Home Appliances","Fans","Jun","YoY Margin","-2376"
"Home Appliances","Fans","Jun","YoY Margin %",
"Home Appliances","Fans","Jun","Margin %","-33.04130162703379"
"Home Appliances","Fans","Jun","Revenue","7191"
"Home Appliances","Fans","Jun","Total Customers","15"
"Home Appliances","Fans","Jul","","11827"
"Home Appliances","Fans","Jul","Margin","-2717"
"Home Appliances","Fans","Jul","Sales","11827"
"Home Appliances","Fans","Jul","YoY Sales %",
"Home Appliances","Fans","Jul","YoY Sales","11827"
"Home Appliances","Fans","Jul","YoY Margin","-2717"
"Home Appliances","Fans","Jul","YoY Margin %",
"Home Appliances","Fans","Jul","Margin %","-22.97285871311406"
"Home Appliances","Fans","Jul","Revenue","11827"
"Home Appliances","Fans","Jul","Total Customers","34"
"Home Appliances","Fans","Aug","","10764"
"Home Appliances","Fans","Aug","Margin","-3924"
"Home Appliances","Fans","Aug","Sales","10764"
"Home Appliances","Fans","Aug","YoY Sales %",
"Home Appliances","Fans","Aug","YoY Sales","10764"
"Home Appliances","Fans","Aug","YoY Margin","-3924"
"Home Appliances","Fans","Aug","YoY Margin %",
"Home Appliances","Fans","Aug","Margin %","-36.45484949832776"
"Home Appliances","Fans","Aug","Revenue","10764"
"Home Appliances","Fans","Aug","Total Customers","29"
"Home Appliances","Fans","Sep","","12205"
"Home Appliances","Fans","Sep","Margin","-1241"
"Home Appliances","Fans","Sep","Sales","12205"
"Home Appliances","Fans","Sep","YoY Sales %",
"Home Appliances","Fans","Sep","YoY Sales","12205"
"Home Appliances","Fans","Sep","YoY Margin","-1241"
"Home Appliances","Fans","Sep","YoY Margin %",
"Home Appliances","Fans","Sep","Margin %","-10.167963949201146"
"Home Appliances","Fans","Sep","Revenue","12205"
"Home Appliances","Fans","Sep","Total Customers","38"
"Home Appliances","Fans","Oct","","9481"
"Home Appliances","Fans","Oct","Margin","-4055"
"Home Appliances","Fans","Oct","Sales","9481"
"Home Appliances","Fans","Oct","YoY Sales %",
"Home Appliances","Fans","Oct","YoY Sales","9481"
"Home Appliances","Fans","Oct","YoY Margin","-4055"
"Home Appliances","Fans","Oct","YoY Margin %",
"Home Appliances","Fans","Oct","Margin %","-42.76975002636853"
"Home Appliances","Fans","Oct","Revenue","9481"
"Home Appliances","Fans","Oct","Total Customers","40"
"Home Appliances","Fans","Nov","","11869"
"Home Appliances","Fans","Nov","Margin","-731"
"Home Appliances","Fans","Nov","Sales","11869"
"Home Appliances","Fans","Nov","YoY Sales %","9.231896551724137"
"Home Appliances","Fans","Nov","YoY Sales","10709"
"Home Appliances","Fans","Nov","YoY Margin","-541"
"Home Appliances","Fans","Nov","YoY Margin %","2.8473684210526318"
"Home Appliances","Fans","Nov","Margin %","-6.158901339624231"
"Home Appliances","Fans","Nov","Revenue","11869"
"Home Appliances","Fans","Nov","Total Customers","33"
"Home Appliances","Fans","Dec","","14883"
"Home Appliances","Fans","Dec","Margin","-4611"
"Home Appliances","Fans","Dec","Sales","14883"
"Home Appliances","Fans","Dec","YoY Sales %","15.536666666666667"
"Home Appliances","Fans","Dec","YoY Sales","13983"
"Home Appliances","Fans","Dec","YoY Margin","-4116"
"Home Appliances","Fans","Dec","YoY Margin %","8.315151515151515"
"Home Appliances","Fans","Dec","Margin %","-30.981656924007257"
"Home Appliances","Fans","Dec","Revenue","14883"
"Home Appliances","Fans","Dec","Total Customers","62"
"Home Appliances","Lamps","Jan","","30063"
"Home Appliances","Lamps","Jan","Margin","22299"
"Home Appliances","Lamps","Jan","Sales","30063"
"Home Appliances","Lamps","Jan","YoY Sales %",
"Home Appliances","Lamps","Jan","YoY Sales","30063"
"Home Appliances","Lamps","Jan","YoY Margin","22299"
"Home Appliances","Lamps","Jan","YoY Margin %",
"Home Appliances","Lamps","Jan","Margin %","74.17423410837242"
"Home Appliances","Lamps","Jan","Revenue","30063"
"Home Appliances","Lamps","Jan","Total Customers","32"
"Home Appliances","Lamps","Feb","","19045"
"Home Appliances","Lamps","Feb","Margin","13967"
"Home Appliances","Lamps","Feb","Sales","19045"
"Home Appliances","Lamps","Feb","YoY Sales %",
"Home Appliances","Lamps","Feb","YoY Sales","19045"
"Home Appliances","Lamps","Feb","YoY Margin","13967"
"Home Appliances","Lamps","Feb","YoY Margin %",
"Home Appliances","Lamps","Feb","Margin %","73.33683381464951"
"Home Appliances","Lamps","Feb","Revenue","19045"
"Home Appliances","Lamps","Feb","Total Customers","23"
"Home Appliances","Lamps","Mar","","30765"
"Home Appliances","Lamps","Mar","Margin","22471"
"Home Appliances","Lamps","Mar","Sales","30765"
"Home Appliances","Lamps","Mar","YoY Sales %",
"Home Appliances","Lamps","Mar","YoY Sales","30765"
"Home Appliances","Lamps","Mar","YoY Margin","22471"
"Home Appliances","Lamps","Mar","YoY Margin %",
"Home Appliances","Lamps","Mar","Margin %","73.0407931090525"
"Home Appliances","Lamps","Mar","Revenue","30765"
"Home Appliances","Lamps","Mar","Total Customers","38"
"Home Appliances","Lamps","Apr","","20193"
"Home Appliances","Lamps","Apr","Margin","13977"
"Home Appliances","Lamps","Apr","Sales","20193"
"Home Appliances","Lamps","Apr","YoY Sales %",
"Home Appliances","Lamps","Apr","YoY Sales","20193"
"Home Appliances","Lamps","Apr","YoY Margin","13977"
"Home Appliances","Lamps","Apr","YoY Margin %",
"Home Appliances","Lamps","Apr","Margin %","69.21705541524291"
"Home Appliances","Lamps","Apr","Revenue","20193"
"Home Appliances","Lamps","Apr","Total Customers","29"
"Home Appliances","Lamps","May","","22354"
"Home Appliances","Lamps","May","Margin","16758"
"Home Appliances","Lamps","May","Sales","22354"
"Home Appliances","Lamps","May","YoY Sales %",
"Home Appliances","Lamps","May","YoY Sales","22354"
"Home Appliances","Lamps","May","YoY Margin","16758"
"Home Appliances","Lamps","May","YoY Margin %",
"Home Appliances","Lamps","May","Margin %","74.96644895768095"
"Home Appliances","Lamps","May","Revenue","22354"
"Home Appliances","Lamps","May","Total Customers","32"
"Home Appliances","Lamps","Jun","","20617"
"Home Appliances","Lamps","Jun","Margin","14743"
"Home Appliances","Lamps","Jun","Sales","20617"
"Home Appliances","Lamps","Jun","YoY Sales %",
"Home Appliances","Lamps","Jun","YoY Sales","20617"
"Home Appliances","Lamps","Jun","YoY Margin","14743"
"Home Appliances","Lamps","Jun","YoY Margin %",
"Home Appliances","Lamps","Jun","Margin %","71.50894892564389"
"Home Appliances","Lamps","Jun","Revenue","20617"
"Home Appliances","Lamps","Jun","Total Customers","36"
"Home Appliances","Lamps","Jul","","28806"
"Home Appliances","Lamps","Jul","Margin","20584"
"Home Appliances","Lamps","Jul","Sales","28806"
"Home Appliances","Lamps","Jul","YoY Sales %",
"Home Appliances","Lamps","Jul","YoY Sales","28806"
"Home Appliances","Lamps","Jul","YoY Margin","20584"
"Home Appliances","Lamps","Jul","YoY Margin %",
"Home Appliances","Lamps","Jul","Margin %","71.45733527737276"
"Home Appliances","Lamps","Jul","Revenue","28806"
"Home Appliances","Lamps","Jul","Total Customers","48"
"Home Appliances","Lamps","Aug","","65857"
"Home Appliances","Lamps","Aug","Margin","50035"
"Home Appliances","Lamps","Aug","Sales","65857"
"Home Appliances","Lamps","Aug","YoY Sales %",
"Home Appliances","Lamps","Aug","YoY Sales","65857"
"Home Appliances","Lamps","Aug","YoY Margin","50035"
"Home Appliances","Lamps","Aug","YoY Margin %",
"Home Appliances","Lamps","Aug","Margin %","75.97521903518229"
"Home Appliances","Lamps","Aug","Revenue","65857"
"Home Appliances","Lamps","Aug","Total Customers","80"
"Home Appliances","Lamps","Sep","","57514"
"Home Appliances","Lamps","Sep","Margin","41580"
"Home Appliances","Lamps","Sep","Sales","57514"
"Home Appliances","Lamps","Sep","YoY Sales %",
"Home Appliances","Lamps","Sep","YoY Sales","57514"
"Home Appliances","Lamps","Sep","YoY Margin","41580"
"Home Appliances","Lamps","Sep","YoY Margin %",
"Home Appliances","Lamps","Sep","Margin %","72.2954411099906"
"Home Appliances","Lamps","Sep","Revenue","57514"
"Home Appliances","Lamps","Sep","Total Customers","81"
"Home Appliances","Lamps","Oct","","56929"
"Home Appliances","Lamps","Oct","Margin","41587"
"Home Appliances","Lamps","Oct","Sales","56929"
"Home Appliances","Lamps","Oct","YoY Sales %","25.40491651205937"
"Home Appliances","Lamps","Oct","YoY Sales","54773"
"Home Appliances","Lamps","Oct","YoY Margin","40093"
"Home Appliances","Lamps","Oct","YoY Margin %","26.836010709504684"
"Home Appliances","Lamps","Oct","Margin %","73.050642027789"
"Home Appliances","Lamps","Oct","Revenue","56929"
"Home Appliances","Lamps","Oct","Total Customers","79"
"Home Appliances","Lamps","Nov","","72822"
"Home Appliances","Lamps","Nov","Margin","53368"
"Home Appliances","Lamps","Nov","Sales","72822"
"Home Appliances","Lamps","Nov","YoY Sales %","10.745483870967742"
"Home Appliances","Lamps","Nov","YoY Sales","66622"
"Home Appliances","Lamps","Nov","YoY Margin","49264"
"Home Appliances","Lamps","Nov","YoY Margin %","12.003898635477583"
"Home Appliances","Lamps","Nov","Margin %","73.28554557688611"
"Home Appliances","Lamps","Nov","Revenue","72822"
"Home Appliances","Lamps","Nov","Total Customers","88"
"Home Appliances","Lamps","Dec","","69819"
"Home Appliances","Lamps","Dec","Margin","48973"
"Home Appliances","Lamps","Dec","Sales","69819"
"Home Appliances","Lamps","Dec","YoY Sales %","3.842488555971702"
"Home Appliances","Lamps","Dec","YoY Sales","55401"
"Home Appliances","Lamps","Dec","YoY Margin","38649"
"Home Appliances","Lamps","Dec","YoY Margin %","3.7436071290197597"
"Home Appliances","Lamps","Dec","Margin %","70.14279780575488"
"Home Appliances","Lamps","Dec","Revenue","69819"
"Home Appliances","Lamps","Dec","Total Customers","94"
"Home Appliances","Microwaves","Jan","","21567"
"Home Appliances","Microwaves","Jan","Margin","2674"
"Home Appliances","Microwaves","Jan","Sales","21567"
"Home Appliances","Microwaves","Jan","YoY Sales %",
"Home Appliances","Microwaves","Jan","YoY Sales","21567"
"Home Appliances","Microwaves","Jan","YoY Margin","2674"
"Home Appliances","Microwaves","Jan","YoY Margin %",
"Home Appliances","Microwaves","Jan","Margin %","12.398571892242778"
"Home Appliances","Microwaves","Jan","Revenue","21567"
"Home Appliances","Microwaves","Jan","Total Customers","32"
"Home Appliances","Microwaves","Feb","","8461"
"Home Appliances","Microwaves","Feb","Margin","-2102"
"Home Appliances","Microwaves","Feb","Sales","8461"
"Home Appliances","Microwaves","Feb","YoY Sales %",
"Home Appliances","Microwaves","Feb","YoY Sales","8461"
"Home Appliances","Microwaves","Feb","YoY Margin","-2102"
"Home Appliances","Microwaves","Feb","YoY Margin %",
"Home Appliances","Microwaves","Feb","Margin %","-24.84339912539889"
"Home Appliances","Microwaves","Feb","Revenue","8461"
"Home Appliances","Microwaves","Feb","Total Customers","20"
"Home Appliances","Microwaves","Mar","","12333"
