Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2017,Technology,Accessories,East,14836.790000000003,3359.366599999999
2015,Technology,Accessories,South,4141.534000000001,828.0340999999997
2016,Technology,Accessories,South,9379.843999999997,2543.8409
2017,Technology,Accessories,South,8160.085999999998,1946.9387999999992
2015,Technology,Accessories,West,10675.761999999997,3149.7343
2016,Technology,Accessories,West,15482.417999999992,3972.354799999999
2017,Technology,Accessories,West,26029.692000000006,7424.820099999998
2015,Technology,Copiers,Central,12809.766000000001,5159.9078
2016,Technology,Copiers,Central,17499.949999999997,8399.975999999999
2017,Technology,Copiers,Central,3679.928,1013.9795000000001
2015,Technology,Copiers,East,4959.896000000001,1654.9667
2016,Technology,Copiers,East,19759.77,5143.924799999999
2017,Technology,Copiers,East,24399.87,9572.961599999999
2015,Technology,Copiers,South,899.97,314.9895
2016,Technology,Copiers,South,2559.888,871.9584
2017,Technology,Copiers,South,5359.914000000001,2381.9618
2015,Technology,Copiers,West,7509.818000000001,2800.4348
2016,Technology,Copiers,West,9779.802000000001,3326.9334
2017,Technology,Copiers,West,29459.676000000003,12062.8873
2015,Technology,Machines,Central,1851.868,169.5970999999999
2016,Technology,Machines,Central,2658.7889999999998,57.31859999999989
2017,Technology,Machines,Central,5994.5650000000005,671.7159999999993
2015,Technology,Machines,East,14426.642000000002,454.6903999999996
2016,Technology,Machines,East,25215.938000000002,-1342.346500000002
2017,Technology,Machines,East,11827.2,2950.4840999999997
2015,Technology,Machines,South,3112.985,1414.8208999999997
2016,Technology,Machines,South,13238.600000000002,4308.107
2017,Technology,Machines,South,9944.65,-3907.6133999999984
2015,Technology,Machines,West,8372.202000000001,938.3771999999989
2016,Technology,Machines,West,14793.559,-115.76110000000034
2017,Technology,Machines,West,15778.260000000002,-2583.8023000000017
2015,Technology,Phones,Central,19363.922,3307.244099999998
2016,Technology,Phones,Central,19902.451999999987,3415.1335999999988
2017,Technology,Phones,Central,23211.15599999999,4119.7203
2015,Technology,Phones,East,22561.40599999999,3299.667599999998
2016,Technology,Phones,East,21290.356000000007,2167.8120999999983
2017,Technology,Phones,East,36074.56999999998,3418.1044000000043
2015,Technology,Phones,South,7848.381999999999,1942.0411000000001
2016,Technology,Phones,South,11843.822000000004,1507.925
2017,Technology,Phones,South,21363.270000000008,3231.601600000001
2015,Technology,Phones,West,18539.992000000002,1849.8545999999992
2016,Technology,Phones,West,25925.40000000001,2368.7222000000006
2017,Technology,Phones,West,24691.519999999997,2079.8986999999993
