Country,Category,Subcategory,Model,Fiscal Year,Value Column Name,Value
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2020","Order Quantity","89"
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2020","Sales Amount","2224.11"
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2020","Sales Amount - Order Quantity","2135.11"
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2020","(Sales Amount - Order Quantity)%","23.99"
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2019","Order Quantity",
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2019","Sales Amount",
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2020","Order Quantity","87"
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2020","Sales Amount","2609.13"
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2020","Sales Amount - Order Quantity","2522.13"
"Germany","Accessories","Tires and Tubes","ML Mountain Tire","FY2020","(Sales Amount - Order Quantity)%","28.99"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2019","Order Quantity","1"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2019","Sales Amount","35"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2019","Sales Amount - Order Quantity","34"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2019","(Sales Amount - Order Quantity)%","34"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2020","Order Quantity","77"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2020","Sales Amount","2695"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2020","Sales Amount - Order Quantity","2618"
"Germany","Accessories","Tires and Tubes","HL Mountain Tire","FY2020","(Sales Amount - Order Quantity)%","34"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2019","Order Quantity","3"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2019","Sales Amount","64.47"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2019","Sales Amount - Order Quantity","61.47"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2019","(Sales Amount - Order Quantity)%","20.49"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2020","Order Quantity","150"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2020","Sales Amount","3223.5"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2020","Sales Amount - Order Quantity","3073.5"
"Germany","Accessories","Tires and Tubes","LL Road Tire","FY2020","(Sales Amount - Order Quantity)%","20.49"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2019","Order Quantity","2"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2019","Sales Amount","57.98"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2019","Sales Amount - Order Quantity","55.98"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2019","(Sales Amount - Order Quantity)%","27.99"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2020","Order Quantity","118"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2020","Sales Amount","3420.82"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2020","Sales Amount - Order Quantity","3302.82"
"Germany","Accessories","Tires and Tubes","Touring Tire","FY2020","(Sales Amount - Order Quantity)%","27.99"
"Germany","Accessories","Helmets","Sport-100","FY2019","Order Quantity","23"
"Germany","Accessories","Helmets","Sport-100","FY2019","Sales Amount","804.77"
"Germany","Accessories","Helmets","Sport-100","FY2019","Sales Amount - Order Quantity","781.77"
"Germany","Accessories","Helmets","Sport-100","FY2019","(Sales Amount - Order Quantity)%","33.99"
"Germany","Accessories","Helmets","Sport-100","FY2020","Order Quantity","1214"
"Germany","Accessories","Helmets","Sport-100","FY2020","Sales Amount","33998.8454"
"Germany","Accessories","Helmets","Sport-100","FY2020","Sales Amount - Order Quantity","32784.8454"
"Germany","Accessories","Helmets","Sport-100","FY2020","(Sales Amount - Order Quantity)%","27.00563871499176"
"Germany","Components","Chains","Chain","FY2019","Order Quantity",
"Germany","Components","Chains","Chain","FY2019","Sales Amount",
"Germany","Components","Chains","Chain","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Chains","Chain","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Chains","Chain","FY2020","Order Quantity","43"
"Germany","Components","Chains","Chain","FY2020","Sales Amount","522.192"
"Germany","Components","Chains","Chain","FY2020","Sales Amount - Order Quantity","479.192"
"Germany","Components","Chains","Chain","FY2020","(Sales Amount - Order Quantity)%","11.144"
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2019","Order Quantity",
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2019","Sales Amount",
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2020","Order Quantity","17"
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2020","Sales Amount","550.698"
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2020","Sales Amount - Order Quantity","533.698"
"Germany","Components","Bottom Brackets","LL Bottom Bracket","FY2020","(Sales Amount - Order Quantity)%","31.393999999999995"
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2019","Order Quantity",
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2019","Sales Amount",
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2020","Order Quantity","28"
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2020","Sales Amount","2041.032"
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2020","Sales Amount - Order Quantity","2013.032"
"Germany","Components","Bottom Brackets","HL Bottom Bracket","FY2020","(Sales Amount - Order Quantity)%","71.89399999999999"
"Germany","Components","Brakes","Rear Brakes","FY2019","Order Quantity",
"Germany","Components","Brakes","Rear Brakes","FY2019","Sales Amount",
"Germany","Components","Brakes","Rear Brakes","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Brakes","Rear Brakes","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Brakes","Rear Brakes","FY2020","Order Quantity","18"
"Germany","Components","Brakes","Rear Brakes","FY2020","Sales Amount","1150.2"
"Germany","Components","Brakes","Rear Brakes","FY2020","Sales Amount - Order Quantity","1132.2"
"Germany","Components","Brakes","Rear Brakes","FY2020","(Sales Amount - Order Quantity)%","62.900000000000006"
"Germany","Components","Brakes","Front Brakes","FY2019","Order Quantity",
"Germany","Components","Brakes","Front Brakes","FY2019","Sales Amount",
"Germany","Components","Brakes","Front Brakes","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Brakes","Front Brakes","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Brakes","Front Brakes","FY2020","Order Quantity","28"
"Germany","Components","Brakes","Front Brakes","FY2020","Sales Amount","1789.2"
"Germany","Components","Brakes","Front Brakes","FY2020","Sales Amount - Order Quantity","1761.2"
"Germany","Components","Brakes","Front Brakes","FY2020","(Sales Amount - Order Quantity)%","62.9"
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2019","Order Quantity",
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2019","Sales Amount",
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2020","Order Quantity","2"
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2020","Sales Amount","63.168"
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2020","Sales Amount - Order Quantity","61.168"
"Germany","Components","Saddles","HL Road Seat/Saddle 2","FY2020","(Sales Amount - Order Quantity)%","30.584"
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2019","Order Quantity",
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2019","Sales Amount",
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2020","Order Quantity","9"
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2020","Sales Amount","146.448"
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2020","Sales Amount - Order Quantity","137.448"
"Germany","Components","Saddles","LL Mountain Seat/Saddle 2","FY2020","(Sales Amount - Order Quantity)%","15.272"
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2019","Order Quantity",
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2019","Sales Amount",
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2020","Order Quantity","9"
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2020","Sales Amount","146.448"
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2020","Sales Amount - Order Quantity","137.448"
"Germany","Components","Saddles","LL Touring Seat/Saddle","FY2020","(Sales Amount - Order Quantity)%","15.272"
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2019","Order Quantity",
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2019","Sales Amount",
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2020","Order Quantity","11"
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2020","Sales Amount","258.324"
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2020","Sales Amount - Order Quantity","247.324"
"Germany","Components","Saddles","ML Mountain Seat/Saddle 2","FY2020","(Sales Amount - Order Quantity)%","22.484"
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2019","Order Quantity",
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2019","Sales Amount",
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2019","Sales Amount - Order Quantity",
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2020","Order Quantity","13"
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2020","Sales Amount","305.292"
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2020","Sales Amount - Order Quantity","292.292"
"Germany","Components","Saddles","ML Touring Seat/Saddle","FY2020","(Sales Amount - Order Quantity)%","22.483999999999995"
