Level1Name,Level2Name,Level3Name,Level4Name,Level5Name,Level6Name,Level7Name,Level8Name,Value Column Name,Value
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Other Direct Operating","Recruitment (non-commission)","Code Balance Net Amount (Base)","5430678.010000054"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Other Direct Operating","Uniform","Code Balance Net Amount (Base)","5077465.070000083"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Airfare","Code Balance Net Amount (Base)","255422.1499999996"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Auto Mileage","Code Balance Net Amount (Base)","1326926.6800000102"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Lodging","Code Balance Net Amount (Base)","635560.5200000013"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Meals/Ent Business","Code Balance Net Amount (Base)","12975210.970000073"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Meals/Ent Business deduc 75%","Code Balance Net Amount (Base)","10012.380000000003"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Parking/Tolls","Code Balance Net Amount (Base)","19716.419999999966"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Rental Car/Bus/Taxi","Code Balance Net Amount (Base)","254730.24999999994"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Team Meetings - Other Staff Costs","Code Balance Net Amount (Base)","3821670.2500000037"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","T&E","Travel","Code Balance Net Amount (Base)","402.9"
