Orders.State,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Sales)
New Jersey,Furniture,Bookcases,Consumer,Qtr 2,,,,
New York,Furniture,Bookcases,Consumer,Qtr 2,-84.0430000000001,1.2,15,1875.7600000000002
North Carolina,Furniture,Bookcases,Consumer,Qtr 2,-3.8863999999999947,0.2,2,77.72800000000001
Ohio,Furniture,Bookcases,Consumer,Qtr 2,,,,
Pennsylvania,Furniture,Bookcases,Consumer,Qtr 2,-216.97830000000002,0.5,7,349.965
Tennessee,Furniture,Bookcases,Consumer,Qtr 2,,,,
Texas,Furniture,Bookcases,Consumer,Qtr 2,-122.36439999999997,0.96,8,807.7312
Virginia,Furniture,Bookcases,Consumer,Qtr 2,125.5824,0,9,523.26
Washington,Furniture,Bookcases,Consumer,Qtr 2,41.860800000000005,0,3,174.42000000000002
Wisconsin,Furniture,Bookcases,Consumer,Qtr 2,,,,
Arizona,Furniture,Bookcases,Consumer,Qtr 3,-191.64599999999996,0.7,6,127.76400000000002
California,Furniture,Bookcases,Consumer,Qtr 3,229.45659999999992,0.9,18,2726.494
Colorado,Furniture,Bookcases,Consumer,Qtr 3,-240.78400000000005,0.7,2,180.58800000000005
Florida,Furniture,Bookcases,Consumer,Qtr 3,-7.7727999999999895,0.2,4,155.45600000000002
Georgia,Furniture,Bookcases,Consumer,Qtr 3,,,,
Illinois,Furniture,Bookcases,Consumer,Qtr 3,-285.84199999999987,1.5,20,2173.92
Indiana,Furniture,Bookcases,Consumer,Qtr 3,,,,
Kentucky,Furniture,Bookcases,Consumer,Qtr 3,,,,
Michigan,Furniture,Bookcases,Consumer,Qtr 3,,,,
New Jersey,Furniture,Bookcases,Consumer,Qtr 3,,,,
New York,Furniture,Bookcases,Consumer,Qtr 3,187.60579999999968,1,21,8280.464
North Carolina,Furniture,Bookcases,Consumer,Qtr 3,,,,
Ohio,Furniture,Bookcases,Consumer,Qtr 3,,,,
Pennsylvania,Furniture,Bookcases,Consumer,Qtr 3,-2082.5454,2.5,20,3780.54
Tennessee,Furniture,Bookcases,Consumer,Qtr 3,,,,
Texas,Furniture,Bookcases,Consumer,Qtr 3,-370.0436000000001,0.64,6,2552.6384
Virginia,Furniture,Bookcases,Consumer,Qtr 3,69.67619999999998,0,3,302.94
Washington,Furniture,Bookcases,Consumer,Qtr 3,81.90320000000003,0,7,820.86
Wisconsin,Furniture,Bookcases,Consumer,Qtr 3,,,,
Arizona,Furniture,Bookcases,Consumer,Qtr 4,,,,
California,Furniture,Bookcases,Consumer,Qtr 4,83.92039999999969,1.9499999999999995,47,8315.6265
Colorado,Furniture,Bookcases,Consumer,Qtr 4,-1361.9656000000002,2.8,24,907.4160000000002
Florida,Furniture,Bookcases,Consumer,Qtr 4,-117.73499999999996,0.4,8,1014.2719999999999
Georgia,Furniture,Bookcases,Consumer,Qtr 4,,,,
Illinois,Furniture,Bookcases,Consumer,Qtr 4,-102.10560000000001,0.6,9,783.174
Indiana,Furniture,Bookcases,Consumer,Qtr 4,,,,
Kentucky,Furniture,Bookcases,Consumer,Qtr 4,41.9136,0,2,261.96
Michigan,Furniture,Bookcases,Consumer,Qtr 4,,,,
New Jersey,Furniture,Bookcases,Consumer,Qtr 4,141.39199999999988,0,6,2275.88
New York,Furniture,Bookcases,Consumer,Qtr 4,-101.97840000000043,1.7999999999999998,42,7357.744000000001
North Carolina,Furniture,Bookcases,Consumer,Qtr 4,,,,
Ohio,Furniture,Bookcases,Consumer,Qtr 4,-15.6156,0.5,1,35.49
Pennsylvania,Furniture,Bookcases,Consumer,Qtr 4,,,,
Tennessee,Furniture,Bookcases,Consumer,Qtr 4,,,,
Texas,Furniture,Bookcases,Consumer,Qtr 4,-360.96979999999996,1.6,17,2305.6487999999995
Virginia,Furniture,Bookcases,Consumer,Qtr 4,,,,
Washington,Furniture,Bookcases,Consumer,Qtr 4,79.16459999999998,0,4,341.94
Wisconsin,Furniture,Bookcases,Consumer,Qtr 4,73.86159999999995,0,11,865.78
Arizona,Furniture,Bookcases,Corporate,Qtr 1,,,,
California,Furniture,Bookcases,Corporate,Qtr 1,,,,
Colorado,Furniture,Bookcases,Corporate,Qtr 1,,,,
Florida,Furniture,Bookcases,Corporate,Qtr 1,,,,
Georgia,Furniture,Bookcases,Corporate,Qtr 1,,,,
Illinois,Furniture,Bookcases,Corporate,Qtr 1,,,,
Indiana,Furniture,Bookcases,Corporate,Qtr 1,,,,
Kentucky,Furniture,Bookcases,Corporate,Qtr 1,,,,
Michigan,Furniture,Bookcases,Corporate,Qtr 1,,,,
New Jersey,Furniture,Bookcases,Corporate,Qtr 1,,,,
New York,Furniture,Bookcases,Corporate,Qtr 1,,,,
North Carolina,Furniture,Bookcases,Corporate,Qtr 1,,,,
Ohio,Furniture,Bookcases,Corporate,Qtr 1,-443.94000000000005,1,10,754.9
Pennsylvania,Furniture,Bookcases,Corporate,Qtr 1,-53.28560000000001,0.5,4,61.96
Tennessee,Furniture,Bookcases,Corporate,Qtr 1,,,,
Texas,Furniture,Bookcases,Corporate,Qtr 1,-72.35280000000016,0.64,8,1433.3311999999999
Virginia,Furniture,Bookcases,Corporate,Qtr 1,,,,
Washington,Furniture,Bookcases,Corporate,Qtr 1,,,,
Wisconsin,Furniture,Bookcases,Corporate,Qtr 1,407.12880000000007,0,6,1565.88
Arizona,Furniture,Bookcases,Corporate,Qtr 2,-356.9643,0.7,7,209.979
California,Furniture,Bookcases,Corporate,Qtr 2,136.38229999999993,0.6,18,1591.7865
Colorado,Furniture,Bookcases,Corporate,Qtr 2,,,,
Florida,Furniture,Bookcases,Corporate,Qtr 2,,,,
Georgia,Furniture,Bookcases,Corporate,Qtr 2,75.73500000000001,0,3,302.94
Illinois,Furniture,Bookcases,Corporate,Qtr 2,,,,
Indiana,Furniture,Bookcases,Corporate,Qtr 2,,,,
Kentucky,Furniture,Bookcases,Corporate,Qtr 2,,,,
Michigan,Furniture,Bookcases,Corporate,Qtr 2,,,,
New Jersey,Furniture,Bookcases,Corporate,Qtr 2,,,,
New York,Furniture,Bookcases,Corporate,Qtr 2,,,,
North Carolina,Furniture,Bookcases,Corporate,Qtr 2,-32.21920000000002,0.2,8,198.27200000000002
Ohio,Furniture,Bookcases,Corporate,Qtr 2,-441.63079999999997,1,10,598.9
Pennsylvania,Furniture,Bookcases,Corporate,Qtr 2,,,,
Tennessee,Furniture,Bookcases,Corporate,Qtr 2,,,,
Texas,Furniture,Bookcases,Corporate,Qtr 2,-161.30140000000006,0.64,11,843.7303999999999
Virginia,Furniture,Bookcases,Corporate,Qtr 2,,,,
Washington,Furniture,Bookcases,Corporate,Qtr 2,,,,
Wisconsin,Furniture,Bookcases,Corporate,Qtr 2,,,,
Arizona,Furniture,Bookcases,Corporate,Qtr 3,,,,
California,Furniture,Bookcases,Corporate,Qtr 3,558.1147999999998,1.05,30,4945.682500000001
Colorado,Furniture,Bookcases,Corporate,Qtr 3,,,,
Florida,Furniture,Bookcases,Corporate,Qtr 3,5.798000000000002,0.2,5,231.92000000000002
Georgia,Furniture,Bookcases,Corporate,Qtr 3,,,,
Illinois,Furniture,Bookcases,Corporate,Qtr 3,-117.88199999999998,0.3,9,825.174
Indiana,Furniture,Bookcases,Corporate,Qtr 3,,,,
Kentucky,Furniture,Bookcases,Corporate,Qtr 3,,,,
Michigan,Furniture,Bookcases,Corporate,Qtr 3,31.091200000000015,0,4,194.32
New Jersey,Furniture,Bookcases,Corporate,Qtr 3,,,,
New York,Furniture,Bookcases,Corporate,Qtr 3,22.87719999999995,0.4,5,625.52
North Carolina,Furniture,Bookcases,Corporate,Qtr 3,,,,
Ohio,Furniture,Bookcases,Corporate,Qtr 3,,,,
Pennsylvania,Furniture,Bookcases,Corporate,Qtr 3,-81.94,0.5,4,163.88
Tennessee,Furniture,Bookcases,Corporate,Qtr 3,,,,
Texas,Furniture,Bookcases,Corporate,Qtr 3,-339.1149999999999,0.64,10,1325.8639999999998
Virginia,Furniture,Bookcases,Corporate,Qtr 3,,,,
Washington,Furniture,Bookcases,Corporate,Qtr 3,259.8896,0,8,1367.84
Wisconsin,Furniture,Bookcases,Corporate,Qtr 3,24.195999999999998,0,2,241.96
Arizona,Furniture,Bookcases,Corporate,Qtr 4,,,,
California,Furniture,Bookcases,Corporate,Qtr 4,-4.5471000000000075,0.44999999999999996,14,1479.6375
Colorado,Furniture,Bookcases,Corporate,Qtr 4,-554.3802,1.4,11,333.23400000000004
Florida,Furniture,Bookcases,Corporate,Qtr 4,10.858799999999974,0.2,2,289.568
Georgia,Furniture,Bookcases,Corporate,Qtr 4,,,,
Illinois,Furniture,Bookcases,Corporate,Qtr 4,-14.137200000000014,0.3,2,141.37199999999999
Indiana,Furniture,Bookcases,Corporate,Qtr 4,,,,
Kentucky,Furniture,Bookcases,Corporate,Qtr 4,,,,
Michigan,Furniture,Bookcases,Corporate,Qtr 4,20.927400000000006,0,1,160.98
New Jersey,Furniture,Bookcases,Corporate,Qtr 4,,,,
New York,Furniture,Bookcases,Corporate,Qtr 4,213.18779999999984,0.6000000000000001,14,2047.5120000000002
North Carolina,Furniture,Bookcases,Corporate,Qtr 4,,,,
Ohio,Furniture,Bookcases,Corporate,Qtr 4,,,,
Pennsylvania,Furniture,Bookcases,Corporate,Qtr 4,-250.5408,0.5,4,521.96
Tennessee,Furniture,Bookcases,Corporate,Qtr 4,8.193999999999996,0.2,2,131.104
Texas,Furniture,Bookcases,Corporate,Qtr 4,-254.25090000000012,1.28,16,1301.9891999999998
Virginia,Furniture,Bookcases,Corporate,Qtr 4,,,,
Washington,Furniture,Bookcases,Corporate,Qtr 4,,,,
Wisconsin,Furniture,Bookcases,Corporate,Qtr 4,,,,
Arizona,Furniture,Bookcases,Home Office,Qtr 1,,,,
California,Furniture,Bookcases,Home Office,Qtr 1,87.28859999999999,0.3,12,1402.3129999999999
Colorado,Furniture,Bookcases,Home Office,Qtr 1,,,,
Florida,Furniture,Bookcases,Home Office,Qtr 1,,,,
Georgia,Furniture,Bookcases,Home Office,Qtr 1,52.79559999999998,0,2,239.98
Illinois,Furniture,Bookcases,Home Office,Qtr 1,-35.9058,0.3,3,359.05799999999994
Indiana,Furniture,Bookcases,Home Office,Qtr 1,,,,
Kentucky,Furniture,Bookcases,Home Office,Qtr 1,,,,
Michigan,Furniture,Bookcases,Home Office,Qtr 1,,,,
New Jersey,Furniture,Bookcases,Home Office,Qtr 1,,,,
New York,Furniture,Bookcases,Home Office,Qtr 1,,,,
North Carolina,Furniture,Bookcases,Home Office,Qtr 1,,,,
Ohio,Furniture,Bookcases,Home Office,Qtr 1,,,,
Pennsylvania,Furniture,Bookcases,Home Office,Qtr 1,,,,
Tennessee,Furniture,Bookcases,Home Office,Qtr 1,,,,
Texas,Furniture,Bookcases,Home Office,Qtr 1,-84.6978,0.64,5,472.5319999999999
Virginia,Furniture,Bookcases,Home Office,Qtr 1,,,,
Washington,Furniture,Bookcases,Home Office,Qtr 1,18.6956,0,1,84.98
Wisconsin,Furniture,Bookcases,Home Office,Qtr 1,,,,
Arizona,Furniture,Bookcases,Home Office,Qtr 2,,,,
California,Furniture,Bookcases,Home Office,Qtr 2,145.95680000000004,0.44999999999999996,12,2610.996
Colorado,Furniture,Bookcases,Home Office,Qtr 2,,,,
Florida,Furniture,Bookcases,Home Office,Qtr 2,,,,
Georgia,Furniture,Bookcases,Home Office,Qtr 2,,,,
Illinois,Furniture,Bookcases,Home Office,Qtr 2,,,,
Indiana,Furniture,Bookcases,Home Office,Qtr 2,,,,
Kentucky,Furniture,Bookcases,Home Office,Qtr 2,,,,
Michigan,Furniture,Bookcases,Home Office,Qtr 2,57.4938,0,3,212.94
New Jersey,Furniture,Bookcases,Home Office,Qtr 2,,,,
New York,Furniture,Bookcases,Home Office,Qtr 2,,,,
North Carolina,Furniture,Bookcases,Home Office,Qtr 2,,,,
Ohio,Furniture,Bookcases,Home Office,Qtr 2,,,,
Pennsylvania,Furniture,Bookcases,Home Office,Qtr 2,-211.47,0.5,5,352.45
Tennessee,Furniture,Bookcases,Home Office,Qtr 2,-14.51760000000003,0.2,4,387.136
Texas,Furniture,Bookcases,Home Office,Qtr 2,,,,
Virginia,Furniture,Bookcases,Home Office,Qtr 2,,,,
Washington,Furniture,Bookcases,Home Office,Qtr 2,,,,
Wisconsin,Furniture,Bookcases,Home Office,Qtr 2,,,,
Arizona,Furniture,Bookcases,Home Office,Qtr 3,,,,
California,Furniture,Bookcases,Home Office,Qtr 3,7.0489999999999995,0.15,1,119.83299999999998
Colorado,Furniture,Bookcases,Home Office,Qtr 3,,,,
Florida,Furniture,Bookcases,Home Office,Qtr 3,,,,
Georgia,Furniture,Bookcases,Home Office,Qtr 3,,,,
Illinois,Furniture,Bookcases,Home Office,Qtr 3,,,,
Indiana,Furniture,Bookcases,Home Office,Qtr 3,,,,
Kentucky,Furniture,Bookcases,Home Office,Qtr 3,,,,
Michigan,Furniture,Bookcases,Home Office,Qtr 3,41.13319999999999,0,2,241.96
New Jersey,Furniture,Bookcases,Home Office,Qtr 3,,,,
New York,Furniture,Bookcases,Home Office,Qtr 3,,,,
North Carolina,Furniture,Bookcases,Home Office,Qtr 3,,,,
Ohio,Furniture,Bookcases,Home Office,Qtr 3,,,,
Pennsylvania,Furniture,Bookcases,Home Office,Qtr 3,,,,
Tennessee,Furniture,Bookcases,Home Office,Qtr 3,,,,
Texas,Furniture,Bookcases,Home Office,Qtr 3,-97.23120000000003,0.32,2,300.53279999999995
Virginia,Furniture,Bookcases,Home Office,Qtr 3,4.337199999999996,0,2,61.96
Washington,Furniture,Bookcases,Home Office,Qtr 3,40.97,0,2,163.88
Wisconsin,Furniture,Bookcases,Home Office,Qtr 3,48.11799999999998,0,5,687.4
Arizona,Furniture,Bookcases,Home Office,Qtr 4,,,,
California,Furniture,Bookcases,Home Office,Qtr 4,32.15260000000002,0.44999999999999996,9,680.2549999999999
Colorado,Furniture,Bookcases,Home Office,Qtr 4,,,,
Florida,Furniture,Bookcases,Home Office,Qtr 4,8.497999999999976,0.2,5,339.9200000000001
Georgia,Furniture,Bookcases,Home Office,Qtr 4,,,,
Illinois,Furniture,Bookcases,Home Office,Qtr 4,,,,
Indiana,Furniture,Bookcases,Home Office,Qtr 4,,,,
Kentucky,Furniture,Bookcases,Home Office,Qtr 4,,,,
Michigan,Furniture,Bookcases,Home Office,Qtr 4,,,,
New Jersey,Furniture,Bookcases,Home Office,Qtr 4,,,,
New York,Furniture,Bookcases,Home Office,Qtr 4,134.2013999999999,0.8,12,1915.0080000000003
North Carolina,Furniture,Bookcases,Home Office,Qtr 4,,,,
Ohio,Furniture,Bookcases,Home Office,Qtr 4,-48.703199999999995,0.5,3,86.97
Pennsylvania,Furniture,Bookcases,Home Office,Qtr 4,,,,
Tennessee,Furniture,Bookcases,Home Office,Qtr 4,,,,
Texas,Furniture,Bookcases,Home Office,Qtr 4,-46.97640000000001,0.32,3,532.3992
Virginia,Furniture,Bookcases,Home Office,Qtr 4,,,,
Washington,Furniture,Bookcases,Home Office,Qtr 4,,,,
Wisconsin,Furniture,Bookcases,Home Office,Qtr 4,,,,
Arizona,Furniture,Chairs,Consumer,Qtr 1,,,,
California,Furniture,Chairs,Consumer,Qtr 1,51.86459999999997,1.2,24,4474.816000000001
Colorado,Furniture,Chairs,Consumer,Qtr 1,,,,
Florida,Furniture,Chairs,Consumer,Qtr 1,30.37060000000008,0.4,11,1544.6239999999998
Georgia,Furniture,Chairs,Consumer,Qtr 1,,,,
Illinois,Furniture,Chairs,Consumer,Qtr 1,-8.579400000000078,0.6,8,1128.9879999999998
Indiana,Furniture,Chairs,Consumer,Qtr 1,,,,
Kentucky,Furniture,Chairs,Consumer,Qtr 1,225.264,0,4,866.4
Michigan,Furniture,Chairs,Consumer,Qtr 1,119.6956,0,4,483.65
New Jersey,Furniture,Chairs,Consumer,Qtr 1,36.473600000000005,0,2,227.96
New York,Furniture,Chairs,Consumer,Qtr 1,284.12229999999994,0.5,25,1676.7990000000002
North Carolina,Furniture,Chairs,Consumer,Qtr 1,-22.138200000000012,0.2,2,196.784
Ohio,Furniture,Chairs,Consumer,Qtr 1,-54.5958,0.3,2,181.986
Pennsylvania,Furniture,Chairs,Consumer,Qtr 1,-63.376499999999965,0.3,3,887.2709999999998
Tennessee,Furniture,Chairs,Consumer,Qtr 1,4.647599999999969,0.6000000000000001,13,769.64
Texas,Furniture,Chairs,Consumer,Qtr 1,-139.40020000000007,1.8,21,1791.874
Virginia,Furniture,Chairs,Consumer,Qtr 1,,,,
Washington,Furniture,Chairs,Consumer,Qtr 1,11.81109999999989,0.8,14,1109.336
Wisconsin,Furniture,Chairs,Consumer,Qtr 1,189.40460000000002,0,7,860.93
Arizona,Furniture,Chairs,Consumer,Qtr 2,105.02279999999996,0.2,4,933.5360000000001
California,Furniture,Chairs,Consumer,Qtr 2,17.3813999999998,2.1999999999999997,41,5020.023999999999
Colorado,Furniture,Chairs,Consumer,Qtr 2,54.352799999999945,0.2,4,483.13599999999997
Florida,Furniture,Chairs,Consumer,Qtr 2,0,0.2,5,2803.92
Georgia,Furniture,Chairs,Consumer,Qtr 2,,,,
Illinois,Furniture,Chairs,Consumer,Qtr 2,-303.4277,1.8,20,1780.6039999999998
Indiana,Furniture,Chairs,Consumer,Qtr 2,49.49009999999993,0,9,737.83
Kentucky,Furniture,Chairs,Consumer,Qtr 2,142.41719999999998,0,4,493.91999999999996
Michigan,Furniture,Chairs,Consumer,Qtr 2,,,,
New Jersey,Furniture,Chairs,Consumer,Qtr 2,20.733199999999997,0,2,121.96
New York,Furniture,Chairs,Consumer,Qtr 2,557.1862,0.7,24,3356.3160000000003
North Carolina,Furniture,Chairs,Consumer,Qtr 2,64.06739999999996,0.4,12,885.4080000000001
Ohio,Furniture,Chairs,Consumer,Qtr 2,-2.056799999999999,0.3,2,47.992
Pennsylvania,Furniture,Chairs,Consumer,Qtr 2,-41.03519999999999,1.2,19,3096.5689999999995
Tennessee,Furniture,Chairs,Consumer,Qtr 2,-114.39120000000003,0.2,8,831.9360000000001
Texas,Furniture,Chairs,Consumer,Qtr 2,-342.75650000000024,3.599999999999999,38,3204.943
Virginia,Furniture,Chairs,Consumer,Qtr 2,259.6544,0,5,974.9000000000001
Washington,Furniture,Chairs,Consumer,Qtr 2,102.31439999999995,0.6000000000000001,6,849.136
Wisconsin,Furniture,Chairs,Consumer,Qtr 2,,,,
Arizona,Furniture,Chairs,Consumer,Qtr 3,16.917299999999962,0.6000000000000001,7,915.4640000000002
California,Furniture,Chairs,Consumer,Qtr 3,224.72749999999985,3.800000000000001,57,5361.104000000001
Colorado,Furniture,Chairs,Consumer,Qtr 3,74.57399999999996,0.2,3,662.88
Florida,Furniture,Chairs,Consumer,Qtr 3,29.998000000000008,0.4,3,336.42400000000004
Georgia,Furniture,Chairs,Consumer,Qtr 3,99.501,0,5,436.84999999999997
Illinois,Furniture,Chairs,Consumer,Qtr 3,-308.45890000000014,2.4,32,3559.955
Indiana,Furniture,Chairs,Consumer,Qtr 3,394.212,0,7,1516.2
Kentucky,Furniture,Chairs,Consumer,Qtr 3,4.968599999999995,0,1,70.98
Michigan,Furniture,Chairs,Consumer,Qtr 3,163.68300000000002,0,10,741.2
New Jersey,Furniture,Chairs,Consumer,Qtr 3,,,,
New York,Furniture,Chairs,Consumer,Qtr 3,2384.1292000000008,1.5000000000000002,63,15147.792000000001
North Carolina,Furniture,Chairs,Consumer,Qtr 3,49.854599999999984,0.8,14,1026.4160000000002
Ohio,Furniture,Chairs,Consumer,Qtr 3,-21.633399999999995,0.8999999999999999,6,339.98999999999995
Pennsylvania,Furniture,Chairs,Consumer,Qtr 3,-1136.3789000000002,2.6999999999999997,36,7058.597
Tennessee,Furniture,Chairs,Consumer,Qtr 3,47.66039999999997,0.2,2,423.64799999999997
Texas,Furniture,Chairs,Consumer,Qtr 3,-40.70440000000029,0.8999999999999999,16,2754.2759999999994
Virginia,Furniture,Chairs,Consumer,Qtr 3,,,,
Washington,Furniture,Chairs,Consumer,Qtr 3,130.14709999999985,1.2,22,2586.8720000000003
Wisconsin,Furniture,Chairs,Consumer,Qtr 3,,,,
Arizona,Furniture,Chairs,Consumer,Qtr 4,-77.05260000000006,0.4,8,550.272
California,Furniture,Chairs,Consumer,Qtr 4,270.6206999999996,6.200000000000003,99,11169.672000000002
Colorado,Furniture,Chairs,Consumer,Qtr 4,46.533199999999994,0.4,9,1183.056
Florida,Furniture,Chairs,Consumer,Qtr 4,20.451200000000004,0.4,5,251.08800000000002
Georgia,Furniture,Chairs,Consumer,Qtr 4,,,,
Illinois,Furniture,Chairs,Consumer,Qtr 4,-216.38509999999997,1.8,16,1980.7269999999999
Indiana,Furniture,Chairs,Consumer,Qtr 4,364.31960000000004,0,6,1454.88
Kentucky,Furniture,Chairs,Consumer,Qtr 4,923.3659,0,27,3375.8199999999997
Michigan,Furniture,Chairs,Consumer,Qtr 4,852.3102000000001,0,32,4224.49
New Jersey,Furniture,Chairs,Consumer,Qtr 4,63.73139999999998,0,6,485.15999999999997
New York,Furniture,Chairs,Consumer,Qtr 4,1034.2417999999993,1.7000000000000004,78,8735.130000000001
North Carolina,Furniture,Chairs,Consumer,Qtr 4,10.2592,0.2,1,102.59200000000001
Ohio,Furniture,Chairs,Consumer,Qtr 4,-138.43400000000003,2.4,37,5149.3820000000005
Pennsylvania,Furniture,Chairs,Consumer,Qtr 4,-272.24140000000017,2.6999999999999997,29,3586.499
Tennessee,Furniture,Chairs,Consumer,Qtr 4,99.79359999999993,0.6000000000000001,7,1262.816
Texas,Furniture,Chairs,Consumer,Qtr 4,-580.6875999999997,3.2999999999999994,39,6139.378
Virginia,Furniture,Chairs,Consumer,Qtr 4,365.3822,0,13,1647.7400000000002
Washington,Furniture,Chairs,Consumer,Qtr 4,218.83119999999988,1,24,4418.816
Wisconsin,Furniture,Chairs,Consumer,Qtr 4,911.0402000000001,0,16,4242.3
Arizona,Furniture,Chairs,Corporate,Qtr 1,-35.36460000000001,0.2,3,314.352
California,Furniture,Chairs,Corporate,Qtr 1,140.75259999999992,0.6000000000000001,10,2307.136
Colorado,Furniture,Chairs,Corporate,Qtr 1,,,,
Florida,Furniture,Chairs,Corporate,Qtr 1,,,,
Georgia,Furniture,Chairs,Corporate,Qtr 1,,,,
Illinois,Furniture,Chairs,Corporate,Qtr 1,-2.6982,0.3,3,62.958
Indiana,Furniture,Chairs,Corporate,Qtr 1,,,,
Kentucky,Furniture,Chairs,Corporate,Qtr 1,,,,
Michigan,Furniture,Chairs,Corporate,Qtr 1,,,,
New Jersey,Furniture,Chairs,Corporate,Qtr 1,,,,
New York,Furniture,Chairs,Corporate,Qtr 1,19.765799999999984,0.30000000000000004,7,506.57400000000007
North Carolina,Furniture,Chairs,Corporate,Qtr 1,,,,
Ohio,Furniture,Chairs,Corporate,Qtr 1,,,,
Pennsylvania,Furniture,Chairs,Corporate,Qtr 1,-12.622000000000021,0.6,4,486.05199999999996
Tennessee,Furniture,Chairs,Corporate,Qtr 1,,,,
Texas,Furniture,Chairs,Corporate,Qtr 1,-199.774,0.8999999999999999,14,1333.3599999999997
Virginia,Furniture,Chairs,Corporate,Qtr 1,,,,
Washington,Furniture,Chairs,Corporate,Qtr 1,162.22619999999978,0.8,14,2078.1920000000005
Wisconsin,Furniture,Chairs,Corporate,Qtr 1,482.5818999999999,0,11,1986.5200000000002
Arizona,Furniture,Chairs,Corporate,Qtr 2,,,,
California,Furniture,Chairs,Corporate,Qtr 2,196.6221999999999,1.7999999999999998,33,2996.9680000000003
Colorado,Furniture,Chairs,Corporate,Qtr 2,50.097999999999985,0.2,2,801.5680000000001
Florida,Furniture,Chairs,Corporate,Qtr 2,-239.8124000000002,0.8,19,2006.096
Georgia,Furniture,Chairs,Corporate,Qtr 2,,,,
Illinois,Furniture,Chairs,Corporate,Qtr 2,-36.716700000000095,0.6,6,646.527
Indiana,Furniture,Chairs,Corporate,Qtr 2,539.2464,0,6,1925.88
Kentucky,Furniture,Chairs,Corporate,Qtr 2,,,,
Michigan,Furniture,Chairs,Corporate,Qtr 2,1250.6477000000002,0,13,5466.990000000001
New Jersey,Furniture,Chairs,Corporate,Qtr 2,,,,
New York,Furniture,Chairs,Corporate,Qtr 2,318.40920000000006,0.30000000000000004,14,2309.148
North Carolina,Furniture,Chairs,Corporate,Qtr 2,25.87499999999997,0.2,3,207
Ohio,Furniture,Chairs,Corporate,Qtr 2,-129.49380000000002,0.6,9,1077.174
Pennsylvania,Furniture,Chairs,Corporate,Qtr 2,-41.8704,0.6,6,550.116
Tennessee,Furniture,Chairs,Corporate,Qtr 2,101.75479999999993,0.8,12,1689.424
Texas,Furniture,Chairs,Corporate,Qtr 2,-240.0253999999999,1.2,17,2411.9619999999995
Virginia,Furniture,Chairs,Corporate,Qtr 2,,,,
Washington,Furniture,Chairs,Corporate,Qtr 2,,,,
Wisconsin,Furniture,Chairs,Corporate,Qtr 2,378.274,0,5,1454.9
Arizona,Furniture,Chairs,Corporate,Qtr 3,13.317599999999985,0.2,3,266.35200000000003
California,Furniture,Chairs,Corporate,Qtr 3,203.4855999999996,2.4,44,8571.784000000001
