Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Country,Orders.State,Orders.City,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 3,2015,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,54.713599999999985,341.96
Qtr 1,2017,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,39.7488,141.96
Qtr 2,2014,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,South Dakota,Rapid City,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Amarillo,-36.235200000000006,205.33279999999996
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Amarillo,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Brownsville,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Brownsville,-14.458800000000025,327.73279999999994
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Dallas,-437.5404000000002,1352.3975999999998
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Dallas,-52.89080000000003,156.37279999999998
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Dallas,-102.48999999999998,614.6655999999999
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Dallas,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Dallas,-27.264600000000016,205.99919999999997
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Fort Worth,-161.30140000000006,843.7303999999999
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Fort Worth,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Harlingen,-14.195999999999998,241.332
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Harlingen,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Houston,-97.23120000000003,300.53279999999995
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Houston,-12.998700000000007,67.99319999999999
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Houston,-103.78800000000015,1611.464
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Houston,-114.01739999999995,369.19919999999996
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Houston,-65.03520000000009,1146.3984
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Houston,-317.15280000000007,2396.2655999999997
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Houston,-363.0736,1738.5287999999998
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Houston,-47.125400000000134,1112.3983999999998
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Houston,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Huntsville,-225.09759999999991,956.6647999999999
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Huntsville,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Plano,-19.874399999999994,193.0656
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Plano,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Port Arthur,-76.01159999999997,246.13279999999997
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Port Arthur,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Round Rock,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Round Rock,-11.595999999999997,78.85279999999999
Qtr 1,2014,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Texas,Waco,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Texas,Waco,-91.75859999999997,328.39919999999995
Qtr 1,2014,Furniture,Bookcases,Central,United States,Wisconsin,Eau Claire,,
