Brand Name,Color,Year,Quarter,Value Column Name,Value
"Contoso","Red","2013","Q2","Units","25"
"Contoso","Red","2013","Q2","Units - YoY Sales","-3495"
"Contoso","Red","2013","Q2","(Units - YoY Sales)%","-0.9928977272727273"
"Contoso","Red","2013","Q3","YoY Sales","2168"
"Contoso","Red","2013","Q3","Units","17"
"Contoso","Red","2013","Q3","Units - YoY Sales","-2151"
"Contoso","Red","2013","Q3","(Units - YoY Sales)%","-0.9921586715867159"
"Contoso","Red","2013","Q4","YoY Sales","13954"
"Contoso","Red","2013","Q4","Units","67"
"Contoso","Red","2013","Q4","Units - YoY Sales","-13887"
"Contoso","Red","2013","Q4","(Units - YoY Sales)%","-0.9951985093879891"
"Contoso","Red","2014","Q1","YoY Sales","28420"
"Contoso","Red","2014","Q1","Units","91"
"Contoso","Red","2014","Q1","Units - YoY Sales","-28329"
"Contoso","Red","2014","Q1","(Units - YoY Sales)%","-0.9967980295566502"
"Contoso","Red","2014","Q2","YoY Sales","32140"
"Contoso","Red","2014","Q2","Units","63"
"Contoso","Red","2014","Q2","Units - YoY Sales","-32077"
"Contoso","Red","2014","Q2","(Units - YoY Sales)%","-0.99803982576229"
"Contoso","Red","2014","Q3","YoY Sales","66012"
"Contoso","Red","2014","Q3","Units","163"
"Contoso","Red","2014","Q3","Units - YoY Sales","-65849"
"Contoso","Red","2014","Q3","(Units - YoY Sales)%","-0.9975307519844877"
"Contoso","Red","2014","Q4","YoY Sales","90087"
"Contoso","Red","2014","Q4","Units","200"
"Contoso","Red","2014","Q4","Units - YoY Sales","-89887"
"Contoso","Red","2014","Q4","(Units - YoY Sales)%","-0.9977799238513881"
"Contoso","Red","2015","Q1","YoY Sales","28588"
"Contoso","Red","2015","Q1","Units","138"
"Contoso","Red","2015","Q1","Units - YoY Sales","-28450"
"Contoso","Red","2015","Q1","(Units - YoY Sales)%","-0.9951727997761298"
"Contoso","Red","2015","Q2","YoY Sales","10655"
"Contoso","Red","2015","Q2","Units","71"
"Contoso","Red","2015","Q2","Units - YoY Sales","-10584"
"Contoso","Red","2015","Q2","(Units - YoY Sales)%","-0.9933364617550445"
"Contoso","Red","2015","Q3","YoY Sales","2304"
"Contoso","Red","2015","Q3","Units","95"
"Contoso","Red","2015","Q3","Units - YoY Sales","-2209"
"Contoso","Red","2015","Q3","(Units - YoY Sales)%","-0.9587673611111112"
"Contoso","Red","2015","Q4","YoY Sales","-25091"
"Contoso","Red","2015","Q4","Units","182"
"Contoso","Red","2015","Q4","Units - YoY Sales","25273"
"Contoso","Red","2015","Q4","(Units - YoY Sales)%","1.0072535969072576"
"Contoso","Brown","2013","Q1","YoY Sales","20544"
"Contoso","Brown","2013","Q1","Units","60"
"Contoso","Brown","2013","Q1","Units - YoY Sales","-20484"
"Contoso","Brown","2013","Q1","(Units - YoY Sales)%","-0.9970794392523366"
"Contoso","Brown","2013","Q2","YoY Sales","7590"
"Contoso","Brown","2013","Q2","Units","48"
"Contoso","Brown","2013","Q2","Units - YoY Sales","-7542"
"Contoso","Brown","2013","Q2","(Units - YoY Sales)%","-0.9936758893280633"
"Contoso","Brown","2013","Q3","YoY Sales","38796"
"Contoso","Brown","2013","Q3","Units","134"
"Contoso","Brown","2013","Q3","Units - YoY Sales","-38662"
"Contoso","Brown","2013","Q3","(Units - YoY Sales)%","-0.9965460356737808"
"Contoso","Brown","2013","Q4","YoY Sales","44990"
"Contoso","Brown","2013","Q4","Units","149"
"Contoso","Brown","2013","Q4","Units - YoY Sales","-44841"
"Contoso","Brown","2013","Q4","(Units - YoY Sales)%","-0.9966881529228718"
"Contoso","Brown","2014","Q1","YoY Sales","9250"
"Contoso","Brown","2014","Q1","Units","85"
"Contoso","Brown","2014","Q1","Units - YoY Sales","-9165"
"Contoso","Brown","2014","Q1","(Units - YoY Sales)%","-0.9908108108108108"
"Contoso","Brown","2014","Q2","YoY Sales","2220"
"Contoso","Brown","2014","Q2","Units","48"
"Contoso","Brown","2014","Q2","Units - YoY Sales","-2172"
"Contoso","Brown","2014","Q2","(Units - YoY Sales)%","-0.9783783783783784"
"Contoso","Brown","2014","Q3","YoY Sales","-23036"
"Contoso","Brown","2014","Q3","Units","56"
"Contoso","Brown","2014","Q3","Units - YoY Sales","23092"
"Contoso","Brown","2014","Q3","(Units - YoY Sales)%","1.0024309776002778"
"Contoso","Brown","2014","Q4","YoY Sales","-15084"
"Contoso","Brown","2014","Q4","Units","128"
"Contoso","Brown","2014","Q4","Units - YoY Sales","15212"
"Contoso","Brown","2014","Q4","(Units - YoY Sales)%","1.0084858127817555"
"Contoso","Brown","2015","Q1","YoY Sales","-9943"
"Contoso","Brown","2015","Q1","Units","57"
"Contoso","Brown","2015","Q1","Units - YoY Sales","10000"
"Contoso","Brown","2015","Q1","(Units - YoY Sales)%","1.0057326762546515"
"Contoso","Brown","2015","Q2","YoY Sales","-12928"
"Contoso","Brown","2015","Q2","Units","27"
"Contoso","Brown","2015","Q2","Units - YoY Sales","12955"
"Contoso","Brown","2015","Q2","(Units - YoY Sales)%","1.00208849009901"
"Contoso","Brown","2015","Q3","YoY Sales","1035"
"Contoso","Brown","2015","Q3","Units","44"
"Contoso","Brown","2015","Q3","Units - YoY Sales","-991"
"Contoso","Brown","2015","Q3","(Units - YoY Sales)%","-0.9574879227053139"
"Contoso","Brown","2015","Q4","YoY Sales","-16947"
"Contoso","Brown","2015","Q4","Units","77"
"Contoso","Brown","2015","Q4","Units - YoY Sales","17024"
"Contoso","Brown","2015","Q4","(Units - YoY Sales)%","1.0045435770342834"
"Contoso","Silver Grey","2013","Q1","YoY Sales",
"Contoso","Silver Grey","2013","Q1","Units",
"Contoso","Silver Grey","2013","Q1","Units - YoY Sales",
"Contoso","Silver Grey","2013","Q1","(Units - YoY Sales)%",
"Contoso","Silver Grey","2013","Q2","YoY Sales",
"Contoso","Silver Grey","2013","Q2","Units",
"Contoso","Silver Grey","2013","Q2","Units - YoY Sales",
"Contoso","Silver Grey","2013","Q2","(Units - YoY Sales)%",
"Contoso","Silver Grey","2013","Q3","YoY Sales",
"Contoso","Silver Grey","2013","Q3","Units",
"Contoso","Silver Grey","2013","Q3","Units - YoY Sales",
"Contoso","Silver Grey","2013","Q3","(Units - YoY Sales)%",
"Contoso","Silver Grey","2013","Q4","YoY Sales",
"Contoso","Silver Grey","2013","Q4","Units",
"Contoso","Silver Grey","2013","Q4","Units - YoY Sales",
"Contoso","Silver Grey","2013","Q4","(Units - YoY Sales)%",
"Contoso","Silver Grey","2014","Q1","YoY Sales","6397"
"Contoso","Silver Grey","2014","Q1","Units","12"
"Contoso","Silver Grey","2014","Q1","Units - YoY Sales","-6385"
"Contoso","Silver Grey","2014","Q1","(Units - YoY Sales)%","-0.9981241206815696"
"Contoso","Silver Grey","2014","Q2","YoY Sales","5758"
"Contoso","Silver Grey","2014","Q2","Units","13"
"Contoso","Silver Grey","2014","Q2","Units - YoY Sales","-5745"
"Contoso","Silver Grey","2014","Q2","(Units - YoY Sales)%","-0.9977422716220911"
"Contoso","Silver Grey","2014","Q3","YoY Sales","9340"
"Contoso","Silver Grey","2014","Q3","Units","20"
"Contoso","Silver Grey","2014","Q3","Units - YoY Sales","-9320"
"Contoso","Silver Grey","2014","Q3","(Units - YoY Sales)%","-0.9978586723768736"
"Contoso","Silver Grey","2014","Q4","YoY Sales","5182"
"Contoso","Silver Grey","2014","Q4","Units","10"
"Contoso","Silver Grey","2014","Q4","Units - YoY Sales","-5172"
"Contoso","Silver Grey","2014","Q4","(Units - YoY Sales)%","-0.9980702431493633"
"Contoso","Silver Grey","2015","Q1","YoY Sales","-3024"
"Contoso","Silver Grey","2015","Q1","Units","7"
"Contoso","Silver Grey","2015","Q1","Units - YoY Sales","3031"
"Contoso","Silver Grey","2015","Q1","(Units - YoY Sales)%","1.0023148148148149"
"Contoso","Silver Grey","2015","Q2","YoY Sales","-1066"
"Contoso","Silver Grey","2015","Q2","Units","12"
"Contoso","Silver Grey","2015","Q2","Units - YoY Sales","1078"
"Contoso","Silver Grey","2015","Q2","(Units - YoY Sales)%","1.0112570356472796"
"Contoso","Silver Grey","2015","Q3","YoY Sales","-3136"
"Contoso","Silver Grey","2015","Q3","Units","13"
"Contoso","Silver Grey","2015","Q3","Units - YoY Sales","3149"
"Contoso","Silver Grey","2015","Q3","(Units - YoY Sales)%","1.0041454081632653"
"Contoso","Silver Grey","2015","Q4","YoY Sales","2184"
"Contoso","Silver Grey","2015","Q4","Units","15"
"Contoso","Silver Grey","2015","Q4","Units - YoY Sales","-2169"
"Contoso","Silver Grey","2015","Q4","(Units - YoY Sales)%","-0.9931318681318682"
"Adventure Works","Black","2013","Q1","YoY Sales","71085"
"Adventure Works","Black","2013","Q1","Units","170"
"Adventure Works","Black","2013","Q1","Units - YoY Sales","-70915"
"Adventure Works","Black","2013","Q1","(Units - YoY Sales)%","-0.9976084968699445"
"Adventure Works","Black","2013","Q2","YoY Sales","72639"
"Adventure Works","Black","2013","Q2","Units","140"
"Adventure Works","Black","2013","Q2","Units - YoY Sales","-72499"
"Adventure Works","Black","2013","Q2","(Units - YoY Sales)%","-0.9980726606919148"
"Adventure Works","Black","2013","Q3","YoY Sales","104717"
"Adventure Works","Black","2013","Q3","Units","308"
"Adventure Works","Black","2013","Q3","Units - YoY Sales","-104409"
"Adventure Works","Black","2013","Q3","(Units - YoY Sales)%","-0.9970587392686956"
"Adventure Works","Black","2013","Q4","YoY Sales","166947"
"Adventure Works","Black","2013","Q4","Units","486"
"Adventure Works","Black","2013","Q4","Units - YoY Sales","-166461"
"Adventure Works","Black","2013","Q4","(Units - YoY Sales)%","-0.9970888964761272"
"Adventure Works","Black","2014","Q1","YoY Sales","52377"
"Adventure Works","Black","2014","Q1","Units","278"
"Adventure Works","Black","2014","Q1","Units - YoY Sales","-52099"
"Adventure Works","Black","2014","Q1","(Units - YoY Sales)%","-0.9946923267846572"
"Adventure Works","Black","2014","Q2","YoY Sales","-15098"
"Adventure Works","Black","2014","Q2","Units","146"
"Adventure Works","Black","2014","Q2","Units - YoY Sales","15244"
"Adventure Works","Black","2014","Q2","(Units - YoY Sales)%","1.0096701549874156"
"Adventure Works","Black","2014","Q3","YoY Sales","-25280"
"Adventure Works","Black","2014","Q3","Units","295"
"Adventure Works","Black","2014","Q3","Units - YoY Sales","25575"
"Adventure Works","Black","2014","Q3","(Units - YoY Sales)%","1.0116693037974684"
"Adventure Works","Black","2014","Q4","YoY Sales","-20582"
"Adventure Works","Black","2014","Q4","Units","469"
"Adventure Works","Black","2014","Q4","Units - YoY Sales","21051"
"Adventure Works","Black","2014","Q4","(Units - YoY Sales)%","1.0227869011757846"
"Adventure Works","Black","2015","Q1","YoY Sales","-30594"
"Adventure Works","Black","2015","Q1","Units","226"
"Adventure Works","Black","2015","Q1","Units - YoY Sales","30820"
"Adventure Works","Black","2015","Q1","(Units - YoY Sales)%","1.0073870693600053"
"Adventure Works","Black","2015","Q2","YoY Sales","-27469"
"Adventure Works","Black","2015","Q2","Units","83"
"Adventure Works","Black","2015","Q2","Units - YoY Sales","27552"
"Adventure Works","Black","2015","Q2","(Units - YoY Sales)%","1.0030215879718956"
"Adventure Works","Black","2015","Q3","YoY Sales","-31704"
"Adventure Works","Black","2015","Q3","Units","218"
"Adventure Works","Black","2015","Q3","Units - YoY Sales","31922"
"Adventure Works","Black","2015","Q3","(Units - YoY Sales)%","1.0068761039616452"
"Adventure Works","Black","2015","Q4","YoY Sales","-129714"
"Adventure Works","Black","2015","Q4","Units","224"
"Adventure Works","Black","2015","Q4","Units - YoY Sales","129938"
"Adventure Works","Black","2015","Q4","(Units - YoY Sales)%","1.0017268760503877"
"Adventure Works","Silver","2013","Q1","YoY Sales","56617"
"Adventure Works","Silver","2013","Q1","Units","100"
"Adventure Works","Silver","2013","Q1","Units - YoY Sales","-56517"
"Adventure Works","Silver","2013","Q1","(Units - YoY Sales)%","-0.9982337460480067"
"Adventure Works","Silver","2013","Q2","YoY Sales","53304"
"Adventure Works","Silver","2013","Q2","Units","108"
"Adventure Works","Silver","2013","Q2","Units - YoY Sales","-53196"
"Adventure Works","Silver","2013","Q2","(Units - YoY Sales)%","-0.9979738856371004"
"Adventure Works","Silver","2013","Q3","YoY Sales","92446"
"Adventure Works","Silver","2013","Q3","Units","166"
"Adventure Works","Silver","2013","Q3","Units - YoY Sales","-92280"
"Adventure Works","Silver","2013","Q3","(Units - YoY Sales)%","-0.9982043571382212"
"Adventure Works","Silver","2013","Q4","YoY Sales","154195"
"Adventure Works","Silver","2013","Q4","Units","331"
"Adventure Works","Silver","2013","Q4","Units - YoY Sales","-153864"
"Adventure Works","Silver","2013","Q4","(Units - YoY Sales)%","-0.9978533674892183"
"Adventure Works","Silver","2014","Q1","YoY Sales","59069"
"Adventure Works","Silver","2014","Q1","Units","223"
"Adventure Works","Silver","2014","Q1","Units - YoY Sales","-58846"
"Adventure Works","Silver","2014","Q1","(Units - YoY Sales)%","-0.996224754101136"
"Adventure Works","Silver","2014","Q2","YoY Sales","-21163"
"Adventure Works","Silver","2014","Q2","Units","107"
"Adventure Works","Silver","2014","Q2","Units - YoY Sales","21270"
"Adventure Works","Silver","2014","Q2","(Units - YoY Sales)%","1.005055993951708"
"Adventure Works","Silver","2014","Q3","YoY Sales","-33006"
"Adventure Works","Silver","2014","Q3","Units","212"
"Adventure Works","Silver","2014","Q3","Units - YoY Sales","33218"
"Adventure Works","Silver","2014","Q3","(Units - YoY Sales)%","1.0064230745924982"
"Adventure Works","Silver","2014","Q4","YoY Sales","-55340"
"Adventure Works","Silver","2014","Q4","Units","278"
"Adventure Works","Silver","2014","Q4","Units - YoY Sales","55618"
"Adventure Works","Silver","2014","Q4","(Units - YoY Sales)%","1.005023491145645"
"Adventure Works","Silver","2015","Q1","YoY Sales","-7829"
"Adventure Works","Silver","2015","Q1","Units","173"
"Adventure Works","Silver","2015","Q1","Units - YoY Sales","8002"
"Adventure Works","Silver","2015","Q1","(Units - YoY Sales)%","1.0220973304381147"
"Adventure Works","Silver","2015","Q2","YoY Sales","-17619"
"Adventure Works","Silver","2015","Q2","Units","65"
"Adventure Works","Silver","2015","Q2","Units - YoY Sales","17684"
"Adventure Works","Silver","2015","Q2","(Units - YoY Sales)%","1.0036891991599977"
"Adventure Works","Silver","2015","Q3","YoY Sales","-58254"
"Adventure Works","Silver","2015","Q3","Units","101"
"Adventure Works","Silver","2015","Q3","Units - YoY Sales","58355"
"Adventure Works","Silver","2015","Q3","(Units - YoY Sales)%","1.0017337865210973"
"Adventure Works","Silver","2015","Q4","YoY Sales","-75052"
"Adventure Works","Silver","2015","Q4","Units","151"
"Adventure Works","Silver","2015","Q4","Units - YoY Sales","75203"
"Adventure Works","Silver","2015","Q4","(Units - YoY Sales)%","1.0020119383893833"
"Adventure Works","Brown","2013","Q1","YoY Sales","37426"
"Adventure Works","Brown","2013","Q1","Units","62"
"Adventure Works","Brown","2013","Q1","Units - YoY Sales","-37364"
"Adventure Works","Brown","2013","Q1","(Units - YoY Sales)%","-0.9983433976380056"
"Adventure Works","Brown","2013","Q2","YoY Sales","43771"
"Adventure Works","Brown","2013","Q2","Units","65"
"Adventure Works","Brown","2013","Q2","Units - YoY Sales","-43706"
"Adventure Works","Brown","2013","Q2","(Units - YoY Sales)%","-0.9985149985149985"
"Adventure Works","Brown","2013","Q3","YoY Sales","93311"
"Adventure Works","Brown","2013","Q3","Units","120"
"Adventure Works","Brown","2013","Q3","Units - YoY Sales","-93191"
"Adventure Works","Brown","2013","Q3","(Units - YoY Sales)%","-0.9987139779875899"
"Adventure Works","Brown","2013","Q4","YoY Sales","77206"
"Adventure Works","Brown","2013","Q4","Units","160"
"Adventure Works","Brown","2013","Q4","Units - YoY Sales","-77046"
"Adventure Works","Brown","2013","Q4","(Units - YoY Sales)%","-0.9979276222055282"
"Adventure Works","Brown","2014","Q1","YoY Sales","44793"
"Adventure Works","Brown","2014","Q1","Units","97"
"Adventure Works","Brown","2014","Q1","Units - YoY Sales","-44696"
"Adventure Works","Brown","2014","Q1","(Units - YoY Sales)%","-0.9978344830665506"
"Adventure Works","Brown","2014","Q2","YoY Sales","-25539"
"Adventure Works","Brown","2014","Q2","Units","45"
"Adventure Works","Brown","2014","Q2","Units - YoY Sales","25584"
"Adventure Works","Brown","2014","Q2","(Units - YoY Sales)%","1.0017620110419359"
"Adventure Works","Brown","2014","Q3","YoY Sales","-39745"
"Adventure Works","Brown","2014","Q3","Units","87"
"Adventure Works","Brown","2014","Q3","Units - YoY Sales","39832"
"Adventure Works","Brown","2014","Q3","(Units - YoY Sales)%","1.0021889545854825"
"Adventure Works","Brown","2014","Q4","YoY Sales","-16951"
"Adventure Works","Brown","2014","Q4","Units","113"
"Adventure Works","Brown","2014","Q4","Units - YoY Sales","17064"
"Adventure Works","Brown","2014","Q4","(Units - YoY Sales)%","1.006666273376202"
"Adventure Works","Brown","2015","Q1","YoY Sales","-26902"
"Adventure Works","Brown","2015","Q1","Units","75"
"Adventure Works","Brown","2015","Q1","Units - YoY Sales","26977"
"Adventure Works","Brown","2015","Q1","(Units - YoY Sales)%","1.002787896810646"
"Adventure Works","Brown","2015","Q2","YoY Sales","-907"
"Adventure Works","Brown","2015","Q2","Units","40"
"Adventure Works","Brown","2015","Q2","Units - YoY Sales","947"
"Adventure Works","Brown","2015","Q2","(Units - YoY Sales)%","1.0441014332965821"
"Adventure Works","Brown","2015","Q3","YoY Sales","-32439"
"Adventure Works","Brown","2015","Q3","Units","53"
"Adventure Works","Brown","2015","Q3","Units - YoY Sales","32492"
"Adventure Works","Brown","2015","Q3","(Units - YoY Sales)%","1.0016338358149142"
"Adventure Works","Brown","2015","Q4","YoY Sales","-64991"
"Adventure Works","Brown","2015","Q4","Units","44"
"Adventure Works","Brown","2015","Q4","Units - YoY Sales","65035"
"Adventure Works","Brown","2015","Q4","(Units - YoY Sales)%","1.0006770168177133"
"Adventure Works","Blue","2013","Q1","YoY Sales","4360"
"Adventure Works","Blue","2013","Q1","Units","8"
"Adventure Works","Blue","2013","Q1","Units - YoY Sales","-4352"
"Adventure Works","Blue","2013","Q1","(Units - YoY Sales)%","-0.9981651376146788"
"Adventure Works","Blue","2013","Q2","YoY Sales","11911"
"Adventure Works","Blue","2013","Q2","Units","30"
"Adventure Works","Blue","2013","Q2","Units - YoY Sales","-11881"
"Adventure Works","Blue","2013","Q2","(Units - YoY Sales)%","-0.9974813197884309"
"Adventure Works","Blue","2013","Q3","YoY Sales","16382"
"Adventure Works","Blue","2013","Q3","Units","31"
"Adventure Works","Blue","2013","Q3","Units - YoY Sales","-16351"
"Adventure Works","Blue","2013","Q3","(Units - YoY Sales)%","-0.9981076791600537"
