Orders.Ship Mode,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
Standard Class,Home Office,Office Supplies,Appliances,2031.6341999999995
First Class,Consumer,Office Supplies,Envelopes,472.1837
First Class,Corporate,Office Supplies,Envelopes,243.21059999999994
First Class,Home Office,Office Supplies,Envelopes,286.20179999999993
Same Day,Consumer,Office Supplies,Envelopes,187.5898
Same Day,Corporate,Office Supplies,Envelopes,52.697599999999994
Same Day,Home Office,Office Supplies,Envelopes,108.5274
Second Class,Consumer,Office Supplies,Envelopes,451.63269999999994
Second Class,Corporate,Office Supplies,Envelopes,708.7653999999999
Second Class,Home Office,Office Supplies,Envelopes,120.0054
Standard Class,Consumer,Office Supplies,Envelopes,2153.0063999999998
Standard Class,Corporate,Office Supplies,Envelopes,1566.555399999999
Standard Class,Home Office,Office Supplies,Envelopes,613.8004999999998
First Class,Consumer,Office Supplies,Art,437.38019999999995
First Class,Corporate,Office Supplies,Art,134.98839999999996
First Class,Home Office,Office Supplies,Art,177.98140000000004
Same Day,Consumer,Office Supplies,Art,191.81349999999998
Same Day,Corporate,Office Supplies,Art,187.28540000000004
Same Day,Home Office,Office Supplies,Art,24.3442
Second Class,Consumer,Office Supplies,Art,802.6697
Second Class,Corporate,Office Supplies,Art,289.656
Second Class,Home Office,Office Supplies,Art,206.80320000000003
Standard Class,Consumer,Office Supplies,Art,2022.4376999999984
Standard Class,Corporate,Office Supplies,Art,1392.7179000000003
Standard Class,Home Office,Office Supplies,Art,659.7094
First Class,Consumer,Office Supplies,Labels,460.6333999999999
First Class,Corporate,Office Supplies,Labels,209.84969999999996
First Class,Home Office,Office Supplies,Labels,134.23209999999997
Same Day,Consumer,Office Supplies,Labels,156.81500000000003
Same Day,Corporate,Office Supplies,Labels,17.5036
Same Day,Home Office,Office Supplies,Labels,71.2456
Second Class,Consumer,Office Supplies,Labels,618.3243000000001
Second Class,Corporate,Office Supplies,Labels,814.6824
Second Class,Home Office,Office Supplies,Labels,33.781400000000005
Standard Class,Consumer,Office Supplies,Labels,1840.2156999999982
Standard Class,Corporate,Office Supplies,Labels,718.7916
Standard Class,Home Office,Office Supplies,Labels,470.1792
First Class,Consumer,Office Supplies,Fasteners,62.602199999999996
First Class,Corporate,Office Supplies,Fasteners,54.03099999999999
First Class,Home Office,Office Supplies,Fasteners,10.441999999999998
Same Day,Consumer,Office Supplies,Fasteners,34.49569999999999
Same Day,Corporate,Office Supplies,Fasteners,11.319999999999997
Same Day,Home Office,Office Supplies,Fasteners,0.30240000000000045
Second Class,Consumer,Office Supplies,Fasteners,107.11529999999999
Second Class,Corporate,Office Supplies,Fasteners,34.5665
Second Class,Home Office,Office Supplies,Fasteners,16.348
Standard Class,Consumer,Office Supplies,Fasteners,372.5876
Standard Class,Corporate,Office Supplies,Fasteners,151.98549999999997
Standard Class,Home Office,Office Supplies,Fasteners,93.72200000000002
First Class,Consumer,Office Supplies,Supplies,92.66330000000002
First Class,Corporate,Office Supplies,Supplies,-8.461599999999947
First Class,Home Office,Office Supplies,Supplies,28.904500000000013
Same Day,Consumer,Office Supplies,Supplies,22.237799999999993
Same Day,Corporate,Office Supplies,Supplies,36.400199999999984
Same Day,Home Office,Office Supplies,Supplies,20.302199999999992
Second Class,Consumer,Office Supplies,Supplies,-662.0500000000002
Second Class,Corporate,Office Supplies,Supplies,139.82509999999982
Second Class,Home Office,Office Supplies,Supplies,16.662499999999994
Standard Class,Consumer,Office Supplies,Supplies,-1110.4024000000002
Standard Class,Corporate,Office Supplies,Supplies,171.1627
Standard Class,Home Office,Office Supplies,Supplies,63.65619999999996
First Class,Consumer,Furniture,Chairs,1580.4697999999994
First Class,Corporate,Furniture,Chairs,72.9342999999995
First Class,Home Office,Furniture,Chairs,991.8107999999997
Same Day,Consumer,Furniture,Chairs,597.4019000000001
Same Day,Corporate,Furniture,Chairs,349.27449999999953
Same Day,Home Office,Furniture,Chairs,188.9670999999997
Second Class,Consumer,Furniture,Chairs,2680.5810999999994
Second Class,Corporate,Furniture,Chairs,2989.6936000000005
Second Class,Home Office,Furniture,Chairs,1095.9752999999992
Standard Class,Consumer,Furniture,Chairs,8376.879099999998
Standard Class,Corporate,Furniture,Chairs,4932.754099999999
Standard Class,Home Office,Furniture,Chairs,2733.4247000000005
First Class,Consumer,Furniture,Furnishings,1227.8458999999996
First Class,Corporate,Furniture,Furnishings,641.5359999999998
First Class,Home Office,Furniture,Furnishings,223.71460000000002
Same Day,Consumer,Furniture,Furnishings,125.13260000000007
Same Day,Corporate,Furniture,Furnishings,146.31019999999995
Same Day,Home Office,Furniture,Furnishings,127.11899999999999
Second Class,Consumer,Furniture,Furnishings,1267.9009000000008
Second Class,Corporate,Furniture,Furnishings,418.59360000000004
Second Class,Home Office,Furniture,Furnishings,122.21810000000004
Standard Class,Consumer,Furniture,Furnishings,5298.543300000002
Standard Class,Corporate,Furniture,Furnishings,2301.767899999999
Standard Class,Home Office,Furniture,Furnishings,1158.4614999999972
First Class,Consumer,Furniture,Bookcases,-373.3393000000002
First Class,Corporate,Furniture,Bookcases,-82.1348000000001
First Class,Home Office,Furniture,Bookcases,149.4766
Same Day,Consumer,Furniture,Bookcases,25.168599999999984
Same Day,Corporate,Furniture,Bookcases,271.41920000000005
Same Day,Home Office,Furniture,Bookcases,95.9778
Second Class,Consumer,Furniture,Bookcases,-954.3445000000004
Second Class,Corporate,Furniture,Bookcases,-199.29260000000028
Second Class,Home Office,Furniture,Bookcases,125.61579999999994
Standard Class,Consumer,Furniture,Bookcases,-3133.123000000003
Standard Class,Corporate,Furniture,Bookcases,648.4583999999999
Standard Class,Home Office,Furniture,Bookcases,-46.438200000000165
First Class,Consumer,Furniture,Tables,-356.2374000000005
First Class,Corporate,Furniture,Tables,297.5905999999997
First Class,Home Office,Furniture,Tables,-1306.7197000000006
Same Day,Consumer,Furniture,Tables,-709.1798999999999
Same Day,Corporate,Furniture,Tables,-264.50419999999997
Same Day,Home Office,Furniture,Tables,-155.73840000000004
Second Class,Consumer,Furniture,Tables,-2230.3206999999998
Second Class,Corporate,Furniture,Tables,-1612.3905000000002
Second Class,Home Office,Furniture,Tables,522.0312999999996
Standard Class,Consumer,Furniture,Tables,-6432.2998000000025
Standard Class,Corporate,Furniture,Tables,-3327.1945000000005
Standard Class,Home Office,Furniture,Tables,-2150.5179000000003
