Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Sub-Category,Orders.Category,Sum(Orders.Sales)
2017,South,Machines,Technology,9944.65
2014,South,Paper,Office Supplies,3184.5760000000005
2015,South,Paper,Office Supplies,2303.2519999999995
2016,South,Paper,Office Supplies,3923.1639999999993
2017,South,Paper,Office Supplies,4739.9919999999975
2014,South,Phones,Technology,17248.963999999996
2015,South,Phones,Technology,7848.381999999999
2016,South,Phones,Technology,11843.822000000004
2017,South,Phones,Technology,21363.270000000008
2014,South,Storage,Office Supplies,6715.006
2015,South,Storage,Office Supplies,7487.2260000000015
2016,South,Storage,Office Supplies,10840.395999999997
2017,South,Storage,Office Supplies,10725.432000000003
2014,South,Supplies,Office Supplies,4247.307999999999
2015,South,Supplies,Office Supplies,130.336
2016,South,Supplies,Office Supplies,1456.3000000000002
2017,South,Supplies,Office Supplies,2484.984
2014,South,Tables,Furniture,9940.9445
2015,South,Tables,Furniture,7370.6745
2016,South,Tables,Furniture,12498.3115
2017,South,Tables,Furniture,14106.261499999999
2014,West,Accessories,Technology,8926.244
2015,West,Accessories,Technology,10675.761999999997
2016,West,Accessories,Technology,15482.417999999992
2017,West,Accessories,Technology,26029.692000000006
2014,West,Appliances,Office Supplies,3755.495999999999
2015,West,Appliances,Office Supplies,7725.188
2016,West,Appliances,Office Supplies,5001.252000000002
2017,West,Appliances,Office Supplies,13754.399999999996
2014,West,Art,Office Supplies,3379.694
2015,West,Art,Office Supplies,2034.9899999999998
2016,West,Art,Office Supplies,1120.1220000000003
2017,West,Art,Office Supplies,2677.259999999999
2014,West,Binders,Office Supplies,12963.254000000004
2015,West,Binders,Office Supplies,3888.5119999999993
2016,West,Binders,Office Supplies,12559.181
2017,West,Binders,Office Supplies,26550.165999999994
2014,West,Bookcases,Furniture,6544.9130000000005
2015,West,Bookcases,Furniture,9353.8145
2016,West,Bookcases,Furniture,8217.0815
2017,West,Bookcases,Furniture,11888.314499999997
2014,West,Chairs,Furniture,21406.97599999999
2015,West,Chairs,Furniture,23700.016000000003
2016,West,Chairs,Furniture,31227.415999999987
2017,West,Chairs,Furniture,25446.919999999984
2014,West,Copiers,Technology,2999.946
2015,West,Copiers,Technology,7509.818000000001
2016,West,Copiers,Technology,9779.802000000001
2017,West,Copiers,Technology,29459.676000000003
2014,West,Envelopes,Office Supplies,657.588
2015,West,Envelopes,Office Supplies,1355.4360000000001
2016,West,Envelopes,Office Supplies,1558.6020000000005
2017,West,Envelopes,Office Supplies,546.4739999999999
2014,West,Fasteners,Office Supplies,276.808
2015,West,Fasteners,Office Supplies,139.552
2016,West,Fasteners,Office Supplies,263.72
2017,West,Fasteners,Office Supplies,243.136
2014,West,Furnishings,Furniture,4372.319999999999
2015,West,Furnishings,Furniture,7913.43
2016,West,Furnishings,Furniture,7788.5080000000025
2017,West,Furnishings,Furniture,9998.471999999998
2014,West,Labels,Office Supplies,875.738
2015,West,Labels,Office Supplies,1017.648
2016,West,Labels,Office Supplies,1248.6340000000002
2017,West,Labels,Office Supplies,1936.706
2014,West,Machines,Technology,3500.1010000000006
2015,West,Machines,Technology,8372.202000000001
2016,West,Machines,Technology,14793.559
2017,West,Machines,Technology,15778.260000000002
2014,West,Paper,Office Supplies,5386.456000000001
2015,West,Paper,Office Supplies,5472.470000000001
2016,West,Paper,Office Supplies,6447.001999999998
2017,West,Paper,Office Supplies,9357.789999999995
2014,West,Phones,Technology,29527.43999999999
2015,West,Phones,Technology,18539.992000000002
2016,West,Phones,Technology,25925.40000000001
2017,West,Phones,Technology,24691.519999999997
2014,West,Storage,Office Supplies,16313.388000000003
2015,West,Storage,Office Supplies,15920.341999999997
2016,West,Storage,Office Supplies,13040.734000000002
2017,West,Storage,Office Supplies,25258.388000000003
2014,West,Supplies,Office Supplies,9238.432000000003
2015,West,Supplies,Office Supplies,309.394
2016,West,Supplies,Office Supplies,6440.1100000000015
2017,West,Supplies,Office Supplies,2139.186
2014,West,Tables,Furniture,17758.239000000005
2015,West,Tables,Furniture,16037.683
2016,West,Tables,Furniture,26586.635000000006
2017,West,Tables,Furniture,24372.004999999994
