Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
June,2015,Office Supplies,Envelopes,99.26149999999997
July,2015,Office Supplies,Envelopes,240.36419999999995
August,2015,Office Supplies,Envelopes,
September,2015,Office Supplies,Envelopes,273.2221999999999
October,2015,Office Supplies,Envelopes,215.57659999999998
November,2015,Office Supplies,Envelopes,202.4876
December,2015,Office Supplies,Envelopes,389.61319999999995
January,2016,Office Supplies,Envelopes,102.79819999999998
February,2016,Office Supplies,Envelopes,118.0522
March,2016,Office Supplies,Envelopes,230.12089999999995
April,2016,Office Supplies,Envelopes,83.2337
May,2016,Office Supplies,Envelopes,58.4382
June,2016,Office Supplies,Envelopes,51.75899999999999
July,2016,Office Supplies,Envelopes,229.8741
August,2016,Office Supplies,Envelopes,152.6232
September,2016,Office Supplies,Envelopes,300.67629999999997
October,2016,Office Supplies,Envelopes,70.2376
November,2016,Office Supplies,Envelopes,367.66569999999996
December,2016,Office Supplies,Envelopes,301.2692
January,2017,Office Supplies,Envelopes,110.47859999999999
February,2017,Office Supplies,Envelopes,3.857
March,2017,Office Supplies,Envelopes,238.06949999999998
April,2017,Office Supplies,Envelopes,72.15239999999999
May,2017,Office Supplies,Envelopes,146.31990000000002
June,2017,Office Supplies,Envelopes,28.613699999999998
July,2017,Office Supplies,Envelopes,28.95
August,2017,Office Supplies,Envelopes,63.1658
September,2017,Office Supplies,Envelopes,153.4322
October,2017,Office Supplies,Envelopes,190.1102
November,2017,Office Supplies,Envelopes,231.63579999999996
December,2017,Office Supplies,Envelopes,174.9739
January,2014,Office Supplies,Fasteners,0.3111999999999995
February,2014,Office Supplies,Fasteners,5.8045
March,2014,Office Supplies,Fasteners,4.085399999999998
April,2014,Office Supplies,Fasteners,5.010599999999995
May,2014,Office Supplies,Fasteners,4.2444
June,2014,Office Supplies,Fasteners,19.1828
July,2014,Office Supplies,Fasteners,8.439200000000001
August,2014,Office Supplies,Fasteners,30.855599999999995
September,2014,Office Supplies,Fasteners,35.5715
October,2014,Office Supplies,Fasteners,7.5691999999999995
November,2014,Office Supplies,Fasteners,27.4348
December,2014,Office Supplies,Fasteners,30.049099999999996
January,2015,Office Supplies,Fasteners,
February,2015,Office Supplies,Fasteners,1.8011
March,2015,Office Supplies,Fasteners,26.4162
April,2015,Office Supplies,Fasteners,4.737099999999999
May,2015,Office Supplies,Fasteners,8.8169
June,2015,Office Supplies,Fasteners,4.1231
July,2015,Office Supplies,Fasteners,14.368999999999998
August,2015,Office Supplies,Fasteners,7.261499999999999
September,2015,Office Supplies,Fasteners,23.709299999999995
October,2015,Office Supplies,Fasteners,8.027
November,2015,Office Supplies,Fasteners,34.4612
December,2015,Office Supplies,Fasteners,38.2152
January,2016,Office Supplies,Fasteners,0.3024
February,2016,Office Supplies,Fasteners,28.8409
March,2016,Office Supplies,Fasteners,-0.5687999999999999
April,2016,Office Supplies,Fasteners,36.18249999999999
May,2016,Office Supplies,Fasteners,4.181299999999999
June,2016,Office Supplies,Fasteners,13.912599999999998
July,2016,Office Supplies,Fasteners,41.058499999999995
August,2016,Office Supplies,Fasteners,11.648
September,2016,Office Supplies,Fasteners,27.4966
October,2016,Office Supplies,Fasteners,32.7797
November,2016,Office Supplies,Fasteners,61.745999999999995
December,2016,Office Supplies,Fasteners,36.493700000000004
January,2017,Office Supplies,Fasteners,14.361899999999999
February,2017,Office Supplies,Fasteners,16.798199999999994
March,2017,Office Supplies,Fasteners,4.2346
April,2017,Office Supplies,Fasteners,9.5116
May,2017,Office Supplies,Fasteners,9.5563
June,2017,Office Supplies,Fasteners,-0.059399999999999675
July,2017,Office Supplies,Fasteners,2.9206
August,2017,Office Supplies,Fasteners,28.6422
September,2017,Office Supplies,Fasteners,65.386
October,2017,Office Supplies,Fasteners,30.910899999999998
November,2017,Office Supplies,Fasteners,60.8579
December,2017,Office Supplies,Fasteners,61.828100000000006
January,2014,Office Supplies,Labels,15.779299999999996
February,2014,Office Supplies,Labels,16.4133
March,2014,Office Supplies,Labels,72.1446
April,2014,Office Supplies,Labels,37.2874
May,2014,Office Supplies,Labels,27.100399999999997
June,2014,Office Supplies,Labels,279.86969999999997
July,2014,Office Supplies,Labels,91.89689999999999
August,2014,Office Supplies,Labels,16.522199999999998
September,2014,Office Supplies,Labels,168.21489999999997
October,2014,Office Supplies,Labels,42.632600000000004
November,2014,Office Supplies,Labels,281.7518
December,2014,Office Supplies,Labels,236.3911
January,2015,Office Supplies,Labels,20.5632
February,2015,Office Supplies,Labels,88.7909
March,2015,Office Supplies,Labels,258.7645
April,2015,Office Supplies,Labels,53.41049999999999
May,2015,Office Supplies,Labels,92.6747
June,2015,Office Supplies,Labels,25.572799999999997
July,2015,Office Supplies,Labels,156.5226
August,2015,Office Supplies,Labels,58.42220000000001
September,2015,Office Supplies,Labels,97.8791
October,2015,Office Supplies,Labels,261.79359999999997
November,2015,Office Supplies,Labels,49.6476
December,2015,Office Supplies,Labels,158.9869
January,2016,Office Supplies,Labels,43.9237
February,2016,Office Supplies,Labels,14.894400000000001
March,2016,Office Supplies,Labels,3.528
April,2016,Office Supplies,Labels,15.631599999999999
May,2016,Office Supplies,Labels,84.5615
June,2016,Office Supplies,Labels,163.07549999999998
July,2016,Office Supplies,Labels,82.6261
August,2016,Office Supplies,Labels,129.7955
September,2016,Office Supplies,Labels,144.3904
October,2016,Office Supplies,Labels,60.74799999999999
November,2016,Office Supplies,Labels,348.8041
December,2016,Office Supplies,Labels,100.63309999999998
January,2017,Office Supplies,Labels,8.6772
February,2017,Office Supplies,Labels,14.7478
March,2017,Office Supplies,Labels,103.2819
April,2017,Office Supplies,Labels,83.0147
May,2017,Office Supplies,Labels,163.94809999999998
June,2017,Office Supplies,Labels,78.5668
July,2017,Office Supplies,Labels,478.31180000000006
August,2017,Office Supplies,Labels,183.1637
September,2017,Office Supplies,Labels,228.3483
October,2017,Office Supplies,Labels,179.54569999999995
November,2017,Office Supplies,Labels,92.34689999999999
December,2017,Office Supplies,Labels,130.6564
January,2014,Office Supplies,Paper,101.5604
February,2014,Office Supplies,Paper,56.5001
March,2014,Office Supplies,Paper,505.1751
April,2014,Office Supplies,Paper,286.71999999999997
May,2014,Office Supplies,Paper,221.4484
June,2014,Office Supplies,Paper,403.8246
July,2014,Office Supplies,Paper,346.7495
August,2014,Office Supplies,Paper,879.6906999999999
September,2014,Office Supplies,Paper,586.2577999999997
October,2014,Office Supplies,Paper,390.71969999999993
November,2014,Office Supplies,Paper,1704.6443000000004
December,2014,Office Supplies,Paper,887.7307999999997
January,2015,Office Supplies,Paper,225.8645
February,2015,Office Supplies,Paper,106.61359999999998
March,2015,Office Supplies,Paper,667.8484999999998
April,2015,Office Supplies,Paper,179.93619999999996
May,2015,Office Supplies,Paper,527.1619999999999
June,2015,Office Supplies,Paper,249.11059999999992
July,2015,Office Supplies,Paper,198.32410000000002
August,2015,Office Supplies,Paper,598.2651999999999
September,2015,Office Supplies,Paper,997.1315000000002
October,2015,Office Supplies,Paper,280.1344
November,2015,Office Supplies,Paper,1250.3564999999999
December,2015,Office Supplies,Paper,1289.4228999999998
January,2016,Office Supplies,Paper,237.13759999999996
February,2016,Office Supplies,Paper,567.5151
March,2016,Office Supplies,Paper,414.5005000000001
April,2016,Office Supplies,Paper,506.0955999999998
May,2016,Office Supplies,Paper,1199.6383
June,2016,Office Supplies,Paper,1207.3365999999999
July,2016,Office Supplies,Paper,629.1382
August,2016,Office Supplies,Paper,470.3674
September,2016,Office Supplies,Paper,1119.6148999999998
October,2016,Office Supplies,Paper,667.2179000000001
November,2016,Office Supplies,Paper,1018.3329999999997
December,2016,Office Supplies,Paper,1034.6394
January,2017,Office Supplies,Paper,432.7077000000001
February,2017,Office Supplies,Paper,493.0878
March,2017,Office Supplies,Paper,1155.8497
April,2017,Office Supplies,Paper,705.8230999999998
May,2017,Office Supplies,Paper,773.0409000000001
June,2017,Office Supplies,Paper,962.8806
July,2017,Office Supplies,Paper,601.6782000000001
August,2017,Office Supplies,Paper,837.9562000000001
September,2017,Office Supplies,Paper,2043.4384999999995
October,2017,Office Supplies,Paper,783.3660000000002
November,2017,Office Supplies,Paper,1547.2845000000004
December,2017,Office Supplies,Paper,1703.7301999999993
January,2014,Office Supplies,Storage,249.47209999999984
February,2014,Office Supplies,Storage,9.817599999999995
March,2014,Office Supplies,Storage,433.9892999999997
April,2014,Office Supplies,Storage,377.4806
May,2014,Office Supplies,Storage,30.42539999999998
June,2014,Office Supplies,Storage,135.2177999999999
July,2014,Office Supplies,Storage,225.59219999999982
August,2014,Office Supplies,Storage,402.6539
September,2014,Office Supplies,Storage,552.5548999999999
October,2014,Office Supplies,Storage,198.0557999999999
November,2014,Office Supplies,Storage,971.7897999999998
December,2014,Office Supplies,Storage,579.2294000000003
January,2015,Office Supplies,Storage,143.18200000000002
February,2015,Office Supplies,Storage,-115.10740000000004
March,2015,Office Supplies,Storage,718.0199000000001
April,2015,Office Supplies,Storage,38.342600000000054
May,2015,Office Supplies,Storage,524.0083999999998
June,2015,Office Supplies,Storage,127.4048
July,2015,Office Supplies,Storage,226.78579999999985
August,2015,Office Supplies,Storage,488.3333999999995
September,2015,Office Supplies,Storage,719.0585999999998
October,2015,Office Supplies,Storage,-337.88310000000007
November,2015,Office Supplies,Storage,783.2648999999997
December,2015,Office Supplies,Storage,190.05019999999988
January,2016,Office Supplies,Storage,511.58289999999994
February,2016,Office Supplies,Storage,384.4959
March,2016,Office Supplies,Storage,112.78769999999993
April,2016,Office Supplies,Storage,151.3847
May,2016,Office Supplies,Storage,443.0212999999999
June,2016,Office Supplies,Storage,559.6017999999999
July,2016,Office Supplies,Storage,249.55749999999998
August,2016,Office Supplies,Storage,127.73999999999984
September,2016,Office Supplies,Storage,827.6079999999997
October,2016,Office Supplies,Storage,369.0889
November,2016,Office Supplies,Storage,893.6099999999999
December,2016,Office Supplies,Storage,1573.8080999999997
January,2017,Office Supplies,Storage,124.85469999999994
February,2017,Office Supplies,Storage,198.8713999999999
March,2017,Office Supplies,Storage,488.8289999999999
April,2017,Office Supplies,Storage,735.7869999999999
May,2017,Office Supplies,Storage,394.74909999999966
June,2017,Office Supplies,Storage,887.6515999999997
July,2017,Office Supplies,Storage,288.9507
August,2017,Office Supplies,Storage,482.50629999999967
September,2017,Office Supplies,Storage,522.4313999999999
October,2017,Office Supplies,Storage,499.7908999999997
November,2017,Office Supplies,Storage,1384.2595999999992
December,2017,Office Supplies,Storage,1394.1190000000001
January,2014,Office Supplies,Supplies,
February,2014,Office Supplies,Supplies,4.772400000000005
March,2014,Office Supplies,Supplies,5.399799999999999
April,2014,Office Supplies,Supplies,81.09140000000006
May,2014,Office Supplies,Supplies,20.465999999999998
June,2014,Office Supplies,Supplies,4.9528
July,2014,Office Supplies,Supplies,343.80979999999965
August,2014,Office Supplies,Supplies,32.032399999999996
September,2014,Office Supplies,Supplies,16.735800000000005
October,2014,Office Supplies,Supplies,13.72300000000003
November,2014,Office Supplies,Supplies,-46.07130000000001
December,2014,Office Supplies,Supplies,13.143500000000003
January,2015,Office Supplies,Supplies,10.007999999999988
