Model3_Invoice_Table.Tax_Reg_No,Model3_Invoice_Table.Bill To Address,Model3_Invoice_Table.Invoice Number,Model3_Invoice_Table.Item Code,Model3_Invoice_Table.Description,Sum(Model3_Invoice_Table.Discount),Sum(Model3_Invoice_Table.Price),Sum(Model3_Invoice_Table.Quantity),Sum(Model3_Invoice_Table.Unit Price)
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D76382,Invoice-D76382,54,28389,57,499
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D63752,Invoice-D63752,51,19686,51,387
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D64512,Invoice-D64512,51,18009,60,301
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D62706,Invoice-D62706,50,13418,37,364
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D74485,Invoice-D74485,49,7709,18,431
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D60766,Invoice-D60766,48,18610,38,491
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D66180,Invoice-D66180,43,27097,59,460
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D69709,Invoice-D69709,41,16429,45,366
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D75006,Invoice-D75006,39,10026,55,183
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D76013,Invoice-D76013,36,13986,41,342
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D73081,Invoice-D73081,35,12081,26,466
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D63815,Invoice-D63815,33,20217,45,450
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D69068,Invoice-D69068,31,8711,31,282
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D65194,Invoice-D65194,28,16802,55,306
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D59541,Invoice-D59541,21,5489,38,145
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D71828,Invoice-D71828,21,4425,38,117
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D73728,Invoice-D73728,21,8729,35,250
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D522832,Invoice-D522832,70,4809,41,119
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D594760,Invoice-D594760,70,6257,57,111
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D246867,Invoice-D246867,66,14830,56,266
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D658672,Invoice-D658672,65,14065,45,314
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D279791,Invoice-D279791,57,8259,36,231
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D403564,Invoice-D403564,57,17331,46,378
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D512960,Invoice-D512960,57,7197,39,186
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D451183,Invoice-D451183,54,28389,57,499
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D267686,Invoice-D267686,51,19686,51,387
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D674031,Invoice-D674031,51,18009,60,301
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D411858,Invoice-D411858,50,13418,37,364
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D638698,Invoice-D638698,49,7709,18,431
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D574620,Invoice-D574620,48,18610,38,491
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D520661,Invoice-D520661,43,27097,59,460
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D509998,Invoice-D509998,41,16429,45,366
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D597447,Invoice-D597447,39,10026,55,183
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D544201,Invoice-D544201,36,13986,41,342
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D372723,Invoice-D372723,35,12081,26,466
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D346622,Invoice-D346622,33,20217,45,450
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D383814,Invoice-D383814,31,8711,31,282
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D578052,Invoice-D578052,28,16802,55,306
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D294741,Invoice-D294741,21,8729,35,250
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D450299,Invoice-D450299,21,4425,38,117
TX-100160,335 Phoenix Maricopa County Arizona United States,100160,D576246,Invoice-D576246,21,5489,38,145
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D29879,Invoice - D29879,48,10627,25,427
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D26912,Invoice - D26912,47,5596,27,209
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D27029,Invoice - D27029,47,7345,28,264
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D23929,Invoice - D23929,46,7647,49,157
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25013,Invoice - D25013,46,8194,20,412
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D29213,Invoice - D29213,46,13022,44,297
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D30239,Invoice - D30239,45,7599,28,273
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25807,Invoice - D25807,44,4816,36,135
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D29098,Invoice - D29098,44,16752,34,494
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D29328,Invoice - D29328,44,5412,31,176
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25466,Invoice - D25466,43,14969,36,417
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D23818,Invoice - D23818,41,14145,41,346
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25705,Invoice - D25705,40,2720,15,184
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D27486,Invoice - D27486,37,10155,26,392
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25944,Invoice - D25944,32,13436,28,481
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D31557,Invoice - D31557,31,10634,45,237
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D34382,Invoice - D34382,31,3119,15,210
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D26715,Invoice - D26715,30,6824,23,298
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D25114,Invoice - D25114,27,5539,22,253
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D27137,Invoice - D27137,27,13995,41,342
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D27566,Invoice - D27566,26,6112,31,198
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D27500,Invoice - D27500,25,14215,32,445
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D31919,Invoice - D31919,24,12186,37,330
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D31931,Invoice - D31931,22,13370,31,432
TX-100120,9189 Mesa Maricopa County Arizona United States,100120,D33616,Invoice - D33616,22,9260,26,357
TX-1001222,335 Phoenix Maricopa County Arizona United States,1001222,D372723,Invoice-D372723,280,96648,208,3728
TX-1001222,335 Phoenix Maricopa County Arizona United States,1001222,D522832,Invoice-D522832,70,4809,41,119
TX-1001221,335 Phoenix Maricopa County Arizona United States,1001221,D522832,Invoice-D522832,210,14427,123,357
TX-1001221,335 Phoenix Maricopa County Arizona United States,1001221,D372723,Invoice-D372723,105,36243,78,1398
