Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Min(Superstore 2023.Ship Date),Sum(Superstore 2023.Sales),Min(Superstore 2023.Order Date)
West,Office Supplies,Supplies,2018-02-17T18:30:00.000Z,18127.122,2020-02-13T18:30:00.000Z
Central,Furniture,Chairs,2018-02-14T18:30:00.000Z,85230.646,2020-02-10T18:30:00.000Z
East,Furniture,Chairs,2018-03-31T18:30:00.000Z,96260.683,2020-03-24T18:30:00.000Z
South,Furniture,Chairs,2018-01-09T18:30:00.000Z,45176.446,2020-01-05T18:30:00.000Z
West,Furniture,Chairs,2018-02-17T18:30:00.000Z,101781.328,2020-02-11T18:30:00.000Z
Central,Furniture,Furnishings,2018-01-11T18:30:00.000Z,15254.37,2020-01-06T18:30:00.000Z
East,Furniture,Furnishings,2018-01-13T18:30:00.000Z,29071.38,2020-01-10T18:30:00.000Z
South,Furniture,Furnishings,2018-01-14T18:30:00.000Z,17306.684,2020-01-09T18:30:00.000Z
West,Furniture,Furnishings,2018-01-24T18:30:00.000Z,30072.73,2020-01-19T18:30:00.000Z
Central,Furniture,Bookcases,2018-01-28T18:30:00.000Z,24157.1768,2020-01-25T18:30:00.000Z
East,Furniture,Bookcases,2018-01-14T18:30:00.000Z,43819.334,2020-01-13T18:30:00.000Z
South,Furniture,Bookcases,2018-08-09T18:30:00.000Z,10899.362,2020-08-07T18:30:00.000Z
West,Furniture,Bookcases,2018-01-17T18:30:00.000Z,36004.1235,2020-01-12T18:30:00.000Z
Central,Furniture,Tables,2018-03-06T18:30:00.000Z,39154.971,2020-02-29T18:30:00.000Z
East,Furniture,Tables,2018-03-20T18:30:00.000Z,39139.807,2020-03-16T18:30:00.000Z
South,Furniture,Tables,2018-02-14T18:30:00.000Z,43916.192,2020-02-10T18:30:00.000Z
West,Furniture,Tables,2018-02-01T18:30:00.000Z,84754.562,2020-01-26T18:30:00.000Z
Central,Technology,Phones,2018-03-31T18:30:00.000Z,72403.282,2020-03-29T18:30:00.000Z
East,Technology,Phones,2018-01-17T18:30:00.000Z,100614.982,2020-01-15T18:30:00.000Z
South,Technology,Phones,2018-01-09T18:30:00.000Z,58304.438,2020-01-05T18:30:00.000Z
West,Technology,Phones,2018-03-25T18:30:00.000Z,98684.352,2020-03-22T18:30:00.000Z
Central,Technology,Accessories,2018-01-12T18:30:00.000Z,33956.076,2020-01-08T18:30:00.000Z
East,Technology,Accessories,2018-02-11T18:30:00.000Z,45033.372,2020-02-06T18:30:00.000Z
South,Technology,Accessories,2018-01-14T18:30:00.000Z,27276.754,2020-01-12T18:30:00.000Z
West,Technology,Accessories,2018-02-17T18:30:00.000Z,61114.116,2020-02-13T18:30:00.000Z
Central,Technology,Machines,2018-03-16T18:30:00.000Z,26797.384,2020-03-13T18:30:00.000Z
East,Technology,Machines,2018-06-22T18:30:00.000Z,66106.165,2020-06-16T18:30:00.000Z
South,Technology,Machines,2018-03-22T18:30:00.000Z,53890.96,2020-03-17T18:30:00.000Z
West,Technology,Machines,2018-03-23T18:30:00.000Z,42444.122,2020-03-17T18:30:00.000Z
Central,Technology,Copiers,2018-06-02T18:30:00.000Z,37259.57,2020-05-29T18:30:00.000Z
East,Technology,Copiers,2018-05-09T18:30:00.000Z,53219.462,2020-05-07T18:30:00.000Z
South,Technology,Copiers,2018-05-03T18:30:00.000Z,9299.756,2020-05-01T18:30:00.000Z
West,Technology,Copiers,2018-08-14T18:30:00.000Z,49749.242,2020-08-07T18:30:00.000Z
