15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Pack)
2015,Qtr 3,Palo Alto,36
2012,Qtr 3,Plymouth,66
2013,Qtr 3,Plymouth,42
2014,Qtr 3,Plymouth,78
2015,Qtr 3,Plymouth,42
2012,Qtr 3,Pocahontas,12
2013,Qtr 3,Pocahontas,12
2014,Qtr 3,Pocahontas,42
2015,Qtr 3,Pocahontas,
2012,Qtr 3,Polk,2101
2013,Qtr 3,Polk,2387
2014,Qtr 3,Polk,2422
2015,Qtr 3,Polk,1896
2012,Qtr 3,Pottawattamie,348
2013,Qtr 3,Pottawattamie,307
2014,Qtr 3,Pottawattamie,462
2015,Qtr 3,Pottawattamie,335
2012,Qtr 3,Poweshiek,48
2013,Qtr 3,Poweshiek,54
2014,Qtr 3,Poweshiek,78
2015,Qtr 3,Poweshiek,90
2012,Qtr 3,Sac,54
2013,Qtr 3,Sac,54
2014,Qtr 3,Sac,30
2015,Qtr 3,Sac,30
2012,Qtr 3,Scott,618
2013,Qtr 3,Scott,858
2014,Qtr 3,Scott,707
2015,Qtr 3,Scott,766
2012,Qtr 3,Shelby,36
2013,Qtr 3,Shelby,96
2014,Qtr 3,Shelby,12
2015,Qtr 3,Shelby,76
2012,Qtr 3,Sioux,30
2013,Qtr 3,Sioux,48
2014,Qtr 3,Sioux,30
2015,Qtr 3,Sioux,36
2012,Qtr 3,Story,444
2013,Qtr 3,Story,460
2014,Qtr 3,Story,449
2015,Qtr 3,Story,336
2012,Qtr 3,Tama,36
2013,Qtr 3,Tama,18
2014,Qtr 3,Tama,90
2015,Qtr 3,Tama,12
2012,Qtr 3,Taylor,
2013,Qtr 3,Taylor,6
2014,Qtr 3,Taylor,72
2015,Qtr 3,Taylor,48
2012,Qtr 3,Union,42
2013,Qtr 3,Union,60
2014,Qtr 3,Union,30
2015,Qtr 3,Union,66
2012,Qtr 3,Van Buren,
2013,Qtr 3,Van Buren,
2014,Qtr 3,Van Buren,36
2015,Qtr 3,Van Buren,
2012,Qtr 3,Wapello,90
2013,Qtr 3,Wapello,90
2014,Qtr 3,Wapello,180
2015,Qtr 3,Wapello,120
2012,Qtr 3,Warren,12
2013,Qtr 3,Warren,30
2014,Qtr 3,Warren,204
2015,Qtr 3,Warren,108
2012,Qtr 3,Washington,78
2013,Qtr 3,Washington,58
2014,Qtr 3,Washington,36
2015,Qtr 3,Washington,114
2012,Qtr 3,Wayne,12
2013,Qtr 3,Wayne,
2014,Qtr 3,Wayne,6
2015,Qtr 3,Wayne,
2012,Qtr 3,Webster,210
2013,Qtr 3,Webster,168
2014,Qtr 3,Webster,42
2015,Qtr 3,Webster,136
2012,Qtr 3,Winnebago,90
2013,Qtr 3,Winnebago,60
2014,Qtr 3,Winnebago,18
2015,Qtr 3,Winnebago,66
2012,Qtr 3,Winneshiek,90
2013,Qtr 3,Winneshiek,6
2014,Qtr 3,Winneshiek,66
2015,Qtr 3,Winneshiek,66
2012,Qtr 3,Woodbury,416
2013,Qtr 3,Woodbury,388
2014,Qtr 3,Woodbury,318
2015,Qtr 3,Woodbury,394
2012,Qtr 3,Worth,
2013,Qtr 3,Worth,
2014,Qtr 3,Worth,6
2015,Qtr 3,Worth,6
2012,Qtr 3,Wright,30
2013,Qtr 3,Wright,6
2014,Qtr 3,Wright,24
2015,Qtr 3,Wright,24
