Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales)
2017,Home Office,Furniture,Chairs,885.7861,134,16568.931
2014,Home Office,Furniture,Furnishings,480.0144,118,1865.528
2015,Home Office,Furniture,Furnishings,287.5561,124,3618.766
2016,Home Office,Furniture,Furnishings,-82.8808,194,4313.932
2017,Home Office,Furniture,Furnishings,946.8235,207,7285.626
2014,Home Office,Furniture,Tables,905.1564,29,6264.039
2015,Home Office,Furniture,Tables,-393.3001,40,6632.875
2016,Home Office,Furniture,Tables,-1457.1669,37,5812.219
2017,Home Office,Furniture,Tables,-2145.6341,114,17450.8865
2014,Home Office,Office Supplies,Appliances,882.381,46,3043.067
2015,Home Office,Office Supplies,Appliances,934.2697,75,5471.378
2016,Home Office,Office Supplies,Appliances,1416.4947,66,6813.198
2017,Home Office,Office Supplies,Appliances,493.0366,65,2796.254
2014,Home Office,Office Supplies,Art,191.6367,85,798.242
2015,Home Office,Office Supplies,Art,282.105,117,1133.658
2016,Home Office,Office Supplies,Art,214.2517,117,841.226
2017,Home Office,Office Supplies,Art,380.8448,206,1503.288
2014,Home Office,Office Supplies,Binders,569.8871,168,3522.11
2015,Home Office,Office Supplies,Binders,2407.7349,200,5923.528
2016,Home Office,Office Supplies,Binders,3119.7367,298,14251.798
2017,Home Office,Office Supplies,Binders,-248.5127,445,9993.975
2014,Home Office,Office Supplies,Envelopes,206.2702,26,533.994
2015,Home Office,Office Supplies,Envelopes,317.4605,40,783.95
2016,Home Office,Office Supplies,Envelopes,392.7311,29,914.03
2017,Home Office,Office Supplies,Envelopes,212.0733,46,530.612
2014,Home Office,Office Supplies,Fasteners,10.7878,35,150.73
2015,Home Office,Office Supplies,Fasteners,16.6976,21,53.628
2016,Home Office,Office Supplies,Fasteners,65.2007,71,229.19
2017,Home Office,Office Supplies,Fasteners,28.1283,41,126.5
2014,Home Office,Office Supplies,Labels,155.3368,69,378.614
2015,Home Office,Office Supplies,Labels,106.5343,27,272.786
2016,Home Office,Office Supplies,Labels,209.6041,96,499.974
2017,Home Office,Office Supplies,Labels,237.9631,95,524.03
2014,Home Office,Office Supplies,Paper,943.9658,171,2102.192
2015,Home Office,Office Supplies,Paper,1271.5921,212,2963.31
2016,Home Office,Office Supplies,Paper,2735.7646,326,6180.5
2017,Home Office,Office Supplies,Paper,3206.0564,312,7025.706
2014,Home Office,Office Supplies,Storage,1009.7839,79,7478.488
2015,Home Office,Office Supplies,Storage,399.8047,74,5845.686
2016,Home Office,Office Supplies,Storage,1744.5067,142,13123.954
2017,Home Office,Office Supplies,Storage,1889.506,244,17112.08
2014,Home Office,Office Supplies,Supplies,10.766,14,403.966
2015,Home Office,Office Supplies,Supplies,6.3804,17,148.568
2016,Home Office,Office Supplies,Supplies,75.8924,38,585.534
2017,Home Office,Office Supplies,Supplies,36.4866,17,358.69
2014,Home Office,Technology,Accessories,1686.3094,85,5474.114
2015,Home Office,Technology,Accessories,1934.4778,119,7966.084
2016,Home Office,Technology,Accessories,885.3091,136,5765.92
2017,Home Office,Technology,Accessories,3987.1364,177,12878.398
2014,Home Office,Technology,Copiers,274.995,1,549.99
2015,Home Office,Technology,Copiers,974.981,5,2349.954
2016,Home Office,Technology,Copiers,3041.9418,14,6899.86
2017,Home Office,Technology,Copiers,8251.9176,27,23079.77
2014,Home Office,Technology,Machines,770.6179,19,29376.628
2015,Home Office,Technology,Machines,1251.776,4,2922.43
2016,Home Office,Technology,Machines,-515.4234,14,5172.324
2017,Home Office,Technology,Machines,-966.2944,45,11947.669
2014,Home Office,Technology,Phones,1537.5008,125,9872.072
2015,Home Office,Technology,Phones,1195.2882,84,9257.086
2016,Home Office,Technology,Phones,2457.7496,151,22678.616
2017,Home Office,Technology,Phones,3721.8577,241,27113.102
