Quarter,Year,Brand Name,Color,YoY Sales,Units
Q4,2015,Adventure Works,Black,-129714,224
Q1,2013,Adventure Works,Silver,56617,100
Q2,2013,Adventure Works,Silver,53304,108
Q3,2013,Adventure Works,Silver,92446,166
Q4,2013,Adventure Works,Silver,154195,331
Q1,2014,Adventure Works,Silver,59069,223
Q2,2014,Adventure Works,Silver,-21163,107
Q3,2014,Adventure Works,Silver,-33006,212
Q4,2014,Adventure Works,Silver,-55340,278
Q1,2015,Adventure Works,Silver,-7829,173
Q2,2015,Adventure Works,Silver,-17619,65
Q3,2015,Adventure Works,Silver,-58254,101
Q4,2015,Adventure Works,Silver,-75052,151
Q1,2013,Adventure Works,Brown,37426,62
Q2,2013,Adventure Works,Brown,43771,65
Q3,2013,Adventure Works,Brown,93311,120
Q4,2013,Adventure Works,Brown,77206,160
Q1,2014,Adventure Works,Brown,44793,97
Q2,2014,Adventure Works,Brown,-25539,45
Q3,2014,Adventure Works,Brown,-39745,87
Q4,2014,Adventure Works,Brown,-16951,113
Q1,2015,Adventure Works,Brown,-26902,75
Q2,2015,Adventure Works,Brown,-907,40
Q3,2015,Adventure Works,Brown,-32439,53
Q4,2015,Adventure Works,Brown,-64991,44
Q1,2013,Adventure Works,Blue,4360,8
Q2,2013,Adventure Works,Blue,11911,30
Q3,2013,Adventure Works,Blue,16382,31
Q4,2013,Adventure Works,Blue,34245,60
Q1,2014,Adventure Works,Blue,6125,28
Q2,2014,Adventure Works,Blue,-10497,21
Q3,2014,Adventure Works,Blue,13599,74
Q4,2014,Adventure Works,Blue,-19505,38
Q1,2015,Adventure Works,Blue,5821,42
Q2,2015,Adventure Works,Blue,2211,19
Q3,2015,Adventure Works,Blue,-20331,50
Q4,2015,Adventure Works,Blue,-10331,26
Q1,2013,Adventure Works,Red,3239,19
Q2,2013,Adventure Works,Red,-775,7
Q3,2013,Adventure Works,Red,15624,56
Q4,2013,Adventure Works,Red,16835,50
Q1,2014,Adventure Works,Red,12859,30
Q2,2014,Adventure Works,Red,2608,14
Q3,2014,Adventure Works,Red,-19094,25
Q4,2014,Adventure Works,Red,-1165,41
Q1,2015,Adventure Works,Red,-11712,16
Q2,2015,Adventure Works,Red,-2834,9
Q3,2015,Adventure Works,Red,-9835,10
Q4,2015,Adventure Works,Red,-4117,36
Q1,2013,Fabrikam,Black,23729,39
Q2,2013,Fabrikam,Black,5899,14
Q3,2013,Fabrikam,Black,19788,28
Q4,2013,Fabrikam,Black,66792,97
Q1,2014,Fabrikam,Black,26041,105
Q2,2014,Fabrikam,Black,77720,119
Q3,2014,Fabrikam,Black,126690,226
Q4,2014,Fabrikam,Black,79603,246
Q1,2015,Fabrikam,Black,37741,154
Q2,2015,Fabrikam,Black,-31641,103
Q3,2015,Fabrikam,Black,-38357,169
Q4,2015,Fabrikam,Black,-35656,210
Q1,2013,Fabrikam,Blue,,
Q2,2013,Fabrikam,Blue,,
Q3,2013,Fabrikam,Blue,,
Q4,2013,Fabrikam,Blue,10299,20
Q1,2014,Fabrikam,Blue,41234,75
Q2,2014,Fabrikam,Blue,14988,24
Q3,2014,Fabrikam,Blue,77652,126
Q4,2014,Fabrikam,Blue,129531,213
Q1,2015,Fabrikam,Blue,42751,145
Q2,2015,Fabrikam,Blue,25598,72
Q3,2015,Fabrikam,Blue,14953,134
Q4,2015,Fabrikam,Blue,-22678,141
Q1,2013,Fabrikam,Silver,3738,19
Q2,2013,Fabrikam,Silver,3755,24
Q3,2013,Fabrikam,Silver,12036,45
Q4,2013,Fabrikam,Silver,12707,57
Q1,2014,Fabrikam,Silver,36288,74
Q2,2014,Fabrikam,Silver,40852,88
Q3,2014,Fabrikam,Silver,51418,120
Q4,2014,Fabrikam,Silver,62196,180
Q1,2015,Fabrikam,Silver,-1587,92
Q2,2015,Fabrikam,Silver,-30661,49
Q3,2015,Fabrikam,Silver,-27420,80
Q4,2015,Fabrikam,Silver,-21785,108
Q1,2013,Fabrikam,Red,7535,20
Q2,2013,Fabrikam,Red,4155,14
Q3,2013,Fabrikam,Red,6872,39
Q4,2013,Fabrikam,Red,25618,110
Q1,2014,Fabrikam,Red,9564,61
Q2,2014,Fabrikam,Red,3119,24
Q3,2014,Fabrikam,Red,14305,78
Q4,2014,Fabrikam,Red,-14444,97
Q1,2015,Fabrikam,Red,-8596,37
Q2,2015,Fabrikam,Red,-3964,16
Q3,2015,Fabrikam,Red,-9594,51
Q4,2015,Fabrikam,Red,-12323,50
Q1,2013,Fabrikam,Brown,,
Q2,2013,Fabrikam,Brown,,
Q3,2013,Fabrikam,Brown,,
Q4,2013,Fabrikam,Brown,6213,11
Q1,2014,Fabrikam,Brown,21413,19
Q2,2014,Fabrikam,Brown,4495,5
Q3,2014,Fabrikam,Brown,24350,42
Q4,2014,Fabrikam,Brown,14107,29
Q1,2015,Fabrikam,Brown,-13027,17
Q2,2015,Fabrikam,Brown,6842,13
Q3,2015,Fabrikam,Brown,805,38
Q4,2015,Fabrikam,Brown,-83,31
Q1,2013,Fabrikam,Silver Grey,,
Q2,2013,Fabrikam,Silver Grey,,
Q3,2013,Fabrikam,Silver Grey,,
Q4,2013,Fabrikam,Silver Grey,664,2
Q1,2014,Fabrikam,Silver Grey,2857,7
Q2,2014,Fabrikam,Silver Grey,4281,8
Q3,2014,Fabrikam,Silver Grey,4277,11
Q4,2014,Fabrikam,Silver Grey,13126,27
Q1,2015,Fabrikam,Silver Grey,-1861,3
Q2,2015,Fabrikam,Silver Grey,-2097,6
Q3,2015,Fabrikam,Silver Grey,522,11
Q4,2015,Fabrikam,Silver Grey,-10154,11
