Orders.State,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
South Carolina,Technology,Accessories,138.89,40.882799999999996
South Dakota,Technology,Accessories,392.94000000000005,133.89660000000003
Tennessee,Technology,Accessories,410.568,35.21849999999997
Texas,Technology,Accessories,11328.560000000001,1105.8500999999992
Utah,Technology,Accessories,194.73000000000002,41.32229999999999
Vermont,Technology,Accessories,305.01,110.65129999999999
Virginia,Technology,Accessories,2935.8199999999993,917.6551999999998
Washington,Technology,Accessories,15119.159999999993,4263.2735999999995
West Virginia,Technology,Accessories,,
Wisconsin,Technology,Accessories,4795.48,1501.1719999999996
Wyoming,Technology,Accessories,,
Alabama,Technology,Machines,3040,1459.2
Arizona,Technology,Machines,965.9490000000002,-930.9409999999999
Arkansas,Technology,Machines,,
California,Technology,Machines,29492.015999999996,4175.408699999997
Colorado,Technology,Machines,3313.6890000000008,-4384.255400000001
Connecticut,Technology,Machines,,
Delaware,Technology,Machines,65.97,31.005899999999997
District of Columbia,Technology,Machines,1379.92,648.5624
Florida,Technology,Machines,24573.940000000002,-1976.0110000000022
Georgia,Technology,Machines,396,190.07999999999998
Idaho,Technology,Machines,,
Illinois,Technology,Machines,3756.3049999999994,326.0394999999998
Indiana,Technology,Machines,83.9,22.653000000000006
Iowa,Technology,Machines,,
Kansas,Technology,Machines,,
Kentucky,Technology,Machines,3080,1416.7999999999997
Louisiana,Technology,Machines,479.97,239.985
Maine,Technology,Machines,,
Maryland,Technology,Machines,464.97,209.23649999999998
Massachusetts,Technology,Machines,,
Michigan,Technology,Machines,3410.955,832.0842999999996
Minnesota,Technology,Machines,,
Mississippi,Technology,Machines,,
Missouri,Technology,Machines,,
Montana,Technology,Machines,,
Nebraska,Technology,Machines,,
Nevada,Technology,Machines,2396.4,179.73000000000013
New Hampshire,Technology,Machines,,
New Jersey,Technology,Machines,9899.85,2709.9521999999993
New Mexico,Technology,Machines,,
New York,Technology,Machines,43183.5,17320.076199999996
North Carolina,Technology,Machines,12620.655,-5384.808599999999
North Dakota,Technology,Machines,,
Ohio,Technology,Machines,8978.238000000001,-11770.944700000002
Oklahoma,Technology,Machines,,
Oregon,Technology,Machines,209.91600000000005,-273.9323999999999
Pennsylvania,Technology,Machines,2133.717,-2219.2455999999993
Rhode Island,Technology,Machines,,
South Carolina,Technology,Machines,,
South Dakota,Technology,Machines,,
Tennessee,Technology,Machines,740.475,-274.40950000000015
Texas,Technology,Machines,19546.224,-2666.8434000000025
Utah,Technology,Machines,,
Vermont,Technology,Machines,,
Virginia,Technology,Machines,8959.92,2890.2710999999995
Washington,Technology,Machines,6066.152000000001,615.0637
West Virginia,Technology,Machines,,
Wisconsin,Technology,Machines,,
Wyoming,Technology,Machines,,
Alabama,Office Supplies,Paper,883.0199999999999,424.21239999999995
Arizona,Office Supplies,Paper,2440.760000000001,842.0393999999999
Arkansas,Office Supplies,Paper,805.5200000000001,382.76259999999996
California,Office Supplies,Paper,16757.95,7977.539500000002
Colorado,Office Supplies,Paper,883.2160000000002,298.5881999999999
Connecticut,Office Supplies,Paper,788.2200000000001,378.8327999999999
Delaware,Office Supplies,Paper,440.77000000000004,211.04019999999997
District of Columbia,Office Supplies,Paper,72.22,34.4116
Florida,Office Supplies,Paper,2425.56,833.0004000000001
Georgia,Office Supplies,Paper,2957.2400000000002,1417.8822000000005
Idaho,Office Supplies,Paper,172.86,81.322
Illinois,Office Supplies,Paper,3455.8160000000003,1183.6765999999998
Indiana,Office Supplies,Paper,1879.5200000000002,888.3797
Iowa,Office Supplies,Paper,315.81,149.73549999999997
Kansas,Office Supplies,Paper,303,147.6816
Kentucky,Office Supplies,Paper,1058.5499999999997,502.21109999999993
Louisiana,Office Supplies,Paper,103.68000000000002,49.89600000000001
Maine,Office Supplies,Paper,259.74,124.6752
Maryland,Office Supplies,Paper,1039.3500000000001,504.91610000000003
Massachusetts,Office Supplies,Paper,1774.0900000000006,831.8217
Michigan,Office Supplies,Paper,2010.7400000000002,961.3903999999999
Minnesota,Office Supplies,Paper,319.88000000000005,155.50740000000005
Mississippi,Office Supplies,Paper,725.2799999999999,344.06960000000004
Missouri,Office Supplies,Paper,301.80999999999995,144.0062
Montana,Office Supplies,Paper,41,19.321199999999997
Nebraska,Office Supplies,Paper,332.79,160.31819999999996
Nevada,Office Supplies,Paper,317.78,153.59199999999998
New Hampshire,Office Supplies,Paper,284.88,132.9606
New Jersey,Office Supplies,Paper,1421.76,683.3578
New Mexico,Office Supplies,Paper,625.7799999999999,298.9393999999999
New York,Office Supplies,Paper,8457.259999999995,4023.079900000001
North Carolina,Office Supplies,Paper,2594.2639999999997,898.8403000000001
North Dakota,Office Supplies,Paper,,
Ohio,Office Supplies,Paper,2146.2880000000005,744.0522000000001
Oklahoma,Office Supplies,Paper,196.62,92.8482
Oregon,Office Supplies,Paper,953.352,324.05800000000005
Pennsylvania,Office Supplies,Paper,2378.304000000001,813.0179
Rhode Island,Office Supplies,Paper,569.68,270.4294
South Carolina,Office Supplies,Paper,331.85,159.8973
South Dakota,Office Supplies,Paper,,
Tennessee,Office Supplies,Paper,1060.3200000000002,363.8583
Texas,Office Supplies,Paper,6983.456000000002,2422.9702999999995
Utah,Office Supplies,Paper,1152.2800000000002,553.4284000000001
Vermont,Office Supplies,Paper,92.2,43.333999999999996
Virginia,Office Supplies,Paper,1205.7000000000003,570.4312
Washington,Office Supplies,Paper,3318.7400000000007,1570.4083000000003
West Virginia,Office Supplies,Paper,447.84,219.4416
Wisconsin,Office Supplies,Paper,1392.4599999999996,665.3864
Wyoming,Office Supplies,Paper,,
Alabama,Office Supplies,Binders,466.82000000000005,227.76879999999997
Arizona,Office Supplies,Binders,2185.353000000001,-1646.7484000000002
Arkansas,Office Supplies,Binders,2889.83,1356.2051999999999
California,Office Supplies,Binders,28473.167999999987,10002.1537
Colorado,Office Supplies,Binders,508.96800000000013,-379.4918999999999
Connecticut,Office Supplies,Binders,371.86999999999995,176.28
Delaware,Office Supplies,Binders,2434.0299999999997,1159.597
District of Columbia,Office Supplies,Binders,9.64,4.4344
Florida,Office Supplies,Binders,3690.4980000000005,-2760.7303999999986
Georgia,Office Supplies,Binders,11672.32,5717.307499999999
Idaho,Office Supplies,Binders,71.656,24.634699999999995
Illinois,Office Supplies,Binders,4538.545999999999,-7204.324200000003
Indiana,Office Supplies,Binders,4011.88,1827.1562000000004
Iowa,Office Supplies,Binders,247.95999999999998,118.7179
Kansas,Office Supplies,Binders,611.92,279.44319999999993
Kentucky,Office Supplies,Binders,3695.8199999999997,1740.0312
Louisiana,Office Supplies,Binders,628.52,290.5414
Maine,Office Supplies,Binders,38.1,17.3102
Maryland,Office Supplies,Binders,3225.05,1595.5108000000002
Massachusetts,Office Supplies,Binders,2105.1899999999996,1000.7748
Michigan,Office Supplies,Binders,22821.97,11079.505
Minnesota,Office Supplies,Binders,12470.240000000002,6041.276000000001
Mississippi,Office Supplies,Binders,966.8499999999999,457.68709999999993
Missouri,Office Supplies,Binders,1875.6200000000001,898.4064
Montana,Office Supplies,Binders,502.36800000000005,157.39839999999998
Nebraska,Office Supplies,Binders,128.23,60.4036
Nevada,Office Supplies,Binders,4897.184,1768.443
New Hampshire,Office Supplies,Binders,763.4799999999999,359.06479999999993
New Jersey,Office Supplies,Binders,3529.5199999999995,1649.0788
New Mexico,Office Supplies,Binders,125.632,45.083999999999996
New York,Office Supplies,Binders,32456.911999999975,11096.025999999994
North Carolina,Office Supplies,Binders,2562.321,-2007.8254
North Dakota,Office Supplies,Binders,25.9,12.690999999999999
Ohio,Office Supplies,Binders,1917.0870000000007,-1400.6681000000005
Oklahoma,Office Supplies,Binders,445.44,209.75369999999998
Oregon,Office Supplies,Binders,281.06399999999996,-198.7411
Pennsylvania,Office Supplies,Binders,6266.057999999999,-4570.975000000001
Rhode Island,Office Supplies,Binders,292.42,138.0673
South Carolina,Office Supplies,Binders,515.08,246.6088
South Dakota,Office Supplies,Binders,114.50999999999999,55.6446
Tennessee,Office Supplies,Binders,5148.042000000001,-3635.918099999999
Texas,Office Supplies,Binders,9042.675999999994,-14705.073799999996
Utah,Office Supplies,Binders,759.5920000000001,262.2578
Vermont,Office Supplies,Binders,,
Virginia,Office Supplies,Binders,4794.24,2268.9879
Washington,Office Supplies,Binders,18156.127999999997,6061.8114
West Virginia,Office Supplies,Binders,88.64,43.433600000000006
Wisconsin,Office Supplies,Binders,588.39,282.7635
Wyoming,Office Supplies,Binders,,
Alabama,Office Supplies,Storage,1249.4099999999999,147.85639999999998
Arizona,Office Supplies,Storage,2590.3840000000005,-271.1709000000001
Arkansas,Office Supplies,Storage,430,32.089599999999976
California,Office Supplies,Storage,45112.28999999996,7204.137199999992
Colorado,Office Supplies,Storage,3387.168,-212.69980000000027
Connecticut,Office Supplies,Storage,2428.26,355.60810000000004
Delaware,Office Supplies,Storage,4179.42,1119.3837000000003
District of Columbia,Office Supplies,Storage,,
Florida,Office Supplies,Storage,7419.256,-203.10680000000025
Georgia,Office Supplies,Storage,7381.290000000001,1109.9142
Idaho,Office Supplies,Storage,477.15000000000003,28.628999999999962
Illinois,Office Supplies,Storage,9080.328,-257.4584000000002
Indiana,Office Supplies,Storage,4120.43,555.2860999999999
Iowa,Office Supplies,Storage,13.48,3.5047999999999995
Kansas,Office Supplies,Storage,393.67,101.6884
Kentucky,Office Supplies,Storage,4822.43,855.3874
Louisiana,Office Supplies,Storage,805.13,43.65679999999995
Maine,Office Supplies,Storage,,
Maryland,Office Supplies,Storage,3541.9800000000005,822.4622999999997
Massachusetts,Office Supplies,Storage,4288.780000000001,933.1968999999998
Michigan,Office Supplies,Storage,6187.48,940.4051999999999
Minnesota,Office Supplies,Storage,3397.73,561.3061999999998
Mississippi,Office Supplies,Storage,575.81,44.64479999999998
Missouri,Office Supplies,Storage,1791.94,322.27779999999996
Montana,Office Supplies,Storage,1304.45,104.94889999999998
Nebraska,Office Supplies,Storage,1164.5,138.673
Nevada,Office Supplies,Storage,1325.8500000000001,238.6529999999999
New Hampshire,Office Supplies,Storage,337.29999999999995,33.71799999999999
New Jersey,Office Supplies,Storage,4669.08,779.1128000000001
New Mexico,Office Supplies,Storage,279.65999999999997,78.1557
New York,Office Supplies,Storage,26928.349999999995,4338.2179
North Carolina,Office Supplies,Storage,3438.0880000000006,-86.2088000000002
North Dakota,Office Supplies,Storage,704.76,162.09479999999996
Ohio,Office Supplies,Storage,7264.44,-276.33640000000014
Oklahoma,Office Supplies,Storage,2345.05,100.37230000000001
Oregon,Office Supplies,Storage,1991.1200000000001,-410.77290000000005
Pennsylvania,Office Supplies,Storage,11784.624,-1434.3118000000004
Rhode Island,Office Supplies,Storage,4626.0599999999995,1311.6042999999997
South Carolina,Office Supplies,Storage,2567.21,118.35599999999994
South Dakota,Office Supplies,Storage,,
Tennessee,Office Supplies,Storage,3310.8560000000007,-333.57390000000015
Texas,Office Supplies,Storage,15723.583999999997,-763.705400000001
Utah,Office Supplies,Storage,901.58,153.7654
Vermont,Office Supplies,Storage,1564.29,406.71539999999993
Virginia,Office Supplies,Storage,3768.58,545.2807999999998
Washington,Office Supplies,Storage,13163.199999999999,1731.6766000000002
West Virginia,Office Supplies,Storage,,
Wisconsin,Office Supplies,Storage,1007.1600000000001,105.39170000000001
Wyoming,Office Supplies,Storage,,
Alabama,Office Supplies,Appliances,208.16,56.20320000000001
Arizona,Office Supplies,Appliances,774.4320000000001,83.25479999999997
Arkansas,Office Supplies,Appliances,,
California,Office Supplies,Appliances,24175.92,6992.231799999999
Colorado,Office Supplies,Appliances,1367.296,141.42069999999995
Connecticut,Office Supplies,Appliances,1479.18,471.8696999999999
Delaware,Office Supplies,Appliances,140.42,44.364599999999996
District of Columbia,Office Supplies,Appliances,,
Florida,Office Supplies,Appliances,3558.4399999999996,349.75639999999976
Georgia,Office Supplies,Appliances,3432.1499999999996,1058.5832
Idaho,Office Supplies,Appliances,227.84,66.07359999999997
Illinois,Office Supplies,Appliances,974.7199999999997,-2482.4187
Indiana,Office Supplies,Appliances,4160.15,1259.8645
Iowa,Office Supplies,Appliances,,
Kansas,Office Supplies,Appliances,81.96,22.9488
Kentucky,Office Supplies,Appliances,1335.6200000000001,371.18519999999995
Louisiana,Office Supplies,Appliances,17.34,4.681800000000001
Maine,Office Supplies,Appliances,101.96,27.529200000000003
Maryland,Office Supplies,Appliances,1589.1599999999999,494.2301999999999
Massachusetts,Office Supplies,Appliances,3347.7499999999995,999.7392999999997
Michigan,Office Supplies,Appliances,4324.149000000001,1086.0807999999995
Minnesota,Office Supplies,Appliances,2844.13,863.8521
Mississippi,Office Supplies,Appliances,615.55,176.9454
Missouri,Office Supplies,Appliances,3670.4300000000003,1226.0318000000002
Montana,Office Supplies,Appliances,,
Nebraska,Office Supplies,Appliances,500.56999999999994,170.1778
Nevada,Office Supplies,Appliances,95.98,27.212599999999995
New Hampshire,Office Supplies,Appliances,33.28,9.3184
New Jersey,Office Supplies,Appliances,4204.360000000001,1203.438
New Mexico,Office Supplies,Appliances,,
New York,Office Supplies,Appliances,13276.379999999997,3807.7644999999993
North Carolina,Office Supplies,Appliances,4137.552,485.6745999999998
North Dakota,Office Supplies,Appliances,,
Ohio,Office Supplies,Appliances,4807.536,486.2552999999997
Oklahoma,Office Supplies,Appliances,1491.22,471.5794999999999
Oregon,Office Supplies,Appliances,535.768,54.08559999999999
Pennsylvania,Office Supplies,Appliances,4663.280000000001,694.2149999999999
Rhode Island,Office Supplies,Appliances,2.22,0.6659999999999999
South Carolina,Office Supplies,Appliances,,
South Dakota,Office Supplies,Appliances,416.32,112.40640000000002
Tennessee,Office Supplies,Appliances,1914.984,203.1673
Texas,Office Supplies,Appliances,2407.8139999999994,-6147.222500000001
Utah,Office Supplies,Appliances,1089.75,305.1300000000001
Vermont,Office Supplies,Appliances,542.9399999999999,152.02319999999997
Virginia,Office Supplies,Appliances,4305.53,1417.7424999999998
Washington,Office Supplies,Appliances,1969.3500000000004,591.8607999999999
West Virginia,Office Supplies,Appliances,,
Wisconsin,Office Supplies,Appliances,2710.5699999999997,778.0820000000001
Wyoming,Office Supplies,Appliances,,
Alabama,Office Supplies,Envelopes,105.83999999999999,52.62479999999999
Arizona,Office Supplies,Envelopes,214.52,75.1514
Arkansas,Office Supplies,Envelopes,311.7,148.60739999999998
California,Office Supplies,Envelopes,3237.3400000000006,1529.4161
Colorado,Office Supplies,Envelopes,75.60000000000001,27.059699999999996
Connecticut,Office Supplies,Envelopes,10.86,5.1042000000000005
Delaware,Office Supplies,Envelopes,299.23,138.33769999999998
District of Columbia,Office Supplies,Envelopes,,
Florida,Office Supplies,Envelopes,211,72.56889999999999
Georgia,Office Supplies,Envelopes,446.57,211.0561
Idaho,Office Supplies,Envelopes,,
Illinois,Office Supplies,Envelopes,384.10400000000004,132.52939999999998
Indiana,Office Supplies,Envelopes,889.5600000000001,412.17470000000003
Iowa,Office Supplies,Envelopes,13.4,6.370799999999999
Kansas,Office Supplies,Envelopes,,
Kentucky,Office Supplies,Envelopes,105.35,48.07659999999999
Louisiana,Office Supplies,Envelopes,62.3,30.809199999999997
Maine,Office Supplies,Envelopes,,
Maryland,Office Supplies,Envelopes,337.15,153.08999999999997
Massachusetts,Office Supplies,Envelopes,,
Michigan,Office Supplies,Envelopes,310.02,141.62900000000002
Minnesota,Office Supplies,Envelopes,30.56,14.9744
Mississippi,Office Supplies,Envelopes,91.37,43.490899999999996
Missouri,Office Supplies,Envelopes,71.17999999999999,33.4546
Montana,Office Supplies,Envelopes,,
Nebraska,Office Supplies,Envelopes,,
Nevada,Office Supplies,Envelopes,,
New Hampshire,Office Supplies,Envelopes,,
New Jersey,Office Supplies,Envelopes,153.7,72.1862
New Mexico,Office Supplies,Envelopes,28.4,13.347999999999997
New York,Office Supplies,Envelopes,1776.8300000000004,831.0267
North Carolina,Office Supplies,Envelopes,431.144,139.70609999999996
North Dakota,Office Supplies,Envelopes,,
Ohio,Office Supplies,Envelopes,562,194.6051
Oklahoma,Office Supplies,Envelopes,407.4,188.2194
Oregon,Office Supplies,Envelopes,49.52,18.0268
Pennsylvania,Office Supplies,Envelopes,1234.0640000000003,417.10029999999995
Rhode Island,Office Supplies,Envelopes,,
South Carolina,Office Supplies,Envelopes,318.84999999999997,149.8595
South Dakota,Office Supplies,Envelopes,,
Tennessee,Office Supplies,Envelopes,177.35200000000003,62.26859999999999
Texas,Office Supplies,Envelopes,2530.6479999999997,848.1759999999997
Utah,Office Supplies,Envelopes,,
Vermont,Office Supplies,Envelopes,2.04,0.9587999999999999
Virginia,Office Supplies,Envelopes,1084.0799999999997,506.4088999999999
Washington,Office Supplies,Envelopes,512.72,245.7604
West Virginia,Office Supplies,Envelopes,,
Wisconsin,Office Supplies,Envelopes,,
Wyoming,Office Supplies,Envelopes,,
Alabama,Office Supplies,Art,301.21,88.53439999999998
Arizona,Office Supplies,Art,1389.1520000000003,140.94339999999997
Arkansas,Office Supplies,Art,78.3,23.731799999999996
California,Office Supplies,Art,5495.66,1614.8365
Colorado,Office Supplies,Art,210.624,25.09429999999999
Connecticut,Office Supplies,Art,191.66,70.4846
Delaware,Office Supplies,Art,535.35,159.63119999999998
District of Columbia,Office Supplies,Art,56.660000000000004,22.0974
Florida,Office Supplies,Art,710.9200000000001,77.9391
Georgia,Office Supplies,Art,526.6800000000001,159.71279999999996
Idaho,Office Supplies,Art,,
Illinois,Office Supplies,Art,930.0320000000002,138.95409999999998
Indiana,Office Supplies,Art,389.19,123.61339999999998
Iowa,Office Supplies,Art,146.57999999999998,45.49379999999999
Kansas,Office Supplies,Art,162.72,45.95159999999999
Kentucky,Office Supplies,Art,350.72,98.606
Louisiana,Office Supplies,Art,129.5,36.992000000000004
Maine,Office Supplies,Art,,
Maryland,Office Supplies,Art,433.69,132.7864
Massachusetts,Office Supplies,Art,226.05,66.8097
Michigan,Office Supplies,Art,1004.8599999999999,301.3652
Minnesota,Office Supplies,Art,102.81,36.5706
Mississippi,Office Supplies,Art,606.66,162.5556
Missouri,Office Supplies,Art,239.62,66.1596
Montana,Office Supplies,Art,,
Nebraska,Office Supplies,Art,19.459999999999997,5.0596
Nevada,Office Supplies,Art,214.27999999999997,59.578799999999994
New Hampshire,Office Supplies,Art,266.4,80.30519999999997
New Jersey,Office Supplies,Art,742.8000000000001,203.29289999999995
New Mexico,Office Supplies,Art,276.69999999999993,119.3198
New York,Office Supplies,Art,2983.6,902.0926000000001
North Carolina,Office Supplies,Art,603.392,78.91649999999998
North Dakota,Office Supplies,Art,181.84,51.8812
Ohio,Office Supplies,Art,840.1039999999999,103.23759999999997
Oklahoma,Office Supplies,Art,58.910000000000004,19.086399999999998
Oregon,Office Supplies,Art,461.76,65.27599999999998
Pennsylvania,Office Supplies,Art,1152.16,137.75809999999998
Rhode Island,Office Supplies,Art,49.25,18.715000000000003
South Carolina,Office Supplies,Art,35.44,9.909600000000001
South Dakota,Office Supplies,Art,,
Tennessee,Office Supplies,Art,436.47999999999996,62.713499999999975
Texas,Office Supplies,Art,2369.528,316.35380000000004
Utah,Office Supplies,Art,100.05,28.8803
Vermont,Office Supplies,Art,8.040000000000001,2.7336
Virginia,Office Supplies,Art,876.3200000000002,258.97529999999995
Washington,Office Supplies,Art,1063.8400000000001,320.1679
West Virginia,Office Supplies,Art,,
Wisconsin,Office Supplies,Art,159.79000000000002,44.6698
Wyoming,Office Supplies,Art,,
Alabama,Office Supplies,Labels,506.49,247.7319
Arizona,Office Supplies,Labels,27.464000000000002,9.125599999999999
Arkansas,Office Supplies,Labels,7.31,3.4356999999999998
California,Office Supplies,Labels,2899.14,1370.1190999999997
Colorado,Office Supplies,Labels,17.96,5.9832
Connecticut,Office Supplies,Labels,33.43,15.696799999999998
Delaware,Office Supplies,Labels,74.13000000000001,34.7388
District of Columbia,Office Supplies,Labels,,
Florida,Office Supplies,Labels,385.80800000000005,136.5696
Georgia,Office Supplies,Labels,244.92,116.01679999999999
Idaho,Office Supplies,Labels,,
Illinois,Office Supplies,Labels,224.872,77.4622
Indiana,Office Supplies,Labels,276.21000000000004,134.20829999999998
Iowa,Office Supplies,Labels,,
Kansas,Office Supplies,Labels,18.9,8.693999999999999
Kentucky,Office Supplies,Labels,363.40000000000003,176.8009
Louisiana,Office Supplies,Labels,11.07,5.2029
Maine,Office Supplies,Labels,,
Maryland,Office Supplies,Labels,171.51,82.5024
Massachusetts,Office Supplies,Labels,165.65,76.66579999999999
Michigan,Office Supplies,Labels,880.5600000000001,430.99210000000005
Minnesota,Office Supplies,Labels,161.05,76.8852
Mississippi,Office Supplies,Labels,14.62,6.8713999999999995
Missouri,Office Supplies,Labels,14.940000000000001,6.8724
Montana,Office Supplies,Labels,14.62,6.8713999999999995
Nebraska,Office Supplies,Labels,14.399999999999999,7.056
Nevada,Office Supplies,Labels,14.940000000000001,6.8724
New Hampshire,Office Supplies,Labels,41.16,19.4264
New Jersey,Office Supplies,Labels,66.34,32.1345
