financials.Product,financials.Discount Band,financials.Country,Sum(financials.Gross Sales),Sum(financials. Sales),Sum(financials.COGS)
Paseo,None,Germany,886054,886054,656041
Velo,High,Germany,829860,715723.68,672700
Velo,Low,Germany,2146175,2103251.5,1616260
Velo,Medium,Germany,1265296,1177359.8199999998,1042480
Velo,None,Germany,396572,396572,272678
VTT,High,Germany,781085,697585.45,585820
VTT,Low,Germany,1623964,1591909.4,1264622
VTT,Medium,Germany,1047366,957112.92,820215
VTT,None,Germany,47376,47376,17394
Amarilla,High,Mexico,573349,502833.84,436395
Amarilla,Low,Mexico,1117300,1079214,889030
Amarilla,Medium,Mexico,1612547,1495507.5499999998,1253519
Carretera,High,Mexico,1243047,1081180.68,1067170
Carretera,Low,Mexico,1060650,1050043.5,801320
Carretera,Medium,Mexico,771264,711327.24,592743
Carretera,None,Mexico,37050,37050,24700
Montana,High,Mexico,353340,305296.21,235140
Montana,Low,Mexico,421705,410148.7,380280
Montana,Medium,Mexico,953080,901434.4,724020
Montana,None,Mexico,324450,324450,264200
Paseo,High,Mexico,3736307,3238792.29,2876448
Paseo,Low,Mexico,799503,781759.99,739662
Paseo,Medium,Mexico,3602125,3312908.1100000003,2847095
Paseo,None,Mexico,294271,294271,235875
Velo,High,Mexico,1633118,1426391.9100000001,1312532
Velo,Low,Mexico,294547,288681.4,267902
Velo,Medium,Mexico,572257,525213.58,489535
Velo,None,Mexico,10451,10451,7465
VTT,High,Mexico,308131,275198.76,251670
VTT,Low,Mexico,2019302,1978856.34,1518368
VTT,Medium,Mexico,989141,918341.61,826760
