financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit)
Low,United States of America,31995,,
Medium,United States of America,31995,,
None,United States of America,31995,,
High,United States of America,29310,,
Low,United States of America,29310,,
Medium,United States of America,29310,40887.45,11577.449999999997
None,United States of America,29310,,
High,United States of America,39600,,
Low,United States of America,39600,40837.5,1237.5
Medium,United States of America,39600,,
None,United States of America,39600,,
High,United States of America,14535,,
Low,United States of America,14535,,
Medium,United States of America,14535,37442.16,8372.160000000003
None,United States of America,14535,,
High,United States of America,14980,36071.84,6111.8399999999965
Low,United States of America,14980,,
Medium,United States of America,14980,,
None,United States of America,14980,,
High,United States of America,25480,33633.6,8153.5999999999985
Low,United States of America,25480,,
Medium,United States of America,25480,,
None,United States of America,25480,,
High,United States of America,11530,,
Low,United States of America,11530,,
Medium,United States of America,11530,32514.6,9454.599999999999
None,United States of America,11530,,
High,United States of America,22462.5,,
Low,United States of America,22462.5,31133.024999999998,8670.524999999998
Medium,United States of America,22462.5,,
None,United States of America,22462.5,,
High,United States of America,21980,,
Low,United States of America,21980,,
Medium,United States of America,21980,30991.8,9011.8
None,United States of America,21980,,
High,United States of America,8169,,
Low,United States of America,8169,,
Medium,United States of America,8169,30715.44,22546.44
None,United States of America,8169,,
High,United States of America,17430,29979.6,12549.599999999999
Low,United States of America,17430,,
Medium,United States of America,17430,,
None,United States of America,17430,,
High,United States of America,20300,,
Low,United States of America,20300,,
Medium,United States of America,20300,28623,8323
None,United States of America,20300,,
High,United States of America,19250,,
Low,United States of America,19250,28297.5,9047.5
Medium,United States of America,19250,,
None,United States of America,19250,,
High,United States of America,3426,,
Low,United States of America,3426,26859.84,20007.84
Medium,United States of America,3426,,
None,United States of America,3426,,
High,United States of America,14210,,
Low,United States of America,14210,,
Medium,United States of America,14210,26430.6,12220.599999999999
None,United States of America,14210,,
High,United States of America,6423,,
Low,United States of America,6423,,
Medium,United States of America,6423,,
None,United States of America,6423,25692,19269
High,United States of America,12360,,
Low,United States of America,12360,24225.6,11865.599999999999
Medium,United States of America,12360,,
None,United States of America,12360,,
High,United States of America,12650,,
Low,United States of America,12650,,
Medium,United States of America,12650,24035,11385
None,United States of America,12650,,
High,United States of America,5967,,
Low,United States of America,5967,23629.32,17662.32
Medium,United States of America,5967,,
None,United States of America,5967,,
High,United States of America,5859,,
Low,United States of America,5859,,
Medium,United States of America,5859,,
None,United States of America,5859,23436,17577
High,United States of America,17670,22794.3,5124.299999999999
Low,United States of America,17670,,
Medium,United States of America,17670,,
None,United States of America,17670,,
High,United States of America,5841,,
Low,United States of America,5841,22663.08,16822.08
Medium,United States of America,5841,,
None,United States of America,5841,,
High,United States of America,15140,,
Low,United States of America,15140,22482.9,7342.9000000000015
Medium,United States of America,15140,,
None,United States of America,15140,,
High,United States of America,5574,,
Low,United States of America,5574,22073.04,16499.04
Medium,United States of America,5574,,
None,United States of America,5574,,
High,United States of America,5868,,
Low,United States of America,5868,,
Medium,United States of America,5868,21359.52,15491.52
None,United States of America,5868,,
High,United States of America,11175,,
Low,United States of America,11175,,
Medium,United States of America,11175,21009,9834
None,United States of America,11175,,
High,United States of America,6045,20794.8,14749.8
Low,United States of America,6045,,
Medium,United States of America,6045,,
None,United States of America,6045,,
High,United States of America,10560,,
Low,United States of America,10560,20275.2,9715.2
Medium,United States of America,10560,,
None,United States of America,10560,,
High,United States of America,6710,,
Low,United States of America,6710,19324.8,5904.799999999999
Medium,United States of America,6710,,
None,United States of America,6710,,
High,United States of America,2742,18645.6,13161.599999999999
Low,United States of America,2742,,
Medium,United States of America,2742,,
None,United States of America,2742,,
High,United States of America,6150,,
Low,United States of America,6150,,
Medium,United States of America,6150,,
None,United States of America,6150,18450,6150
High,United States of America,5418,18421.2,13003.2
Low,United States of America,5418,,
Medium,United States of America,5418,,
None,United States of America,5418,,
High,United States of America,9730,,
Low,United States of America,9730,,
Medium,United States of America,9730,17708.6,7978.5999999999985
None,United States of America,9730,,
High,United States of America,12645,,
Low,United States of America,12645,17525.97,4880.969999999999
Medium,United States of America,12645,,
None,United States of America,12645,,
High,United States of America,4395,,
Low,United States of America,4395,16876.8,12481.8
Medium,United States of America,4395,,
None,United States of America,4395,,
High,United States of America,5715,,
Low,United States of America,5715,,
Medium,United States of America,5715,,
None,United States of America,5715,16002,4572
High,United States of America,4108.5,,
Low,United States of America,4108.5,15940.98,11832.48
Medium,United States of America,4108.5,,
None,United States of America,4108.5,,
High,United States of America,11635,,
Low,United States of America,11635,,
Medium,United States of America,11635,15474.55,3839.5499999999993
None,United States of America,11635,,
High,United States of America,11640,14666.4,3026.3999999999996
Low,United States of America,11640,,
Medium,United States of America,11640,,
None,United States of America,11640,,
High,United States of America,7360,,
Low,United States of America,7360,14131.2,6771.200000000001
Medium,United States of America,7360,,
None,United States of America,7360,,
High,United States of America,10065,,
Low,United States of America,10065,13809.18,3744.1800000000003
Medium,United States of America,10065,,
None,United States of America,10065,,
High,United States of America,2736,,
Low,United States of America,2736,,
Medium,United States of America,2736,,
None,United States of America,2736,10944,8208
High,United States of America,7900,10665,2765
Low,United States of America,7900,,
Medium,United States of America,7900,,
None,United States of America,7900,,
High,United States of America,6060,10423.2,4363.200000000001
Low,United States of America,6060,,
Medium,United States of America,6060,,
None,United States of America,6060,,
High,United States of America,7895,9837.17,1942.17
Low,United States of America,7895,,
Medium,United States of America,7895,,
None,United States of America,7895,,
High,United States of America,2670,9078,3738
Low,United States of America,2670,,
Medium,United States of America,2670,,
None,United States of America,2670,,
High,United States of America,6770,8936.4,2166.3999999999996
Low,United States of America,6770,,
Medium,United States of America,6770,,
None,United States of America,6770,,
High,United States of America,7192.5,8760.465,1567.9649999999992
Low,United States of America,7192.5,,
Medium,United States of America,7192.5,,
None,United States of America,7192.5,,
High,United States of America,1158,8337.6,6021.6
Low,United States of America,1158,,
Medium,United States of America,1158,,
None,United States of America,1158,,
High,United States of America,4365,,
Low,United States of America,4365,,
Medium,United States of America,4365,8031.599999999999,3666.5999999999995
None,United States of America,4365,,
High,United States of America,5550,,
Low,United States of America,5550,,
Medium,United States of America,5550,7908.75,2358.75
None,United States of America,5550,,
High,United States of America,6490,7904.82,1414.8199999999997
Low,United States of America,6490,,
Medium,United States of America,6490,,
None,United States of America,6490,,
High,United States of America,2850,,
Low,United States of America,2850,,
Medium,United States of America,2850,7581,1881
None,United States of America,2850,,
High,United States of America,3390,,
Low,United States of America,3390,,
Medium,United States of America,3390,4366.32,976.3199999999997
None,United States of America,3390,,
High,United States of America,2735,,
Low,United States of America,2735,,
Medium,United States of America,2735,3560.9700000000003,825.9700000000003
None,United States of America,2735,,
High,United States of America,1900,2367.4,467.4000000000001
Low,United States of America,1900,,
Medium,United States of America,1900,,
None,United States of America,1900,,
High,United States of America,1315,,
Low,United States of America,1315,,
Medium,United States of America,1315,1730.54,415.53999999999996
None,United States of America,1315,,
High,United States of America,,11140926.28,866326.7799999998
Low,United States of America,,6273404.135000001,1147004.1349999998
Medium,United States of America,,7168350.749999998,912328.7499999999
None,United States of America,,447149,69881
High,Canada,741520,,
Low,Canada,741520,1956472,473432
Medium,Canada,741520,,
None,Canada,741520,,
High,Canada,684320,1602888,234248
Low,Canada,684320,,
Medium,Canada,684320,,
None,Canada,684320,,
High,Canada,479000,,
Low,Canada,479000,1126608,168608
Medium,Canada,479000,,
None,Canada,479000,,
High,Canada,950625,,
Low,Canada,950625,,
Medium,Canada,950625,1038082.5,87457.5
None,Canada,950625,,
High,Canada,948375,,
Low,Canada,948375,,
Medium,Canada,948375,1035625.5,87250.5
None,Canada,948375,,
High,Canada,319280,,
Low,Canada,319280,,
Medium,Canada,319280,816620,178060
None,Canada,319280,,
High,Canada,329940,,
Low,Canada,329940,,
Medium,Canada,329940,808353,148473
None,Canada,329940,,
High,Canada,374000,771936,23936
Low,Canada,374000,,
Medium,Canada,374000,,
None,Canada,374000,,
High,Canada,582400,705600,123200
Low,Canada,582400,,
Medium,Canada,582400,,
None,Canada,582400,,
High,Canada,609000,,
Low,Canada,609000,,
Medium,Canada,609000,686952,77952
None,Canada,609000,,
High,Canada,579150,670477.5,91327.5
Low,Canada,579150,,
Medium,Canada,579150,,
None,Canada,579150,,
High,Canada,327480,,
Low,Canada,327480,668605,13645
Medium,Canada,327480,,
None,Canada,327480,,
High,Canada,547170,655551.75,108381.75
Low,Canada,547170,,
Medium,Canada,547170,,
None,Canada,547170,,
High,Canada,448500,,
Low,Canada,448500,,
Medium,Canada,448500,,
None,Canada,448500,603750,155250
High,Canada,500250,,
Low,Canada,500250,,
Medium,Canada,500250,,
None,Canada,500250,600300,100050
High,Canada,462280,,
Low,Canada,462280,597408,135128
Medium,Canada,462280,,
None,Canada,462280,,
High,Canada,273500,,
Low,Canada,273500,,
Medium,Canada,273500,597324,50324
None,Canada,273500,,
High,Canada,533500,,
Low,Canada,533500,,
Medium,Canada,533500,588984,55484
None,Canada,533500,,
High,Canada,468500,,
Low,Canada,468500,545334,76834
Medium,Canada,468500,,
None,Canada,468500,,
High,Canada,241080,,
Low,Canada,241080,487182.5,5022.5
Medium,Canada,241080,,
None,Canada,241080,,
High,Canada,425500,,
Low,Canada,425500,,
Medium,Canada,425500,474858,49358
None,Canada,425500,,
High,Canada,351000,,
Low,Canada,351000,,
Medium,Canada,351000,391716,40716
None,Canada,351000,,
High,Canada,341500,364722,23222
Low,Canada,341500,,
Medium,Canada,341500,,
None,Canada,341500,,
High,Canada,320750,,
Low,Canada,320750,,
Medium,Canada,320750,354108,33358
None,Canada,320750,,
High,Canada,189960,344302.5,-35617.5
Low,Canada,189960,,
Medium,Canada,189960,,
None,Canada,189960,,
High,Canada,319860,,
Low,Canada,319860,,
Medium,Canada,319860,,
None,Canada,319860,333187.5,13327.5
High,Canada,245310,,
Low,Canada,245310,326922.75,81612.75
Medium,Canada,245310,,
None,Canada,245310,,
High,Canada,354480,313862.5,-40617.5
Low,Canada,354480,,
Medium,Canada,354480,,
None,Canada,354480,,
High,Canada,303480,284512.5,-18967.5
Low,Canada,303480,,
Medium,Canada,303480,,
None,Canada,303480,,
High,Canada,239980,281053.5,41073.5
Low,Canada,239980,,
Medium,Canada,239980,,
None,Canada,239980,,
High,Canada,289920,265760,-24160
Low,Canada,289920,,
Medium,Canada,289920,,
None,Canada,289920,,
High,Canada,218250,233091,14841
Low,Canada,218250,,
Medium,Canada,218250,,
None,Canada,218250,,
High,Canada,222000,229104,7104
Low,Canada,222000,,
Medium,Canada,222000,,
None,Canada,222000,,
High,Canada,183820,222705,38885
Low,Canada,183820,,
Medium,Canada,183820,,
None,Canada,183820,,
High,Canada,229920,215550,-14370
Low,Canada,229920,,
Medium,Canada,229920,,
None,Canada,229920,,
High,Canada,212880,,
Low,Canada,212880,215097.5,2217.5
Medium,Canada,212880,,
None,Canada,212880,,
High,Canada,182000,210700,28700
Low,Canada,182000,,
Medium,Canada,182000,,
None,Canada,182000,,
High,Canada,161980,191884,29904
Low,Canada,161980,,
Medium,Canada,161980,,
None,Canada,161980,,
High,Canada,197400,,
Low,Canada,197400,,
Medium,Canada,197400,191231.25,-6168.75
None,Canada,197400,,
High,Canada,143520,,
Low,Canada,143520,,
Medium,Canada,143520,183540,40020
None,Canada,143520,,
High,Canada,199080,180416.25,-18663.75
Low,Canada,199080,,
Medium,Canada,199080,,
None,Canada,199080,,
High,Canada,67250,138804,4304
Low,Canada,67250,,
Medium,Canada,67250,,
None,Canada,67250,,
High,Canada,110760,,
Low,Canada,110760,114221.25,3461.25
Medium,Canada,110760,,
None,Canada,110760,,
High,Canada,114240,,
Low,Canada,114240,,
Medium,Canada,114240,111860,-2380
None,Canada,114240,,
High,Canada,89100,,
Low,Canada,89100,90956.25,1856.25
Medium,Canada,89100,,
None,Canada,89100,,
High,Canada,41400,,
Low,Canada,41400,,
Medium,Canada,41400,,
None,Canada,41400,86250,3450
High,Canada,28440,,
Low,Canada,28440,,
Medium,Canada,28440,80200.8,23320.800000000003
None,Canada,28440,,
High,Canada,38505,,
Low,Canada,38505,74699.70000000001,36194.700000000004
Medium,Canada,38505,,
None,Canada,38505,,
High,Canada,18170,,
Low,Canada,18170,,
Medium,Canada,18170,,
None,Canada,18170,72680,36340
High,Canada,68040,,
Low,Canada,68040,,
Medium,Canada,68040,64496.25,-3543.75
None,Canada,68040,,
High,Canada,7554,,
Low,Canada,7554,,
Medium,Canada,7554,,
None,Canada,7554,60432,45324
High,Canada,52000,60200,8200
Low,Canada,52000,,
Medium,Canada,52000,,
None,Canada,52000,,
High,Canada,23000,59340,13340
Low,Canada,23000,,
Medium,Canada,23000,,
None,Canada,23000,,
High,Canada,7293,,
Low,Canada,7293,,
Medium,Canada,7293,55426.8,40840.8
None,Canada,7293,,
High,Canada,13890,,
Low,Canada,13890,,
Medium,Canada,13890,52782,25002
None,Canada,13890,,
High,Canada,29350,52243,22893
Low,Canada,29350,,
Medium,Canada,29350,,
None,Canada,29350,,
High,Canada,6897,,
Low,Canada,6897,,
Medium,Canada,6897,51865.44,38071.44
None,Canada,6897,,
High,Canada,26460,,
Low,Canada,26460,50803.2,24343.199999999997
Medium,Canada,26460,,
None,Canada,26460,,
High,Canada,17430,44969.4,10109.400000000001
Low,Canada,17430,,
Medium,Canada,17430,,
None,Canada,17430,,
High,Canada,12490,43465.2,18485.199999999997
Low,Canada,12490,,
Medium,Canada,12490,,
None,Canada,12490,,
High,Canada,12078,42997.68,30919.68
Low,Canada,12078,,
Medium,Canada,12078,,
None,Canada,12078,,
High,Canada,23940,42613.2,18673.199999999997
Low,Canada,23940,,
Medium,Canada,23940,,
None,Canada,23940,,
High,Canada,24280,41761.6,17481.6
Low,Canada,24280,,
Medium,Canada,24280,,
None,Canada,24280,,
High,Canada,15650,40846.5,9546.5
Low,Canada,15650,,
Medium,Canada,15650,,
None,Canada,15650,,
High,Canada,20740,,
Low,Canada,20740,39820.8,19080.800000000003
Medium,Canada,20740,,
None,Canada,20740,,
High,Canada,14255,,
Low,Canada,14255,38317.44,9807.440000000002
Medium,Canada,14255,,
None,Canada,14255,,
High,Canada,10561.5,38021.399999999994,27459.899999999998
Low,Canada,10561.5,,
Medium,Canada,10561.5,,
None,Canada,10561.5,,
High,Canada,9733.5,,
Low,Canada,9733.5,,
Medium,Canada,9733.5,36208.62,26475.120000000003
None,Canada,9733.5,,
High,Canada,26890,35494.8,8604.800000000003
Low,Canada,26890,,
Medium,Canada,26890,,
None,Canada,26890,,
High,Canada,23630,,
Low,Canada,23630,34736.1,11106.099999999999
Medium,Canada,23630,,
None,Canada,23630,,
High,Canada,18020,,
Low,Canada,18020,,
Medium,Canada,18020,34238,16218
None,Canada,18020,,
High,Canada,13670,33682.88,6342.879999999997
Low,Canada,13670,,
Medium,Canada,13670,,
None,Canada,13670,,
High,Canada,25590,32627.25,7037.25
Low,Canada,25590,,
Medium,Canada,25590,,
None,Canada,25590,,
High,Canada,16185,,
Low,Canada,16185,,
Medium,Canada,16185,,
None,Canada,16185,32370,16185
High,Canada,21520,,
Low,Canada,21520,,
Medium,Canada,21520,,
None,Canada,21520,32280,10760
High,Canada,24700,31863,7163
Low,Canada,24700,,
Medium,Canada,24700,,
None,Canada,24700,,
High,Canada,3885,,
Low,Canada,3885,30458.4,22688.4
Medium,Canada,3885,,
None,Canada,3885,,
High,Canada,8283,29156.16,20873.16
Low,Canada,8283,,
Medium,Canada,8283,,
None,Canada,8283,,
High,Canada,21255,,
Low,Canada,21255,28566.72,7311.719999999999
Medium,Canada,21255,,
None,Canada,21255,,
High,Canada,19670,,
Low,Canada,19670,28324.8,8654.8
Medium,Canada,19670,,
None,Canada,19670,,
High,Canada,7080,,
Low,Canada,7080,,
Medium,Canada,7080,26054.4,11894.400000000001
None,Canada,7080,,
High,Canada,6963,,
Low,Canada,6963,,
Medium,Canada,6963,25345.32,18382.32
None,Canada,6963,,
High,Canada,6666,22931.04,16265.04
Low,Canada,6666,,
Medium,Canada,6666,,
None,Canada,6666,,
High,Canada,6327,22271.04,15944.04
Low,Canada,6327,,
Medium,Canada,6327,,
None,Canada,6327,,
High,Canada,16305,,
Low,Canada,16305,,
Medium,Canada,16305,22256.324999999997,5951.324999999999
None,Canada,16305,,
High,Canada,5652,,
Low,Canada,5652,,
Medium,Canada,5652,21025.44,15373.439999999999
None,Canada,5652,,
High,Canada,15600,20826,5226
Low,Canada,15600,,
Medium,Canada,15600,,
None,Canada,15600,,
High,Canada,11180,,
Low,Canada,11180,,
Medium,Canada,11180,20794.8,9614.8
None,Canada,11180,,
High,Canada,5811,20687.16,14876.16
Low,Canada,5811,,
Medium,Canada,5811,,
None,Canada,5811,,
High,Canada,7910,,
Low,Canada,7910,,
Medium,Canada,7910,20597.64,4777.639999999999
None,Canada,7910,,
High,Canada,16140,20578.5,4438.5
Low,Canada,16140,,
Medium,Canada,16140,,
None,Canada,16140,,
High,Canada,12620,,
Low,Canada,12620,,
Medium,Canada,12620,17604.9,4984.9000000000015
None,Canada,12620,,
High,Canada,4335,,
Low,Canada,4335,17166.6,12831.599999999999
Medium,Canada,4335,,
None,Canada,4335,,
High,Canada,8310,,
Low,Canada,8310,16121.4,7811.4
Medium,Canada,8310,,
None,Canada,8310,,
High,Canada,11745,,
Low,Canada,11745,,
Medium,Canada,11745,15620.85,3875.8500000000004
None,Canada,11745,,
High,Canada,5675,,
Low,Canada,5675,,
Medium,Canada,5675,14777.7,3427.7000000000007
None,Canada,5675,,
High,Canada,8655,14713.5,6058.5
Low,Canada,8655,,
Medium,Canada,8655,,
None,Canada,8655,,
High,Canada,10460,,
Low,Canada,10460,14497.56,4037.5599999999995
Medium,Canada,10460,,
None,Canada,10460,,
High,Canada,9150,,
Low,Canada,9150,12681.9,3531.8999999999996
Medium,Canada,9150,,
None,Canada,9150,,
High,Canada,9040,11263.84,2223.84
Low,Canada,9040,,
Medium,Canada,9040,,
None,Canada,9040,,
High,Canada,2724,,
Low,Canada,2724,10569.12,7845.120000000001
Medium,Canada,2724,,
None,Canada,2724,,
High,Canada,8055,,
Low,Canada,8055,,
Medium,Canada,8055,10262.07,2207.0699999999997
None,Canada,8055,,
High,Canada,6630,,
Low,Canada,6630,9189.18,2559.1800000000003
Medium,Canada,6630,,
None,Canada,6630,,
High,Canada,1794,,
Low,Canada,1794,,
Medium,Canada,1794,6601.92,4807.92
None,Canada,1794,,
High,Canada,2920,,
Low,Canada,2920,,
Medium,Canada,2920,,
None,Canada,2920,5840,2920
High,Canada,4095,,
Low,Canada,4095,,
Medium,Canada,4095,5217.03,1122.03
None,Canada,4095,,
High,Canada,3840,5126.4,1286.3999999999999
Low,Canada,3840,,
Medium,Canada,3840,,
None,Canada,3840,,
High,Canada,3615,4301.85,686.8500000000001
Low,Canada,3615,,
Medium,Canada,3615,,
None,Canada,3615,,
High,Canada,2440,,
Low,Canada,2440,,
Medium,Canada,2440,3142.7200000000003,702.7200000000003
None,Canada,2440,,
High,Canada,2180,,
Low,Canada,2180,3139.2,959.1999999999998
Medium,Canada,2180,,
None,Canada,2180,,
High,Canada,1940,2335.76,395.7600000000002
Low,Canada,1940,,
Medium,Canada,1940,,
None,Canada,1940,,
High,Canada,1285,,
Low,Canada,1285,,
Medium,Canada,1285,1655.08,370.0799999999999
None,Canada,1285,,
High,Canada,,8657237.659999998,911261.1600000001
Low,Canada,,6537899.37,1140580.3699999999
Medium,Canada,,7865428.355000001,1093780.855
None,Canada,,1827089.5,383606.5
High,France,560300,,
Low,France,560300,1493415,372815
Medium,France,560300,,
None,France,560300,,
High,France,566020,,
Low,France,566020,1462944,330904
Medium,France,566020,,
None,France,566020,,
High,France,539760,,
Low,France,539760,,
Medium,France,539760,1366008,286488
None,France,539760,,
High,France,545250,,
Low,France,545250,,
Medium,France,545250,1216998,126498
None,France,545250,,
High,France,388960,,
Low,France,388960,,
Medium,France,388960,984368,206448
None,France,388960,,
High,France,715000,,
Low,France,715000,,
Medium,France,715000,,
None,France,715000,962500,247500
High,France,747760,,
Low,France,747760,,
Medium,France,747760,936138,188378
None,France,747760,,
High,France,608625,,
Low,France,608625,708439.5,99814.5
Medium,France,608625,,
None,France,608625,,
High,France,305250,,
Low,France,305250,,
Medium,France,305250,688644,78144
None,France,305250,,
High,France,537750,,
Low,France,537750,,
Medium,France,537750,,
None,France,537750,645300,107550
High,France,618750,631125,12375
Low,France,618750,,
Medium,France,618750,,
None,France,618750,,
High,France,499720,578522,78802
Low,France,499720,,
Medium,France,499720,,
None,France,499720,,
High,France,465400,545055,79655
Low,France,465400,,
Medium,France,465400,,
None,France,465400,,
High,France,292920,543122.5,-42717.5
Low,France,292920,,
Medium,France,292920,,
None,France,292920,,
High,France,397020,,
Low,France,397020,,
Medium,France,397020,,
None,France,397020,534450,137430
High,France,433160,,
Low,France,433160,,
Medium,France,433160,530621,97461
None,France,433160,,
High,France,509220,,
Low,France,509220,514524.375,5304.375
Medium,France,509220,,
None,France,509220,,
High,France,414440,490952,76512
Low,France,414440,,
Medium,France,414440,,
None,France,414440,,
High,France,443250,468072,24822
Low,France,443250,,
Medium,France,443250,,
None,France,443250,,
High,France,414750,,
Low,France,414750,,
Medium,France,414750,462861,48111
None,France,414750,,
High,France,213250,460620,34120
Low,France,213250,,
Medium,France,213250,,
None,France,213250,,
High,France,359970,,
Low,France,359970,,
Medium,France,359970,460346.25,100376.25
None,France,359970,,
High,France,390500,,
Low,France,390500,,
Medium,France,390500,431112,40612
None,France,390500,,
