Orders.Order Date.Variation.Date Hierarchy.Day,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
18,April,Qtr 2,2014,Furniture,Bookcases,
19,April,Qtr 2,2014,Furniture,Bookcases,
20,April,Qtr 2,2014,Furniture,Bookcases,
21,April,Qtr 2,2014,Furniture,Bookcases,
22,April,Qtr 2,2014,Furniture,Bookcases,
23,April,Qtr 2,2014,Furniture,Bookcases,
25,April,Qtr 2,2014,Furniture,Bookcases,
26,April,Qtr 2,2014,Furniture,Bookcases,
28,April,Qtr 2,2014,Furniture,Bookcases,
29,April,Qtr 2,2014,Furniture,Bookcases,
30,April,Qtr 2,2014,Furniture,Bookcases,
2,May,Qtr 2,2014,Furniture,Bookcases,
3,May,Qtr 2,2014,Furniture,Bookcases,
4,May,Qtr 2,2014,Furniture,Bookcases,
5,May,Qtr 2,2014,Furniture,Bookcases,
6,May,Qtr 2,2014,Furniture,Bookcases,
7,May,Qtr 2,2014,Furniture,Bookcases,
8,May,Qtr 2,2014,Furniture,Bookcases,
9,May,Qtr 2,2014,Furniture,Bookcases,
10,May,Qtr 2,2014,Furniture,Bookcases,-216.97830000000002
11,May,Qtr 2,2014,Furniture,Bookcases,
12,May,Qtr 2,2014,Furniture,Bookcases,
13,May,Qtr 2,2014,Furniture,Bookcases,
14,May,Qtr 2,2014,Furniture,Bookcases,
16,May,Qtr 2,2014,Furniture,Bookcases,
17,May,Qtr 2,2014,Furniture,Bookcases,
18,May,Qtr 2,2014,Furniture,Bookcases,
19,May,Qtr 2,2014,Furniture,Bookcases,
20,May,Qtr 2,2014,Furniture,Bookcases,
21,May,Qtr 2,2014,Furniture,Bookcases,
22,May,Qtr 2,2014,Furniture,Bookcases,
23,May,Qtr 2,2014,Furniture,Bookcases,
24,May,Qtr 2,2014,Furniture,Bookcases,
25,May,Qtr 2,2014,Furniture,Bookcases,
26,May,Qtr 2,2014,Furniture,Bookcases,27.356800000000007
27,May,Qtr 2,2014,Furniture,Bookcases,
28,May,Qtr 2,2014,Furniture,Bookcases,
30,May,Qtr 2,2014,Furniture,Bookcases,
31,May,Qtr 2,2014,Furniture,Bookcases,
1,June,Qtr 2,2014,Furniture,Bookcases,
2,June,Qtr 2,2014,Furniture,Bookcases,
3,June,Qtr 2,2014,Furniture,Bookcases,
4,June,Qtr 2,2014,Furniture,Bookcases,-44.196000000000026
6,June,Qtr 2,2014,Furniture,Bookcases,
7,June,Qtr 2,2014,Furniture,Bookcases,
8,June,Qtr 2,2014,Furniture,Bookcases,
9,June,Qtr 2,2014,Furniture,Bookcases,
10,June,Qtr 2,2014,Furniture,Bookcases,
13,June,Qtr 2,2014,Furniture,Bookcases,
14,June,Qtr 2,2014,Furniture,Bookcases,57.4938
15,June,Qtr 2,2014,Furniture,Bookcases,
16,June,Qtr 2,2014,Furniture,Bookcases,
17,June,Qtr 2,2014,Furniture,Bookcases,
18,June,Qtr 2,2014,Furniture,Bookcases,
20,June,Qtr 2,2014,Furniture,Bookcases,-19.874399999999994
21,June,Qtr 2,2014,Furniture,Bookcases,
22,June,Qtr 2,2014,Furniture,Bookcases,
23,June,Qtr 2,2014,Furniture,Bookcases,
24,June,Qtr 2,2014,Furniture,Bookcases,
25,June,Qtr 2,2014,Furniture,Bookcases,
27,June,Qtr 2,2014,Furniture,Bookcases,
28,June,Qtr 2,2014,Furniture,Bookcases,
29,June,Qtr 2,2014,Furniture,Bookcases,
30,June,Qtr 2,2014,Furniture,Bookcases,
1,July,Qtr 3,2014,Furniture,Bookcases,
2,July,Qtr 3,2014,Furniture,Bookcases,
4,July,Qtr 3,2014,Furniture,Bookcases,
5,July,Qtr 3,2014,Furniture,Bookcases,
6,July,Qtr 3,2014,Furniture,Bookcases,
7,July,Qtr 3,2014,Furniture,Bookcases,
8,July,Qtr 3,2014,Furniture,Bookcases,
9,July,Qtr 3,2014,Furniture,Bookcases,7.0489999999999995
11,July,Qtr 3,2014,Furniture,Bookcases,
12,July,Qtr 3,2014,Furniture,Bookcases,
13,July,Qtr 3,2014,Furniture,Bookcases,
14,July,Qtr 3,2014,Furniture,Bookcases,
15,July,Qtr 3,2014,Furniture,Bookcases,
18,July,Qtr 3,2014,Furniture,Bookcases,
19,July,Qtr 3,2014,Furniture,Bookcases,
20,July,Qtr 3,2014,Furniture,Bookcases,
21,July,Qtr 3,2014,Furniture,Bookcases,
22,July,Qtr 3,2014,Furniture,Bookcases,
23,July,Qtr 3,2014,Furniture,Bookcases,
25,July,Qtr 3,2014,Furniture,Bookcases,
26,July,Qtr 3,2014,Furniture,Bookcases,
27,July,Qtr 3,2014,Furniture,Bookcases,
28,July,Qtr 3,2014,Furniture,Bookcases,
30,July,Qtr 3,2014,Furniture,Bookcases,259.8896
1,August,Qtr 3,2014,Furniture,Bookcases,
2,August,Qtr 3,2014,Furniture,Bookcases,
3,August,Qtr 3,2014,Furniture,Bookcases,
4,August,Qtr 3,2014,Furniture,Bookcases,
5,August,Qtr 3,2014,Furniture,Bookcases,
6,August,Qtr 3,2014,Furniture,Bookcases,
8,August,Qtr 3,2014,Furniture,Bookcases,-7.7727999999999895
9,August,Qtr 3,2014,Furniture,Bookcases,
11,August,Qtr 3,2014,Furniture,Bookcases,
12,August,Qtr 3,2014,Furniture,Bookcases,
15,August,Qtr 3,2014,Furniture,Bookcases,
16,August,Qtr 3,2014,Furniture,Bookcases,
17,August,Qtr 3,2014,Furniture,Bookcases,
19,August,Qtr 3,2014,Furniture,Bookcases,172.4814
20,August,Qtr 3,2014,Furniture,Bookcases,
22,August,Qtr 3,2014,Furniture,Bookcases,
23,August,Qtr 3,2014,Furniture,Bookcases,
24,August,Qtr 3,2014,Furniture,Bookcases,
25,August,Qtr 3,2014,Furniture,Bookcases,
26,August,Qtr 3,2014,Furniture,Bookcases,
27,August,Qtr 3,2014,Furniture,Bookcases,
29,August,Qtr 3,2014,Furniture,Bookcases,
30,August,Qtr 3,2014,Furniture,Bookcases,
31,August,Qtr 3,2014,Furniture,Bookcases,
1,September,Qtr 3,2014,Furniture,Bookcases,
2,September,Qtr 3,2014,Furniture,Bookcases,
3,September,Qtr 3,2014,Furniture,Bookcases,
5,September,Qtr 3,2014,Furniture,Bookcases,
6,September,Qtr 3,2014,Furniture,Bookcases,
7,September,Qtr 3,2014,Furniture,Bookcases,
8,September,Qtr 3,2014,Furniture,Bookcases,
9,September,Qtr 3,2014,Furniture,Bookcases,
10,September,Qtr 3,2014,Furniture,Bookcases,
11,September,Qtr 3,2014,Furniture,Bookcases,
12,September,Qtr 3,2014,Furniture,Bookcases,
13,September,Qtr 3,2014,Furniture,Bookcases,
14,September,Qtr 3,2014,Furniture,Bookcases,
15,September,Qtr 3,2014,Furniture,Bookcases,
16,September,Qtr 3,2014,Furniture,Bookcases,
17,September,Qtr 3,2014,Furniture,Bookcases,
19,September,Qtr 3,2014,Furniture,Bookcases,
20,September,Qtr 3,2014,Furniture,Bookcases,-44.21560000000004
21,September,Qtr 3,2014,Furniture,Bookcases,
22,September,Qtr 3,2014,Furniture,Bookcases,
23,September,Qtr 3,2014,Furniture,Bookcases,20.517599999999987
24,September,Qtr 3,2014,Furniture,Bookcases,
25,September,Qtr 3,2014,Furniture,Bookcases,-97.23120000000003
26,September,Qtr 3,2014,Furniture,Bookcases,
27,September,Qtr 3,2014,Furniture,Bookcases,
28,September,Qtr 3,2014,Furniture,Bookcases,
29,September,Qtr 3,2014,Furniture,Bookcases,
30,September,Qtr 3,2014,Furniture,Bookcases,
1,October,Qtr 4,2014,Furniture,Bookcases,
2,October,Qtr 4,2014,Furniture,Bookcases,
3,October,Qtr 4,2014,Furniture,Bookcases,
4,October,Qtr 4,2014,Furniture,Bookcases,
5,October,Qtr 4,2014,Furniture,Bookcases,
6,October,Qtr 4,2014,Furniture,Bookcases,
7,October,Qtr 4,2014,Furniture,Bookcases,
8,October,Qtr 4,2014,Furniture,Bookcases,
9,October,Qtr 4,2014,Furniture,Bookcases,
10,October,Qtr 4,2014,Furniture,Bookcases,
11,October,Qtr 4,2014,Furniture,Bookcases,
12,October,Qtr 4,2014,Furniture,Bookcases,
13,October,Qtr 4,2014,Furniture,Bookcases,
14,October,Qtr 4,2014,Furniture,Bookcases,
15,October,Qtr 4,2014,Furniture,Bookcases,
16,October,Qtr 4,2014,Furniture,Bookcases,
17,October,Qtr 4,2014,Furniture,Bookcases,
18,October,Qtr 4,2014,Furniture,Bookcases,
19,October,Qtr 4,2014,Furniture,Bookcases,
20,October,Qtr 4,2014,Furniture,Bookcases,
21,October,Qtr 4,2014,Furniture,Bookcases,
22,October,Qtr 4,2014,Furniture,Bookcases,
24,October,Qtr 4,2014,Furniture,Bookcases,
25,October,Qtr 4,2014,Furniture,Bookcases,
26,October,Qtr 4,2014,Furniture,Bookcases,
27,October,Qtr 4,2014,Furniture,Bookcases,
28,October,Qtr 4,2014,Furniture,Bookcases,-36.294
29,October,Qtr 4,2014,Furniture,Bookcases,
31,October,Qtr 4,2014,Furniture,Bookcases,
1,November,Qtr 4,2014,Furniture,Bookcases,
2,November,Qtr 4,2014,Furniture,Bookcases,
3,November,Qtr 4,2014,Furniture,Bookcases,
4,November,Qtr 4,2014,Furniture,Bookcases,
5,November,Qtr 4,2014,Furniture,Bookcases,
6,November,Qtr 4,2014,Furniture,Bookcases,
7,November,Qtr 4,2014,Furniture,Bookcases,
8,November,Qtr 4,2014,Furniture,Bookcases,
9,November,Qtr 4,2014,Furniture,Bookcases,10.47839999999998
10,November,Qtr 4,2014,Furniture,Bookcases,
11,November,Qtr 4,2014,Furniture,Bookcases,-250.5408
12,November,Qtr 4,2014,Furniture,Bookcases,-12.998700000000007
14,November,Qtr 4,2014,Furniture,Bookcases,
15,November,Qtr 4,2014,Furniture,Bookcases,
16,November,Qtr 4,2014,Furniture,Bookcases,25.19789999999997
17,November,Qtr 4,2014,Furniture,Bookcases,-50.0980000000003
18,November,Qtr 4,2014,Furniture,Bookcases,-30.293999999999983
19,November,Qtr 4,2014,Furniture,Bookcases,235.9524
20,November,Qtr 4,2014,Furniture,Bookcases,
21,November,Qtr 4,2014,Furniture,Bookcases,
22,November,Qtr 4,2014,Furniture,Bookcases,
23,November,Qtr 4,2014,Furniture,Bookcases,
24,November,Qtr 4,2014,Furniture,Bookcases,
25,November,Qtr 4,2014,Furniture,Bookcases,-37.943400000000025
26,November,Qtr 4,2014,Furniture,Bookcases,
27,November,Qtr 4,2014,Furniture,Bookcases,
28,November,Qtr 4,2014,Furniture,Bookcases,-4.839199999999977
29,November,Qtr 4,2014,Furniture,Bookcases,
30,November,Qtr 4,2014,Furniture,Bookcases,
1,December,Qtr 4,2014,Furniture,Bookcases,
2,December,Qtr 4,2014,Furniture,Bookcases,-110.49000000000007
3,December,Qtr 4,2014,Furniture,Bookcases,
4,December,Qtr 4,2014,Furniture,Bookcases,
5,December,Qtr 4,2014,Furniture,Bookcases,
6,December,Qtr 4,2014,Furniture,Bookcases,
7,December,Qtr 4,2014,Furniture,Bookcases,
8,December,Qtr 4,2014,Furniture,Bookcases,
9,December,Qtr 4,2014,Furniture,Bookcases,
10,December,Qtr 4,2014,Furniture,Bookcases,
12,December,Qtr 4,2014,Furniture,Bookcases,11.998799999999989
13,December,Qtr 4,2014,Furniture,Bookcases,
14,December,Qtr 4,2014,Furniture,Bookcases,
15,December,Qtr 4,2014,Furniture,Bookcases,
16,December,Qtr 4,2014,Furniture,Bookcases,
17,December,Qtr 4,2014,Furniture,Bookcases,
19,December,Qtr 4,2014,Furniture,Bookcases,
20,December,Qtr 4,2014,Furniture,Bookcases,
21,December,Qtr 4,2014,Furniture,Bookcases,
22,December,Qtr 4,2014,Furniture,Bookcases,
23,December,Qtr 4,2014,Furniture,Bookcases,
24,December,Qtr 4,2014,Furniture,Bookcases,
26,December,Qtr 4,2014,Furniture,Bookcases,
27,December,Qtr 4,2014,Furniture,Bookcases,
28,December,Qtr 4,2014,Furniture,Bookcases,
29,December,Qtr 4,2014,Furniture,Bookcases,
30,December,Qtr 4,2014,Furniture,Bookcases,
31,December,Qtr 4,2014,Furniture,Bookcases,275.33679999999987
2,January,Qtr 1,2015,Furniture,Bookcases,-244.32300000000006
3,January,Qtr 1,2015,Furniture,Bookcases,-437.5404000000002
4,January,Qtr 1,2015,Furniture,Bookcases,
5,January,Qtr 1,2015,Furniture,Bookcases,
6,January,Qtr 1,2015,Furniture,Bookcases,
9,January,Qtr 1,2015,Furniture,Bookcases,
10,January,Qtr 1,2015,Furniture,Bookcases,
12,January,Qtr 1,2015,Furniture,Bookcases,
13,January,Qtr 1,2015,Furniture,Bookcases,
17,January,Qtr 1,2015,Furniture,Bookcases,
19,January,Qtr 1,2015,Furniture,Bookcases,
23,January,Qtr 1,2015,Furniture,Bookcases,
24,January,Qtr 1,2015,Furniture,Bookcases,
26,January,Qtr 1,2015,Furniture,Bookcases,
27,January,Qtr 1,2015,Furniture,Bookcases,
28,January,Qtr 1,2015,Furniture,Bookcases,
30,January,Qtr 1,2015,Furniture,Bookcases,
31,January,Qtr 1,2015,Furniture,Bookcases,
3,February,Qtr 1,2015,Furniture,Bookcases,
6,February,Qtr 1,2015,Furniture,Bookcases,82.33679999999998
7,February,Qtr 1,2015,Furniture,Bookcases,
8,February,Qtr 1,2015,Furniture,Bookcases,
9,February,Qtr 1,2015,Furniture,Bookcases,
10,February,Qtr 1,2015,Furniture,Bookcases,
14,February,Qtr 1,2015,Furniture,Bookcases,
15,February,Qtr 1,2015,Furniture,Bookcases,
16,February,Qtr 1,2015,Furniture,Bookcases,
18,February,Qtr 1,2015,Furniture,Bookcases,
20,February,Qtr 1,2015,Furniture,Bookcases,
21,February,Qtr 1,2015,Furniture,Bookcases,
22,February,Qtr 1,2015,Furniture,Bookcases,
23,February,Qtr 1,2015,Furniture,Bookcases,
25,February,Qtr 1,2015,Furniture,Bookcases,
27,February,Qtr 1,2015,Furniture,Bookcases,
28,February,Qtr 1,2015,Furniture,Bookcases,
1,March,Qtr 1,2015,Furniture,Bookcases,-36.11760000000015
2,March,Qtr 1,2015,Furniture,Bookcases,
5,March,Qtr 1,2015,Furniture,Bookcases,
6,March,Qtr 1,2015,Furniture,Bookcases,
7,March,Qtr 1,2015,Furniture,Bookcases,
8,March,Qtr 1,2015,Furniture,Bookcases,97.45859999999999
9,March,Qtr 1,2015,Furniture,Bookcases,
10,March,Qtr 1,2015,Furniture,Bookcases,
12,March,Qtr 1,2015,Furniture,Bookcases,
13,March,Qtr 1,2015,Furniture,Bookcases,39.7488
14,March,Qtr 1,2015,Furniture,Bookcases,
15,March,Qtr 1,2015,Furniture,Bookcases,
16,March,Qtr 1,2015,Furniture,Bookcases,
17,March,Qtr 1,2015,Furniture,Bookcases,
19,March,Qtr 1,2015,Furniture,Bookcases,-67.6704
20,March,Qtr 1,2015,Furniture,Bookcases,
21,March,Qtr 1,2015,Furniture,Bookcases,
22,March,Qtr 1,2015,Furniture,Bookcases,
23,March,Qtr 1,2015,Furniture,Bookcases,
24,March,Qtr 1,2015,Furniture,Bookcases,-35.9058
26,March,Qtr 1,2015,Furniture,Bookcases,
27,March,Qtr 1,2015,Furniture,Bookcases,
28,March,Qtr 1,2015,Furniture,Bookcases,
29,March,Qtr 1,2015,Furniture,Bookcases,
30,March,Qtr 1,2015,Furniture,Bookcases,
31,March,Qtr 1,2015,Furniture,Bookcases,
2,April,Qtr 2,2015,Furniture,Bookcases,
4,April,Qtr 2,2015,Furniture,Bookcases,
5,April,Qtr 2,2015,Furniture,Bookcases,-211.47
6,April,Qtr 2,2015,Furniture,Bookcases,
7,April,Qtr 2,2015,Furniture,Bookcases,
9,April,Qtr 2,2015,Furniture,Bookcases,
10,April,Qtr 2,2015,Furniture,Bookcases,
11,April,Qtr 2,2015,Furniture,Bookcases,
12,April,Qtr 2,2015,Furniture,Bookcases,
13,April,Qtr 2,2015,Furniture,Bookcases,
14,April,Qtr 2,2015,Furniture,Bookcases,
16,April,Qtr 2,2015,Furniture,Bookcases,125.5824
17,April,Qtr 2,2015,Furniture,Bookcases,
18,April,Qtr 2,2015,Furniture,Bookcases,
19,April,Qtr 2,2015,Furniture,Bookcases,
20,April,Qtr 2,2015,Furniture,Bookcases,
21,April,Qtr 2,2015,Furniture,Bookcases,
22,April,Qtr 2,2015,Furniture,Bookcases,
24,April,Qtr 2,2015,Furniture,Bookcases,
25,April,Qtr 2,2015,Furniture,Bookcases,
26,April,Qtr 2,2015,Furniture,Bookcases,
27,April,Qtr 2,2015,Furniture,Bookcases,
28,April,Qtr 2,2015,Furniture,Bookcases,
29,April,Qtr 2,2015,Furniture,Bookcases,
30,April,Qtr 2,2015,Furniture,Bookcases,
1,May,Qtr 2,2015,Furniture,Bookcases,
2,May,Qtr 2,2015,Furniture,Bookcases,
3,May,Qtr 2,2015,Furniture,Bookcases,
4,May,Qtr 2,2015,Furniture,Bookcases,
7,May,Qtr 2,2015,Furniture,Bookcases,
8,May,Qtr 2,2015,Furniture,Bookcases,
9,May,Qtr 2,2015,Furniture,Bookcases,
10,May,Qtr 2,2015,Furniture,Bookcases,
11,May,Qtr 2,2015,Furniture,Bookcases,
12,May,Qtr 2,2015,Furniture,Bookcases,
13,May,Qtr 2,2015,Furniture,Bookcases,
14,May,Qtr 2,2015,Furniture,Bookcases,41.99649999999994
15,May,Qtr 2,2015,Furniture,Bookcases,
16,May,Qtr 2,2015,Furniture,Bookcases,
17,May,Qtr 2,2015,Furniture,Bookcases,
18,May,Qtr 2,2015,Furniture,Bookcases,
20,May,Qtr 2,2015,Furniture,Bookcases,
21,May,Qtr 2,2015,Furniture,Bookcases,
22,May,Qtr 2,2015,Furniture,Bookcases,
23,May,Qtr 2,2015,Furniture,Bookcases,
24,May,Qtr 2,2015,Furniture,Bookcases,
25,May,Qtr 2,2015,Furniture,Bookcases,
26,May,Qtr 2,2015,Furniture,Bookcases,
28,May,Qtr 2,2015,Furniture,Bookcases,
29,May,Qtr 2,2015,Furniture,Bookcases,
30,May,Qtr 2,2015,Furniture,Bookcases,
31,May,Qtr 2,2015,Furniture,Bookcases,140.6859999999999
1,June,Qtr 2,2015,Furniture,Bookcases,
4,June,Qtr 2,2015,Furniture,Bookcases,
5,June,Qtr 2,2015,Furniture,Bookcases,
7,June,Qtr 2,2015,Furniture,Bookcases,
8,June,Qtr 2,2015,Furniture,Bookcases,
9,June,Qtr 2,2015,Furniture,Bookcases,
11,June,Qtr 2,2015,Furniture,Bookcases,
12,June,Qtr 2,2015,Furniture,Bookcases,
13,June,Qtr 2,2015,Furniture,Bookcases,
14,June,Qtr 2,2015,Furniture,Bookcases,
15,June,Qtr 2,2015,Furniture,Bookcases,
16,June,Qtr 2,2015,Furniture,Bookcases,
18,June,Qtr 2,2015,Furniture,Bookcases,
19,June,Qtr 2,2015,Furniture,Bookcases,
20,June,Qtr 2,2015,Furniture,Bookcases,
21,June,Qtr 2,2015,Furniture,Bookcases,
22,June,Qtr 2,2015,Furniture,Bookcases,
23,June,Qtr 2,2015,Furniture,Bookcases,
25,June,Qtr 2,2015,Furniture,Bookcases,
26,June,Qtr 2,2015,Furniture,Bookcases,
28,June,Qtr 2,2015,Furniture,Bookcases,-376.6932
29,June,Qtr 2,2015,Furniture,Bookcases,
2,July,Qtr 3,2015,Furniture,Bookcases,
3,July,Qtr 3,2015,Furniture,Bookcases,
4,July,Qtr 3,2015,Furniture,Bookcases,
5,July,Qtr 3,2015,Furniture,Bookcases,
6,July,Qtr 3,2015,Furniture,Bookcases,60.391999999999996
8,July,Qtr 3,2015,Furniture,Bookcases,
9,July,Qtr 3,2015,Furniture,Bookcases,
10,July,Qtr 3,2015,Furniture,Bookcases,
11,July,Qtr 3,2015,Furniture,Bookcases,
12,July,Qtr 3,2015,Furniture,Bookcases,
13,July,Qtr 3,2015,Furniture,Bookcases,
14,July,Qtr 3,2015,Furniture,Bookcases,-191.64599999999996
16,July,Qtr 3,2015,Furniture,Bookcases,
17,July,Qtr 3,2015,Furniture,Bookcases,-7.999600000000015
18,July,Qtr 3,2015,Furniture,Bookcases,
19,July,Qtr 3,2015,Furniture,Bookcases,
20,July,Qtr 3,2015,Furniture,Bookcases,-178.6775999999999
23,July,Qtr 3,2015,Furniture,Bookcases,
24,July,Qtr 3,2015,Furniture,Bookcases,
25,July,Qtr 3,2015,Furniture,Bookcases,56.392000000000024
26,July,Qtr 3,2015,Furniture,Bookcases,
27,July,Qtr 3,2015,Furniture,Bookcases,
30,July,Qtr 3,2015,Furniture,Bookcases,
31,July,Qtr 3,2015,Furniture,Bookcases,
1,August,Qtr 3,2015,Furniture,Bookcases,
2,August,Qtr 3,2015,Furniture,Bookcases,
5,August,Qtr 3,2015,Furniture,Bookcases,
6,August,Qtr 3,2015,Furniture,Bookcases,-114.01739999999995
7,August,Qtr 3,2015,Furniture,Bookcases,
8,August,Qtr 3,2015,Furniture,Bookcases,
9,August,Qtr 3,2015,Furniture,Bookcases,48.11799999999998
10,August,Qtr 3,2015,Furniture,Bookcases,
11,August,Qtr 3,2015,Furniture,Bookcases,
13,August,Qtr 3,2015,Furniture,Bookcases,
15,August,Qtr 3,2015,Furniture,Bookcases,
16,August,Qtr 3,2015,Furniture,Bookcases,-204.99959999999996
17,August,Qtr 3,2015,Furniture,Bookcases,
21,August,Qtr 3,2015,Furniture,Bookcases,34.49399999999997
22,August,Qtr 3,2015,Furniture,Bookcases,
23,August,Qtr 3,2015,Furniture,Bookcases,
24,August,Qtr 3,2015,Furniture,Bookcases,
25,August,Qtr 3,2015,Furniture,Bookcases,
27,August,Qtr 3,2015,Furniture,Bookcases,
28,August,Qtr 3,2015,Furniture,Bookcases,28.956799999999973
29,August,Qtr 3,2015,Furniture,Bookcases,
31,August,Qtr 3,2015,Furniture,Bookcases,200.95460000000008
1,September,Qtr 3,2015,Furniture,Bookcases,
3,September,Qtr 3,2015,Furniture,Bookcases,
4,September,Qtr 3,2015,Furniture,Bookcases,
5,September,Qtr 3,2015,Furniture,Bookcases,-25.535600000000002
6,September,Qtr 3,2015,Furniture,Bookcases,
7,September,Qtr 3,2015,Furniture,Bookcases,
8,September,Qtr 3,2015,Furniture,Bookcases,
10,September,Qtr 3,2015,Furniture,Bookcases,83.25079999999997
11,September,Qtr 3,2015,Furniture,Bookcases,
12,September,Qtr 3,2015,Furniture,Bookcases,
13,September,Qtr 3,2015,Furniture,Bookcases,
14,September,Qtr 3,2015,Furniture,Bookcases,
15,September,Qtr 3,2015,Furniture,Bookcases,1.159600000000001
16,September,Qtr 3,2015,Furniture,Bookcases,
17,September,Qtr 3,2015,Furniture,Bookcases,-1531.5248000000004
18,September,Qtr 3,2015,Furniture,Bookcases,
19,September,Qtr 3,2015,Furniture,Bookcases,4.337199999999996
20,September,Qtr 3,2015,Furniture,Bookcases,
21,September,Qtr 3,2015,Furniture,Bookcases,31.091200000000015
22,September,Qtr 3,2015,Furniture,Bookcases,
24,September,Qtr 3,2015,Furniture,Bookcases,
25,September,Qtr 3,2015,Furniture,Bookcases,
26,September,Qtr 3,2015,Furniture,Bookcases,
27,September,Qtr 3,2015,Furniture,Bookcases,
28,September,Qtr 3,2015,Furniture,Bookcases,
