Sub Category,Region,Value Column Name,Value
"Mineral Water","United States","2020 Actuals - 2020 Gross Sales","-335875965.67000014"
"Mineral Water","United States","(2020 Actuals - 2020 Gross Sales)%","-0.6695470588427832"
"Mineral Water","United States","2020 Actuals - 2020 Plan","2869716.469999999"
"Mineral Water","United States","(2020 Actuals - 2020 Plan)%","0.01761633733261595"
"Mineral Water","United States","2020 Actuals - Actuals","-316360263.3000005"
"Mineral Water","United States","(2020 Actuals - Actuals)%","-0.6561709776239695"
"Mineral Water","United States","2020 Plan - 2020 Gross Sales","-338745682.1400001"
"Mineral Water","United States","(2020 Plan - 2020 Gross Sales)%","-0.6752676534032438"
"Mineral Water","United States","Actuals - 2020 Gross Sales","-19515702.369999647"
"Mineral Water","United States","(Actuals - 2020 Gross Sales)%","-0.03890329305646859"
"Mineral Water","United States","Actuals - 2020 Plan","319229979.77000046"
"Mineral Water","United States","(Actuals - 2020 Plan)%","1.9596580599868445"
"Tea & Coffee","International","2020 Gross Sales","313207735.41"
"Tea & Coffee","International","2020 Plan","37800733.9899998"
"Tea & Coffee","International","Actuals","120068378.84999971"
"Tea & Coffee","International","2020 Actuals","42035270.19"
"Tea & Coffee","International","2020 Actuals - 2020 Gross Sales","-271172465.22"
"Tea & Coffee","International","(2020 Actuals - 2020 Gross Sales)%","-0.8657910854756691"
"Tea & Coffee","International","2020 Actuals - 2020 Plan","4234536.200000197"
"Tea & Coffee","International","(2020 Actuals - 2020 Plan)%","0.1120225919719031"
"Tea & Coffee","International","2020 Actuals - Actuals","-78033108.65999971"
"Tea & Coffee","International","(2020 Actuals - Actuals)%","-0.6499055738687514"
"Tea & Coffee","International","2020 Plan - 2020 Gross Sales","-275407001.4200002"
"Tea & Coffee","International","(2020 Plan - 2020 Gross Sales)%","-0.8793109820850453"
"Tea & Coffee","International","Actuals - 2020 Gross Sales","-193139356.5600003"
"Tea & Coffee","International","(Actuals - 2020 Gross Sales)%","-0.6166493822611822"
"Tea & Coffee","International","Actuals - 2020 Plan","82267644.85999991"
"Tea & Coffee","International","(Actuals - 2020 Plan)%","2.1763504613895552"
"Tea & Coffee","United States","2020 Gross Sales","489709395.52000004"
"Tea & Coffee","United States","2020 Plan","51726361.53000006"
"Tea & Coffee","United States","Actuals","177737947.67000037"
"Tea & Coffee","United States","2020 Actuals","62814382.56000007"
"Tea & Coffee","United States","2020 Actuals - 2020 Gross Sales","-426895012.96"
"Tea & Coffee","United States","(2020 Actuals - 2020 Gross Sales)%","-0.8717313101716165"
"Tea & Coffee","United States","2020 Actuals - 2020 Plan","11088021.030000009"
"Tea & Coffee","United States","(2020 Actuals - 2020 Plan)%","0.21435919136839385"
"Tea & Coffee","United States","2020 Actuals - Actuals","-114923565.11000031"
"Tea & Coffee","United States","(2020 Actuals - Actuals)%","-0.646589918565813"
"Tea & Coffee","United States","2020 Plan - 2020 Gross Sales","-437983033.99"
"Tea & Coffee","United States","(2020 Plan - 2020 Gross Sales)%","-0.89437335284312"
"Tea & Coffee","United States","Actuals - 2020 Gross Sales","-311971447.84999967"
"Tea & Coffee","United States","(Actuals - 2020 Gross Sales)%","-0.6370542421771006"
"Tea & Coffee","United States","Actuals - 2020 Plan","126011586.14000031"
"Tea & Coffee","United States","(Actuals - 2020 Plan)%","2.436119270962381"
"Sparkling Water","International","2020 Gross Sales","58614053.31999999"
"Sparkling Water","International","2020 Plan","15503964.720000003"
"Sparkling Water","International","Actuals","49464680.90999998"
"Sparkling Water","International","2020 Actuals","18072291.440000016"
"Sparkling Water","International","2020 Actuals - 2020 Gross Sales","-40541761.87999998"
"Sparkling Water","International","(2020 Actuals - 2020 Gross Sales)%","-0.6916730644554575"
"Sparkling Water","International","2020 Actuals - 2020 Plan","2568326.7200000137"
"Sparkling Water","International","(2020 Actuals - 2020 Plan)%","0.16565612515145178"
"Sparkling Water","International","2020 Actuals - Actuals","-31392389.469999965"
"Sparkling Water","International","(2020 Actuals - Actuals)%","-0.6346425144663888"
"Sparkling Water","International","2020 Plan - 2020 Gross Sales","-43110088.599999994"
"Sparkling Water","International","(2020 Plan - 2020 Gross Sales)%","-0.735490657242948"
"Sparkling Water","International","Actuals - 2020 Gross Sales","-9149372.410000011"
"Sparkling Water","International","(Actuals - 2020 Gross Sales)%","-0.15609520058354517"
"Sparkling Water","International","Actuals - 2020 Plan","33960716.18999998"
"Sparkling Water","International","(Actuals - 2020 Plan)%","2.190453655134477"
"Sparkling Water","United States","2020 Gross Sales","90703788.03999999"
"Sparkling Water","United States","2020 Plan","28292406.48999996"
"Sparkling Water","United States","Actuals","84333816.59999993"
"Sparkling Water","United States","2020 Actuals","29703179.000000015"
"Sparkling Water","United States","2020 Actuals - 2020 Gross Sales","-61000609.03999998"
"Sparkling Water","United States","(2020 Actuals - 2020 Gross Sales)%","-0.6725254849676063"
"Sparkling Water","United States","2020 Actuals - 2020 Plan","1410772.5100000538"
"Sparkling Water","United States","(2020 Actuals - 2020 Plan)%","0.049863998331096206"
"Sparkling Water","United States","2020 Actuals - Actuals","-54630637.59999992"
"Sparkling Water","United States","(2020 Actuals - Actuals)%","-0.6477904096184348"
"Sparkling Water","United States","2020 Plan - 2020 Gross Sales","-62411381.55000003"
"Sparkling Water","United States","(2020 Plan - 2020 Gross Sales)%","-0.6880791078149555"
"Sparkling Water","United States","Actuals - 2020 Gross Sales","-6369971.440000057"
"Sparkling Water","United States","(Actuals - 2020 Gross Sales)%","-0.07022828459149828"
"Sparkling Water","United States","Actuals - 2020 Plan","56041410.10999997"
"Sparkling Water","United States","(Actuals - 2020 Plan)%","1.9807933315890955"
