Table5.Year,Table5.Country,Table5.City,Table5.Region,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.AC)
2019,Brazil,Salvador,Americas,52000,46000,121000
2017,Other,Seoul,Americas,,,
2018,Other,Seoul,Americas,,,
2019,Other,Seoul,Americas,,,
2017,China,Shangai,Americas,,,
2018,China,Shangai,Americas,,,
2019,China,Shangai,Americas,,,
2017,Sweden,Stockholm,Americas,,,
2018,Sweden,Stockholm,Americas,,,
2019,Sweden,Stockholm,Americas,,,
2017,Australia,Sydney,Americas,,,
2018,Australia,Sydney,Americas,,,
2019,Australia,Sydney,Americas,,,
2017,USA,Texas,Americas,111000,144000,112000
2018,USA,Texas,Americas,141000,73000,45000
2019,USA,Texas,Americas,51000,124000,117000
2017,Japan,Tokyo,Americas,,,
2018,Japan,Tokyo,Americas,,,
2019,Japan,Tokyo,Americas,,,
2017,Canada,Toronto,Americas,59000,98000,78000
2018,Canada,Toronto,Americas,0,42000,96000
2019,Canada,Toronto,Americas,35000,93000,47000
2017,Canada,Vancouver,Americas,42000,113000,110000
2018,Canada,Vancouver,Americas,102000,87000,134000
2019,Canada,Vancouver,Americas,111000,83000,150000
2017,Poland,Warsaw,Americas,,,
2018,Poland,Warsaw,Americas,,,
2019,Poland,Warsaw,Americas,,,
2017,Japan,Yokohoma,Americas,,,
2018,Japan,Yokohoma,Americas,,,
2019,Japan,Yokohoma,Americas,,,
2017,China,Beijing,Europe,,,
2018,China,Beijing,Europe,,,
2019,China,Beijing,Europe,,,
2017,Germany,Berlin,Europe,0,127000,0
2019,Germany,Berlin,Europe,48000,93000,128000
2017,Australia,Brisbane,Europe,,,
2018,Australia,Brisbane,Europe,,,
2019,Australia,Brisbane,Europe,,,
2017,Belgium,Brussels,Europe,0,115000,0
2018,Belgium,Brussels,Europe,78000,94000,64000
2019,Belgium,Brussels,Europe,112000,35000,119000
2017,USA,California,Europe,,,
2018,USA,California,Europe,,,
2019,USA,California,Europe,,,
2017,China,Chengdu,Europe,,,
2018,China,Chengdu,Europe,,,
2019,China,Chengdu,Europe,,,
2017,Other,Chicago,Europe,,,
2018,Other,Chicago,Europe,,,
2019,Other,Chicago,Europe,,,
2017,Other,Finland,Europe,77000,64000,142000
2018,Other,Finland,Europe,0,131000,41000
2019,Other,Finland,Europe,50000,45000,83000
2017,Belgium,Flanders,Europe,118000,77000,88000
2018,Belgium,Flanders,Europe,95000,141000,134000
2019,Belgium,Flanders,Europe,128000,78000,108000
2017,Germany,Frankfurt,Europe,0,133000,107000
2018,Germany,Frankfurt,Europe,100000,126000,91000
2019,Germany,Frankfurt,Europe,142000,139000,91000
2017,Sweden,Gothenburg,Europe,112000,135000,0
2018,Sweden,Gothenburg,Europe,130000,68000,
2019,Sweden,Gothenburg,Europe,101000,43000,141000
2017,Japan,Hiroshima,Europe,,,
2018,Japan,Hiroshima,Europe,,,
2019,Japan,Hiroshima,Europe,,,
2017,Poland,Lublin,Europe,0,82000,0
2018,Poland,Lublin,Europe,79000,118000,81000
2019,Poland,Lublin,Europe,128000,106000,121000
2017,Sweden,Malmo,Europe,80000,140000,61000
2018,Sweden,Malmo,Europe,84000,68000,
2019,Sweden,Malmo,Europe,101000,148000,60000
2017,Brazil,Manaus,Europe,,,
2018,Brazil,Manaus,Europe,,,
2019,Brazil,Manaus,Europe,,,
2017,France,Marseille,Europe,107000,99000,118000
2018,France,Marseille,Europe,0,0,0
2019,France,Marseille,Europe,101000,95000,44000
2017,Australia,Melbourne,Europe,,,
2018,Australia,Melbourne,Europe,,,
2017,Canada,Montreal,Europe,,,
2018,Canada,Montreal,Europe,,,
2019,Canada,Montreal,Europe,,,
2017,USA,New York,Europe,,,
2018,USA,New York,Europe,,,
2019,USA,New York,Europe,,,
2017,France,Paris,Europe,89000,100000,0
2018,France,Paris,Europe,0,0,0
2019,France,Paris,Europe,51000,63000,131000
2017,Brazil,Rio,Europe,,,
2018,Brazil,Rio,Europe,,,
2019,Brazil,Rio,Europe,,,
2017,Brazil,Salvador,Europe,,,
2018,Brazil,Salvador,Europe,,,
2019,Brazil,Salvador,Europe,,,
2017,Other,Seoul,Europe,,,
2018,Other,Seoul,Europe,,,
2019,Other,Seoul,Europe,,,
2017,China,Shangai,Europe,,,
2018,China,Shangai,Europe,,,
2019,China,Shangai,Europe,,,
2017,Sweden,Stockholm,Europe,84000,130000,115000
2018,Sweden,Stockholm,Europe,131000,111000,
2019,Sweden,Stockholm,Europe,117000,55000,139000
2017,Australia,Sydney,Europe,,,
2018,Australia,Sydney,Europe,,,
2019,Australia,Sydney,Europe,,,
2017,USA,Texas,Europe,,,
2018,USA,Texas,Europe,,,
2019,USA,Texas,Europe,,,
2017,Japan,Tokyo,Europe,,,
2018,Japan,Tokyo,Europe,,,
2019,Japan,Tokyo,Europe,,,
2017,Canada,Toronto,Europe,,,
2018,Canada,Toronto,Europe,,,
2019,Canada,Toronto,Europe,,,
2017,Canada,Vancouver,Europe,,,
2018,Canada,Vancouver,Europe,,,
2019,Canada,Vancouver,Europe,,,
2017,Poland,Warsaw,Europe,0,90000,103000
2018,Poland,Warsaw,Europe,103000,55000,99000
2019,Poland,Warsaw,Europe,144000,67000,118000
2017,Japan,Yokohoma,Europe,,,
2018,Japan,Yokohoma,Europe,,,
2019,Japan,Yokohoma,Europe,,,
2017,China,Beijing,Asia-Pacific,104000,35000,48000
2018,China,Beijing,Asia-Pacific,92000,133000,115000
2019,China,Beijing,Asia-Pacific,145000,135000,39000
2017,Germany,Berlin,Asia-Pacific,,,
2019,Germany,Berlin,Asia-Pacific,,,
2017,Australia,Brisbane,Asia-Pacific,266000,204000,231000
2018,Australia,Brisbane,Asia-Pacific,46000,71000,149000
2019,Australia,Brisbane,Asia-Pacific,70000,97000,38000
2017,Belgium,Brussels,Asia-Pacific,,,
2018,Belgium,Brussels,Asia-Pacific,,,
2019,Belgium,Brussels,Asia-Pacific,,,
2017,USA,California,Asia-Pacific,,,
2018,USA,California,Asia-Pacific,,,
2019,USA,California,Asia-Pacific,,,
2017,China,Chengdu,Asia-Pacific,96000,130000,62000
2018,China,Chengdu,Asia-Pacific,117000,41000,48000
2019,China,Chengdu,Asia-Pacific,80000,47000,38000
2017,Other,Chicago,Asia-Pacific,,,
2018,Other,Chicago,Asia-Pacific,,,
2019,Other,Chicago,Asia-Pacific,,,
2017,Other,Finland,Asia-Pacific,,,
2018,Other,Finland,Asia-Pacific,,,
2019,Other,Finland,Asia-Pacific,,,
2017,Belgium,Flanders,Asia-Pacific,,,
2018,Belgium,Flanders,Asia-Pacific,,,
2019,Belgium,Flanders,Asia-Pacific,,,
2017,Germany,Frankfurt,Asia-Pacific,,,
2018,Germany,Frankfurt,Asia-Pacific,,,
2019,Germany,Frankfurt,Asia-Pacific,,,
2017,Sweden,Gothenburg,Asia-Pacific,,,
2018,Sweden,Gothenburg,Asia-Pacific,,,
2019,Sweden,Gothenburg,Asia-Pacific,,,
2017,Japan,Hiroshima,Asia-Pacific,117000,78000,40000
2018,Japan,Hiroshima,Asia-Pacific,62000,87000,92000
2019,Japan,Hiroshima,Asia-Pacific,67000,92000,102000
2017,Poland,Lublin,Asia-Pacific,,,
2018,Poland,Lublin,Asia-Pacific,,,
2019,Poland,Lublin,Asia-Pacific,,,
2017,Sweden,Malmo,Asia-Pacific,,,
2018,Sweden,Malmo,Asia-Pacific,,,
2019,Sweden,Malmo,Asia-Pacific,,,
2017,Brazil,Manaus,Asia-Pacific,,,
2018,Brazil,Manaus,Asia-Pacific,,,
2019,Brazil,Manaus,Asia-Pacific,,,
2017,France,Marseille,Asia-Pacific,,,
2018,France,Marseille,Asia-Pacific,,,
2019,France,Marseille,Asia-Pacific,,,
2017,Australia,Melbourne,Asia-Pacific,9000,12000,11000
2018,Australia,Melbourne,Asia-Pacific,96000,130000,69000
2017,Canada,Montreal,Asia-Pacific,,,
2018,Canada,Montreal,Asia-Pacific,,,
2019,Canada,Montreal,Asia-Pacific,,,
2017,USA,New York,Asia-Pacific,,,
2018,USA,New York,Asia-Pacific,,,
2019,USA,New York,Asia-Pacific,,,
2017,France,Paris,Asia-Pacific,,,
2018,France,Paris,Asia-Pacific,,,
2019,France,Paris,Asia-Pacific,,,
2017,Brazil,Rio,Asia-Pacific,,,
2018,Brazil,Rio,Asia-Pacific,,,
2019,Brazil,Rio,Asia-Pacific,,,
2017,Brazil,Salvador,Asia-Pacific,,,
2018,Brazil,Salvador,Asia-Pacific,,,
2019,Brazil,Salvador,Asia-Pacific,,,
2017,Other,Seoul,Asia-Pacific,134000,111000,50000
2018,Other,Seoul,Asia-Pacific,78000,52000,78000
2019,Other,Seoul,Asia-Pacific,66000,41000,69000
2017,China,Shangai,Asia-Pacific,108000,129000,134000
2018,China,Shangai,Asia-Pacific,109000,63000,124000
2019,China,Shangai,Asia-Pacific,96000,113000,68000
2017,Sweden,Stockholm,Asia-Pacific,,,
2018,Sweden,Stockholm,Asia-Pacific,,,
2019,Sweden,Stockholm,Asia-Pacific,,,
2017,Australia,Sydney,Asia-Pacific,54000,66000,62000
2018,Australia,Sydney,Asia-Pacific,38000,109000,117000
2019,Australia,Sydney,Asia-Pacific,147000,42000,42000
2017,USA,Texas,Asia-Pacific,,,
2018,USA,Texas,Asia-Pacific,,,
2019,USA,Texas,Asia-Pacific,,,
2017,Japan,Tokyo,Asia-Pacific,112000,69000,119000
2018,Japan,Tokyo,Asia-Pacific,59000,116000,89000
2019,Japan,Tokyo,Asia-Pacific,139000,94000,91000
2017,Canada,Toronto,Asia-Pacific,,,
2018,Canada,Toronto,Asia-Pacific,,,
2019,Canada,Toronto,Asia-Pacific,,,
2017,Canada,Vancouver,Asia-Pacific,,,
2018,Canada,Vancouver,Asia-Pacific,,,
2019,Canada,Vancouver,Asia-Pacific,,,
2017,Poland,Warsaw,Asia-Pacific,,,
2018,Poland,Warsaw,Asia-Pacific,,,
2019,Poland,Warsaw,Asia-Pacific,,,
2017,Japan,Yokohoma,Asia-Pacific,35000,85000,47000
2018,Japan,Yokohoma,Asia-Pacific,66000,62000,68000
2019,Japan,Yokohoma,Asia-Pacific,73000,114000,36000
