Region,Country,Value Column Name,Value
"Europe","Sweden","(Sum of FC - Sum of PL)%","-0.2461024498886414"
"Europe","Belgium","Sum of PY","531000"
"Europe","Belgium","Sum of PL","540000"
"Europe","Belgium","Sum of FC","653000"
"Europe","Belgium","Sum of AC","513000"
"Europe","Belgium","Sum of AC - Sum of PY","-18000"
"Europe","Belgium","(Sum of AC - Sum of PY)%","-0.03389830508474576"
"Europe","Belgium","Sum of AC - Sum of PL","-27000"
"Europe","Belgium","(Sum of AC - Sum of PL)%","-0.05"
"Europe","Belgium","Sum of AC - Sum of FC","-140000"
"Europe","Belgium","(Sum of AC - Sum of FC)%","-0.21439509954058192"
"Europe","Belgium","Sum of PL - Sum of PY","9000"
"Europe","Belgium","(Sum of PL - Sum of PY)%","0.01694915254237288"
"Europe","Belgium","Sum of FC - Sum of PY","122000"
"Europe","Belgium","(Sum of FC - Sum of PY)%","0.2297551789077213"
"Europe","Belgium","Sum of FC - Sum of PL","113000"
"Europe","Belgium","(Sum of FC - Sum of PL)%","0.20925925925925923"
"Europe","Germany","Sum of PY","290000"
"Europe","Germany","Sum of PL","618000"
"Europe","Germany","Sum of FC","407000"
"Europe","Germany","Sum of AC","417000"
"Europe","Germany","Sum of AC - Sum of PY","127000"
"Europe","Germany","(Sum of AC - Sum of PY)%","0.43793103448275855"
"Europe","Germany","Sum of AC - Sum of PL","-201000"
"Europe","Germany","(Sum of AC - Sum of PL)%","-0.32524271844660196"
"Europe","Germany","Sum of AC - Sum of FC","10000"
"Europe","Germany","(Sum of AC - Sum of FC)%","0.02457002457002457"
"Europe","Germany","Sum of PL - Sum of PY","328000"
"Europe","Germany","(Sum of PL - Sum of PY)%","1.1310344827586207"
"Europe","Germany","Sum of FC - Sum of PY","117000"
"Europe","Germany","(Sum of FC - Sum of PY)%","0.403448275862069"
"Europe","Germany","Sum of FC - Sum of PL","-211000"
"Europe","Germany","(Sum of FC - Sum of PL)%","-0.3414239482200647"
"Europe","France","Sum of PY","348000"
"Europe","France","Sum of PL","357000"
"Europe","France","Sum of FC","503000"
"Europe","France","Sum of AC","293000"
"Europe","France","Sum of AC - Sum of PY","-55000"
"Europe","France","(Sum of AC - Sum of PY)%","-0.15804597701149425"
"Europe","France","Sum of AC - Sum of PL","-64000"
"Europe","France","(Sum of AC - Sum of PL)%","-0.1792717086834734"
"Europe","France","Sum of AC - Sum of FC","-210000"
"Europe","France","(Sum of AC - Sum of FC)%","-0.41749502982107356"
"Europe","France","Sum of PL - Sum of PY","9000"
"Europe","France","(Sum of PL - Sum of PY)%","0.02586206896551724"
"Europe","France","Sum of FC - Sum of PY","155000"
"Europe","France","(Sum of FC - Sum of PY)%","0.4454022988505747"
"Europe","France","Sum of FC - Sum of PL","146000"
"Europe","France","(Sum of FC - Sum of PL)%","0.40896358543417366"
"Europe","Other","Sum of PY","127000"
"Europe","Other","Sum of PL","240000"
"Europe","Other","Sum of FC","308000"
"Europe","Other","Sum of AC","266000"
"Europe","Other","Sum of AC - Sum of PY","139000"
"Europe","Other","(Sum of AC - Sum of PY)%","1.094488188976378"
"Europe","Other","Sum of AC - Sum of PL","26000"
"Europe","Other","(Sum of AC - Sum of PL)%","0.10833333333333334"
"Europe","Other","Sum of AC - Sum of FC","-42000"
"Europe","Other","(Sum of AC - Sum of FC)%","-0.13636363636363635"
"Europe","Other","Sum of PL - Sum of PY","113000"
"Europe","Other","(Sum of PL - Sum of PY)%","0.8897637795275589"
"Europe","Other","Sum of FC - Sum of PY","181000"
"Europe","Other","(Sum of FC - Sum of PY)%","1.4251968503937007"
"Europe","Other","Sum of FC - Sum of PL","68000"
"Europe","Other","(Sum of FC - Sum of PL)%","0.2833333333333333"
"Asia-Pacific","Australia","Sum of PY","726000"
"Asia-Pacific","Australia","Sum of PL","731000"
"Asia-Pacific","Australia","Sum of FC","911000"
"Asia-Pacific","Australia","Sum of AC","719000"
"Asia-Pacific","Australia","Sum of AC - Sum of PY","-7000"
"Asia-Pacific","Australia","(Sum of AC - Sum of PY)%","-0.009641873278236915"
"Asia-Pacific","Australia","Sum of AC - Sum of PL","-12000"
"Asia-Pacific","Australia","(Sum of AC - Sum of PL)%","-0.016415868673050615"
"Asia-Pacific","Australia","Sum of AC - Sum of FC","-192000"
"Asia-Pacific","Australia","(Sum of AC - Sum of FC)%","-0.2107574094401756"
"Asia-Pacific","Australia","Sum of PL - Sum of PY","5000"
"Asia-Pacific","Australia","(Sum of PL - Sum of PY)%","0.006887052341597797"
"Asia-Pacific","Australia","Sum of FC - Sum of PY","185000"
"Asia-Pacific","Australia","(Sum of FC - Sum of PY)%","0.2548209366391185"
"Asia-Pacific","Australia","Sum of FC - Sum of PL","180000"
"Asia-Pacific","Australia","(Sum of FC - Sum of PL)%","0.24623803009575923"
"Asia-Pacific","Japan","Sum of PY","730000"
"Asia-Pacific","Japan","Sum of PL","797000"
"Asia-Pacific","Japan","Sum of FC","885000"
"Asia-Pacific","Japan","Sum of AC","684000"
"Asia-Pacific","Japan","Sum of AC - Sum of PY","-46000"
"Asia-Pacific","Japan","(Sum of AC - Sum of PY)%","-0.06301369863013699"
"Asia-Pacific","Japan","Sum of AC - Sum of PL","-113000"
"Asia-Pacific","Japan","(Sum of AC - Sum of PL)%","-0.14178168130489335"
"Asia-Pacific","Japan","Sum of AC - Sum of FC","-201000"
"Asia-Pacific","Japan","(Sum of AC - Sum of FC)%","-0.2271186440677966"
"Asia-Pacific","Japan","Sum of PL - Sum of PY","67000"
"Asia-Pacific","Japan","(Sum of PL - Sum of PY)%","0.09178082191780822"
"Asia-Pacific","Japan","Sum of FC - Sum of PY","155000"
"Asia-Pacific","Japan","(Sum of FC - Sum of PY)%","0.2123287671232877"
"Asia-Pacific","Japan","Sum of FC - Sum of PL","88000"
"Asia-Pacific","Japan","(Sum of FC - Sum of PL)%","0.11041405269761606"
"Asia-Pacific","China","Sum of PY","947000"
"Asia-Pacific","China","Sum of PL","826000"
"Asia-Pacific","China","Sum of FC","980000"
"Asia-Pacific","China","Sum of AC","676000"
"Asia-Pacific","China","Sum of AC - Sum of PY","-271000"
"Asia-Pacific","China","(Sum of AC - Sum of PY)%","-0.28616684266103487"
"Asia-Pacific","China","Sum of AC - Sum of PL","-150000"
"Asia-Pacific","China","(Sum of AC - Sum of PL)%","-0.18159806295399517"
"Asia-Pacific","China","Sum of AC - Sum of FC","-304000"
"Asia-Pacific","China","(Sum of AC - Sum of FC)%","-0.31020408163265306"
"Asia-Pacific","China","Sum of PL - Sum of PY","-121000"
"Asia-Pacific","China","(Sum of PL - Sum of PY)%","-0.12777191129883844"
"Asia-Pacific","China","Sum of FC - Sum of PY","33000"
"Asia-Pacific","China","(Sum of FC - Sum of PY)%","0.03484688489968321"
"Asia-Pacific","China","Sum of FC - Sum of PL","154000"
"Asia-Pacific","China","(Sum of FC - Sum of PL)%","0.1864406779661017"
"Asia-Pacific","Other","Sum of PY","278000"
"Asia-Pacific","Other","Sum of PL","204000"
"Asia-Pacific","Other","Sum of FC","260000"
"Asia-Pacific","Other","Sum of AC","197000"
"Asia-Pacific","Other","Sum of AC - Sum of PY","-81000"
"Asia-Pacific","Other","(Sum of AC - Sum of PY)%","-0.29136690647482016"
"Asia-Pacific","Other","Sum of AC - Sum of PL","-7000"
"Asia-Pacific","Other","(Sum of AC - Sum of PL)%","-0.03431372549019608"
"Asia-Pacific","Other","Sum of AC - Sum of FC","-63000"
"Asia-Pacific","Other","(Sum of AC - Sum of FC)%","-0.2423076923076923"
"Asia-Pacific","Other","Sum of PL - Sum of PY","-74000"
"Asia-Pacific","Other","(Sum of PL - Sum of PY)%","-0.26618705035971224"
"Asia-Pacific","Other","Sum of FC - Sum of PY","-18000"
"Asia-Pacific","Other","(Sum of FC - Sum of PY)%","-0.06474820143884892"
"Asia-Pacific","Other","Sum of FC - Sum of PL","56000"
"Asia-Pacific","Other","(Sum of FC - Sum of PL)%","0.27450980392156865"
