Orders.Region,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code),CountNonNull(Orders.Row ID)
West,2014,Office Supplies,Binders,294,2534.581499999999,21.299999999999976,12963.254000000004,79,79
Central,2015,Office Supplies,Binders,288,1370.1047999999987,39.999999999999986,5890.588000000001,75,75
East,2015,Office Supplies,Binders,370,4743.476800000001,31.19999999999998,14206.681,93,93
South,2015,Office Supplies,Binders,245,456.5632999999991,24.499999999999986,13467.317,62,62
West,2015,Office Supplies,Binders,312,1026.5265,25.09999999999997,3888.5119999999993,88,88
Central,2016,Office Supplies,Binders,308,2919.336599999998,39.19999999999999,14056.379999999996,80,80
East,2016,Office Supplies,Binders,467,2802.6458,40.6,18955.548,127,127
South,2016,Office Supplies,Binders,273,618.0254000000002,27.999999999999982,4112.216000000002,69,69
West,2016,Office Supplies,Binders,555,3875.6263,40.299999999999976,12559.181,139,139
Central,2017,Office Supplies,Binders,577,-3957.1425000000045,63.9999999999999,21105.375999999997,132,132
East,2017,Office Supplies,Binders,481,2560.8434,53.20000000000006,13989.141,132,132
South,2017,Office Supplies,Binders,302,405.97360000000197,25.899999999999984,11143.362000000003,71,71
West,2017,Office Supplies,Binders,707,8660.0673,45.999999999999986,26550.165999999994,165,165
Central,2014,Office Supplies,Envelopes,63,570.8482,2.4,1598.6860000000001,17,17
East,2014,Office Supplies,Envelopes,71,524.5098999999999,1.7999999999999998,1347.622,16,16
South,2014,Office Supplies,Envelopes,30,107.49529999999999,0.6000000000000001,251.85399999999998,9,9
West,2014,Office Supplies,Envelopes,42,292.6254,0.8,657.588,12,12
Central,2015,Office Supplies,Envelopes,50,346.95279999999997,1.4,870.8579999999998,12,12
East,2015,Office Supplies,Envelopes,71,363.84529999999995,1.4,876.8399999999999,21,21
South,2015,Office Supplies,Envelopes,70,622.2321,1,1409.0539999999996,19,19
West,2015,Office Supplies,Envelopes,46,627.1603999999999,0.6000000000000001,1355.4360000000001,15,15
Central,2016,Office Supplies,Envelopes,41,371.9226999999999,1.9999999999999998,970.7959999999999,13,13
East,2016,Office Supplies,Envelopes,61,556.6349999999999,1.4,1304.7500000000002,17,17
South,2016,Office Supplies,Envelopes,53,399.8763999999999,0.6000000000000001,895.7420000000001,12,12
West,2016,Office Supplies,Envelopes,67,738.3141999999999,0.2,1558.6020000000005,20,20
Central,2017,Office Supplies,Envelopes,52,487.80459999999994,1.7999999999999998,1196.5320000000002,17,17
East,2017,Office Supplies,Envelopes,64,367.4188,1.4,846.6619999999999,20,20
South,2017,Office Supplies,Envelopes,53,335.8732,1.7999999999999998,788.906,14,14
West,2017,Office Supplies,Envelopes,72,250.6624,1.2,546.4739999999999,20,20
Central,2014,Office Supplies,Fasteners,46,16.063399999999998,1.9999999999999998,121.816,13,13
East,2014,Office Supplies,Fasteners,41,32.38219999999999,0.8,96.912,6,6
South,2014,Office Supplies,Fasteners,46,50.90509999999999,1.4,165.79200000000003,11,11
West,2014,Office Supplies,Fasteners,68,79.20759999999999,1,276.808,20,20
Central,2015,Office Supplies,Fasteners,40,25.098300000000002,1.2,88.61,9,9
East,2015,Office Supplies,Fasteners,67,50.2029,1.5999999999999999,191.654,17,17
South,2015,Office Supplies,Fasteners,26,45.79009999999999,0.6000000000000001,125.408,4,4
West,2015,Office Supplies,Fasteners,43,50.84629999999999,0.4,139.552,14,14
Central,2016,Office Supplies,Fasteners,74,83.2255,2.1999999999999997,247.37399999999997,15,15
East,2016,Office Supplies,Fasteners,123,112.47730000000001,2.1999999999999997,344.1700000000001,23,23
South,2016,Office Supplies,Fasteners,24,34.901399999999995,0,104.87,6,6
West,2016,Office Supplies,Fasteners,67,63.469199999999994,0.2,263.72,15,15
Central,2017,Office Supplies,Fasteners,67,112.23140000000004,1.9999999999999998,320.23,18,18
East,2017,Office Supplies,Fasteners,67,68.92839999999998,1,186.982,15,15
South,2017,Office Supplies,Fasteners,30,42.1215,0.4,107.24600000000001,8,8
West,2017,Office Supplies,Fasteners,85,81.66760000000001,0.8,243.136,23,23
Central,2014,Office Supplies,Labels,57,481.5508,1.9999999999999998,1048.472,16,16
East,2014,Office Supplies,Labels,99,225.02659999999995,1.2,516.142,21,21
South,2014,Office Supplies,Labels,64,169.61469999999994,1.4,401.0419999999999,15,15
West,2014,Office Supplies,Labels,106,409.81209999999993,0.4,875.738,24,24
Central,2015,Office Supplies,Labels,49,126.73549999999999,1.5999999999999999,304.5080000000001,15,15
East,2015,Office Supplies,Labels,75,213.23849999999996,1.5999999999999999,516.2620000000001,20,20
South,2015,Office Supplies,Labels,48,534.1857000000001,1.9999999999999998,1118.0439999999999,16,16
West,2015,Office Supplies,Labels,91,448.8689,0.8,1017.648,26,26
Central,2016,Office Supplies,Labels,89,204.96179999999998,2.6,511.24999999999994,22,22
East,2016,Office Supplies,Labels,112,335.69859999999994,2.1999999999999997,779.156,29,29
South,2016,Office Supplies,Labels,44,132.50410000000002,1.4,288.20000000000005,15,15
West,2016,Office Supplies,Labels,118,519.4473999999999,0.6000000000000001,1248.6340000000002,31,31
Central,2017,Office Supplies,Labels,89,259.83129999999994,2.4,587.2420000000001,23,23
East,2017,Office Supplies,Labels,134,355.3163,2.1999999999999997,791.3739999999999,37,37
South,2017,Office Supplies,Labels,60,204.46779999999998,2.1999999999999997,545.894,19,19
West,2017,Office Supplies,Labels,165,924.9939,0.4,1936.706,35,35
Central,2014,Office Supplies,Paper,232,896.2071,9,2346.775999999999,64,64
East,2014,Office Supplies,Paper,255,1748.8552,4.400000000000001,3917.1480000000015,64,64
South,2014,Office Supplies,Paper,211,1338.8293999999999,5.200000000000002,3184.5760000000005,58,58
West,2014,Office Supplies,Paper,319,2387.1297000000004,3.800000000000001,5386.456000000001,87,87
Central,2015,Office Supplies,Paper,224,1398.7427,6.400000000000003,3544.238,56,56
East,2015,Office Supplies,Paper,339,1809.0611999999999,4.200000000000001,3967.6780000000003,86,86
South,2015,Office Supplies,Paper,146,948.6682000000003,3.2000000000000006,2303.2519999999995,36,36
West,2015,Office Supplies,Paper,378,2413.6979,3.600000000000001,5472.470000000001,94,94
Central,2016,Office Supplies,Paper,354,2205.3706999999995,11.79999999999999,5365.607999999998,92,92
East,2016,Office Supplies,Paper,322,2135.0231999999996,6.200000000000003,4926.120000000001,91,91
South,2016,Office Supplies,Paper,234,1724.0622000000003,5.600000000000002,3923.1639999999993,59,59
West,2016,Office Supplies,Paper,462,3007.0784000000003,2.8000000000000003,6447.001999999998,124,124
Central,2017,Office Supplies,Paper,415,2471.5800000000004,14.199999999999982,6235.279999999999,109,109
East,2017,Office Supplies,Paper,484,3322.4314,9.599999999999998,7361.655999999999,137,137
South,2017,Office Supplies,Paper,260,1935.5015999999991,8.600000000000001,4739.9919999999975,68,68
West,2017,Office Supplies,Paper,543,4311.3304000000035,4.000000000000001,9357.789999999995,145,145
Central,2014,Office Supplies,Storage,186,344.4393999999999,6.200000000000003,11093.385999999997,54,54
East,2014,Office Supplies,Storage,143,1312.006400000001,3.0000000000000004,16207.261999999997,34,34
South,2014,Office Supplies,Storage,103,462.2265999999996,2.1999999999999997,6715.006,29,29
West,2014,Office Supplies,Storage,241,2047.6063999999992,1.5999999999999999,16313.388000000003,60,60
Central,2015,Office Supplies,Storage,131,437.41569999999933,5.200000000000002,8331.473999999998,36,36
East,2015,Office Supplies,Storage,219,1732.557799999999,3.600000000000001,13309.205999999996,57,57
South,2015,Office Supplies,Storage,93,-268.0479,3.0000000000000004,7487.2260000000015,27,27
West,2015,Office Supplies,Storage,212,1603.5344999999995,1.7999999999999998,15920.341999999997,51,51
Central,2016,Office Supplies,Storage,178,778.9764999999998,5.600000000000002,12811.512,47,47
East,2016,Office Supplies,Storage,293,2804.288900000002,4.800000000000002,22096.05799999999,77,77
South,2016,Office Supplies,Storage,141,1088.0691999999997,2.6,10840.395999999997,32,32
West,2016,Office Supplies,Storage,196,1532.9522,1.7999999999999998,13040.734000000002,54,54
Central,2017,Office Supplies,Storage,229,409.0048999999998,9,13693.739999999998,73,73
East,2017,Office Supplies,Storage,252,2540.518099999998,5.8000000000000025,20000.05799999999,74,74
South,2017,Office Supplies,Storage,151,992.0485999999995,4.000000000000001,10725.432000000003,40,40
West,2017,Office Supplies,Storage,390,3461.2290999999987,3.0000000000000004,25258.388000000003,101,101
Central,2014,Office Supplies,Supplies,19,10.464900000000004,0.8,440.458,5,5
East,2014,Office Supplies,Supplies,27,-23.298000000000002,0.6000000000000001,467.87200000000007,9,9
South,2014,Office Supplies,Supplies,20,98.60350000000005,0.6000000000000001,4247.307999999999,7,7
West,2014,Office Supplies,Supplies,64,404.28519999999963,0.8,9238.432000000003,19,19
Central,2015,Office Supplies,Supplies,37,21.678799999999995,1.4,324.446,9,9
East,2015,Office Supplies,Supplies,26,-122.7337,1,1188.306,8,8
South,2015,Office Supplies,Supplies,11,14.662799999999981,0.4,130.336,2,2
West,2015,Office Supplies,Supplies,35,61.513699999999986,0.4,309.394,12,12
Central,2016,Office Supplies,Supplies,23,-811.7518000000002,1.2,4294.908,8,8
East,2016,Office Supplies,Supplies,77,-27.20429999999999,1.2,2086.2580000000003,21,21
South,2016,Office Supplies,Supplies,41,-184.8886,1.4,1456.3000000000002,11,11
West,2016,Office Supplies,Supplies,75,324.8807999999997,0.6000000000000001,6440.1100000000015,20,20
Central,2017,Office Supplies,Supplies,43,117.72000000000007,1.7999999999999998,4407.559999999999,14,14
East,2017,Office Supplies,Supplies,65,-981.8992,1,7017.680000000001,18,18
South,2017,Office Supplies,Supplies,20,73.49960000000002,0.6000000000000001,2484.984,9,9
West,2017,Office Supplies,Supplies,64,-164.63320000000002,0.8,2139.186,18,18
Central,2014,Technology,Accessories,139,891.2615000000002,4.800000000000002,4438.970000000001,34,34
East,2014,Technology,Accessories,103,1888.0357999999999,3.0000000000000004,6053.768,31,31
South,2014,Technology,Accessories,110,1685.7286000000001,1.7999999999999998,5595.290000000001,28,28
West,2014,Technology,Accessories,228,1937.6891000000007,1.9999999999999998,8926.244,55,55
Central,2015,Technology,Accessories,148,1531.0477,5.600000000000002,7795.228000000002,38,38
East,2015,Technology,Accessories,170,4688.4591,4.400000000000001,17911.435999999998,53,53
South,2015,Technology,Accessories,128,828.0340999999997,2.4,4141.534000000001,24,24
West,2015,Technology,Accessories,189,3149.7343,2.1999999999999997,10675.761999999997,51,51
Central,2016,Technology,Accessories,205,1888.0898999999997,6.800000000000003,10802.213999999994,50,50
East,2016,Technology,Accessories,148,1260.0029,3.600000000000001,6231.378,46,46
South,2016,Technology,Accessories,124,2543.8409,2.8000000000000003,9379.843999999997,34,34
West,2016,Technology,Accessories,205,3972.354799999999,1.5999999999999999,15482.417999999992,56,56
Central,2017,Technology,Accessories,224,2941.231499999999,5.600000000000002,10919.664000000004,61,61
East,2017,Technology,Accessories,303,3359.366599999999,6.600000000000003,14836.790000000003,76,76
South,2017,Technology,Accessories,142,1946.9387999999992,4.000000000000001,8160.085999999998,42,42
West,2017,Technology,Accessories,410,7424.820099999998,3.600000000000001,26029.692000000006,96,96
Central,2014,Technology,Copiers,9,1034.978,0.4,3269.926,3,3
East,2014,Technology,Copiers,12,650.9887,1.4,4099.9259999999995,4,4
South,2014,Technology,Copiers,2,89.99699999999999,0.2,479.98400000000004,1,1
West,2014,Technology,Copiers,6,1136.9796000000001,0.2,2999.946,2,2
Central,2015,Technology,Copiers,26,5159.9078,0.8,12809.766000000001,9,9
East,2015,Technology,Copiers,13,1654.9667,0.8,4959.896000000001,4,4
South,2015,Technology,Copiers,3,314.9895,0,899.97,1,1
West,2015,Technology,Copiers,21,2800.4348,1,7509.818000000001,6,6
Central,2016,Technology,Copiers,5,8399.975999999999,0,17499.949999999997,1,1
East,2016,Technology,Copiers,29,5143.924799999999,1.7999999999999998,19759.77,7,7
South,2016,Technology,Copiers,12,871.9584,0.2,2559.888,2,2
West,2016,Technology,Copiers,23,3326.9334,0.8,9779.802000000001,6,6
Central,2017,Technology,Copiers,9,1013.9795000000001,0.6000000000000001,3679.928,3,3
East,2017,Technology,Copiers,17,9572.961599999999,1,24399.87,5,5
South,2017,Technology,Copiers,9,2381.9618,0.2,5359.914000000001,3,3
West,2017,Technology,Copiers,38,12062.8873,1.5999999999999999,29459.676000000003,11,11
Central,2014,Technology,Machines,30,-2384.6983000000023,2.6999999999999997,16292.161999999998,7,7
East,2014,Technology,Machines,23,4865.814899999999,2.0999999999999996,14636.385000000002,8,8
South,2014,Technology,Machines,18,-3254.2075000000023,2,27594.725000000002,5,5
West,2014,Technology,Machines,25,1142.2597999999998,1.7,3500.1010000000006,6,6
Central,2015,Technology,Machines,11,169.5970999999999,1.5,1851.868,5,5
East,2015,Technology,Machines,47,454.6903999999996,2.8,14426.642000000002,10,10
South,2015,Technology,Machines,10,1414.8208999999997,0.5,3112.985,2,2
West,2015,Technology,Machines,26,938.3771999999989,1.9,8372.202000000001,7,7
Central,2016,Technology,Machines,9,57.31859999999989,1,2658.7889999999998,3,3
East,2016,Technology,Machines,51,-1342.346500000002,3.5,25215.938000000002,10,10
South,2016,Technology,Machines,21,4308.107,1.5,13238.600000000002,6,6
West,2016,Technology,Machines,48,-115.76110000000034,4.1,14793.559,13,13
Central,2017,Technology,Machines,16,671.7159999999993,1.7000000000000002,5994.5650000000005,6,6
East,2017,Technology,Machines,44,2950.4840999999997,2.0999999999999996,11827.2,9,9
South,2017,Technology,Machines,13,-3907.6133999999984,2,9944.65,5,5
West,2017,Technology,Machines,48,-2583.8023000000017,4.1,15778.260000000002,13,13
Central,2014,Technology,Phones,98,1480.9286999999993,4.400000000000001,9925.751999999999,29,29
East,2014,Technology,Phones,162,3429.1019000000015,7.200000000000002,20688.649999999998,43,43
South,2014,Technology,Phones,133,4085.707599999999,1.5999999999999999,17248.963999999996,34,34
West,2014,Technology,Phones,291,2812.267099999998,12.999999999999986,29527.43999999999,65,65
Central,2015,Technology,Phones,178,3307.244099999998,5.8000000000000025,19363.922,51,51
East,2015,Technology,Phones,225,3299.667599999998,9.200000000000003,22561.40599999999,69,69
South,2015,Technology,Phones,101,1942.0411000000001,2.6,7848.381999999999,27,27
West,2015,Technology,Phones,193,1849.8545999999992,10.399999999999995,18539.992000000002,52,52
Central,2016,Technology,Phones,246,3415.1335999999988,5.8000000000000025,19902.451999999987,62,62
East,2016,Technology,Phones,230,2167.8120999999983,11.200000000000005,21290.356000000007,64,64
South,2016,Technology,Phones,113,1507.925,4.600000000000001,11843.822000000004,32,32
West,2016,Technology,Phones,229,2368.7222000000006,13.399999999999984,25925.40000000001,67,67
Central,2017,Technology,Phones,191,4119.7203,8.400000000000002,23211.15599999999,58,58
East,2017,Technology,Phones,365,3418.1044000000043,16.000000000000007,36074.56999999998,96,96
South,2017,Technology,Phones,179,3231.601600000001,5.200000000000002,21363.270000000008,47,47
West,2017,Technology,Phones,355,2079.8986999999993,18.599999999999966,24691.519999999997,93,93
