Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Min(Orders.Order Date),Sum(Orders.Profit)
Qtr 1,2017,Furniture,Chairs,2016-12-31T18:30:00.000Z,1078.7215999999996
Qtr 2,2017,Furniture,Chairs,2017-03-31T18:30:00.000Z,1270.9527999999987
Qtr 3,2017,Furniture,Chairs,2017-07-05T18:30:00.000Z,2422.000199999999
Qtr 4,2017,Furniture,Chairs,2017-09-30T18:30:00.000Z,2871.874699999999
Qtr 1,2014,Furniture,Furnishings,2014-01-06T18:30:00.000Z,183.5819
Qtr 2,2014,Furniture,Furnishings,2014-04-01T18:30:00.000Z,351.87749999999994
Qtr 3,2014,Furniture,Furnishings,2014-07-04T18:30:00.000Z,1105.4804
Qtr 4,2014,Furniture,Furnishings,2014-10-02T18:30:00.000Z,331.95209999999946
Qtr 1,2015,Furniture,Furnishings,2015-01-03T18:30:00.000Z,324.25899999999996
Qtr 2,2015,Furniture,Furnishings,2015-04-03T18:30:00.000Z,1057.3146999999997
Qtr 3,2015,Furniture,Furnishings,2015-07-01T18:30:00.000Z,860.5155
Qtr 4,2015,Furniture,Furnishings,2015-10-01T18:30:00.000Z,809.7296999999996
Qtr 1,2016,Furniture,Furnishings,2016-01-06T18:30:00.000Z,682.5569999999998
Qtr 2,2016,Furniture,Furnishings,2016-03-31T18:30:00.000Z,359.7669000000002
Qtr 3,2016,Furniture,Furnishings,2016-07-03T18:30:00.000Z,737.0448999999999
Qtr 4,2016,Furniture,Furnishings,2016-09-30T18:30:00.000Z,2155.9011999999984
Qtr 1,2017,Furniture,Furnishings,2016-12-31T18:30:00.000Z,349.9274
Qtr 2,2017,Furniture,Furnishings,2017-03-31T18:30:00.000Z,937.2551999999994
Qtr 3,2017,Furniture,Furnishings,2017-07-02T18:30:00.000Z,1233.814999999999
Qtr 4,2017,Furniture,Furnishings,2017-10-01T18:30:00.000Z,1578.1652000000001
Qtr 1,2014,Furniture,Tables,2014-01-26T18:30:00.000Z,-1321.1641000000002
Qtr 2,2014,Furniture,Tables,2014-04-05T18:30:00.000Z,-408.78190000000075
Qtr 3,2014,Furniture,Tables,2014-07-07T18:30:00.000Z,-391.77420000000075
Qtr 4,2014,Furniture,Tables,2014-10-02T18:30:00.000Z,-1002.3225000000003
Qtr 1,2015,Furniture,Tables,2015-01-09T18:30:00.000Z,-1456.9471000000003
Qtr 2,2015,Furniture,Tables,2015-04-08T18:30:00.000Z,-918.9040000000002
Qtr 3,2015,Furniture,Tables,2015-07-10T18:30:00.000Z,-748.4285000000003
Qtr 4,2015,Furniture,Tables,2015-10-10T18:30:00.000Z,-385.5223000000002
Qtr 1,2016,Furniture,Tables,2016-01-02T18:30:00.000Z,-816.2507
Qtr 2,2016,Furniture,Tables,2016-04-11T18:30:00.000Z,-294.52550000000053
Qtr 3,2016,Furniture,Tables,2016-07-24T18:30:00.000Z,-288.59430000000026
Qtr 4,2016,Furniture,Tables,2016-09-30T18:30:00.000Z,-1551.5713
Qtr 1,2017,Furniture,Tables,2017-01-01T18:30:00.000Z,-859.4105000000002
Qtr 2,2017,Furniture,Tables,2017-04-01T18:30:00.000Z,-1283.0212
Qtr 3,2017,Furniture,Tables,2017-07-02T18:30:00.000Z,-1467.8860999999997
Qtr 4,2017,Furniture,Tables,2017-10-01T18:30:00.000Z,-4530.376899999999
Qtr 1,2014,Office Supplies,Appliances,2014-01-17T18:30:00.000Z,-252.46000000000004
Qtr 2,2014,Office Supplies,Appliances,2014-04-01T18:30:00.000Z,959.8454999999998
Qtr 3,2014,Office Supplies,Appliances,2014-07-03T18:30:00.000Z,320.6246
Qtr 4,2014,Office Supplies,Appliances,2014-10-04T18:30:00.000Z,1431.4897999999996
Qtr 1,2015,Office Supplies,Appliances,2015-01-04T18:30:00.000Z,-39.107500000000016
Qtr 2,2015,Office Supplies,Appliances,2015-04-01T18:30:00.000Z,-523.312600000001
Qtr 3,2015,Office Supplies,Appliances,2015-07-01T18:30:00.000Z,694.2234999999998
Qtr 4,2015,Office Supplies,Appliances,2015-10-04T18:30:00.000Z,2380.0922999999993
Qtr 1,2016,Office Supplies,Appliances,2016-01-21T18:30:00.000Z,497.55929999999995
Qtr 2,2016,Office Supplies,Appliances,2016-03-31T18:30:00.000Z,521.5242999999999
Qtr 3,2016,Office Supplies,Appliances,2016-07-02T18:30:00.000Z,1218.740099999999
Qtr 4,2016,Office Supplies,Appliances,2016-10-01T18:30:00.000Z,3063.5178
Qtr 1,2017,Office Supplies,Appliances,2016-12-31T18:30:00.000Z,1708.7566999999995
Qtr 2,2017,Office Supplies,Appliances,2017-03-31T18:30:00.000Z,1445.0907999999997
Qtr 3,2017,Office Supplies,Appliances,2017-07-08T18:30:00.000Z,2244.7142000000013
Qtr 4,2017,Office Supplies,Appliances,2017-09-30T18:30:00.000Z,2466.706599999999
Qtr 1,2014,Office Supplies,Art,2014-01-04T18:30:00.000Z,173.1049
Qtr 2,2014,Office Supplies,Art,2014-04-03T18:30:00.000Z,406.8376999999998
Qtr 3,2014,Office Supplies,Art,2014-07-01T18:30:00.000Z,312.47729999999996
Qtr 4,2014,Office Supplies,Art,2014-10-02T18:30:00.000Z,514.3832000000001
Qtr 1,2015,Office Supplies,Art,2015-01-01T18:30:00.000Z,169.44740000000002
Qtr 2,2015,Office Supplies,Art,2015-04-03T18:30:00.000Z,323.3574
Qtr 3,2015,Office Supplies,Art,2015-07-03T18:30:00.000Z,407.5025
Qtr 4,2015,Office Supplies,Art,2015-10-04T18:30:00.000Z,584.7508999999999
Qtr 1,2016,Office Supplies,Art,2016-01-03T18:30:00.000Z,169.82289999999992
Qtr 2,2016,Office Supplies,Art,2016-03-31T18:30:00.000Z,365.35349999999994
Qtr 3,2016,Office Supplies,Art,2016-07-01T18:30:00.000Z,407.21139999999997
Qtr 4,2016,Office Supplies,Art,2016-09-30T18:30:00.000Z,471.57479999999987
Qtr 1,2017,Office Supplies,Art,2016-12-31T18:30:00.000Z,292.9129000000001
Qtr 2,2017,Office Supplies,Art,2017-04-01T18:30:00.000Z,579.4465999999999
Qtr 3,2017,Office Supplies,Art,2017-07-02T18:30:00.000Z,716.417
Qtr 4,2017,Office Supplies,Art,2017-09-30T18:30:00.000Z,633.1865999999995
Qtr 1,2014,Office Supplies,Binders,2014-01-03T18:30:00.000Z,633.5917999999997
Qtr 2,2014,Office Supplies,Binders,2014-03-31T18:30:00.000Z,2161.8373
Qtr 3,2014,Office Supplies,Binders,2014-06-30T18:30:00.000Z,2319.101199999996
Qtr 4,2014,Office Supplies,Binders,2014-10-02T18:30:00.000Z,-374.8143000000022
Qtr 1,2015,Office Supplies,Binders,2015-01-03T18:30:00.000Z,5235.425100000002
Qtr 2,2015,Office Supplies,Binders,2015-04-01T18:30:00.000Z,3373.4824999999987
Qtr 3,2015,Office Supplies,Binders,2015-07-01T18:30:00.000Z,272.71450000000016
Qtr 4,2015,Office Supplies,Binders,2015-09-30T18:30:00.000Z,-1284.9507000000003
Qtr 1,2016,Office Supplies,Binders,2016-01-02T18:30:00.000Z,1133.8051
Qtr 2,2016,Office Supplies,Binders,2016-03-31T18:30:00.000Z,-1643.0190000000002
Qtr 3,2016,Office Supplies,Binders,2016-06-30T18:30:00.000Z,235.95200000000023
Qtr 4,2016,Office Supplies,Binders,2016-09-30T18:30:00.000Z,10488.896000000004
Qtr 1,2017,Office Supplies,Binders,2016-12-31T18:30:00.000Z,1668.9482999999989
Qtr 2,2017,Office Supplies,Binders,2017-03-31T18:30:00.000Z,2719.977999999999
Qtr 3,2017,Office Supplies,Binders,2017-06-30T18:30:00.000Z,5479.525
Qtr 4,2017,Office Supplies,Binders,2017-09-30T18:30:00.000Z,-2198.7094999999977
Qtr 1,2014,Office Supplies,Envelopes,2014-01-12T18:30:00.000Z,199.99309999999997
Qtr 2,2014,Office Supplies,Envelopes,2014-04-02T18:30:00.000Z,316.0028
Qtr 3,2014,Office Supplies,Envelopes,2014-07-20T18:30:00.000Z,295.3433
Qtr 4,2014,Office Supplies,Envelopes,2014-10-01T18:30:00.000Z,684.1396
Qtr 1,2015,Office Supplies,Envelopes,2015-01-04T18:30:00.000Z,284.64329999999995
Qtr 2,2015,Office Supplies,Envelopes,2015-04-19T18:30:00.000Z,354.28349999999995
Qtr 3,2015,Office Supplies,Envelopes,2015-07-15T18:30:00.000Z,513.5864
Qtr 4,2015,Office Supplies,Envelopes,2015-10-01T18:30:00.000Z,807.6773999999998
Qtr 1,2016,Office Supplies,Envelopes,2016-01-14T18:30:00.000Z,450.9712999999999
Qtr 2,2016,Office Supplies,Envelopes,2016-04-07T18:30:00.000Z,193.43089999999998
Qtr 3,2016,Office Supplies,Envelopes,2016-07-03T18:30:00.000Z,683.1735999999997
Qtr 4,2016,Office Supplies,Envelopes,2016-10-02T18:30:00.000Z,739.1725000000001
Qtr 1,2017,Office Supplies,Envelopes,2017-01-11T18:30:00.000Z,352.40509999999995
Qtr 2,2017,Office Supplies,Envelopes,2017-03-31T18:30:00.000Z,247.08599999999998
Qtr 3,2017,Office Supplies,Envelopes,2017-07-16T18:30:00.000Z,245.54799999999997
Qtr 4,2017,Office Supplies,Envelopes,2017-10-18T18:30:00.000Z,596.7198999999999
Qtr 1,2014,Office Supplies,Fasteners,2014-01-05T18:30:00.000Z,10.201099999999997
Qtr 2,2014,Office Supplies,Fasteners,2014-04-07T18:30:00.000Z,28.43779999999999
Qtr 3,2014,Office Supplies,Fasteners,2014-07-11T18:30:00.000Z,74.86630000000001
Qtr 4,2014,Office Supplies,Fasteners,2014-09-30T18:30:00.000Z,65.0531
Qtr 1,2015,Office Supplies,Fasteners,2015-02-07T18:30:00.000Z,28.217299999999998
Qtr 2,2015,Office Supplies,Fasteners,2015-04-03T18:30:00.000Z,17.6771
Qtr 3,2015,Office Supplies,Fasteners,2015-07-08T18:30:00.000Z,45.33979999999999
Qtr 4,2015,Office Supplies,Fasteners,2015-10-30T18:30:00.000Z,80.70339999999999
Qtr 1,2016,Office Supplies,Fasteners,2016-01-21T18:30:00.000Z,28.5745
Qtr 2,2016,Office Supplies,Fasteners,2016-03-31T18:30:00.000Z,54.276399999999995
Qtr 3,2016,Office Supplies,Fasteners,2016-07-02T18:30:00.000Z,80.20309999999999
Qtr 4,2016,Office Supplies,Fasteners,2016-10-06T18:30:00.000Z,131.01940000000002
Qtr 1,2017,Office Supplies,Fasteners,2017-01-06T18:30:00.000Z,35.39469999999999
Qtr 2,2017,Office Supplies,Fasteners,2017-04-09T18:30:00.000Z,19.0085
Qtr 3,2017,Office Supplies,Fasteners,2017-07-06T18:30:00.000Z,96.9488
Qtr 4,2017,Office Supplies,Fasteners,2017-10-01T18:30:00.000Z,153.59689999999998
Qtr 1,2014,Office Supplies,Labels,2014-01-03T18:30:00.000Z,104.33719999999998
Qtr 2,2014,Office Supplies,Labels,2014-03-31T18:30:00.000Z,344.25750000000005
Qtr 3,2014,Office Supplies,Labels,2014-07-04T18:30:00.000Z,276.63399999999996
Qtr 4,2014,Office Supplies,Labels,2014-10-02T18:30:00.000Z,560.7755
Qtr 1,2015,Office Supplies,Labels,2015-01-01T18:30:00.000Z,368.11859999999996
Qtr 2,2015,Office Supplies,Labels,2015-04-04T18:30:00.000Z,171.65800000000004
Qtr 3,2015,Office Supplies,Labels,2015-07-02T18:30:00.000Z,312.8239
Qtr 4,2015,Office Supplies,Labels,2015-10-09T18:30:00.000Z,470.42810000000003
Qtr 1,2016,Office Supplies,Labels,2016-01-21T18:30:00.000Z,62.34609999999999
Qtr 2,2016,Office Supplies,Labels,2016-03-31T18:30:00.000Z,263.2686
Qtr 3,2016,Office Supplies,Labels,2016-06-30T18:30:00.000Z,356.81199999999995
Qtr 4,2016,Office Supplies,Labels,2016-10-02T18:30:00.000Z,510.18519999999995
Qtr 1,2017,Office Supplies,Labels,2017-01-18T18:30:00.000Z,126.70689999999999
Qtr 2,2017,Office Supplies,Labels,2017-03-31T18:30:00.000Z,325.52959999999996
Qtr 3,2017,Office Supplies,Labels,2017-07-07T18:30:00.000Z,889.8238000000001
Qtr 4,2017,Office Supplies,Labels,2017-10-12T18:30:00.000Z,402.549
Qtr 1,2014,Office Supplies,Paper,2014-01-02T18:30:00.000Z,663.2356000000001
Qtr 2,2014,Office Supplies,Paper,2014-04-01T18:30:00.000Z,911.9930000000002
Qtr 3,2014,Office Supplies,Paper,2014-07-03T18:30:00.000Z,1812.6979999999999
Qtr 4,2014,Office Supplies,Paper,2014-10-01T18:30:00.000Z,2983.094800000001
Qtr 1,2015,Office Supplies,Paper,2015-01-01T18:30:00.000Z,1000.3266
Qtr 2,2015,Office Supplies,Paper,2015-04-05T18:30:00.000Z,956.2088000000006
Qtr 3,2015,Office Supplies,Paper,2015-07-01T18:30:00.000Z,1793.7208000000003
Qtr 4,2015,Office Supplies,Paper,2015-10-01T18:30:00.000Z,2819.9138000000003
Qtr 1,2016,Office Supplies,Paper,2016-01-06T18:30:00.000Z,1219.1531999999997
Qtr 2,2016,Office Supplies,Paper,2016-04-02T18:30:00.000Z,2913.0705000000003
Qtr 3,2016,Office Supplies,Paper,2016-06-30T18:30:00.000Z,2219.1205
Qtr 4,2016,Office Supplies,Paper,2016-09-30T18:30:00.000Z,2720.1902999999998
Qtr 1,2017,Office Supplies,Paper,2017-01-02T18:30:00.000Z,2081.6452000000004
Qtr 2,2017,Office Supplies,Paper,2017-03-31T18:30:00.000Z,2441.7446
Qtr 3,2017,Office Supplies,Paper,2017-06-30T18:30:00.000Z,3483.0729000000038
Qtr 4,2017,Office Supplies,Paper,2017-09-30T18:30:00.000Z,4034.3806999999983
Qtr 1,2014,Office Supplies,Storage,2014-01-03T18:30:00.000Z,693.2789999999995
Qtr 2,2014,Office Supplies,Storage,2014-03-31T18:30:00.000Z,543.1238
Qtr 3,2014,Office Supplies,Storage,2014-07-04T18:30:00.000Z,1180.8009999999997
Qtr 4,2014,Office Supplies,Storage,2014-10-02T18:30:00.000Z,1749.0750000000005
Qtr 1,2015,Office Supplies,Storage,2015-01-01T18:30:00.000Z,746.0945000000002
Qtr 2,2015,Office Supplies,Storage,2015-04-04T18:30:00.000Z,689.7557999999998
Qtr 3,2015,Office Supplies,Storage,2015-07-01T18:30:00.000Z,1434.177799999999
Qtr 4,2015,Office Supplies,Storage,2015-09-30T18:30:00.000Z,635.4319999999998
Qtr 1,2016,Office Supplies,Storage,2016-01-02T18:30:00.000Z,1008.8664999999996
Qtr 2,2016,Office Supplies,Storage,2016-03-31T18:30:00.000Z,1154.0078000000003
Qtr 3,2016,Office Supplies,Storage,2016-07-03T18:30:00.000Z,1204.9054999999996
Qtr 4,2016,Office Supplies,Storage,2016-10-01T18:30:00.000Z,2836.5069999999996
Qtr 1,2017,Office Supplies,Storage,2016-12-31T18:30:00.000Z,812.5550999999996
Qtr 2,2017,Office Supplies,Storage,2017-03-31T18:30:00.000Z,2018.1876999999993
Qtr 3,2017,Office Supplies,Storage,2017-06-30T18:30:00.000Z,1293.8884000000005
Qtr 4,2017,Office Supplies,Storage,2017-10-01T18:30:00.000Z,3278.1694999999977
Qtr 1,2014,Office Supplies,Supplies,2014-02-13T18:30:00.000Z,10.172200000000004
Qtr 2,2014,Office Supplies,Supplies,2014-04-04T18:30:00.000Z,106.51020000000005
Qtr 3,2014,Office Supplies,Supplies,2014-07-22T18:30:00.000Z,392.5779999999997
Qtr 4,2014,Office Supplies,Supplies,2014-10-01T18:30:00.000Z,-19.204799999999985
Qtr 1,2015,Office Supplies,Supplies,2015-01-16T18:30:00.000Z,18.68159999999999
Qtr 2,2015,Office Supplies,Supplies,2015-04-12T18:30:00.000Z,41.24939999999999
Qtr 3,2015,Office Supplies,Supplies,2015-07-30T18:30:00.000Z,-113.66950000000001
Qtr 4,2015,Office Supplies,Supplies,2015-10-01T18:30:00.000Z,28.860099999999996
Qtr 1,2016,Office Supplies,Supplies,2016-02-18T18:30:00.000Z,-575.2212000000005
Qtr 2,2016,Office Supplies,Supplies,2016-03-31T18:30:00.000Z,-57.40329999999997
Qtr 3,2016,Office Supplies,Supplies,2016-07-06T18:30:00.000Z,61.07499999999993
Qtr 4,2016,Office Supplies,Supplies,2016-10-09T18:30:00.000Z,-127.4144
Qtr 1,2017,Office Supplies,Supplies,2017-01-06T18:30:00.000Z,-149.09049999999996
Qtr 2,2017,Office Supplies,Supplies,2017-04-03T18:30:00.000Z,107.23780000000002
Qtr 3,2017,Office Supplies,Supplies,2017-07-17T18:30:00.000Z,-971.0515999999999
Qtr 4,2017,Office Supplies,Supplies,2017-10-01T18:30:00.000Z,57.59149999999998
Qtr 1,2014,Technology,Accessories,2014-01-08T18:30:00.000Z,1124.5735000000002
Qtr 2,2014,Technology,Accessories,2014-04-02T18:30:00.000Z,1038.4554999999998
Qtr 3,2014,Technology,Accessories,2014-07-04T18:30:00.000Z,1685.6122999999998
Qtr 4,2014,Technology,Accessories,2014-10-01T18:30:00.000Z,2554.0737
Qtr 1,2015,Technology,Accessories,2015-01-01T18:30:00.000Z,670.5037999999997
Qtr 2,2015,Technology,Accessories,2015-04-01T18:30:00.000Z,1238.1835999999998
Qtr 3,2015,Technology,Accessories,2015-07-04T18:30:00.000Z,3099.461799999999
Qtr 4,2015,Technology,Accessories,2015-09-30T18:30:00.000Z,5189.126000000001
Qtr 1,2016,Technology,Accessories,2016-01-02T18:30:00.000Z,1035.9632999999994
Qtr 2,2016,Technology,Accessories,2016-04-03T18:30:00.000Z,1684.7750999999994
Qtr 3,2016,Technology,Accessories,2016-06-30T18:30:00.000Z,2585.2865
Qtr 4,2016,Technology,Accessories,2016-09-30T18:30:00.000Z,4358.2636
Qtr 1,2017,Technology,Accessories,2017-01-01T18:30:00.000Z,2291.9934
Qtr 2,2017,Technology,Accessories,2017-04-01T18:30:00.000Z,2575.8228999999988
Qtr 3,2017,Technology,Accessories,2017-07-02T18:30:00.000Z,6334.611800000003
Qtr 4,2017,Technology,Accessories,2017-09-30T18:30:00.000Z,4469.928899999999
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,2014-05-01T18:30:00.000Z,464.98850000000004
Qtr 3,2014,Technology,Copiers,2014-07-05T18:30:00.000Z,1586.9721
Qtr 4,2014,Technology,Copiers,2014-10-13T18:30:00.000Z,860.9826999999999
Qtr 1,2015,Technology,Copiers,2015-03-05T18:30:00.000Z,1858.4616999999998
Qtr 2,2015,Technology,Copiers,2015-04-03T18:30:00.000Z,2241.9406
Qtr 3,2015,Technology,Copiers,2015-08-27T18:30:00.000Z,1600.9739
Qtr 4,2015,Technology,Copiers,2015-10-22T18:30:00.000Z,4228.9226
Qtr 1,2016,Technology,Copiers,2016-01-03T18:30:00.000Z,119.99599999999992
Qtr 2,2016,Technology,Copiers,2016-04-06T18:30:00.000Z,1564.9882999999988
Qtr 3,2016,Technology,Copiers,2016-06-30T18:30:00.000Z,3895.9001
Qtr 4,2016,Technology,Copiers,2016-10-01T18:30:00.000Z,12161.908199999998
Qtr 1,2017,Technology,Copiers,2017-01-21T18:30:00.000Z,10565.914699999998
Qtr 2,2017,Technology,Copiers,2017-05-07T18:30:00.000Z,1049.985
Qtr 3,2017,Technology,Copiers,2017-07-16T18:30:00.000Z,1527.9651000000001
Qtr 4,2017,Technology,Copiers,2017-10-21T18:30:00.000Z,11887.925399999998
Qtr 1,2014,Technology,Machines,2014-03-13T18:30:00.000Z,-1255.4678000000022
Qtr 2,2014,Technology,Machines,2014-04-17T18:30:00.000Z,-142.0174
Qtr 3,2014,Technology,Machines,2014-09-01T18:30:00.000Z,-2626.1293000000032
Qtr 4,2014,Technology,Machines,2014-10-09T18:30:00.000Z,4392.783399999998
Qtr 1,2015,Technology,Machines,2015-01-01T18:30:00.000Z,-734.4027000000003
Qtr 2,2015,Technology,Machines,2015-04-01T18:30:00.000Z,927.4447999999995
Qtr 3,2015,Technology,Machines,2015-07-08T18:30:00.000Z,2044.9754999999998
Qtr 4,2015,Technology,Machines,2015-10-29T18:30:00.000Z,739.4679999999989
Qtr 1,2016,Technology,Machines,2016-02-01T18:30:00.000Z,4968.559199999999
Qtr 2,2016,Technology,Machines,2016-04-15T18:30:00.000Z,4580.507099999998
Qtr 3,2016,Technology,Machines,2016-07-09T18:30:00.000Z,-161.63730000000015
Qtr 4,2016,Technology,Machines,2016-10-05T18:30:00.000Z,-6480.111000000001
Qtr 1,2017,Technology,Machines,2017-01-01T18:30:00.000Z,905.5250999999996
Qtr 2,2017,Technology,Machines,2017-03-31T18:30:00.000Z,-1166.7751000000012
Qtr 3,2017,Technology,Machines,2017-07-02T18:30:00.000Z,256.15279999999984
Qtr 4,2017,Technology,Machines,2017-09-30T18:30:00.000Z,-2864.118399999999
Qtr 1,2014,Technology,Phones,2014-01-05T18:30:00.000Z,1909.1652000000004
Qtr 2,2014,Technology,Phones,2014-04-01T18:30:00.000Z,3262.9792000000007
Qtr 3,2014,Technology,Phones,2014-06-30T18:30:00.000Z,2276.827
Qtr 4,2014,Technology,Phones,2014-10-01T18:30:00.000Z,4359.033899999999
Qtr 1,2015,Technology,Phones,2015-01-01T18:30:00.000Z,822.7797999999996
Qtr 2,2015,Technology,Phones,2015-04-01T18:30:00.000Z,1552.4182999999996
Qtr 3,2015,Technology,Phones,2015-07-01T18:30:00.000Z,4210.234699999999
Qtr 4,2015,Technology,Phones,2015-09-30T18:30:00.000Z,3813.374600000001
Qtr 1,2016,Technology,Phones,2016-01-01T18:30:00.000Z,1195.2467000000001
Qtr 2,2016,Technology,Phones,2016-03-31T18:30:00.000Z,2712.5184
Qtr 3,2016,Technology,Phones,2016-07-03T18:30:00.000Z,1789.4981999999977
Qtr 4,2016,Technology,Phones,2016-09-30T18:30:00.000Z,3762.3296
Qtr 1,2017,Technology,Phones,2017-01-13T18:30:00.000Z,2050.1640999999995
Qtr 2,2017,Technology,Phones,2017-03-31T18:30:00.000Z,2102.291
Qtr 3,2017,Technology,Phones,2017-07-02T18:30:00.000Z,3191.9692000000005
Qtr 4,2017,Technology,Phones,2017-10-01T18:30:00.000Z,5504.900699999998
