Region,Country,Value Column Name,Value
"Rest of the world","China","November PY in millions","266000"
"Rest of the world","China","November AC In  millions","231000"
"Rest of the world","China","January PY in millions","868000"
"Rest of the world","China","January PY in millions - January AC In  millions","600000"
"Rest of the world","China","(January PY in millions - January AC In  millions)%","2.2388059701492535"
"Rest of the world","China","January PY in millions - November PY in millions","602000"
"Rest of the world","China","(January PY in millions - November PY in millions)%","2.263157894736842"
"Rest of the world","China","January PY in millions - November AC In  millions","637000"
"Rest of the world","China","(January PY in millions - November AC In  millions)%","2.7575757575757573"
"Rest of the world","China","November PY in millions - January AC In  millions","-2000"
"Rest of the world","China","(November PY in millions - January AC In  millions)%","-0.007462686567164178"
"Rest of the world","China","November AC In  millions - January AC In  millions","-37000"
"Rest of the world","China","(November AC In  millions - January AC In  millions)%","-0.13805970149253732"
"Rest of the world","China","November AC In  millions - November PY in millions","-35000"
"Rest of the world","China","(November AC In  millions - November PY in millions)%","-0.13157894736842105"
"Rest of the world","Japan","January AC In  millions","79000"
"Rest of the world","Japan","November PY in millions","9000"
"Rest of the world","Japan","November AC In  millions","11000"
"Rest of the world","Japan","January PY in millions","29000"
"Rest of the world","Japan","January PY in millions - January AC In  millions","-50000"
"Rest of the world","Japan","(January PY in millions - January AC In  millions)%","-0.6329113924050633"
"Rest of the world","Japan","January PY in millions - November PY in millions","20000"
"Rest of the world","Japan","(January PY in millions - November PY in millions)%","2.2222222222222223"
"Rest of the world","Japan","January PY in millions - November AC In  millions","18000"
"Rest of the world","Japan","(January PY in millions - November AC In  millions)%","1.6363636363636365"
"Rest of the world","Japan","November PY in millions - January AC In  millions","-70000"
"Rest of the world","Japan","(November PY in millions - January AC In  millions)%","-0.8860759493670884"
"Rest of the world","Japan","November AC In  millions - January AC In  millions","-68000"
"Rest of the world","Japan","(November AC In  millions - January AC In  millions)%","-0.8607594936708861"
"Rest of the world","Japan","November AC In  millions - November PY in millions","2000"
"Rest of the world","Japan","(November AC In  millions - November PY in millions)%","0.2222222222222222"
"Rest of the world","Other","January AC In  millions","1100000"
"Rest of the world","Other","November PY in millions","234000"
"Rest of the world","Other","November AC In  millions","255000"
"Rest of the world","Other","January PY in millions","224000"
"Rest of the world","Other","January PY in millions - January AC In  millions","-876000"
"Rest of the world","Other","(January PY in millions - January AC In  millions)%","-0.7963636363636364"
"Rest of the world","Other","January PY in millions - November PY in millions","-10000"
"Rest of the world","Other","(January PY in millions - November PY in millions)%","-0.042735042735042736"
"Rest of the world","Other","January PY in millions - November AC In  millions","-31000"
"Rest of the world","Other","(January PY in millions - November AC In  millions)%","-0.12156862745098039"
"Rest of the world","Other","November PY in millions - January AC In  millions","-866000"
"Rest of the world","Other","(November PY in millions - January AC In  millions)%","-0.7872727272727272"
"Rest of the world","Other","November AC In  millions - January AC In  millions","-845000"
"Rest of the world","Other","(November AC In  millions - January AC In  millions)%","-0.7681818181818181"
"Rest of the world","Other","November AC In  millions - November PY in millions","21000"
"Rest of the world","Other","(November AC In  millions - November PY in millions)%","0.08974358974358974"
