Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity)
2016,Qtr 2,Furniture,Furnishings,217
2016,Qtr 3,Furniture,Furnishings,251
2016,Qtr 4,Furniture,Furnishings,396
2017,Qtr 1,Furniture,Furnishings,131
2017,Qtr 2,Furniture,Furnishings,225
2017,Qtr 3,Furniture,Furnishings,295
2017,Qtr 4,Furniture,Furnishings,446
2014,Qtr 1,Furniture,Tables,37
2014,Qtr 2,Furniture,Tables,77
2014,Qtr 3,Furniture,Tables,64
2014,Qtr 4,Furniture,Tables,92
2015,Qtr 1,Furniture,Tables,39
2015,Qtr 2,Furniture,Tables,24
2015,Qtr 3,Furniture,Tables,69
2015,Qtr 4,Furniture,Tables,103
2016,Qtr 1,Furniture,Tables,50
2016,Qtr 2,Furniture,Tables,74
2016,Qtr 3,Furniture,Tables,85
2016,Qtr 4,Furniture,Tables,137
2017,Qtr 1,Furniture,Tables,55
2017,Qtr 2,Furniture,Tables,54
2017,Qtr 3,Furniture,Tables,78
2017,Qtr 4,Furniture,Tables,203
2014,Qtr 1,Office Supplies,Appliances,25
2014,Qtr 2,Office Supplies,Appliances,66
2014,Qtr 3,Office Supplies,Appliances,107
2014,Qtr 4,Office Supplies,Appliances,116
2015,Qtr 1,Office Supplies,Appliances,48
2015,Qtr 2,Office Supplies,Appliances,105
2015,Qtr 3,Office Supplies,Appliances,68
2015,Qtr 4,Office Supplies,Appliances,144
2016,Qtr 1,Office Supplies,Appliances,46
2016,Qtr 2,Office Supplies,Appliances,88
2016,Qtr 3,Office Supplies,Appliances,120
2016,Qtr 4,Office Supplies,Appliances,142
2017,Qtr 1,Office Supplies,Appliances,118
2017,Qtr 2,Office Supplies,Appliances,120
2017,Qtr 3,Office Supplies,Appliances,177
2017,Qtr 4,Office Supplies,Appliances,239
2014,Qtr 1,Office Supplies,Art,122
2014,Qtr 2,Office Supplies,Art,192
2014,Qtr 3,Office Supplies,Art,142
2014,Qtr 4,Office Supplies,Art,157
2015,Qtr 1,Office Supplies,Art,65
2015,Qtr 2,Office Supplies,Art,132
2015,Qtr 3,Office Supplies,Art,175
2015,Qtr 4,Office Supplies,Art,236
2016,Qtr 1,Office Supplies,Art,61
2016,Qtr 2,Office Supplies,Art,169
2016,Qtr 3,Office Supplies,Art,202
2016,Qtr 4,Office Supplies,Art,246
2017,Qtr 1,Office Supplies,Art,157
2017,Qtr 2,Office Supplies,Art,254
2017,Qtr 3,Office Supplies,Art,286
2017,Qtr 4,Office Supplies,Art,404
2014,Qtr 1,Office Supplies,Binders,166
2014,Qtr 2,Office Supplies,Binders,246
2014,Qtr 3,Office Supplies,Binders,328
2014,Qtr 4,Office Supplies,Binders,349
2015,Qtr 1,Office Supplies,Binders,107
2015,Qtr 2,Office Supplies,Binders,243
2015,Qtr 3,Office Supplies,Binders,392
2015,Qtr 4,Office Supplies,Binders,473
2016,Qtr 1,Office Supplies,Binders,179
2016,Qtr 2,Office Supplies,Binders,335
2016,Qtr 3,Office Supplies,Binders,467
2016,Qtr 4,Office Supplies,Binders,622
2017,Qtr 1,Office Supplies,Binders,346
2017,Qtr 2,Office Supplies,Binders,417
2017,Qtr 3,Office Supplies,Binders,526
2017,Qtr 4,Office Supplies,Binders,778
2014,Qtr 1,Office Supplies,Envelopes,23
2014,Qtr 2,Office Supplies,Envelopes,35
2014,Qtr 3,Office Supplies,Envelopes,54
2014,Qtr 4,Office Supplies,Envelopes,94
2015,Qtr 1,Office Supplies,Envelopes,34
2015,Qtr 2,Office Supplies,Envelopes,27
2015,Qtr 3,Office Supplies,Envelopes,60
2015,Qtr 4,Office Supplies,Envelopes,116
2016,Qtr 1,Office Supplies,Envelopes,47
2016,Qtr 2,Office Supplies,Envelopes,50
2016,Qtr 3,Office Supplies,Envelopes,54
2016,Qtr 4,Office Supplies,Envelopes,71
2017,Qtr 1,Office Supplies,Envelopes,40
2017,Qtr 2,Office Supplies,Envelopes,49
2017,Qtr 3,Office Supplies,Envelopes,68
2017,Qtr 4,Office Supplies,Envelopes,84
2014,Qtr 1,Office Supplies,Fasteners,26
2014,Qtr 2,Office Supplies,Fasteners,48
2014,Qtr 3,Office Supplies,Fasteners,72
2014,Qtr 4,Office Supplies,Fasteners,55
2015,Qtr 1,Office Supplies,Fasteners,25
2015,Qtr 2,Office Supplies,Fasteners,36
2015,Qtr 3,Office Supplies,Fasteners,43
2015,Qtr 4,Office Supplies,Fasteners,72
2016,Qtr 1,Office Supplies,Fasteners,31
2016,Qtr 2,Office Supplies,Fasteners,42
2016,Qtr 3,Office Supplies,Fasteners,86
2016,Qtr 4,Office Supplies,Fasteners,129
2017,Qtr 1,Office Supplies,Fasteners,52
2017,Qtr 2,Office Supplies,Fasteners,33
2017,Qtr 3,Office Supplies,Fasteners,61
2017,Qtr 4,Office Supplies,Fasteners,103
2014,Qtr 1,Office Supplies,Labels,45
2014,Qtr 2,Office Supplies,Labels,53
2014,Qtr 3,Office Supplies,Labels,90
2014,Qtr 4,Office Supplies,Labels,138
2015,Qtr 1,Office Supplies,Labels,38
2015,Qtr 2,Office Supplies,Labels,71
2015,Qtr 3,Office Supplies,Labels,61
2015,Qtr 4,Office Supplies,Labels,93
2016,Qtr 1,Office Supplies,Labels,30
2016,Qtr 2,Office Supplies,Labels,92
2016,Qtr 3,Office Supplies,Labels,133
2016,Qtr 4,Office Supplies,Labels,108
2017,Qtr 1,Office Supplies,Labels,44
2017,Qtr 2,Office Supplies,Labels,107
2017,Qtr 3,Office Supplies,Labels,160
2017,Qtr 4,Office Supplies,Labels,137
2014,Qtr 1,Office Supplies,Paper,143
2014,Qtr 2,Office Supplies,Paper,166
2014,Qtr 3,Office Supplies,Paper,312
2014,Qtr 4,Office Supplies,Paper,396
2015,Qtr 1,Office Supplies,Paper,174
2015,Qtr 2,Office Supplies,Paper,214
2015,Qtr 3,Office Supplies,Paper,259
2015,Qtr 4,Office Supplies,Paper,440
2016,Qtr 1,Office Supplies,Paper,146
2016,Qtr 2,Office Supplies,Paper,376
2016,Qtr 3,Office Supplies,Paper,418
2016,Qtr 4,Office Supplies,Paper,432
2017,Qtr 1,Office Supplies,Paper,234
2017,Qtr 2,Office Supplies,Paper,343
2017,Qtr 3,Office Supplies,Paper,506
2017,Qtr 4,Office Supplies,Paper,619
2014,Qtr 1,Office Supplies,Storage,88
2014,Qtr 2,Office Supplies,Storage,118
2014,Qtr 3,Office Supplies,Storage,184
2014,Qtr 4,Office Supplies,Storage,283
2015,Qtr 1,Office Supplies,Storage,70
2015,Qtr 2,Office Supplies,Storage,111
2015,Qtr 3,Office Supplies,Storage,249
2015,Qtr 4,Office Supplies,Storage,225
2016,Qtr 1,Office Supplies,Storage,104
2016,Qtr 2,Office Supplies,Storage,207
2016,Qtr 3,Office Supplies,Storage,201
2016,Qtr 4,Office Supplies,Storage,296
2017,Qtr 1,Office Supplies,Storage,151
2017,Qtr 2,Office Supplies,Storage,208
2017,Qtr 3,Office Supplies,Storage,274
2017,Qtr 4,Office Supplies,Storage,389
2014,Qtr 1,Office Supplies,Supplies,4
2014,Qtr 2,Office Supplies,Supplies,24
2014,Qtr 3,Office Supplies,Supplies,44
2014,Qtr 4,Office Supplies,Supplies,58
2015,Qtr 1,Office Supplies,Supplies,12
2015,Qtr 2,Office Supplies,Supplies,17
2015,Qtr 3,Office Supplies,Supplies,41
2015,Qtr 4,Office Supplies,Supplies,39
2016,Qtr 1,Office Supplies,Supplies,12
2016,Qtr 2,Office Supplies,Supplies,60
2016,Qtr 3,Office Supplies,Supplies,69
2016,Qtr 4,Office Supplies,Supplies,75
2017,Qtr 1,Office Supplies,Supplies,32
2017,Qtr 2,Office Supplies,Supplies,47
2017,Qtr 3,Office Supplies,Supplies,60
2017,Qtr 4,Office Supplies,Supplies,53
2014,Qtr 1,Technology,Accessories,67
2014,Qtr 2,Technology,Accessories,85
2014,Qtr 3,Technology,Accessories,205
2014,Qtr 4,Technology,Accessories,223
2015,Qtr 1,Technology,Accessories,68
2015,Qtr 2,Technology,Accessories,103
2015,Qtr 3,Technology,Accessories,185
2015,Qtr 4,Technology,Accessories,279
2016,Qtr 1,Technology,Accessories,96
2016,Qtr 2,Technology,Accessories,143
2016,Qtr 3,Technology,Accessories,158
2016,Qtr 4,Technology,Accessories,285
2017,Qtr 1,Technology,Accessories,146
2017,Qtr 2,Technology,Accessories,218
2017,Qtr 3,Technology,Accessories,318
2017,Qtr 4,Technology,Accessories,397
2014,Qtr 1,Technology,Copiers,
2014,Qtr 2,Technology,Copiers,10
2014,Qtr 3,Technology,Copiers,8
2014,Qtr 4,Technology,Copiers,11
2015,Qtr 1,Technology,Copiers,9
2015,Qtr 2,Technology,Copiers,20
2015,Qtr 3,Technology,Copiers,11
2015,Qtr 4,Technology,Copiers,23
2016,Qtr 1,Technology,Copiers,4
2016,Qtr 2,Technology,Copiers,9
2016,Qtr 3,Technology,Copiers,32
2016,Qtr 4,Technology,Copiers,24
2017,Qtr 1,Technology,Copiers,25
2017,Qtr 2,Technology,Copiers,6
2017,Qtr 3,Technology,Copiers,17
2017,Qtr 4,Technology,Copiers,25
2014,Qtr 1,Technology,Machines,16
2014,Qtr 2,Technology,Machines,12
2014,Qtr 3,Technology,Machines,45
2014,Qtr 4,Technology,Machines,23
2015,Qtr 1,Technology,Machines,12
2015,Qtr 2,Technology,Machines,20
2015,Qtr 3,Technology,Machines,22
2015,Qtr 4,Technology,Machines,40
2016,Qtr 1,Technology,Machines,21
2016,Qtr 2,Technology,Machines,43
2016,Qtr 3,Technology,Machines,20
2016,Qtr 4,Technology,Machines,45
2017,Qtr 1,Technology,Machines,13
2017,Qtr 2,Technology,Machines,24
2017,Qtr 3,Technology,Machines,25
2017,Qtr 4,Technology,Machines,59
2014,Qtr 1,Technology,Phones,79
2014,Qtr 2,Technology,Phones,168
2014,Qtr 3,Technology,Phones,139
2014,Qtr 4,Technology,Phones,298
2015,Qtr 1,Technology,Phones,84
2015,Qtr 2,Technology,Phones,160
2015,Qtr 3,Technology,Phones,196
2015,Qtr 4,Technology,Phones,257
2016,Qtr 1,Technology,Phones,134
2016,Qtr 2,Technology,Phones,171
2016,Qtr 3,Technology,Phones,249
2016,Qtr 4,Technology,Phones,264
2017,Qtr 1,Technology,Phones,207
2017,Qtr 2,Technology,Phones,190
2017,Qtr 3,Technology,Phones,294
2017,Qtr 4,Technology,Phones,399
