Cat1,Cat2,Month,Sum of Series1
Level1.0000,Level2.0003,September,40750.4480848
Level1.0000,Level2.0003,October,54011.0477136
Level1.0000,Level2.0003,November,1075.5571381
Level1.0000,Level2.0003,December,62359.9455879
Level1.0000,Level2.0004,January,75549.3909399
Level1.0000,Level2.0004,February,7034.7829574
Level1.0000,Level2.0004,March,88350.2808293
Level1.0000,Level2.0004,April,23590.3186184
Level1.0000,Level2.0004,May,83586.5082771
Level1.0000,Level2.0004,June,31556.1634557
Level1.0000,Level2.0004,July,90248.676172
Level1.0000,Level2.0004,August,5216.1569889
Level1.0000,Level2.0004,September,20861.4246993
Level1.0000,Level2.0004,October,41283.5710041
Level1.0000,Level2.0004,November,85719.1884422
Level1.0000,Level2.0004,December,67294.1551812
Level1.0001,Level2.0000,January,90920.4592275
Level1.0001,Level2.0000,February,77715.9599398
Level1.0001,Level2.0000,March,42274.3909897
Level1.0001,Level2.0000,April,23728.3267619
Level1.0001,Level2.0000,May,64630.8487984
Level1.0001,Level2.0000,June,74934.1708653
Level1.0001,Level2.0000,July,8772.0580059
Level1.0001,Level2.0000,August,2659.3439625
Level1.0001,Level2.0000,September,89919.9412997
Level1.0001,Level2.0000,October,99857.9488118
Level1.0001,Level2.0000,November,75804.234969
Level1.0001,Level2.0000,December,9351.2833588
Level1.0001,Level2.0001,January,90810.9335068
Level1.0001,Level2.0001,February,48145.6409261
Level1.0001,Level2.0001,March,15607.7817833
Level1.0001,Level2.0001,April,75302.6254093
Level1.0001,Level2.0001,May,96113.1569421
Level1.0001,Level2.0001,June,4797.1032091
Level1.0001,Level2.0001,July,83120.8350729
Level1.0001,Level2.0001,August,31130.3001891
Level1.0001,Level2.0001,September,73580.9271945
Level1.0001,Level2.0001,October,34614.7870421
Level1.0001,Level2.0001,November,630.3636977
Level1.0001,Level2.0001,December,72666.8769947
Level1.0001,Level2.0002,January,8700.4491352
Level1.0001,Level2.0002,February,3052.0672411
Level1.0001,Level2.0002,March,5619.0367345
Level1.0001,Level2.0002,April,34117.496534
Level1.0001,Level2.0002,May,4031.8527665
Level1.0001,Level2.0002,June,58861.9816847
Level1.0001,Level2.0002,July,8084.7035486
Level1.0001,Level2.0002,August,46611.4622415
Level1.0001,Level2.0002,September,51375.5178026
Level1.0001,Level2.0002,October,92819.7309281
Level1.0001,Level2.0002,November,97444.5719931
Level1.0001,Level2.0002,December,6684.4066367
Level1.0001,Level2.0003,January,85887.1211925
Level1.0001,Level2.0003,February,34026.4884511
Level1.0001,Level2.0003,March,63768.0201429
Level1.0001,Level2.0003,April,61064.9898795
Level1.0001,Level2.0003,May,58640.2825814
Level1.0001,Level2.0003,June,48444.7759867
Level1.0001,Level2.0003,July,46482.6985361
Level1.0001,Level2.0003,August,66897.9032135
Level1.0001,Level2.0003,September,49583.278724
Level1.0001,Level2.0003,October,9652.4337938
Level1.0001,Level2.0003,November,47729.2794737
Level1.0001,Level2.0003,December,7265.5213223
Level1.0001,Level2.0004,January,62315.6523718
Level1.0001,Level2.0004,February,92426.0264434
Level1.0001,Level2.0004,March,69745.285677
Level1.0001,Level2.0004,April,34431.9444816
Level1.0001,Level2.0004,May,87383.6532199
Level1.0001,Level2.0004,June,90495.8921918
Level1.0001,Level2.0004,July,31171.0981156
Level1.0001,Level2.0004,August,15519.6678738
Level1.0001,Level2.0004,September,78418.833159
Level1.0001,Level2.0004,October,12576.0033055
Level1.0001,Level2.0004,November,38472.7593626
Level1.0001,Level2.0004,December,32158.5918731
Level1.0002,Level2.0000,January,14648.406958
Level1.0002,Level2.0000,February,12946.0193022
Level1.0002,Level2.0000,March,55472.1665821
Level1.0002,Level2.0000,April,41343.1905525
Level1.0002,Level2.0000,May,49662.6066611
Level1.0002,Level2.0000,June,56853.0507251
Level1.0002,Level2.0000,July,88663.5605148
Level1.0002,Level2.0000,August,88628.8252191
Level1.0002,Level2.0000,September,47765.1803197
Level1.0002,Level2.0000,October,58090.75222
Level1.0002,Level2.0000,November,64297.0947082
Level1.0002,Level2.0000,December,62641.2017794
Level1.0002,Level2.0001,January,86622.0429879
Level1.0002,Level2.0001,February,77657.2112934
Level1.0002,Level2.0001,March,25396.2451145
Level1.0002,Level2.0001,April,68947.0876482
Level1.0002,Level2.0001,May,62617.8060361
Level1.0002,Level2.0001,June,16469.5584919
Level1.0002,Level2.0001,July,98389.4064476
Level1.0002,Level2.0001,August,74729.3916333
Level1.0002,Level2.0001,September,77602.2854357
Level1.0002,Level2.0001,October,22991.338584
Level1.0002,Level2.0001,November,47039.7575795
Level1.0002,Level2.0001,December,12038.9060839
Level1.0002,Level2.0002,January,98881.3579531
Level1.0002,Level2.0002,February,41928.9369706
Level1.0002,Level2.0002,March,85705.6955522
Level1.0002,Level2.0002,April,35231.0947277
Level1.0002,Level2.0002,May,75019.1302007
Level1.0002,Level2.0002,June,91704.8747841
Level1.0002,Level2.0002,July,93634.0303603
Level1.0002,Level2.0002,August,67057.4461503
Level1.0002,Level2.0002,September,86333.8247091
Level1.0002,Level2.0002,October,26625.9001673
Level1.0002,Level2.0002,November,78083.2767133
Level1.0002,Level2.0002,December,82969.4516479
Level1.0002,Level2.0003,January,29111.5231072
Level1.0002,Level2.0003,February,81388.311911
Level1.0002,Level2.0003,March,28704.793958
Level1.0002,Level2.0003,April,32246.1211699
Level1.0002,Level2.0003,May,58462.73906
Level1.0002,Level2.0003,June,82960.1773074
Level1.0002,Level2.0003,July,14505.0422427
Level1.0002,Level2.0003,August,73825.668087
Level1.0002,Level2.0003,September,39308.3601245
Level1.0002,Level2.0003,October,20055.73344
Level1.0002,Level2.0003,November,60834.598034
Level1.0002,Level2.0003,December,20468.6816129
Level1.0002,Level2.0004,January,19170.6454661
Level1.0002,Level2.0004,February,18808.9783136
Level1.0002,Level2.0004,March,19997.0180956
Level1.0002,Level2.0004,April,78588.147104
Level1.0002,Level2.0004,May,73446.0683783
Level1.0002,Level2.0004,June,81159.07634
Level1.0002,Level2.0004,July,58952.4320687
Level1.0002,Level2.0004,August,52971.6711359
Level1.0002,Level2.0004,September,60717.2211485
Level1.0002,Level2.0004,October,61424.7684465
Level1.0002,Level2.0004,November,751.8503979
Level1.0002,Level2.0004,December,67885.6717437
Level1.0003,Level2.0000,January,50715.8166849
Level1.0003,Level2.0000,February,15654.7609085
Level1.0003,Level2.0000,March,40356.1394995
Level1.0003,Level2.0000,April,37568.7044305
Level1.0003,Level2.0000,May,45094.943074
Level1.0003,Level2.0000,June,34949.906652
Level1.0003,Level2.0000,July,41837.2723769
Level1.0003,Level2.0000,August,86792.0482176
Level1.0003,Level2.0000,September,59475.114546
Level1.0003,Level2.0000,October,79416.5446589
Level1.0003,Level2.0000,November,97386.6290703
Level1.0003,Level2.0000,December,39856.4382773
Level1.0003,Level2.0001,January,38059.9347134
Level1.0003,Level2.0001,February,20524.3626801
Level1.0003,Level2.0001,March,37886.9579153
Level1.0003,Level2.0001,April,64233.911968
Level1.0003,Level2.0001,May,28440.9951713
Level1.0003,Level2.0001,June,44751.2065436
Level1.0003,Level2.0001,July,93065.6935392
Level1.0003,Level2.0001,August,24095.4268978
Level1.0003,Level2.0001,September,57822.6099559
Level1.0003,Level2.0001,October,41693.7249425
Level1.0003,Level2.0001,November,492.0949733
Level1.0003,Level2.0001,December,66884.7515178
Level1.0003,Level2.0002,January,73529.5594042
Level1.0003,Level2.0002,February,80572.5419364
Level1.0003,Level2.0002,March,95491.3367948
Level1.0003,Level2.0002,April,2267.9082803
Level1.0003,Level2.0002,May,65432.429414
Level1.0003,Level2.0002,June,23812.4188078
Level1.0003,Level2.0002,July,66898.9761485
Level1.0003,Level2.0002,August,36028.2613452
Level1.0003,Level2.0002,September,42291.9010854
Level1.0003,Level2.0002,October,53747.6603322
Level1.0003,Level2.0002,November,62641.7744683
Level1.0003,Level2.0002,December,76212.1979039
Level1.0003,Level2.0003,January,99223.302573
Level1.0003,Level2.0003,February,74645.6478644
Level1.0003,Level2.0003,March,5296.6483225
Level1.0003,Level2.0003,April,25648.2415846
Level1.0003,Level2.0003,May,37025.1618253
Level1.0003,Level2.0003,June,92064.3460952
Level1.0003,Level2.0003,July,46113.3798323
Level1.0003,Level2.0003,August,58366.979165
Level1.0003,Level2.0003,September,75819.2995298
Level1.0003,Level2.0003,October,19796.0406607
Level1.0003,Level2.0003,November,6853.4109808
Level1.0003,Level2.0003,December,26767.2895252
Level1.0003,Level2.0004,January,44599.0741112
Level1.0003,Level2.0004,February,62223.2777033
Level1.0003,Level2.0004,March,79904.0435575
Level1.0003,Level2.0004,April,49319.7235719
Level1.0003,Level2.0004,May,95386.0444578
Level1.0003,Level2.0004,June,84173.6930257
Level1.0003,Level2.0004,July,87966.3382038
Level1.0003,Level2.0004,August,84639.4506911
Level1.0003,Level2.0004,September,5352.4682683
Level1.0003,Level2.0004,October,21439.6519466
Level1.0003,Level2.0004,November,31971.4943011
Level1.0003,Level2.0004,December,71239.532756
Level1.0004,Level2.0000,January,77644.9896736
Level1.0004,Level2.0000,February,70062.3838785
Level1.0004,Level2.0000,March,95931.1100132
Level1.0004,Level2.0000,April,42121.3075083
Level1.0004,Level2.0000,May,76385.4222638
Level1.0004,Level2.0000,June,54961.2137497
Level1.0004,Level2.0000,July,37469.001685
Level1.0004,Level2.0000,August,60474.347789
Level1.0004,Level2.0000,September,25721.8613805
Level1.0004,Level2.0000,October,72712.8740397
Level1.0004,Level2.0000,November,60310.3098788
Level1.0004,Level2.0000,December,91680.2225792
Level1.0004,Level2.0001,January,47914.062548
Level1.0004,Level2.0001,February,50955.8554794
Level1.0004,Level2.0001,March,63824.7669711
Level1.0004,Level2.0001,April,60273.3410587
Level1.0004,Level2.0001,May,12689.3071607
Level1.0004,Level2.0001,June,76003.9652854
Level1.0004,Level2.0001,July,73954.5900334
Level1.0004,Level2.0001,August,69606.5668768
Level1.0004,Level2.0001,September,40410.7987614
Level1.0004,Level2.0001,October,58992.3918878
Level1.0004,Level2.0001,November,1402.4732942
Level1.0004,Level2.0001,December,57362.7705755
Level1.0004,Level2.0002,January,91617.0675395
Level1.0004,Level2.0002,February,74785.3878226
Level1.0004,Level2.0002,March,28244.7574016
Level1.0004,Level2.0002,April,41920.553159
Level1.0004,Level2.0002,May,29817.54848
Level1.0004,Level2.0002,June,52467.4656755
Level1.0004,Level2.0002,July,95014.0875837
Level1.0004,Level2.0002,August,40585.7102448
Level1.0004,Level2.0002,September,67899.2272681
Level1.0004,Level2.0002,October,50963.3070084
Level1.0004,Level2.0002,November,64320.0536492
Level1.0004,Level2.0002,December,23086.2397405
Level1.0004,Level2.0003,January,94224.3784069
Level1.0004,Level2.0003,February,2516.3635261
Level1.0004,Level2.0003,March,27115.70828
Level1.0004,Level2.0003,April,67937.9279076
Level1.0004,Level2.0003,May,89519.9433172
Level1.0004,Level2.0003,June,47648.4347406
Level1.0004,Level2.0003,July,37373.6700389
Level1.0004,Level2.0003,August,48285.4305736
Level1.0004,Level2.0003,September,21969.8842104
Level1.0004,Level2.0003,October,38766.4111365
Level1.0004,Level2.0003,November,61645.127401
Level1.0004,Level2.0003,December,69276.2548019
Level1.0004,Level2.0004,January,37384.0688067
Level1.0004,Level2.0004,February,23588.4013689
Level1.0004,Level2.0004,March,99940.7440009
Level1.0004,Level2.0004,April,84986.9676008
Level1.0004,Level2.0004,May,78173.9609075
Level1.0004,Level2.0004,June,77144.515601
Level1.0004,Level2.0004,July,34617.0420671
Level1.0004,Level2.0004,August,25858.4434504
Level1.0004,Level2.0004,September,5040.1402786
Level1.0004,Level2.0004,October,73028.8176288
Level1.0004,Level2.0004,November,3397.5919116
Level1.0004,Level2.0004,December,72406.2350023
Level1.0005,Level2.0000,January,73710.6310606
Level1.0005,Level2.0000,February,6890.1143804
Level1.0005,Level2.0000,March,83050.5327229
Level1.0005,Level2.0000,April,21313.8201568
Level1.0005,Level2.0000,May,70113.6217705
Level1.0005,Level2.0000,June,14209.1042645
Level1.0005,Level2.0000,July,59693.3858192
Level1.0005,Level2.0000,August,87996.0436493
Level1.0005,Level2.0000,September,85449.3800028
Level1.0005,Level2.0000,October,61167.2086276
Level1.0005,Level2.0000,November,45571.8658845
Level1.0005,Level2.0000,December,62038.7835683
Level1.0005,Level2.0001,January,88618.6300666
Level1.0005,Level2.0001,February,12681.4075923
Level1.0005,Level2.0001,March,78720.1514538
Level1.0005,Level2.0001,April,57350.8930069
Level1.0005,Level2.0001,May,60558.0757625
Level1.0005,Level2.0001,June,16992.9082827
Level1.0005,Level2.0001,July,10134.4280693
Level1.0005,Level2.0001,August,39495.5287946
Level1.0005,Level2.0001,September,33952.2114282
Level1.0005,Level2.0001,October,7380.8592412
Level1.0005,Level2.0001,November,11767.7473994
Level1.0005,Level2.0001,December,60888.33042
Level1.0005,Level2.0002,January,66720.4106871
Level1.0005,Level2.0002,February,80740.9888906
Level1.0005,Level2.0002,March,25106.1818071
Level1.0005,Level2.0002,April,75405.2935402
Level1.0005,Level2.0002,May,28848.9126471
Level1.0005,Level2.0002,June,29840.1944428
Level1.0005,Level2.0002,July,90120.974465
Level1.0005,Level2.0002,August,22420.3325719
Level1.0005,Level2.0002,September,28325.8713671
Level1.0005,Level2.0002,October,82329.9481075
Level1.0005,Level2.0002,November,53131.1449789
Level1.0005,Level2.0002,December,83253.2138577
Level1.0005,Level2.0003,January,16230.9742903
Level1.0005,Level2.0003,February,52202.7496731
Level1.0005,Level2.0003,March,76648.1314201
Level1.0005,Level2.0003,April,43897.4613248
Level1.0005,Level2.0003,May,89246.5384544
Level1.0005,Level2.0003,June,2473.4404874
Level1.0005,Level2.0003,July,5541.141572
Level1.0005,Level2.0003,August,6897.9365643
Level1.0005,Level2.0003,September,67859.0213725
Level1.0005,Level2.0003,October,43637.6209695
Level1.0005,Level2.0003,November,15949.4167638
Level1.0005,Level2.0003,December,6348.6755079
Level1.0005,Level2.0004,January,9237.6273776
Level1.0005,Level2.0004,February,26178.173435
Level1.0005,Level2.0004,March,78482.1150722
Level1.0005,Level2.0004,April,63897.1366934
Level1.0005,Level2.0004,May,90370.2541741
Level1.0005,Level2.0004,June,65697.977393
Level1.0005,Level2.0004,July,77173.4345255
Level1.0005,Level2.0004,August,62265.0282356
Level1.0005,Level2.0004,September,44556.0628875
Level1.0005,Level2.0004,October,79843.7557648
Level1.0005,Level2.0004,November,23629.0254375
Level1.0005,Level2.0004,December,71043.8776934
Level1.0006,Level2.0000,January,50690.8177645
Level1.0006,Level2.0000,February,54801.8756774
Level1.0006,Level2.0000,March,10869.1470437
Level1.0006,Level2.0000,April,57743.7690763
Level1.0006,Level2.0000,May,16490.801333
Level1.0006,Level2.0000,June,78210.065046
Level1.0006,Level2.0000,July,3619.1794625
Level1.0006,Level2.0000,August,86546.8589598
Level1.0006,Level2.0000,September,1632.9285079
Level1.0006,Level2.0000,October,69639.8002809
Level1.0006,Level2.0000,November,27913.9653758
Level1.0006,Level2.0000,December,37140.1739152
Level1.0006,Level2.0001,January,54220.8909118
Level1.0006,Level2.0001,February,93531.6448797
Level1.0006,Level2.0001,March,25672.8899971
Level1.0006,Level2.0001,April,55170.0177854
Level1.0006,Level2.0001,May,46709.5667263
Level1.0006,Level2.0001,June,3856.5956719
Level1.0006,Level2.0001,July,55757.4361841
Level1.0006,Level2.0001,August,76897.8623483
Level1.0006,Level2.0001,September,75087.3985951
Level1.0006,Level2.0001,October,74194.4547585
Level1.0006,Level2.0001,November,1391.0616755
Level1.0006,Level2.0001,December,39541.8880818
Level1.0006,Level2.0002,January,85560.0856675
Level1.0006,Level2.0002,February,75325.9610018
Level1.0006,Level2.0002,March,16564.9256651
Level1.0006,Level2.0002,April,68539.5130072
Level1.0006,Level2.0002,May,73686.2489991
Level1.0006,Level2.0002,June,12119.2367671
Level1.0006,Level2.0002,July,43761.8758808
Level1.0006,Level2.0002,August,96477.6662022
Level1.0006,Level2.0002,September,65528.3915922
Level1.0006,Level2.0002,October,57660.9008992
Level1.0006,Level2.0002,November,28994.0702764
Level1.0006,Level2.0002,December,2958.6307164
Level1.0006,Level2.0003,January,18452.3892007
Level1.0006,Level2.0003,February,33766.8633118
Level1.0006,Level2.0003,March,38756.712542
Level1.0006,Level2.0003,April,41807.0715184
Level1.0006,Level2.0003,May,30733.0610414
Level1.0006,Level2.0003,June,91981.5261682
Level1.0006,Level2.0003,July,59943.0803166
Level1.0006,Level2.0003,August,62973.1802691
Level1.0006,Level2.0003,September,93162.8947413
Level1.0006,Level2.0003,October,36387.1445964
Level1.0006,Level2.0003,November,84191.1394233
Level1.0006,Level2.0003,December,3011.0687686
Level1.0006,Level2.0004,January,75221.6926188
Level1.0006,Level2.0004,February,85085.835365
Level1.0006,Level2.0004,March,20672.7174499
Level1.0006,Level2.0004,April,20901.0692252
Level1.0006,Level2.0004,May,23407.661437
Level1.0006,Level2.0004,June,32169.2178714
Level1.0006,Level2.0004,July,2753.6466057
Level1.0006,Level2.0004,August,77870.8638206
Level1.0006,Level2.0004,September,56969.2289087
Level1.0006,Level2.0004,October,96616.3520326
Level1.0006,Level2.0004,November,68855.6481868
Level1.0006,Level2.0004,December,33337.2809648
Level1.0007,Level2.0000,January,47656.7789793
Level1.0007,Level2.0000,February,974.4314698
Level1.0007,Level2.0000,March,51702.8653047
Level1.0007,Level2.0000,April,83001.4422891
Level1.0007,Level2.0000,May,84572.7810291
Level1.0007,Level2.0000,June,56636.5990797
Level1.0007,Level2.0000,July,74192.2296687
Level1.0007,Level2.0000,August,59547.8847467
Level1.0007,Level2.0000,September,22110.0254136
Level1.0007,Level2.0000,October,72756.9625508
Level1.0007,Level2.0000,November,66068.4733313
Level1.0007,Level2.0000,December,98380.5727062
Level1.0007,Level2.0001,January,36171.5026231
Level1.0007,Level2.0001,February,94722.5623553
Level1.0007,Level2.0001,March,24384.1158237
Level1.0007,Level2.0001,April,44559.494053
Level1.0007,Level2.0001,May,41529.4138391
Level1.0007,Level2.0001,June,94769.7807423
Level1.0007,Level2.0001,July,9554.7945644
Level1.0007,Level2.0001,August,83838.8950287
Level1.0007,Level2.0001,September,33748.8814616
Level1.0007,Level2.0001,October,58163.0911858
Level1.0007,Level2.0001,November,17660.8304103
Level1.0007,Level2.0001,December,99273.6506098
Level1.0007,Level2.0002,January,25438.3842309
Level1.0007,Level2.0002,February,90773.2650817
Level1.0007,Level2.0002,March,6143.8112768
Level1.0007,Level2.0002,April,12766.2783616
Level1.0007,Level2.0002,May,26880.6997926
Level1.0007,Level2.0002,June,86993.0900767
Level1.0007,Level2.0002,July,84899.1707531
Level1.0007,Level2.0002,August,34902.3590408
Level1.0007,Level2.0002,September,90438.2371459
Level1.0007,Level2.0002,October,20483.9137366
Level1.0007,Level2.0002,November,78222.5141757
Level1.0007,Level2.0002,December,33037.9775256
Level1.0007,Level2.0003,January,72741.6566401
Level1.0007,Level2.0003,February,91363.5003091
Level1.0007,Level2.0003,March,65907.8498569
Level1.0007,Level2.0003,April,6432.0753404
Level1.0007,Level2.0003,May,96041.2104886
Level1.0007,Level2.0003,June,89418.551222
Level1.0007,Level2.0003,July,15704.7054812
Level1.0007,Level2.0003,August,28082.9283616
Level1.0007,Level2.0003,September,64463.6081974
Level1.0007,Level2.0003,October,10614.1707927
Level1.0007,Level2.0003,November,73882.9334492
Level1.0007,Level2.0003,December,60971.016625
Level1.0007,Level2.0004,January,78869.0435798
Level1.0007,Level2.0004,February,86386.9963757
Level1.0007,Level2.0004,March,91608.4104684
Level1.0007,Level2.0004,April,90046.3189738
Level1.0007,Level2.0004,May,68386.529935
Level1.0007,Level2.0004,June,70995.7098052
Level1.0007,Level2.0004,July,65810.9965337
Level1.0007,Level2.0004,August,40919.6908382
Level1.0007,Level2.0004,September,86606.8102136
Level1.0007,Level2.0004,October,70179.8135649
Level1.0007,Level2.0004,November,4102.794311
Level1.0007,Level2.0004,December,28659.9807938
Level1.0008,Level2.0000,January,80544.4899578
Level1.0008,Level2.0000,February,78328.388963
Level1.0008,Level2.0000,March,85121.2845936
Level1.0008,Level2.0000,April,2815.6961929
Level1.0008,Level2.0000,May,35198.2784899
Level1.0008,Level2.0000,June,42804.1775219
Level1.0008,Level2.0000,July,31511.1866841
Level1.0008,Level2.0000,August,61225.7393413
Level1.0008,Level2.0000,September,63443.0733986
Level1.0008,Level2.0000,October,48168.87562
Level1.0008,Level2.0000,November,84677.3806332
Level1.0008,Level2.0000,December,19001.3349558
Level1.0008,Level2.0001,January,37565.6484263
Level1.0008,Level2.0001,February,68810.5815392
Level1.0008,Level2.0001,March,42948.7363932
Level1.0008,Level2.0001,April,38843.3244137
Level1.0008,Level2.0001,May,53470.0450852
Level1.0008,Level2.0001,June,32747.9414223
Level1.0008,Level2.0001,July,70018.6045796
Level1.0008,Level2.0001,August,27460.0141616
Level1.0008,Level2.0001,September,12349.6437319
Level1.0008,Level2.0001,October,74995.4589196
Level1.0008,Level2.0001,November,40898.3089058
Level1.0008,Level2.0001,December,81698.7120134
Level1.0008,Level2.0002,January,5425.9898011
Level1.0008,Level2.0002,February,98452.2035718
Level1.0008,Level2.0002,March,89447.0813564
Level1.0008,Level2.0002,April,85950.7210381
Level1.0008,Level2.0002,May,3055.7642677
Level1.0008,Level2.0002,June,12508.3709019
Level1.0008,Level2.0002,July,13095.4487007
Level1.0008,Level2.0002,August,56100.0729378
Level1.0008,Level2.0002,September,61959.8120793
Level1.0008,Level2.0002,October,5269.6620758
Level1.0008,Level2.0002,November,48890.2514442
Level1.0008,Level2.0002,December,23129.1188171
Level1.0008,Level2.0003,January,74257.6161251
Level1.0008,Level2.0003,February,98251.3414144
Level1.0008,Level2.0003,March,60459.5886815
Level1.0008,Level2.0003,April,51781.3970673
Level1.0008,Level2.0003,May,72152.6732084
Level1.0008,Level2.0003,June,17576.0855567
Level1.0008,Level2.0003,July,22468.5946626
Level1.0008,Level2.0003,August,80468.236171
Level1.0008,Level2.0003,September,71636.6265926
Level1.0008,Level2.0003,October,29770.2934623
Level1.0008,Level2.0003,November,50818.7008502
Level1.0008,Level2.0003,December,55907.1444198
Level1.0008,Level2.0004,January,73886.5739629
Level1.0008,Level2.0004,February,67598.4943986
Level1.0008,Level2.0004,March,86315.1706489
Level1.0008,Level2.0004,April,47416.3128362
Level1.0008,Level2.0004,May,27848.4869195
Level1.0008,Level2.0004,June,51727.4434868
Level1.0008,Level2.0004,July,63969.1849614
Level1.0008,Level2.0004,August,40366.7628186
Level1.0008,Level2.0004,September,48040.4111533
Level1.0008,Level2.0004,October,2193.3611622
Level1.0008,Level2.0004,November,82474.9608931
Level1.0008,Level2.0004,December,81647.3531677
Level1.0009,Level2.0000,January,99830.4230913
Level1.0009,Level2.0000,February,99466.3198026
Level1.0009,Level2.0000,March,90306.4699664
Level1.0009,Level2.0000,April,63848.4060512
Level1.0009,Level2.0000,May,85567.2698156
Level1.0009,Level2.0000,June,18425.9514785
Level1.0009,Level2.0000,July,68283.1079816
Level1.0009,Level2.0000,August,98787.2255566
Level1.0009,Level2.0000,September,30406.807784
Level1.0009,Level2.0000,October,79634.2945406
Level1.0009,Level2.0000,November,41266.1185292
Level1.0009,Level2.0000,December,7499.0580387
Level1.0009,Level2.0001,January,27844.5252061
Level1.0009,Level2.0001,February,19110.425595
Level1.0009,Level2.0001,March,26233.1940599
Level1.0009,Level2.0001,April,93416.0880563
Level1.0009,Level2.0001,May,81122.444761
Level1.0009,Level2.0001,June,63374.5012001
Level1.0009,Level2.0001,July,73019.159756
Level1.0009,Level2.0001,August,58087.741611
Level1.0009,Level2.0001,September,14808.6813404
Level1.0009,Level2.0001,October,86880.5113474
Level1.0009,Level2.0001,November,70431.7731981
Level1.0009,Level2.0001,December,18055.7034461
Level1.0009,Level2.0002,January,35347.2178415
Level1.0009,Level2.0002,February,15612.3044439
Level1.0009,Level2.0002,March,80060.9363462
Level1.0009,Level2.0002,April,77054.5259084
Level1.0009,Level2.0002,May,15068.6535779
Level1.0009,Level2.0002,June,1547.8652553
Level1.0009,Level2.0002,July,525.9556006
Level1.0009,Level2.0002,August,91270.9270995
Level1.0009,Level2.0002,September,27973.420414
Level1.0009,Level2.0002,October,48390.7677655
Level1.0009,Level2.0002,November,77309.4566396
Level1.0009,Level2.0002,December,90604.0629413
Level1.0009,Level2.0003,January,11518.0359394
Level1.0009,Level2.0003,February,39169.4053819
Level1.0009,Level2.0003,March,3401.0679617
Level1.0009,Level2.0003,April,85448.998222
Level1.0009,Level2.0003,May,67826.077403
Level1.0009,Level2.0003,June,83597.0793737
Level1.0009,Level2.0003,July,91347.7376853
Level1.0009,Level2.0003,August,36527.6260752
Level1.0009,Level2.0003,September,356.1841615
Level1.0009,Level2.0003,October,47728.0467391
Level1.0009,Level2.0003,November,32059.9062363
Level1.0009,Level2.0003,December,67509.1116108
Level1.0009,Level2.0004,January,1715.1460489
Level1.0009,Level2.0004,February,75758.1265498
Level1.0009,Level2.0004,March,68432.0278284
Level1.0009,Level2.0004,April,13032.7658812
Level1.0009,Level2.0004,May,21966.6800955
Level1.0009,Level2.0004,June,50867.5013116
Level1.0009,Level2.0004,July,81433.8525663
Level1.0009,Level2.0004,August,61130.4714626
Level1.0009,Level2.0004,September,87407.0863726
Level1.0009,Level2.0004,October,53204.8367238
Level1.0009,Level2.0004,November,35781.3357951
Level1.0009,Level2.0004,December,71903.3152998
Level1.0010,Level2.0000,January,89459.717559
Level1.0010,Level2.0000,February,75073.065375
Level1.0010,Level2.0000,March,51157.7333056
Level1.0010,Level2.0000,April,98915.076583
Level1.0010,Level2.0000,May,16136.7575109
Level1.0010,Level2.0000,June,6688.1261619
Level1.0010,Level2.0000,July,40326.5866011
Level1.0010,Level2.0000,August,17886.2018754
Level1.0010,Level2.0000,September,42904.9505497
Level1.0010,Level2.0000,October,28067.6008428
