Date.Fiscal Year,Sales Territory.Country,Product.Products.Category,Product.Products.Subcategory,Product.Products.Model,Sum(Sales.Order Quantity),Sum(Sales.Sales Amount)
FY2019,Germany,Components,Handlebars,LL Mountain Handlebars,,
FY2020,Germany,Components,Handlebars,LL Mountain Handlebars,14,374.136
FY2019,Germany,Components,Handlebars,ML Mountain Handlebars,,
FY2020,Germany,Components,Handlebars,ML Mountain Handlebars,18,668.736
FY2019,Germany,Components,Handlebars,HL Road Handlebars,,
FY2020,Germany,Components,Handlebars,HL Road Handlebars,16,1154.592
FY2019,Germany,Components,Handlebars,HL Touring Handlebars,,
FY2020,Germany,Components,Handlebars,HL Touring Handlebars,28,1538.376
FY2019,Germany,Components,Cranksets,ML Crankset,,
FY2020,Germany,Components,Cranksets,ML Crankset,3,461.682
FY2019,Germany,Components,Cranksets,LL Crankset,,
FY2020,Germany,Components,Cranksets,LL Crankset,17,1789.998
FY2019,Germany,Components,Cranksets,HL Crankset,,
FY2020,Germany,Components,Cranksets,HL Crankset,36,8747.784
FY2019,Germany,Components,Road Frames,LL Road Frame,,
FY2020,Germany,Components,Road Frames,LL Road Frame,15,3034.98
FY2019,Germany,Components,Road Frames,ML Road Frame-W,,
FY2020,Germany,Components,Road Frames,ML Road Frame-W,42,14989.716
FY2019,Germany,Components,Road Frames,HL Road Frame,,
FY2020,Germany,Components,Road Frames,HL Road Frame,21,18036.9
FY2019,Germany,Components,Mountain Frames,ML Mountain Frame-W,,
FY2020,Germany,Components,Mountain Frames,ML Mountain Frame-W,50,10922.7
FY2019,Germany,Components,Mountain Frames,LL Mountain Frame,,
FY2020,Germany,Components,Mountain Frames,LL Mountain Frame,76,11741.22
FY2019,Germany,Components,Mountain Frames,HL Mountain Frame,,
FY2020,Germany,Components,Mountain Frames,HL Mountain Frame,43,35052.12
FY2019,Germany,Components,Touring Frames,LL Touring Frame,,
FY2020,Germany,Components,Touring Frames,LL Touring Frame,191,38209.932
FY2019,Germany,Components,Touring Frames,HL Touring Frame,,
FY2020,Germany,Components,Touring Frames,HL Touring Frame,282,169861.572
FY2019,Germany,Bikes,Mountain Bikes,Mountain-500,2,1079.98
FY2020,Germany,Bikes,Mountain Bikes,Mountain-500,139,54041.2212
FY2019,Germany,Bikes,Mountain Bikes,Mountain-400-W,4,3077.96
FY2020,Germany,Bikes,Mountain Bikes,Mountain-400-W,81,55864.974
FY2019,Germany,Bikes,Mountain Bikes,Mountain-200,91,191142.563
FY2020,Germany,Bikes,Mountain Bikes,Mountain-200,386,784646.6
FY2019,Germany,Bikes,Road Bikes,Road-650,56,43847.44
FY2020,Germany,Bikes,Road Bikes,Road-650,,
FY2019,Germany,Bikes,Road Bikes,Road-750,11,5939.89
FY2020,Germany,Bikes,Road Bikes,Road-750,207,100330.142
FY2019,Germany,Bikes,Road Bikes,Road-550-W,44,44499.46
FY2020,Germany,Bikes,Road Bikes,Road-550-W,152,144767.308
FY2019,Germany,Bikes,Road Bikes,Road-350-W,2,3401.98
FY2020,Germany,Bikes,Road Bikes,Road-350-W,161,238478.798
FY2019,Germany,Bikes,Road Bikes,Road-250,149,343116.15
FY2020,Germany,Bikes,Road Bikes,Road-250,94,185694.6
FY2019,Germany,Bikes,Touring Bikes,Touring-2000,6,7289.1
FY2020,Germany,Bikes,Touring Bikes,Touring-2000,263,215092.1081
FY2019,Germany,Bikes,Touring Bikes,Touring-3000,4,2969.4
FY2020,Germany,Bikes,Touring Bikes,Touring-3000,714,306503.2507
FY2019,Germany,Bikes,Touring Bikes,Touring-1000,6,14304.42
FY2020,Germany,Bikes,Touring Bikes,Touring-1000,698,1052822.477
FY2019,France,Accessories,Locks,Cable Lock,70,1050
FY2020,France,Accessories,Locks,Cable Lock,,
FY2019,France,Accessories,Pumps,Minipump,90,1071.2481
FY2020,France,Accessories,Pumps,Minipump,,
FY2019,France,Accessories,Cleaners,Bike Wash,3,23.85
FY2020,France,Accessories,Cleaners,Bike Wash,278,1435.7255
FY2019,France,Accessories,Fenders,Fender Set - Mountain,2,43.96
FY2020,France,Accessories,Fenders,Fender Set - Mountain,100,2198
FY2019,France,Accessories,Bike Stands,All-Purpose Bike Stand,1,159
FY2020,France,Accessories,Bike Stands,All-Purpose Bike Stand,18,2862
FY2019,France,Accessories,Bottles and Cages,Road Bottle Cage,8,71.92
FY2020,France,Accessories,Bottles and Cages,Road Bottle Cage,168,1510.32
FY2019,France,Accessories,Bottles and Cages,Mountain Bottle Cage,5,49.95
FY2020,France,Accessories,Bottles and Cages,Mountain Bottle Cage,162,1618.38
FY2019,France,Accessories,Bottles and Cages,Water Bottle,12,59.88
FY2020,France,Accessories,Bottles and Cages,Water Bottle,556,2310.7563
FY2019,France,Accessories,Hydration Packs,Hydration Pack,3,164.97
FY2020,France,Accessories,Hydration Packs,Hydration Pack,233,8664.0265
FY2019,France,Accessories,Tires and Tubes,Patch kit,3,6.87
FY2020,France,Accessories,Tires and Tubes,Patch kit,357,747.914
FY2019,France,Accessories,Tires and Tubes,Mountain Tire Tube,,
FY2020,France,Accessories,Tires and Tubes,Mountain Tire Tube,176,878.24
FY2019,France,Accessories,Tires and Tubes,Road Tire Tube,5,19.95
FY2020,France,Accessories,Tires and Tubes,Road Tire Tube,288,1149.12
FY2019,France,Accessories,Tires and Tubes,LL Mountain Tire,,
FY2020,France,Accessories,Tires and Tubes,LL Mountain Tire,55,1374.45
FY2019,France,Accessories,Tires and Tubes,Touring Tire Tube,,
FY2020,France,Accessories,Tires and Tubes,Touring Tire Tube,280,1397.2
FY2019,France,Accessories,Tires and Tubes,HL Mountain Tire,1,35
FY2020,France,Accessories,Tires and Tubes,HL Mountain Tire,64,2240
FY2019,France,Accessories,Tires and Tubes,HL Road Tire,7,228.2
FY2020,France,Accessories,Tires and Tubes,HL Road Tire,66,2151.6
FY2019,France,Accessories,Tires and Tubes,ML Road Tire,2,49.98
FY2020,France,Accessories,Tires and Tubes,ML Road Tire,106,2648.94
FY2019,France,Accessories,Tires and Tubes,ML Mountain Tire,,
FY2020,France,Accessories,Tires and Tubes,ML Mountain Tire,91,2729.09
FY2019,France,Accessories,Tires and Tubes,LL Road Tire,1,21.49
FY2020,France,Accessories,Tires and Tubes,LL Road Tire,150,3223.5
FY2019,France,Accessories,Tires and Tubes,Touring Tire,1,28.99
FY2020,France,Accessories,Tires and Tubes,Touring Tire,164,4754.36
FY2019,France,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,120
FY2020,France,Accessories,Bike Racks,Hitch Rack - 4-Bike,342,24306.624
FY2019,France,Accessories,Helmets,Sport-100,307,6182.4803
FY2020,France,Accessories,Helmets,Sport-100,1214,33850.5227
FY2019,France,Clothing,Socks,Racing Socks,,
FY2020,France,Clothing,Socks,Racing Socks,136,848.656
FY2019,France,Clothing,Caps,Cycling Cap,131,685.3954
FY2020,France,Clothing,Caps,Cycling Cap,456,3248.0412
FY2019,France,Clothing,Bib-Shorts,Men's Bib-Shorts,201,10758.9525
FY2020,France,Clothing,Bib-Shorts,Men's Bib-Shorts,,
FY2019,France,Clothing,Tights,Women's Tights,270,11791.6676
FY2020,France,Clothing,Tights,Women's Tights,,
FY2019,France,Clothing,Gloves,Full-Finger Gloves,282,6267.4649
FY2020,France,Clothing,Gloves,Full-Finger Gloves,,
FY2019,France,Clothing,Gloves,Half-Finger Gloves,133,1920.5881
FY2020,France,Clothing,Gloves,Half-Finger Gloves,476,7868.6934
FY2019,France,Clothing,Vests,Classic Vest,,
FY2020,France,Clothing,Vests,Classic Vest,628,23613.377
FY2019,France,Clothing,Shorts,Men's Sports Shorts,166,5975.004
FY2020,France,Clothing,Shorts,Men's Sports Shorts,,
FY2019,France,Clothing,Shorts,Women's Mountain Shorts,1,69.99
FY2020,France,Clothing,Shorts,Women's Mountain Shorts,533,23118.446
FY2019,France,Clothing,Jerseys,Short-Sleeve Classic Jersey,6,323.94
FY2020,France,Clothing,Jerseys,Short-Sleeve Classic Jersey,801,27898.3499
FY2019,France,Clothing,Jerseys,Long-Sleeve Logo Jersey,303,8659.2026
FY2020,France,Clothing,Jerseys,Long-Sleeve Logo Jersey,630,22079.6731
FY2019,France,Components,Chains,Chain,,
FY2020,France,Components,Chains,Chain,102,1231.6526
FY2019,France,Components,Headsets,LL Headset,2,41.04
FY2020,France,Components,Headsets,LL Headset,,
FY2019,France,Components,Headsets,HL Headset,15,1122.57
FY2020,France,Components,Headsets,HL Headset,,
FY2019,France,Components,Headsets,ML Headset,28,1718.472
FY2020,France,Components,Headsets,ML Headset,,
FY2019,France,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,France,Components,Bottom Brackets,LL Bottom Bracket,35,1133.79
FY2019,France,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,France,Components,Bottom Brackets,HL Bottom Bracket,47,3426.018
FY2019,France,Components,Forks,LL Fork,17,1511.844
FY2020,France,Components,Forks,LL Fork,,
FY2019,France,Components,Forks,HL Fork,23,3166.962
FY2020,France,Components,Forks,HL Fork,,
FY2019,France,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,France,Components,Saddles,LL Touring Seat/Saddle,6,97.632
FY2019,France,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,France,Components,Saddles,ML Touring Seat/Saddle,7,164.388
FY2019,France,Components,Saddles,HL Road Seat/Saddle 2,,
FY2020,France,Components,Saddles,HL Road Seat/Saddle 2,9,284.256
FY2019,France,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,France,Components,Saddles,LL Mountain Seat/Saddle 2,26,423.072
FY2019,France,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,France,Components,Saddles,HL Touring Seat/Saddle,40,1263.36
FY2019,France,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,France,Components,Saddles,ML Mountain Seat/Saddle 2,59,1385.556
FY2019,France,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,France,Components,Saddles,HL Mountain Seat/Saddle 2,48,1516.032
FY2019,France,Components,Brakes,Rear Brakes,,
FY2020,France,Components,Brakes,Rear Brakes,30,1917
FY2019,France,Components,Brakes,Front Brakes,,
FY2020,France,Components,Brakes,Front Brakes,90,5707.2498
FY2019,France,Components,Derailleurs,Rear Derailleur,,
FY2020,France,Components,Derailleurs,Rear Derailleur,43,3133.668
FY2019,France,Components,Derailleurs,Front Derailleur,,
FY2020,France,Components,Derailleurs,Front Derailleur,101,5472.0169
FY2019,France,Components,Handlebars,LL Touring Handlebars,,
FY2020,France,Components,Handlebars,LL Touring Handlebars,5,138.27
FY2019,France,Components,Handlebars,LL Road Handlebars,3,72.8835
FY2020,France,Components,Handlebars,LL Road Handlebars,6,160.344
FY2019,France,Components,Handlebars,HL Mountain Handlebars,6,393.6108
FY2020,France,Components,Handlebars,HL Mountain Handlebars,10,721.62
FY2019,France,Components,Handlebars,HL Touring Handlebars,,
FY2020,France,Components,Handlebars,HL Touring Handlebars,22,1208.724
FY2019,France,Components,Handlebars,LL Mountain Handlebars,18,437.301
FY2020,France,Components,Handlebars,LL Mountain Handlebars,51,1362.924
FY2019,France,Components,Handlebars,HL Road Handlebars,11,721.6198
FY2020,France,Components,Handlebars,HL Road Handlebars,21,1515.402
FY2019,France,Components,Handlebars,ML Mountain Handlebars,29,979.4605
FY2020,France,Components,Handlebars,ML Mountain Handlebars,54,2006.208
FY2019,France,Components,Pedals,Touring Pedal,,
FY2020,France,Components,Pedals,Touring Pedal,12,583.128
FY2019,France,Components,Pedals,ML Mountain Pedal,,
FY2020,France,Components,Pedals,ML Mountain Pedal,28,1043.112
FY2019,France,Components,Pedals,LL Mountain Pedal,,
FY2020,France,Components,Pedals,LL Mountain Pedal,50,1214.7
FY2019,France,Components,Pedals,LL Road Pedal,,
FY2020,France,Components,Pedals,LL Road Pedal,76,1846.344
FY2019,France,Components,Pedals,ML Road Pedal,,
FY2020,France,Components,Pedals,ML Road Pedal,50,1862.7
FY2019,France,Components,Pedals,HL Road Pedal,,
FY2020,France,Components,Pedals,HL Road Pedal,42,2040.948
FY2019,France,Components,Pedals,HL Mountain Pedal,,
FY2020,France,Components,Pedals,HL Mountain Pedal,72,3498.768
FY2019,France,Components,Cranksets,ML Crankset,,
FY2020,France,Components,Cranksets,ML Crankset,8,1231.152
FY2019,France,Components,Cranksets,LL Crankset,,
FY2020,France,Components,Cranksets,LL Crankset,47,4948.818
FY2019,France,Components,Cranksets,HL Crankset,,
FY2020,France,Components,Cranksets,HL Crankset,76,18467.544
FY2019,France,Components,Wheels,ML Road Rear Wheel,2,330.462
FY2020,France,Components,Wheels,ML Road Rear Wheel,,
FY2019,France,Components,Wheels,HL Road Rear Wheel,3,642.708
FY2020,France,Components,Wheels,HL Road Rear Wheel,,
FY2019,France,Components,Wheels,LL Mountain Front Wheel,28,995.562
FY2020,France,Components,Wheels,LL Mountain Front Wheel,,
FY2019,France,Components,Wheels,LL Mountain Rear Wheel,22,1158.234
FY2020,France,Components,Wheels,LL Mountain Rear Wheel,,
FY2019,France,Components,Wheels,ML Mountain Front Wheel,11,1379.565
FY2020,France,Components,Wheels,ML Mountain Front Wheel,,
FY2019,France,Components,Wheels,HL Mountain Front Wheel,12,2161.548
FY2020,France,Components,Wheels,HL Mountain Front Wheel,,
FY2019,France,Components,Wheels,LL Road Rear Wheel,40,2701.56
FY2020,France,Components,Wheels,LL Road Rear Wheel,,
FY2019,France,Components,Wheels,ML Road Front Wheel,32,4768.992
FY2020,France,Components,Wheels,ML Road Front Wheel,,
FY2019,France,Components,Wheels,ML Mountain Rear Wheel,39,5522.985
FY2020,France,Components,Wheels,ML Mountain Rear Wheel,,
FY2019,France,Components,Wheels,HL Road Front Wheel,30,5941.08
FY2020,France,Components,Wheels,HL Road Front Wheel,,
FY2019,France,Components,Wheels,HL Mountain Rear Wheel,32,6282.528
FY2020,France,Components,Wheels,HL Mountain Rear Wheel,,
FY2019,France,Components,Touring Frames,LL Touring Frame,,
FY2020,France,Components,Touring Frames,LL Touring Frame,170,34008.84
FY2019,France,Components,Touring Frames,HL Touring Frame,,
FY2020,France,Components,Touring Frames,HL Touring Frame,238,142596.9826
FY2019,France,Components,Road Frames,LL Road Frame,229,44788.9488
FY2020,France,Components,Road Frames,LL Road Frame,116,23353.2943
FY2019,France,Components,Road Frames,ML Road Frame-W,134,43476.6618
FY2020,France,Components,Road Frames,ML Road Frame-W,140,49965.72
FY2019,France,Components,Road Frames,HL Road Frame,66,51534.0012
FY2020,France,Components,Road Frames,HL Road Frame,67,57546.3
FY2019,France,Components,Mountain Frames,ML Mountain Frame,72,15066.432
FY2020,France,Components,Mountain Frames,ML Mountain Frame,,
FY2019,France,Components,Mountain Frames,ML Mountain Frame-W,20,4185.12
FY2020,France,Components,Mountain Frames,ML Mountain Frame-W,131,28617.474
FY2019,France,Components,Mountain Frames,LL Mountain Frame,,
FY2020,France,Components,Mountain Frames,LL Mountain Frame,291,45170.526
FY2019,France,Components,Mountain Frames,HL Mountain Frame,89,65907.0551
FY2020,France,Components,Mountain Frames,HL Mountain Frame,186,151473.6
FY2019,France,Bikes,Touring Bikes,Touring-2000,1,1214.85
FY2020,France,Bikes,Touring Bikes,Touring-2000,303,234567.1255
FY2019,France,Bikes,Touring Bikes,Touring-3000,2,1484.7
FY2020,France,Bikes,Touring Bikes,Touring-3000,654,283155.7494
FY2019,France,Bikes,Touring Bikes,Touring-1000,4,9536.28
FY2020,France,Bikes,Touring Bikes,Touring-1000,651,967154.9749
FY2019,France,Bikes,Mountain Bikes,Mountain-400-W,2,1538.98
FY2020,France,Bikes,Mountain Bikes,Mountain-400-W,85,53402.606
FY2019,France,Bikes,Mountain Bikes,Mountain-300,113,73223.322
FY2020,France,Bikes,Mountain Bikes,Mountain-300,,
FY2019,France,Bikes,Mountain Bikes,Mountain-500,1,539.99
FY2020,France,Bikes,Mountain Bikes,Mountain-500,247,91006.358
FY2019,France,Bikes,Mountain Bikes,Mountain-200,372,543594.0665
FY2020,France,Bikes,Mountain Bikes,Mountain-200,622,1076675.047
FY2019,France,Bikes,Road Bikes,Road-750,7,3779.93
FY2020,France,Bikes,Road Bikes,Road-750,370,145853.891
FY2019,France,Bikes,Road Bikes,Road-550-W,192,135059.0625
FY2020,France,Bikes,Road Bikes,Road-550-W,230,186897.732
FY2019,France,Bikes,Road Bikes,Road-650,711,341985.7594
FY2020,France,Bikes,Road Bikes,Road-650,,
FY2019,France,Bikes,Road Bikes,Road-350-W,3,5102.97
FY2020,France,Bikes,Road Bikes,Road-350-W,445,511766.8255
FY2019,France,Bikes,Road Bikes,Road-250,387,679691.9756
FY2020,France,Bikes,Road Bikes,Road-250,173,310305.45
FY2019,United Kingdom,Accessories,Pumps,Minipump,59,707.646
FY2020,United Kingdom,Accessories,Pumps,Minipump,,
FY2019,United Kingdom,Accessories,Locks,Cable Lock,49,735
FY2020,United Kingdom,Accessories,Locks,Cable Lock,,
FY2019,United Kingdom,Accessories,Cleaners,Bike Wash,5,39.75
FY2020,United Kingdom,Accessories,Cleaners,Bike Wash,286,1548.2157
FY2019,United Kingdom,Accessories,Fenders,Fender Set - Mountain,2,43.96
FY2020,United Kingdom,Accessories,Fenders,Fender Set - Mountain,142,3121.16
FY2019,United Kingdom,Accessories,Bike Stands,All-Purpose Bike Stand,,
FY2020,United Kingdom,Accessories,Bike Stands,All-Purpose Bike Stand,28,4452
FY2019,United Kingdom,Accessories,Bottles and Cages,Road Bottle Cage,6,53.94
FY2020,United Kingdom,Accessories,Bottles and Cages,Road Bottle Cage,223,2004.77
FY2019,United Kingdom,Accessories,Bottles and Cages,Mountain Bottle Cage,6,59.94
FY2020,United Kingdom,Accessories,Bottles and Cages,Mountain Bottle Cage,204,2037.96
FY2019,United Kingdom,Accessories,Bottles and Cages,Water Bottle,11,54.89
FY2020,United Kingdom,Accessories,Bottles and Cages,Water Bottle,668,2950.5571
FY2019,United Kingdom,Accessories,Hydration Packs,Hydration Pack,1,54.99
FY2020,United Kingdom,Accessories,Hydration Packs,Hydration Pack,260,9852.3219
FY2019,United Kingdom,Accessories,Bike Racks,Hitch Rack - 4-Bike,,
FY2020,United Kingdom,Accessories,Bike Racks,Hitch Rack - 4-Bike,268,20340.66
FY2019,United Kingdom,Accessories,Tires and Tubes,Patch kit,5,11.45
FY2020,United Kingdom,Accessories,Tires and Tubes,Patch kit,376,809.744
FY2019,United Kingdom,Accessories,Tires and Tubes,Mountain Tire Tube,3,14.97
FY2020,United Kingdom,Accessories,Tires and Tubes,Mountain Tire Tube,236,1177.64
FY2019,United Kingdom,Accessories,Tires and Tubes,Road Tire Tube,11,43.89
FY2020,United Kingdom,Accessories,Tires and Tubes,Road Tire Tube,315,1256.85
FY2019,United Kingdom,Accessories,Tires and Tubes,Touring Tire Tube,1,4.99
FY2020,United Kingdom,Accessories,Tires and Tubes,Touring Tire Tube,300,1497
FY2019,United Kingdom,Accessories,Tires and Tubes,HL Road Tire,6,195.6
FY2020,United Kingdom,Accessories,Tires and Tubes,HL Road Tire,56,1825.6
FY2019,United Kingdom,Accessories,Tires and Tubes,LL Mountain Tire,,
FY2020,United Kingdom,Accessories,Tires and Tubes,LL Mountain Tire,83,2074.17
FY2019,United Kingdom,Accessories,Tires and Tubes,HL Mountain Tire,3,105
FY2020,United Kingdom,Accessories,Tires and Tubes,HL Mountain Tire,71,2485
FY2019,United Kingdom,Accessories,Tires and Tubes,ML Road Tire,6,149.94
FY2020,United Kingdom,Accessories,Tires and Tubes,ML Road Tire,111,2773.89
FY2019,United Kingdom,Accessories,Tires and Tubes,LL Road Tire,3,64.47
FY2020,United Kingdom,Accessories,Tires and Tubes,LL Road Tire,144,3094.56
FY2019,United Kingdom,Accessories,Tires and Tubes,ML Mountain Tire,3,89.97
FY2020,United Kingdom,Accessories,Tires and Tubes,ML Mountain Tire,116,3478.84
FY2019,United Kingdom,Accessories,Tires and Tubes,Touring Tire,2,57.98
FY2020,United Kingdom,Accessories,Tires and Tubes,Touring Tire,175,5073.25
FY2019,United Kingdom,Accessories,Helmets,Sport-100,288,6033.1009
FY2020,United Kingdom,Accessories,Helmets,Sport-100,1374,38847.4028
FY2019,United Kingdom,Clothing,Socks,Racing Socks,1,8.99
FY2020,United Kingdom,Clothing,Socks,Racing Socks,219,1404.238
FY2019,United Kingdom,Clothing,Caps,Cycling Cap,126,688.5082
FY2020,United Kingdom,Clothing,Caps,Cycling Cap,562,4140.5306
FY2019,United Kingdom,Clothing,Bib-Shorts,Men's Bib-Shorts,164,8823.7355
