Region,Country,Year,Value Column Name,Value
"Americas","Other","2018","BU","56000"
"Americas","Other","2018","AC","67000"
"Americas","Other","2018","AC - PY","-26000"
"Americas","Other","2018","(AC - PY)%","-0.27956989247311825"
"Americas","Other","2018","AC - BU","11000"
"Americas","Other","2018","(AC - BU)%","0.19642857142857142"
"Americas","Other","2018","BU - PY","-37000"
"Americas","Other","2018","(BU - PY)%","-0.3978494623655914"
"Americas","Other","2018","Running Total of AC - PY","529000"
"Americas","Other","2018","% Cont. of AC","0.07436182019977802"
"Americas","Other","2019","PY","85000"
"Americas","Other","2019","BU","77000"
"Americas","Other","2019","AC","125000"
"Americas","Other","2019","AC - PY","40000"
"Americas","Other","2019","(AC - PY)%","0.4705882352941176"
"Americas","Other","2019","AC - BU","48000"
"Americas","Other","2019","(AC - BU)%","0.6233766233766234"
"Americas","Other","2019","BU - PY","-8000"
"Americas","Other","2019","(BU - PY)%","-0.09411764705882353"
"Americas","Other","2019","Running Total of AC - PY","208000"
"Americas","Other","2019","% Cont. of AC","0.11916110581506195"
"Europe","Poland","2017","PY","0"
"Europe","Poland","2017","BU","144000"
"Europe","Poland","2017","AC","103000"
"Europe","Poland","2017","AC - PY","103000"
"Europe","Poland","2017","(AC - PY)%",
"Europe","Poland","2017","AC - BU","-41000"
"Europe","Poland","2017","(AC - BU)%","-0.2847222222222222"
"Europe","Poland","2017","BU - PY","144000"
"Europe","Poland","2017","(BU - PY)%",
"Europe","Poland","2017","Running Total of AC - PY","103000"
"Europe","Poland","2017","% Cont. of AC","0.14032697547683923"
"Europe","Poland","2018","PY","182000"
"Europe","Poland","2018","BU","136000"
"Europe","Poland","2018","AC","180000"
"Europe","Poland","2018","AC - PY","-2000"
"Europe","Poland","2018","(AC - PY)%","-0.01098901098901099"
"Europe","Poland","2018","AC - BU","44000"
"Europe","Poland","2018","(AC - BU)%","0.32352941176470584"
"Europe","Poland","2018","BU - PY","-46000"
"Europe","Poland","2018","(BU - PY)%","-0.25274725274725274"
"Europe","Poland","2018","Running Total of AC - PY","-2000"
"Europe","Poland","2018","% Cont. of AC","0.35294117647058826"
"Europe","Poland","2019","PY","272000"
"Europe","Poland","2019","BU","228000"
"Europe","Poland","2019","AC","239000"
"Europe","Poland","2019","AC - PY","-33000"
"Europe","Poland","2019","(AC - PY)%","-0.1213235294117647"
"Europe","Poland","2019","AC - BU","11000"
"Europe","Poland","2019","(AC - BU)%","0.04824561403508772"
"Europe","Poland","2019","BU - PY","-44000"
"Europe","Poland","2019","(BU - PY)%","-0.16176470588235292"
"Europe","Poland","2019","Running Total of AC - PY","-33000"
"Europe","Poland","2019","% Cont. of AC","0.186282151208106"
"Europe","Sweden","2017","PY","276000"
"Europe","Sweden","2017","BU","328000"
"Europe","Sweden","2017","AC","176000"
"Europe","Sweden","2017","AC - PY","-100000"
"Europe","Sweden","2017","(AC - PY)%","-0.36231884057971014"
"Europe","Sweden","2017","AC - BU","-152000"
"Europe","Sweden","2017","(AC - BU)%","-0.4634146341463415"
"Europe","Sweden","2017","BU - PY","52000"
"Europe","Sweden","2017","(BU - PY)%","0.1884057971014493"
"Europe","Sweden","2017","Running Total of AC - PY","3000"
"Europe","Sweden","2017","% Cont. of AC","0.23978201634877383"
"Europe","Sweden","2018","PY","345000"
"Europe","Sweden","2018","BU","180000"
"Europe","Sweden","2018","AC",
"Europe","Sweden","2018","AC - PY","-345000"
"Europe","Sweden","2018","(AC - PY)%","-1"
"Europe","Sweden","2018","AC - BU","-180000"
"Europe","Sweden","2018","(AC - BU)%","-1"
"Europe","Sweden","2018","BU - PY","-165000"
"Europe","Sweden","2018","(BU - PY)%","-0.4782608695652174"
"Europe","Sweden","2018","Running Total of AC - PY","-347000"
"Europe","Sweden","2018","% Cont. of AC","0"
"Europe","Sweden","2019","PY","319000"
"Europe","Sweden","2019","BU","298000"
"Europe","Sweden","2019","AC","340000"
"Europe","Sweden","2019","AC - PY","21000"
"Europe","Sweden","2019","(AC - PY)%","0.06583072100313479"
"Europe","Sweden","2019","AC - BU","42000"
"Europe","Sweden","2019","(AC - BU)%","0.14093959731543623"
"Europe","Sweden","2019","BU - PY","-21000"
"Europe","Sweden","2019","(BU - PY)%","-0.06583072100313479"
"Europe","Sweden","2019","Running Total of AC - PY","-12000"
"Europe","Sweden","2019","% Cont. of AC","0.26500389711613404"
"Europe","Belgium","2017","PY","118000"
"Europe","Belgium","2017","BU","176000"
"Europe","Belgium","2017","AC","88000"
"Europe","Belgium","2017","AC - PY","-30000"
"Europe","Belgium","2017","(AC - PY)%","-0.2542372881355932"
"Europe","Belgium","2017","AC - BU","-88000"
"Europe","Belgium","2017","(AC - BU)%","-0.5"
"Europe","Belgium","2017","BU - PY","58000"
"Europe","Belgium","2017","(BU - PY)%","0.4915254237288136"
"Europe","Belgium","2017","Running Total of AC - PY","-27000"
"Europe","Belgium","2017","% Cont. of AC","0.11989100817438691"
"Europe","Belgium","2018","PY","173000"
"Europe","Belgium","2018","BU","147000"
"Europe","Belgium","2018","AC","198000"
"Europe","Belgium","2018","AC - PY","25000"
"Europe","Belgium","2018","(AC - PY)%","0.14450867052023122"
"Europe","Belgium","2018","AC - BU","51000"
"Europe","Belgium","2018","(AC - BU)%","0.3469387755102041"
"Europe","Belgium","2018","BU - PY","-26000"
"Europe","Belgium","2018","(BU - PY)%","-0.15028901734104047"
"Europe","Belgium","2018","Running Total of AC - PY","-322000"
"Europe","Belgium","2018","% Cont. of AC","0.3882352941176471"
"Europe","Belgium","2019","PY","240000"
"Europe","Belgium","2019","BU","203000"
"Europe","Belgium","2019","AC","227000"
"Europe","Belgium","2019","AC - PY","-13000"
"Europe","Belgium","2019","(AC - PY)%","-0.05416666666666667"
"Europe","Belgium","2019","AC - BU","24000"
"Europe","Belgium","2019","(AC - BU)%","0.11822660098522167"
"Europe","Belgium","2019","BU - PY","-37000"
"Europe","Belgium","2019","(BU - PY)%","-0.15416666666666667"
"Europe","Belgium","2019","Running Total of AC - PY","-25000"
"Europe","Belgium","2019","% Cont. of AC","0.17692907248636008"
"Europe","Germany","2017","PY","0"
"Europe","Germany","2017","BU","194000"
"Europe","Germany","2017","AC","107000"
"Europe","Germany","2017","AC - PY","107000"
"Europe","Germany","2017","(AC - PY)%",
"Europe","Germany","2017","AC - BU","-87000"
"Europe","Germany","2017","(AC - BU)%","-0.4484536082474227"
"Europe","Germany","2017","BU - PY","194000"
"Europe","Germany","2017","(BU - PY)%",
"Europe","Germany","2017","Running Total of AC - PY","80000"
"Europe","Germany","2017","% Cont. of AC","0.14577656675749318"
"Europe","Germany","2018","PY","100000"
"Europe","Germany","2018","BU","118000"
"Europe","Germany","2018","AC","91000"
"Europe","Germany","2018","AC - PY","-9000"
"Europe","Germany","2018","(AC - PY)%","-0.09"
"Europe","Germany","2018","AC - BU","-27000"
"Europe","Germany","2018","(AC - BU)%","-0.2288135593220339"
"Europe","Germany","2018","BU - PY","18000"
"Europe","Germany","2018","(BU - PY)%","0.18"
"Europe","Germany","2018","Running Total of AC - PY","-331000"
"Europe","Germany","2018","% Cont. of AC","0.1784313725490196"
"Europe","Germany","2019","PY","190000"
"Europe","Germany","2019","BU","199000"
"Europe","Germany","2019","AC","219000"
"Europe","Germany","2019","AC - PY","29000"
"Europe","Germany","2019","(AC - PY)%","0.15263157894736842"
"Europe","Germany","2019","AC - BU","20000"
"Europe","Germany","2019","(AC - BU)%","0.10050251256281408"
"Europe","Germany","2019","BU - PY","9000"
"Europe","Germany","2019","(BU - PY)%","0.04736842105263159"
"Europe","Germany","2019","Running Total of AC - PY","4000"
"Europe","Germany","2019","% Cont. of AC","0.17069368667186283"
"Europe","France","2017","PY","196000"
"Europe","France","2017","BU","221000"
"Europe","France","2017","AC","118000"
"Europe","France","2017","AC - PY","-78000"
"Europe","France","2017","(AC - PY)%","-0.39795918367346933"
"Europe","France","2017","AC - BU","-103000"
"Europe","France","2017","(AC - BU)%","-0.46606334841628955"
"Europe","France","2017","BU - PY","25000"
"Europe","France","2017","(BU - PY)%","0.12755102040816327"
"Europe","France","2017","Running Total of AC - PY","2000"
"Europe","France","2017","% Cont. of AC","0.16076294277929154"
"Europe","France","2018","PY","0"
"Europe","France","2018","BU","153000"
"Europe","France","2018","AC","0"
"Europe","France","2018","AC - PY","0"
"Europe","France","2018","(AC - PY)%",
"Europe","France","2018","AC - BU","-153000"
"Europe","France","2018","(AC - BU)%","-1"
"Europe","France","2018","BU - PY","153000"
"Europe","France","2018","(BU - PY)%",
"Europe","France","2018","Running Total of AC - PY","-331000"
"Europe","France","2018","% Cont. of AC","0"
"Europe","France","2019","PY","152000"
"Europe","France","2019","BU","242000"
"Europe","France","2019","AC","175000"
"Europe","France","2019","AC - PY","23000"
"Europe","France","2019","(AC - PY)%","0.1513157894736842"
"Europe","France","2019","AC - BU","-67000"
"Europe","France","2019","(AC - BU)%","-0.2768595041322314"
"Europe","France","2019","BU - PY","90000"
"Europe","France","2019","(BU - PY)%","0.5921052631578947"
"Europe","France","2019","Running Total of AC - PY","27000"
"Europe","France","2019","% Cont. of AC","0.1363990646921278"
"Europe","Other","2017","PY","77000"
"Europe","Other","2017","BU","122000"
"Europe","Other","2017","AC","142000"
"Europe","Other","2017","AC - PY","65000"
"Europe","Other","2017","(AC - PY)%","0.8441558441558441"
"Europe","Other","2017","AC - BU","20000"
"Europe","Other","2017","(AC - BU)%","0.16393442622950818"
"Europe","Other","2017","BU - PY","45000"
"Europe","Other","2017","(BU - PY)%","0.5844155844155844"
"Europe","Other","2017","Running Total of AC - PY","67000"
"Europe","Other","2017","% Cont. of AC","0.19346049046321526"
"Europe","Other","2018","PY","0"
"Europe","Other","2018","BU","120000"
"Europe","Other","2018","AC","41000"
"Europe","Other","2018","AC - PY","41000"
"Europe","Other","2018","(AC - PY)%",
"Europe","Other","2018","AC - BU","-79000"
"Europe","Other","2018","(AC - BU)%","-0.6583333333333333"
"Europe","Other","2018","BU - PY","120000"
"Europe","Other","2018","(BU - PY)%",
"Europe","Other","2018","Running Total of AC - PY","-290000"
"Europe","Other","2018","% Cont. of AC","0.08039215686274509"
"Europe","Other","2019","PY","50000"
"Europe","Other","2019","BU","74000"
"Europe","Other","2019","AC","83000"
"Europe","Other","2019","AC - PY","33000"
"Europe","Other","2019","(AC - PY)%","0.66"
"Europe","Other","2019","AC - BU","9000"
"Europe","Other","2019","(AC - BU)%","0.12162162162162163"
"Europe","Other","2019","BU - PY","24000"
"Europe","Other","2019","(BU - PY)%","0.48"
"Europe","Other","2019","Running Total of AC - PY","60000"
"Europe","Other","2019","% Cont. of AC","0.0646921278254092"
"Asia-Pacific","Australia","2017","PY","329000"
"Asia-Pacific","Australia","2017","BU","316000"
"Asia-Pacific","Australia","2017","AC","304000"
"Asia-Pacific","Australia","2017","AC - PY","-25000"
"Asia-Pacific","Australia","2017","(AC - PY)%","-0.07598784194528875"
"Asia-Pacific","Australia","2017","AC - BU","-12000"
"Asia-Pacific","Australia","2017","(AC - BU)%","-0.0379746835443038"
"Asia-Pacific","Australia","2017","BU - PY","-13000"
"Asia-Pacific","Australia","2017","(BU - PY)%","-0.03951367781155015"
"Asia-Pacific","Australia","2017","Running Total of AC - PY","-25000"
"Asia-Pacific","Australia","2017","% Cont. of AC","0.37810945273631835"
"Asia-Pacific","Australia","2018","PY","180000"
"Asia-Pacific","Australia","2018","BU","300000"
"Asia-Pacific","Australia","2018","AC","335000"
"Asia-Pacific","Australia","2018","AC - PY","155000"
"Asia-Pacific","Australia","2018","(AC - PY)%","0.8611111111111112"
"Asia-Pacific","Australia","2018","AC - BU","35000"
"Asia-Pacific","Australia","2018","(AC - BU)%","0.11666666666666665"
"Asia-Pacific","Australia","2018","BU - PY","120000"
"Asia-Pacific","Australia","2018","(BU - PY)%","0.6666666666666665"
"Asia-Pacific","Australia","2018","Running Total of AC - PY","155000"
"Asia-Pacific","Australia","2018","% Cont. of AC","0.3530031612223393"
"Asia-Pacific","Australia","2019","PY","217000"
"Asia-Pacific","Australia","2019","BU","390000"
"Asia-Pacific","Australia","2019","AC","80000"
"Asia-Pacific","Australia","2019","AC - PY","-137000"
"Asia-Pacific","Australia","2019","(AC - PY)%","-0.631336405529954"
"Asia-Pacific","Australia","2019","AC - BU","-310000"
"Asia-Pacific","Australia","2019","(AC - BU)%","-0.7948717948717949"
"Asia-Pacific","Australia","2019","BU - PY","173000"
"Asia-Pacific","Australia","2019","(BU - PY)%","0.7972350230414746"
"Asia-Pacific","Australia","2019","Running Total of AC - PY","-137000"
"Asia-Pacific","Australia","2019","% Cont. of AC","0.15296367112810708"
"Asia-Pacific","Japan","2017","PY","264000"
"Asia-Pacific","Japan","2017","BU","306000"
"Asia-Pacific","Japan","2017","AC","206000"
"Asia-Pacific","Japan","2017","AC - PY","-58000"
"Asia-Pacific","Japan","2017","(AC - PY)%","-0.2196969696969697"
"Asia-Pacific","Japan","2017","AC - BU","-100000"
"Asia-Pacific","Japan","2017","(AC - BU)%","-0.326797385620915"
"Asia-Pacific","Japan","2017","BU - PY","42000"
"Asia-Pacific","Japan","2017","(BU - PY)%","0.1590909090909091"
"Asia-Pacific","Japan","2017","Running Total of AC - PY","-83000"
"Asia-Pacific","Japan","2017","% Cont. of AC","0.2562189054726368"
"Asia-Pacific","Japan","2018","PY","187000"
"Asia-Pacific","Japan","2018","BU","408000"
"Asia-Pacific","Japan","2018","AC","249000"
"Asia-Pacific","Japan","2018","AC - PY","62000"
"Asia-Pacific","Japan","2018","(AC - PY)%","0.3315508021390374"
"Asia-Pacific","Japan","2018","AC - BU","-159000"
"Asia-Pacific","Japan","2018","(AC - BU)%","-0.3897058823529412"
"Asia-Pacific","Japan","2018","BU - PY","221000"
"Asia-Pacific","Japan","2018","(BU - PY)%","1.1818181818181819"
"Asia-Pacific","Japan","2018","Running Total of AC - PY","217000"
"Asia-Pacific","Japan","2018","% Cont. of AC","0.2623814541622761"
"Asia-Pacific","Japan","2019","PY","279000"
"Asia-Pacific","Japan","2019","BU","315000"
"Asia-Pacific","Japan","2019","AC","229000"
"Asia-Pacific","Japan","2019","AC - PY","-50000"
"Asia-Pacific","Japan","2019","(AC - PY)%","-0.17921146953405018"
"Asia-Pacific","Japan","2019","AC - BU","-86000"
"Asia-Pacific","Japan","2019","(AC - BU)%","-0.273015873015873"
"Asia-Pacific","Japan","2019","BU - PY","36000"
"Asia-Pacific","Japan","2019","(BU - PY)%","0.12903225806451613"
"Asia-Pacific","Japan","2019","Running Total of AC - PY","-187000"
"Asia-Pacific","Japan","2019","% Cont. of AC","0.4378585086042065"
"Asia-Pacific","China","2017","PY","308000"
"Asia-Pacific","China","2017","BU","317000"
"Asia-Pacific","China","2017","AC","244000"
"Asia-Pacific","China","2017","AC - PY","-64000"
"Asia-Pacific","China","2017","(AC - PY)%","-0.20779220779220778"
"Asia-Pacific","China","2017","AC - BU","-73000"
"Asia-Pacific","China","2017","(AC - BU)%","-0.2302839116719243"
"Asia-Pacific","China","2017","BU - PY","9000"
"Asia-Pacific","China","2017","(BU - PY)%","0.029220779220779217"
"Asia-Pacific","China","2017","Running Total of AC - PY","-147000"
"Asia-Pacific","China","2017","% Cont. of AC","0.3034825870646766"
"Asia-Pacific","China","2018","PY","318000"
"Asia-Pacific","China","2018","BU","290000"
"Asia-Pacific","China","2018","AC","287000"
"Asia-Pacific","China","2018","AC - PY","-31000"
"Asia-Pacific","China","2018","(AC - PY)%","-0.09748427672955975"
"Asia-Pacific","China","2018","AC - BU","-3000"
"Asia-Pacific","China","2018","(AC - BU)%","-0.010344827586206896"
"Asia-Pacific","China","2018","BU - PY","-28000"
"Asia-Pacific","China","2018","(BU - PY)%","-0.0880503144654088"
"Asia-Pacific","China","2018","Running Total of AC - PY","186000"
"Asia-Pacific","China","2018","% Cont. of AC","0.30242360379346683"
"Asia-Pacific","China","2019","PY","321000"
"Asia-Pacific","China","2019","BU","305000"
"Asia-Pacific","China","2019","AC","145000"
"Asia-Pacific","China","2019","AC - PY","-176000"
"Asia-Pacific","China","2019","(AC - PY)%","-0.5482866043613707"
"Asia-Pacific","China","2019","AC - BU","-160000"
"Asia-Pacific","China","2019","(AC - BU)%","-0.5245901639344263"
"Asia-Pacific","China","2019","BU - PY","-16000"
"Asia-Pacific","China","2019","(BU - PY)%","-0.04984423676012461"
"Asia-Pacific","China","2019","Running Total of AC - PY","-363000"
"Asia-Pacific","China","2019","% Cont. of AC","0.27724665391969405"
"Asia-Pacific","Other","2017","PY","134000"
"Asia-Pacific","Other","2017","BU","93000"
"Asia-Pacific","Other","2017","AC","50000"
"Asia-Pacific","Other","2017","AC - PY","-84000"
"Asia-Pacific","Other","2017","(AC - PY)%","-0.6268656716417911"
"Asia-Pacific","Other","2017","AC - BU","-43000"
"Asia-Pacific","Other","2017","(AC - BU)%","-0.46236559139784944"
"Asia-Pacific","Other","2017","BU - PY","-41000"
"Asia-Pacific","Other","2017","(BU - PY)%","-0.30597014925373134"
"Asia-Pacific","Other","2017","Running Total of AC - PY","-231000"
"Asia-Pacific","Other","2017","% Cont. of AC","0.06218905472636816"
"Asia-Pacific","Other","2018","PY","78000"
"Asia-Pacific","Other","2018","BU","130000"
"Asia-Pacific","Other","2018","AC","78000"
"Asia-Pacific","Other","2018","AC - PY","0"
"Asia-Pacific","Other","2018","(AC - PY)%","0"
"Asia-Pacific","Other","2018","AC - BU","-52000"
"Asia-Pacific","Other","2018","(AC - BU)%","-0.4"
"Asia-Pacific","Other","2018","BU - PY","52000"
"Asia-Pacific","Other","2018","(BU - PY)%","0.6666666666666665"
"Asia-Pacific","Other","2018","Running Total of AC - PY","186000"
"Asia-Pacific","Other","2018","% Cont. of AC","0.0821917808219178"
"Asia-Pacific","Other","2019","PY","66000"
"Asia-Pacific","Other","2019","BU","95000"
"Asia-Pacific","Other","2019","AC","69000"
"Asia-Pacific","Other","2019","AC - PY","3000"
"Asia-Pacific","Other","2019","(AC - PY)%","0.045454545454545456"
"Asia-Pacific","Other","2019","AC - BU","-26000"
"Asia-Pacific","Other","2019","(AC - BU)%","-0.2736842105263158"
"Asia-Pacific","Other","2019","BU - PY","29000"
"Asia-Pacific","Other","2019","(BU - PY)%","0.4393939393939394"
"Asia-Pacific","Other","2019","Running Total of AC - PY","-360000"
"Asia-Pacific","Other","2019","% Cont. of AC","0.13193116634799235"
