Orders.Order Date	Orders.Category	Orders.Sub-Category	Sum(Orders.Profit)	Sum(Orders.Sales)
Thursday, January 30, 2014	Furniture	Furnishings		
Friday, January 31, 2014	Furniture	Furnishings		
Saturday, February 01, 2014	Furniture	Furnishings		
Sunday, February 02, 2014	Furniture	Furnishings		
Monday, February 03, 2014	Furniture	Furnishings		
Tuesday, February 04, 2014	Furniture	Furnishings		
Thursday, February 06, 2014	Furniture	Furnishings		
Friday, February 07, 2014	Furniture	Furnishings		
Saturday, February 08, 2014	Furniture	Furnishings	5.5328	14.56
Tuesday, February 11, 2014	Furniture	Furnishings	53.2704	332.94
Wednesday, February 12, 2014	Furniture	Furnishings		
Friday, February 14, 2014	Furniture	Furnishings		
Saturday, February 15, 2014	Furniture	Furnishings		
Sunday, February 16, 2014	Furniture	Furnishings		
Monday, February 17, 2014	Furniture	Furnishings		
Tuesday, February 18, 2014	Furniture	Furnishings	-11.322	25.16
Thursday, February 20, 2014	Furniture	Furnishings	6.9088	20.32
Friday, February 21, 2014	Furniture	Furnishings		
Saturday, February 22, 2014	Furniture	Furnishings		
Sunday, February 23, 2014	Furniture	Furnishings		
Monday, February 24, 2014	Furniture	Furnishings		
Thursday, February 27, 2014	Furniture	Furnishings		
Saturday, March 01, 2014	Furniture	Furnishings	-34.9536	63.552
Sunday, March 02, 2014	Furniture	Furnishings		
Monday, March 03, 2014	Furniture	Furnishings		
Tuesday, March 04, 2014	Furniture	Furnishings		
Wednesday, March 05, 2014	Furniture	Furnishings		
Friday, March 07, 2014	Furniture	Furnishings		
Monday, March 10, 2014	Furniture	Furnishings		
Tuesday, March 11, 2014	Furniture	Furnishings	2.288	8.32
Friday, March 14, 2014	Furniture	Furnishings		
Saturday, March 15, 2014	Furniture	Furnishings	5.1408	45.696
Sunday, March 16, 2014	Furniture	Furnishings		
Monday, March 17, 2014	Furniture	Furnishings		
Tuesday, March 18, 2014	Furniture	Furnishings	37.8006	264.12
Wednesday, March 19, 2014	Furniture	Furnishings	6.8772	25.008
Friday, March 21, 2014	Furniture	Furnishings	6.5904	32.952
Saturday, March 22, 2014	Furniture	Furnishings		
Sunday, March 23, 2014	Furniture	Furnishings		
Monday, March 24, 2014	Furniture	Furnishings	14.5728	40.48
Friday, January 03, 2014	Furniture	Tables		
Saturday, January 04, 2014	Furniture	Tables		
Sunday, January 05, 2014	Furniture	Tables		
Monday, January 06, 2014	Furniture	Tables		
Tuesday, January 07, 2014	Furniture	Tables		
Thursday, January 09, 2014	Furniture	Tables		
Friday, January 10, 2014	Furniture	Tables		
Saturday, January 11, 2014	Furniture	Tables		
Monday, January 13, 2014	Furniture	Tables		
Tuesday, January 14, 2014	Furniture	Tables		
Wednesday, January 15, 2014	Furniture	Tables		
Thursday, January 16, 2014	Furniture	Tables		
Saturday, January 18, 2014	Furniture	Tables		
Sunday, January 19, 2014	Furniture	Tables		
Monday, January 20, 2014	Furniture	Tables		
Tuesday, January 21, 2014	Furniture	Tables		
Thursday, January 23, 2014	Furniture	Tables		
Sunday, January 26, 2014	Furniture	Tables		
Monday, January 27, 2014	Furniture	Tables	-16.65	333
Tuesday, January 28, 2014	Furniture	Tables		
Thursday, January 30, 2014	Furniture	Tables		
Friday, January 31, 2014	Furniture	Tables		
Saturday, February 01, 2014	Furniture	Tables		
Sunday, February 02, 2014	Furniture	Tables		
Monday, February 03, 2014	Furniture	Tables		
Tuesday, February 04, 2014	Furniture	Tables		
Thursday, February 06, 2014	Furniture	Tables		
Friday, February 07, 2014	Furniture	Tables		
Saturday, February 08, 2014	Furniture	Tables		
Tuesday, February 11, 2014	Furniture	Tables	75.3732	1256.22
Wednesday, February 12, 2014	Furniture	Tables		
Friday, February 14, 2014	Furniture	Tables		
Saturday, February 15, 2014	Furniture	Tables		
Sunday, February 16, 2014	Furniture	Tables		
Monday, February 17, 2014	Furniture	Tables		
Tuesday, February 18, 2014	Furniture	Tables		
Thursday, February 20, 2014	Furniture	Tables		
Friday, February 21, 2014	Furniture	Tables		
Saturday, February 22, 2014	Furniture	Tables		
Sunday, February 23, 2014	Furniture	Tables		
Monday, February 24, 2014	Furniture	Tables		
Thursday, February 27, 2014	Furniture	Tables		
Saturday, March 01, 2014	Furniture	Tables	-43.0296	376.509
Sunday, March 02, 2014	Furniture	Tables		
Monday, March 03, 2014	Furniture	Tables	-23.4882	626.352
Tuesday, March 04, 2014	Furniture	Tables		
Wednesday, March 05, 2014	Furniture	Tables		
Friday, March 07, 2014	Furniture	Tables		
Monday, March 10, 2014	Furniture	Tables		
Tuesday, March 11, 2014	Furniture	Tables		
Friday, March 14, 2014	Furniture	Tables		
Saturday, March 15, 2014	Furniture	Tables		
Sunday, March 16, 2014	Furniture	Tables		
Monday, March 17, 2014	Furniture	Tables	-1124.0239	3265.23
Tuesday, March 18, 2014	Furniture	Tables		
Wednesday, March 19, 2014	Furniture	Tables		
Friday, March 21, 2014	Furniture	Tables		
Saturday, March 22, 2014	Furniture	Tables		
Sunday, March 23, 2014	Furniture	Tables		
Monday, March 24, 2014	Furniture	Tables		
Friday, January 03, 2014	Office Supplies	Appliances		
Saturday, January 04, 2014	Office Supplies	Appliances		
Sunday, January 05, 2014	Office Supplies	Appliances		
Monday, January 06, 2014	Office Supplies	Appliances		
Tuesday, January 07, 2014	Office Supplies	Appliances		
Thursday, January 09, 2014	Office Supplies	Appliances		
Friday, January 10, 2014	Office Supplies	Appliances		
Saturday, January 11, 2014	Office Supplies	Appliances		
Monday, January 13, 2014	Office Supplies	Appliances		
Tuesday, January 14, 2014	Office Supplies	Appliances		
Wednesday, January 15, 2014	Office Supplies	Appliances		
Thursday, January 16, 2014	Office Supplies	Appliances		
Saturday, January 18, 2014	Office Supplies	Appliances	6.4864	64.864
Sunday, January 19, 2014	Office Supplies	Appliances		
Monday, January 20, 2014	Office Supplies	Appliances	93.5816	247.716
Tuesday, January 21, 2014	Office Supplies	Appliances		
Thursday, January 23, 2014	Office Supplies	Appliances		
Sunday, January 26, 2014	Office Supplies	Appliances		
Monday, January 27, 2014	Office Supplies	Appliances		
Tuesday, January 28, 2014	Office Supplies	Appliances		
Thursday, January 30, 2014	Office Supplies	Appliances		
Friday, January 31, 2014	Office Supplies	Appliances		
Saturday, February 01, 2014	Office Supplies	Appliances		
Sunday, February 02, 2014	Office Supplies	Appliances		
Monday, February 03, 2014	Office Supplies	Appliances		
Tuesday, February 04, 2014	Office Supplies	Appliances		
Thursday, February 06, 2014	Office Supplies	Appliances		
Friday, February 07, 2014	Office Supplies	Appliances		
Saturday, February 08, 2014	Office Supplies	Appliances		
Tuesday, February 11, 2014	Office Supplies	Appliances		
Wednesday, February 12, 2014	Office Supplies	Appliances		
Friday, February 14, 2014	Office Supplies	Appliances	22.9488	81.96
Saturday, February 15, 2014	Office Supplies	Appliances		
Sunday, February 16, 2014	Office Supplies	Appliances	-13.93	7.96
Monday, February 17, 2014	Office Supplies	Appliances		
Tuesday, February 18, 2014	Office Supplies	Appliances		
Thursday, February 20, 2014	Office Supplies	Appliances		
Friday, February 21, 2014	Office Supplies	Appliances		
Saturday, February 22, 2014	Office Supplies	Appliances		
Sunday, February 23, 2014	Office Supplies	Appliances		
Monday, February 24, 2014	Office Supplies	Appliances		
Thursday, February 27, 2014	Office Supplies	Appliances		
Saturday, March 01, 2014	Office Supplies	Appliances		
Sunday, March 02, 2014	Office Supplies	Appliances		
Monday, March 03, 2014	Office Supplies	Appliances	-459.6072	176.772
Tuesday, March 04, 2014	Office Supplies	Appliances		
Wednesday, March 05, 2014	Office Supplies	Appliances		
Friday, March 07, 2014	Office Supplies	Appliances		
Monday, March 10, 2014	Office Supplies	Appliances		
Tuesday, March 11, 2014	Office Supplies	Appliances	38.1576	146.76
Friday, March 14, 2014	Office Supplies	Appliances		
Saturday, March 15, 2014	Office Supplies	Appliances		
Sunday, March 16, 2014	Office Supplies	Appliances		
Monday, March 17, 2014	Office Supplies	Appliances	45.0684	126.45
Tuesday, March 18, 2014	Office Supplies	Appliances		
Wednesday, March 19, 2014	Office Supplies	Appliances		
Friday, March 21, 2014	Office Supplies	Appliances		
Saturday, March 22, 2014	Office Supplies	Appliances		
Sunday, March 23, 2014	Office Supplies	Appliances		
Monday, March 24, 2014	Office Supplies	Appliances		
Friday, January 03, 2014	Office Supplies	Art		
Saturday, January 04, 2014	Office Supplies	Art		
Sunday, January 05, 2014	Office Supplies	Art	4.884	19.536
Monday, January 06, 2014	Office Supplies	Art	6.7194	18.26
Tuesday, January 07, 2014	Office Supplies	Art		
Thursday, January 09, 2014	Office Supplies	Art	1.168	9.344
Friday, January 10, 2014	Office Supplies	Art		
Saturday, January 11, 2014	Office Supplies	Art		
Monday, January 13, 2014	Office Supplies	Art	6.567	19.9
Tuesday, January 14, 2014	Office Supplies	Art		
Wednesday, January 15, 2014	Office Supplies	Art		
Thursday, January 16, 2014	Office Supplies	Art		
Saturday, January 18, 2014	Office Supplies	Art		
Sunday, January 19, 2014	Office Supplies	Art		
Monday, January 20, 2014	Office Supplies	Art	21.1853	73.51
Tuesday, January 21, 2014	Office Supplies	Art		
Thursday, January 23, 2014	Office Supplies	Art		
Sunday, January 26, 2014	Office Supplies	Art		
Monday, January 27, 2014	Office Supplies	Art	12.0252	36.44
Tuesday, January 28, 2014	Office Supplies	Art		
Thursday, January 30, 2014	Office Supplies	Art		
Friday, January 31, 2014	Office Supplies	Art		
Saturday, February 01, 2014	Office Supplies	Art		
Sunday, February 02, 2014	Office Supplies	Art		
Monday, February 03, 2014	Office Supplies	Art		
Tuesday, February 04, 2014	Office Supplies	Art		
Thursday, February 06, 2014	Office Supplies	Art		
Friday, February 07, 2014	Office Supplies	Art		
Saturday, February 08, 2014	Office Supplies	Art		
Tuesday, February 11, 2014	Office Supplies	Art		
Wednesday, February 12, 2014	Office Supplies	Art		
Friday, February 14, 2014	Office Supplies	Art		
Saturday, February 15, 2014	Office Supplies	Art		
Sunday, February 16, 2014	Office Supplies	Art		
Monday, February 17, 2014	Office Supplies	Art	8.8088	54.208
Tuesday, February 18, 2014	Office Supplies	Art		
Thursday, February 20, 2014	Office Supplies	Art		
Friday, February 21, 2014	Office Supplies	Art		
Saturday, February 22, 2014	Office Supplies	Art		
Sunday, February 23, 2014	Office Supplies	Art		
Monday, February 24, 2014	Office Supplies	Art		
Thursday, February 27, 2014	Office Supplies	Art	3.4048	19.456
Saturday, March 01, 2014	Office Supplies	Art		
Sunday, March 02, 2014	Office Supplies	Art		
Monday, March 03, 2014	Office Supplies	Art	3.4048	19.456
Tuesday, March 04, 2014	Office Supplies	Art	2.3328	15.552
Wednesday, March 05, 2014	Office Supplies	Art	15.4752	59.52
Friday, March 07, 2014	Office Supplies	Art	14.1634	38.59
Monday, March 10, 2014	Office Supplies	Art	9.3564	83.168
Tuesday, March 11, 2014	Office Supplies	Art	2.0748	7.98
Friday, March 14, 2014	Office Supplies	Art	1.2506	3.38
Saturday, March 15, 2014	Office Supplies	Art		
Sunday, March 16, 2014	Office Supplies	Art		
Monday, March 17, 2014	Office Supplies	Art	6.0408	24.128
Tuesday, March 18, 2014	Office Supplies	Art	1.002	8.016
Wednesday, March 19, 2014	Office Supplies	Art		
Friday, March 21, 2014	Office Supplies	Art	5.4942	22.776
Saturday, March 22, 2014	Office Supplies	Art	6.512	16.28
Sunday, March 23, 2014	Office Supplies	Art		
Monday, March 24, 2014	Office Supplies	Art		
Friday, January 03, 2014	Office Supplies	Binders		
Saturday, January 04, 2014	Office Supplies	Binders	-5.487	3.54
Sunday, January 05, 2014	Office Supplies	Binders		
Monday, January 06, 2014	Office Supplies	Binders	274.491	609.98
Tuesday, January 07, 2014	Office Supplies	Binders	-18.2525	10.43
Thursday, January 09, 2014	Office Supplies	Binders		
Friday, January 10, 2014	Office Supplies	Binders		
Saturday, January 11, 2014	Office Supplies	Binders		
Monday, January 13, 2014	Office Supplies	Binders	0.186	9.078
Tuesday, January 14, 2014	Office Supplies	Binders		
Wednesday, January 15, 2014	Office Supplies	Binders		
Thursday, January 16, 2014	Office Supplies	Binders	-13.6312	18.588
Saturday, January 18, 2014	Office Supplies	Binders		
Sunday, January 19, 2014	Office Supplies	Binders	-23.716	32.34
Monday, January 20, 2014	Office Supplies	Binders	-29.1969	115.944
Tuesday, January 21, 2014	Office Supplies	Binders		
Thursday, January 23, 2014	Office Supplies	Binders		
Sunday, January 26, 2014	Office Supplies	Binders	5.0196	10.68
Monday, January 27, 2014	Office Supplies	Binders		
Tuesday, January 28, 2014	Office Supplies	Binders	1.3257	3.928
Thursday, January 30, 2014	Office Supplies	Binders		
Friday, January 31, 2014	Office Supplies	Binders		
Saturday, February 01, 2014	Office Supplies	Binders		
Sunday, February 02, 2014	Office Supplies	Binders	-12.224	18.336
Monday, February 03, 2014	Office Supplies	Binders	31.5614	97.112
Tuesday, February 04, 2014	Office Supplies	Binders	35.0504	100.144
Thursday, February 06, 2014	Office Supplies	Binders	-14.7708	8.952
Friday, February 07, 2014	Office Supplies	Binders		
Saturday, February 08, 2014	Office Supplies	Binders		
Tuesday, February 11, 2014	Office Supplies	Binders	37.0336	79
Wednesday, February 12, 2014	Office Supplies	Binders		
Friday, February 14, 2014	Office Supplies	Binders		
Saturday, February 15, 2014	Office Supplies	Binders	7.209	21.36
Sunday, February 16, 2014	Office Supplies	Binders	-1.728	1.08
Monday, February 17, 2014	Office Supplies	Binders		
Tuesday, February 18, 2014	Office Supplies	Binders		
Thursday, February 20, 2014	Office Supplies	Binders		
Friday, February 21, 2014	Office Supplies	Binders	-13.7175	8.85
Saturday, February 22, 2014	Office Supplies	Binders		
Sunday, February 23, 2014	Office Supplies	Binders	-6.8634	4.428
Monday, February 24, 2014	Office Supplies	Binders		
Thursday, February 27, 2014	Office Supplies	Binders		
Saturday, March 01, 2014	Office Supplies	Binders		
Sunday, March 02, 2014	Office Supplies	Binders		
Monday, March 03, 2014	Office Supplies	Binders	50.0505	151.08
Tuesday, March 04, 2014	Office Supplies	Binders		
Wednesday, March 05, 2014	Office Supplies	Binders	16.7508	49.632
Friday, March 07, 2014	Office Supplies	Binders	33.64	107.648
Monday, March 10, 2014	Office Supplies	Binders		
Tuesday, March 11, 2014	Office Supplies	Binders		
Friday, March 14, 2014	Office Supplies	Binders	31.3328	95.136
Saturday, March 15, 2014	Office Supplies	Binders	-37.205	50.406
Sunday, March 16, 2014	Office Supplies	Binders		
Monday, March 17, 2014	Office Supplies	Binders	62.6081	131.15
Tuesday, March 18, 2014	Office Supplies	Binders		
Wednesday, March 19, 2014	Office Supplies	Binders	-25.737	33.57
Friday, March 21, 2014	Office Supplies	Binders	59.0112	122.94
Saturday, March 22, 2014	Office Supplies	Binders	-45.3169	59.109
Sunday, March 23, 2014	Office Supplies	Binders		
Monday, March 24, 2014	Office Supplies	Binders		
Friday, January 03, 2014	Office Supplies	Envelopes		
Saturday, January 04, 2014	Office Supplies	Envelopes		
Sunday, January 05, 2014	Office Supplies	Envelopes		
Monday, January 06, 2014	Office Supplies	Envelopes		
Tuesday, January 07, 2014	Office Supplies	Envelopes		
Thursday, January 09, 2014	Office Supplies	Envelopes		
Friday, January 10, 2014	Office Supplies	Envelopes		
Saturday, January 11, 2014	Office Supplies	Envelopes		
Monday, January 13, 2014	Office Supplies	Envelopes	30.8092	62.3
Tuesday, January 14, 2014	Office Supplies	Envelopes		
Wednesday, January 15, 2014	Office Supplies	Envelopes		
Thursday, January 16, 2014	Office Supplies	Envelopes		
Saturday, January 18, 2014	Office Supplies	Envelopes		
Sunday, January 19, 2014	Office Supplies	Envelopes	36.693	108.72
Monday, January 20, 2014	Office Supplies	Envelopes	10.9698	23.34
Tuesday, January 21, 2014	Office Supplies	Envelopes		
Thursday, January 23, 2014	Office Supplies	Envelopes		
Sunday, January 26, 2014	Office Supplies	Envelopes		
Monday, January 27, 2014	Office Supplies	Envelopes		
Tuesday, January 28, 2014	Office Supplies	Envelopes		
Thursday, January 30, 2014	Office Supplies	Envelopes		
Friday, January 31, 2014	Office Supplies	Envelopes		
Saturday, February 01, 2014	Office Supplies	Envelopes		
Sunday, February 02, 2014	Office Supplies	Envelopes		
Monday, February 03, 2014	Office Supplies	Envelopes		
Tuesday, February 04, 2014	Office Supplies	Envelopes		
Thursday, February 06, 2014	Office Supplies	Envelopes		
Friday, February 07, 2014	Office Supplies	Envelopes		
Saturday, February 08, 2014	Office Supplies	Envelopes		
Tuesday, February 11, 2014	Office Supplies	Envelopes		
Wednesday, February 12, 2014	Office Supplies	Envelopes		
Friday, February 14, 2014	Office Supplies	Envelopes		
Saturday, February 15, 2014	Office Supplies	Envelopes		
Sunday, February 16, 2014	Office Supplies	Envelopes		
Monday, February 17, 2014	Office Supplies	Envelopes		
Tuesday, February 18, 2014	Office Supplies	Envelopes		
Thursday, February 20, 2014	Office Supplies	Envelopes		
Friday, February 21, 2014	Office Supplies	Envelopes		
Saturday, February 22, 2014	Office Supplies	Envelopes		
Sunday, February 23, 2014	Office Supplies	Envelopes		
Monday, February 24, 2014	Office Supplies	Envelopes		
Thursday, February 27, 2014	Office Supplies	Envelopes		
Saturday, March 01, 2014	Office Supplies	Envelopes		
Sunday, March 02, 2014	Office Supplies	Envelopes	5.3392	11.36
Monday, March 03, 2014	Office Supplies	Envelopes		
Tuesday, March 04, 2014	Office Supplies	Envelopes		
Wednesday, March 05, 2014	Office Supplies	Envelopes		
Friday, March 07, 2014	Office Supplies	Envelopes		
Monday, March 10, 2014	Office Supplies	Envelopes		
Tuesday, March 11, 2014	Office Supplies	Envelopes		
Friday, March 14, 2014	Office Supplies	Envelopes		
Saturday, March 15, 2014	Office Supplies	Envelopes		
Sunday, March 16, 2014	Office Supplies	Envelopes		
Monday, March 17, 2014	Office Supplies	Envelopes		
Tuesday, March 18, 2014	Office Supplies	Envelopes		
Wednesday, March 19, 2014	Office Supplies	Envelopes		
Friday, March 21, 2014	Office Supplies	Envelopes		
Saturday, March 22, 2014	Office Supplies	Envelopes		
Sunday, March 23, 2014	Office Supplies	Envelopes		
Monday, March 24, 2014	Office Supplies	Envelopes		
Friday, January 03, 2014	Office Supplies	Fasteners		
Saturday, January 04, 2014	Office Supplies	Fasteners		
Sunday, January 05, 2014	Office Supplies	Fasteners		
Monday, January 06, 2014	Office Supplies	Fasteners	0.3112	31.12
Tuesday, January 07, 2014	Office Supplies	Fasteners		
Thursday, January 09, 2014	Office Supplies	Fasteners		
Friday, January 10, 2014	Office Supplies	Fasteners		
Saturday, January 11, 2014	Office Supplies	Fasteners		
Monday, January 13, 2014	Office Supplies	Fasteners		
Tuesday, January 14, 2014	Office Supplies	Fasteners		
Wednesday, January 15, 2014	Office Supplies	Fasteners		
Thursday, January 16, 2014	Office Supplies	Fasteners		
Saturday, January 18, 2014	Office Supplies	Fasteners		
Sunday, January 19, 2014	Office Supplies	Fasteners		
Monday, January 20, 2014	Office Supplies	Fasteners		
Tuesday, January 21, 2014	Office Supplies	Fasteners		
Thursday, January 23, 2014	Office Supplies	Fasteners	0	5.94
Sunday, January 26, 2014	Office Supplies	Fasteners		
Monday, January 27, 2014	Office Supplies	Fasteners		
Tuesday, January 28, 2014	Office Supplies	Fasteners		
Thursday, January 30, 2014	Office Supplies	Fasteners		
Friday, January 31, 2014	Office Supplies	Fasteners		
Saturday, February 01, 2014	Office Supplies	Fasteners		
Sunday, February 02, 2014	Office Supplies	Fasteners	5.8045	12.35
Monday, February 03, 2014	Office Supplies	Fasteners		
Tuesday, February 04, 2014	Office Supplies	Fasteners		
Thursday, February 06, 2014	Office Supplies	Fasteners		
Friday, February 07, 2014	Office Supplies	Fasteners		
Saturday, February 08, 2014	Office Supplies	Fasteners		
Tuesday, February 11, 2014	Office Supplies	Fasteners		
Wednesday, February 12, 2014	Office Supplies	Fasteners		
Friday, February 14, 2014	Office Supplies	Fasteners		
Saturday, February 15, 2014	Office Supplies	Fasteners		
Sunday, February 16, 2014	Office Supplies	Fasteners		
Monday, February 17, 2014	Office Supplies	Fasteners		
Tuesday, February 18, 2014	Office Supplies	Fasteners		
Thursday, February 20, 2014	Office Supplies	Fasteners		
Friday, February 21, 2014	Office Supplies	Fasteners		
Saturday, February 22, 2014	Office Supplies	Fasteners		
Sunday, February 23, 2014	Office Supplies	Fasteners		
Monday, February 24, 2014	Office Supplies	Fasteners		
Thursday, February 27, 2014	Office Supplies	Fasteners		
Saturday, March 01, 2014	Office Supplies	Fasteners	-3.5325	18.84
Sunday, March 02, 2014	Office Supplies	Fasteners		
