Level 0 Description,Level 1 Description,Level 2 Description,Value Column Name,Value
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - Actuals","0"
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - Actuals)%","0"
"Operating Profit","Gross Profit","Net Revenue","2020 Plan - 2020 Plan","0"
"Operating Profit","Gross Profit","Net Revenue","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Gross Profit","Net Revenue","Actuals - 2020 Plan","9669923525.240002"
"Operating Profit","Gross Profit","Net Revenue","(Actuals - 2020 Plan)%","2.886060799468227"
"Operating Profit","Gross Profit","Net Revenue","Actuals - 2020 Plan","9669923525.240002"
"Operating Profit","Gross Profit","Net Revenue","(Actuals - 2020 Plan)%","2.886060799468227"
"Operating Profit","Gross Profit","Net Revenue","2019 Actuals","19189798803.000084"
"Operating Profit","Gross Profit","Net Revenue","2018 Actuals","6493311558.879988"
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan","3067899458.169992"
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan","3067899458.169992"
"Operating Profit","Operating Expenses","IT Expenses","Actuals","3011749999.809999"
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals","2947650000.010009"
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - 2020 Plan","-120249458.15998316"
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - 2020 Plan)%","-0.039196023142072656"
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - 2020 Plan","-120249458.15998316"
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - 2020 Plan)%","-0.039196023142072656"
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - Actuals","-64099999.79999018"
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - Actuals)%","-0.02128330698233055"
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan - 2020 Plan","0"
"Operating Profit","Operating Expenses","IT Expenses","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","IT Expenses","Actuals - 2020 Plan","-56149458.35999298"
"Operating Profit","Operating Expenses","IT Expenses","(Actuals - 2020 Plan)%","-0.018302248533752875"
"Operating Profit","Operating Expenses","IT Expenses","Actuals - 2020 Plan","-56149458.35999298"
"Operating Profit","Operating Expenses","IT Expenses","(Actuals - 2020 Plan)%","-0.018302248533752875"
"Operating Profit","Operating Expenses","IT Expenses","2019 Actuals","-152628727.2600001"
"Operating Profit","Operating Expenses","IT Expenses","2018 Actuals","-152628727.2600001"
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan","-465589707.42999995"
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan","-465589707.42999995"
"Operating Profit","Operating Expenses","Other Expenses","Actuals","-157707391.74000004"
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals","-154545541.96000004"
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - 2020 Plan","311044165.4699999"
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - 2020 Plan)%","0.6680649518369444"
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - 2020 Plan","311044165.4699999"
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - 2020 Plan)%","0.6680649518369444"
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - Actuals","3161849.780000001"
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - Actuals)%","0.020048836932213664"
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan - 2020 Plan","0"
"Operating Profit","Operating Expenses","Other Expenses","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","Other Expenses","Actuals - 2020 Plan","307882315.68999994"
"Operating Profit","Operating Expenses","Other Expenses","(Actuals - 2020 Plan)%","0.6612738872374861"
"Operating Profit","Operating Expenses","Other Expenses","Actuals - 2020 Plan","307882315.68999994"
"Operating Profit","Operating Expenses","Other Expenses","(Actuals - 2020 Plan)%","0.6612738872374861"
"Operating Profit","Operating Expenses","Other Expenses","2019 Actuals","-153336773.73"
"Operating Profit","Operating Expenses","Other Expenses","2018 Actuals","-205302147.11999977"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan","-205302147.11999977"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan","-205302147.11999977"
"Operating Profit","Operating Expenses","Personnel Costs","Actuals","-622108540.7499994"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals","-209552775.29000008"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - 2020 Plan","-4250628.170000315"
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - 2020 Plan)%","-0.020704255798726784"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - 2020 Plan","-4250628.170000315"
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - 2020 Plan)%","-0.020704255798726784"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - Actuals","412555765.4599993"
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - Actuals)%","0.6631572120238565"
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan - 2020 Plan","0"
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","Personnel Costs","Actuals - 2020 Plan","-416806393.62999964"
"Operating Profit","Operating Expenses","Personnel Costs","(Actuals - 2020 Plan)%","-2.0302096177609625"
"Operating Profit","Operating Expenses","Personnel Costs","Actuals - 2020 Plan","-416806393.62999964"
"Operating Profit","Operating Expenses","Personnel Costs","(Actuals - 2020 Plan)%","-2.0302096177609625"
"Operating Profit","Operating Expenses","Personnel Costs","2019 Actuals","-208209213.1000001"
"Operating Profit","Operating Expenses","Personnel Costs","2018 Actuals","-204346552.35999984"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan","-922137152.490002"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan","-922137152.490002"
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals","-922137152.490002"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals","-2828221788.3499947"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - 2020 Plan","-1906084635.8599925"
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - 2020 Plan)%","-2.0670294334341537"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - 2020 Plan","-1906084635.8599925"
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - 2020 Plan)%","-2.0670294334341537"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - Actuals","-1906084635.8599925"
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - Actuals)%","-2.0670294334341537"
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan - 2020 Plan","0"
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals - 2020 Plan","0"
"Operating Profit","Operating Expenses","Sales and Marketing","(Actuals - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals - 2020 Plan","0"
"Operating Profit","Operating Expenses","Sales and Marketing","(Actuals - 2020 Plan)%","0"
"Operating Profit","Operating Expenses","Sales and Marketing","2019 Actuals","-955158145.1799995"
"Operating Profit","Operating Expenses","Sales and Marketing","2018 Actuals","-932808686.7400016"
