Orders.Region,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code)
West,2015,Furniture,Chairs,Consumer,56,397.0047999999999,3.400000000000001,8760.64,17
Central,2016,Furniture,Chairs,Consumer,56,322.0644999999999,2.9999999999999996,6618.043000000001,17
East,2016,Furniture,Chairs,Consumer,126,1226.2762999999995,5.1,16826.879999999997,30
South,2016,Furniture,Chairs,Consumer,31,910.1379999999999,0.8,4130.094,10
West,2016,Furniture,Chairs,Consumer,119,214.8520999999994,6.200000000000003,12582.424000000003,31
Central,2017,Furniture,Chairs,Consumer,82,765.5254999999993,5.099999999999999,11851.878000000002,24
East,2017,Furniture,Chairs,Consumer,104,1046.3387,4.599999999999999,18653.118999999995,27
South,2017,Furniture,Chairs,Consumer,66,1306.2624999999998,2.1999999999999997,10897.480000000001,21
West,2017,Furniture,Chairs,Consumer,81,81.83509999999978,5.200000000000002,9214.504000000004,26
Central,2014,Furniture,Chairs,Corporate,25,-231.84699999999987,1.5,3891.2039999999997,6
East,2014,Furniture,Chairs,Corporate,44,882.9467999999999,0.8,5396.138999999999,9
South,2014,Furniture,Chairs,Corporate,39,543.5437999999998,0.6000000000000001,3397.228,6
West,2014,Furniture,Chairs,Corporate,50,269.6639999999999,2.6,5310.408,13
Central,2015,Furniture,Chairs,Corporate,15,219.14689999999985,0.6,1837.4019999999998,5
East,2015,Furniture,Chairs,Corporate,47,592.9418000000001,1.7000000000000002,6039.421,11
South,2015,Furniture,Chairs,Corporate,25,-101.90270000000027,1.2,3134.476,7
West,2015,Furniture,Chairs,Corporate,49,111.08749999999964,2.8000000000000003,7319.928000000002,14
Central,2016,Furniture,Chairs,Corporate,91,1293.1130999999993,4.199999999999999,13987.673000000003,20
East,2016,Furniture,Chairs,Corporate,33,271.0239999999999,1.7,4260.718,10
South,2016,Furniture,Chairs,Corporate,19,335.4869999999999,0.6000000000000001,2079.2479999999996,6
West,2016,Furniture,Chairs,Corporate,75,601.6498999999994,4.800000000000002,14118.592000000004,24
Central,2017,Furniture,Chairs,Corporate,47,1926.4707,1.2,8273.273000000001,14
East,2017,Furniture,Chairs,Corporate,65,973.6752,2.1999999999999997,7808.952,16
South,2017,Furniture,Chairs,Corporate,19,406.8263999999999,1,2755.92,7
West,2017,Furniture,Chairs,Corporate,76,250.82909999999944,4.000000000000001,9530.296,20
Central,2014,Furniture,Chairs,Home Office,41,353.1291999999998,1.8,5839.542,9
East,2014,Furniture,Chairs,Home Office,29,341.5362,0.9999999999999999,2313.748,7
South,2014,Furniture,Chairs,Home Office,13,1031.3877999999997,0,3713.7400000000002,2
West,2014,Furniture,Chairs,Home Office,19,275.7146,1.2,3174.1279999999997,6
Central,2015,Furniture,Chairs,Home Office,31,202.46910000000003,1.2,2630.955,6
East,2015,Furniture,Chairs,Home Office,23,735.9805999999998,0.5,4103.098,7
South,2015,Furniture,Chairs,Home Office,5,131.27849999999995,0.2,1166.92,1
West,2015,Furniture,Chairs,Home Office,44,464.3467999999999,1.9999999999999998,7619.447999999999,10
Central,2016,Furniture,Chairs,Home Office,19,-110.93960000000003,1.2,2743.908,5
East,2016,Furniture,Chairs,Home Office,16,285.50079999999997,0.5,1922.885,4
South,2016,Furniture,Chairs,Home Office,2,30.444999999999993,0,121.78,1
West,2016,Furniture,Chairs,Home Office,27,383.5427999999999,1.4,4526.400000000001,7
Central,2017,Furniture,Chairs,Home Office,39,20.27839999999982,1.8,3093.314,8
East,2017,Furniture,Chairs,Home Office,32,356.76999999999964,1.7000000000000004,4770.589000000001,10
South,2017,Furniture,Chairs,Home Office,14,217.98879999999997,0.4,2002.908,5
West,2017,Furniture,Chairs,Home Office,49,290.7488999999994,2.4,6702.12,12
Central,2014,Furniture,Furnishings,Consumer,97,-144.59579999999997,11.399999999999997,2153.268,26
East,2014,Furniture,Furnishings,Consumer,103,350.49669999999986,2.8000000000000003,2305.5599999999995,33
South,2014,Furniture,Furnishings,Consumer,55,113.88119999999992,1.7999999999999998,1413.06,16
West,2014,Furniture,Furnishings,Consumer,105,501.1047,0.8,1906.32,31
Central,2015,Furniture,Furnishings,Consumer,86,-299.73350000000005,8.399999999999999,1618.0380000000005,22
East,2015,Furniture,Furnishings,Consumer,69,498.2005999999999,1.7999999999999998,2110.936,20
South,2015,Furniture,Furnishings,Consumer,59,409.3825999999998,1.5999999999999999,3006.3879999999995,17
West,2015,Furniture,Furnishings,Consumer,155,952.2838999999999,1.7999999999999998,4027.17,37
Central,2016,Furniture,Furnishings,Consumer,108,-417.3794000000001,11.399999999999997,3118.8700000000003,29
East,2016,Furniture,Furnishings,Consumer,153,1375.4659000000006,2.4,5338.15,39
South,2016,Furniture,Furnishings,Consumer,98,983.7493000000002,1.5999999999999999,4197.066000000001,23
West,2016,Furniture,Furnishings,Consumer,183,1433.3485999999998,0.8,4805.974000000001,40
Central,2017,Furniture,Furnishings,Consumer,108,-592.3437000000002,13.199999999999996,2609.814,31
East,2017,Furniture,Furnishings,Consumer,156,796.9738,4.600000000000001,3422.4220000000005,45
South,2017,Furniture,Furnishings,Consumer,84,450.1724,3.400000000000001,2254.0599999999995,25
West,2017,Furniture,Furnishings,Consumer,215,1508.4153999999994,1.4,5332.95,60
Central,2014,Furniture,Furnishings,Corporate,32,-111.01229999999998,4.8,254.368,9
East,2014,Furniture,Furnishings,Corporate,46,294.2906,1,1025.22,13
South,2014,Furniture,Furnishings,Corporate,37,201.75579999999997,1.2,1407.932,12
West,2014,Furniture,Furnishings,Corporate,67,286.95660000000004,0.6000000000000001,1494.978,16
Central,2015,Furniture,Furnishings,Corporate,43,-220.79289999999997,5.999999999999999,313.892,12
East,2015,Furniture,Furnishings,Corporate,63,148.73139999999987,1.7999999999999998,1935.9920000000002,20
South,2015,Furniture,Furnishings,Corporate,94,719.0287,3.0000000000000004,2194.58,20
West,2015,Furniture,Furnishings,Corporate,77,557.1619999999999,0.8,2263.9500000000003,20
Central,2016,Furniture,Furnishings,Corporate,96,-313.74610000000007,7.799999999999998,977.9979999999999,21
East,2016,Furniture,Furnishings,Corporate,95,592.6106999999998,1.2,3429.38,28
South,2016,Furniture,Furnishings,Corporate,37,79.543,1.4,502.866,10
West,2016,Furniture,Furnishings,Corporate,72,284.5587999999999,1,1189.888,17
Central,2017,Furniture,Furnishings,Corporate,53,-563.8070000000001,4.8,1597.6979999999999,16
East,2017,Furniture,Furnishings,Corporate,137,920.5978999999998,1.9999999999999998,3592.734,38
South,2017,Furniture,Furnishings,Corporate,46,87.60559999999998,1.4,399.30199999999996,12
West,2017,Furniture,Furnishings,Corporate,91,544.7249,0.6000000000000001,2420.4880000000003,24
Central,2014,Furniture,Furnishings,Home Office,18,9.099000000000004,1.7999999999999998,128.46,5
East,2014,Furniture,Furnishings,Home Office,33,99.59359999999998,0.8,426.53600000000006,6
South,2014,Furniture,Furnishings,Home Office,16,107.52959999999999,0.4,339.51,5
West,2014,Furniture,Furnishings,Home Office,51,263.7922,0.2,971.0219999999999,12
Central,2015,Furniture,Furnishings,Home Office,28,-237.17239999999995,1.2,596.63,5
East,2015,Furniture,Furnishings,Home Office,39,90.14199999999991,0.8,1222.986,12
South,2015,Furniture,Furnishings,Home Office,11,43.72639999999999,0,176.84,4
West,2015,Furniture,Furnishings,Home Office,46,390.86009999999993,0.2,1622.31,11
Central,2016,Furniture,Furnishings,Home Office,54,-851.2000000000003,6.599999999999999,1018.8240000000002,15
East,2016,Furniture,Furnishings,Home Office,50,167.0991,1.2,819.61,9
South,2016,Furniture,Furnishings,Home Office,51,215.1076,0.4,682.852,12
West,2016,Furniture,Furnishings,Home Office,39,386.11250000000007,0.8,1792.6460000000002,14
Central,2017,Furniture,Furnishings,Home Office,35,-163.53270000000003,5.3999999999999995,866.5100000000001,14
East,2017,Furniture,Furnishings,Home Office,71,547.2047999999999,1.5999999999999999,3441.8539999999994,20
South,2017,Furniture,Furnishings,Home Office,27,31.200699999999948,1.4,732.228,9
West,2017,Furniture,Furnishings,Home Office,74,531.9506999999999,1,2245.0340000000006,22
Central,2014,Furniture,Tables,Consumer,40,-1372.7273000000005,3.999999999999999,5836.129999999999,11
East,2014,Furniture,Tables,Consumer,26,-835.1682000000003,2.8999999999999995,3315.6059999999998,8
South,2014,Furniture,Tables,Consumer,23,-67.27690000000024,0.8500000000000001,3902.5945,5
West,2014,Furniture,Tables,Consumer,59,255.43759999999963,3.0999999999999996,10868.865999999998,13
Central,2015,Furniture,Tables,Consumer,21,-106.12850000000019,1.5,3110.961,6
East,2015,Furniture,Tables,Consumer,33,-1341.1239000000003,2.8,4033.068,7
South,2015,Furniture,Tables,Consumer,27,-2210.8203000000003,1.75,7012.0945,7
West,2015,Furniture,Tables,Consumer,58,203.79839999999996,2.9,8585.503,15
Central,2016,Furniture,Tables,Consumer,40,-1177.9492,3.1999999999999993,4940.114,10
East,2016,Furniture,Tables,Consumer,27,-764.2839000000001,3.6999999999999993,3776.876,11
South,2016,Furniture,Tables,Consumer,41,596.2253,1.6500000000000001,7690.782999999999,9
West,2016,Furniture,Tables,Consumer,44,62.35219999999933,2.5,9185.527000000002,12
Central,2017,Furniture,Tables,Consumer,50,-1307.3520999999998,4.399999999999999,6947.795,15
East,2017,Furniture,Tables,Consumer,20,-767.7767999999999,2.5999999999999996,2956.917,7
South,2017,Furniture,Tables,Consumer,28,-895.6277,1.25,5803.37,6
West,2017,Furniture,Tables,Consumer,65,0.3835000000000264,3.1999999999999997,11967.59,17
Central,2014,Furniture,Tables,Corporate,7,-140.42969999999994,0.6,1318.6529999999998,2
East,2014,Furniture,Tables,Corporate,34,-2523.3029,3.8999999999999995,6802.746000000001,10
South,2014,Furniture,Tables,Corporate,18,581.3595000000001,0.4,3338.7700000000004,4
West,2014,Furniture,Tables,Corporate,34,72.90879999999989,1.9,4440.961,10
Central,2015,Furniture,Tables,Corporate,15,251.69550000000004,0.6,1875.2519999999997,4
East,2015,Furniture,Tables,Corporate,24,-726.1578000000002,1.7999999999999998,3008.286,5
South,2015,Furniture,Tables,Corporate,2,39.44380000000001,0,358.58,1
West,2015,Furniture,Tables,Corporate,15,772.7909999999999,0.4,4533.804,4
Central,2016,Furniture,Tables,Corporate,27,1150.9317,0.3,7592.712,5
East,2016,Furniture,Tables,Corporate,22,-1144.6562000000004,3.5999999999999996,3027.984,9
South,2016,Furniture,Tables,Corporate,38,-557.0023000000006,2.1,4807.528500000001,6
West,2016,Furniture,Tables,Corporate,70,340.6075,3.3,13999.457,15
Central,2017,Furniture,Tables,Corporate,17,-555.0169000000003,1.6,1775.9759999999999,5
East,2017,Furniture,Tables,Corporate,29,-905.5387999999998,2.8999999999999995,4712.5419999999995,8
South,2017,Furniture,Tables,Corporate,21,-1452.0249000000001,1.65,4114.7970000000005,5
West,2017,Furniture,Tables,Corporate,46,-112.10690000000021,2.5,5163.669,13
Central,2014,Furniture,Tables,Home Office,6,88.82600000000002,0.3,630.695,2
East,2014,Furniture,Tables,Home Office,4,-179.36640000000003,0.8,485.35200000000003,2
South,2014,Furniture,Tables,Home Office,9,593.9076,0,2699.58,2
West,2014,Furniture,Tables,Home Office,10,401.78919999999977,0.2,2448.4120000000003,2
Central,2015,Furniture,Tables,Home Office,15,-410.6609000000003,0.8,1871.047,4
East,2015,Furniture,Tables,Home Office,10,-208.58239999999995,1,1843.452,3
South,2015,Furniture,Tables,Home Office,,,,,
West,2015,Furniture,Tables,Home Office,15,225.94319999999976,0.2,2918.376,2
Central,2016,Furniture,Tables,Home Office,7,319.6386,0,1390.1,2
East,2016,Furniture,Tables,Home Office,11,-397.8382000000001,0.8,1020.4679999999998,2
South,2016,Furniture,Tables,Home Office,,,,,
West,2016,Furniture,Tables,Home Office,19,-1378.9673,1.9,3401.651,5
Central,2017,Furniture,Tables,Home Office,17,-300.4776000000001,1.6,1865.5359999999998,6
East,2017,Furniture,Tables,Home Office,31,-1231.5846000000001,3.0999999999999996,4156.51,8
South,2017,Furniture,Tables,Home Office,20,-1251.2420000000002,1.7000000000000002,4188.0945,6
West,2017,Furniture,Tables,Home Office,46,637.6700999999998,1.1,7240.745999999999,8
Central,2014,Office Supplies,Appliances,Consumer,54,-789.0035000000001,7.299999999999999,1748.6660000000002,14
East,2014,Office Supplies,Appliances,Consumer,45,561.1186,1.4,2123.2319999999995,16
South,2014,Office Supplies,Appliances,Consumer,30,102.89829999999998,1,765.924,6
West,2014,Office Supplies,Appliances,Consumer,32,579.3983000000001,0.2,2033.75,11
Central,2015,Office Supplies,Appliances,Consumer,67,-2200.5389000000005,8.2,2227.0020000000004,15
East,2015,Office Supplies,Appliances,Consumer,49,1298.9668999999994,1.2,4748.233999999999,13
South,2015,Office Supplies,Appliances,Consumer,40,630.4729,0.6000000000000001,2988.3979999999997,12
West,2015,Office Supplies,Appliances,Consumer,49,798.8262999999995,0.8,3462.51,11
Central,2016,Office Supplies,Appliances,Consumer,24,64.27659999999989,3.5,1281.081,9
East,2016,Office Supplies,Appliances,Consumer,56,1340.9531000000004,1.4,4736.658,18
South,2016,Office Supplies,Appliances,Consumer,31,264.0676,1.2,2159.0280000000002,8
West,2016,Office Supplies,Appliances,Consumer,56,887.2072999999999,0.2,2664.0480000000002,18
Central,2017,Office Supplies,Appliances,Consumer,102,-850.3407000000002,13.600000000000003,4561.972,28
East,2017,Office Supplies,Appliances,Consumer,95,1807.7192999999997,1,7781.632,19
South,2017,Office Supplies,Appliances,Consumer,77,457.82439999999997,2.4,2374.0039999999995,20
West,2017,Office Supplies,Appliances,Consumer,101,2028.0817000000002,0.2,7163.441999999998,26
Central,2014,Office Supplies,Appliances,Corporate,20,-253.47140000000005,3.3,239.75399999999996,7
East,2014,Office Supplies,Appliances,Corporate,43,769.6899999999999,0.6000000000000001,3353.906,12
South,2014,Office Supplies,Appliances,Corporate,20,371.04339999999996,0.6000000000000001,1142.55,6
West,2014,Office Supplies,Appliances,Corporate,24,235.44519999999997,0.4,862.776,8
Central,2015,Office Supplies,Appliances,Corporate,15,41.72199999999998,1.9000000000000001,781.6909999999999,5
East,2015,Office Supplies,Appliances,Corporate,20,106.86090000000002,0.2,343.87600000000003,6
South,2015,Office Supplies,Appliances,Corporate,5,322.70730000000003,0.2,833.102,2
West,2015,Office Supplies,Appliances,Corporate,45,578.6085999999998,0.8,2385.098,12
Central,2016,Office Supplies,Appliances,Corporate,46,-623.8456000000002,5,901.036,12
East,2016,Office Supplies,Appliances,Corporate,56,836.5294999999999,1.2,3699.868,14
South,2016,Office Supplies,Appliances,Corporate,15,795.8128999999999,0.4,2574.1939999999995,5
West,2016,Office Supplies,Appliances,Corporate,46,319.84540000000004,0.4,1221.2040000000002,11
Central,2017,Office Supplies,Appliances,Corporate,53,376.3643999999999,6.499999999999999,3302.278,12
East,2017,Office Supplies,Appliances,Corporate,43,894.2067999999999,1,3583.614,11
South,2017,Office Supplies,Appliances,Corporate,60,1054.2581999999998,1.9999999999999998,5573.790000000001,17
West,2017,Office Supplies,Appliances,Corporate,58,1604.1175999999998,0.2,5789.946000000001,15
Central,2014,Office Supplies,Appliances,Home Office,8,533.3024999999999,0.1,1670.785,2
East,2014,Office Supplies,Appliances,Home Office,13,81.15359999999998,0.2,302.064,3
South,2014,Office Supplies,Appliances,Home Office,6,15.843599999999995,0.2,211.248,1
West,2014,Office Supplies,Appliances,Home Office,19,252.0812999999999,0,858.9699999999998,7
Central,2015,Office Supplies,Appliances,Home Office,24,-35.9392000000002,2.6,1965.8159999999998,6
East,2015,Office Supplies,Appliances,Home Office,29,444.77269999999993,0.2,1599.1420000000003,7
South,2015,Office Supplies,Appliances,Home Office,2,9.517199999999999,0,28.84,1
West,2015,Office Supplies,Appliances,Home Office,20,515.9190000000001,0.2,1877.5799999999997,4
Central,2016,Office Supplies,Appliances,Home Office,30,938.2637,1.6,3832.8940000000002,7
East,2016,Office Supplies,Appliances,Home Office,7,125.12319999999993,0.4,990.056,3
South,2016,Office Supplies,Appliances,Home Office,7,99.49379999999995,0.4,874.248,3
West,2016,Office Supplies,Appliances,Home Office,22,253.61399999999998,0.6000000000000001,1116,6
Central,2017,Office Supplies,Appliances,Home Office,27,160.59259999999998,1.6,1069.058,6
East,2017,Office Supplies,Appliances,Home Office,18,124.31879999999987,0.4,926.184,4
South,2017,Office Supplies,Appliances,Home Office,,,,,
West,2017,Office Supplies,Appliances,Home Office,20,208.12519999999995,0.2,801.0120000000001,7
Central,2014,Office Supplies,Art,Consumer,69,111.90610000000001,1.9999999999999998,490.61799999999994,19
East,2014,Office Supplies,Art,Consumer,94,155.13269999999994,2.4,608.2820000000003,28
South,2014,Office Supplies,Art,Consumer,47,83.193,1.2,339.004,13
West,2014,Office Supplies,Art,Consumer,132,348.04239999999993,1.5999999999999999,1391.4940000000004,38
Central,2015,Office Supplies,Art,Consumer,59,68.0502,1.7999999999999998,391.746,14
East,2015,Office Supplies,Art,Consumer,92,232.26229999999998,1.7999999999999998,974.2039999999998,25
South,2015,Office Supplies,Art,Consumer,51,145.28969999999995,1.5999999999999999,536.784,16
West,2015,Office Supplies,Art,Consumer,109,281.09319999999997,2.1999999999999997,1103.514,29
Central,2016,Office Supplies,Art,Consumer,79,125.67719999999998,3.400000000000001,936.9760000000001,22
East,2016,Office Supplies,Art,Consumer,94,256.7172,1.5999999999999999,1082.058,29
South,2016,Office Supplies,Art,Consumer,99,240.3839,1.7999999999999998,954.072,24
West,2016,Office Supplies,Art,Consumer,84,184.8224,0.2,613.318,21
Central,2017,Office Supplies,Art,Consumer,167,299.928,5.600000000000002,1453.0120000000002,39
East,2017,Office Supplies,Art,Consumer,140,344.9519999999999,2.4,1182.6540000000002,35
South,2017,Office Supplies,Art,Consumer,115,179.58770000000004,3.400000000000001,824.8959999999998,28
West,2017,Office Supplies,Art,Consumer,194,397.2631,0.8,1369.2980000000002,48
Central,2014,Office Supplies,Art,Corporate,22,61.77939999999998,0.4,210.576,5
East,2014,Office Supplies,Art,Corporate,47,68.82619999999999,0.8,279.802,11
South,2014,Office Supplies,Art,Corporate,49,43.417799999999986,1,159.47999999999996,13
West,2014,Office Supplies,Art,Corporate,68,342.86879999999996,0.6000000000000001,1780.484,16
Central,2015,Office Supplies,Art,Corporate,36,112.27209999999997,0.8,482.416,11
East,2015,Office Supplies,Art,Corporate,51,95.29309999999997,1,355.41799999999995,14
South,2015,Office Supplies,Art,Corporate,57,90.45079999999997,1.4,622.648,12
West,2015,Office Supplies,Art,Corporate,36,178.24179999999996,0.4,636.4459999999999,10
Central,2016,Office Supplies,Art,Corporate,56,67.54029999999999,1.4,339.14599999999996,15
East,2016,Office Supplies,Art,Corporate,85,189.7744,1.2,671.4159999999999,22
South,2016,Office Supplies,Art,Corporate,23,75.89029999999997,0.8,316.33799999999997,7
West,2016,Office Supplies,Art,Corporate,41,58.905199999999994,0.4,206.35799999999998,14
Central,2017,Office Supplies,Art,Corporate,63,102.37750000000001,1.9999999999999998,446.60400000000004,13
East,2017,Office Supplies,Art,Corporate,104,212.27789999999996,2.1999999999999997,971.766,25
South,2017,Office Supplies,Art,Corporate,28,54.49539999999998,1,233.938,8
West,2017,Office Supplies,Art,Corporate,84,250.23669999999998,0.2,877.6120000000001,22
Central,2014,Office Supplies,Art,Home Office,15,14.156500000000001,0.8,120.75999999999999,4
East,2014,Office Supplies,Art,Home Office,24,108.95429999999996,0.4,402.11799999999994,6
South,2014,Office Supplies,Art,Home Office,13,7.142499999999995,0.6000000000000001,67.648,4
West,2014,Office Supplies,Art,Home Office,33,61.383399999999995,0.2,207.716,7
Central,2015,Office Supplies,Art,Home Office,21,67.74780000000001,0.4,257.99799999999993,8
East,2015,Office Supplies,Art,Home Office,44,72.83769999999997,1,377.744,15
South,2015,Office Supplies,Art,Home Office,16,57.60979999999998,0.4,202.886,4
West,2015,Office Supplies,Art,Home Office,36,83.90970000000002,0,295.0299999999999,9
Central,2016,Office Supplies,Art,Home Office,36,68.1978,0.6000000000000001,243.828,9
East,2016,Office Supplies,Art,Home Office,36,30.428199999999997,0.6000000000000001,129.092,7
South,2016,Office Supplies,Art,Home Office,10,36.36219999999999,0.2,167.86,3
West,2016,Office Supplies,Art,Home Office,35,79.2635,0.4,300.44599999999997,10
Central,2017,Office Supplies,Art,Home Office,55,95.52619999999999,2.4,391.65999999999997,17
East,2017,Office Supplies,Art,Home Office,38,132.48829999999995,0.4,451.21000000000004,11
South,2017,Office Supplies,Art,Home Office,39,44.7635,1,230.068,10
West,2017,Office Supplies,Art,Home Office,74,108.06679999999997,0.8,430.3500000000001,26
Central,2014,Office Supplies,Binders,Consumer,208,-914.2178000000044,26.400000000000013,14713.503999999997,50
East,2014,Office Supplies,Binders,Consumer,176,936.7102999999997,18.999999999999993,3894.951000000001,51
South,2014,Office Supplies,Binders,Consumer,63,522.6309,7.000000000000001,2743.139999999999,18
West,2014,Office Supplies,Binders,Consumer,151,1775.5900000000006,12,8801.639000000001,40
Central,2015,Office Supplies,Binders,Consumer,153,-467.11190000000033,22.40000000000001,1229.0599999999997,41
East,2015,Office Supplies,Binders,Consumer,184,3894.9118000000003,15.099999999999994,10539.957,44
South,2015,Office Supplies,Binders,Consumer,119,1130.9719999999993,11.899999999999997,10395.143000000005,30
West,2015,Office Supplies,Binders,Consumer,178,828.8235999999999,14.199999999999996,2722.3199999999997,51
Central,2016,Office Supplies,Binders,Consumer,148,3079.143699999999,22.40000000000001,11601.987999999998,40
East,2016,Office Supplies,Binders,Consumer,244,721.3482999999994,19.89999999999999,8129.984,71
South,2016,Office Supplies,Binders,Consumer,133,2.1980000000000928,12.599999999999996,916.507,33
West,2016,Office Supplies,Binders,Consumer,282,1494.4095999999993,19.099999999999984,5063.841000000002,68
Central,2017,Office Supplies,Binders,Consumer,260,134.50699999999867,30.400000000000016,12149.023999999998,62
East,2017,Office Supplies,Binders,Consumer,254,1187.6992999999993,29.19999999999998,9057.717999999999,72
South,2017,Office Supplies,Binders,Consumer,114,-71.87239999999932,10.499999999999998,4562.9130000000005,30
West,2017,Office Supplies,Binders,Consumer,348,3739.8547999999987,22.299999999999976,11639.320000000005,79
Central,2014,Office Supplies,Binders,Corporate,40,-415.92180000000013,9.6,471.448,15
East,2014,Office Supplies,Binders,Corporate,104,-178.14229999999986,8.4,1420.894,27
South,2014,Office Supplies,Binders,Corporate,78,1928.3879,5.6000000000000005,4450.604000000001,20
West,2014,Office Supplies,Binders,Corporate,101,514.7916999999999,7.3000000000000025,3469.9750000000013,29
Central,2015,Office Supplies,Binders,Corporate,69,-141.87170000000006,11.200000000000001,340.08000000000015,18
East,2015,Office Supplies,Binders,Corporate,124,708.5404999999998,10.399999999999999,2825.014,29
South,2015,Office Supplies,Binders,Corporate,96,-882.0821000000001,10.499999999999998,2594.096,24
