Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
2014,Furniture,Chairs,Consumer,West,27,5.400000000000002
2015,Furniture,Chairs,Consumer,West,17,3.400000000000001
2016,Furniture,Chairs,Consumer,West,31,6.200000000000003
2017,Furniture,Chairs,Consumer,West,26,5.200000000000002
2014,Furniture,Chairs,Corporate,Central,6,1.5
2015,Furniture,Chairs,Corporate,Central,5,0.6
2016,Furniture,Chairs,Corporate,Central,20,4.199999999999999
2017,Furniture,Chairs,Corporate,Central,14,1.2
2014,Furniture,Chairs,Corporate,East,9,0.8
2015,Furniture,Chairs,Corporate,East,11,1.7000000000000002
2016,Furniture,Chairs,Corporate,East,10,1.7
2017,Furniture,Chairs,Corporate,East,16,2.1999999999999997
2014,Furniture,Chairs,Corporate,South,6,0.6000000000000001
2015,Furniture,Chairs,Corporate,South,7,1.2
2016,Furniture,Chairs,Corporate,South,6,0.6000000000000001
2017,Furniture,Chairs,Corporate,South,7,1
2014,Furniture,Chairs,Corporate,West,13,2.6
2015,Furniture,Chairs,Corporate,West,14,2.8000000000000003
2016,Furniture,Chairs,Corporate,West,24,4.800000000000002
2017,Furniture,Chairs,Corporate,West,20,4.000000000000001
2014,Furniture,Chairs,Home Office,Central,9,1.8
2015,Furniture,Chairs,Home Office,Central,6,1.2
2016,Furniture,Chairs,Home Office,Central,5,1.2
2017,Furniture,Chairs,Home Office,Central,8,1.8
2014,Furniture,Chairs,Home Office,East,7,0.9999999999999999
2015,Furniture,Chairs,Home Office,East,7,0.5
2016,Furniture,Chairs,Home Office,East,4,0.5
2017,Furniture,Chairs,Home Office,East,10,1.7000000000000004
2014,Furniture,Chairs,Home Office,South,2,0
2015,Furniture,Chairs,Home Office,South,1,0.2
2016,Furniture,Chairs,Home Office,South,1,0
2017,Furniture,Chairs,Home Office,South,5,0.4
2014,Furniture,Chairs,Home Office,West,6,1.2
2015,Furniture,Chairs,Home Office,West,10,1.9999999999999998
2016,Furniture,Chairs,Home Office,West,7,1.4
2017,Furniture,Chairs,Home Office,West,12,2.4
2014,Furniture,Furnishings,Consumer,Central,26,11.399999999999997
2015,Furniture,Furnishings,Consumer,Central,22,8.399999999999999
2016,Furniture,Furnishings,Consumer,Central,29,11.399999999999997
2017,Furniture,Furnishings,Consumer,Central,31,13.199999999999996
2014,Furniture,Furnishings,Consumer,East,33,2.8000000000000003
2015,Furniture,Furnishings,Consumer,East,20,1.7999999999999998
2016,Furniture,Furnishings,Consumer,East,39,2.4
2017,Furniture,Furnishings,Consumer,East,45,4.600000000000001
2014,Furniture,Furnishings,Consumer,South,16,1.7999999999999998
2015,Furniture,Furnishings,Consumer,South,17,1.5999999999999999
2016,Furniture,Furnishings,Consumer,South,23,1.5999999999999999
2017,Furniture,Furnishings,Consumer,South,25,3.400000000000001
2014,Furniture,Furnishings,Consumer,West,31,0.8
2015,Furniture,Furnishings,Consumer,West,37,1.7999999999999998
2016,Furniture,Furnishings,Consumer,West,40,0.8
2017,Furniture,Furnishings,Consumer,West,60,1.4
2014,Furniture,Furnishings,Corporate,Central,9,4.8
2015,Furniture,Furnishings,Corporate,Central,12,5.999999999999999
2016,Furniture,Furnishings,Corporate,Central,21,7.799999999999998
2017,Furniture,Furnishings,Corporate,Central,16,4.8
2014,Furniture,Furnishings,Corporate,East,13,1
2015,Furniture,Furnishings,Corporate,East,20,1.7999999999999998
2016,Furniture,Furnishings,Corporate,East,28,1.2
2017,Furniture,Furnishings,Corporate,East,38,1.9999999999999998
2014,Furniture,Furnishings,Corporate,South,12,1.2
2015,Furniture,Furnishings,Corporate,South,20,3.0000000000000004
2016,Furniture,Furnishings,Corporate,South,10,1.4
2017,Furniture,Furnishings,Corporate,South,12,1.4
2014,Furniture,Furnishings,Corporate,West,16,0.6000000000000001
2015,Furniture,Furnishings,Corporate,West,20,0.8
2016,Furniture,Furnishings,Corporate,West,17,1
2017,Furniture,Furnishings,Corporate,West,24,0.6000000000000001
2014,Furniture,Furnishings,Home Office,Central,5,1.7999999999999998
2015,Furniture,Furnishings,Home Office,Central,5,1.2
2016,Furniture,Furnishings,Home Office,Central,15,6.599999999999999
2017,Furniture,Furnishings,Home Office,Central,14,5.3999999999999995
2014,Furniture,Furnishings,Home Office,East,6,0.8
2015,Furniture,Furnishings,Home Office,East,12,0.8
2016,Furniture,Furnishings,Home Office,East,9,1.2
2017,Furniture,Furnishings,Home Office,East,20,1.5999999999999999
2014,Furniture,Furnishings,Home Office,South,5,0.4
2015,Furniture,Furnishings,Home Office,South,4,0
2016,Furniture,Furnishings,Home Office,South,12,0.4
2017,Furniture,Furnishings,Home Office,South,9,1.4
2014,Furniture,Furnishings,Home Office,West,12,0.2
2015,Furniture,Furnishings,Home Office,West,11,0.2
2016,Furniture,Furnishings,Home Office,West,14,0.8
2017,Furniture,Furnishings,Home Office,West,22,1
2014,Furniture,Tables,Consumer,Central,11,3.999999999999999
2015,Furniture,Tables,Consumer,Central,6,1.5
2016,Furniture,Tables,Consumer,Central,10,3.1999999999999993
2017,Furniture,Tables,Consumer,Central,15,4.399999999999999
2014,Furniture,Tables,Consumer,East,8,2.8999999999999995
2015,Furniture,Tables,Consumer,East,7,2.8
2016,Furniture,Tables,Consumer,East,11,3.6999999999999993
2017,Furniture,Tables,Consumer,East,7,2.5999999999999996
2014,Furniture,Tables,Consumer,South,5,0.8500000000000001
2015,Furniture,Tables,Consumer,South,7,1.75
2016,Furniture,Tables,Consumer,South,9,1.6500000000000001
2017,Furniture,Tables,Consumer,South,6,1.25
2014,Furniture,Tables,Consumer,West,13,3.0999999999999996
2015,Furniture,Tables,Consumer,West,15,2.9
2016,Furniture,Tables,Consumer,West,12,2.5
2017,Furniture,Tables,Consumer,West,17,3.1999999999999997
2014,Furniture,Tables,Corporate,Central,2,0.6
2015,Furniture,Tables,Corporate,Central,4,0.6
2016,Furniture,Tables,Corporate,Central,5,0.3
2017,Furniture,Tables,Corporate,Central,5,1.6
2014,Furniture,Tables,Corporate,East,10,3.8999999999999995
2015,Furniture,Tables,Corporate,East,5,1.7999999999999998
2016,Furniture,Tables,Corporate,East,9,3.5999999999999996
2017,Furniture,Tables,Corporate,East,8,2.8999999999999995
2014,Furniture,Tables,Corporate,South,4,0.4
2015,Furniture,Tables,Corporate,South,1,0
2016,Furniture,Tables,Corporate,South,6,2.1
2017,Furniture,Tables,Corporate,South,5,1.65
2014,Furniture,Tables,Corporate,West,10,1.9
2015,Furniture,Tables,Corporate,West,4,0.4
2016,Furniture,Tables,Corporate,West,15,3.3
2017,Furniture,Tables,Corporate,West,13,2.5
2014,Furniture,Tables,Home Office,Central,2,0.3
2015,Furniture,Tables,Home Office,Central,4,0.8
2016,Furniture,Tables,Home Office,Central,2,0
2017,Furniture,Tables,Home Office,Central,6,1.6
2014,Furniture,Tables,Home Office,East,2,0.8
2015,Furniture,Tables,Home Office,East,3,1
2016,Furniture,Tables,Home Office,East,2,0.8
2017,Furniture,Tables,Home Office,East,8,3.0999999999999996
2014,Furniture,Tables,Home Office,South,2,0
2015,Furniture,Tables,Home Office,South,,
2016,Furniture,Tables,Home Office,South,,
2017,Furniture,Tables,Home Office,South,6,1.7000000000000002
2014,Furniture,Tables,Home Office,West,2,0.2
2015,Furniture,Tables,Home Office,West,2,0.2
2016,Furniture,Tables,Home Office,West,5,1.9
2017,Furniture,Tables,Home Office,West,8,1.1
2014,Office Supplies,Appliances,Consumer,Central,14,7.299999999999999
2015,Office Supplies,Appliances,Consumer,Central,15,8.2
2016,Office Supplies,Appliances,Consumer,Central,9,3.5
2017,Office Supplies,Appliances,Consumer,Central,28,13.600000000000003
2014,Office Supplies,Appliances,Consumer,East,16,1.4
2015,Office Supplies,Appliances,Consumer,East,13,1.2
2016,Office Supplies,Appliances,Consumer,East,18,1.4
2017,Office Supplies,Appliances,Consumer,East,19,1
2014,Office Supplies,Appliances,Consumer,South,6,1
2015,Office Supplies,Appliances,Consumer,South,12,0.6000000000000001
2016,Office Supplies,Appliances,Consumer,South,8,1.2
2017,Office Supplies,Appliances,Consumer,South,20,2.4
2014,Office Supplies,Appliances,Consumer,West,11,0.2
2015,Office Supplies,Appliances,Consumer,West,11,0.8
2016,Office Supplies,Appliances,Consumer,West,18,0.2
2017,Office Supplies,Appliances,Consumer,West,26,0.2
2014,Office Supplies,Appliances,Corporate,Central,7,3.3
2015,Office Supplies,Appliances,Corporate,Central,5,1.9000000000000001
2016,Office Supplies,Appliances,Corporate,Central,12,5
2017,Office Supplies,Appliances,Corporate,Central,12,6.499999999999999
2014,Office Supplies,Appliances,Corporate,East,12,0.6000000000000001
2015,Office Supplies,Appliances,Corporate,East,6,0.2
2016,Office Supplies,Appliances,Corporate,East,14,1.2
2017,Office Supplies,Appliances,Corporate,East,11,1
2014,Office Supplies,Appliances,Corporate,South,6,0.6000000000000001
2015,Office Supplies,Appliances,Corporate,South,2,0.2
2016,Office Supplies,Appliances,Corporate,South,5,0.4
2017,Office Supplies,Appliances,Corporate,South,17,1.9999999999999998
2014,Office Supplies,Appliances,Corporate,West,8,0.4
2015,Office Supplies,Appliances,Corporate,West,12,0.8
2016,Office Supplies,Appliances,Corporate,West,11,0.4
2017,Office Supplies,Appliances,Corporate,West,15,0.2
2014,Office Supplies,Appliances,Home Office,Central,2,0.1
2015,Office Supplies,Appliances,Home Office,Central,6,2.6
2016,Office Supplies,Appliances,Home Office,Central,7,1.6
2017,Office Supplies,Appliances,Home Office,Central,6,1.6
2014,Office Supplies,Appliances,Home Office,East,3,0.2
2015,Office Supplies,Appliances,Home Office,East,7,0.2
2016,Office Supplies,Appliances,Home Office,East,3,0.4
2017,Office Supplies,Appliances,Home Office,East,4,0.4
2014,Office Supplies,Appliances,Home Office,South,1,0.2
2015,Office Supplies,Appliances,Home Office,South,1,0
2016,Office Supplies,Appliances,Home Office,South,3,0.4
2017,Office Supplies,Appliances,Home Office,South,,
2014,Office Supplies,Appliances,Home Office,West,7,0
2015,Office Supplies,Appliances,Home Office,West,4,0.2
2016,Office Supplies,Appliances,Home Office,West,6,0.6000000000000001
2017,Office Supplies,Appliances,Home Office,West,7,0.2
2014,Office Supplies,Art,Consumer,Central,19,1.9999999999999998
2015,Office Supplies,Art,Consumer,Central,14,1.7999999999999998
2016,Office Supplies,Art,Consumer,Central,22,3.400000000000001
2017,Office Supplies,Art,Consumer,Central,39,5.600000000000002
2014,Office Supplies,Art,Consumer,East,28,2.4
2015,Office Supplies,Art,Consumer,East,25,1.7999999999999998
2016,Office Supplies,Art,Consumer,East,29,1.5999999999999999
2017,Office Supplies,Art,Consumer,East,35,2.4
2014,Office Supplies,Art,Consumer,South,13,1.2
2015,Office Supplies,Art,Consumer,South,16,1.5999999999999999
2016,Office Supplies,Art,Consumer,South,24,1.7999999999999998
2017,Office Supplies,Art,Consumer,South,28,3.400000000000001
2014,Office Supplies,Art,Consumer,West,38,1.5999999999999999
2015,Office Supplies,Art,Consumer,West,29,2.1999999999999997
2016,Office Supplies,Art,Consumer,West,21,0.2
2017,Office Supplies,Art,Consumer,West,48,0.8
2014,Office Supplies,Art,Corporate,Central,5,0.4
2015,Office Supplies,Art,Corporate,Central,11,0.8
2016,Office Supplies,Art,Corporate,Central,15,1.4
2017,Office Supplies,Art,Corporate,Central,13,1.9999999999999998
2014,Office Supplies,Art,Corporate,East,11,0.8
2015,Office Supplies,Art,Corporate,East,14,1
2016,Office Supplies,Art,Corporate,East,22,1.2
2017,Office Supplies,Art,Corporate,East,25,2.1999999999999997
2014,Office Supplies,Art,Corporate,South,13,1
2015,Office Supplies,Art,Corporate,South,12,1.4
2016,Office Supplies,Art,Corporate,South,7,0.8
2017,Office Supplies,Art,Corporate,South,8,1
2014,Office Supplies,Art,Corporate,West,16,0.6000000000000001
2015,Office Supplies,Art,Corporate,West,10,0.4
2016,Office Supplies,Art,Corporate,West,14,0.4
2017,Office Supplies,Art,Corporate,West,22,0.2
2014,Office Supplies,Art,Home Office,Central,4,0.8
2015,Office Supplies,Art,Home Office,Central,8,0.4
2016,Office Supplies,Art,Home Office,Central,9,0.6000000000000001
2017,Office Supplies,Art,Home Office,Central,17,2.4
2014,Office Supplies,Art,Home Office,East,6,0.4
2015,Office Supplies,Art,Home Office,East,15,1
2016,Office Supplies,Art,Home Office,East,7,0.6000000000000001
2017,Office Supplies,Art,Home Office,East,11,0.4
2014,Office Supplies,Art,Home Office,South,4,0.6000000000000001
2015,Office Supplies,Art,Home Office,South,4,0.4
2016,Office Supplies,Art,Home Office,South,3,0.2
2017,Office Supplies,Art,Home Office,South,10,1
2014,Office Supplies,Art,Home Office,West,7,0.2
2015,Office Supplies,Art,Home Office,West,9,0
2016,Office Supplies,Art,Home Office,West,10,0.4
2017,Office Supplies,Art,Home Office,West,26,0.8
2014,Office Supplies,Binders,Consumer,Central,50,26.400000000000013
2015,Office Supplies,Binders,Consumer,Central,41,22.40000000000001
2016,Office Supplies,Binders,Consumer,Central,40,22.40000000000001
2017,Office Supplies,Binders,Consumer,Central,62,30.400000000000016
2014,Office Supplies,Binders,Consumer,East,51,18.999999999999993
2015,Office Supplies,Binders,Consumer,East,44,15.099999999999994
2016,Office Supplies,Binders,Consumer,East,71,19.89999999999999
2017,Office Supplies,Binders,Consumer,East,72,29.19999999999998
2014,Office Supplies,Binders,Consumer,South,18,7.000000000000001
2015,Office Supplies,Binders,Consumer,South,30,11.899999999999997
2016,Office Supplies,Binders,Consumer,South,33,12.599999999999996
2017,Office Supplies,Binders,Consumer,South,30,10.499999999999998
2014,Office Supplies,Binders,Consumer,West,40,12
2015,Office Supplies,Binders,Consumer,West,51,14.199999999999996
2016,Office Supplies,Binders,Consumer,West,68,19.099999999999984
2017,Office Supplies,Binders,Consumer,West,79,22.299999999999976
2014,Office Supplies,Binders,Corporate,Central,15,9.6
2015,Office Supplies,Binders,Corporate,Central,18,11.200000000000001
2016,Office Supplies,Binders,Corporate,Central,26,10.4
2017,Office Supplies,Binders,Corporate,Central,45,22.40000000000001
2014,Office Supplies,Binders,Corporate,East,27,8.4
2015,Office Supplies,Binders,Corporate,East,29,10.399999999999999
2016,Office Supplies,Binders,Corporate,East,38,12.699999999999998
2017,Office Supplies,Binders,Corporate,East,36,15.399999999999993
2014,Office Supplies,Binders,Corporate,South,20,5.6000000000000005
2015,Office Supplies,Binders,Corporate,South,24,10.499999999999998
2016,Office Supplies,Binders,Corporate,South,22,9.1
2017,Office Supplies,Binders,Corporate,South,21,8.4
2014,Office Supplies,Binders,Corporate,West,29,7.3000000000000025
2015,Office Supplies,Binders,Corporate,West,25,7.500000000000002
2016,Office Supplies,Binders,Corporate,West,44,12.299999999999999
2017,Office Supplies,Binders,Corporate,West,54,13.799999999999994
2014,Office Supplies,Binders,Home Office,Central,14,7.199999999999999
2015,Office Supplies,Binders,Home Office,Central,16,6.3999999999999995
2016,Office Supplies,Binders,Home Office,Central,14,6.3999999999999995
2017,Office Supplies,Binders,Home Office,Central,25,11.200000000000001
2014,Office Supplies,Binders,Home Office,East,10,3.0999999999999996
2015,Office Supplies,Binders,Home Office,East,20,5.700000000000001
2016,Office Supplies,Binders,Home Office,East,18,8
2017,Office Supplies,Binders,Home Office,East,24,8.600000000000001
2014,Office Supplies,Binders,Home Office,South,6,1.4
2015,Office Supplies,Binders,Home Office,South,8,2.0999999999999996
2016,Office Supplies,Binders,Home Office,South,14,6.300000000000001
2017,Office Supplies,Binders,Home Office,South,20,7.000000000000001
2014,Office Supplies,Binders,Home Office,West,10,1.9999999999999998
2015,Office Supplies,Binders,Home Office,West,12,3.3999999999999995
2016,Office Supplies,Binders,Home Office,West,27,8.9
2017,Office Supplies,Binders,Home Office,West,32,9.9
2014,Office Supplies,Envelopes,Consumer,Central,6,1
2015,Office Supplies,Envelopes,Consumer,Central,6,0.6000000000000001
2016,Office Supplies,Envelopes,Consumer,Central,9,1.4
2017,Office Supplies,Envelopes,Consumer,Central,8,0.6000000000000001
2014,Office Supplies,Envelopes,Consumer,East,10,1.2
2015,Office Supplies,Envelopes,Consumer,East,13,0.8
2016,Office Supplies,Envelopes,Consumer,East,10,0.6000000000000001
2017,Office Supplies,Envelopes,Consumer,East,6,0.4
2014,Office Supplies,Envelopes,Consumer,South,4,0.6000000000000001
2015,Office Supplies,Envelopes,Consumer,South,8,0.2
2016,Office Supplies,Envelopes,Consumer,South,6,0.6000000000000001
2017,Office Supplies,Envelopes,Consumer,South,8,1.2
2014,Office Supplies,Envelopes,Consumer,West,9,0.6000000000000001
2015,Office Supplies,Envelopes,Consumer,West,9,0.6000000000000001
2016,Office Supplies,Envelopes,Consumer,West,12,0.2
2017,Office Supplies,Envelopes,Consumer,West,5,0.6000000000000001
2014,Office Supplies,Envelopes,Corporate,Central,6,1
2015,Office Supplies,Envelopes,Corporate,Central,3,0.4
2016,Office Supplies,Envelopes,Corporate,Central,2,0.2
2017,Office Supplies,Envelopes,Corporate,Central,4,0.6000000000000001
2014,Office Supplies,Envelopes,Corporate,East,5,0.6000000000000001
2015,Office Supplies,Envelopes,Corporate,East,6,0.4
2016,Office Supplies,Envelopes,Corporate,East,3,0.2
2017,Office Supplies,Envelopes,Corporate,East,11,0.8
2014,Office Supplies,Envelopes,Corporate,South,4,0
2015,Office Supplies,Envelopes,Corporate,South,8,0.6000000000000001
2016,Office Supplies,Envelopes,Corporate,South,3,0
2017,Office Supplies,Envelopes,Corporate,South,6,0.6000000000000001
2014,Office Supplies,Envelopes,Corporate,West,2,0.2
2015,Office Supplies,Envelopes,Corporate,West,5,0
2016,Office Supplies,Envelopes,Corporate,West,6,0
2017,Office Supplies,Envelopes,Corporate,West,10,0.2
2014,Office Supplies,Envelopes,Home Office,Central,5,0.4
2015,Office Supplies,Envelopes,Home Office,Central,3,0.4
2016,Office Supplies,Envelopes,Home Office,Central,2,0.4
2017,Office Supplies,Envelopes,Home Office,Central,5,0.6000000000000001
2014,Office Supplies,Envelopes,Home Office,East,1,0
2015,Office Supplies,Envelopes,Home Office,East,2,0.2
2016,Office Supplies,Envelopes,Home Office,East,4,0.6000000000000001
2017,Office Supplies,Envelopes,Home Office,East,3,0.2
2014,Office Supplies,Envelopes,Home Office,South,1,0
2015,Office Supplies,Envelopes,Home Office,South,3,0.2
2016,Office Supplies,Envelopes,Home Office,South,3,0
2017,Office Supplies,Envelopes,Home Office,South,,
2014,Office Supplies,Envelopes,Home Office,West,1,0
2015,Office Supplies,Envelopes,Home Office,West,1,0
2016,Office Supplies,Envelopes,Home Office,West,2,0
2017,Office Supplies,Envelopes,Home Office,West,5,0.4
2014,Office Supplies,Fasteners,Consumer,Central,7,1.2
2015,Office Supplies,Fasteners,Consumer,Central,6,0.8
2016,Office Supplies,Fasteners,Consumer,Central,7,1.2
2017,Office Supplies,Fasteners,Consumer,Central,10,1
2014,Office Supplies,Fasteners,Consumer,East,3,0.4
2015,Office Supplies,Fasteners,Consumer,East,8,0.6000000000000001
2016,Office Supplies,Fasteners,Consumer,East,10,0.4
2017,Office Supplies,Fasteners,Consumer,East,8,0.4
2014,Office Supplies,Fasteners,Consumer,South,4,0.4
2015,Office Supplies,Fasteners,Consumer,South,2,0.2
2016,Office Supplies,Fasteners,Consumer,South,2,0
2017,Office Supplies,Fasteners,Consumer,South,5,0.2
2014,Office Supplies,Fasteners,Consumer,West,8,0.2
2015,Office Supplies,Fasteners,Consumer,West,10,0.2
2016,Office Supplies,Fasteners,Consumer,West,11,0
2017,Office Supplies,Fasteners,Consumer,West,13,0.4
2014,Office Supplies,Fasteners,Corporate,Central,5,0.6000000000000001
2015,Office Supplies,Fasteners,Corporate,Central,2,0.2
2016,Office Supplies,Fasteners,Corporate,Central,5,0.8
2017,Office Supplies,Fasteners,Corporate,Central,6,1
2014,Office Supplies,Fasteners,Corporate,East,2,0.2
2015,Office Supplies,Fasteners,Corporate,East,6,0.8
2016,Office Supplies,Fasteners,Corporate,East,8,0.8
2017,Office Supplies,Fasteners,Corporate,East,5,0.6000000000000001
2014,Office Supplies,Fasteners,Corporate,South,4,0.6000000000000001
2015,Office Supplies,Fasteners,Corporate,South,2,0.4
2016,Office Supplies,Fasteners,Corporate,South,1,0
2017,Office Supplies,Fasteners,Corporate,South,,
2014,Office Supplies,Fasteners,Corporate,West,6,0.6000000000000001
2015,Office Supplies,Fasteners,Corporate,West,1,0.2
2016,Office Supplies,Fasteners,Corporate,West,2,0.2
2017,Office Supplies,Fasteners,Corporate,West,4,0.2
2014,Office Supplies,Fasteners,Home Office,Central,1,0.2
2015,Office Supplies,Fasteners,Home Office,Central,1,0.2
2016,Office Supplies,Fasteners,Home Office,Central,3,0.2
2017,Office Supplies,Fasteners,Home Office,Central,2,0
2014,Office Supplies,Fasteners,Home Office,East,1,0.2
2015,Office Supplies,Fasteners,Home Office,East,3,0.2
2016,Office Supplies,Fasteners,Home Office,East,5,1
2017,Office Supplies,Fasteners,Home Office,East,2,0
2014,Office Supplies,Fasteners,Home Office,South,3,0.4
2015,Office Supplies,Fasteners,Home Office,South,,
2016,Office Supplies,Fasteners,Home Office,South,3,0
2017,Office Supplies,Fasteners,Home Office,South,3,0.2
2014,Office Supplies,Fasteners,Home Office,West,6,0.2
2015,Office Supplies,Fasteners,Home Office,West,3,0
2016,Office Supplies,Fasteners,Home Office,West,2,0
2017,Office Supplies,Fasteners,Home Office,West,6,0.2
2014,Office Supplies,Labels,Consumer,Central,5,0.4
2015,Office Supplies,Labels,Consumer,Central,6,0.4
2016,Office Supplies,Labels,Consumer,Central,10,1.2
2017,Office Supplies,Labels,Consumer,Central,12,1.2
2014,Office Supplies,Labels,Consumer,East,10,0.4
2015,Office Supplies,Labels,Consumer,East,13,0.8
2016,Office Supplies,Labels,Consumer,East,16,0.8
2017,Office Supplies,Labels,Consumer,East,24,1.5999999999999999
2014,Office Supplies,Labels,Consumer,South,5,0.6000000000000001
2015,Office Supplies,Labels,Consumer,South,7,0.6000000000000001
2016,Office Supplies,Labels,Consumer,South,9,0.8
2017,Office Supplies,Labels,Consumer,South,9,1
2014,Office Supplies,Labels,Consumer,West,10,0.4
2015,Office Supplies,Labels,Consumer,West,14,0.2
2016,Office Supplies,Labels,Consumer,West,18,0
2017,Office Supplies,Labels,Consumer,West,21,0.2
2014,Office Supplies,Labels,Corporate,Central,5,0.6000000000000001
2015,Office Supplies,Labels,Corporate,Central,7,1.2
2016,Office Supplies,Labels,Corporate,Central,5,1
2017,Office Supplies,Labels,Corporate,Central,6,0.6000000000000001
2014,Office Supplies,Labels,Corporate,East,9,0.6000000000000001
2015,Office Supplies,Labels,Corporate,East,2,0.2
2016,Office Supplies,Labels,Corporate,East,4,0.2
2017,Office Supplies,Labels,Corporate,East,8,0.6000000000000001
2014,Office Supplies,Labels,Corporate,South,9,0.6000000000000001
2015,Office Supplies,Labels,Corporate,South,7,1
2016,Office Supplies,Labels,Corporate,South,3,0.4
2017,Office Supplies,Labels,Corporate,South,4,0.4
2014,Office Supplies,Labels,Corporate,West,6,0
2015,Office Supplies,Labels,Corporate,West,11,0.6000000000000001
2016,Office Supplies,Labels,Corporate,West,8,0.4
2017,Office Supplies,Labels,Corporate,West,8,0
2014,Office Supplies,Labels,Home Office,Central,6,1
2015,Office Supplies,Labels,Home Office,Central,2,0
2016,Office Supplies,Labels,Home Office,Central,7,0.4
2017,Office Supplies,Labels,Home Office,Central,5,0.6000000000000001
2014,Office Supplies,Labels,Home Office,East,2,0.2
2015,Office Supplies,Labels,Home Office,East,5,0.6000000000000001
2016,Office Supplies,Labels,Home Office,East,9,1.2
2017,Office Supplies,Labels,Home Office,East,5,0
2014,Office Supplies,Labels,Home Office,South,1,0.2
2015,Office Supplies,Labels,Home Office,South,2,0.4
2016,Office Supplies,Labels,Home Office,South,3,0.2
2017,Office Supplies,Labels,Home Office,South,6,0.8
2014,Office Supplies,Labels,Home Office,West,8,0
2015,Office Supplies,Labels,Home Office,West,1,0
2016,Office Supplies,Labels,Home Office,West,5,0.2
2017,Office Supplies,Labels,Home Office,West,6,0.2
2014,Office Supplies,Paper,Consumer,Central,34,5.000000000000002
2015,Office Supplies,Paper,Consumer,Central,26,3.0000000000000004
2016,Office Supplies,Paper,Consumer,Central,46,5.8000000000000025
