Orders.Region,Orders.Country,Orders.Segment,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
West,United States,Consumer,2017,Furniture,Bookcases,5387.9105,-723.7162000000001
West,United States,Consumer,2018,Furniture,Bookcases,,
West,United States,Corporate,2014,Furniture,Bookcases,3325.9764999999998,278.5208999999999
West,United States,Corporate,2015,Furniture,Bookcases,2649.1865,277.4451
West,United States,Corporate,2016,Furniture,Bookcases,1267.1715,-99.43860000000011
West,United States,Corporate,2017,Furniture,Bookcases,4051.353,-468.6947
West,United States,Corporate,2018,Furniture,Bookcases,,
West,United States,Home Office,2014,Furniture,Bookcases,1729.495,72.69980000000004
West,United States,Home Office,2015,Furniture,Bookcases,,
West,United States,Home Office,2016,Furniture,Bookcases,883.711,97.509
West,United States,Home Office,2017,Furniture,Bookcases,2449.051,161.90380000000005
Central,United States,Consumer,2014,Furniture,Chairs,11023.306000000002,577.9794999999997
Central,United States,Consumer,2015,Furniture,Chairs,13440.148000000001,1255.3317999999992
Central,United States,Consumer,2016,Furniture,Chairs,5863.593000000001,261.7085
Central,United States,Consumer,2017,Furniture,Chairs,12606.328000000003,825.8814999999997
Central,United States,Consumer,2018,Furniture,Chairs,,
Central,United States,Corporate,2014,Furniture,Chairs,3891.2039999999997,-231.84699999999987
Central,United States,Corporate,2015,Furniture,Chairs,1837.4019999999998,219.14689999999985
Central,United States,Corporate,2016,Furniture,Chairs,13987.673000000003,1293.1130999999993
Central,United States,Corporate,2017,Furniture,Chairs,8159.901000000001,1929.7099
Central,United States,Corporate,2018,Furniture,Chairs,113.372,-3.2391999999999896
Central,United States,Home Office,2014,Furniture,Chairs,5839.542,353.1291999999998
Central,United States,Home Office,2015,Furniture,Chairs,2630.955,202.46910000000003
Central,United States,Home Office,2016,Furniture,Chairs,2743.908,-110.93960000000003
Central,United States,Home Office,2017,Furniture,Chairs,3093.314,20.27839999999982
Central,United States,Home Office,2018,Furniture,Chairs,,
East,United States,Consumer,2014,Furniture,Chairs,14298.381000000001,1494.901
East,United States,Consumer,2015,Furniture,Chairs,9866.753,1149.8792000000003
East,United States,Consumer,2016,Furniture,Chairs,16656.094,1226.2762999999995
East,United States,Consumer,2017,Furniture,Chairs,18823.905,1046.3387
East,United States,Consumer,2018,Furniture,Chairs,,
East,United States,Corporate,2014,Furniture,Chairs,5396.138999999999,882.9467999999999
East,United States,Corporate,2015,Furniture,Chairs,6039.421,592.9418000000001
East,United States,Corporate,2016,Furniture,Chairs,4047.7780000000002,245.47119999999993
East,United States,Corporate,2017,Furniture,Chairs,8021.892000000001,999.2280000000001
East,United States,Home Office,2014,Furniture,Chairs,1707.868,190.06619999999998
East,United States,Home Office,2015,Furniture,Chairs,4708.978,887.4505999999998
East,United States,Home Office,2016,Furniture,Chairs,1922.885,285.50079999999997
East,United States,Home Office,2017,Furniture,Chairs,4770.589000000001,356.76999999999964
South,United States,Consumer,2014,Furniture,Chairs,5961.312,729.7823999999999
South,United States,Consumer,2015,Furniture,Chairs,5815.340000000001,1070.8517999999997
South,United States,Consumer,2016,Furniture,Chairs,4130.094,910.1379999999999
South,United States,Consumer,2017,Furniture,Chairs,9129.910000000002,827.3148999999999
South,United States,Consumer,2018,Furniture,Chairs,1767.57,478.94759999999997
South,United States,Corporate,2014,Furniture,Chairs,3397.228,543.5437999999998
South,United States,Corporate,2015,Furniture,Chairs,3134.476,-101.90270000000027
South,United States,Corporate,2016,Furniture,Chairs,2079.2479999999996,335.4869999999999
South,United States,Corporate,2017,Furniture,Chairs,2755.92,406.8263999999999
South,United States,Home Office,2014,Furniture,Chairs,3713.7400000000002,1031.3877999999997
South,United States,Home Office,2015,Furniture,Chairs,1166.92,131.27849999999995
South,United States,Home Office,2016,Furniture,Chairs,121.78,30.444999999999993
South,United States,Home Office,2017,Furniture,Chairs,2002.908,217.98879999999997
South,United States,Home Office,2018,Furniture,Chairs,,
West,United States,Consumer,2014,Furniture,Chairs,12692.16,663.2806999999995
West,United States,Consumer,2015,Furniture,Chairs,8990.919999999998,420.0327999999999
West,United States,Consumer,2016,Furniture,Chairs,12582.424000000003,214.8520999999994
West,United States,Consumer,2017,Furniture,Chairs,8820.936000000003,126.11149999999981
West,United States,Consumer,2018,Furniture,Chairs,393.568,-44.276400000000024
West,United States,Corporate,2014,Furniture,Chairs,5310.408,269.6639999999999
West,United States,Corporate,2015,Furniture,Chairs,7319.928000000002,111.08749999999964
West,United States,Corporate,2016,Furniture,Chairs,14070.624000000003,597.4526999999994
West,United States,Corporate,2017,Furniture,Chairs,9578.264,255.02629999999945
West,United States,Corporate,2018,Furniture,Chairs,,
West,United States,Home Office,2014,Furniture,Chairs,3174.1279999999997,275.7146
West,United States,Home Office,2015,Furniture,Chairs,7619.447999999999,464.3467999999999
West,United States,Home Office,2016,Furniture,Chairs,4526.400000000001,383.5427999999999
West,United States,Home Office,2017,Furniture,Chairs,6702.12,290.7488999999994
Central,United States,Consumer,2014,Furniture,Furnishings,2114.2920000000004,-93.92699999999994
Central,United States,Consumer,2015,Furniture,Furnishings,1642.2540000000006,-338.96330000000006
Central,United States,Consumer,2016,Furniture,Furnishings,3063.07,-452.80880000000013
Central,United States,Consumer,2017,Furniture,Furnishings,2680.3740000000003,-568.3533000000001
Central,United States,Consumer,2018,Furniture,Furnishings,,
Central,United States,Corporate,2014,Furniture,Furnishings,254.368,-111.01229999999998
Central,United States,Corporate,2015,Furniture,Furnishings,313.892,-220.79289999999997
Central,United States,Corporate,2016,Furniture,Furnishings,977.9979999999999,-313.74610000000007
Central,United States,Corporate,2017,Furniture,Furnishings,1586.7699999999998,-560.0106000000001
Central,United States,Corporate,2018,Furniture,Furnishings,10.928,-3.7963999999999993
Central,United States,Home Office,2014,Furniture,Furnishings,119.72399999999999,13.903800000000004
Central,United States,Home Office,2015,Furniture,Furnishings,605.366,-241.97719999999995
Central,United States,Home Office,2016,Furniture,Furnishings,1018.8240000000002,-851.2000000000003
Central,United States,Home Office,2017,Furniture,Furnishings,866.5100000000001,-163.53270000000003
Central,United States,Home Office,2018,Furniture,Furnishings,,
East,United States,Consumer,2014,Furniture,Furnishings,2123.2079999999996,368.7318999999999
East,United States,Consumer,2015,Furniture,Furnishings,2293.288,479.9653999999999
East,United States,Consumer,2016,Furniture,Furnishings,5338.15,1375.4659000000006
East,United States,Consumer,2017,Furniture,Furnishings,3422.4220000000005,796.9738
East,United States,Consumer,2018,Furniture,Furnishings,,
East,United States,Corporate,2014,Furniture,Furnishings,1025.22,294.2906
East,United States,Corporate,2015,Furniture,Furnishings,1935.9920000000002,148.73139999999987
East,United States,Corporate,2016,Furniture,Furnishings,3408.26,586.0634999999999
East,United States,Corporate,2017,Furniture,Furnishings,3613.854,927.1450999999997
East,United States,Home Office,2014,Furniture,Furnishings,363.336,76.2096
East,United States,Home Office,2015,Furniture,Furnishings,1286.186,113.52599999999993
East,United States,Home Office,2016,Furniture,Furnishings,819.61,167.0991
East,United States,Home Office,2017,Furniture,Furnishings,3441.8539999999994,547.2047999999999
South,United States,Consumer,2014,Furniture,Furnishings,1413.06,113.88119999999992
South,United States,Consumer,2015,Furniture,Furnishings,3006.3879999999995,409.3825999999998
South,United States,Consumer,2016,Furniture,Furnishings,4197.066000000001,983.7493000000002
South,United States,Consumer,2017,Furniture,Furnishings,2254.0599999999995,450.1724
South,United States,Consumer,2018,Furniture,Furnishings,,
South,United States,Corporate,2014,Furniture,Furnishings,1407.932,201.75579999999997
South,United States,Corporate,2015,Furniture,Furnishings,2194.58,719.0287
South,United States,Corporate,2016,Furniture,Furnishings,502.866,79.543
South,United States,Corporate,2017,Furniture,Furnishings,399.30199999999996,87.60559999999998
South,United States,Home Office,2014,Furniture,Furnishings,339.51,107.52959999999999
South,United States,Home Office,2015,Furniture,Furnishings,176.84,43.72639999999999
South,United States,Home Office,2016,Furniture,Furnishings,682.852,215.1076
South,United States,Home Office,2017,Furniture,Furnishings,732.228,31.200699999999948
South,United States,Home Office,2018,Furniture,Furnishings,,
West,United States,Consumer,2014,Furniture,Furnishings,1906.32,501.1047
West,United States,Consumer,2015,Furniture,Furnishings,4027.17,952.2838999999999
West,United States,Consumer,2016,Furniture,Furnishings,4805.974000000001,1433.3485999999998
West,United States,Consumer,2017,Furniture,Furnishings,5264.49,1487.8773999999994
West,United States,Consumer,2018,Furniture,Furnishings,68.46,20.537999999999997
West,United States,Corporate,2014,Furniture,Furnishings,1399.518,254.74920000000003
West,United States,Corporate,2015,Furniture,Furnishings,2359.4100000000003,589.3694
West,United States,Corporate,2016,Furniture,Furnishings,1189.888,284.5587999999999
West,United States,Corporate,2017,Furniture,Furnishings,2311.9680000000003,504.27649999999994
West,United States,Corporate,2018,Furniture,Furnishings,108.52000000000001,40.4484
West,United States,Home Office,2014,Furniture,Furnishings,971.0219999999999,263.7922
West,United States,Home Office,2015,Furniture,Furnishings,1622.31,390.86009999999993
West,United States,Home Office,2016,Furniture,Furnishings,1792.6460000000002,386.11250000000007
West,United States,Home Office,2017,Furniture,Furnishings,2245.0340000000006,531.9506999999999
Central,United States,Consumer,2014,Furniture,Tables,5836.129999999999,-1372.7273000000005
Central,United States,Consumer,2015,Furniture,Tables,3110.961,-106.12850000000019
Central,United States,Consumer,2016,Furniture,Tables,4940.114,-1177.9492
Central,United States,Consumer,2017,Furniture,Tables,6947.795,-1307.3520999999998
Central,United States,Consumer,2018,Furniture,Tables,,
Central,United States,Corporate,2014,Furniture,Tables,1318.6529999999998,-140.42969999999994
Central,United States,Corporate,2015,Furniture,Tables,1875.2519999999997,251.69550000000004
Central,United States,Corporate,2016,Furniture,Tables,7592.712,1150.9317
Central,United States,Corporate,2017,Furniture,Tables,1775.9759999999999,-555.0169000000003
Central,United States,Corporate,2018,Furniture,Tables,,
Central,United States,Home Office,2014,Furniture,Tables,630.695,88.82600000000002
Central,United States,Home Office,2015,Furniture,Tables,1871.047,-410.6609000000003
Central,United States,Home Office,2016,Furniture,Tables,1390.1,319.6386
Central,United States,Home Office,2017,Furniture,Tables,1865.5359999999998,-300.4776000000001
Central,United States,Home Office,2018,Furniture,Tables,,
East,United States,Consumer,2014,Furniture,Tables,3315.6059999999998,-835.1682000000003
East,United States,Consumer,2015,Furniture,Tables,4033.068,-1341.1239000000003
East,United States,Consumer,2016,Furniture,Tables,3776.876,-764.2839000000001
East,United States,Consumer,2017,Furniture,Tables,2956.917,-767.7767999999999
East,United States,Consumer,2018,Furniture,Tables,,
East,United States,Corporate,2014,Furniture,Tables,6278.982000000001,-2331.2561
East,United States,Corporate,2015,Furniture,Tables,3532.05,-918.2046000000003
East,United States,Corporate,2016,Furniture,Tables,3027.984,-1144.6562000000004
East,United States,Corporate,2017,Furniture,Tables,4712.5419999999995,-905.5387999999998
East,United States,Home Office,2014,Furniture,Tables,485.35200000000003,-179.36640000000003
East,United States,Home Office,2015,Furniture,Tables,1843.452,-208.58239999999995
East,United States,Home Office,2016,Furniture,Tables,1020.4679999999998,-397.8382000000001
East,United States,Home Office,2017,Furniture,Tables,4156.51,-1231.5846000000001
South,United States,Consumer,2014,Furniture,Tables,3902.5945,-67.27690000000024
South,United States,Consumer,2015,Furniture,Tables,7012.0945,-2210.8203000000003
South,United States,Consumer,2016,Furniture,Tables,7690.782999999999,596.2253
South,United States,Consumer,2017,Furniture,Tables,5803.37,-895.6277
South,United States,Consumer,2018,Furniture,Tables,,
South,United States,Corporate,2014,Furniture,Tables,3338.7700000000004,581.3595000000001
South,United States,Corporate,2015,Furniture,Tables,358.58,39.44380000000001
South,United States,Corporate,2016,Furniture,Tables,4807.528500000001,-557.0023000000006
South,United States,Corporate,2017,Furniture,Tables,4114.7970000000005,-1452.0249000000001
South,United States,Home Office,2014,Furniture,Tables,2699.58,593.9076
South,United States,Home Office,2015,Furniture,Tables,,
South,United States,Home Office,2016,Furniture,Tables,,
South,United States,Home Office,2017,Furniture,Tables,4188.0945,-1251.2420000000002
South,United States,Home Office,2018,Furniture,Tables,,
West,United States,Consumer,2014,Furniture,Tables,10868.865999999998,255.43759999999963
West,United States,Consumer,2015,Furniture,Tables,8585.503,203.79839999999996
West,United States,Consumer,2016,Furniture,Tables,9185.527000000002,62.35219999999933
West,United States,Consumer,2017,Furniture,Tables,11967.59,0.3835000000000264
West,United States,Consumer,2018,Furniture,Tables,,
West,United States,Corporate,2014,Furniture,Tables,4440.961,72.90879999999989
West,United States,Corporate,2015,Furniture,Tables,4533.804,772.7909999999999
West,United States,Corporate,2016,Furniture,Tables,13964.012,364.7101
West,United States,Corporate,2017,Furniture,Tables,5199.114,-136.20950000000022
West,United States,Corporate,2018,Furniture,Tables,,
West,United States,Home Office,2014,Furniture,Tables,2448.4120000000003,401.78919999999977
West,United States,Home Office,2015,Furniture,Tables,2918.376,225.94319999999976
West,United States,Home Office,2016,Furniture,Tables,3401.651,-1378.9673
West,United States,Home Office,2017,Furniture,Tables,7240.745999999999,637.6700999999998
Central,United States,Consumer,2014,Office Supplies,Appliances,1748.6660000000002,-789.0035000000001
Central,United States,Consumer,2015,Office Supplies,Appliances,2227.0020000000004,-2200.5389000000005
Central,United States,Consumer,2016,Office Supplies,Appliances,1199.1209999999999,41.32779999999988
Central,United States,Consumer,2017,Office Supplies,Appliances,4643.931999999999,-827.3919000000001
Central,United States,Consumer,2018,Office Supplies,Appliances,,
Central,United States,Corporate,2014,Office Supplies,Appliances,239.75399999999996,-253.47140000000005
Central,United States,Corporate,2015,Office Supplies,Appliances,781.6909999999999,41.72199999999998
Central,United States,Corporate,2016,Office Supplies,Appliances,901.036,-623.8456000000002
Central,United States,Corporate,2017,Office Supplies,Appliances,3302.278,376.3643999999999
Central,United States,Corporate,2018,Office Supplies,Appliances,,
Central,United States,Home Office,2014,Office Supplies,Appliances,1670.785,533.3024999999999
Central,United States,Home Office,2015,Office Supplies,Appliances,1965.8159999999998,-35.9392000000002
Central,United States,Home Office,2016,Office Supplies,Appliances,3832.8940000000002,938.2637
Central,United States,Home Office,2017,Office Supplies,Appliances,859.758,104.08159999999995
Central,United States,Home Office,2018,Office Supplies,Appliances,209.3,56.510999999999996
East,United States,Consumer,2014,Office Supplies,Appliances,2000.2919999999995,530.3836
East,United States,Consumer,2015,Office Supplies,Appliances,4871.173999999998,1329.7018999999993
East,United States,Consumer,2016,Office Supplies,Appliances,4736.658,1340.9531000000004
East,United States,Consumer,2017,Office Supplies,Appliances,7781.632,1807.7192999999997
East,United States,Consumer,2018,Office Supplies,Appliances,,
East,United States,Corporate,2014,Office Supplies,Appliances,1616.726,265.90779999999995
East,United States,Corporate,2015,Office Supplies,Appliances,2081.0559999999996,610.6430999999998
East,United States,Corporate,2016,Office Supplies,Appliances,3673.3779999999997,829.1123
East,United States,Corporate,2017,Office Supplies,Appliances,3610.104,901.624
East,United States,Home Office,2014,Office Supplies,Appliances,302.064,81.15359999999998
East,United States,Home Office,2015,Office Supplies,Appliances,1599.1420000000003,444.77269999999993
East,United States,Home Office,2016,Office Supplies,Appliances,990.056,125.12319999999993
East,United States,Home Office,2017,Office Supplies,Appliances,926.184,124.31879999999987
South,United States,Consumer,2014,Office Supplies,Appliances,765.924,102.89829999999998
South,United States,Consumer,2015,Office Supplies,Appliances,2988.3979999999997,630.4729
South,United States,Consumer,2016,Office Supplies,Appliances,2159.0280000000002,264.0676
South,United States,Consumer,2017,Office Supplies,Appliances,2374.0039999999995,457.82439999999997
South,United States,Consumer,2018,Office Supplies,Appliances,,
South,United States,Corporate,2014,Office Supplies,Appliances,1142.55,371.04339999999996
South,United States,Corporate,2015,Office Supplies,Appliances,833.102,322.70730000000003
South,United States,Corporate,2016,Office Supplies,Appliances,2574.1939999999995,795.8128999999999
South,United States,Corporate,2017,Office Supplies,Appliances,5573.790000000001,1054.2581999999998
South,United States,Home Office,2014,Office Supplies,Appliances,211.248,15.843599999999995
South,United States,Home Office,2015,Office Supplies,Appliances,28.84,9.517199999999999
South,United States,Home Office,2016,Office Supplies,Appliances,874.248,99.49379999999995
South,United States,Home Office,2017,Office Supplies,Appliances,,
South,United States,Home Office,2018,Office Supplies,Appliances,,
West,United States,Consumer,2014,Office Supplies,Appliances,2033.75,579.3983000000001
West,United States,Consumer,2015,Office Supplies,Appliances,3462.51,798.8262999999995
West,United States,Consumer,2016,Office Supplies,Appliances,2664.0480000000002,887.2072999999999
West,United States,Consumer,2017,Office Supplies,Appliances,7163.441999999998,2028.0817000000002
West,United States,Consumer,2018,Office Supplies,Appliances,,
West,United States,Corporate,2014,Office Supplies,Appliances,862.776,235.44519999999997
West,United States,Corporate,2015,Office Supplies,Appliances,2385.098,578.6085999999998
West,United States,Corporate,2016,Office Supplies,Appliances,1202.4840000000002,316.33540000000005
West,United States,Corporate,2017,Office Supplies,Appliances,5808.666000000001,1607.6275999999998
West,United States,Corporate,2018,Office Supplies,Appliances,,
West,United States,Home Office,2014,Office Supplies,Appliances,858.9699999999998,252.0812999999999
West,United States,Home Office,2015,Office Supplies,Appliances,1877.5799999999997,515.9190000000001
West,United States,Home Office,2016,Office Supplies,Appliances,1116,253.61399999999998
West,United States,Home Office,2017,Office Supplies,Appliances,801.0120000000001,208.12519999999995
Central,United States,Consumer,2014,Office Supplies,Art,490.61799999999994,111.90610000000001
Central,United States,Consumer,2015,Office Supplies,Art,391.746,68.0502
Central,United States,Consumer,2016,Office Supplies,Art,936.9760000000001,125.67719999999998
Central,United States,Consumer,2017,Office Supplies,Art,1394.1000000000001,294.83039999999994
Central,United States,Consumer,2018,Office Supplies,Art,58.912000000000006,5.097600000000001
Central,United States,Corporate,2014,Office Supplies,Art,171.05599999999998,47.350599999999986
Central,United States,Corporate,2015,Office Supplies,Art,518.656,125.74969999999996
Central,United States,Corporate,2016,Office Supplies,Art,342.42599999999993,68.4915
Central,United States,Corporate,2017,Office Supplies,Art,446.60400000000004,102.37750000000001
Central,United States,Corporate,2018,Office Supplies,Art,,
Central,United States,Home Office,2014,Office Supplies,Art,120.75999999999999,14.156500000000001
Central,United States,Home Office,2015,Office Supplies,Art,257.99799999999993,67.74780000000001
Central,United States,Home Office,2016,Office Supplies,Art,243.828,68.1978
Central,United States,Home Office,2017,Office Supplies,Art,389.17999999999995,94.6582
Central,United States,Home Office,2018,Office Supplies,Art,2.48,0.8679999999999999
East,United States,Consumer,2014,Office Supplies,Art,608.2820000000003,155.13269999999994
East,United States,Consumer,2015,Office Supplies,Art,974.2039999999998,232.26229999999998
East,United States,Consumer,2016,Office Supplies,Art,1082.058,256.7172
East,United States,Consumer,2017,Office Supplies,Art,1182.6540000000002,344.9519999999999
East,United States,Consumer,2018,Office Supplies,Art,,
East,United States,Corporate,2014,Office Supplies,Art,279.802,68.82619999999999
East,United States,Corporate,2015,Office Supplies,Art,355.41799999999995,95.29309999999997
East,United States,Corporate,2016,Office Supplies,Art,654.896,188.12240000000003
East,United States,Corporate,2017,Office Supplies,Art,988.286,213.92989999999995
East,United States,Home Office,2014,Office Supplies,Art,402.11799999999994,108.95429999999996
East,United States,Home Office,2015,Office Supplies,Art,377.744,72.83769999999997
East,United States,Home Office,2016,Office Supplies,Art,129.092,30.428199999999997
East,United States,Home Office,2017,Office Supplies,Art,451.21000000000004,132.48829999999995
South,United States,Consumer,2014,Office Supplies,Art,339.004,83.193
South,United States,Consumer,2015,Office Supplies,Art,536.784,145.28969999999995
South,United States,Consumer,2016,Office Supplies,Art,906.456,236.8127
South,United States,Consumer,2017,Office Supplies,Art,837.9319999999999,173.13070000000002
South,United States,Consumer,2018,Office Supplies,Art,34.58,10.028199999999998
South,United States,Corporate,2014,Office Supplies,Art,159.47999999999996,43.417799999999986
South,United States,Corporate,2015,Office Supplies,Art,622.648,90.45079999999997
South,United States,Corporate,2016,Office Supplies,Art,316.33799999999997,75.89029999999997
South,United States,Corporate,2017,Office Supplies,Art,233.938,54.49539999999998
South,United States,Home Office,2014,Office Supplies,Art,67.648,7.142499999999995
South,United States,Home Office,2015,Office Supplies,Art,202.886,57.60979999999998
South,United States,Home Office,2016,Office Supplies,Art,167.86,36.36219999999999
South,United States,Home Office,2017,Office Supplies,Art,230.068,44.7635
South,United States,Home Office,2018,Office Supplies,Art,,
West,United States,Consumer,2014,Office Supplies,Art,1391.4940000000004,348.04239999999993
West,United States,Consumer,2015,Office Supplies,Art,1103.514,281.09319999999997
West,United States,Consumer,2016,Office Supplies,Art,613.318,184.8224
West,United States,Consumer,2017,Office Supplies,Art,1369.2980000000002,397.2631
West,United States,Consumer,2018,Office Supplies,Art,,
West,United States,Corporate,2014,Office Supplies,Art,1780.484,342.86879999999996
West,United States,Corporate,2015,Office Supplies,Art,636.4459999999999,178.24179999999996
West,United States,Corporate,2016,Office Supplies,Art,202.718,57.267199999999995
West,United States,Corporate,2017,Office Supplies,Art,881.2520000000001,251.8747
West,United States,Corporate,2018,Office Supplies,Art,,
West,United States,Home Office,2014,Office Supplies,Art,207.716,61.383399999999995
West,United States,Home Office,2015,Office Supplies,Art,295.0299999999999,83.90970000000002
West,United States,Home Office,2016,Office Supplies,Art,300.44599999999997,79.2635
West,United States,Home Office,2017,Office Supplies,Art,430.3500000000001,108.06679999999997
Central,United States,Consumer,2014,Office Supplies,Binders,14713.503999999997,-914.2178000000044
Central,United States,Consumer,2015,Office Supplies,Binders,1225.4039999999998,-461.2623000000003
Central,United States,Consumer,2016,Office Supplies,Binders,11605.643999999998,3073.294099999999
Central,United States,Consumer,2017,Office Supplies,Binders,12065.293999999998,264.51679999999874
Central,United States,Consumer,2018,Office Supplies,Binders,83.72999999999999,-130.00979999999998
Central,United States,Corporate,2014,Office Supplies,Binders,469.162,-412.26420000000013
Central,United States,Corporate,2015,Office Supplies,Binders,225.96599999999995,-197.90930000000003
Central,United States,Corporate,2016,Office Supplies,Binders,2157.7479999999996,-190.34350000000018
Central,United States,Corporate,2017,Office Supplies,Binders,6024.9839999999995,-3617.219900000002
Central,United States,Corporate,2018,Office Supplies,Binders,1.6799999999999995,-2.6880000000000015
Central,United States,Home Office,2014,Office Supplies,Binders,685.9859999999999,-45.79620000000011
Central,United States,Home Office,2015,Office Supplies,Binders,4321.448,1979.0884
Central,United States,Home Office,2016,Office Supplies,Binders,406.12000000000006,93.30239999999999
Central,United States,Home Office,2017,Office Supplies,Binders,2910.712,-494.81860000000006
Central,United States,Home Office,2018,Office Supplies,Binders,25.9,12.690999999999999
East,United States,Consumer,2014,Office Supplies,Binders,3859.503000000001,923.8603999999998
East,United States,Consumer,2015,Office Supplies,Binders,10575.405,3907.7617000000005
East,United States,Consumer,2016,Office Supplies,Binders,8129.984,721.3482999999994
East,United States,Consumer,2017,Office Supplies,Binders,8971.678,1156.6816999999992
East,United States,Consumer,2018,Office Supplies,Binders,86.03999999999999,31.0176
East,United States,Corporate,2014,Office Supplies,Binders,1420.894,-178.14229999999986
East,United States,Corporate,2015,Office Supplies,Binders,2825.014,708.5404999999998
East,United States,Corporate,2016,Office Supplies,Binders,4772.522,1538.8229999999992
East,United States,Corporate,2017,Office Supplies,Binders,3029.951000000001,763.7821999999999
East,United States,Home Office,2014,Office Supplies,Binders,1030.7820000000002,402.4006
East,United States,Home Office,2015,Office Supplies,Binders,841.7099999999998,140.0245
East,United States,Home Office,2016,Office Supplies,Binders,6053.042000000001,542.4744999999994
East,United States,Home Office,2017,Office Supplies,Binders,1901.4720000000002,609.3618999999999
South,United States,Consumer,2014,Office Supplies,Binders,2743.139999999999,522.6309
South,United States,Consumer,2015,Office Supplies,Binders,10395.143000000005,1130.9719999999993
South,United States,Consumer,2016,Office Supplies,Binders,916.507,2.1980000000000928
South,United States,Consumer,2017,Office Supplies,Binders,4550.383,-77.76149999999964
South,United States,Consumer,2018,Office Supplies,Binders,12.53,5.889099999999999
South,United States,Corporate,2014,Office Supplies,Binders,4450.604000000001,1928.3879
South,United States,Corporate,2015,Office Supplies,Binders,1997.616,-1160.4623000000001
South,United States,Corporate,2016,Office Supplies,Binders,1581.909,252.46940000000012
South,United States,Corporate,2017,Office Supplies,Binders,3797.503,1475.8051000000003
South,United States,Home Office,2014,Office Supplies,Binders,1113.702,-30.917099999999962
South,United States,Home Office,2015,Office Supplies,Binders,478.07800000000003,207.6734
South,United States,Home Office,2016,Office Supplies,Binders,2169.384,671.6350000000002
