Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),CountNonNull(Orders.Row ID)
Qtr 2,2015,Technology,Accessories,4600.2480000000005,29
Qtr 3,2015,Technology,Accessories,11973.883999999998,42
Qtr 4,2015,Technology,Accessories,20800.100000000002,74
Qtr 1,2016,Technology,Accessories,4890.926000000001,31
Qtr 2,2016,Technology,Accessories,7222.557999999999,39
Qtr 3,2016,Technology,Accessories,12445.411999999995,40
Qtr 4,2016,Technology,Accessories,17336.957999999995,76
Qtr 1,2017,Technology,Accessories,8515.352,39
Qtr 2,2017,Technology,Accessories,10741.866000000004,53
Qtr 3,2017,Technology,Accessories,22277.63599999999,86
Qtr 4,2017,Technology,Accessories,18411.377999999997,97
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,2999.93,3
Qtr 3,2014,Technology,Copiers,4109.928,4
Qtr 4,2014,Technology,Copiers,3739.924,3
Qtr 1,2015,Technology,Copiers,4269.914000000001,2
Qtr 2,2015,Technology,Copiers,6379.83,5
Qtr 3,2015,Technology,Copiers,5119.912000000001,4
Qtr 4,2015,Technology,Copiers,10409.794000000002,9
Qtr 1,2016,Technology,Copiers,959.9680000000001,1
Qtr 2,2016,Technology,Copiers,10439.939999999999,3
Qtr 3,2016,Technology,Copiers,11619.722000000002,7
Qtr 4,2016,Technology,Copiers,26579.779999999995,5
Qtr 1,2017,Technology,Copiers,24319.772,7
Qtr 2,2017,Technology,Copiers,3359.952,1
Qtr 3,2017,Technology,Copiers,4979.872,6
Qtr 4,2017,Technology,Copiers,30239.792,8
Qtr 1,2014,Technology,Machines,25314.658,4
Qtr 2,2014,Technology,Machines,979.729,4
Qtr 3,2014,Technology,Machines,22420.282,12
Qtr 4,2014,Technology,Machines,13308.704000000002,6
Qtr 1,2015,Technology,Machines,3107.9760000000006,2
Qtr 2,2015,Technology,Machines,4824.756,4
Qtr 3,2015,Technology,Machines,4973.276,5
Qtr 4,2015,Technology,Machines,14857.689,13
Qtr 1,2016,Technology,Machines,17744.49,5
Qtr 2,2016,Technology,Machines,24273.397,11
Qtr 3,2016,Technology,Machines,3309.518,6
Qtr 4,2016,Technology,Machines,10579.481000000003,10
Qtr 1,2017,Technology,Machines,5089.345,6
Qtr 2,2017,Technology,Machines,11562.129,6
Qtr 3,2017,Technology,Machines,6008.859,8
Qtr 4,2017,Technology,Machines,20884.342,13
Qtr 1,2014,Technology,Phones,8890.502,19
Qtr 2,2014,Technology,Phones,19343.095999999994,40
Qtr 3,2014,Technology,Phones,13515.171999999999,40
Qtr 4,2014,Technology,Phones,35642.036,72
Qtr 1,2015,Technology,Phones,7890.6280000000015,28
Qtr 2,2015,Technology,Phones,13434.484000000002,48
Qtr 3,2015,Technology,Phones,22845.654,50
Qtr 4,2015,Technology,Phones,24142.936,73
Qtr 1,2016,Technology,Phones,15851.447999999999,38
Qtr 2,2016,Technology,Phones,18159.45,47
Qtr 3,2016,Technology,Phones,18450.156,68
Qtr 4,2016,Technology,Phones,26500.975999999995,72
Qtr 1,2017,Technology,Phones,18264.23,56
Qtr 2,2017,Technology,Phones,17347.127999999997,54
Qtr 3,2017,Technology,Phones,34505.323999999986,77
Qtr 4,2017,Technology,Phones,35223.83399999999,107
