Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.City,Orders.Country,Orders.Segment,Sum(Orders.Profit),Sum(Orders.Sales)
2014,Furniture,Bookcases,Buffalo,United States,Consumer,-50.0980000000003,4007.8400000000006
2015,Furniture,Bookcases,Buffalo,United States,Consumer,,
2016,Furniture,Bookcases,Buffalo,United States,Consumer,,
2017,Furniture,Bookcases,Buffalo,United States,Consumer,,
2014,Furniture,Bookcases,Burlington,United States,Corporate,,
2015,Furniture,Bookcases,Burlington,United States,Corporate,1013.1270000000001,4404.9
2016,Furniture,Bookcases,Burlington,United States,Corporate,,
2017,Furniture,Bookcases,Burlington,United States,Corporate,,
2014,Furniture,Bookcases,Camarillo,United States,Corporate,,
2015,Furniture,Bookcases,Camarillo,United States,Corporate,41.99649999999994,509.9574999999999
2016,Furniture,Bookcases,Camarillo,United States,Corporate,,
2017,Furniture,Bookcases,Camarillo,United States,Corporate,,
2014,Furniture,Bookcases,Chicago,United States,Consumer,-70.48999999999998,493.42999999999995
2015,Furniture,Bookcases,Chicago,United States,Consumer,-71.81160000000003,359.05799999999994
2016,Furniture,Bookcases,Chicago,United States,Consumer,0,198.744
2017,Furniture,Bookcases,Chicago,United States,Consumer,-36.67439999999999,183.37199999999999
2014,Furniture,Bookcases,Chicago,United States,Corporate,,
2015,Furniture,Bookcases,Chicago,United States,Corporate,,
2016,Furniture,Bookcases,Chicago,United States,Corporate,-14.137200000000014,141.37199999999999
2017,Furniture,Bookcases,Chicago,United States,Corporate,-117.88199999999998,825.174
2014,Furniture,Bookcases,Clarksville,United States,Home Office,,
2015,Furniture,Bookcases,Clarksville,United States,Home Office,,
2016,Furniture,Bookcases,Clarksville,United States,Home Office,,
2017,Furniture,Bookcases,Clarksville,United States,Home Office,-14.51760000000003,387.136
2014,Furniture,Bookcases,Cleveland,United States,Consumer,,
2015,Furniture,Bookcases,Cleveland,United States,Consumer,,
2016,Furniture,Bookcases,Cleveland,United States,Consumer,-241.17600000000002,301.46999999999997
2017,Furniture,Bookcases,Cleveland,United States,Consumer,,
2014,Furniture,Bookcases,Cleveland,United States,Corporate,,
2015,Furniture,Bookcases,Cleveland,United States,Corporate,,
2016,Furniture,Bookcases,Cleveland,United States,Corporate,,
2017,Furniture,Bookcases,Cleveland,United States,Corporate,-64.93759999999999,115.96
2014,Furniture,Bookcases,Colorado Springs,United States,Consumer,,
2015,Furniture,Bookcases,Colorado Springs,United States,Consumer,-930.5344000000002,659.6340000000001
2016,Furniture,Bookcases,Colorado Springs,United States,Consumer,,
2017,Furniture,Bookcases,Colorado Springs,United States,Consumer,,
2014,Furniture,Bookcases,Columbia,United States,Consumer,36.294,362.94
2015,Furniture,Bookcases,Columbia,United States,Consumer,,
2016,Furniture,Bookcases,Columbia,United States,Consumer,,
2017,Furniture,Bookcases,Columbia,United States,Consumer,,
2014,Furniture,Bookcases,Columbus,United States,Consumer,,
2015,Furniture,Bookcases,Columbus,United States,Consumer,-15.6156,35.49
2016,Furniture,Bookcases,Columbus,United States,Consumer,88.72500000000002,354.90000000000003
2017,Furniture,Bookcases,Columbus,United States,Consumer,,
2014,Furniture,Bookcases,Columbus,United States,Corporate,-199.61700000000002,302.45
2015,Furniture,Bookcases,Columbus,United States,Corporate,,
2016,Furniture,Bookcases,Columbus,United States,Corporate,,
2017,Furniture,Bookcases,Columbus,United States,Corporate,,
2014,Furniture,Bookcases,Columbus,United States,Home Office,,
2015,Furniture,Bookcases,Columbus,United States,Home Office,,
2016,Furniture,Bookcases,Columbus,United States,Home Office,-48.703199999999995,86.97
2017,Furniture,Bookcases,Columbus,United States,Home Office,,
2014,Furniture,Bookcases,Concord,United States,Consumer,,
2015,Furniture,Bookcases,Concord,United States,Consumer,,
2016,Furniture,Bookcases,Concord,United States,Consumer,,
2017,Furniture,Bookcases,Concord,United States,Consumer,14.097999999999999,239.66599999999997
2014,Furniture,Bookcases,Coral Springs,United States,Consumer,,
2015,Furniture,Bookcases,Coral Springs,United States,Consumer,,
2016,Furniture,Bookcases,Coral Springs,United States,Consumer,,
2017,Furniture,Bookcases,Coral Springs,United States,Consumer,-15.71759999999999,314.352
2014,Furniture,Bookcases,Dallas,United States,Consumer,,
2015,Furniture,Bookcases,Dallas,United States,Consumer,-437.5404000000002,1352.3975999999998
2016,Furniture,Bookcases,Dallas,United States,Consumer,-52.89080000000003,156.37279999999998
2017,Furniture,Bookcases,Dallas,United States,Consumer,-102.48999999999998,614.6655999999999
2014,Furniture,Bookcases,Dallas,United States,Corporate,,
2015,Furniture,Bookcases,Dallas,United States,Corporate,,
2016,Furniture,Bookcases,Dallas,United States,Corporate,,
2017,Furniture,Bookcases,Dallas,United States,Corporate,-27.264600000000016,205.99919999999997
2014,Furniture,Bookcases,Denver,United States,Corporate,,
2015,Furniture,Bookcases,Denver,United States,Corporate,,
2016,Furniture,Bookcases,Denver,United States,Corporate,-190.85220000000004,90.882
2017,Furniture,Bookcases,Denver,United States,Corporate,-363.5279999999999,242.35200000000003
2014,Furniture,Bookcases,Des Plaines,United States,Consumer,-30.293999999999983,424.116
2015,Furniture,Bookcases,Des Plaines,United States,Consumer,,
2016,Furniture,Bookcases,Des Plaines,United States,Consumer,,
2017,Furniture,Bookcases,Des Plaines,United States,Consumer,,
2014,Furniture,Bookcases,Detroit,United States,Corporate,,
2015,Furniture,Bookcases,Detroit,United States,Corporate,20.927400000000006,160.98
2016,Furniture,Bookcases,Detroit,United States,Corporate,,
2017,Furniture,Bookcases,Detroit,United States,Corporate,,
2014,Furniture,Bookcases,Detroit,United States,Home Office,57.4938,212.94
2015,Furniture,Bookcases,Detroit,United States,Home Office,,
2016,Furniture,Bookcases,Detroit,United States,Home Office,,
2017,Furniture,Bookcases,Detroit,United States,Home Office,,
2014,Furniture,Bookcases,Eau Claire,United States,Consumer,,
2015,Furniture,Bookcases,Eau Claire,United States,Consumer,,
2016,Furniture,Bookcases,Eau Claire,United States,Consumer,32.46879999999998,405.85999999999996
2017,Furniture,Bookcases,Eau Claire,United States,Consumer,,
2014,Furniture,Bookcases,Encinitas,United States,Consumer,,
2015,Furniture,Bookcases,Encinitas,United States,Consumer,,
2016,Furniture,Bookcases,Encinitas,United States,Consumer,,
2017,Furniture,Bookcases,Encinitas,United States,Consumer,-12.688200000000002,119.83299999999998
2014,Furniture,Bookcases,Everett,United States,Consumer,,
2015,Furniture,Bookcases,Everett,United States,Consumer,,
2016,Furniture,Bookcases,Everett,United States,Consumer,,
2017,Furniture,Bookcases,Everett,United States,Consumer,203.56440000000003,782.94
2014,Furniture,Bookcases,Everett,United States,Home Office,,
2015,Furniture,Bookcases,Everett,United States,Home Office,32.4862,170.98
2016,Furniture,Bookcases,Everett,United States,Home Office,,
2017,Furniture,Bookcases,Everett,United States,Home Office,,
2014,Furniture,Bookcases,Fayetteville,United States,Consumer,,
2015,Furniture,Bookcases,Fayetteville,United States,Consumer,,
2016,Furniture,Bookcases,Fayetteville,United States,Consumer,-67.67039999999997,451.13599999999997
2017,Furniture,Bookcases,Fayetteville,United States,Consumer,,
2014,Furniture,Bookcases,Fayetteville,United States,Corporate,,
2015,Furniture,Bookcases,Fayetteville,United States,Corporate,,
2016,Furniture,Bookcases,Fayetteville,United States,Corporate,,
2017,Furniture,Bookcases,Fayetteville,United States,Corporate,-32.21920000000002,198.27200000000002
2014,Furniture,Bookcases,Fort Collins,United States,Consumer,,
2015,Furniture,Bookcases,Fort Collins,United States,Consumer,,
2016,Furniture,Bookcases,Fort Collins,United States,Consumer,,
2017,Furniture,Bookcases,Fort Collins,United States,Consumer,-240.78400000000005,180.58800000000005
2014,Furniture,Bookcases,Fort Lauderdale,United States,Consumer,,
2015,Furniture,Bookcases,Fort Lauderdale,United States,Consumer,,
2016,Furniture,Bookcases,Fort Lauderdale,United States,Consumer,,
2017,Furniture,Bookcases,Fort Lauderdale,United States,Consumer,-81.44099999999995,723.92
2014,Furniture,Bookcases,Fort Worth,United States,Corporate,,
2015,Furniture,Bookcases,Fort Worth,United States,Corporate,,
2016,Furniture,Bookcases,Fort Worth,United States,Corporate,,
2017,Furniture,Bookcases,Fort Worth,United States,Corporate,-161.30140000000006,843.7303999999999
2014,Furniture,Bookcases,Franklin,United States,Corporate,,
2015,Furniture,Bookcases,Franklin,United States,Corporate,,
2016,Furniture,Bookcases,Franklin,United States,Corporate,427.6138000000001,1647.8200000000002
2017,Furniture,Bookcases,Franklin,United States,Corporate,,
2014,Furniture,Bookcases,Fresno,United States,Consumer,11.998799999999989,254.97449999999998
2015,Furniture,Bookcases,Fresno,United States,Consumer,,
2016,Furniture,Bookcases,Fresno,United States,Consumer,,
2017,Furniture,Bookcases,Fresno,United States,Consumer,,
2014,Furniture,Bookcases,Fresno,United States,Home Office,,
2015,Furniture,Bookcases,Fresno,United States,Home Office,,
2016,Furniture,Bookcases,Fresno,United States,Home Office,21.293999999999993,120.666
2017,Furniture,Bookcases,Fresno,United States,Home Office,,
2014,Furniture,Bookcases,Gaithersburg,United States,Corporate,,
2015,Furniture,Bookcases,Gaithersburg,United States,Corporate,,
2016,Furniture,Bookcases,Gaithersburg,United States,Corporate,38.2668,173.94
2017,Furniture,Bookcases,Gaithersburg,United States,Corporate,,
2014,Furniture,Bookcases,Greenville,United States,Consumer,,
2015,Furniture,Bookcases,Greenville,United States,Consumer,,
2016,Furniture,Bookcases,Greenville,United States,Consumer,,
2017,Furniture,Bookcases,Greenville,United States,Consumer,5.798000000000002,231.92000000000002
2014,Furniture,Bookcases,Harlingen,United States,Consumer,,
2015,Furniture,Bookcases,Harlingen,United States,Consumer,,
2016,Furniture,Bookcases,Harlingen,United States,Consumer,-14.195999999999998,241.332
2017,Furniture,Bookcases,Harlingen,United States,Consumer,,
2014,Furniture,Bookcases,Hattiesburg,United States,Consumer,,
2015,Furniture,Bookcases,Hattiesburg,United States,Consumer,,
2016,Furniture,Bookcases,Hattiesburg,United States,Consumer,126.22500000000002,504.90000000000003
2017,Furniture,Bookcases,Hattiesburg,United States,Consumer,,
2014,Furniture,Bookcases,Henderson,United States,Consumer,,
2015,Furniture,Bookcases,Henderson,United States,Consumer,,
2016,Furniture,Bookcases,Henderson,United States,Consumer,41.9136,261.96
2017,Furniture,Bookcases,Henderson,United States,Consumer,,
2014,Furniture,Bookcases,Hesperia,United States,Corporate,,
2015,Furniture,Bookcases,Hesperia,United States,Corporate,,
2016,Furniture,Bookcases,Hesperia,United States,Corporate,19.997999999999976,424.9574999999999
2017,Furniture,Bookcases,Hesperia,United States,Corporate,,
2014,Furniture,Bookcases,Hialeah,United States,Home Office,,
2015,Furniture,Bookcases,Hialeah,United States,Home Office,,
2016,Furniture,Bookcases,Hialeah,United States,Home Office,8.497999999999976,339.9200000000001
2017,Furniture,Bookcases,Hialeah,United States,Home Office,,
2014,Furniture,Bookcases,Highland Park,United States,Consumer,,
2015,Furniture,Bookcases,Highland Park,United States,Consumer,-178.6775999999999,1298.374
2016,Furniture,Bookcases,Highland Park,United States,Consumer,,
2017,Furniture,Bookcases,Highland Park,United States,Consumer,,
2014,Furniture,Bookcases,Holyoke,United States,Home Office,,
2015,Furniture,Bookcases,Holyoke,United States,Home Office,60.391999999999996,301.96
2016,Furniture,Bookcases,Holyoke,United States,Home Office,,
2017,Furniture,Bookcases,Holyoke,United States,Home Office,,
2014,Furniture,Bookcases,Houston,United States,Consumer,,
2015,Furniture,Bookcases,Houston,United States,Consumer,-18.058800000000076,613.9992
2016,Furniture,Bookcases,Houston,United States,Consumer,-542.2504,3352.9303999999997
2017,Furniture,Bookcases,Houston,United States,Consumer,-30.098000000000127,1023.3319999999999
2014,Furniture,Bookcases,Houston,United States,Corporate,-12.998700000000007,67.99319999999999
2015,Furniture,Bookcases,Houston,United States,Corporate,-150.1350000000001,1597.1976
2016,Furniture,Bookcases,Houston,United States,Corporate,-137.97600000000008,781.8639999999999
2017,Furniture,Bookcases,Houston,United States,Corporate,,
2014,Furniture,Bookcases,Houston,United States,Home Office,-97.23120000000003,300.53279999999995
2015,Furniture,Bookcases,Houston,United States,Home Office,-114.64680000000001,915.8647999999998
2016,Furniture,Bookcases,Houston,United States,Home Office,,
2017,Furniture,Bookcases,Houston,United States,Home Office,-17.027400000000007,89.06639999999999
2014,Furniture,Bookcases,Huntsville,United States,Corporate,,
2015,Furniture,Bookcases,Huntsville,United States,Corporate,,
2016,Furniture,Bookcases,Huntsville,United States,Corporate,-225.09759999999991,956.6647999999999
2017,Furniture,Bookcases,Huntsville,United States,Corporate,,
2014,Furniture,Bookcases,Jacksonville,United States,Consumer,-7.7727999999999895,155.45600000000002
2015,Furniture,Bookcases,Jacksonville,United States,Consumer,,
2016,Furniture,Bookcases,Jacksonville,United States,Consumer,,
2017,Furniture,Bookcases,Jacksonville,United States,Consumer,,
2014,Furniture,Bookcases,Jonesboro,United States,Consumer,172.4814,638.82
2015,Furniture,Bookcases,Jonesboro,United States,Consumer,,
2016,Furniture,Bookcases,Jonesboro,United States,Consumer,,
2017,Furniture,Bookcases,Jonesboro,United States,Consumer,,
2014,Furniture,Bookcases,Kenosha,United States,Consumer,,
2015,Furniture,Bookcases,Kenosha,United States,Consumer,97.45859999999999,512.9399999999999
2016,Furniture,Bookcases,Kenosha,United States,Consumer,,
2017,Furniture,Bookcases,Kenosha,United States,Consumer,,
2014,Furniture,Bookcases,Lafayette,United States,Consumer,,
2015,Furniture,Bookcases,Lafayette,United States,Consumer,,
2016,Furniture,Bookcases,Lafayette,United States,Consumer,,
2017,Furniture,Bookcases,Lafayette,United States,Consumer,57.19280000000002,387.70000000000005
2014,Furniture,Bookcases,Laguna Niguel,United States,Home Office,,
2015,Furniture,Bookcases,Laguna Niguel,United States,Home Office,,
2016,Furniture,Bookcases,Laguna Niguel,United States,Home Office,,
2017,Furniture,Bookcases,Laguna Niguel,United States,Home Office,16.79859999999998,203.98299999999998
2014,Furniture,Bookcases,Lakewood,United States,Consumer,,
2015,Furniture,Bookcases,Lakewood,United States,Consumer,,
2016,Furniture,Bookcases,Lakewood,United States,Consumer,24.235199999999978,257.499
2017,Furniture,Bookcases,Lakewood,United States,Consumer,129.29399999999987,2154.9
2014,Furniture,Bookcases,Lansing,United States,Home Office,,
2015,Furniture,Bookcases,Lansing,United States,Home Office,,
2016,Furniture,Bookcases,Lansing,United States,Home Office,,
2017,Furniture,Bookcases,Lansing,United States,Home Office,41.13319999999999,241.96
2014,Furniture,Bookcases,Las Vegas,United States,Consumer,,
2015,Furniture,Bookcases,Las Vegas,United States,Consumer,41.16839999999999,141.96
2016,Furniture,Bookcases,Las Vegas,United States,Consumer,,
2017,Furniture,Bookcases,Las Vegas,United States,Consumer,,
2014,Furniture,Bookcases,Lincoln Park,United States,Corporate,,
2015,Furniture,Bookcases,Lincoln Park,United States,Corporate,31.091200000000015,194.32
2016,Furniture,Bookcases,Lincoln Park,United States,Corporate,,
2017,Furniture,Bookcases,Lincoln Park,United States,Corporate,,
2014,Furniture,Bookcases,Littleton,United States,Consumer,,
2015,Furniture,Bookcases,Littleton,United States,Consumer,,
2016,Furniture,Bookcases,Littleton,United States,Consumer,-98.80179999999999,72.29400000000001
2017,Furniture,Bookcases,Littleton,United States,Consumer,,
2014,Furniture,Bookcases,Long Beach,United States,Consumer,,
2015,Furniture,Bookcases,Long Beach,United States,Consumer,,
2016,Furniture,Bookcases,Long Beach,United States,Consumer,-22.098000000000013,176.784
2017,Furniture,Bookcases,Long Beach,United States,Consumer,,
2014,Furniture,Bookcases,Los Angeles,United States,Consumer,,
2015,Furniture,Bookcases,Los Angeles,United States,Consumer,47.41159999999998,428.332
2016,Furniture,Bookcases,Los Angeles,United States,Consumer,180.96059999999986,4202.995
2017,Furniture,Bookcases,Los Angeles,United States,Consumer,109.13329999999989,1698.9035
2014,Furniture,Bookcases,Los Angeles,United States,Corporate,16.26069999999998,1213.6385
2015,Furniture,Bookcases,Los Angeles,United States,Corporate,,
2016,Furniture,Bookcases,Los Angeles,United States,Corporate,,
2017,Furniture,Bookcases,Los Angeles,United States,Corporate,,
2014,Furniture,Bookcases,Los Angeles,United States,Home Office,,
2015,Furniture,Bookcases,Los Angeles,United States,Home Office,,
2016,Furniture,Bookcases,Los Angeles,United States,Home Office,35.245000000000005,599.165
2017,Furniture,Bookcases,Los Angeles,United States,Home Office,110.71180000000005,2011.831
2014,Furniture,Bookcases,Louisville,United States,Consumer,,
2015,Furniture,Bookcases,Louisville,United States,Consumer,,
2016,Furniture,Bookcases,Louisville,United States,Consumer,,
2017,Furniture,Bookcases,Louisville,United States,Consumer,-152.9847,89.99100000000001
2014,Furniture,Bookcases,Madison,United States,Consumer,,
2015,Furniture,Bookcases,Madison,United States,Consumer,,
2016,Furniture,Bookcases,Madison,United States,Consumer,,
2017,Furniture,Bookcases,Madison,United States,Consumer,41.392799999999966,459.92
2014,Furniture,Bookcases,Malden,United States,Home Office,,
2015,Furniture,Bookcases,Malden,United States,Home Office,,
2016,Furniture,Bookcases,Malden,United States,Home Office,13.915199999999992,173.94
2017,Furniture,Bookcases,Malden,United States,Home Office,,
2014,Furniture,Bookcases,Manchester,United States,Corporate,,
2015,Furniture,Bookcases,Manchester,United States,Corporate,,
2016,Furniture,Bookcases,Manchester,United States,Corporate,271.41920000000005,1043.92
2017,Furniture,Bookcases,Manchester,United States,Corporate,,
2014,Furniture,Bookcases,Medina,United States,Corporate,,
2015,Furniture,Bookcases,Medina,United States,Corporate,-244.32300000000006,452.45
2016,Furniture,Bookcases,Medina,United States,Corporate,,
2017,Furniture,Bookcases,Medina,United States,Corporate,,
2014,Furniture,Bookcases,Mesa,United States,Consumer,,
2015,Furniture,Bookcases,Mesa,United States,Consumer,-191.64599999999996,127.76400000000002
2016,Furniture,Bookcases,Mesa,United States,Consumer,,
2017,Furniture,Bookcases,Mesa,United States,Consumer,,
2014,Furniture,Bookcases,Miami,United States,Consumer,,
2015,Furniture,Bookcases,Miami,United States,Consumer,-36.29400000000001,290.35200000000003
2016,Furniture,Bookcases,Miami,United States,Consumer,,
2017,Furniture,Bookcases,Miami,United States,Consumer,,
2014,Furniture,Bookcases,Milford,United States,Corporate,,
2015,Furniture,Bookcases,Milford,United States,Corporate,,
2016,Furniture,Bookcases,Milford,United States,Corporate,,
2017,Furniture,Bookcases,Milford,United States,Corporate,185.25779999999997,638.82
2014,Furniture,Bookcases,Milwaukee,United States,Home Office,,
2015,Furniture,Bookcases,Milwaukee,United States,Home Office,48.11799999999998,687.4
2016,Furniture,Bookcases,Milwaukee,United States,Home Office,,
2017,Furniture,Bookcases,Milwaukee,United States,Home Office,,
2014,Furniture,Bookcases,Mission Viejo,United States,Consumer,3.4195999999999884,290.666
2015,Furniture,Bookcases,Mission Viejo,United States,Consumer,,
2016,Furniture,Bookcases,Mission Viejo,United States,Consumer,,
2017,Furniture,Bookcases,Mission Viejo,United States,Consumer,,
2014,Furniture,Bookcases,Monroe,United States,Consumer,,
2015,Furniture,Bookcases,Monroe,United States,Consumer,,
2016,Furniture,Bookcases,Monroe,United States,Consumer,,
2017,Furniture,Bookcases,Monroe,United States,Consumer,-3.8863999999999947,77.72800000000001
2014,Furniture,Bookcases,Morgan Hill,United States,Consumer,,
2015,Furniture,Bookcases,Morgan Hill,United States,Consumer,,
2016,Furniture,Bookcases,Morgan Hill,United States,Consumer,-12.097999999999999,205.666
2017,Furniture,Bookcases,Morgan Hill,United States,Consumer,,
2014,Furniture,Bookcases,Murfreesboro,United States,Corporate,,
2015,Furniture,Bookcases,Murfreesboro,United States,Corporate,8.193999999999996,131.104
2016,Furniture,Bookcases,Murfreesboro,United States,Corporate,,
2017,Furniture,Bookcases,Murfreesboro,United States,Corporate,,
2014,Furniture,Bookcases,New York City,United States,Consumer,-164.70560000000015,2039.056
2015,Furniture,Bookcases,New York City,United States,Consumer,232.31139999999976,7363.600000000001
2016,Furniture,Bookcases,New York City,United States,Consumer,20.172599999999917,2125.328
2017,Furniture,Bookcases,New York City,United States,Consumer,-34.974400000000145,2476.496
2014,Furniture,Bookcases,New York City,United States,Corporate,,
2015,Furniture,Bookcases,New York City,United States,Corporate,10.462000000000007,232.43200000000002
2016,Furniture,Bookcases,New York City,United States,Corporate,21.717599999999948,579.136
2017,Furniture,Bookcases,New York City,United States,Corporate,7.199399999999969,287.976
2014,Furniture,Bookcases,New York City,United States,Home Office,-37.943400000000025,275.952
2015,Furniture,Bookcases,New York City,United States,Home Office,159.36839999999992,1525.4880000000003
2016,Furniture,Bookcases,New York City,United States,Home Office,12.776399999999988,113.56800000000001
2017,Furniture,Bookcases,New York City,United States,Home Office,,
2014,Furniture,Bookcases,Newark,United States,Consumer,,
2015,Furniture,Bookcases,Newark,United States,Consumer,56.99429999999998,299.96999999999997
2016,Furniture,Bookcases,Newark,United States,Consumer,,
2017,Furniture,Bookcases,Newark,United States,Consumer,,
2014,Furniture,Bookcases,Newark,United States,Corporate,,
2015,Furniture,Bookcases,Newark,United States,Corporate,,
2016,Furniture,Bookcases,Newark,United States,Corporate,,
2017,Furniture,Bookcases,Newark,United States,Corporate,101.6508,441.96
2014,Furniture,Bookcases,Oklahoma City,United States,Consumer,,
2015,Furniture,Bookcases,Oklahoma City,United States,Consumer,,
2016,Furniture,Bookcases,Oklahoma City,United States,Consumer,54.713599999999985,341.96
2017,Furniture,Bookcases,Oklahoma City,United States,Consumer,,
2014,Furniture,Bookcases,Orem,United States,Consumer,,
2015,Furniture,Bookcases,Orem,United States,Consumer,140.6859999999999,1406.86
2016,Furniture,Bookcases,Orem,United States,Consumer,,
2017,Furniture,Bookcases,Orem,United States,Consumer,,
2014,Furniture,Bookcases,Orlando,United States,Corporate,,
2015,Furniture,Bookcases,Orlando,United States,Corporate,,
2016,Furniture,Bookcases,Orlando,United States,Corporate,10.858799999999974,289.568
2017,Furniture,Bookcases,Orlando,United States,Corporate,,
2014,Furniture,Bookcases,Parker,United States,Consumer,,
2015,Furniture,Bookcases,Parker,United States,Consumer,,
2016,Furniture,Bookcases,Parker,United States,Consumer,,
2017,Furniture,Bookcases,Parker,United States,Consumer,-183.6323999999999,102.01800000000001
2014,Furniture,Bookcases,Pembroke Pines,United States,Consumer,,
2015,Furniture,Bookcases,Pembroke Pines,United States,Consumer,,
2016,Furniture,Bookcases,Pembroke Pines,United States,Consumer,,
2017,Furniture,Bookcases,Pembroke Pines,United States,Consumer,0,241.56799999999998
2014,Furniture,Bookcases,Peoria,United States,Home Office,,
2015,Furniture,Bookcases,Peoria,United States,Home Office,-35.9058,359.05799999999994
2016,Furniture,Bookcases,Peoria,United States,Home Office,,
2017,Furniture,Bookcases,Peoria,United States,Home Office,,
2014,Furniture,Bookcases,Perth Amboy,United States,Consumer,,
2015,Furniture,Bookcases,Perth Amboy,United States,Consumer,,
2016,Furniture,Bookcases,Perth Amboy,United States,Consumer,12.097999999999999,120.98
2017,Furniture,Bookcases,Perth Amboy,United States,Consumer,,
2014,Furniture,Bookcases,Philadelphia,United States,Consumer,-216.97830000000002,349.965
2015,Furniture,Bookcases,Philadelphia,United States,Consumer,-1870.0518,3384.9
2016,Furniture,Bookcases,Philadelphia,United States,Consumer,,
2017,Furniture,Bookcases,Philadelphia,United States,Consumer,-134.41559999999998,218.19
2014,Furniture,Bookcases,Philadelphia,United States,Corporate,-53.28560000000001,61.96
2015,Furniture,Bookcases,Philadelphia,United States,Corporate,,
2016,Furniture,Bookcases,Philadelphia,United States,Corporate,-81.94,163.88
2017,Furniture,Bookcases,Philadelphia,United States,Corporate,,
2014,Furniture,Bookcases,Philadelphia,United States,Home Office,,
2015,Furniture,Bookcases,Philadelphia,United States,Home Office,-211.47,352.45
2016,Furniture,Bookcases,Philadelphia,United States,Home Office,,
2017,Furniture,Bookcases,Philadelphia,United States,Home Office,,
2014,Furniture,Bookcases,Phoenix,United States,Corporate,,
2015,Furniture,Bookcases,Phoenix,United States,Corporate,,
2016,Furniture,Bookcases,Phoenix,United States,Corporate,,
2017,Furniture,Bookcases,Phoenix,United States,Corporate,-356.9643,209.979
2014,Furniture,Bookcases,Plano,United States,Consumer,-19.874399999999994,193.0656
2015,Furniture,Bookcases,Plano,United States,Consumer,,
2016,Furniture,Bookcases,Plano,United States,Consumer,,
2017,Furniture,Bookcases,Plano,United States,Consumer,,
2014,Furniture,Bookcases,Port Arthur,United States,Corporate,,
2015,Furniture,Bookcases,Port Arthur,United States,Corporate,-76.01159999999997,246.13279999999997
2016,Furniture,Bookcases,Port Arthur,United States,Corporate,,
2017,Furniture,Bookcases,Port Arthur,United States,Corporate,,
2014,Furniture,Bookcases,Port Saint Lucie,United States,Corporate,,
2015,Furniture,Bookcases,Port Saint Lucie,United States,Corporate,5.798000000000002,231.92000000000002
2016,Furniture,Bookcases,Port Saint Lucie,United States,Corporate,,
2017,Furniture,Bookcases,Port Saint Lucie,United States,Corporate,,
2014,Furniture,Bookcases,Portland,United States,Consumer,,
2015,Furniture,Bookcases,Portland,United States,Consumer,-103.86059999999998,66.29400000000001
