Category,Sub-Category,Region,Year,Quarter,Value Column Name,Value
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Profit","392.93280000000004"
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Profit - Sum of Sales","-1414.2792"
"Furniture","Bookcases","Central","2016","Qtr 1","(Sum of Profit - Sum of Sales)%","-0.7825751489033937"
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Profit - Sum of Quantity","381.93280000000004"
"Furniture","Bookcases","Central","2016","Qtr 1","(Sum of Profit - Sum of Quantity)%","34.72116363636364"
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Quantity - Sum of Sales","-1796.212"
"Furniture","Bookcases","Central","2016","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9939132763616001"
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Sales",
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Quantity",
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Profit",
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Profit - Sum of Sales",
"Furniture","Bookcases","Central","2016","Qtr 2","(Sum of Profit - Sum of Sales)%",
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Profit - Sum of Quantity",
"Furniture","Bookcases","Central","2016","Qtr 2","(Sum of Profit - Sum of Quantity)%",
"Furniture","Bookcases","Central","2016","Qtr 2","Sum of Quantity - Sum of Sales",
"Furniture","Bookcases","Central","2016","Qtr 2","(Sum of Quantity - Sum of Sales)%",
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Sales","3950.0072"
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Quantity","19"
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Profit","-570.9452"
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Profit - Sum of Sales","-4520.9524"
"Furniture","Bookcases","Central","2016","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.1445428251371288"
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Profit - Sum of Quantity","-589.9452"
"Furniture","Bookcases","Central","2016","Qtr 3","(Sum of Profit - Sum of Quantity)%","-31.049747368421052"
"Furniture","Bookcases","Central","2016","Qtr 3","Sum of Quantity - Sum of Sales","-3931.0072"
"Furniture","Bookcases","Central","2016","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9951898821855312"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Sales","2627.7207999999996"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Quantity","28"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Profit","-290.02840000000003"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Profit - Sum of Sales","-2917.7491999999997"
"Furniture","Bookcases","Central","2016","Qtr 4","(Sum of Profit - Sum of Sales)%","-1.1103726088403305"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Profit - Sum of Quantity","-318.02840000000003"
"Furniture","Bookcases","Central","2016","Qtr 4","(Sum of Profit - Sum of Quantity)%","-11.358157142857145"
"Furniture","Bookcases","Central","2016","Qtr 4","Sum of Quantity - Sum of Sales","-2599.7207999999996"
"Furniture","Bookcases","Central","2016","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9893443778349663"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Sales","1530.6711999999998"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Quantity","11"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Profit","-30.125600000000126"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Profit - Sum of Sales","-1560.7967999999998"
"Furniture","Bookcases","Central","2017","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.0196813005954513"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Profit - Sum of Quantity","-41.12560000000013"
"Furniture","Bookcases","Central","2017","Qtr 1","(Sum of Profit - Sum of Quantity)%","-3.7386909090909204"
"Furniture","Bookcases","Central","2017","Qtr 1","Sum of Quantity - Sum of Sales","-1519.6711999999998"
"Furniture","Bookcases","Central","2017","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9928136101339072"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Sales","1458.396"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Quantity","15"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Profit","-263.79140000000007"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Profit - Sum of Sales","-1722.1874"
"Furniture","Bookcases","Central","2017","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.1808777588528767"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Profit - Sum of Quantity","-278.79140000000007"
"Furniture","Bookcases","Central","2017","Qtr 2","(Sum of Profit - Sum of Quantity)%","-18.586093333333338"
"Furniture","Bookcases","Central","2017","Qtr 2","Sum of Quantity - Sum of Sales","-1443.396"
"Furniture","Bookcases","Central","2017","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9897147276871301"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Sales","1250.5059999999999"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Quantity","13"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Profit","-113.42319999999998"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Profit - Sum of Sales","-1363.9291999999998"
"Furniture","Bookcases","Central","2017","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.0907018438935918"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Profit - Sum of Quantity","-126.42319999999998"
"Furniture","Bookcases","Central","2017","Qtr 3","(Sum of Profit - Sum of Quantity)%","-9.724861538461537"
"Furniture","Bookcases","Central","2017","Qtr 3","Sum of Quantity - Sum of Sales","-1237.5059999999999"
"Furniture","Bookcases","Central","2017","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.989604208216514"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Sales","1400.9039999999998"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Quantity","14"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Profit","-103.68520000000005"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Profit - Sum of Sales","-1504.5892"
"Furniture","Bookcases","Central","2017","Qtr 4","(Sum of Profit - Sum of Sales)%","-1.074013065848909"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Profit - Sum of Quantity","-117.68520000000005"
"Furniture","Bookcases","Central","2017","Qtr 4","(Sum of Profit - Sum of Quantity)%","-8.406085714285718"
"Furniture","Bookcases","Central","2017","Qtr 4","Sum of Quantity - Sum of Sales","-1386.9039999999998"
"Furniture","Bookcases","Central","2017","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9900064529760784"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Sales","364.40999999999997"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Quantity","9"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Profit","-252.90260000000004"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Profit - Sum of Sales","-617.3126"
"Furniture","Bookcases","East","2014","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.6940056529732994"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Profit - Sum of Quantity","-261.9026"
"Furniture","Bookcases","East","2014","Qtr 1","(Sum of Profit - Sum of Quantity)%","-29.10028888888889"
"Furniture","Bookcases","East","2014","Qtr 1","Sum of Quantity - Sum of Sales","-355.40999999999997"
"Furniture","Bookcases","East","2014","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9753025438379846"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Sales","703.5329999999999"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Quantity","9"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Profit","-261.1743"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Profit - Sum of Sales","-964.7072999999999"
"Furniture","Bookcases","East","2014","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.3712324794998956"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Profit - Sum of Quantity","-270.1743"
"Furniture","Bookcases","East","2014","Qtr 2","(Sum of Profit - Sum of Quantity)%","-30.01936666666667"
"Furniture","Bookcases","East","2014","Qtr 2","Sum of Quantity - Sum of Sales","-694.5329999999999"
"Furniture","Bookcases","East","2014","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9872074231059522"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Sales","1164.508"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Quantity","5"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Profit","26.274399999999943"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Profit - Sum of Sales","-1138.2336"
"Furniture","Bookcases","East","2014","Qtr 3","(Sum of Profit - Sum of Sales)%","-0.9774373383437469"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Profit - Sum of Quantity","21.274399999999943"
"Furniture","Bookcases","East","2014","Qtr 3","(Sum of Profit - Sum of Quantity)%","4.2548799999999884"
"Furniture","Bookcases","East","2014","Qtr 3","Sum of Quantity - Sum of Sales","-1159.508"
"Furniture","Bookcases","East","2014","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9957063412187808"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Sales","8631"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Quantity","37"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Profit","62.21699999999953"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Profit - Sum of Sales","-8568.783000000001"
"Furniture","Bookcases","East","2014","Qtr 4","(Sum of Profit - Sum of Sales)%","-0.9927914494264861"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Profit - Sum of Quantity","25.21699999999953"
"Furniture","Bookcases","East","2014","Qtr 4","(Sum of Profit - Sum of Quantity)%","0.6815405405405278"
"Furniture","Bookcases","East","2014","Qtr 4","Sum of Quantity - Sum of Sales","-8594"
"Furniture","Bookcases","East","2014","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9957131270999884"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Sales","736.37"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Quantity","9"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Profit","-161.98620000000008"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Profit - Sum of Sales","-898.3562000000001"
"Furniture","Bookcases","East","2015","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.2199793582030773"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Profit - Sum of Quantity","-170.98620000000008"
"Furniture","Bookcases","East","2015","Qtr 1","(Sum of Profit - Sum of Quantity)%","-18.998466666666676"
"Furniture","Bookcases","East","2015","Qtr 1","Sum of Quantity - Sum of Sales","-727.37"
"Furniture","Bookcases","East","2015","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9877778834010077"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Sales","835.3899999999999"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Quantity","11"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Profit","-588.1632"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Profit - Sum of Sales","-1423.5531999999998"
"Furniture","Bookcases","East","2015","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.7040582243024216"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Profit - Sum of Quantity","-599.1632"
"Furniture","Bookcases","East","2015","Qtr 2","(Sum of Profit - Sum of Quantity)%","-54.469381818181816"
"Furniture","Bookcases","East","2015","Qtr 2","Sum of Quantity - Sum of Sales","-824.3899999999999"
"Furniture","Bookcases","East","2015","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9868324973964256"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Sales","10327.828"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Quantity","26"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Profit","-1591.7220000000002"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Profit - Sum of Sales","-11919.55"
"Furniture","Bookcases","East","2015","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.1541197239148444"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Profit - Sum of Quantity","-1617.7220000000002"
"Furniture","Bookcases","East","2015","Qtr 3","(Sum of Profit - Sum of Quantity)%","-62.22007692307693"
"Furniture","Bookcases","East","2015","Qtr 3","Sum of Quantity - Sum of Sales","-10301.828"
"Furniture","Bookcases","East","2015","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9974825297245461"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Sales","7753.852"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Quantity","35"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Profit","1354.4466999999997"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Profit - Sum of Sales","-6399.4053"
"Furniture","Bookcases","East","2015","Qtr 4","(Sum of Profit - Sum of Sales)%","-0.8253195057114838"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Profit - Sum of Quantity","1319.4466999999997"
"Furniture","Bookcases","East","2015","Qtr 4","(Sum of Profit - Sum of Quantity)%","37.698477142857136"
"Furniture","Bookcases","East","2015","Qtr 4","Sum of Quantity - Sum of Sales","-7718.852"
"Furniture","Bookcases","East","2015","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9954861145144375"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Sales","952.1689999999999"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Quantity","12"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Profit","-392.9932"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Profit - Sum of Sales","-1345.1621999999998"
"Furniture","Bookcases","East","2016","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.4127347141106252"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Profit - Sum of Quantity","-404.9932"
"Furniture","Bookcases","East","2016","Qtr 1","(Sum of Profit - Sum of Quantity)%","-33.749433333333336"
"Furniture","Bookcases","East","2016","Qtr 1","Sum of Quantity - Sum of Sales","-940.1689999999999"
"Furniture","Bookcases","East","2016","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9873971952458019"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Sales","879.056"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Quantity","9"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Profit","-43.925400000000025"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Profit - Sum of Sales","-922.9814000000001"
"Furniture","Bookcases","East","2016","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.0499688301996688"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Profit - Sum of Quantity","-52.925400000000025"
"Furniture","Bookcases","East","2016","Qtr 2","(Sum of Profit - Sum of Quantity)%","-5.880600000000003"
"Furniture","Bookcases","East","2016","Qtr 2","Sum of Quantity - Sum of Sales","-870.056"
"Furniture","Bookcases","East","2016","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9897617444167379"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Sales","2685.618"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Quantity","27"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Profit","-29.242600000000124"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Profit - Sum of Sales","-2714.8606"
"Furniture","Bookcases","East","2016","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.0108885924952842"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Profit - Sum of Quantity","-56.242600000000124"
"Furniture","Bookcases","East","2016","Qtr 3","(Sum of Profit - Sum of Quantity)%","-2.083059259259264"
"Furniture","Bookcases","East","2016","Qtr 3","Sum of Quantity - Sum of Sales","-2658.618"
"Furniture","Bookcases","East","2016","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9899464480801066"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Sales","1447.3780000000002"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Quantity","11"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Profit","268.07540000000006"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Profit - Sum of Sales","-1179.3026"
"Furniture","Bookcases","East","2016","Qtr 4","(Sum of Profit - Sum of Sales)%","-0.8147854948741792"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Profit - Sum of Quantity","257.07540000000006"
"Furniture","Bookcases","East","2016","Qtr 4","(Sum of Profit - Sum of Quantity)%","23.370490909090915"
"Furniture","Bookcases","East","2016","Qtr 4","Sum of Quantity - Sum of Sales","-1436.3780000000002"
"Furniture","Bookcases","East","2016","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.992400050297849"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Sales","940.312"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Quantity","5"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Profit","102.77239999999998"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Profit - Sum of Sales","-837.5396000000001"
"Furniture","Bookcases","East","2017","Qtr 1","(Sum of Profit - Sum of Sales)%","-0.8907039365657358"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Profit - Sum of Quantity","97.77239999999998"
"Furniture","Bookcases","East","2017","Qtr 1","(Sum of Profit - Sum of Quantity)%","19.554479999999995"
"Furniture","Bookcases","East","2017","Qtr 1","Sum of Quantity - Sum of Sales","-935.312"
"Furniture","Bookcases","East","2017","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9946826159827802"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Sales","1397.9160000000002"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Quantity","17"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Profit","124.39859999999992"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Profit - Sum of Sales","-1273.5174000000002"
"Furniture","Bookcases","East","2017","Qtr 2","(Sum of Profit - Sum of Sales)%","-0.9110113912423923"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Profit - Sum of Quantity","107.39859999999992"
"Furniture","Bookcases","East","2017","Qtr 2","(Sum of Profit - Sum of Quantity)%","6.317564705882348"
"Furniture","Bookcases","East","2017","Qtr 2","Sum of Quantity - Sum of Sales","-1380.9160000000002"
"Furniture","Bookcases","East","2017","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9878390404001385"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Sales","1001.1300000000001"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Quantity","8"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Profit","69.14880000000005"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Profit - Sum of Sales","-931.9812000000001"
"Furniture","Bookcases","East","2017","Qtr 3","(Sum of Profit - Sum of Sales)%","-0.9309292499475592"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Profit - Sum of Quantity","61.14880000000005"
"Furniture","Bookcases","East","2017","Qtr 3","(Sum of Profit - Sum of Quantity)%","7.6436000000000055"
"Furniture","Bookcases","East","2017","Qtr 3","Sum of Quantity - Sum of Sales","-993.1300000000001"
"Furniture","Bookcases","East","2017","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9920090297963301"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Sales","3998.864"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Quantity","22"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Profit","147.14439999999973"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Profit - Sum of Sales","-3851.7196000000004"
"Furniture","Bookcases","East","2017","Qtr 4","(Sum of Profit - Sum of Sales)%","-0.9632034497797375"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Profit - Sum of Quantity","125.14439999999973"
"Furniture","Bookcases","East","2017","Qtr 4","(Sum of Profit - Sum of Quantity)%","5.688381818181806"
"Furniture","Bookcases","East","2017","Qtr 4","Sum of Quantity - Sum of Sales","-3976.864"
"Furniture","Bookcases","East","2017","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.994498437556266"
"Furniture","Bookcases","South","2014","Qtr 1","Sum of Sales",
"Furniture","Bookcases","South","2014","Qtr 1","Sum of Quantity",
"Furniture","Bookcases","South","2014","Qtr 1","Sum of Profit",
"Furniture","Bookcases","South","2014","Qtr 1","Sum of Profit - Sum of Sales",
"Furniture","Bookcases","South","2014","Qtr 1","(Sum of Profit - Sum of Sales)%",
"Furniture","Bookcases","South","2014","Qtr 1","Sum of Profit - Sum of Quantity",
