Category,Sub-Category,Region,Segment,Value Column Name,Value
"Technology","Copiers","West","Consumer","Sum of Profit - Sum of Sales","-18300.740700000002"
"Technology","Copiers","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.6008198889729786"
"Technology","Copiers","West","Corporate","Sum of Sales","8069.842000000001"
"Technology","Copiers","West","Corporate","Sum of Profit","3190.4365999999995"
"Technology","Copiers","West","Corporate","Sum of Profit - Sum of Sales","-4879.4054000000015"
"Technology","Copiers","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.6046469559131394"
"Technology","Copiers","West","Home Office","Sum of Sales","11219.788"
"Technology","Copiers","West","Home Office","Sum of Profit","3977.927199999999"
"Technology","Copiers","West","Home Office","Sum of Profit - Sum of Sales","-7241.860800000001"
"Technology","Copiers","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.6454543347877876"
"Technology","Phones","Central","Consumer","Sum of Sales","37108.78599999998"
"Technology","Phones","Central","Consumer","Sum of Profit","6416.019599999999"
"Technology","Phones","Central","Consumer","Sum of Profit - Sum of Sales","-30692.76639999998"
"Technology","Phones","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.8271024118115854"
"Technology","Phones","Central","Corporate","Sum of Sales","17180.795999999995"
"Technology","Phones","Central","Corporate","Sum of Profit","2391.2796999999996"
"Technology","Phones","Central","Corporate","Sum of Profit - Sum of Sales","-14789.516299999996"
"Technology","Phones","Central","Corporate","(Sum of Profit - Sum of Sales)%","-0.8608167107042071"
"Technology","Phones","Central","Home Office","Sum of Sales","18113.699999999997"
"Technology","Phones","Central","Home Office","Sum of Profit","3515.7274000000007"
"Technology","Phones","Central","Home Office","Sum of Profit - Sum of Sales","-14597.972599999997"
"Technology","Phones","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.805907826672629"
"Technology","Phones","East","Consumer","Sum of Sales","51512.03800000004"
"Technology","Phones","East","Consumer","Sum of Profit","7328.253600000001"
"Technology","Phones","East","Consumer","Sum of Profit - Sum of Sales","-44183.78440000003"
"Technology","Phones","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.8577370672074749"
"Technology","Phones","East","Corporate","Sum of Sales","29865.618"
"Technology","Phones","East","Corporate","Sum of Profit","3129.6182999999987"
"Technology","Phones","East","Corporate","Sum of Profit - Sum of Sales","-26735.9997"
"Technology","Phones","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.8952099936455359"
"Technology","Phones","East","Home Office","Sum of Sales","19237.326"
"Technology","Phones","East","Home Office","Sum of Profit","1856.814099999999"
"Technology","Phones","East","Home Office","Sum of Profit - Sum of Sales","-17380.5119"
"Technology","Phones","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.903478575972565"
"Technology","Phones","South","Consumer","Sum of Sales","30846.20399999999"
"Technology","Phones","South","Consumer","Sum of Profit","5623.911800000001"
"Technology","Phones","South","Consumer","Sum of Profit - Sum of Sales","-25222.29219999999"
"Technology","Phones","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.8176789662676158"
"Technology","Phones","South","Corporate","Sum of Sales","19274.232000000007"
"Technology","Phones","South","Corporate","Sum of Profit","3680.2119999999995"
"Technology","Phones","South","Corporate","Sum of Profit - Sum of Sales","-15594.020000000008"
"Technology","Phones","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.8090605114642182"
"Technology","Phones","South","Home Office","Sum of Sales","8184.002"
"Technology","Phones","South","Home Office","Sum of Profit","1463.1515"
"Technology","Phones","South","Home Office","Sum of Profit - Sum of Sales","-6720.8505000000005"
"Technology","Phones","South","Home Office","(Sum of Profit - Sum of Sales)%","-0.8212180911001732"
"Technology","Phones","West","Consumer","Sum of Sales","50465.73599999996"
"Technology","Phones","West","Consumer","Sum of Profit","4468.929700000001"
"Technology","Phones","West","Consumer","Sum of Profit - Sum of Sales","-45996.80629999996"
"Technology","Phones","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.911446259299577"
"Technology","Phones","West","Corporate","Sum of Sales","24832.768"
"Technology","Phones","West","Corporate","Sum of Profit","2565.1096000000016"
"Technology","Phones","West","Corporate","Sum of Profit - Sum of Sales","-22267.6584"
"Technology","Phones","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.8967046444439862"
"Technology","Phones","West","Home Office","Sum of Sales","23385.848"
"Technology","Phones","West","Home Office","Sum of Profit","2076.7033"
"Technology","Phones","West","Home Office","Sum of Profit - Sum of Sales","-21309.1447"
"Technology","Phones","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.9111982896664683"
"Technology","Accessories","Central","Consumer","Sum of Sales","19062.303999999993"
"Technology","Accessories","Central","Consumer","Sum of Profit","3743.3858999999993"
"Technology","Accessories","Central","Consumer","Sum of Profit - Sum of Sales","-15318.918099999994"
"Technology","Accessories","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.8036236385696084"
"Technology","Accessories","Central","Corporate","Sum of Sales","6195.238"
"Technology","Accessories","Central","Corporate","Sum of Profit","1462.9337"
"Technology","Accessories","Central","Corporate","Sum of Profit - Sum of Sales","-4732.3043"
"Technology","Accessories","Central","Corporate","(Sum of Profit - Sum of Sales)%","-0.7638615820731988"
"Technology","Accessories","Central","Home Office","Sum of Sales","8698.534"
"Technology","Accessories","Central","Home Office","Sum of Profit","2045.3110000000004"
"Technology","Accessories","Central","Home Office","Sum of Profit - Sum of Sales","-6653.222999999999"
"Technology","Accessories","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.7648671603743803"
"Technology","Accessories","East","Consumer","Sum of Sales","22861.056"
"Technology","Accessories","East","Consumer","Sum of Profit","5240.0783"
"Technology","Accessories","East","Consumer","Sum of Profit - Sum of Sales","-17620.9777"
"Technology","Accessories","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.7707858158433276"
"Technology","Accessories","East","Corporate","Sum of Sales","11747.997999999998"
"Technology","Accessories","East","Corporate","Sum of Profit","2933.591099999999"
"Technology","Accessories","East","Corporate","Sum of Profit - Sum of Sales","-8814.406899999998"
"Technology","Accessories","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.7502901260282816"
"Technology","Accessories","East","Home Office","Sum of Sales","10424.318000000001"
"Technology","Accessories","East","Home Office","Sum of Profit","3022.1949999999997"
"Technology","Accessories","East","Home Office","Sum of Profit - Sum of Sales","-7402.123000000001"
"Technology","Accessories","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.7100822327177664"
"Technology","Accessories","South","Consumer","Sum of Sales","11651.563999999993"
"Technology","Accessories","South","Consumer","Sum of Profit","2788.307200000001"
"Technology","Accessories","South","Consumer","Sum of Profit - Sum of Sales","-8863.256799999992"
"Technology","Accessories","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.7606924529616793"
"Technology","Accessories","South","Corporate","Sum of Sales","10175.456"
"Technology","Accessories","South","Corporate","Sum of Profit","3085.4776999999995"
"Technology","Accessories","South","Corporate","Sum of Profit - Sum of Sales","-7089.978300000001"
"Technology","Accessories","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.6967725377614528"
"Technology","Accessories","South","Home Office","Sum of Sales","5449.7339999999995"
"Technology","Accessories","South","Home Office","Sum of Profit","1130.7574999999997"
"Technology","Accessories","South","Home Office","Sum of Profit - Sum of Sales","-4318.9765"
"Technology","Accessories","South","Home Office","(Sum of Profit - Sum of Sales)%","-0.7925114326680898"
"Technology","Accessories","West","Consumer","Sum of Sales","33530.31400000001"
"Technology","Accessories","West","Consumer","Sum of Profit","8964.1511"
"Technology","Accessories","West","Consumer","Sum of Profit - Sum of Sales","-24566.162900000014"
"Technology","Accessories","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.732655319004767"
"Technology","Accessories","West","Corporate","Sum of Sales","20071.872"
"Technology","Accessories","West","Corporate","Sum of Profit","5225.477999999998"
"Technology","Accessories","West","Corporate","Sum of Profit - Sum of Sales","-14846.394"
"Technology","Accessories","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.7396616518877761"
"Technology","Accessories","West","Home Office","Sum of Sales","7511.9299999999985"
"Technology","Accessories","West","Home Office","Sum of Profit","2294.9692"
"Technology","Accessories","West","Home Office","Sum of Profit - Sum of Sales","-5216.960799999999"
"Technology","Accessories","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.6944900711268609"
"Technology","Machines","Central","Consumer","Sum of Sales","11999.761999999999"
"Technology","Machines","Central","Consumer","Sum of Profit","-1667.028000000002"
"Technology","Machines","Central","Consumer","Sum of Profit - Sum of Sales","-13666.79"
"Technology","Machines","Central","Consumer","(Sum of Profit - Sum of Sales)%","-1.1389217552814799"
"Technology","Machines","Central","Corporate","Sum of Sales","11716.733999999999"
"Technology","Machines","Central","Corporate","Sum of Profit","-361.50440000000134"
"Technology","Machines","Central","Corporate","Sum of Profit - Sum of Sales","-12078.2384"
"Technology","Machines","Central","Corporate","(Sum of Profit - Sum of Sales)%","-1.0308536832875101"
"Technology","Machines","Central","Home Office","Sum of Sales","3080.888"
"Technology","Machines","Central","Home Office","Sum of Profit","542.4657999999998"
"Technology","Machines","Central","Home Office","Sum of Profit - Sum of Sales","-2538.4222"
"Technology","Machines","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.8239255045947792"
"Technology","Machines","East","Consumer","Sum of Sales","30668.429"
"Technology","Machines","East","Consumer","Sum of Profit","-1296.0850000000046"
"Technology","Machines","East","Consumer","Sum of Profit - Sum of Sales","-31964.514000000003"
"Technology","Machines","East","Consumer","(Sum of Profit - Sum of Sales)%","-1.0422612126627029"
"Technology","Machines","East","Corporate","Sum of Sales","23892.036"
"Technology","Machines","East","Corporate","Sum of Profit","2624.6022999999996"
"Technology","Machines","East","Corporate","Sum of Profit - Sum of Sales","-21267.4337"
"Technology","Machines","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.8901473989073181"
"Technology","Machines","East","Home Office","Sum of Sales","11545.699999999999"
"Technology","Machines","East","Home Office","Sum of Profit","5600.125599999999"
"Technology","Machines","East","Home Office","Sum of Profit - Sum of Sales","-5945.5743999999995"
"Technology","Machines","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.5149600630537776"
"Technology","Machines","South","Consumer","Sum of Sales","18338.550000000007"
"Technology","Machines","South","Consumer","Sum of Profit","2910.5588"
"Technology","Machines","South","Consumer","Sum of Profit - Sum of Sales","-15427.991200000008"
"Technology","Machines","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.8412874082192977"
"Technology","Machines","South","Corporate","Sum of Sales","12001.155"
"Technology","Machines","South","Corporate","Sum of Profit","-2520.117899999999"
"Technology","Machines","South","Corporate","Sum of Profit - Sum of Sales","-14521.2729"
"Technology","Machines","South","Corporate","(Sum of Profit - Sum of Sales)%","-1.2099896134997006"
"Technology","Machines","South","Home Office","Sum of Sales","23551.254999999997"
"Technology","Machines","South","Home Office","Sum of Profit","-1829.3339000000021"
"Technology","Machines","South","Home Office","Sum of Profit - Sum of Sales","-25380.5889"
"Technology","Machines","South","Home Office","(Sum of Profit - Sum of Sales)%","-1.0776745825222478"
"Technology","Machines","West","Consumer","Sum of Sales","18536.084000000003"
"Technology","Machines","West","Consumer","Sum of Profit","2193.6159999999986"
"Technology","Machines","West","Consumer","Sum of Profit - Sum of Sales","-16342.468000000004"
"Technology","Machines","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.8816569886066552"
"Technology","Machines","West","Corporate","Sum of Sales","12666.830000000002"
"Technology","Machines","West","Corporate","Sum of Profit","960.0389999999994"
"Technology","Machines","West","Corporate","Sum of Profit - Sum of Sales","-11706.791000000003"
"Technology","Machines","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.9242084246808397"
"Technology","Machines","West","Home Office","Sum of Sales","11241.208000000002"
"Technology","Machines","West","Home Office","Sum of Profit","-3772.581400000001"
"Technology","Machines","West","Home Office","Sum of Profit - Sum of Sales","-15013.789400000003"
"Technology","Machines","West","Home Office","(Sum of Profit - Sum of Sales)%","-1.3356028462421476"
"Office Supplies","Paper","Central","Consumer","Sum of Sales","7564.020000000006"
"Office Supplies","Paper","Central","Consumer","Sum of Profit","2914.6376999999993"
"Office Supplies","Paper","Central","Consumer","Sum of Profit - Sum of Sales","-4649.382300000007"
"Office Supplies","Paper","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.6146708099661295"
"Office Supplies","Paper","Central","Corporate","Sum of Sales","5952.002000000001"
"Office Supplies","Paper","Central","Corporate","Sum of Profit","2399.2305"
"Office Supplies","Paper","Central","Corporate","Sum of Profit - Sum of Sales","-3552.771500000001"
"Office Supplies","Paper","Central","Corporate","(Sum of Profit - Sum of Sales)%","-0.5969036132716354"
"Office Supplies","Paper","Central","Home Office","Sum of Sales","3975.88"
"Office Supplies","Paper","Central","Home Office","Sum of Profit","1658.0322999999999"
"Office Supplies","Paper","Central","Home Office","Sum of Profit - Sum of Sales","-2317.8477000000003"
"Office Supplies","Paper","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.5829772779862572"
"Office Supplies","Paper","East","Consumer","Sum of Sales","8661.268000000002"
"Office Supplies","Paper","East","Consumer","Sum of Profit","3917.330700000003"
"Office Supplies","Paper","East","Consumer","Sum of Profit - Sum of Sales","-4743.937299999999"
"Office Supplies","Paper","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.5477185673044637"
"Office Supplies","Paper","East","Corporate","Sum of Sales","5975.116"
"Office Supplies","Paper","East","Corporate","Sum of Profit","2668.9581999999987"
"Office Supplies","Paper","East","Corporate","Sum of Profit - Sum of Sales","-3306.1578000000013"
"Office Supplies","Paper","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.5533211070713944"
"Office Supplies","Paper","East","Home Office","Sum of Sales","5536.218000000001"
"Office Supplies","Paper","East","Home Office","Sum of Profit","2429.082099999999"
"Office Supplies","Paper","East","Home Office","Sum of Profit - Sum of Sales","-3107.1359000000016"
"Office Supplies","Paper","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.561237996769636"
"Office Supplies","Paper","South","Consumer","Sum of Sales","7603.272000000003"
"Office Supplies","Paper","South","Consumer","Sum of Profit","3085.3364"
"Office Supplies","Paper","South","Consumer","Sum of Profit - Sum of Sales","-4517.9356000000025"
"Office Supplies","Paper","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.5942093877478013"
"Office Supplies","Paper","South","Corporate","Sum of Sales","3345.321999999999"
"Office Supplies","Paper","South","Corporate","Sum of Profit","1410.0632999999998"
"Office Supplies","Paper","South","Corporate","Sum of Profit - Sum of Sales","-1935.2586999999994"
"Office Supplies","Paper","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.5784969877339161"
"Office Supplies","Paper","South","Home Office","Sum of Sales","3202.39"
"Office Supplies","Paper","South","Home Office","Sum of Profit","1451.6616999999997"
"Office Supplies","Paper","South","Home Office","Sum of Profit - Sum of Sales","-1750.7283000000002"
"Office Supplies","Paper","South","Home Office","(Sum of Profit - Sum of Sales)%","-0.5466942814585357"
"Office Supplies","Paper","West","Consumer","Sum of Sales","12495.807999999995"
"Office Supplies","Paper","West","Consumer","Sum of Profit","5617.338800000002"
"Office Supplies","Paper","West","Consumer","Sum of Profit - Sum of Sales","-6878.469199999993"
"Office Supplies","Paper","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.550462138982929"
"Office Supplies","Paper","West","Corporate","Sum of Sales","8610.689999999999"
"Office Supplies","Paper","West","Corporate","Sum of Profit","3883.294800000001"
"Office Supplies","Paper","West","Corporate","Sum of Profit - Sum of Sales","-4727.395199999997"
"Office Supplies","Paper","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.5490146782662014"
"Office Supplies","Paper","West","Home Office","Sum of Sales","5557.2199999999975"
"Office Supplies","Paper","West","Home Office","Sum of Profit","2618.6028000000015"
"Office Supplies","Paper","West","Home Office","Sum of Profit - Sum of Sales","-2938.617199999996"
"Office Supplies","Paper","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.5287926697161526"
"Office Supplies","Binders","Central","Consumer","Sum of Sales","39693.575999999994"
"Office Supplies","Binders","Central","Consumer","Sum of Profit","1832.3210000000026"
"Office Supplies","Binders","Central","Consumer","Sum of Profit - Sum of Sales","-37861.25499999999"
"Office Supplies","Binders","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.9538383490567842"
"Office Supplies","Binders","Central","Corporate","Sum of Sales","8879.539999999999"
"Office Supplies","Binders","Central","Corporate","Sum of Profit","-4420.424900000004"
"Office Supplies","Binders","Central","Corporate","Sum of Profit - Sum of Sales","-13299.964900000003"
"Office Supplies","Binders","Central","Corporate","(Sum of Profit - Sum of Sales)%","-1.49782138489156"
"Office Supplies","Binders","Central","Home Office","Sum of Sales","8350.165999999997"
"Office Supplies","Binders","Central","Home Office","Sum of Profit","1544.4669999999992"
"Office Supplies","Binders","Central","Home Office","Sum of Profit - Sum of Sales","-6805.698999999999"
"Office Supplies","Binders","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.8150375693129933"
"Office Supplies","Binders","East","Consumer","Sum of Sales","31622.609999999982"
"Office Supplies","Binders","East","Consumer","Sum of Profit","6740.669700000001"
"Office Supplies","Binders","East","Consumer","Sum of Profit - Sum of Sales","-24881.94029999998"
"Office Supplies","Binders","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.7868401849183225"
"Office Supplies","Binders","East","Corporate","Sum of Sales","12048.381000000007"
"Office Supplies","Binders","East","Corporate","Sum of Profit","2833.003399999999"
"Office Supplies","Binders","East","Corporate","Sum of Profit - Sum of Sales","-9215.377600000007"
"Office Supplies","Binders","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.7648643913236145"
"Office Supplies","Binders","East","Home Office","Sum of Sales","9827.006000000005"
"Office Supplies","Binders","East","Home Office","Sum of Profit","1694.2614999999998"
"Office Supplies","Binders","East","Home Office","Sum of Profit - Sum of Sales","-8132.744500000005"
"Office Supplies","Binders","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.8275912826348129"
"Office Supplies","Binders","South","Consumer","Sum of Sales","18617.702999999994"
"Office Supplies","Binders","South","Consumer","Sum of Profit","1583.9285000000007"
"Office Supplies","Binders","South","Consumer","Sum of Profit - Sum of Sales","-17033.774499999992"
"Office Supplies","Binders","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.9149235273545828"
"Office Supplies","Binders","South","Corporate","Sum of Sales","11827.631999999996"
"Office Supplies","Binders","South","Corporate","Sum of Profit","2496.2000999999987"
"Office Supplies","Binders","South","Corporate","Sum of Profit - Sum of Sales","-9331.431899999998"
"Office Supplies","Binders","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.7889518290728019"
"Office Supplies","Binders","South","Home Office","Sum of Sales","6585.005999999997"
"Office Supplies","Binders","South","Home Office","Sum of Profit","-179.46459999999976"
"Office Supplies","Binders","South","Home Office","Sum of Profit - Sum of Sales","-6764.470599999996"
"Office Supplies","Binders","South","Home Office","(Sum of Profit - Sum of Sales)%","-1.0272535211053717"
"Office Supplies","Binders","West","Consumer","Sum of Sales","28227.120000000006"
"Office Supplies","Binders","West","Consumer","Sum of Profit","7838.678000000003"
"Office Supplies","Binders","West","Consumer","Sum of Profit - Sum of Sales","-20388.442000000003"
"Office Supplies","Binders","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.7222997599471713"
"Office Supplies","Binders","West","Corporate","Sum of Sales","18804.75999999999"
"Office Supplies","Binders","West","Corporate","Sum of Profit","5468.5415"
"Office Supplies","Binders","West","Corporate","Sum of Profit - Sum of Sales","-13336.218499999992"
"Office Supplies","Binders","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.7091937626430753"
"Office Supplies","Binders","West","Home Office","Sum of Sales","8929.233000000006"
"Office Supplies","Binders","West","Home Office","Sum of Profit","2789.5821"
"Office Supplies","Binders","West","Home Office","Sum of Profit - Sum of Sales","-6139.650900000006"
"Office Supplies","Binders","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.6875899531348327"
"Office Supplies","Storage","Central","Consumer","Sum of Sales","24671.80999999999"
"Office Supplies","Storage","Central","Consumer","Sum of Profit","413.31009999999895"
"Office Supplies","Storage","Central","Consumer","Sum of Profit - Sum of Sales","-24258.49989999999"
"Office Supplies","Storage","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.9832476782206089"
"Office Supplies","Storage","Central","Corporate","Sum of Sales","12656.604"
"Office Supplies","Storage","Central","Corporate","Sum of Profit","1084.5102000000004"
"Office Supplies","Storage","Central","Corporate","Sum of Profit - Sum of Sales","-11572.093799999999"
"Office Supplies","Storage","Central","Corporate","(Sum of Profit - Sum of Sales)%","-0.9143127018906493"
"Office Supplies","Storage","Central","Home Office","Sum of Sales","8601.698000000002"
"Office Supplies","Storage","Central","Home Office","Sum of Profit","472.0162"
"Office Supplies","Storage","Central","Home Office","Sum of Profit - Sum of Sales","-8129.681800000002"
"Office Supplies","Storage","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.9451252299255333"
"Office Supplies","Storage","East","Consumer","Sum of Sales","24994.45799999998"
"Office Supplies","Storage","East","Consumer","Sum of Profit","1973.924199999998"
"Office Supplies","Storage","East","Consumer","Sum of Profit - Sum of Sales","-23020.533799999983"
"Office Supplies","Storage","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.9210255249383684"
"Office Supplies","Storage","East","Corporate","Sum of Sales","30968.37000000001"
"Office Supplies","Storage","East","Corporate","Sum of Profit","3836.4565000000002"
"Office Supplies","Storage","East","Corporate","Sum of Profit - Sum of Sales","-27131.91350000001"
"Office Supplies","Storage","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.8761169380241841"
"Office Supplies","Storage","East","Home Office","Sum of Sales","15649.755999999998"
"Office Supplies","Storage","East","Home Office","Sum of Profit","2578.990499999999"
"Office Supplies","Storage","East","Home Office","Sum of Profit - Sum of Sales","-13070.765499999998"
"Office Supplies","Storage","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.8352057054435863"
"Office Supplies","Storage","South","Consumer","Sum of Sales","16881.745999999996"
"Office Supplies","Storage","South","Consumer","Sum of Profit","888.6696999999998"
"Office Supplies","Storage","South","Consumer","Sum of Profit - Sum of Sales","-15993.076299999995"
"Office Supplies","Storage","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.9473591357197294"
"Office Supplies","Storage","South","Corporate","Sum of Sales","11362.257999999998"
"Office Supplies","Storage","South","Corporate","Sum of Profit","718.5710999999998"
"Office Supplies","Storage","South","Corporate","Sum of Profit - Sum of Sales","-10643.686899999999"
"Office Supplies","Storage","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.9367580722071264"
"Office Supplies","Storage","South","Home Office","Sum of Sales","7524.056"
"Office Supplies","Storage","South","Home Office","Sum of Profit","667.0556999999999"
"Office Supplies","Storage","South","Home Office","Sum of Profit - Sum of Sales","-6857.0003"
"Office Supplies","Storage","South","Home Office","(Sum of Profit - Sum of Sales)%","-0.9113436024399606"
"Office Supplies","Storage","West","Consumer","Sum of Sales","33944.387999999984"
"Office Supplies","Storage","West","Consumer","Sum of Profit","3828.2964000000006"
"Office Supplies","Storage","West","Consumer","Sum of Profit - Sum of Sales","-30116.091599999985"
"Office Supplies","Storage","West","Consumer","(Sum of Profit - Sum of Sales)%","-0.8872185764551124"
"Office Supplies","Storage","West","Corporate","Sum of Sales","24803.76600000001"
"Office Supplies","Storage","West","Corporate","Sum of Profit","3491.4869"
"Office Supplies","Storage","West","Corporate","Sum of Profit - Sum of Sales","-21312.27910000001"
"Office Supplies","Storage","West","Corporate","(Sum of Profit - Sum of Sales)%","-0.8592356136564101"
"Office Supplies","Storage","West","Home Office","Sum of Sales","11784.698"
"Office Supplies","Storage","West","Home Office","Sum of Profit","1325.5388999999993"
"Office Supplies","Storage","West","Home Office","Sum of Profit - Sum of Sales","-10459.1591"
"Office Supplies","Storage","West","Home Office","(Sum of Profit - Sum of Sales)%","-0.8875203335715518"
"Office Supplies","Appliances","Central","Consumer","Sum of Sales","9818.720999999998"
"Office Supplies","Appliances","Central","Consumer","Sum of Profit","-3775.6065000000012"
"Office Supplies","Appliances","Central","Consumer","Sum of Profit - Sum of Sales","-13594.3275"
"Office Supplies","Appliances","Central","Consumer","(Sum of Profit - Sum of Sales)%","-1.3845313967063533"
"Office Supplies","Appliances","Central","Corporate","Sum of Sales","5224.759000000001"
"Office Supplies","Appliances","Central","Corporate","Sum of Profit","-459.2306000000005"
"Office Supplies","Appliances","Central","Corporate","Sum of Profit - Sum of Sales","-5683.989600000002"
"Office Supplies","Appliances","Central","Corporate","(Sum of Profit - Sum of Sales)%","-1.0878950780313505"
"Office Supplies","Appliances","Central","Home Office","Sum of Sales","8538.553"
"Office Supplies","Appliances","Central","Home Office","Sum of Profit","1596.2196"
"Office Supplies","Appliances","Central","Home Office","Sum of Profit - Sum of Sales","-6942.3333999999995"
"Office Supplies","Appliances","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.8130573646377788"
