Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Sales)
Office Supplies,2021,Qtr 2,May,11,464.82
Technology,2021,Qtr 2,May,11,837.638
Furniture,2021,Qtr 2,May,12,2239
Office Supplies,2021,Qtr 2,May,12,1793.604
Technology,2021,Qtr 2,May,12,1234.4
Furniture,2021,Qtr 2,May,14,109.576
Office Supplies,2021,Qtr 2,May,14,117.226
Technology,2021,Qtr 2,May,14,229.128
Furniture,2021,Qtr 2,May,15,
Office Supplies,2021,Qtr 2,May,15,648.912
Technology,2021,Qtr 2,May,15,
Furniture,2021,Qtr 2,May,16,282.84
Office Supplies,2021,Qtr 2,May,16,597.62
Technology,2021,Qtr 2,May,16,
Furniture,2021,Qtr 2,May,17,195.848
Office Supplies,2021,Qtr 2,May,17,151.074
Technology,2021,Qtr 2,May,17,
Furniture,2021,Qtr 2,May,18,
Office Supplies,2021,Qtr 2,May,18,122.22
Technology,2021,Qtr 2,May,18,
Furniture,2021,Qtr 2,May,19,717.64
Office Supplies,2021,Qtr 2,May,19,864.368
Technology,2021,Qtr 2,May,19,
Furniture,2021,Qtr 2,May,20,1049.2
Office Supplies,2021,Qtr 2,May,20,58.753
Technology,2021,Qtr 2,May,20,1363.96
Furniture,2021,Qtr 2,May,21,
Office Supplies,2021,Qtr 2,May,21,200.378
Technology,2021,Qtr 2,May,21,2517.836
Furniture,2021,Qtr 2,May,22,174.286
Office Supplies,2021,Qtr 2,May,22,704.45
Technology,2021,Qtr 2,May,22,920.464
Furniture,2021,Qtr 2,May,23,37.05
Office Supplies,2021,Qtr 2,May,23,21.642
Technology,2021,Qtr 2,May,23,10502.286
Furniture,2021,Qtr 2,May,24,
Office Supplies,2021,Qtr 2,May,24,277.756
Technology,2021,Qtr 2,May,24,
Furniture,2021,Qtr 2,May,25,24.96
Office Supplies,2021,Qtr 2,May,25,1287.01
Technology,2021,Qtr 2,May,25,
Furniture,2021,Qtr 2,May,26,941.444
Office Supplies,2021,Qtr 2,May,26,338.856
Technology,2021,Qtr 2,May,26,695.056
Furniture,2021,Qtr 2,May,27,3535.66
Office Supplies,2021,Qtr 2,May,27,1769.418
Technology,2021,Qtr 2,May,27,
Furniture,2021,Qtr 2,May,28,390.272
Office Supplies,2021,Qtr 2,May,28,770.652
Technology,2021,Qtr 2,May,28,976.4
Furniture,2021,Qtr 2,May,29,44.76
Office Supplies,2021,Qtr 2,May,29,38.475
Technology,2021,Qtr 2,May,29,979.95
Furniture,2021,Qtr 2,May,30,3292.308
Office Supplies,2021,Qtr 2,May,30,1436.692
Technology,2021,Qtr 2,May,30,3361.578
Furniture,2021,Qtr 2,May,31,223.143
Office Supplies,2021,Qtr 2,May,31,36.016
Technology,2021,Qtr 2,May,31,179.7
Furniture,2021,Qtr 2,June,2,132.224
Office Supplies,2021,Qtr 2,June,2,
Technology,2021,Qtr 2,June,2,
Furniture,2021,Qtr 2,June,3,305.02
Office Supplies,2021,Qtr 2,June,3,6.105
Technology,2021,Qtr 2,June,3,500.178
Furniture,2021,Qtr 2,June,4,
Office Supplies,2021,Qtr 2,June,4,
Technology,2021,Qtr 2,June,4,1294.75
Furniture,2021,Qtr 2,June,5,96.312
Office Supplies,2021,Qtr 2,June,5,114.472
Technology,2021,Qtr 2,June,5,26.176
Furniture,2021,Qtr 2,June,6,548.96
Office Supplies,2021,Qtr 2,June,6,1090.48
Technology,2021,Qtr 2,June,6,4386.872
Furniture,2021,Qtr 2,June,8,
Office Supplies,2021,Qtr 2,June,8,109.22
Technology,2021,Qtr 2,June,8,211.168
Furniture,2021,Qtr 2,June,9,722.352
Office Supplies,2021,Qtr 2,June,9,229.74
Technology,2021,Qtr 2,June,9,361.444
Furniture,2021,Qtr 2,June,10,
Office Supplies,2021,Qtr 2,June,10,58.73
Technology,2021,Qtr 2,June,10,771.67
Furniture,2021,Qtr 2,June,11,563.536
Office Supplies,2021,Qtr 2,June,11,209.72
Technology,2021,Qtr 2,June,11,
Furniture,2021,Qtr 2,June,12,
Office Supplies,2021,Qtr 2,June,12,2287.98
Technology,2021,Qtr 2,June,12,1590.296
Furniture,2021,Qtr 2,June,13,
Office Supplies,2021,Qtr 2,June,13,52.468
Technology,2021,Qtr 2,June,13,377.97
Furniture,2021,Qtr 2,June,14,3353.729
Office Supplies,2021,Qtr 2,June,14,55.616
Technology,2021,Qtr 2,June,14,47.754
Furniture,2021,Qtr 2,June,15,
Office Supplies,2021,Qtr 2,June,15,173.488
Technology,2021,Qtr 2,June,15,
Furniture,2021,Qtr 2,June,16,
Office Supplies,2021,Qtr 2,June,16,55.8
Technology,2021,Qtr 2,June,16,91.475
Furniture,2021,Qtr 2,June,17,1685.43
Office Supplies,2021,Qtr 2,June,17,718.52
Technology,2021,Qtr 2,June,17,596.97
Furniture,2021,Qtr 2,June,18,
Office Supplies,2021,Qtr 2,June,18,541.938
Technology,2021,Qtr 2,June,18,
Furniture,2021,Qtr 2,June,19,
Office Supplies,2021,Qtr 2,June,19,17.12
Technology,2021,Qtr 2,June,19,
Furniture,2021,Qtr 2,June,20,219.258
Office Supplies,2021,Qtr 2,June,20,840.622
Technology,2021,Qtr 2,June,20,169.668
Furniture,2021,Qtr 2,June,21,353.568
Office Supplies,2021,Qtr 2,June,21,223.54
Technology,2021,Qtr 2,June,21,
Furniture,2021,Qtr 2,June,23,
Office Supplies,2021,Qtr 2,June,23,1612.75
Technology,2021,Qtr 2,June,23,862.344
Furniture,2021,Qtr 2,June,24,
Office Supplies,2021,Qtr 2,June,24,355.002
Technology,2021,Qtr 2,June,24,4955.95
Furniture,2021,Qtr 2,June,25,540.016
Office Supplies,2021,Qtr 2,June,25,353.25
Technology,2021,Qtr 2,June,25,
Furniture,2021,Qtr 2,June,26,59.88
Office Supplies,2021,Qtr 2,June,26,1549.224
Technology,2021,Qtr 2,June,26,310.496
Furniture,2021,Qtr 2,June,27,539.658
Office Supplies,2021,Qtr 2,June,27,37.464
Technology,2021,Qtr 2,June,27,201.584
Furniture,2021,Qtr 2,June,28,121.96
Office Supplies,2021,Qtr 2,June,28,395.22
Technology,2021,Qtr 2,June,28,359.976
Furniture,2021,Qtr 2,June,29,
Office Supplies,2021,Qtr 2,June,29,191.88
Technology,2021,Qtr 2,June,29,
Furniture,2021,Qtr 2,June,30,1266.86
Office Supplies,2021,Qtr 2,June,30,35.97
Technology,2021,Qtr 2,June,30,50.12
Furniture,2021,Qtr 3,July,1,23.076
Office Supplies,2021,Qtr 3,July,1,60.5
Technology,2021,Qtr 3,July,1,
Furniture,2021,Qtr 3,July,2,
Office Supplies,2021,Qtr 3,July,2,38.182
Technology,2021,Qtr 3,July,2,723.96
Furniture,2021,Qtr 3,July,3,
Office Supplies,2021,Qtr 3,July,3,
Technology,2021,Qtr 3,July,3,21.072
Furniture,2021,Qtr 3,July,4,658.746
Office Supplies,2021,Qtr 3,July,4,111.852
Technology,2021,Qtr 3,July,4,1199.976
Furniture,2021,Qtr 3,July,5,506.444
Office Supplies,2021,Qtr 3,July,5,129.632
Technology,2021,Qtr 3,July,5,4199.9
Furniture,2021,Qtr 3,July,6,
Office Supplies,2021,Qtr 3,July,6,51.562
Technology,2021,Qtr 3,July,6,
Furniture,2021,Qtr 3,July,7,817.278
Office Supplies,2021,Qtr 3,July,7,204.999
Technology,2021,Qtr 3,July,7,2859.954
Furniture,2021,Qtr 3,July,8,
Office Supplies,2021,Qtr 3,July,8,
Technology,2021,Qtr 3,July,8,179.97
Furniture,2021,Qtr 3,July,10,
Office Supplies,2021,Qtr 3,July,10,136.112
Technology,2021,Qtr 3,July,10,837.6
Furniture,2021,Qtr 3,July,11,1662.416
Office Supplies,2021,Qtr 3,July,11,924.172
Technology,2021,Qtr 3,July,11,1223.876
Furniture,2021,Qtr 3,July,14,661.686
Office Supplies,2021,Qtr 3,July,14,548.09
Technology,2021,Qtr 3,July,14,940.184
Furniture,2021,Qtr 3,July,15,230.28
Office Supplies,2021,Qtr 3,July,15,149.92
Technology,2021,Qtr 3,July,15,
Furniture,2021,Qtr 3,July,16,9.552
Office Supplies,2021,Qtr 3,July,16,186.28
Technology,2021,Qtr 3,July,16,714.338
Furniture,2021,Qtr 3,July,17,37.17
Office Supplies,2021,Qtr 3,July,17,1101.526
Technology,2021,Qtr 3,July,17,1046.184
Furniture,2021,Qtr 3,July,18,1539.17
Office Supplies,2021,Qtr 3,July,18,1281.12
Technology,2021,Qtr 3,July,18,71.568
Furniture,2021,Qtr 3,July,19,690.48
Office Supplies,2021,Qtr 3,July,19,420.02
Technology,2021,Qtr 3,July,19,425.954
Furniture,2021,Qtr 3,July,20,
Office Supplies,2021,Qtr 3,July,20,
Technology,2021,Qtr 3,July,20,89.95
Furniture,2021,Qtr 3,July,21,363.92
Office Supplies,2021,Qtr 3,July,21,627.175
Technology,2021,Qtr 3,July,21,
Furniture,2021,Qtr 3,July,22,39.068
Office Supplies,2021,Qtr 3,July,22,1219.03
Technology,2021,Qtr 3,July,22,109.95
Furniture,2021,Qtr 3,July,23,
Office Supplies,2021,Qtr 3,July,23,273.976
Technology,2021,Qtr 3,July,23,380.611
Furniture,2021,Qtr 3,July,24,253.764
Office Supplies,2021,Qtr 3,July,24,73.2
Technology,2021,Qtr 3,July,24,
Furniture,2021,Qtr 3,July,25,3495.468
Office Supplies,2021,Qtr 3,July,25,563.244
Technology,2021,Qtr 3,July,25,1861.776
Furniture,2021,Qtr 3,July,28,504.87
Office Supplies,2021,Qtr 3,July,28,1528.504
Technology,2021,Qtr 3,July,28,
Furniture,2021,Qtr 3,July,29,
Office Supplies,2021,Qtr 3,July,29,819.154
Technology,2021,Qtr 3,July,29,
Furniture,2021,Qtr 3,July,30,
Office Supplies,2021,Qtr 3,July,30,1770.776
Technology,2021,Qtr 3,July,30,
Furniture,2021,Qtr 3,July,31,1136.068
Office Supplies,2021,Qtr 3,July,31,283.14
Technology,2021,Qtr 3,July,31,754.95
Furniture,2021,Qtr 3,August,1,1565.88
Office Supplies,2021,Qtr 3,August,1,184.494
Technology,2021,Qtr 3,August,1,108.784
Furniture,2021,Qtr 3,August,2,241.5
Office Supplies,2021,Qtr 3,August,2,
Technology,2021,Qtr 3,August,2,1127.976
Furniture,2021,Qtr 3,August,3,215.96
Office Supplies,2021,Qtr 3,August,3,474.354
Technology,2021,Qtr 3,August,3,1500.496
Furniture,2021,Qtr 3,August,4,1024.208
Office Supplies,2021,Qtr 3,August,4,1450.268
Technology,2021,Qtr 3,August,4,431.928
Furniture,2021,Qtr 3,August,5,211.96
Office Supplies,2021,Qtr 3,August,5,1070.172
Technology,2021,Qtr 3,August,5,58.112
Furniture,2021,Qtr 3,August,7,662.88
Office Supplies,2021,Qtr 3,August,7,158.048
Technology,2021,Qtr 3,August,7,1795.584
Furniture,2021,Qtr 3,August,8,513.024
Office Supplies,2021,Qtr 3,August,8,602.18
Technology,2021,Qtr 3,August,8,
Furniture,2021,Qtr 3,August,9,3374.9816
Office Supplies,2021,Qtr 3,August,9,966.29
Technology,2021,Qtr 3,August,9,152.712
Furniture,2021,Qtr 3,August,10,51.712
Office Supplies,2021,Qtr 3,August,10,509.824
Technology,2021,Qtr 3,August,10,
Furniture,2021,Qtr 3,August,11,993.9
Office Supplies,2021,Qtr 3,August,11,
Technology,2021,Qtr 3,August,11,
Furniture,2021,Qtr 3,August,12,2698.454
Office Supplies,2021,Qtr 3,August,12,463.891
Technology,2021,Qtr 3,August,12,1546.75
Furniture,2021,Qtr 3,August,13,241.96
Office Supplies,2021,Qtr 3,August,13,417.584
Technology,2021,Qtr 3,August,13,71.98
Furniture,2021,Qtr 3,August,14,
Office Supplies,2021,Qtr 3,August,14,31.092
Technology,2021,Qtr 3,August,14,892.596
Furniture,2021,Qtr 3,August,15,537.326
Office Supplies,2021,Qtr 3,August,15,199.82
Technology,2021,Qtr 3,August,15,943.12
Furniture,2021,Qtr 3,August,16,161.28
Office Supplies,2021,Qtr 3,August,16,43.26
Technology,2021,Qtr 3,August,16,
Furniture,2021,Qtr 3,August,17,
Office Supplies,2021,Qtr 3,August,17,15.712
Technology,2021,Qtr 3,August,17,
Furniture,2021,Qtr 3,August,18,14.896
Office Supplies,2021,Qtr 3,August,18,441.228
Technology,2021,Qtr 3,August,18,39.99
Furniture,2021,Qtr 3,August,19,
Office Supplies,2021,Qtr 3,August,19,448.792
Technology,2021,Qtr 3,August,19,
Furniture,2021,Qtr 3,August,20,
Office Supplies,2021,Qtr 3,August,20,
Technology,2021,Qtr 3,August,20,14.78
Furniture,2021,Qtr 3,August,21,4275.522
Office Supplies,2021,Qtr 3,August,21,143.856
Technology,2021,Qtr 3,August,21,378.914
Furniture,2021,Qtr 3,August,22,98.328
Office Supplies,2021,Qtr 3,August,22,307.022
