Retail Orders.Sub-Category,Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Profit),Sum(Retail Orders.Discount)
Accessories,Technology,2021,Qtr 1,January,8,,
Copiers,Technology,2021,Qtr 1,January,8,,
Machines,Technology,2021,Qtr 1,January,8,,
Phones,Technology,2021,Qtr 1,January,8,90.9762,0
Bookcases,Furniture,2021,Qtr 1,January,9,,
Chairs,Furniture,2021,Qtr 1,January,9,,
Furnishings,Furniture,2021,Qtr 1,January,9,61.3824,0
Tables,Furniture,2021,Qtr 1,January,9,,
Appliances,Office Supplies,2021,Qtr 1,January,9,71.162,0
Art,Office Supplies,2021,Qtr 1,January,9,2.99,0
Binders,Office Supplies,2021,Qtr 1,January,9,1454.7192,0
Envelopes,Office Supplies,2021,Qtr 1,January,9,16.691,0
Fasteners,Office Supplies,2021,Qtr 1,January,9,5.4236,0
Labels,Office Supplies,2021,Qtr 1,January,9,,
Paper,Office Supplies,2021,Qtr 1,January,9,44.5356,0
Storage,Office Supplies,2021,Qtr 1,January,9,,
Supplies,Office Supplies,2021,Qtr 1,January,9,3.285,0
Accessories,Technology,2021,Qtr 1,January,9,239.0662,0
Copiers,Technology,2021,Qtr 1,January,9,,
Machines,Technology,2021,Qtr 1,January,9,,
Phones,Technology,2021,Qtr 1,January,9,-2.5148,0
Bookcases,Furniture,2021,Qtr 1,January,10,,
Chairs,Furniture,2021,Qtr 1,January,10,12.178,0
Furnishings,Furniture,2021,Qtr 1,January,10,10.881,0
Tables,Furniture,2021,Qtr 1,January,10,-115.7058,0
Appliances,Office Supplies,2021,Qtr 1,January,10,,
Art,Office Supplies,2021,Qtr 1,January,10,5.0336,0
Binders,Office Supplies,2021,Qtr 1,January,10,-4.49,1
Envelopes,Office Supplies,2021,Qtr 1,January,10,,
Fasteners,Office Supplies,2021,Qtr 1,January,10,,
Labels,Office Supplies,2021,Qtr 1,January,10,,
Paper,Office Supplies,2021,Qtr 1,January,10,9.5688,0
Storage,Office Supplies,2021,Qtr 1,January,10,,
Supplies,Office Supplies,2021,Qtr 1,January,10,,
Accessories,Technology,2021,Qtr 1,January,10,20.8719,0
Copiers,Technology,2021,Qtr 1,January,10,,
Machines,Technology,2021,Qtr 1,January,10,,
Phones,Technology,2021,Qtr 1,January,10,18.873,0
Bookcases,Furniture,2021,Qtr 1,January,11,,
Chairs,Furniture,2021,Qtr 1,January,11,,
Furnishings,Furniture,2021,Qtr 1,January,11,,
Tables,Furniture,2021,Qtr 1,January,11,,
Appliances,Office Supplies,2021,Qtr 1,January,11,,
Art,Office Supplies,2021,Qtr 1,January,11,,
Binders,Office Supplies,2021,Qtr 1,January,11,,
Envelopes,Office Supplies,2021,Qtr 1,January,11,118.3413,0
Fasteners,Office Supplies,2021,Qtr 1,January,11,,
Labels,Office Supplies,2021,Qtr 1,January,11,,
Paper,Office Supplies,2021,Qtr 1,January,11,,
Storage,Office Supplies,2021,Qtr 1,January,11,6.9795,0
Supplies,Office Supplies,2021,Qtr 1,January,11,,
Accessories,Technology,2021,Qtr 1,January,11,17.8794,0
Copiers,Technology,2021,Qtr 1,January,11,,
Machines,Technology,2021,Qtr 1,January,11,,
Phones,Technology,2021,Qtr 1,January,11,6.104,0
Bookcases,Furniture,2021,Qtr 1,January,12,,
Chairs,Furniture,2021,Qtr 1,January,12,183.1712,0
Furnishings,Furniture,2021,Qtr 1,January,12,60.0494,0
Tables,Furniture,2021,Qtr 1,January,12,-47.0583,0
Appliances,Office Supplies,2021,Qtr 1,January,12,961.2778,1
Art,Office Supplies,2021,Qtr 1,January,12,7.3236,0
Binders,Office Supplies,2021,Qtr 1,January,12,40.5168,0
Envelopes,Office Supplies,2021,Qtr 1,January,12,11.2308,0
Fasteners,Office Supplies,2021,Qtr 1,January,12,,
Labels,Office Supplies,2021,Qtr 1,January,12,,
Paper,Office Supplies,2021,Qtr 1,January,12,34.7128,0
Storage,Office Supplies,2021,Qtr 1,January,12,222.588,0
Supplies,Office Supplies,2021,Qtr 1,January,12,11.803,0
Accessories,Technology,2021,Qtr 1,January,12,,
Copiers,Technology,2021,Qtr 1,January,12,,
Machines,Technology,2021,Qtr 1,January,12,,
Phones,Technology,2021,Qtr 1,January,12,167.2497,0
Bookcases,Furniture,2021,Qtr 1,January,14,,
Chairs,Furniture,2021,Qtr 1,January,14,,
Furnishings,Furniture,2021,Qtr 1,January,14,31.5776,0
Tables,Furniture,2021,Qtr 1,January,14,,
Appliances,Office Supplies,2021,Qtr 1,January,14,,
Art,Office Supplies,2021,Qtr 1,January,14,,
Binders,Office Supplies,2021,Qtr 1,January,14,,
Envelopes,Office Supplies,2021,Qtr 1,January,14,,
Fasteners,Office Supplies,2021,Qtr 1,January,14,,
Labels,Office Supplies,2021,Qtr 1,January,14,,
Paper,Office Supplies,2021,Qtr 1,January,14,32.4684,0
Storage,Office Supplies,2021,Qtr 1,January,14,,
Supplies,Office Supplies,2021,Qtr 1,January,14,,
Accessories,Technology,2021,Qtr 1,January,14,,
Copiers,Technology,2021,Qtr 1,January,14,,
Machines,Technology,2021,Qtr 1,January,14,,
Phones,Technology,2021,Qtr 1,January,14,,
Bookcases,Furniture,2021,Qtr 1,January,15,,
Chairs,Furniture,2021,Qtr 1,January,15,,
Furnishings,Furniture,2021,Qtr 1,January,15,,
Tables,Furniture,2021,Qtr 1,January,15,-15.5826,0
Appliances,Office Supplies,2021,Qtr 1,January,15,,
Art,Office Supplies,2021,Qtr 1,January,15,1.3514,0
Binders,Office Supplies,2021,Qtr 1,January,15,17.3376,0
Envelopes,Office Supplies,2021,Qtr 1,January,15,32.199,0
Fasteners,Office Supplies,2021,Qtr 1,January,15,,
Labels,Office Supplies,2021,Qtr 1,January,15,,
Paper,Office Supplies,2021,Qtr 1,January,15,69.0278,0
Storage,Office Supplies,2021,Qtr 1,January,15,,
Supplies,Office Supplies,2021,Qtr 1,January,15,,
Accessories,Technology,2021,Qtr 1,January,15,91.7892,0
Copiers,Technology,2021,Qtr 1,January,15,,
Machines,Technology,2021,Qtr 1,January,15,,
Phones,Technology,2021,Qtr 1,January,15,,
Bookcases,Furniture,2021,Qtr 1,January,16,,
Chairs,Furniture,2021,Qtr 1,January,16,,
Furnishings,Furniture,2021,Qtr 1,January,16,,
Tables,Furniture,2021,Qtr 1,January,16,,
Appliances,Office Supplies,2021,Qtr 1,January,16,,
Art,Office Supplies,2021,Qtr 1,January,16,,
Binders,Office Supplies,2021,Qtr 1,January,16,4.2224,0
Envelopes,Office Supplies,2021,Qtr 1,January,16,,
Fasteners,Office Supplies,2021,Qtr 1,January,16,,
Labels,Office Supplies,2021,Qtr 1,January,16,,
Paper,Office Supplies,2021,Qtr 1,January,16,,
Storage,Office Supplies,2021,Qtr 1,January,16,,
Supplies,Office Supplies,2021,Qtr 1,January,16,,
Accessories,Technology,2021,Qtr 1,January,16,11.7741,0
Copiers,Technology,2021,Qtr 1,January,16,,
Machines,Technology,2021,Qtr 1,January,16,,
Phones,Technology,2021,Qtr 1,January,16,,
Bookcases,Furniture,2021,Qtr 1,January,17,,
Chairs,Furniture,2021,Qtr 1,January,17,,
Furnishings,Furniture,2021,Qtr 1,January,17,64.518,0
Tables,Furniture,2021,Qtr 1,January,17,,
Appliances,Office Supplies,2021,Qtr 1,January,17,,
Art,Office Supplies,2021,Qtr 1,January,17,,
Binders,Office Supplies,2021,Qtr 1,January,17,,
Envelopes,Office Supplies,2021,Qtr 1,January,17,,
Fasteners,Office Supplies,2021,Qtr 1,January,17,,
Labels,Office Supplies,2021,Qtr 1,January,17,,
Paper,Office Supplies,2021,Qtr 1,January,17,,
Storage,Office Supplies,2021,Qtr 1,January,17,,
Supplies,Office Supplies,2021,Qtr 1,January,17,,
Accessories,Technology,2021,Qtr 1,January,17,111.7502,0
Copiers,Technology,2021,Qtr 1,January,17,,
Machines,Technology,2021,Qtr 1,January,17,,
Phones,Technology,2021,Qtr 1,January,17,,
Bookcases,Furniture,2021,Qtr 1,January,21,,
Chairs,Furniture,2021,Qtr 1,January,21,70.2528,0
Furnishings,Furniture,2021,Qtr 1,January,21,,
Tables,Furniture,2021,Qtr 1,January,21,,
Appliances,Office Supplies,2021,Qtr 1,January,21,,
Art,Office Supplies,2021,Qtr 1,January,21,,
Binders,Office Supplies,2021,Qtr 1,January,21,,
Envelopes,Office Supplies,2021,Qtr 1,January,21,,
Fasteners,Office Supplies,2021,Qtr 1,January,21,,
Labels,Office Supplies,2021,Qtr 1,January,21,,
Paper,Office Supplies,2021,Qtr 1,January,21,,
Storage,Office Supplies,2021,Qtr 1,January,21,,
Supplies,Office Supplies,2021,Qtr 1,January,21,,
Accessories,Technology,2021,Qtr 1,January,21,,
Copiers,Technology,2021,Qtr 1,January,21,,
Machines,Technology,2021,Qtr 1,January,21,,
Phones,Technology,2021,Qtr 1,January,21,,
Bookcases,Furniture,2021,Qtr 1,January,22,-67.6704,0
Chairs,Furniture,2021,Qtr 1,January,22,,
Furnishings,Furniture,2021,Qtr 1,January,22,41.6476,0
Tables,Furniture,2021,Qtr 1,January,22,,
Appliances,Office Supplies,2021,Qtr 1,January,22,6.4864,0
Art,Office Supplies,2021,Qtr 1,January,22,,
Binders,Office Supplies,2021,Qtr 1,January,22,9.2176,0
Envelopes,Office Supplies,2021,Qtr 1,January,22,,
Fasteners,Office Supplies,2021,Qtr 1,January,22,0.3024,0
Labels,Office Supplies,2021,Qtr 1,January,22,31.699,0
Paper,Office Supplies,2021,Qtr 1,January,22,6.2208,0
Storage,Office Supplies,2021,Qtr 1,January,22,,
Supplies,Office Supplies,2021,Qtr 1,January,22,,
Accessories,Technology,2021,Qtr 1,January,22,15.8631,0
Copiers,Technology,2021,Qtr 1,January,22,,
Machines,Technology,2021,Qtr 1,January,22,,
Phones,Technology,2021,Qtr 1,January,22,-20.2356,0
Bookcases,Furniture,2021,Qtr 1,January,23,,
Chairs,Furniture,2021,Qtr 1,January,23,,
Furnishings,Furniture,2021,Qtr 1,January,23,21.5964,0
Tables,Furniture,2021,Qtr 1,January,23,,
Appliances,Office Supplies,2021,Qtr 1,January,23,,
Art,Office Supplies,2021,Qtr 1,January,23,2.7336,0
Binders,Office Supplies,2021,Qtr 1,January,23,,
Envelopes,Office Supplies,2021,Qtr 1,January,23,,
Fasteners,Office Supplies,2021,Qtr 1,January,23,,
Labels,Office Supplies,2021,Qtr 1,January,23,,
Paper,Office Supplies,2021,Qtr 1,January,23,,
Storage,Office Supplies,2021,Qtr 1,January,23,406.7154,0
Supplies,Office Supplies,2021,Qtr 1,January,23,,
Accessories,Technology,2021,Qtr 1,January,23,42.9914,0
Copiers,Technology,2021,Qtr 1,January,23,,
Machines,Technology,2021,Qtr 1,January,23,,
Phones,Technology,2021,Qtr 1,January,23,,
Bookcases,Furniture,2021,Qtr 1,January,24,,
Chairs,Furniture,2021,Qtr 1,January,24,,
Furnishings,Furniture,2021,Qtr 1,January,24,,
Tables,Furniture,2021,Qtr 1,January,24,,
Appliances,Office Supplies,2021,Qtr 1,January,24,,
Art,Office Supplies,2021,Qtr 1,January,24,,
Binders,Office Supplies,2021,Qtr 1,January,24,15.68,0
Envelopes,Office Supplies,2021,Qtr 1,January,24,,
Fasteners,Office Supplies,2021,Qtr 1,January,24,,
Labels,Office Supplies,2021,Qtr 1,January,24,,
Paper,Office Supplies,2021,Qtr 1,January,24,,
Storage,Office Supplies,2021,Qtr 1,January,24,,
Supplies,Office Supplies,2021,Qtr 1,January,24,,
Accessories,Technology,2021,Qtr 1,January,24,,
Copiers,Technology,2021,Qtr 1,January,24,,
Machines,Technology,2021,Qtr 1,January,24,,
Phones,Technology,2021,Qtr 1,January,24,,
Bookcases,Furniture,2021,Qtr 1,January,25,,
Chairs,Furniture,2021,Qtr 1,January,25,,
Furnishings,Furniture,2021,Qtr 1,January,25,7.8166,0
Tables,Furniture,2021,Qtr 1,January,25,-99.3453,0
Appliances,Office Supplies,2021,Qtr 1,January,25,,
Art,Office Supplies,2021,Qtr 1,January,25,2.3025,0
Binders,Office Supplies,2021,Qtr 1,January,25,15.092,0
Envelopes,Office Supplies,2021,Qtr 1,January,25,,
Fasteners,Office Supplies,2021,Qtr 1,January,25,,
Labels,Office Supplies,2021,Qtr 1,January,25,,
Paper,Office Supplies,2021,Qtr 1,January,25,8.28,0
Storage,Office Supplies,2021,Qtr 1,January,25,0,0
Supplies,Office Supplies,2021,Qtr 1,January,25,,
Accessories,Technology,2021,Qtr 1,January,25,,
Copiers,Technology,2021,Qtr 1,January,25,,
Machines,Technology,2021,Qtr 1,January,25,,
Phones,Technology,2021,Qtr 1,January,25,,
Bookcases,Furniture,2021,Qtr 1,January,28,,
Chairs,Furniture,2021,Qtr 1,January,28,,
Furnishings,Furniture,2021,Qtr 1,January,28,,
Tables,Furniture,2021,Qtr 1,January,28,,
Appliances,Office Supplies,2021,Qtr 1,January,28,,
Art,Office Supplies,2021,Qtr 1,January,28,10.3168,0
Binders,Office Supplies,2021,Qtr 1,January,28,,
Envelopes,Office Supplies,2021,Qtr 1,January,28,,
Fasteners,Office Supplies,2021,Qtr 1,January,28,,
Labels,Office Supplies,2021,Qtr 1,January,28,,
Paper,Office Supplies,2021,Qtr 1,January,28,,
Storage,Office Supplies,2021,Qtr 1,January,28,,
Supplies,Office Supplies,2021,Qtr 1,January,28,,
Accessories,Technology,2021,Qtr 1,January,28,,
Copiers,Technology,2021,Qtr 1,January,28,,
Machines,Technology,2021,Qtr 1,January,28,,
Phones,Technology,2021,Qtr 1,January,28,,
Bookcases,Furniture,2021,Qtr 1,January,30,7.7728,0
Chairs,Furniture,2021,Qtr 1,January,30,-59.8356,0
Furnishings,Furniture,2021,Qtr 1,January,30,,
Tables,Furniture,2021,Qtr 1,January,30,-538.446,0
Appliances,Office Supplies,2021,Qtr 1,January,30,,
Art,Office Supplies,2021,Qtr 1,January,30,,
Binders,Office Supplies,2021,Qtr 1,January,30,20.9874,1
Envelopes,Office Supplies,2021,Qtr 1,January,30,,
Fasteners,Office Supplies,2021,Qtr 1,January,30,,
Labels,Office Supplies,2021,Qtr 1,January,30,12.2247,0
Paper,Office Supplies,2021,Qtr 1,January,30,52.8228,0
Storage,Office Supplies,2021,Qtr 1,January,30,76.2525,0
Supplies,Office Supplies,2021,Qtr 1,January,30,,
Accessories,Technology,2021,Qtr 1,January,30,,
Copiers,Technology,2021,Qtr 1,January,30,,
Machines,Technology,2021,Qtr 1,January,30,,
Phones,Technology,2021,Qtr 1,January,30,143.9968,0
Bookcases,Furniture,2021,Qtr 1,January,31,,
Chairs,Furniture,2021,Qtr 1,January,31,,
Furnishings,Furniture,2021,Qtr 1,January,31,,
Tables,Furniture,2021,Qtr 1,January,31,,
Appliances,Office Supplies,2021,Qtr 1,January,31,,
Art,Office Supplies,2021,Qtr 1,January,31,,
Binders,Office Supplies,2021,Qtr 1,January,31,635.495,0
Envelopes,Office Supplies,2021,Qtr 1,January,31,70.5992,0
Fasteners,Office Supplies,2021,Qtr 1,January,31,,
Labels,Office Supplies,2021,Qtr 1,January,31,,
Paper,Office Supplies,2021,Qtr 1,January,31,33.2262,0
Storage,Office Supplies,2021,Qtr 1,January,31,,
Supplies,Office Supplies,2021,Qtr 1,January,31,,
Accessories,Technology,2021,Qtr 1,January,31,,
Copiers,Technology,2021,Qtr 1,January,31,,
Machines,Technology,2021,Qtr 1,January,31,,
Phones,Technology,2021,Qtr 1,January,31,8.2194,0
Bookcases,Furniture,2021,Qtr 1,February,1,38.2668,0
Chairs,Furniture,2021,Qtr 1,February,1,,
Furnishings,Furniture,2021,Qtr 1,February,1,,
Tables,Furniture,2021,Qtr 1,February,1,,
Appliances,Office Supplies,2021,Qtr 1,February,1,,
Art,Office Supplies,2021,Qtr 1,February,1,,
Binders,Office Supplies,2021,Qtr 1,February,1,,
Envelopes,Office Supplies,2021,Qtr 1,February,1,,
Fasteners,Office Supplies,2021,Qtr 1,February,1,,
Labels,Office Supplies,2021,Qtr 1,February,1,,
Paper,Office Supplies,2021,Qtr 1,February,1,,
Storage,Office Supplies,2021,Qtr 1,February,1,,
Supplies,Office Supplies,2021,Qtr 1,February,1,,
Accessories,Technology,2021,Qtr 1,February,1,,
Copiers,Technology,2021,Qtr 1,February,1,,
Machines,Technology,2021,Qtr 1,February,1,,
Phones,Technology,2021,Qtr 1,February,1,67.2742,0
Bookcases,Furniture,2021,Qtr 1,February,2,,
Chairs,Furniture,2021,Qtr 1,February,2,,
Furnishings,Furniture,2021,Qtr 1,February,2,-70.371,1
Tables,Furniture,2021,Qtr 1,February,2,,
Appliances,Office Supplies,2021,Qtr 1,February,2,,
Art,Office Supplies,2021,Qtr 1,February,2,,
Binders,Office Supplies,2021,Qtr 1,February,2,18.2,0
Envelopes,Office Supplies,2021,Qtr 1,February,2,,
Fasteners,Office Supplies,2021,Qtr 1,February,2,,
Labels,Office Supplies,2021,Qtr 1,February,2,,
Paper,Office Supplies,2021,Qtr 1,February,2,,
Storage,Office Supplies,2021,Qtr 1,February,2,5.898,0
Supplies,Office Supplies,2021,Qtr 1,February,2,,
Accessories,Technology,2021,Qtr 1,February,2,,
Copiers,Technology,2021,Qtr 1,February,2,,
Machines,Technology,2021,Qtr 1,February,2,2799.984,0
Phones,Technology,2021,Qtr 1,February,2,,
Bookcases,Furniture,2021,Qtr 1,February,4,,
Chairs,Furniture,2021,Qtr 1,February,4,378.274,0
Furnishings,Furniture,2021,Qtr 1,February,4,,
Tables,Furniture,2021,Qtr 1,February,4,,
Appliances,Office Supplies,2021,Qtr 1,February,4,,
Art,Office Supplies,2021,Qtr 1,February,4,,
Binders,Office Supplies,2021,Qtr 1,February,4,,
Envelopes,Office Supplies,2021,Qtr 1,February,4,,
Fasteners,Office Supplies,2021,Qtr 1,February,4,,
Labels,Office Supplies,2021,Qtr 1,February,4,,
Paper,Office Supplies,2021,Qtr 1,February,4,,
Storage,Office Supplies,2021,Qtr 1,February,4,,
Supplies,Office Supplies,2021,Qtr 1,February,4,,
Accessories,Technology,2021,Qtr 1,February,4,,
Copiers,Technology,2021,Qtr 1,February,4,,
Machines,Technology,2021,Qtr 1,February,4,,
Phones,Technology,2021,Qtr 1,February,4,,
Bookcases,Furniture,2021,Qtr 1,February,5,,
Chairs,Furniture,2021,Qtr 1,February,5,-98.3322,0
Furnishings,Furniture,2021,Qtr 1,February,5,87.7522,0
Tables,Furniture,2021,Qtr 1,February,5,,
Appliances,Office Supplies,2021,Qtr 1,February,5,,
Art,Office Supplies,2021,Qtr 1,February,5,5.397,0
Binders,Office Supplies,2021,Qtr 1,February,5,49.8816,0
Envelopes,Office Supplies,2021,Qtr 1,February,5,,
Fasteners,Office Supplies,2021,Qtr 1,February,5,,
Labels,Office Supplies,2021,Qtr 1,February,5,1.764,0
Paper,Office Supplies,2021,Qtr 1,February,5,6.0168,0
Storage,Office Supplies,2021,Qtr 1,February,5,5.628,0
Supplies,Office Supplies,2021,Qtr 1,February,5,,
Accessories,Technology,2021,Qtr 1,February,5,,
Copiers,Technology,2021,Qtr 1,February,5,,
Machines,Technology,2021,Qtr 1,February,5,,
Phones,Technology,2021,Qtr 1,February,5,,
Bookcases,Furniture,2021,Qtr 1,February,6,,
Chairs,Furniture,2021,Qtr 1,February,6,,
Furnishings,Furniture,2021,Qtr 1,February,6,,
Tables,Furniture,2021,Qtr 1,February,6,,
Appliances,Office Supplies,2021,Qtr 1,February,6,,
Art,Office Supplies,2021,Qtr 1,February,6,,
Binders,Office Supplies,2021,Qtr 1,February,6,22.6536,0
Envelopes,Office Supplies,2021,Qtr 1,February,6,,
Fasteners,Office Supplies,2021,Qtr 1,February,6,,
Labels,Office Supplies,2021,Qtr 1,February,6,,
Paper,Office Supplies,2021,Qtr 1,February,6,13.8828,0
Storage,Office Supplies,2021,Qtr 1,February,6,-12.9568,0
Supplies,Office Supplies,2021,Qtr 1,February,6,,
Accessories,Technology,2021,Qtr 1,February,6,,
Copiers,Technology,2021,Qtr 1,February,6,,
Machines,Technology,2021,Qtr 1,February,6,,
Phones,Technology,2021,Qtr 1,February,6,,
Bookcases,Furniture,2021,Qtr 1,February,7,,
Chairs,Furniture,2021,Qtr 1,February,7,19.5184,0
Furnishings,Furniture,2021,Qtr 1,February,7,,
Tables,Furniture,2021,Qtr 1,February,7,,
Appliances,Office Supplies,2021,Qtr 1,February,7,,
Art,Office Supplies,2021,Qtr 1,February,7,3.157,0
Binders,Office Supplies,2021,Qtr 1,February,7,,
Envelopes,Office Supplies,2021,Qtr 1,February,7,,
Fasteners,Office Supplies,2021,Qtr 1,February,7,,
Labels,Office Supplies,2021,Qtr 1,February,7,,
Paper,Office Supplies,2021,Qtr 1,February,7,14.5152,0
Storage,Office Supplies,2021,Qtr 1,February,7,,
Supplies,Office Supplies,2021,Qtr 1,February,7,,
Accessories,Technology,2021,Qtr 1,February,7,,
Copiers,Technology,2021,Qtr 1,February,7,,
Machines,Technology,2021,Qtr 1,February,7,,
Phones,Technology,2021,Qtr 1,February,7,,
Bookcases,Furniture,2021,Qtr 1,February,8,,
Chairs,Furniture,2021,Qtr 1,February,8,,
Furnishings,Furniture,2021,Qtr 1,February,8,,
Tables,Furniture,2021,Qtr 1,February,8,15.3522,0
Appliances,Office Supplies,2021,Qtr 1,February,8,,
Art,Office Supplies,2021,Qtr 1,February,8,,
Binders,Office Supplies,2021,Qtr 1,February,8,4.704,0
Envelopes,Office Supplies,2021,Qtr 1,February,8,,
Fasteners,Office Supplies,2021,Qtr 1,February,8,,
Labels,Office Supplies,2021,Qtr 1,February,8,,
Paper,Office Supplies,2021,Qtr 1,February,8,,
Storage,Office Supplies,2021,Qtr 1,February,8,,
Supplies,Office Supplies,2021,Qtr 1,February,8,,
Accessories,Technology,2021,Qtr 1,February,8,,
