Superstore 2023.Region	Superstore 2023.Category	Superstore 2023.Sub-Category	Superstore 2023.Order Date	Superstore 2023.ProfitM	Sum(Superstore 2023.Sales)
West	Furniture	Bookcases	Tuesday, October 05, 2021	-103.8606	66.294
Central	Furniture	Bookcases	Tuesday, October 12, 2021		
East	Furniture	Bookcases	Tuesday, October 12, 2021	159.3684	1525.488
South	Furniture	Bookcases	Tuesday, October 12, 2021		
West	Furniture	Bookcases	Tuesday, October 12, 2021		
Central	Furniture	Bookcases	Sunday, October 31, 2021		
East	Furniture	Bookcases	Sunday, October 31, 2021		
South	Furniture	Bookcases	Sunday, October 31, 2021		
West	Furniture	Bookcases	Sunday, October 31, 2021	20.0392	425.833
Central	Furniture	Bookcases	Tuesday, November 02, 2021		
East	Furniture	Bookcases	Tuesday, November 02, 2021		
South	Furniture	Bookcases	Tuesday, November 02, 2021		
West	Furniture	Bookcases	Tuesday, November 02, 2021	-30.147	512.499
Central	Furniture	Bookcases	Monday, November 08, 2021		
East	Furniture	Bookcases	Monday, November 08, 2021	1013.127	4404.9
South	Furniture	Bookcases	Monday, November 08, 2021		
West	Furniture	Bookcases	Monday, November 08, 2021		
Central	Furniture	Bookcases	Saturday, November 13, 2021	-18.0588	613.9992
East	Furniture	Bookcases	Saturday, November 13, 2021	56.9943	299.97
South	Furniture	Bookcases	Saturday, November 13, 2021		
West	Furniture	Bookcases	Saturday, November 13, 2021	-40.196	683.332
Central	Furniture	Bookcases	Saturday, November 20, 2021		
East	Furniture	Bookcases	Saturday, November 20, 2021	9.3024	186.048
South	Furniture	Bookcases	Saturday, November 20, 2021	-36.294	290.352
West	Furniture	Bookcases	Saturday, November 20, 2021	-247.7988	145.764
Central	Furniture	Bookcases	Sunday, November 21, 2021	-76.0116	246.1328
East	Furniture	Bookcases	Sunday, November 21, 2021		
South	Furniture	Bookcases	Sunday, November 21, 2021		
West	Furniture	Bookcases	Sunday, November 21, 2021	41.1684	141.96
Central	Furniture	Bookcases	Saturday, November 27, 2021		
East	Furniture	Bookcases	Saturday, November 27, 2021	32.4862	170.98
South	Furniture	Bookcases	Saturday, November 27, 2021		
West	Furniture	Bookcases	Saturday, November 27, 2021		
Central	Furniture	Bookcases	Tuesday, November 30, 2021		
East	Furniture	Bookcases	Tuesday, November 30, 2021	42.588	681.408
South	Furniture	Bookcases	Tuesday, November 30, 2021		
West	Furniture	Bookcases	Tuesday, November 30, 2021		
Central	Furniture	Bookcases	Friday, December 03, 2021		
East	Furniture	Bookcases	Friday, December 03, 2021		
South	Furniture	Bookcases	Friday, December 03, 2021		
West	Furniture	Bookcases	Friday, December 03, 2021	-29.6058	359.499
Central	Furniture	Bookcases	Saturday, December 11, 2021		
East	Furniture	Bookcases	Saturday, December 11, 2021		
South	Furniture	Bookcases	Saturday, December 11, 2021		
West	Furniture	Bookcases	Saturday, December 11, 2021	-143.7904	69.576
Central	Furniture	Bookcases	Monday, December 20, 2021	-71.8116	359.058
East	Furniture	Bookcases	Monday, December 20, 2021		
South	Furniture	Bookcases	Monday, December 20, 2021		
West	Furniture	Bookcases	Monday, December 20, 2021		
Central	Furniture	Bookcases	Friday, December 24, 2021		
East	Furniture	Bookcases	Friday, December 24, 2021		
South	Furniture	Bookcases	Friday, December 24, 2021		
West	Furniture	Bookcases	Friday, December 24, 2021	-786.744	590.058
Central	Furniture	Bookcases	Saturday, December 25, 2021	20.9274	160.98
East	Furniture	Bookcases	Saturday, December 25, 2021	56.196	449.568
South	Furniture	Bookcases	Saturday, December 25, 2021		
West	Furniture	Bookcases	Saturday, December 25, 2021		
Central	Furniture	Bookcases	Monday, December 27, 2021	-46.9764	532.3992
East	Furniture	Bookcases	Monday, December 27, 2021		
South	Furniture	Bookcases	Monday, December 27, 2021	8.194	131.104
West	Furniture	Bookcases	Monday, December 27, 2021		
Central	Furniture	Bookcases	Sunday, January 02, 2022		
East	Furniture	Bookcases	Sunday, January 02, 2022	38.2668	173.94
South	Furniture	Bookcases	Sunday, January 02, 2022		
West	Furniture	Bookcases	Sunday, January 02, 2022		
Central	Furniture	Bookcases	Saturday, January 08, 2022	407.1288	1565.88
East	Furniture	Bookcases	Saturday, January 08, 2022		
South	Furniture	Bookcases	Saturday, January 08, 2022		
West	Furniture	Bookcases	Saturday, January 08, 2022		
Central	Furniture	Bookcases	Saturday, January 22, 2022		
East	Furniture	Bookcases	Saturday, January 22, 2022		
South	Furniture	Bookcases	Saturday, January 22, 2022	-67.6704	451.136
West	Furniture	Bookcases	Saturday, January 22, 2022		
Central	Furniture	Bookcases	Sunday, January 30, 2022		
East	Furniture	Bookcases	Sunday, January 30, 2022		
South	Furniture	Bookcases	Sunday, January 30, 2022		
West	Furniture	Bookcases	Sunday, January 30, 2022	7.7728	48.58
Central	Furniture	Bookcases	Saturday, February 05, 2022		
East	Furniture	Bookcases	Saturday, February 05, 2022		
South	Furniture	Bookcases	Saturday, February 05, 2022	52.7956	239.98
West	Furniture	Bookcases	Saturday, February 05, 2022		
Central	Furniture	Bookcases	Thursday, March 10, 2022		
East	Furniture	Bookcases	Thursday, March 10, 2022	-22.098	176.784
South	Furniture	Bookcases	Thursday, March 10, 2022		
West	Furniture	Bookcases	Thursday, March 10, 2022		
Central	Furniture	Bookcases	Monday, March 14, 2022	-14.196	241.332
East	Furniture	Bookcases	Monday, March 14, 2022		
South	Furniture	Bookcases	Monday, March 14, 2022		
West	Furniture	Bookcases	Monday, March 14, 2022		
Central	Furniture	Bookcases	Saturday, March 19, 2022		
East	Furniture	Bookcases	Saturday, March 19, 2022		
South	Furniture	Bookcases	Saturday, March 19, 2022		
West	Furniture	Bookcases	Saturday, March 19, 2022	-98.8018	72.294
Central	Furniture	Bookcases	Thursday, March 24, 2022		
East	Furniture	Bookcases	Thursday, March 24, 2022	-241.176	301.47
South	Furniture	Bookcases	Thursday, March 24, 2022		
West	Furniture	Bookcases	Thursday, March 24, 2022		
Central	Furniture	Bookcases	Tuesday, March 29, 2022		
East	Furniture	Bookcases	Tuesday, March 29, 2022	-167.986	299.975
South	Furniture	Bookcases	Tuesday, March 29, 2022		
West	Furniture	Bookcases	Tuesday, March 29, 2022		
Central	Furniture	Bookcases	Friday, April 08, 2022		
East	Furniture	Bookcases	Friday, April 08, 2022	-4.8588	388.704
South	Furniture	Bookcases	Friday, April 08, 2022	88.725	354.9
West	Furniture	Bookcases	Friday, April 08, 2022		
Central	Furniture	Bookcases	Saturday, April 09, 2022		
East	Furniture	Bookcases	Saturday, April 09, 2022		
South	Furniture	Bookcases	Saturday, April 09, 2022		
West	Furniture	Bookcases	Saturday, April 09, 2022	6.549	556.665
Central	Furniture	Bookcases	Sunday, April 17, 2022		
East	Furniture	Bookcases	Sunday, April 17, 2022		
South	Furniture	Bookcases	Sunday, April 17, 2022		
West	Furniture	Bookcases	Sunday, April 17, 2022	24.2352	257.499
Central	Furniture	Bookcases	Saturday, June 04, 2022		
East	Furniture	Bookcases	Saturday, June 04, 2022	5.1294	136.784
South	Furniture	Bookcases	Saturday, June 04, 2022		
West	Furniture	Bookcases	Saturday, June 04, 2022		
Central	Furniture	Bookcases	Tuesday, June 14, 2022		
East	Furniture	Bookcases	Tuesday, June 14, 2022		
South	Furniture	Bookcases	Tuesday, June 14, 2022		
West	Furniture	Bookcases	Tuesday, June 14, 2022	35.245	599.165
Central	Furniture	Bookcases	Friday, June 17, 2022		
East	Furniture	Bookcases	Friday, June 17, 2022		
South	Furniture	Bookcases	Friday, June 17, 2022		
West	Furniture	Bookcases	Friday, June 17, 2022	14.098	239.666
Central	Furniture	Bookcases	Tuesday, June 21, 2022		
East	Furniture	Bookcases	Tuesday, June 21, 2022	-44.196	353.568
South	Furniture	Bookcases	Tuesday, June 21, 2022		
West	Furniture	Bookcases	Tuesday, June 21, 2022		
Central	Furniture	Bookcases	Thursday, June 30, 2022		
East	Furniture	Bookcases	Thursday, June 30, 2022		
South	Furniture	Bookcases	Thursday, June 30, 2022	291.3778	1266.86
West	Furniture	Bookcases	Thursday, June 30, 2022		
Central	Furniture	Bookcases	Monday, July 04, 2022		
East	Furniture	Bookcases	Monday, July 04, 2022		
South	Furniture	Bookcases	Monday, July 04, 2022		
West	Furniture	Bookcases	Monday, July 04, 2022	225.735	1279.165
Central	Furniture	Bookcases	Thursday, July 14, 2022		
East	Furniture	Bookcases	Thursday, July 14, 2022	21.7176	579.136
South	Furniture	Bookcases	Thursday, July 14, 2022		
West	Furniture	Bookcases	Thursday, July 14, 2022		
Central	Furniture	Bookcases	Tuesday, July 19, 2022		
East	Furniture	Bookcases	Tuesday, July 19, 2022		
South	Furniture	Bookcases	Tuesday, July 19, 2022	126.225	504.9
West	Furniture	Bookcases	Tuesday, July 19, 2022		
Central	Furniture	Bookcases	Thursday, July 28, 2022		
East	Furniture	Bookcases	Thursday, July 28, 2022	-78.078	177.45
South	Furniture	Bookcases	Thursday, July 28, 2022		
West	Furniture	Bookcases	Thursday, July 28, 2022		
Central	Furniture	Bookcases	Saturday, August 13, 2022	24.196	241.96
East	Furniture	Bookcases	Saturday, August 13, 2022		
South	Furniture	Bookcases	Saturday, August 13, 2022		
West	Furniture	Bookcases	Saturday, August 13, 2022		
Central	Furniture	Bookcases	Sunday, August 28, 2022	-52.8908	156.3728
East	Furniture	Bookcases	Sunday, August 28, 2022		
South	Furniture	Bookcases	Sunday, August 28, 2022		
West	Furniture	Bookcases	Sunday, August 28, 2022		
Central	Furniture	Bookcases	Monday, August 29, 2022		
East	Furniture	Bookcases	Monday, August 29, 2022	-81.94	163.88
South	Furniture	Bookcases	Monday, August 29, 2022		
West	Furniture	Bookcases	Monday, August 29, 2022		
Central	Furniture	Bookcases	Saturday, September 03, 2022	0	198.744
East	Furniture	Bookcases	Saturday, September 03, 2022	31.0446	344.94
South	Furniture	Bookcases	Saturday, September 03, 2022		
West	Furniture	Bookcases	Saturday, September 03, 2022		
Central	Furniture	Bookcases	Tuesday, September 06, 2022		
East	Furniture	Bookcases	Tuesday, September 06, 2022	90.294	722.352
South	Furniture	Bookcases	Tuesday, September 06, 2022		
West	Furniture	Bookcases	Tuesday, September 06, 2022		
Central	Furniture	Bookcases	Thursday, September 08, 2022	-317.1528	2396.2656
East	Furniture	Bookcases	Thursday, September 08, 2022	13.9152	173.94
South	Furniture	Bookcases	Thursday, September 08, 2022		
West	Furniture	Bookcases	Thursday, September 08, 2022		
Central	Furniture	Bookcases	Friday, September 16, 2022		
East	Furniture	Bookcases	Friday, September 16, 2022		
South	Furniture	Bookcases	Friday, September 16, 2022		
West	Furniture	Bookcases	Friday, September 16, 2022	-12.8784	273.666
Central	Furniture	Bookcases	Tuesday, September 20, 2022		
East	Furniture	Bookcases	Tuesday, September 20, 2022		
South	Furniture	Bookcases	Tuesday, September 20, 2022		
West	Furniture	Bookcases	Tuesday, September 20, 2022	40.97	163.88
Central	Furniture	Bookcases	Sunday, September 25, 2022		
East	Furniture	Bookcases	Sunday, September 25, 2022		
South	Furniture	Bookcases	Sunday, September 25, 2022		
West	Furniture	Bookcases	Sunday, September 25, 2022	84.294	477.666
Central	Furniture	Bookcases	Monday, September 26, 2022		
East	Furniture	Bookcases	Monday, September 26, 2022		
South	Furniture	Bookcases	Monday, September 26, 2022		
West	Furniture	Bookcases	Monday, September 26, 2022	19.998	424.9575
Central	Furniture	Bookcases	Tuesday, September 27, 2022	-225.0976	956.6648
East	Furniture	Bookcases	Tuesday, September 27, 2022		
South	Furniture	Bookcases	Tuesday, September 27, 2022		
West	Furniture	Bookcases	Tuesday, September 27, 2022		
Central	Furniture	Bookcases	Friday, September 30, 2022		
East	Furniture	Bookcases	Friday, September 30, 2022	-26.196	523.92
South	Furniture	Bookcases	Friday, September 30, 2022		
West	Furniture	Bookcases	Friday, September 30, 2022		
Central	Furniture	Bookcases	Monday, October 10, 2022		
East	Furniture	Bookcases	Monday, October 10, 2022		
South	Furniture	Bookcases	Monday, October 10, 2022		
West	Furniture	Bookcases	Monday, October 10, 2022	-190.8522	90.882
Central	Furniture	Bookcases	Monday, October 17, 2022		
East	Furniture	Bookcases	Monday, October 17, 2022	12.098	120.98
South	Furniture	Bookcases	Monday, October 17, 2022		
West	Furniture	Bookcases	Monday, October 17, 2022	21.294	120.666
