Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Row ID)
2014,Furniture,Chairs,East,32,2719.3840000000014,144,4.500000000000001,22008.267999999993,32
2015,Furniture,Chairs,East,39,2478.8016,156,5,20009.271999999997,39
2016,Furniture,Chairs,East,44,1782.8010999999997,175,7.299999999999995,23010.482999999993,44
2017,Furniture,Chairs,East,53,2376.783899999999,201,8.5,31232.659999999996,53
2014,Furniture,Chairs,South,19,2304.7139999999995,102,1.5999999999999999,13072.28,19
2015,Furniture,Chairs,South,19,1100.2275999999997,78,1.9999999999999998,10116.736,19
2016,Furniture,Chairs,South,17,1276.07,52,1.4,6331.122,17
2017,Furniture,Chairs,South,33,1931.0776999999998,99,3.600000000000001,15656.308,33
2014,Furniture,Chairs,West,46,1231.6872999999996,158,9.2,21406.97599999999,46
2015,Furniture,Chairs,West,41,972.4390999999996,149,8.200000000000003,23700.016000000003,41
2016,Furniture,Chairs,West,62,1200.0447999999983,221,12.399999999999988,31227.415999999987,62
2017,Furniture,Chairs,West,58,623.4130999999986,206,11.59999999999999,25446.919999999984,58
2014,Furniture,Furnishings,Central,40,-246.5090999999999,147,18,2536.096,40
2015,Furniture,Furnishings,Central,39,-757.6987999999999,157,15.599999999999994,2528.5600000000013,39
2016,Furniture,Furnishings,Central,65,-1582.3255000000001,258,25.80000000000002,5115.692000000001,65
2017,Furniture,Furnishings,Central,61,-1319.6834,196,23.400000000000013,5074.022000000001,61
2014,Furniture,Furnishings,East,52,744.3808999999995,182,4.600000000000001,3757.3160000000003,52
2015,Furniture,Furnishings,East,52,737.0739999999997,171,4.400000000000001,5269.913999999999,52
2016,Furniture,Furnishings,East,76,2135.1757,298,4.800000000000002,9587.140000000001,76
2017,Furniture,Furnishings,East,103,2264.7764999999995,364,8.200000000000003,10457.01,103
2014,Furniture,Furnishings,South,33,423.1665999999998,108,3.400000000000001,3160.502000000001,33
2015,Furniture,Furnishings,South,41,1172.1376999999998,164,4.600000000000001,5377.807999999999,41
2016,Furniture,Furnishings,South,45,1278.3998999999994,186,3.400000000000001,5382.784000000001,45
2017,Furniture,Furnishings,South,46,568.9786999999999,157,6.200000000000003,3385.590000000001,46
2014,Furniture,Furnishings,West,59,1051.8535000000002,223,1.5999999999999999,4372.319999999999,59
2015,Furniture,Furnishings,West,68,1900.3060000000003,278,2.8000000000000003,7913.43,68
2016,Furniture,Furnishings,West,71,2104.0199,294,2.6,7788.5080000000025,71
2017,Furniture,Furnishings,West,106,2585.0909999999994,380,3.0000000000000004,9998.471999999998,106
2014,Furniture,Tables,Central,15,-1424.3310000000004,53,4.899999999999999,7785.477999999999,15
2015,Furniture,Tables,Central,14,-265.09390000000053,51,2.8999999999999995,6857.26,14
2016,Furniture,Tables,Central,17,292.6210999999996,74,3.499999999999999,13922.926,17
2017,Furniture,Tables,Central,26,-2162.8466000000008,84,7.599999999999998,10589.307000000003,26
2014,Furniture,Tables,East,20,-3537.8375000000005,64,7.600000000000002,10603.704,20
2015,Furniture,Tables,East,15,-2275.8641000000007,67,5.6000000000000005,8884.806,15
2016,Furniture,Tables,East,22,-2306.7783,60,8.100000000000003,7825.328,22
2017,Furniture,Tables,East,23,-2904.9002,80,8.600000000000003,11825.968999999997,23
2014,Furniture,Tables,South,11,1107.9901999999997,50,1.25,9940.9445,11
2015,Furniture,Tables,South,8,-2171.3765000000003,29,1.75,7370.6745,8
2016,Furniture,Tables,South,15,39.22299999999967,79,3.75,12498.3115,15
2017,Furniture,Tables,South,17,-3598.8946,69,4.6000000000000005,14106.261499999999,17
2014,Furniture,Tables,West,25,730.1355999999994,103,5.200000000000001,17758.239000000005,25
2015,Furniture,Tables,West,21,1202.5326,88,3.5,16037.683,21
2016,Furniture,Tables,West,32,-976.0075999999999,133,7.700000000000001,26586.635000000006,32
2017,Furniture,Tables,West,38,525.9466999999997,157,6.800000000000002,24372.004999999994,38
2014,Office Supplies,Appliances,Central,23,-509.17240000000027,82,10.700000000000001,3659.204999999999,23
2015,Office Supplies,Appliances,Central,26,-2194.756100000001,106,12.700000000000003,4974.508999999999,26
2016,Office Supplies,Appliances,Central,28,378.69469999999967,100,10.100000000000001,6015.011000000001,28
2017,Office Supplies,Appliances,Central,46,-313.3837000000003,182,21.70000000000001,8933.308,46
2014,Office Supplies,Appliances,East,31,1411.9621999999997,101,2.1999999999999997,5779.202,31
2015,Office Supplies,Appliances,East,26,1850.6004999999998,98,1.5999999999999999,6691.2519999999995,26
2016,Office Supplies,Appliances,East,35,2302.6057999999994,119,3.0000000000000004,9426.582000000002,35
2017,Office Supplies,Appliances,East,34,2826.2448999999992,156,2.4,12291.429999999998,34
2014,Office Supplies,Appliances,South,13,489.78529999999995,56,1.7999999999999998,2119.7219999999998,13
2015,Office Supplies,Appliances,South,15,962.6974000000001,47,0.8,3850.3399999999992,15
2016,Office Supplies,Appliances,South,16,1159.3742999999997,53,1.9999999999999998,5607.47,16
2017,Office Supplies,Appliances,South,37,1512.0825999999995,137,4.400000000000001,7947.794,37
2014,Office Supplies,Appliances,West,26,1066.9247999999998,75,0.6000000000000001,3755.495999999999,26
2015,Office Supplies,Appliances,West,27,1893.353899999999,114,1.7999999999999998,7725.188,27
2016,Office Supplies,Appliances,West,35,1460.6666999999998,124,1.2,5001.252000000002,35
2017,Office Supplies,Appliances,West,48,3840.3244999999997,179,0.6000000000000001,13754.399999999996,48
2014,Office Supplies,Art,Central,28,187.84199999999996,106,3.2000000000000006,821.9540000000002,28
2015,Office Supplies,Art,Central,33,248.07010000000005,116,3.0000000000000004,1132.16,33
2016,Office Supplies,Art,Central,46,261.41529999999995,171,5.400000000000002,1519.9500000000003,46
2017,Office Supplies,Art,Central,69,497.83169999999996,285,9.999999999999996,2291.276,69
2014,Office Supplies,Art,East,45,332.91319999999996,165,3.600000000000001,1290.202,45
2015,Office Supplies,Art,East,54,400.3931,187,3.800000000000001,1707.3659999999995,54
2016,Office Supplies,Art,East,58,476.9198000000001,215,3.400000000000001,1882.5659999999996,58
2017,Office Supplies,Art,East,71,689.7181999999999,282,5.000000000000002,2605.63,71
2014,Office Supplies,Art,South,30,133.75329999999994,109,2.8000000000000003,566.1320000000001,30
2015,Office Supplies,Art,South,32,293.35029999999995,124,3.400000000000001,1362.318,32
2016,Office Supplies,Art,South,34,352.6363999999999,132,2.8000000000000003,1438.2699999999995,34
2017,Office Supplies,Art,South,46,278.8466000000001,182,5.400000000000002,1288.9019999999998,46
2014,Office Supplies,Art,West,61,752.2946,233,2.4,3379.694,61
2015,Office Supplies,Art,West,48,543.2447000000002,181,2.6,2034.9899999999998,48
2016,Office Supplies,Art,West,45,322.99109999999985,160,1,1120.1220000000003,45
2017,Office Supplies,Art,West,96,755.5665999999999,352,1.7999999999999998,2677.259999999999,96
2014,Office Supplies,Binders,Central,79,-1375.9358000000036,300,43.199999999999974,15870.937999999996,79
2015,Office Supplies,Binders,Central,75,1370.1047999999987,288,39.999999999999986,5890.588000000001,75
2016,Office Supplies,Binders,Central,80,2919.336599999998,308,39.19999999999999,14056.379999999996,80
2017,Office Supplies,Binders,Central,132,-3957.1425000000045,577,63.9999999999999,21105.375999999997,132
2014,Office Supplies,Binders,East,88,1160.9685999999997,334,30.499999999999982,6346.627000000002,88
2015,Office Supplies,Binders,East,93,4743.476800000001,370,31.19999999999998,14206.681,93
2016,Office Supplies,Binders,East,127,2802.6458,467,40.6,18955.548,127
2017,Office Supplies,Binders,East,132,2560.8434,481,53.20000000000006,13989.141,132
2014,Office Supplies,Binders,South,44,2420.1017,161,13.999999999999995,8307.446,44
2015,Office Supplies,Binders,South,62,456.5632999999991,245,24.499999999999986,13467.317,62
2016,Office Supplies,Binders,South,69,618.0254000000002,273,27.999999999999982,4112.216000000002,69
2017,Office Supplies,Binders,South,71,405.97360000000197,302,25.899999999999984,11143.362000000003,71
2014,Office Supplies,Binders,West,79,2534.581499999999,294,21.299999999999976,12963.254000000004,79
2015,Office Supplies,Binders,West,88,1026.5265,312,25.09999999999997,3888.5119999999993,88
2016,Office Supplies,Binders,West,139,3875.6263,555,40.299999999999976,12559.181,139
2017,Office Supplies,Binders,West,165,8660.0673,707,45.999999999999986,26550.165999999994,165
2014,Office Supplies,Envelopes,Central,17,570.8482,63,2.4,1598.6860000000001,17
2015,Office Supplies,Envelopes,Central,12,346.95279999999997,50,1.4,870.8579999999998,12
2016,Office Supplies,Envelopes,Central,13,371.9226999999999,41,1.9999999999999998,970.7959999999999,13
2017,Office Supplies,Envelopes,Central,17,487.80459999999994,52,1.7999999999999998,1196.5320000000002,17
2014,Office Supplies,Envelopes,East,16,524.5098999999999,71,1.7999999999999998,1347.622,16
2015,Office Supplies,Envelopes,East,21,363.84529999999995,71,1.4,876.8399999999999,21
2016,Office Supplies,Envelopes,East,17,556.6349999999999,61,1.4,1304.7500000000002,17
2017,Office Supplies,Envelopes,East,20,367.4188,64,1.4,846.6619999999999,20
2014,Office Supplies,Envelopes,South,9,107.49529999999999,30,0.6000000000000001,251.85399999999998,9
2015,Office Supplies,Envelopes,South,19,622.2321,70,1,1409.0539999999996,19
2016,Office Supplies,Envelopes,South,12,399.8763999999999,53,0.6000000000000001,895.7420000000001,12
2017,Office Supplies,Envelopes,South,14,335.8732,53,1.7999999999999998,788.906,14
2014,Office Supplies,Envelopes,West,12,292.6254,42,0.8,657.588,12
2015,Office Supplies,Envelopes,West,15,627.1603999999999,46,0.6000000000000001,1355.4360000000001,15
2016,Office Supplies,Envelopes,West,20,738.3141999999999,67,0.2,1558.6020000000005,20
2017,Office Supplies,Envelopes,West,20,250.6624,72,1.2,546.4739999999999,20
2014,Office Supplies,Fasteners,Central,13,16.063399999999998,46,1.9999999999999998,121.816,13
2015,Office Supplies,Fasteners,Central,9,25.098300000000002,40,1.2,88.61,9
2016,Office Supplies,Fasteners,Central,15,83.2255,74,2.1999999999999997,247.37399999999997,15
2017,Office Supplies,Fasteners,Central,18,112.23140000000004,67,1.9999999999999998,320.23,18
2014,Office Supplies,Fasteners,East,6,32.38219999999999,41,0.8,96.912,6
2015,Office Supplies,Fasteners,East,17,50.2029,67,1.5999999999999999,191.654,17
2016,Office Supplies,Fasteners,East,23,112.47730000000001,123,2.1999999999999997,344.1700000000001,23
2017,Office Supplies,Fasteners,East,15,68.92839999999998,67,1,186.982,15
2014,Office Supplies,Fasteners,South,11,50.90509999999999,46,1.4,165.79200000000003,11
2015,Office Supplies,Fasteners,South,4,45.79009999999999,26,0.6000000000000001,125.408,4
2016,Office Supplies,Fasteners,South,6,34.901399999999995,24,0,104.87,6
2017,Office Supplies,Fasteners,South,8,42.1215,30,0.4,107.24600000000001,8
2014,Office Supplies,Fasteners,West,20,79.20759999999999,68,1,276.808,20
2015,Office Supplies,Fasteners,West,14,50.84629999999999,43,0.4,139.552,14
2016,Office Supplies,Fasteners,West,15,63.469199999999994,67,0.2,263.72,15
2017,Office Supplies,Fasteners,West,23,81.66760000000001,85,0.8,243.136,23
2014,Office Supplies,Labels,Central,16,481.5508,57,1.9999999999999998,1048.472,16
2015,Office Supplies,Labels,Central,15,126.73549999999999,49,1.5999999999999999,304.5080000000001,15
2016,Office Supplies,Labels,Central,22,204.96179999999998,89,2.6,511.24999999999994,22
2017,Office Supplies,Labels,Central,23,259.83129999999994,89,2.4,587.2420000000001,23
2014,Office Supplies,Labels,East,21,225.02659999999995,99,1.2,516.142,21
2015,Office Supplies,Labels,East,20,213.23849999999996,75,1.5999999999999999,516.2620000000001,20
2016,Office Supplies,Labels,East,29,335.69859999999994,112,2.1999999999999997,779.156,29
2017,Office Supplies,Labels,East,37,355.3163,134,2.1999999999999997,791.3739999999999,37
2014,Office Supplies,Labels,South,15,169.61469999999994,64,1.4,401.0419999999999,15
2015,Office Supplies,Labels,South,16,534.1857000000001,48,1.9999999999999998,1118.0439999999999,16
2016,Office Supplies,Labels,South,15,132.50410000000002,44,1.4,288.20000000000005,15
2017,Office Supplies,Labels,South,19,204.46779999999998,60,2.1999999999999997,545.894,19
2014,Office Supplies,Labels,West,24,409.81209999999993,106,0.4,875.738,24
2015,Office Supplies,Labels,West,26,448.8689,91,0.8,1017.648,26
2016,Office Supplies,Labels,West,31,519.4473999999999,118,0.6000000000000001,1248.6340000000002,31
2017,Office Supplies,Labels,West,35,924.9939,165,0.4,1936.706,35
2014,Office Supplies,Paper,Central,64,896.2071,232,9,2346.775999999999,64
2015,Office Supplies,Paper,Central,56,1398.7427,224,6.400000000000003,3544.238,56
2016,Office Supplies,Paper,Central,92,2205.3706999999995,354,11.79999999999999,5365.607999999998,92
2017,Office Supplies,Paper,Central,109,2471.5800000000004,415,14.199999999999982,6235.279999999999,109
2014,Office Supplies,Paper,East,64,1748.8552,255,4.400000000000001,3917.1480000000015,64
2015,Office Supplies,Paper,East,86,1809.0611999999999,339,4.200000000000001,3967.6780000000003,86
2016,Office Supplies,Paper,East,91,2135.0231999999996,322,6.200000000000003,4926.120000000001,91
2017,Office Supplies,Paper,East,137,3322.4314,484,9.599999999999998,7361.655999999999,137
2014,Office Supplies,Paper,South,58,1338.8293999999999,211,5.200000000000002,3184.5760000000005,58
2015,Office Supplies,Paper,South,36,948.6682000000003,146,3.2000000000000006,2303.2519999999995,36
2016,Office Supplies,Paper,South,59,1724.0622000000003,234,5.600000000000002,3923.1639999999993,59
2017,Office Supplies,Paper,South,68,1935.5015999999991,260,8.600000000000001,4739.9919999999975,68
2014,Office Supplies,Paper,West,87,2387.1297000000004,319,3.800000000000001,5386.456000000001,87
2015,Office Supplies,Paper,West,94,2413.6979,378,3.600000000000001,5472.470000000001,94
2016,Office Supplies,Paper,West,124,3007.0784000000003,462,2.8000000000000003,6447.001999999998,124
2017,Office Supplies,Paper,West,145,4311.3304000000035,543,4.000000000000001,9357.789999999995,145
2014,Office Supplies,Storage,Central,54,344.4393999999999,186,6.200000000000003,11093.385999999997,54
2015,Office Supplies,Storage,Central,36,437.41569999999933,131,5.200000000000002,8331.473999999998,36
2016,Office Supplies,Storage,Central,47,778.9764999999998,178,5.600000000000002,12811.512,47
2017,Office Supplies,Storage,Central,73,409.0048999999998,229,9,13693.739999999998,73
2014,Office Supplies,Storage,East,34,1312.006400000001,143,3.0000000000000004,16207.261999999997,34
2015,Office Supplies,Storage,East,57,1732.557799999999,219,3.600000000000001,13309.205999999996,57
2016,Office Supplies,Storage,East,77,2804.288900000002,293,4.800000000000002,22096.05799999999,77
2017,Office Supplies,Storage,East,74,2540.518099999998,252,5.8000000000000025,20000.05799999999,74
2014,Office Supplies,Storage,South,29,462.2265999999996,103,2.1999999999999997,6715.006,29
2015,Office Supplies,Storage,South,27,-268.0479,93,3.0000000000000004,7487.2260000000015,27
2016,Office Supplies,Storage,South,32,1088.0691999999997,141,2.6,10840.395999999997,32
2017,Office Supplies,Storage,South,40,992.0485999999995,151,4.000000000000001,10725.432000000003,40
2014,Office Supplies,Storage,West,60,2047.6063999999992,241,1.5999999999999999,16313.388000000003,60
2015,Office Supplies,Storage,West,51,1603.5344999999995,212,1.7999999999999998,15920.341999999997,51
2016,Office Supplies,Storage,West,54,1532.9522,196,1.7999999999999998,13040.734000000002,54
2017,Office Supplies,Storage,West,101,3461.2290999999987,390,3.0000000000000004,25258.388000000003,101
2014,Office Supplies,Supplies,Central,5,10.464900000000004,19,0.8,440.458,5
2015,Office Supplies,Supplies,Central,9,21.678799999999995,37,1.4,324.446,9
2016,Office Supplies,Supplies,Central,8,-811.7518000000002,23,1.2,4294.908,8
2017,Office Supplies,Supplies,Central,14,117.72000000000007,43,1.7999999999999998,4407.559999999999,14
2014,Office Supplies,Supplies,East,9,-23.298000000000002,27,0.6000000000000001,467.87200000000007,9
2015,Office Supplies,Supplies,East,8,-122.7337,26,1,1188.306,8
2016,Office Supplies,Supplies,East,21,-27.20429999999999,77,1.2,2086.2580000000003,21
2017,Office Supplies,Supplies,East,18,-981.8992,65,1,7017.680000000001,18
2014,Office Supplies,Supplies,South,7,98.60350000000005,20,0.6000000000000001,4247.307999999999,7
2015,Office Supplies,Supplies,South,2,14.662799999999981,11,0.4,130.336,2
2016,Office Supplies,Supplies,South,11,-184.8886,41,1.4,1456.3000000000002,11
2017,Office Supplies,Supplies,South,9,73.49960000000002,20,0.6000000000000001,2484.984,9
2014,Office Supplies,Supplies,West,19,404.28519999999963,64,0.8,9238.432000000003,19
2015,Office Supplies,Supplies,West,12,61.513699999999986,35,0.4,309.394,12
2016,Office Supplies,Supplies,West,20,324.8807999999997,75,0.6000000000000001,6440.1100000000015,20
2017,Office Supplies,Supplies,West,18,-164.63320000000002,64,0.8,2139.186,18
2014,Technology,Accessories,Central,34,891.2615000000002,139,4.800000000000002,4438.970000000001,34
2015,Technology,Accessories,Central,38,1531.0477,148,5.600000000000002,7795.228000000002,38
2016,Technology,Accessories,Central,50,1888.0898999999997,205,6.800000000000003,10802.213999999994,50
2017,Technology,Accessories,Central,61,2941.231499999999,224,5.600000000000002,10919.664000000004,61
2014,Technology,Accessories,East,31,1888.0357999999999,103,3.0000000000000004,6053.768,31
2015,Technology,Accessories,East,53,4688.4591,170,4.400000000000001,17911.435999999998,53
2016,Technology,Accessories,East,46,1260.0029,148,3.600000000000001,6231.378,46
2017,Technology,Accessories,East,76,3359.366599999999,303,6.600000000000003,14836.790000000003,76
2014,Technology,Accessories,South,28,1685.7286000000001,110,1.7999999999999998,5595.290000000001,28
2015,Technology,Accessories,South,24,828.0340999999997,128,2.4,4141.534000000001,24
2016,Technology,Accessories,South,34,2543.8409,124,2.8000000000000003,9379.843999999997,34
2017,Technology,Accessories,South,42,1946.9387999999992,142,4.000000000000001,8160.085999999998,42
2014,Technology,Accessories,West,55,1937.6891000000007,228,1.9999999999999998,8926.244,55
2015,Technology,Accessories,West,51,3149.7343,189,2.1999999999999997,10675.761999999997,51
2016,Technology,Accessories,West,56,3972.354799999999,205,1.5999999999999999,15482.417999999992,56
2017,Technology,Accessories,West,96,7424.820099999998,410,3.600000000000001,26029.692000000006,96
2014,Technology,Copiers,Central,3,1034.978,9,0.4,3269.926,3
2015,Technology,Copiers,Central,9,5159.9078,26,0.8,12809.766000000001,9
2016,Technology,Copiers,Central,1,8399.975999999999,5,0,17499.949999999997,1
2017,Technology,Copiers,Central,3,1013.9795000000001,9,0.6000000000000001,3679.928,3
2014,Technology,Copiers,East,4,650.9887,12,1.4,4099.9259999999995,4
2015,Technology,Copiers,East,4,1654.9667,13,0.8,4959.896000000001,4
2016,Technology,Copiers,East,7,5143.924799999999,29,1.7999999999999998,19759.77,7
2017,Technology,Copiers,East,5,9572.961599999999,17,1,24399.87,5
2014,Technology,Copiers,South,1,89.99699999999999,2,0.2,479.98400000000004,1
2015,Technology,Copiers,South,1,314.9895,3,0,899.97,1
2016,Technology,Copiers,South,2,871.9584,12,0.2,2559.888,2
2017,Technology,Copiers,South,3,2381.9618,9,0.2,5359.914000000001,3
2014,Technology,Copiers,West,2,1136.9796000000001,6,0.2,2999.946,2
2015,Technology,Copiers,West,6,2800.4348,21,1,7509.818000000001,6
2016,Technology,Copiers,West,6,3326.9334,23,0.8,9779.802000000001,6
2017,Technology,Copiers,West,11,12062.8873,38,1.5999999999999999,29459.676000000003,11
2014,Technology,Machines,Central,7,-2384.6983000000023,30,2.6999999999999997,16292.161999999998,7
2015,Technology,Machines,Central,5,169.5970999999999,11,1.5,1851.868,5
2016,Technology,Machines,Central,3,57.31859999999989,9,1,2658.7889999999998,3
2017,Technology,Machines,Central,6,671.7159999999993,16,1.7000000000000002,5994.5650000000005,6
2014,Technology,Machines,East,8,4865.814899999999,23,2.0999999999999996,14636.385000000002,8
2015,Technology,Machines,East,10,454.6903999999996,47,2.8,14426.642000000002,10
2016,Technology,Machines,East,10,-1342.346500000002,51,3.5,25215.938000000002,10
2017,Technology,Machines,East,9,2950.4840999999997,44,2.0999999999999996,11827.2,9
2014,Technology,Machines,South,5,-3254.2075000000023,18,2,27594.725000000002,5
2015,Technology,Machines,South,2,1414.8208999999997,10,0.5,3112.985,2
2016,Technology,Machines,South,6,4308.107,21,1.5,13238.600000000002,6
2017,Technology,Machines,South,5,-3907.6133999999984,13,2,9944.65,5
2014,Technology,Machines,West,6,1142.2597999999998,25,1.7,3500.1010000000006,6
2015,Technology,Machines,West,7,938.3771999999989,26,1.9,8372.202000000001,7
2016,Technology,Machines,West,13,-115.76110000000034,48,4.1,14793.559,13
2017,Technology,Machines,West,13,-2583.8023000000017,48,4.1,15778.260000000002,13
2014,Technology,Phones,Central,29,1480.9286999999993,98,4.400000000000001,9925.751999999999,29
2015,Technology,Phones,Central,51,3307.244099999998,178,5.8000000000000025,19363.922,51
2016,Technology,Phones,Central,62,3415.1335999999988,246,5.8000000000000025,19902.451999999987,62
2017,Technology,Phones,Central,58,4119.7203,191,8.400000000000002,23211.15599999999,58
2014,Technology,Phones,East,43,3429.1019000000015,162,7.200000000000002,20688.649999999998,43
2015,Technology,Phones,East,69,3299.667599999998,225,9.200000000000003,22561.40599999999,69
2016,Technology,Phones,East,64,2167.8120999999983,230,11.200000000000005,21290.356000000007,64
2017,Technology,Phones,East,96,3418.1044000000043,365,16.000000000000007,36074.56999999998,96
2014,Technology,Phones,South,34,4085.707599999999,133,1.5999999999999999,17248.963999999996,34
2015,Technology,Phones,South,27,1942.0411000000001,101,2.6,7848.381999999999,27
2016,Technology,Phones,South,32,1507.925,113,4.600000000000001,11843.822000000004,32
2017,Technology,Phones,South,47,3231.601600000001,179,5.200000000000002,21363.270000000008,47
2014,Technology,Phones,West,65,2812.267099999998,291,12.999999999999986,29527.43999999999,65
2015,Technology,Phones,West,52,1849.8545999999992,193,10.399999999999995,18539.992000000002,52
2016,Technology,Phones,West,67,2368.7222000000006,229,13.399999999999984,25925.40000000001,67
2017,Technology,Phones,West,93,2079.8986999999993,355,18.599999999999966,24691.519999999997,93
