Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales),Min(Retail Orders.Segment)
September,Qtr 3,2023,Technology,24369.58,Consumer
October,Qtr 4,2023,Technology,12834.186,Consumer
November,Qtr 4,2023,Technology,20977.354,Consumer
December,Qtr 4,2023,Technology,20325.888,Consumer
January,Qtr 1,2024,Technology,6990.46,Consumer
February,Qtr 1,2024,Technology,6829.656,Consumer
March,Qtr 1,2024,Technology,9791.866,Consumer
April,Qtr 2,2024,Technology,15310.406,Consumer
May,Qtr 2,2024,Technology,7328.59,Consumer
June,Qtr 2,2024,Technology,9581.12,Consumer
July,Qtr 3,2024,Technology,10024.19,Consumer
August,Qtr 3,2024,Technology,24198.782,Consumer
September,Qtr 3,2024,Technology,22681.54,Consumer
October,Qtr 4,2024,Technology,9166.25,Consumer
November,Qtr 4,2024,Technology,11836.373,Consumer
December,Qtr 4,2024,Technology,29041.576,Consumer
