OnepointFive.Column.Variation.Date Hierarchy.Quarter,OnepointFive.Column.Variation.Date Hierarchy.Month,OnepointFive.Column.Variation.Date Hierarchy.Year,OnepointFive.Discount,OnepointFive.Performance,OnepointFive.Profit,OnepointFive.Sales,OnepointFive.Quantity,Sum(OnepointFive.Series 1),Sum(OnepointFive.Series 2),Sum(OnepointFive.Series 3),Sum(OnepointFive.Series 4),Sum(OnepointFive.Series 5)
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0001,601919.5340925,510187.622347,629397.1171760001,667504.4355250001,595704.3269396999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0000,642101.7694499999,526206.390688,577279.587982,676075.51593,576291.7362330001
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0000,582294.2409819999,506618.64669799997,611161.75161,396696.50423099997,490822.25017699995
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0000,608817.938599,686505.5949559999,594589.375047,458541.62504320004,600418.5735299999
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0000,668652.61089,692884.9029169999,743057.81931,658553.366793,621212.6595139999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0000,533477.39423,477625.88749699993,563702.9586009999,517877.78900499997,691401.9913910001
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0001,563909.96608,573451.5586400001,615909.460537,576742.370987,622593.063418
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0001,592685.9800219999,632578.1161600001,514738.71908599994,684187.9485000002,802487.35397
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0001,607191.7613700001,683990.3540606999,647955.4826730001,723216.7299899999,655811.8529899999
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0001,572191.992522,741015.4145,622497.9632510002,607456.0127399999,581217.2479090001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0003,Quantity.0001,647173.7331104,590241.428884,727037.9388400001,441388.43786570005,671394.03442
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0000,733652.86726,599121.2796209999,634457.93265,463681.843156,509331.782614
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0000,452549.771029,586843.987044,649814.832941,606989.97173,588849.852525
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0000,503169.5477369999,308160.5404196,499600.10513000004,635569.649102,671126.9652999998
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0000,623873.3585079999,430094.00885829993,655285.769645,646755.8218570001,594880.6740860001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0000,574766.2972260001,642998.974512,581642.929046,717467.081132,593036.8827900001
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0001,624236.1621989999,569189.1348291,648843.2188208001,504577.5776606001,564611.550604
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0001,635519.3302760001,654113.811782,520508.817103,633715.08372,660831.0496984
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0001,497474.58692699997,566251.87479,401908.63082,604075.0505890001,569511.37886
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0001,852523.281481,670861.68043,559453.7843999999,697225.132373,489333.5483454
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0004,Quantity.0001,608256.7585509999,385155.04738700006,463680.34298829996,653915.3072200002,568439.581156
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0000,426718.55796000006,451477.524442,553423.4799161,419672.844478,464825.410683
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0000,660611.803864,508523.5246879999,484619.347898,557815.443613,635125.908259
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0000,514055.571768,596684.5165299999,577904.56898,621833.7139537999,502735.714453
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0000,579460.65188,548573.5371620001,405356.687593,403333.71384199994,597866.985628
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0000,542201.1436303001,502075.22553,503575.64108,524612.602288,577957.914161
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0001,568262.7781771,431292.835668,585417.134558,529273.8810230001,631093.5247970001
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0001,621695.45816,770669.058521,430594.40986300004,761213.9038300001,533589.5105409999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0001,624094.5585400001,646793.60123,571255.6667268999,468764.03884999995,572903.4851200001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0001,441420.0988545,680164.5136399999,697047.1726759999,507679.450161,557050.3488609999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0000,Quantity.0001,774362.4186200001,728746.54162,579544.767127,536920.552145,582886.8440943
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0000,672264.2752275,366702.57502999995,627794.696501,519263.093199,633946.5285009999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0000,404040.35657099995,584342.299099,605182.002081,461281.97698980005,537522.534405
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0000,591860.5343720001,737220.16246,416678.47459500004,592210.8307672999,602867.21334
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0000,642275.211692,702449.8950639999,660427.8733399999,729249.40274,558559.77748
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0000,589495.0780829999,411665.16246499994,510799.471764,613571.75544,657330.20588
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0001,564042.3557500001,788456.5721509999,522773.94288000005,829385.4972999999,583920.077243
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0001,615010.6027480001,502568.57713700004,668744.3526300001,652034.48075,549168.8428239999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0001,763622.21612,635930.632705,710150.8483699999,717704.91227,591965.6078991
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0001,588928.0275646001,568907.144807,545257.05763,630776.3575019999,607859.0126400001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0001,Quantity.0001,609797.4571059999,609840.1517558,475167.169332,729180.648174,431962.05793400004
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0000,686563.0640900001,406287.96778999997,710082.3504400002,516671.61441770004,672332.745356
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0000,586276.323207,538036.8013919999,633964.74615,715088.449859,730198.9397960001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0000,586898.8265702,549929.2029606,544194.472369,493717.330788,548765.840465
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0000,395886.0563111001,604862.3568399999,560268.9872999999,577621.2557847999,638338.7337410001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0000,549351.068139,608853.4159980001,519184.09822199994,645228.8551640001,764303.289242
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0001,727042.22447,585304.666907,680621.2046803,506251.553652,567054.28816
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0001,574158.201109,706403.8480720001,722612.3655559999,577820.3254659999,615708.6401829999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0001,648247.2107869999,445711.412627,679780.750718,410188.116825,624231.159232
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0001,663411.110499,690099.1297874999,578117.951509,564193.999277,657368.496609
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0002,Quantity.0001,699537.77301,497125.083841,641079.1785329999,598382.765835,583939.044237
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0000,479612.626512,727912.40765,609394.027444,491685.0667436,559426.440876
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0000,632108.982112,723594.2522400001,505712.7003846001,593222.13969,368792.34386329993
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0000,594715.559544,496258.53339899995,716265.3985209999,689585.14778,527996.7437920001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0000,776893.7894844001,624992.21453,874060.8558499998,569568.108221,758863.5980600001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0000,611322.776578,393205.38135359995,615816.115003,583934.9167446,445282.4698055
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0001,605278.336196,543930.224663,698234.3289763998,562547.31756,539188.9255110001
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0001,630291.1719311001,768975.52192,619483.3265839998,524692.8095910001,549121.357209
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0001,475674.35231199994,631350.83916,517583.57289099996,584359.595156,685709.48722
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0001,514344.51142500003,636936.0702750001,385144.947172,607742.241327,515587.12230899994
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0003,Quantity.0001,627748.8128499999,705109.355012,636854.278899,607234.421329,833696.03795
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0000,705374.5579100001,687454.24724,606596.5558740001,638967.12982,585377.98312
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0000,536887.160736,523344.85886780004,569309.820673,616356.120402,532496.4076029999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0000,620248.599039,642198.757347,534373.4604583,599263.0930799999,675749.3204300001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0000,659221.2097380001,710586.05929,701367.701804,576787.29693,518046.4614719999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0000,548036.65079,461228.2507875,622805.44834,538543.9975840001,605386.6136445999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0001,558688.548382,553443.4019699999,548368.596761,655775.469561,746318.10712
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0001,592104.080781,749496.257858,759737.14695,463303.72255199996,608287.5806701998
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0001,603025.23015,520193.28505699994,579779.6919165,508575.58643500006,593599.636216
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0001,495680.0578212,733540.2976800001,609939.2604580001,572359.39246,623941.5820680001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0001,Sales.0004,Quantity.0001,486499.2124,551611.333642,551215.269642,413081.61158649996,608030.6462699999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0000,643588.4684550001,584513.799552,588689.588769,527602.481347,684146.4010409999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0000,538968.9815880001,588777.61924,492450.98007099994,416689.498024,464121.90009700006
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0000,715547.61105,681219.89719,548172.236383,594194.3318790001,538872.430158
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0000,539639.922091,783041.9055094,563837.3251129999,617628.66138,655197.1818499999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0000,450260.9368169999,507077.49994560005,526600.933092,723514.54897,429101.030244
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0001,566364.409701,519687.983857,491784.31624300004,752815.31234,565595.93584
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0001,542916.049929,594923.983209,582385.4140400001,608508.506499,625394.4357100001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0001,469565.952982,612788.3149237,692918.9912659001,758355.558887,600496.522658
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0001,604701.8543414,543269.494196,481063.74253,643631.33294,734579.9324200001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0000,Quantity.0001,722452.34738,639362.937678,530309.135373,460461.203372,791026.25077
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0000,625163.922825,574788.266768,543243.260172,513969.815061,607265.6416389999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0000,686714.8935939999,723602.42824,468354.0969559999,688957.7632299999,587094.1524220001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0000,586178.8284260001,530338.548941,597670.8308900001,434336.69145999994,574034.7720129001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0000,515493.33918500005,715264.71236,539892.30604,663618.95043,607239.92621
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0000,461937.43433250004,723994.6893725999,709096.193416,712161.3162309999,673824.255245
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0001,603864.6681529001,590347.70706,662013.9247704,642413.5749019999,447688.901716
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0001,596152.849913,650668.494192,769565.2042899999,634345.934458,623850.1162848
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0001,638836.235634,443202.551071,600309.50896,384256.0261478999,514035.80059510004
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0001,430167.53448000003,504475.432019,496176.77712700004,562878.8323809999,513114.0752699999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0001,Quantity.0001,457075.715566,571620.6017900001,383473.92502729996,651540.0905420999,455136.61401399993
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0000,694748.6094779999,491531.678405,576785.144204,725220.9979015,669159.7918039999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0000,523315.9590007,604145.4458189999,731094.81147,664171.4510760001,726955.2725218
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0000,530177.44841,490145.785799,609847.913917,624316.46957,530758.937403
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0000,511904.99824830005,442455.250911,675696.659818,651982.48005,587223.0840700001
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0000,705532.4569699999,634012.09487,437942.807184,597396.13535,660322.7351
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0001,628920.1034709999,421851.672703,629590.151329,651114.85397,469124.27821099997
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0001,552393.299151,553739.0221546001,552349.3556687,744073.485595,724021.89438
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0001,648401.5920700001,565890.31372,686414.3487219999,556703.389267,588462.4911858
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0001,661359.96744,605423.250353,654795.096974,498964.702648,494130.607972
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0002,Quantity.0001,716487.3663029999,551079.1408819999,547206.642596,658935.0896450001,593397.387792
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0000,626042.921128,647685.6242900002,865033.9887900001,613794.783404,586519.700667
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0000,530154.2676629999,461914.87544699997,486982.17581099994,647877.3818173,650174.8065100001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0000,617066.62515,807035.483733,693572.5436930001,658571.4015500001,496069.270937
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0000,681573.7336699999,708391.02593,629778.2841063,700452.3481696,520686.08944199997
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0000,686875.156021,722285.7827599999,681181.8942199999,534285.2883490999,653187.30966
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0001,812868.8822700001,754382.4494,548791.961804,604374.1157152,593081.144576
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0001,498418.92119329993,779500.134742,556561.1651499999,630345.002312,532436.047177
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0001,663090.506925,515440.187905,508491.5178699999,500955.8490517,454972.91159000003
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0001,698908.7378799999,462394.59501100006,548007.5719610001,464054.665637,598151.7108680999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0003,Quantity.0001,560082.7493150001,692432.0334900001,367986.29099750007,497733.383426,689198.5577
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0000,592079.2489410001,655322.772523,499473.662634,680979.0194260001,674724.9130199999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0000,602743.1541279999,657755.2606439999,623390.94256,491430.74153,443444.36097800004
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0000,547230.943475,616830.0792429999,875647.0346500002,570662.489077,656040.032802
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0000,414263.5130809999,743482.610859,783135.47127,642304.6122109999,646254.997572
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0000,558584.113509,654963.6261117,628673.991556,676391.921347,563938.537057
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0001,600895.3920890001,693623.3779760001,548682.0088340001,608523.7438620001,617860.164544
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0001,656262.467585,616849.222394,515303.60007099994,633888.8857859999,665710.6626299999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0001,621853.7930930001,587108.189432,580500.2772,649484.9625250001,748474.5327499998
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0001,500653.70164300007,577124.0673999999,779355.571152,584781.379682,684400.99785
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0002,Sales.0004,Quantity.0001,675252.19587,685050.55552,429218.466862,688766.2719365,579844.8883999999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0000,519173.5133190001,485331.103298,477654.30470199994,514438.885128,597676.31293
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0000,553268.7019161,538437.5114590001,479064.211357,517278.87095699995,511718.514138
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0000,570818.5798999999,792931.26081,697763.0217500001,693249.1333100001,679651.93817
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0000,556049.5764838,607346.7409590001,487823.314666,707662.3510899999,534075.330313
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0000,653221.337376,745891.27932,520325.759209,629047.7989749999,626117.380102
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0001,599567.9007040001,683892.08496,434665.44447900006,495193.57541200006,510530.4385728
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0001,652623.4588149999,663025.1439799999,579717.9086099999,647699.5437299999,704593.2573790001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0001,529118.997168,546598.0977419,532555.6726650001,344103.181855,600432.1356540001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0001,416495.71046200005,679773.0004710002,826899.54201,540273.3644311,652684.9401439999
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0003,Sales.0000,Quantity.0001,645637.284816,751274.5589399999,689931.660743,491063.6548019999,544433.106677
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0003,Sales.0001,Quantity.0000,548089.677337,587132.9465337999,528424.58405,583350.5173860999,665401.9639089999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0003,Sales.0001,Quantity.0000,601410.04,703922.1366900001,666098.858445,753747.62387,610353.85315
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0003,Sales.0001,Quantity.0000,693154.2705999999,519418.501795,561885.938387,677734.09817,726331.3986600001
