Category,Sub-Category,Segment,Month,Value Column Name,Value
"Furniture","Bookcases","Consumer","July","Sum of Profit","-4.008999999999936"
"Furniture","Bookcases","Consumer","July","Sum of Sales","4794.129"
"Furniture","Bookcases","Consumer","July","Sum of Sales - Sum of Profit","4798.138"
"Furniture","Bookcases","Consumer","July","(Sum of Sales - Sum of Profit)%","1196.8416063856514"
"Furniture","Bookcases","Consumer","August","Sum of Profit","-166.6474"
"Furniture","Bookcases","Consumer","August","Sum of Sales","2019.8768"
"Furniture","Bookcases","Consumer","August","Sum of Sales - Sum of Profit","2186.5242"
"Furniture","Bookcases","Consumer","August","(Sum of Sales - Sum of Profit)%","13.120661948521247"
"Furniture","Bookcases","Consumer","September","Sum of Profit","-1846.4078000000006"
"Furniture","Bookcases","Consumer","September","Sum of Sales","17067.9386"
"Furniture","Bookcases","Consumer","September","Sum of Sales - Sum of Profit","18914.346400000002"
"Furniture","Bookcases","Consumer","September","(Sum of Sales - Sum of Profit)%","10.243861838105317"
"Furniture","Bookcases","Consumer","October","Sum of Profit","-408.2650000000001"
"Furniture","Bookcases","Consumer","October","Sum of Sales","4292.3242"
"Furniture","Bookcases","Consumer","October","Sum of Sales - Sum of Profit","4700.5892"
"Furniture","Bookcases","Consumer","October","(Sum of Sales - Sum of Profit)%","11.513573781734898"
"Furniture","Bookcases","Consumer","November","Sum of Profit","-436.69390000000055"
"Furniture","Bookcases","Consumer","November","Sum of Sales","14907.842800000002"
"Furniture","Bookcases","Consumer","November","Sum of Sales - Sum of Profit","15344.536700000002"
"Furniture","Bookcases","Consumer","November","(Sum of Sales - Sum of Profit)%","35.1379689526233"
"Furniture","Bookcases","Consumer","December","Sum of Profit","-1130.8596000000005"
"Furniture","Bookcases","Consumer","December","Sum of Sales","6332.712299999999"
"Furniture","Bookcases","Consumer","December","Sum of Sales - Sum of Profit","7463.5719"
"Furniture","Bookcases","Consumer","December","(Sum of Sales - Sum of Profit)%","6.599910280639609"
"Furniture","Bookcases","Corporate","January","Sum of Profit","240.77079999999992"
"Furniture","Bookcases","Corporate","January","Sum of Sales","2609.13"
"Furniture","Bookcases","Corporate","January","Sum of Sales - Sum of Profit","2368.3592000000003"
"Furniture","Bookcases","Corporate","January","(Sum of Sales - Sum of Profit)%","9.836571544389939"
"Furniture","Bookcases","Corporate","February","Sum of Profit",
"Furniture","Bookcases","Corporate","February","Sum of Sales",
"Furniture","Bookcases","Corporate","February","Sum of Sales - Sum of Profit",
"Furniture","Bookcases","Corporate","February","(Sum of Sales - Sum of Profit)%",
"Furniture","Bookcases","Corporate","March","Sum of Profit","-170.3190000000002"
"Furniture","Bookcases","Corporate","March","Sum of Sales","2177.7412"
"Furniture","Bookcases","Corporate","March","Sum of Sales - Sum of Profit","2348.0602"
"Furniture","Bookcases","Corporate","March","(Sum of Sales - Sum of Profit)%","13.786249332135565"
"Furniture","Bookcases","Corporate","April","Sum of Profit","-7.299800000000047"
"Furniture","Bookcases","Corporate","April","Sum of Sales","1209.7006000000001"
"Furniture","Bookcases","Corporate","April","Sum of Sales - Sum of Profit","1217.0004000000001"
"Furniture","Bookcases","Corporate","April","(Sum of Sales - Sum of Profit)%","166.7169511493455"
"Furniture","Bookcases","Corporate","May","Sum of Profit","-396.00540000000007"
"Furniture","Bookcases","Corporate","May","Sum of Sales","2052.9673000000003"
"Furniture","Bookcases","Corporate","May","Sum of Sales - Sum of Profit","2448.9727000000003"
"Furniture","Bookcases","Corporate","May","(Sum of Sales - Sum of Profit)%","6.184190165083607"
"Furniture","Bookcases","Corporate","June","Sum of Profit","-191.43540000000002"
"Furniture","Bookcases","Corporate","June","Sum of Sales","1121.76"
"Furniture","Bookcases","Corporate","June","Sum of Sales - Sum of Profit","1313.1954"
"Furniture","Bookcases","Corporate","June","(Sum of Sales - Sum of Profit)%","6.859731272272527"
"Furniture","Bookcases","Corporate","July","Sum of Profit","498.1401999999998"
"Furniture","Bookcases","Corporate","July","Sum of Sales","3373.0609999999997"
"Furniture","Bookcases","Corporate","July","Sum of Sales - Sum of Profit","2874.9208"
"Furniture","Bookcases","Corporate","July","(Sum of Sales - Sum of Profit)%","5.771308559317237"
"Furniture","Bookcases","Corporate","August","Sum of Profit","63.68720000000013"
"Furniture","Bookcases","Corporate","August","Sum of Sales","2914.2682"
"Furniture","Bookcases","Corporate","August","Sum of Sales - Sum of Profit","2850.5809999999997"
"Furniture","Bookcases","Corporate","August","(Sum of Sales - Sum of Profit)%","44.75908816842307"
"Furniture","Bookcases","Corporate","September","Sum of Profit","-166.20920000000004"
"Furniture","Bookcases","Corporate","September","Sum of Sales","5362.3193"
"Furniture","Bookcases","Corporate","September","Sum of Sales - Sum of Profit","5528.5285"
"Furniture","Bookcases","Corporate","September","(Sum of Sales - Sum of Profit)%","33.26246982718164"
"Furniture","Bookcases","Corporate","October","Sum of Profit","50.82200000000006"
"Furniture","Bookcases","Corporate","October","Sum of Sales","2308.465"
"Furniture","Bookcases","Corporate","October","Sum of Sales - Sum of Profit","2257.643"
"Furniture","Bookcases","Corporate","October","(Sum of Sales - Sum of Profit)%","44.42255322498126"
"Furniture","Bookcases","Corporate","November","Sum of Profit","927.6228"
"Furniture","Bookcases","Corporate","November","Sum of Sales","7254.4557"
"Furniture","Bookcases","Corporate","November","Sum of Sales - Sum of Profit","6326.8329"
"Furniture","Bookcases","Corporate","November","(Sum of Sales - Sum of Profit)%","6.820480156373906"
"Furniture","Bookcases","Corporate","December","Sum of Profit","-211.32400000000015"
"Furniture","Bookcases","Corporate","December","Sum of Sales","3622.0559999999996"
"Furniture","Bookcases","Corporate","December","Sum of Sales - Sum of Profit","3833.3799999999997"
"Furniture","Bookcases","Corporate","December","(Sum of Sales - Sum of Profit)%","18.139823209857834"
"Furniture","Bookcases","Home Office","January","Sum of Profit","18.6956"
"Furniture","Bookcases","Home Office","January","Sum of Sales","84.98"
"Furniture","Bookcases","Home Office","January","Sum of Sales - Sum of Profit","66.2844"
"Furniture","Bookcases","Home Office","January","(Sum of Sales - Sum of Profit)%","3.5454545454545454"
"Furniture","Bookcases","Home Office","February","Sum of Profit","52.56679999999995"
"Furniture","Bookcases","Home Office","February","Sum of Sales","533.0293999999999"
"Furniture","Bookcases","Home Office","February","Sum of Sales - Sum of Profit","480.46259999999995"
"Furniture","Bookcases","Home Office","February","(Sum of Sales - Sum of Profit)%","9.140038959951916"
"Furniture","Bookcases","Home Office","March","Sum of Profit","-33.08619999999999"
"Furniture","Bookcases","Home Office","March","Sum of Sales","1940.8536"
"Furniture","Bookcases","Home Office","March","Sum of Sales - Sum of Profit","1973.9397999999999"
"Furniture","Bookcases","Home Office","March","(Sum of Sales - Sum of Profit)%","59.66051707358356"
"Furniture","Bookcases","Home Office","April","Sum of Profit","-225.98760000000004"
"Furniture","Bookcases","Home Office","April","Sum of Sales","739.586"
"Furniture","Bookcases","Home Office","April","Sum of Sales - Sum of Profit","965.5736"
"Furniture","Bookcases","Home Office","April","(Sum of Sales - Sum of Profit)%","4.272683987971021"
"Furniture","Bookcases","Home Office","May","Sum of Profit",
"Furniture","Bookcases","Home Office","May","Sum of Sales",
"Furniture","Bookcases","Home Office","May","Sum of Sales - Sum of Profit",
"Furniture","Bookcases","Home Office","May","(Sum of Sales - Sum of Profit)%",
"Furniture","Bookcases","Home Office","June","Sum of Profit","203.45060000000007"
"Furniture","Bookcases","Home Office","June","Sum of Sales","2823.9359999999997"
"Furniture","Bookcases","Home Office","June","Sum of Sales - Sum of Profit","2620.4853999999996"
"Furniture","Bookcases","Home Office","June","(Sum of Sales - Sum of Profit)%","12.880204826134694"
"Furniture","Bookcases","Home Office","July","Sum of Profit","67.441"
"Furniture","Bookcases","Home Office","July","Sum of Sales","421.79299999999995"
"Furniture","Bookcases","Home Office","July","Sum of Sales - Sum of Profit","354.352"
"Furniture","Bookcases","Home Office","July","(Sum of Sales - Sum of Profit)%","5.254251864592755"
"Furniture","Bookcases","Home Office","August","Sum of Profit","48.11799999999998"
"Furniture","Bookcases","Home Office","August","Sum of Sales","687.4"
"Furniture","Bookcases","Home Office","August","Sum of Sales - Sum of Profit","639.282"
"Furniture","Bookcases","Home Office","August","(Sum of Sales - Sum of Profit)%","13.285714285714292"
"Furniture","Bookcases","Home Office","September","Sum of Profit","3.1243999999999517"
"Furniture","Bookcases","Home Office","September","Sum of Sales","942.2728"
"Furniture","Bookcases","Home Office","September","Sum of Sales - Sum of Profit","939.1484"
"Furniture","Bookcases","Home Office","September","(Sum of Sales - Sum of Profit)%","300.5852003584735"
"Furniture","Bookcases","Home Office","October","Sum of Profit","180.6623999999999"
"Furniture","Bookcases","Home Office","October","Sum of Sales","1646.1540000000002"
"Furniture","Bookcases","Home Office","October","Sum of Sales - Sum of Profit","1465.4916000000003"
"Furniture","Bookcases","Home Office","October","(Sum of Sales - Sum of Profit)%","8.11176869121633"
"Furniture","Bookcases","Home Office","November","Sum of Profit","-37.72520000000004"
"Furniture","Bookcases","Home Office","November","Sum of Sales","1398.722"
"Furniture","Bookcases","Home Office","November","Sum of Sales - Sum of Profit","1436.4472"
"Furniture","Bookcases","Home Office","November","(Sum of Sales - Sum of Profit)%","38.07659601539551"
"Furniture","Bookcases","Home Office","December","Sum of Profit","47.37219999999999"
"Furniture","Bookcases","Home Office","December","Sum of Sales","1022.6161999999999"
"Furniture","Bookcases","Home Office","December","Sum of Sales - Sum of Profit","975.2439999999999"
"Furniture","Bookcases","Home Office","December","(Sum of Sales - Sum of Profit)%","20.586842071932484"
"Furniture","Chairs","Consumer","January","Sum of Profit","173.4170999999999"
"Furniture","Chairs","Consumer","January","Sum of Sales","8321.135"
"Furniture","Chairs","Consumer","January","Sum of Sales - Sum of Profit","8147.717900000001"
"Furniture","Chairs","Consumer","January","(Sum of Sales - Sum of Profit)%","46.98335919583482"
"Furniture","Chairs","Consumer","February","Sum of Profit","566.8314999999999"
"Furniture","Chairs","Consumer","February","Sum of Sales","4432.81"
"Furniture","Chairs","Consumer","February","Sum of Sales - Sum of Profit","3865.9785000000006"
"Furniture","Chairs","Consumer","February","(Sum of Sales - Sum of Profit)%","6.820331086045855"
"Furniture","Chairs","Consumer","March","Sum of Profit","1131.0379999999998"
"Furniture","Chairs","Consumer","March","Sum of Sales","8551.483"
"Furniture","Chairs","Consumer","March","Sum of Sales - Sum of Profit","7420.445000000001"
"Furniture","Chairs","Consumer","March","(Sum of Sales - Sum of Profit)%","6.560738896482702"
"Furniture","Chairs","Consumer","April","Sum of Profit","790.3655999999997"
"Furniture","Chairs","Consumer","April","Sum of Sales","9416.164"
"Furniture","Chairs","Consumer","April","Sum of Sales - Sum of Profit","8625.798400000001"
"Furniture","Chairs","Consumer","April","(Sum of Sales - Sum of Profit)%","10.913681465893763"
"Furniture","Chairs","Consumer","May","Sum of Profit","735.5245999999997"
"Furniture","Chairs","Consumer","May","Sum of Sales","13504.409000000001"
"Furniture","Chairs","Consumer","May","Sum of Sales - Sum of Profit","12768.884400000003"
"Furniture","Chairs","Consumer","May","(Sum of Sales - Sum of Profit)%","17.360241112261924"
"Furniture","Chairs","Consumer","June","Sum of Profit","647.9569999999997"
"Furniture","Chairs","Consumer","June","Sum of Sales","8671.986999999997"
"Furniture","Chairs","Consumer","June","Sum of Sales - Sum of Profit","8024.029999999998"
"Furniture","Chairs","Consumer","June","(Sum of Sales - Sum of Profit)%","12.383584095858216"
"Furniture","Chairs","Consumer","July","Sum of Profit","355.6760999999997"
"Furniture","Chairs","Consumer","July","Sum of Sales","11327.677"
"Furniture","Chairs","Consumer","July","Sum of Sales - Sum of Profit","10972.0009"
"Furniture","Chairs","Consumer","July","(Sum of Sales - Sum of Profit)%","30.848293995576338"
"Furniture","Chairs","Consumer","August","Sum of Profit","-530.3962000000004"
"Furniture","Chairs","Consumer","August","Sum of Sales","9132.76"
"Furniture","Chairs","Consumer","August","Sum of Sales - Sum of Profit","9663.156200000001"
"Furniture","Chairs","Consumer","August","(Sum of Sales - Sum of Profit)%","18.218750813071427"
"Furniture","Chairs","Consumer","September","Sum of Profit","3644.7227000000003"
"Furniture","Chairs","Consumer","September","Sum of Sales","29694.023"
"Furniture","Chairs","Consumer","September","Sum of Sales - Sum of Profit","26049.300300000003"
"Furniture","Chairs","Consumer","September","(Sum of Sales - Sum of Profit)%","7.147128175210696"
"Furniture","Chairs","Consumer","October","Sum of Profit","540.6427000000001"
"Furniture","Chairs","Consumer","October","Sum of Sales","14544.785999999996"
"Furniture","Chairs","Consumer","October","Sum of Sales - Sum of Profit","14004.143299999996"
"Furniture","Chairs","Consumer","October","(Sum of Sales - Sum of Profit)%","25.90276961105734"
"Furniture","Chairs","Consumer","November","Sum of Profit","1092.1757000000002"
"Furniture","Chairs","Consumer","November","Sum of Sales","23714.024"
"Furniture","Chairs","Consumer","November","Sum of Sales - Sum of Profit","22621.8483"
"Furniture","Chairs","Consumer","November","(Sum of Sales - Sum of Profit)%","20.712645685121906"
"Furniture","Chairs","Consumer","December","Sum of Profit","4087.377100000001"
"Furniture","Chairs","Consumer","December","Sum of Sales","31551.483999999993"
"Furniture","Chairs","Consumer","December","Sum of Sales - Sum of Profit","27464.10689999999"
"Furniture","Chairs","Consumer","December","(Sum of Sales - Sum of Profit)%","6.719249589180304"
"Furniture","Chairs","Corporate","January","Sum of Profit","2.3093999999999895"
"Furniture","Chairs","Corporate","January","Sum of Sales","207.84600000000003"
"Furniture","Chairs","Corporate","January","Sum of Sales - Sum of Profit","205.53660000000005"
"Furniture","Chairs","Corporate","January","(Sum of Sales - Sum of Profit)%","89.00000000000041"
"Furniture","Chairs","Corporate","February","Sum of Profit","120.80159999999987"
"Furniture","Chairs","Corporate","February","Sum of Sales","1358.476"
"Furniture","Chairs","Corporate","February","Sum of Sales - Sum of Profit","1237.6744000000003"
"Furniture","Chairs","Corporate","February","(Sum of Sales - Sum of Profit)%","10.245513304459557"
"Furniture","Chairs","Corporate","March","Sum of Profit","431.75669999999974"
"Furniture","Chairs","Corporate","March","Sum of Sales","7508.822000000002"
"Furniture","Chairs","Corporate","March","Sum of Sales - Sum of Profit","7077.065300000002"
"Furniture","Chairs","Corporate","March","(Sum of Sales - Sum of Profit)%","16.391327106215158"
"Furniture","Chairs","Corporate","April","Sum of Profit","547.9063999999997"
"Furniture","Chairs","Corporate","April","Sum of Sales","5087.116000000001"
"Furniture","Chairs","Corporate","April","Sum of Sales - Sum of Profit","4539.209600000001"
"Furniture","Chairs","Corporate","April","(Sum of Sales - Sum of Profit)%","8.284644238504978"
"Furniture","Chairs","Corporate","May","Sum of Profit","1195.8721999999998"
"Furniture","Chairs","Corporate","May","Sum of Sales","10539.343"
"Furniture","Chairs","Corporate","May","Sum of Sales - Sum of Profit","9343.470800000001"
"Furniture","Chairs","Corporate","May","(Sum of Sales - Sum of Profit)%","7.813101433414041"
"Furniture","Chairs","Corporate","June","Sum of Profit","452.8063999999998"
"Furniture","Chairs","Corporate","June","Sum of Sales","8179.254000000001"
"Furniture","Chairs","Corporate","June","Sum of Sales - Sum of Profit","7726.447600000001"
"Furniture","Chairs","Corporate","June","(Sum of Sales - Sum of Profit)%","17.063468184195287"
"Furniture","Chairs","Corporate","July","Sum of Profit","460.3518999999995"
"Furniture","Chairs","Corporate","July","Sum of Sales","9150.468"
"Furniture","Chairs","Corporate","July","Sum of Sales - Sum of Profit","8690.116100000001"
"Furniture","Chairs","Corporate","July","(Sum of Sales - Sum of Profit)%","18.877115745585087"
"Furniture","Chairs","Corporate","August","Sum of Profit","1008.3613999999998"
"Furniture","Chairs","Corporate","August","Sum of Sales","8290.916"
"Furniture","Chairs","Corporate","August","Sum of Sales - Sum of Profit","7282.5545999999995"
"Furniture","Chairs","Corporate","August","(Sum of Sales - Sum of Profit)%","7.222167171412948"
"Furniture","Chairs","Corporate","September","Sum of Profit","1148.6617"
"Furniture","Chairs","Corporate","September","Sum of Sales","11058.264"
"Furniture","Chairs","Corporate","September","Sum of Sales - Sum of Profit","9909.602299999999"
"Furniture","Chairs","Corporate","September","(Sum of Sales - Sum of Profit)%","8.627085154837145"
"Furniture","Chairs","Corporate","October","Sum of Profit","443.66260000000005"
"Furniture","Chairs","Corporate","October","Sum of Sales","7161.407999999999"
"Furniture","Chairs","Corporate","October","Sum of Sales - Sum of Profit","6717.7454"
"Furniture","Chairs","Corporate","October","(Sum of Sales - Sum of Profit)%","15.141563431310187"
"Furniture","Chairs","Corporate","November","Sum of Profit","1144.5897999999993"
"Furniture","Chairs","Corporate","November","Sum of Sales","14953.674"
"Furniture","Chairs","Corporate","November","Sum of Sales - Sum of Profit","13809.084200000001"
"Furniture","Chairs","Corporate","November","(Sum of Sales - Sum of Profit)%","12.064657749003189"
"Furniture","Chairs","Corporate","December","Sum of Profit","1387.5763999999995"
"Furniture","Chairs","Corporate","December","Sum of Sales","15645.291000000001"
"Furniture","Chairs","Corporate","December","Sum of Sales - Sum of Profit","14257.714600000001"
"Furniture","Chairs","Corporate","December","(Sum of Sales - Sum of Profit)%","10.275264554802174"
"Furniture","Chairs","Home Office","January","Sum of Profit","725.8913999999996"
"Furniture","Chairs","Home Office","January","Sum of Sales","2756.188"
"Furniture","Chairs","Home Office","January","Sum of Sales - Sum of Profit","2030.2966000000006"
"Furniture","Chairs","Home Office","January","(Sum of Sales - Sum of Profit)%","2.7969701803878673"
"Furniture","Chairs","Home Office","February","Sum of Profit","76.37339999999986"
"Furniture","Chairs","Home Office","February","Sum of Sales","1791.654"
"Furniture","Chairs","Home Office","February","Sum of Sales - Sum of Profit","1715.2806"
"Furniture","Chairs","Home Office","February","(Sum of Sales - Sum of Profit)%","22.459136296145033"
"Furniture","Chairs","Home Office","March","Sum of Profit","189.2366999999998"
"Furniture","Chairs","Home Office","March","Sum of Sales","5284.022"
"Furniture","Chairs","Home Office","March","Sum of Sales - Sum of Profit","5094.7853000000005"
"Furniture","Chairs","Home Office","March","(Sum of Sales - Sum of Profit)%","26.922818353945118"
"Furniture","Chairs","Home Office","April","Sum of Profit","321.2940999999999"
"Furniture","Chairs","Home Office","April","Sum of Sales","4023.305"
"Furniture","Chairs","Home Office","April","Sum of Sales - Sum of Profit","3702.0108999999998"
"Furniture","Chairs","Home Office","April","(Sum of Sales - Sum of Profit)%","11.522187615645608"
"Furniture","Chairs","Home Office","May","Sum of Profit","-162.22180000000003"
"Furniture","Chairs","Home Office","May","Sum of Sales","1850.078"
"Furniture","Chairs","Home Office","May","Sum of Sales - Sum of Profit","2012.2998"
"Furniture","Chairs","Home Office","May","(Sum of Sales - Sum of Profit)%","12.404620094216682"
"Furniture","Chairs","Home Office","June","Sum of Profit","383.0731999999996"
"Furniture","Chairs","Home Office","June","Sum of Sales","4672.126000000001"
"Furniture","Chairs","Home Office","June","Sum of Sales - Sum of Profit","4289.052800000001"
"Furniture","Chairs","Home Office","June","(Sum of Sales - Sum of Profit)%","11.196431387003857"
"Furniture","Chairs","Home Office","July","Sum of Profit","-50.146199999999894"
"Furniture","Chairs","Home Office","July","Sum of Sales","2538.206"
"Furniture","Chairs","Home Office","July","Sum of Sales - Sum of Profit","2588.3522"
"Furniture","Chairs","Home Office","July","(Sum of Sales - Sum of Profit)%","51.616118469595015"
"Furniture","Chairs","Home Office","August","Sum of Profit","50.69679999999998"
"Furniture","Chairs","Home Office","August","Sum of Sales","916.128"
"Furniture","Chairs","Home Office","August","Sum of Sales - Sum of Profit","865.4312000000001"
"Furniture","Chairs","Home Office","August","(Sum of Sales - Sum of Profit)%","17.070726357482137"
"Furniture","Chairs","Home Office","September","Sum of Profit","1251.4427"
"Furniture","Chairs","Home Office","September","Sum of Sales","10824.930999999997"
"Furniture","Chairs","Home Office","September","Sum of Sales - Sum of Profit","9573.488299999997"
"Furniture","Chairs","Home Office","September","(Sum of Sales - Sum of Profit)%","7.649961360596052"
"Furniture","Chairs","Home Office","October","Sum of Profit","76.6229999999998"
"Furniture","Chairs","Home Office","October","Sum of Sales","2464.256"
"Furniture","Chairs","Home Office","October","Sum of Sales - Sum of Profit","2387.6330000000003"
"Furniture","Chairs","Home Office","October","(Sum of Sales - Sum of Profit)%","31.160787230988166"
"Furniture","Chairs","Home Office","November","Sum of Profit","1007.5279999999996"
"Furniture","Chairs","Home Office","November","Sum of Sales","9092.315"
"Furniture","Chairs","Home Office","November","Sum of Sales - Sum of Profit","8084.787000000001"
"Furniture","Chairs","Home Office","November","(Sum of Sales - Sum of Profit)%","8.02437947133976"
"Furniture","Chairs","Home Office","December","Sum of Profit","1140.3866"
"Furniture","Chairs","Home Office","December","Sum of Sales","10232.274000000001"
"Furniture","Chairs","Home Office","December","Sum of Sales - Sum of Profit","9091.887400000001"
"Furniture","Chairs","Home Office","December","(Sum of Sales - Sum of Profit)%","7.972636121820443"
"Furniture","Furnishings","Consumer","January","Sum of Profit","373.8166999999999"
"Furniture","Furnishings","Consumer","January","Sum of Sales","2620.0480000000002"
"Furniture","Furnishings","Consumer","January","Sum of Sales - Sum of Profit","2246.2313000000004"
"Furniture","Furnishings","Consumer","January","(Sum of Sales - Sum of Profit)%","6.008911051860446"
"Furniture","Furnishings","Consumer","February","Sum of Profit","167.93869999999995"
"Furniture","Furnishings","Consumer","February","Sum of Sales","1253.8439999999998"
"Furniture","Furnishings","Consumer","February","Sum of Sales - Sum of Profit","1085.9053"
"Furniture","Furnishings","Consumer","February","(Sum of Sales - Sum of Profit)%","6.466081373739348"
"Furniture","Furnishings","Consumer","March","Sum of Profit","467.80670000000015"
"Furniture","Furnishings","Consumer","March","Sum of Sales","3220.2380000000003"
"Furniture","Furnishings","Consumer","March","Sum of Sales - Sum of Profit","2752.4313"
"Furniture","Furnishings","Consumer","March","(Sum of Sales - Sum of Profit)%","5.883693628158809"
"Furniture","Furnishings","Consumer","April","Sum of Profit","369.1000999999999"
"Furniture","Furnishings","Consumer","April","Sum of Sales","2468.1"
"Furniture","Furnishings","Consumer","April","Sum of Sales - Sum of Profit","2098.9999"
"Furniture","Furnishings","Consumer","April","(Sum of Sales - Sum of Profit)%","5.6868039320498704"
"Furniture","Furnishings","Consumer","May","Sum of Profit","278.8890999999999"
"Furniture","Furnishings","Consumer","May","Sum of Sales","2462.786"
"Furniture","Furnishings","Consumer","May","Sum of Sales - Sum of Profit","2183.8969"
"Furniture","Furnishings","Consumer","May","(Sum of Sales - Sum of Profit)%","7.830700088314677"
"Furniture","Furnishings","Consumer","June","Sum of Profit","-11.271500000000195"
"Furniture","Furnishings","Consumer","June","Sum of Sales","4047.4199999999996"
"Furniture","Furnishings","Consumer","June","Sum of Sales - Sum of Profit","4058.6915"
"Furniture","Furnishings","Consumer","June","(Sum of Sales - Sum of Profit)%","360.08441644855867"
"Furniture","Furnishings","Consumer","July","Sum of Profit","1071.8353999999997"
"Furniture","Furnishings","Consumer","July","Sum of Sales","4217.200000000001"
"Furniture","Furnishings","Consumer","July","Sum of Sales - Sum of Profit","3145.364600000001"
"Furniture","Furnishings","Consumer","July","(Sum of Sales - Sum of Profit)%","2.9345593549158777"
"Furniture","Furnishings","Consumer","August","Sum of Profit","413.40290000000005"
"Furniture","Furnishings","Consumer","August","Sum of Sales","2362.1940000000004"
"Furniture","Furnishings","Consumer","August","Sum of Sales - Sum of Profit","1948.7911000000004"
"Furniture","Furnishings","Consumer","August","(Sum of Sales - Sum of Profit)%","4.7140237768046624"
"Furniture","Furnishings","Consumer","September","Sum of Profit","1671.9316999999996"
"Furniture","Furnishings","Consumer","September","Sum of Sales","7134.091999999995"
"Furniture","Furnishings","Consumer","September","Sum of Sales - Sum of Profit","5462.160299999996"
"Furniture","Furnishings","Consumer","September","(Sum of Sales - Sum of Profit)%","3.266975738303184"
"Furniture","Furnishings","Consumer","October","Sum of Profit","144.3959999999999"
"Furniture","Furnishings","Consumer","October","Sum of Sales","1762.092"
"Furniture","Furnishings","Consumer","October","Sum of Sales - Sum of Profit","1617.6960000000001"
"Furniture","Furnishings","Consumer","October","(Sum of Sales - Sum of Profit)%","11.20319122413364"
"Furniture","Furnishings","Consumer","November","Sum of Profit","1425.8648999999994"
"Furniture","Furnishings","Consumer","November","Sum of Sales","8732.041999999996"
"Furniture","Furnishings","Consumer","November","Sum of Sales - Sum of Profit","7306.177099999996"
"Furniture","Furnishings","Consumer","November","(Sum of Sales - Sum of Profit)%","5.124031806940475"
"Furniture","Furnishings","Consumer","December","Sum of Profit","1545.7119999999993"
"Furniture","Furnishings","Consumer","December","Sum of Sales","9339.99"
"Furniture","Furnishings","Consumer","December","Sum of Sales - Sum of Profit","7794.278"
"Furniture","Furnishings","Consumer","December","(Sum of Sales - Sum of Profit)%","5.042516329044481"
"Furniture","Furnishings","Corporate","January","Sum of Profit","196.45520000000002"
"Furniture","Furnishings","Corporate","January","Sum of Sales","557.628"
"Furniture","Furnishings","Corporate","January","Sum of Sales - Sum of Profit","361.17280000000005"
"Furniture","Furnishings","Corporate","January","(Sum of Sales - Sum of Profit)%","1.8384486641229145"
"Furniture","Furnishings","Corporate","February","Sum of Profit","43.76169999999997"
"Furniture","Furnishings","Corporate","February","Sum of Sales","862.712"
"Furniture","Furnishings","Corporate","February","Sum of Sales - Sum of Profit","818.9503"
"Furniture","Furnishings","Corporate","February","(Sum of Sales - Sum of Profit)%","18.713859379320287"
"Furniture","Furnishings","Corporate","March","Sum of Profit","167.471"
"Furniture","Furnishings","Corporate","March","Sum of Sales","636.0239999999999"
"Furniture","Furnishings","Corporate","March","Sum of Sales - Sum of Profit","468.5529999999999"
"Furniture","Furnishings","Corporate","March","(Sum of Sales - Sum of Profit)%","2.7978157412328097"
"Furniture","Furnishings","Corporate","April","Sum of Profit","716.8541"
"Furniture","Furnishings","Corporate","April","Sum of Sales","2561.1639999999993"
"Furniture","Furnishings","Corporate","April","Sum of Sales - Sum of Profit","1844.3098999999993"
