Model3_Invoice_Table.Invoice Date,Model3_Invoice_Table.Order Date,Model3_Invoice_Table.Shipping Date,Model3_Invoice_Table.Bill To Address,Model3_Invoice_Table.Shipping Address,Model3_Invoice_Table.Company Name,Model3_Invoice_Table.Company Address,Model3_Invoice_Table.Date,Model3_Invoice_Table.Phone,Model3_Invoice_Table.Invoice Number,Model3_Invoice_Table.Item Code,Model3_Invoice_Table.Description,Sum(Model3_Invoice_Table.Unit Price),Sum(Model3_Invoice_Table.Quantity),Sum(Model3_Invoice_Table.Discount),Sum(Model3_Invoice_Table.Price)
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25466,Invoice - D25466,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25466,Invoice - D25466,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25705,Invoice - D25705,184,15,40,2720
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25705,Invoice - D25705,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25705,Invoice - D25705,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25705,Invoice - D25705,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25705,Invoice - D25705,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25807,Invoice - D25807,135,36,44,4816
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25807,Invoice - D25807,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25807,Invoice - D25807,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25807,Invoice - D25807,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25807,Invoice - D25807,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25944,Invoice - D25944,481,28,32,13436
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25944,Invoice - D25944,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25944,Invoice - D25944,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25944,Invoice - D25944,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25944,Invoice - D25944,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26715,Invoice - D26715,298,23,30,6824
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26715,Invoice - D26715,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26715,Invoice - D26715,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26715,Invoice - D26715,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26715,Invoice - D26715,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26912,Invoice - D26912,209,27,47,5596
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26912,Invoice - D26912,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26912,Invoice - D26912,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26912,Invoice - D26912,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D26912,Invoice - D26912,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27029,Invoice - D27029,264,28,47,7345
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27029,Invoice - D27029,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27029,Invoice - D27029,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27029,Invoice - D27029,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27029,Invoice - D27029,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27137,Invoice - D27137,342,41,27,13995
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27137,Invoice - D27137,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27137,Invoice - D27137,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27137,Invoice - D27137,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27137,Invoice - D27137,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27486,Invoice - D27486,392,26,37,10155
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27486,Invoice - D27486,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27486,Invoice - D27486,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27486,Invoice - D27486,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27486,Invoice - D27486,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27500,Invoice - D27500,445,32,25,14215
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27500,Invoice - D27500,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27500,Invoice - D27500,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27500,Invoice - D27500,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27500,Invoice - D27500,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27566,Invoice - D27566,198,31,26,6112
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27566,Invoice - D27566,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27566,Invoice - D27566,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27566,Invoice - D27566,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D27566,Invoice - D27566,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29098,Invoice - D29098,494,34,44,16752
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29098,Invoice - D29098,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29098,Invoice - D29098,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29098,Invoice - D29098,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29098,Invoice - D29098,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29213,Invoice - D29213,297,44,46,13022
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29213,Invoice - D29213,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29213,Invoice - D29213,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29213,Invoice - D29213,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29213,Invoice - D29213,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29328,Invoice - D29328,176,31,44,5412
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29328,Invoice - D29328,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29328,Invoice - D29328,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29328,Invoice - D29328,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29328,Invoice - D29328,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29879,Invoice - D29879,427,25,48,10627
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29879,Invoice - D29879,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29879,Invoice - D29879,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29879,Invoice - D29879,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D29879,Invoice - D29879,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D30239,Invoice - D30239,273,28,45,7599
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D30239,Invoice - D30239,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D30239,Invoice - D30239,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D30239,Invoice - D30239,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D30239,Invoice - D30239,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31557,Invoice - D31557,237,45,31,10634
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31557,Invoice - D31557,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31557,Invoice - D31557,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31557,Invoice - D31557,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31557,Invoice - D31557,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D31919,Invoice - D31919,330,37,24,12186
