15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Pack)
2012,Qtr 1,Cass,42
2012,Qtr 2,Cass,24
2012,Qtr 3,Cass,72
2012,Qtr 4,Cass,96
2012,Qtr 1,Cedar,24
2012,Qtr 2,Cedar,24
2012,Qtr 3,Cedar,18
2012,Qtr 4,Cedar,60
2012,Qtr 1,Cerro Gordo,162
2012,Qtr 2,Cerro Gordo,238
2012,Qtr 3,Cerro Gordo,174
2012,Qtr 4,Cerro Gordo,252
2012,Qtr 1,Cherokee,
2012,Qtr 2,Cherokee,18
2012,Qtr 3,Cherokee,60
2012,Qtr 4,Cherokee,90
2012,Qtr 1,Chickasaw,12
2012,Qtr 2,Chickasaw,6
2012,Qtr 3,Chickasaw,
2012,Qtr 4,Chickasaw,18
2012,Qtr 1,Clarke,
2012,Qtr 2,Clarke,12
2012,Qtr 3,Clarke,34
2012,Qtr 4,Clarke,18
2012,Qtr 1,Clay,72
2012,Qtr 2,Clay,108
2012,Qtr 3,Clay,60
2012,Qtr 4,Clay,60
2012,Qtr 1,Clayton,42
2012,Qtr 2,Clayton,90
2012,Qtr 3,Clayton,36
2012,Qtr 4,Clayton,60
2012,Qtr 1,Clinton,150
2012,Qtr 2,Clinton,173
2012,Qtr 3,Clinton,120
2012,Qtr 4,Clinton,198
2012,Qtr 1,Crawford,24
2012,Qtr 2,Crawford,102
2012,Qtr 3,Crawford,96
2012,Qtr 4,Crawford,60
2012,Qtr 1,Dallas,36
2012,Qtr 2,Dallas,100
2012,Qtr 3,Dallas,118
2012,Qtr 4,Dallas,30
2012,Qtr 1,Davis,
2012,Qtr 2,Davis,6
2012,Qtr 3,Davis,6
2012,Qtr 4,Davis,
2012,Qtr 1,Decatur,
2012,Qtr 2,Decatur,46
2012,Qtr 3,Decatur,
2012,Qtr 4,Decatur,
2012,Qtr 1,Delaware,24
2012,Qtr 2,Delaware,12
2012,Qtr 3,Delaware,
2012,Qtr 4,Delaware,6
2012,Qtr 1,Des Moines,190
2012,Qtr 2,Des Moines,164
2012,Qtr 3,Des Moines,198
2012,Qtr 4,Des Moines,288
2012,Qtr 1,Dickinson,42
2012,Qtr 2,Dickinson,162
2012,Qtr 3,Dickinson,228
2012,Qtr 4,Dickinson,156
2012,Qtr 1,Dubuque,328
2012,Qtr 2,Dubuque,462
2012,Qtr 3,Dubuque,294
2012,Qtr 4,Dubuque,524
2012,Qtr 1,Emmet,30
2012,Qtr 2,Emmet,36
2012,Qtr 3,Emmet,18
2012,Qtr 4,Emmet,24
2012,Qtr 1,Fayette,126
2012,Qtr 2,Fayette,24
2012,Qtr 3,Fayette,18
2012,Qtr 4,Fayette,84
2012,Qtr 1,Floyd,24
2012,Qtr 2,Floyd,24
2012,Qtr 3,Floyd,42
2012,Qtr 4,Floyd,24
2012,Qtr 1,Franklin,30
2012,Qtr 2,Franklin,60
2012,Qtr 3,Franklin,18
2012,Qtr 4,Franklin,36
2012,Qtr 1,Fremont,
2012,Qtr 2,Fremont,
2012,Qtr 3,Fremont,12
2012,Qtr 4,Fremont,
2012,Qtr 1,Greene,78
2012,Qtr 2,Greene,42
2012,Qtr 3,Greene,54
2012,Qtr 4,Greene,66
2012,Qtr 1,Grundy,54
2012,Qtr 2,Grundy,18
2012,Qtr 3,Grundy,24
2012,Qtr 4,Grundy,36
2012,Qtr 1,Guthrie,6
2012,Qtr 2,Guthrie,
2012,Qtr 3,Guthrie,18
2012,Qtr 4,Guthrie,24
2012,Qtr 1,Hamilton,113
2012,Qtr 2,Hamilton,54
2012,Qtr 3,Hamilton,60
2012,Qtr 4,Hamilton,180
2012,Qtr 1,Hancock,24
2012,Qtr 2,Hancock,12
2012,Qtr 3,Hancock,24
2012,Qtr 4,Hancock,12
2012,Qtr 1,Hardin,42
2012,Qtr 2,Hardin,66
2012,Qtr 3,Hardin,84
2012,Qtr 4,Hardin,66
2012,Qtr 1,Harrison,42
2012,Qtr 2,Harrison,60
2012,Qtr 3,Harrison,72
2012,Qtr 4,Harrison,84
2012,Qtr 1,Henry,
2012,Qtr 2,Henry,24
2012,Qtr 3,Henry,12
2012,Qtr 4,Henry,30
2012,Qtr 1,Howard,42
2012,Qtr 2,Howard,36
2012,Qtr 3,Howard,42
2012,Qtr 4,Howard,30
2012,Qtr 1,Humboldt,36
2012,Qtr 2,Humboldt,12
2012,Qtr 3,Humboldt,54
2012,Qtr 4,Humboldt,24
2012,Qtr 1,Ida,18
2012,Qtr 2,Ida,54
2012,Qtr 3,Ida,18
2012,Qtr 4,Ida,48
2012,Qtr 1,Iowa,72
2012,Qtr 2,Iowa,78
2012,Qtr 3,Iowa,48
2012,Qtr 4,Iowa,252
2012,Qtr 1,Jackson,36
2012,Qtr 2,Jackson,30
2012,Qtr 3,Jackson,66
2012,Qtr 4,Jackson,96
2012,Qtr 1,Jasper,226
2012,Qtr 2,Jasper,90
2012,Qtr 3,Jasper,132
2012,Qtr 4,Jasper,264
2012,Qtr 1,Jefferson,30
2012,Qtr 2,Jefferson,12
2012,Qtr 3,Jefferson,66
2012,Qtr 4,Jefferson,36
2012,Qtr 1,Johnson,460
2012,Qtr 2,Johnson,564
2012,Qtr 3,Johnson,548
2012,Qtr 4,Johnson,640
2012,Qtr 1,Jones,66
2012,Qtr 2,Jones,196
2012,Qtr 3,Jones,120
2012,Qtr 4,Jones,102
2012,Qtr 1,Keokuk,18
2012,Qtr 2,Keokuk,12
2012,Qtr 3,Keokuk,
2012,Qtr 4,Keokuk,6
2012,Qtr 1,Kossuth,66
2012,Qtr 2,Kossuth,60
2012,Qtr 3,Kossuth,60
2012,Qtr 4,Kossuth,54
2012,Qtr 1,Lee,174
2012,Qtr 2,Lee,138
2012,Qtr 3,Lee,150
2012,Qtr 4,Lee,150
2012,Qtr 1,Linn,862
2012,Qtr 2,Linn,888
2012,Qtr 3,Linn,1238
2012,Qtr 4,Linn,1142
2012,Qtr 1,Louisa,60
2012,Qtr 2,Louisa,54
2012,Qtr 3,Louisa,12
2012,Qtr 4,Louisa,
2012,Qtr 1,Lucas,
2012,Qtr 2,Lucas,12
2012,Qtr 3,Lucas,6
2012,Qtr 4,Lucas,48
2012,Qtr 1,Lyon,12
2012,Qtr 2,Lyon,36
2012,Qtr 3,Lyon,24
2012,Qtr 4,Lyon,42
2012,Qtr 1,Madison,12
2012,Qtr 2,Madison,18
2012,Qtr 3,Madison,48
2012,Qtr 4,Madison,24
2012,Qtr 1,Mahaska,36
2012,Qtr 2,Mahaska,54
2012,Qtr 3,Mahaska,24
2012,Qtr 4,Mahaska,48
2012,Qtr 1,Marion,132
2012,Qtr 2,Marion,120
2012,Qtr 3,Marion,60
2012,Qtr 4,Marion,120
2012,Qtr 1,Marshall,180
2012,Qtr 2,Marshall,60
2012,Qtr 3,Marshall,84
2012,Qtr 4,Marshall,96
2012,Qtr 1,Mills,24
2012,Qtr 2,Mills,6
2012,Qtr 3,Mills,12
2012,Qtr 4,Mills,60
2012,Qtr 1,Mitchell,48
2012,Qtr 2,Mitchell,6
2012,Qtr 3,Mitchell,30
2012,Qtr 4,Mitchell,24
2012,Qtr 1,Monona,48
2012,Qtr 2,Monona,30
2012,Qtr 3,Monona,92
2012,Qtr 4,Monona,54
2012,Qtr 1,Monroe,6
2012,Qtr 2,Monroe,6
2012,Qtr 3,Monroe,18
2012,Qtr 4,Monroe,12
2012,Qtr 1,Montgomery,18
2012,Qtr 2,Montgomery,
2012,Qtr 3,Montgomery,12
2012,Qtr 4,Montgomery,18
2012,Qtr 1,Muscatine,48
2012,Qtr 2,Muscatine,180
2012,Qtr 3,Muscatine,174
2012,Qtr 4,Muscatine,288
2012,Qtr 1,O'Brien,72
2012,Qtr 2,O'Brien,30
2012,Qtr 3,O'Brien,150
2012,Qtr 4,O'Brien,54
2012,Qtr 1,Osceola,36
2012,Qtr 2,Osceola,42
2012,Qtr 3,Osceola,12
2012,Qtr 4,Osceola,66
2012,Qtr 1,Page,42
2012,Qtr 2,Page,24
2012,Qtr 3,Page,162
2012,Qtr 4,Page,12
2012,Qtr 1,Palo Alto,42
2012,Qtr 2,Palo Alto,36
2012,Qtr 3,Palo Alto,66
2012,Qtr 4,Palo Alto,36
2012,Qtr 1,Plymouth,72
2012,Qtr 2,Plymouth,54
2012,Qtr 3,Plymouth,66
2012,Qtr 4,Plymouth,6
2012,Qtr 1,Pocahontas,12
2012,Qtr 2,Pocahontas,24
2012,Qtr 3,Pocahontas,12
2012,Qtr 4,Pocahontas,36
2012,Qtr 1,Polk,1998
2012,Qtr 2,Polk,1765
2012,Qtr 3,Polk,2101
2012,Qtr 4,Polk,2026
2012,Qtr 1,Pottawattamie,270
2012,Qtr 2,Pottawattamie,464
2012,Qtr 3,Pottawattamie,348
2012,Qtr 4,Pottawattamie,250
2012,Qtr 1,Poweshiek,24
2012,Qtr 2,Poweshiek,108
2012,Qtr 3,Poweshiek,48
2012,Qtr 4,Poweshiek,126
2012,Qtr 1,Ringgold,
2012,Qtr 2,Ringgold,6
2012,Qtr 3,Ringgold,
2012,Qtr 4,Ringgold,18
2012,Qtr 1,Sac,6
2012,Qtr 2,Sac,78
2012,Qtr 3,Sac,54
2012,Qtr 4,Sac,12
2012,Qtr 1,Scott,870
2012,Qtr 2,Scott,780
2012,Qtr 3,Scott,618
2012,Qtr 4,Scott,828
2012,Qtr 1,Shelby,12
2012,Qtr 2,Shelby,66
2012,Qtr 3,Shelby,36
2012,Qtr 4,Shelby,12
2012,Qtr 1,Sioux,18
2012,Qtr 2,Sioux,78
2012,Qtr 3,Sioux,30
2012,Qtr 4,Sioux,48
2012,Qtr 1,Story,448
2012,Qtr 2,Story,285
2012,Qtr 3,Story,444
2012,Qtr 4,Story,480
2012,Qtr 1,Tama,6
2012,Qtr 2,Tama,12
2012,Qtr 3,Tama,36
2012,Qtr 4,Tama,72
2012,Qtr 1,Taylor,
2012,Qtr 2,Taylor,12
2012,Qtr 3,Taylor,
2012,Qtr 4,Taylor,6
2012,Qtr 1,Union,42
2012,Qtr 2,Union,48
2012,Qtr 3,Union,42
2012,Qtr 4,Union,40
2012,Qtr 1,Van Buren,6
2012,Qtr 2,Van Buren,
2012,Qtr 3,Van Buren,
2012,Qtr 4,Van Buren,12
2012,Qtr 1,Wapello,168
2012,Qtr 2,Wapello,130
2012,Qtr 3,Wapello,90
2012,Qtr 4,Wapello,186
2012,Qtr 1,Warren,15
2012,Qtr 2,Warren,58
2012,Qtr 3,Warren,12
2012,Qtr 4,Warren,72
2012,Qtr 1,Washington,60
2012,Qtr 2,Washington,78
2012,Qtr 3,Washington,78
2012,Qtr 4,Washington,36
2012,Qtr 1,Wayne,60
2012,Qtr 2,Wayne,18
2012,Qtr 3,Wayne,12
2012,Qtr 4,Wayne,24
2012,Qtr 1,Webster,102
2012,Qtr 2,Webster,54
2012,Qtr 3,Webster,210
2012,Qtr 4,Webster,114
2012,Qtr 1,Winnebago,24
2012,Qtr 2,Winnebago,24
2012,Qtr 3,Winnebago,90
2012,Qtr 4,Winnebago,36
2012,Qtr 1,Winneshiek,42
2012,Qtr 2,Winneshiek,72
2012,Qtr 3,Winneshiek,90
2012,Qtr 4,Winneshiek,48
2012,Qtr 1,Woodbury,240
2012,Qtr 2,Woodbury,324
2012,Qtr 3,Woodbury,416
2012,Qtr 4,Woodbury,420
2012,Qtr 1,Worth,
2012,Qtr 2,Worth,12
2012,Qtr 3,Worth,
2012,Qtr 4,Worth,
2012,Qtr 1,Wright,12
2012,Qtr 2,Wright,42
2012,Qtr 3,Wright,30
2012,Qtr 4,Wright,42
