Superstore 2023.Order Date	Superstore 2023.Category	Superstore 2023.Sub-Category	Min(Superstore 2023.Ship Date)	Sum(Superstore 2023.Sales)
Tuesday, January 21, 2020	Furniture	Furnishings	2018-01-22T18:30:00.000Z	25.248
Thursday, January 23, 2020	Furniture	Furnishings		
Sunday, January 26, 2020	Furniture	Furnishings	2018-01-30T18:30:00.000Z	75.24
Monday, January 27, 2020	Furniture	Furnishings		
Tuesday, January 28, 2020	Furniture	Furnishings		
Thursday, January 30, 2020	Furniture	Furnishings		
Friday, January 31, 2020	Furniture	Furnishings		
Saturday, February 01, 2020	Furniture	Furnishings		
Sunday, February 02, 2020	Furniture	Furnishings		
Monday, February 03, 2020	Furniture	Furnishings		
Tuesday, February 04, 2020	Furniture	Furnishings		
Thursday, February 06, 2020	Furniture	Furnishings		
Friday, February 07, 2020	Furniture	Furnishings		
Saturday, February 08, 2020	Furniture	Furnishings	2018-02-08T18:30:00.000Z	14.56
Tuesday, February 11, 2020	Furniture	Furnishings	2018-02-14T18:30:00.000Z	332.94
Wednesday, February 12, 2020	Furniture	Furnishings		
Friday, February 14, 2020	Furniture	Furnishings		
Saturday, February 15, 2020	Furniture	Furnishings		
Sunday, February 16, 2020	Furniture	Furnishings		
Monday, February 17, 2020	Furniture	Furnishings		
Tuesday, February 18, 2020	Furniture	Furnishings	2018-02-17T18:30:00.000Z	25.16
Thursday, February 20, 2020	Furniture	Furnishings	2018-02-25T18:30:00.000Z	20.32
Friday, February 21, 2020	Furniture	Furnishings		
Saturday, February 22, 2020	Furniture	Furnishings		
Sunday, February 23, 2020	Furniture	Furnishings		
Monday, February 24, 2020	Furniture	Furnishings		
Thursday, February 27, 2020	Furniture	Furnishings		
Sunday, March 01, 2020	Furniture	Furnishings	2018-03-04T18:30:00.000Z	63.552
Monday, March 02, 2020	Furniture	Furnishings		
Tuesday, March 03, 2020	Furniture	Furnishings		
Wednesday, March 04, 2020	Furniture	Furnishings		
Thursday, March 05, 2020	Furniture	Furnishings		
Saturday, March 07, 2020	Furniture	Furnishings		
Tuesday, March 10, 2020	Furniture	Furnishings		
Wednesday, March 11, 2020	Furniture	Furnishings	2018-03-15T18:30:00.000Z	8.32
Saturday, March 14, 2020	Furniture	Furnishings		
Sunday, March 15, 2020	Furniture	Furnishings	2018-03-18T18:30:00.000Z	45.696
Monday, March 16, 2020	Furniture	Furnishings		
Tuesday, March 17, 2020	Furniture	Furnishings		
Wednesday, March 18, 2020	Furniture	Furnishings	2018-03-22T18:30:00.000Z	264.12
Thursday, March 19, 2020	Furniture	Furnishings	2018-03-20T18:30:00.000Z	25.008
Saturday, March 21, 2020	Furniture	Furnishings	2018-03-24T18:30:00.000Z	32.952
Sunday, March 22, 2020	Furniture	Furnishings		
Monday, March 23, 2020	Furniture	Furnishings		
Tuesday, March 24, 2020	Furniture	Furnishings	2018-03-28T18:30:00.000Z	40.48
Friday, January 03, 2020	Furniture	Tables		
Saturday, January 04, 2020	Furniture	Tables		
Sunday, January 05, 2020	Furniture	Tables		
Monday, January 06, 2020	Furniture	Tables		
Tuesday, January 07, 2020	Furniture	Tables		
Thursday, January 09, 2020	Furniture	Tables		
Friday, January 10, 2020	Furniture	Tables		
Saturday, January 11, 2020	Furniture	Tables		
Monday, January 13, 2020	Furniture	Tables		
Tuesday, January 14, 2020	Furniture	Tables		
Wednesday, January 15, 2020	Furniture	Tables		
Thursday, January 16, 2020	Furniture	Tables		
Saturday, January 18, 2020	Furniture	Tables		
Sunday, January 19, 2020	Furniture	Tables		
Monday, January 20, 2020	Furniture	Tables		
Tuesday, January 21, 2020	Furniture	Tables		
Thursday, January 23, 2020	Furniture	Tables		
Sunday, January 26, 2020	Furniture	Tables		
Monday, January 27, 2020	Furniture	Tables	2018-02-01T18:30:00.000Z	333
Tuesday, January 28, 2020	Furniture	Tables		
Thursday, January 30, 2020	Furniture	Tables		
Friday, January 31, 2020	Furniture	Tables		
Saturday, February 01, 2020	Furniture	Tables		
Sunday, February 02, 2020	Furniture	Tables		
Monday, February 03, 2020	Furniture	Tables		
Tuesday, February 04, 2020	Furniture	Tables		
Thursday, February 06, 2020	Furniture	Tables		
Friday, February 07, 2020	Furniture	Tables		
Saturday, February 08, 2020	Furniture	Tables		
Tuesday, February 11, 2020	Furniture	Tables	2018-02-14T18:30:00.000Z	1256.22
Wednesday, February 12, 2020	Furniture	Tables		
Friday, February 14, 2020	Furniture	Tables		
Saturday, February 15, 2020	Furniture	Tables		
Sunday, February 16, 2020	Furniture	Tables		
Monday, February 17, 2020	Furniture	Tables		
Tuesday, February 18, 2020	Furniture	Tables		
Thursday, February 20, 2020	Furniture	Tables		
Friday, February 21, 2020	Furniture	Tables		
Saturday, February 22, 2020	Furniture	Tables		
Sunday, February 23, 2020	Furniture	Tables		
Monday, February 24, 2020	Furniture	Tables		
Thursday, February 27, 2020	Furniture	Tables		
Sunday, March 01, 2020	Furniture	Tables	2018-03-06T18:30:00.000Z	376.509
Monday, March 02, 2020	Furniture	Tables		
Tuesday, March 03, 2020	Furniture	Tables	2018-03-06T18:30:00.000Z	626.352
Wednesday, March 04, 2020	Furniture	Tables		
Thursday, March 05, 2020	Furniture	Tables		
Saturday, March 07, 2020	Furniture	Tables		
Tuesday, March 10, 2020	Furniture	Tables		
Wednesday, March 11, 2020	Furniture	Tables		
Saturday, March 14, 2020	Furniture	Tables		
Sunday, March 15, 2020	Furniture	Tables		
Monday, March 16, 2020	Furniture	Tables		
Tuesday, March 17, 2020	Furniture	Tables	2018-03-20T18:30:00.000Z	3265.23
Wednesday, March 18, 2020	Furniture	Tables		
Thursday, March 19, 2020	Furniture	Tables		
Saturday, March 21, 2020	Furniture	Tables		
Sunday, March 22, 2020	Furniture	Tables		
Monday, March 23, 2020	Furniture	Tables		
Tuesday, March 24, 2020	Furniture	Tables		
Friday, January 03, 2020	Office Supplies	Appliances		
Saturday, January 04, 2020	Office Supplies	Appliances		
Sunday, January 05, 2020	Office Supplies	Appliances		
Monday, January 06, 2020	Office Supplies	Appliances		
Tuesday, January 07, 2020	Office Supplies	Appliances		
Thursday, January 09, 2020	Office Supplies	Appliances		
Friday, January 10, 2020	Office Supplies	Appliances		
Saturday, January 11, 2020	Office Supplies	Appliances		
Monday, January 13, 2020	Office Supplies	Appliances		
Tuesday, January 14, 2020	Office Supplies	Appliances		
Wednesday, January 15, 2020	Office Supplies	Appliances		
Thursday, January 16, 2020	Office Supplies	Appliances		
Saturday, January 18, 2020	Office Supplies	Appliances	2018-01-20T18:30:00.000Z	64.864
Sunday, January 19, 2020	Office Supplies	Appliances		
Monday, January 20, 2020	Office Supplies	Appliances	2018-01-25T18:30:00.000Z	247.716
Tuesday, January 21, 2020	Office Supplies	Appliances		
Thursday, January 23, 2020	Office Supplies	Appliances		
Sunday, January 26, 2020	Office Supplies	Appliances		
Monday, January 27, 2020	Office Supplies	Appliances		
Tuesday, January 28, 2020	Office Supplies	Appliances		
Thursday, January 30, 2020	Office Supplies	Appliances		
Friday, January 31, 2020	Office Supplies	Appliances		
Saturday, February 01, 2020	Office Supplies	Appliances		
Sunday, February 02, 2020	Office Supplies	Appliances		
Monday, February 03, 2020	Office Supplies	Appliances		
Tuesday, February 04, 2020	Office Supplies	Appliances		
Thursday, February 06, 2020	Office Supplies	Appliances		
Friday, February 07, 2020	Office Supplies	Appliances		
Saturday, February 08, 2020	Office Supplies	Appliances		
Tuesday, February 11, 2020	Office Supplies	Appliances		
Wednesday, February 12, 2020	Office Supplies	Appliances		
Friday, February 14, 2020	Office Supplies	Appliances	2018-02-17T18:30:00.000Z	81.96
Saturday, February 15, 2020	Office Supplies	Appliances		
Sunday, February 16, 2020	Office Supplies	Appliances	2018-02-20T18:30:00.000Z	7.96
Monday, February 17, 2020	Office Supplies	Appliances		
Tuesday, February 18, 2020	Office Supplies	Appliances		
Thursday, February 20, 2020	Office Supplies	Appliances		
Friday, February 21, 2020	Office Supplies	Appliances		
Saturday, February 22, 2020	Office Supplies	Appliances		
Sunday, February 23, 2020	Office Supplies	Appliances		
Monday, February 24, 2020	Office Supplies	Appliances		
Thursday, February 27, 2020	Office Supplies	Appliances		
Sunday, March 01, 2020	Office Supplies	Appliances		
Monday, March 02, 2020	Office Supplies	Appliances		
Tuesday, March 03, 2020	Office Supplies	Appliances	2018-03-06T18:30:00.000Z	176.772
Wednesday, March 04, 2020	Office Supplies	Appliances		
Thursday, March 05, 2020	Office Supplies	Appliances		
Saturday, March 07, 2020	Office Supplies	Appliances		
Tuesday, March 10, 2020	Office Supplies	Appliances		
Wednesday, March 11, 2020	Office Supplies	Appliances	2018-03-12T18:30:00.000Z	146.76
Saturday, March 14, 2020	Office Supplies	Appliances		
Sunday, March 15, 2020	Office Supplies	Appliances		
Monday, March 16, 2020	Office Supplies	Appliances		
Tuesday, March 17, 2020	Office Supplies	Appliances	2018-03-20T18:30:00.000Z	126.45
Wednesday, March 18, 2020	Office Supplies	Appliances		
Thursday, March 19, 2020	Office Supplies	Appliances		
Saturday, March 21, 2020	Office Supplies	Appliances		
Sunday, March 22, 2020	Office Supplies	Appliances		
Monday, March 23, 2020	Office Supplies	Appliances		
Tuesday, March 24, 2020	Office Supplies	Appliances		
Friday, January 03, 2020	Office Supplies	Art		
Saturday, January 04, 2020	Office Supplies	Art		
Sunday, January 05, 2020	Office Supplies	Art	2018-01-11T18:30:00.000Z	19.536
Monday, January 06, 2020	Office Supplies	Art	2018-01-06T18:30:00.000Z	18.26
Tuesday, January 07, 2020	Office Supplies	Art		
Thursday, January 09, 2020	Office Supplies	Art	2018-01-12T18:30:00.000Z	9.344
Friday, January 10, 2020	Office Supplies	Art		
Saturday, January 11, 2020	Office Supplies	Art		
Monday, January 13, 2020	Office Supplies	Art	2018-01-17T18:30:00.000Z	19.9
Tuesday, January 14, 2020	Office Supplies	Art		
Wednesday, January 15, 2020	Office Supplies	Art		
Thursday, January 16, 2020	Office Supplies	Art		
Saturday, January 18, 2020	Office Supplies	Art		
Sunday, January 19, 2020	Office Supplies	Art		
Monday, January 20, 2020	Office Supplies	Art	2018-01-25T18:30:00.000Z	73.51
Tuesday, January 21, 2020	Office Supplies	Art		
Thursday, January 23, 2020	Office Supplies	Art		
Sunday, January 26, 2020	Office Supplies	Art		
Monday, January 27, 2020	Office Supplies	Art	2018-02-01T18:30:00.000Z	36.44
Tuesday, January 28, 2020	Office Supplies	Art		
Thursday, January 30, 2020	Office Supplies	Art		
Friday, January 31, 2020	Office Supplies	Art		
Saturday, February 01, 2020	Office Supplies	Art		
Sunday, February 02, 2020	Office Supplies	Art		
Monday, February 03, 2020	Office Supplies	Art		
Tuesday, February 04, 2020	Office Supplies	Art		
Thursday, February 06, 2020	Office Supplies	Art		
Friday, February 07, 2020	Office Supplies	Art		
Saturday, February 08, 2020	Office Supplies	Art		
Tuesday, February 11, 2020	Office Supplies	Art		
Wednesday, February 12, 2020	Office Supplies	Art		
Friday, February 14, 2020	Office Supplies	Art		
Saturday, February 15, 2020	Office Supplies	Art		
Sunday, February 16, 2020	Office Supplies	Art		
Monday, February 17, 2020	Office Supplies	Art	2018-02-23T18:30:00.000Z	54.208
Tuesday, February 18, 2020	Office Supplies	Art		
Thursday, February 20, 2020	Office Supplies	Art		
Friday, February 21, 2020	Office Supplies	Art		
Saturday, February 22, 2020	Office Supplies	Art		
Sunday, February 23, 2020	Office Supplies	Art		
Monday, February 24, 2020	Office Supplies	Art		
Thursday, February 27, 2020	Office Supplies	Art	2018-03-02T18:30:00.000Z	19.456
Sunday, March 01, 2020	Office Supplies	Art		
Monday, March 02, 2020	Office Supplies	Art		
Tuesday, March 03, 2020	Office Supplies	Art	2018-03-06T18:30:00.000Z	19.456
Wednesday, March 04, 2020	Office Supplies	Art	2018-03-08T18:30:00.000Z	15.552
Thursday, March 05, 2020	Office Supplies	Art	2018-03-07T18:30:00.000Z	59.52
Saturday, March 07, 2020	Office Supplies	Art	2018-03-07T18:30:00.000Z	38.59
Tuesday, March 10, 2020	Office Supplies	Art	2018-03-16T18:30:00.000Z	83.168
Wednesday, March 11, 2020	Office Supplies	Art	2018-03-14T18:30:00.000Z	7.98
Saturday, March 14, 2020	Office Supplies	Art	2018-03-17T18:30:00.000Z	3.38
Sunday, March 15, 2020	Office Supplies	Art		
Monday, March 16, 2020	Office Supplies	Art		
Tuesday, March 17, 2020	Office Supplies	Art	2018-03-16T18:30:00.000Z	24.128
Wednesday, March 18, 2020	Office Supplies	Art	2018-03-22T18:30:00.000Z	8.016
Thursday, March 19, 2020	Office Supplies	Art		
Saturday, March 21, 2020	Office Supplies	Art	2018-03-24T18:30:00.000Z	22.776
Sunday, March 22, 2020	Office Supplies	Art	2018-03-21T18:30:00.000Z	16.28
Monday, March 23, 2020	Office Supplies	Art		
Tuesday, March 24, 2020	Office Supplies	Art		
Friday, January 03, 2020	Office Supplies	Binders		
Saturday, January 04, 2020	Office Supplies	Binders	2018-01-07T18:30:00.000Z	3.54
Sunday, January 05, 2020	Office Supplies	Binders		
Monday, January 06, 2020	Office Supplies	Binders	2018-01-09T18:30:00.000Z	609.98
Tuesday, January 07, 2020	Office Supplies	Binders	2018-01-11T18:30:00.000Z	10.43
Thursday, January 09, 2020	Office Supplies	Binders		
Friday, January 10, 2020	Office Supplies	Binders		
Saturday, January 11, 2020	Office Supplies	Binders		
Monday, January 13, 2020	Office Supplies	Binders	2018-01-14T18:30:00.000Z	9.078
Tuesday, January 14, 2020	Office Supplies	Binders		
Wednesday, January 15, 2020	Office Supplies	Binders		
Thursday, January 16, 2020	Office Supplies	Binders	2018-01-17T18:30:00.000Z	18.588
Saturday, January 18, 2020	Office Supplies	Binders		
Sunday, January 19, 2020	Office Supplies	Binders	2018-01-19T18:30:00.000Z	32.34
Monday, January 20, 2020	Office Supplies	Binders	2018-01-25T18:30:00.000Z	115.944
Tuesday, January 21, 2020	Office Supplies	Binders		
Thursday, January 23, 2020	Office Supplies	Binders		
Sunday, January 26, 2020	Office Supplies	Binders	2018-01-28T18:30:00.000Z	10.68
Monday, January 27, 2020	Office Supplies	Binders		
Tuesday, January 28, 2020	Office Supplies	Binders	2018-02-02T18:30:00.000Z	3.928
Thursday, January 30, 2020	Office Supplies	Binders		
Friday, January 31, 2020	Office Supplies	Binders		
Saturday, February 01, 2020	Office Supplies	Binders		
Sunday, February 02, 2020	Office Supplies	Binders	2018-02-08T18:30:00.000Z	18.336
Monday, February 03, 2020	Office Supplies	Binders	2018-02-05T18:30:00.000Z	97.112
Tuesday, February 04, 2020	Office Supplies	Binders	2018-02-07T18:30:00.000Z	100.144
Thursday, February 06, 2020	Office Supplies	Binders	2018-02-09T18:30:00.000Z	8.952
Friday, February 07, 2020	Office Supplies	Binders		
Saturday, February 08, 2020	Office Supplies	Binders		
Tuesday, February 11, 2020	Office Supplies	Binders	2018-02-14T18:30:00.000Z	79
Wednesday, February 12, 2020	Office Supplies	Binders		
Friday, February 14, 2020	Office Supplies	Binders		
Saturday, February 15, 2020	Office Supplies	Binders	2018-02-18T18:30:00.000Z	21.36
Sunday, February 16, 2020	Office Supplies	Binders	2018-02-20T18:30:00.000Z	1.08
Monday, February 17, 2020	Office Supplies	Binders		
Tuesday, February 18, 2020	Office Supplies	Binders		
Thursday, February 20, 2020	Office Supplies	Binders		
Friday, February 21, 2020	Office Supplies	Binders	2018-02-24T18:30:00.000Z	8.85
Saturday, February 22, 2020	Office Supplies	Binders		
Sunday, February 23, 2020	Office Supplies	Binders	2018-02-26T18:30:00.000Z	4.428
Monday, February 24, 2020	Office Supplies	Binders		
Thursday, February 27, 2020	Office Supplies	Binders		
Sunday, March 01, 2020	Office Supplies	Binders		
Monday, March 02, 2020	Office Supplies	Binders		
Tuesday, March 03, 2020	Office Supplies	Binders	2018-03-07T18:30:00.000Z	151.08
Wednesday, March 04, 2020	Office Supplies	Binders		
Thursday, March 05, 2020	Office Supplies	Binders	2018-03-07T18:30:00.000Z	49.632
Saturday, March 07, 2020	Office Supplies	Binders	2018-03-10T18:30:00.000Z	107.648
Tuesday, March 10, 2020	Office Supplies	Binders		
Wednesday, March 11, 2020	Office Supplies	Binders		
Saturday, March 14, 2020	Office Supplies	Binders	2018-03-18T18:30:00.000Z	95.136
Sunday, March 15, 2020	Office Supplies	Binders	2018-03-18T18:30:00.000Z	50.406
Monday, March 16, 2020	Office Supplies	Binders		
Tuesday, March 17, 2020	Office Supplies	Binders	2018-03-20T18:30:00.000Z	131.15
Wednesday, March 18, 2020	Office Supplies	Binders		
Thursday, March 19, 2020	Office Supplies	Binders	2018-03-20T18:30:00.000Z	33.57
Saturday, March 21, 2020	Office Supplies	Binders	2018-03-24T18:30:00.000Z	122.94
Sunday, March 22, 2020	Office Supplies	Binders	2018-03-25T18:30:00.000Z	59.109
Monday, March 23, 2020	Office Supplies	Binders		
Tuesday, March 24, 2020	Office Supplies	Binders		
Friday, January 03, 2020	Office Supplies	Envelopes		
Saturday, January 04, 2020	Office Supplies	Envelopes		
Sunday, January 05, 2020	Office Supplies	Envelopes		
Monday, January 06, 2020	Office Supplies	Envelopes		
Tuesday, January 07, 2020	Office Supplies	Envelopes		
Thursday, January 09, 2020	Office Supplies	Envelopes		
Friday, January 10, 2020	Office Supplies	Envelopes		
Saturday, January 11, 2020	Office Supplies	Envelopes		
Monday, January 13, 2020	Office Supplies	Envelopes	2018-01-14T18:30:00.000Z	62.3
Tuesday, January 14, 2020	Office Supplies	Envelopes		
Wednesday, January 15, 2020	Office Supplies	Envelopes		
Thursday, January 16, 2020	Office Supplies	Envelopes		
Saturday, January 18, 2020	Office Supplies	Envelopes		
Sunday, January 19, 2020	Office Supplies	Envelopes	2018-01-19T18:30:00.000Z	108.72
Monday, January 20, 2020	Office Supplies	Envelopes	2018-01-25T18:30:00.000Z	23.34
Tuesday, January 21, 2020	Office Supplies	Envelopes		
Thursday, January 23, 2020	Office Supplies	Envelopes		
Sunday, January 26, 2020	Office Supplies	Envelopes		
Monday, January 27, 2020	Office Supplies	Envelopes		
Tuesday, January 28, 2020	Office Supplies	Envelopes		
Thursday, January 30, 2020	Office Supplies	Envelopes		
Friday, January 31, 2020	Office Supplies	Envelopes		
Saturday, February 01, 2020	Office Supplies	Envelopes		
Sunday, February 02, 2020	Office Supplies	Envelopes		
Monday, February 03, 2020	Office Supplies	Envelopes		
Tuesday, February 04, 2020	Office Supplies	Envelopes		
Thursday, February 06, 2020	Office Supplies	Envelopes		
Friday, February 07, 2020	Office Supplies	Envelopes		
Saturday, February 08, 2020	Office Supplies	Envelopes		
Tuesday, February 11, 2020	Office Supplies	Envelopes		
Wednesday, February 12, 2020	Office Supplies	Envelopes		
Friday, February 14, 2020	Office Supplies	Envelopes		
Saturday, February 15, 2020	Office Supplies	Envelopes		
Sunday, February 16, 2020	Office Supplies	Envelopes		
Monday, February 17, 2020	Office Supplies	Envelopes		
Tuesday, February 18, 2020	Office Supplies	Envelopes		
Thursday, February 20, 2020	Office Supplies	Envelopes		
Friday, February 21, 2020	Office Supplies	Envelopes		
Saturday, February 22, 2020	Office Supplies	Envelopes		
Sunday, February 23, 2020	Office Supplies	Envelopes		
Monday, February 24, 2020	Office Supplies	Envelopes		
Thursday, February 27, 2020	Office Supplies	Envelopes		
Sunday, March 01, 2020	Office Supplies	Envelopes		
Monday, March 02, 2020	Office Supplies	Envelopes	2018-03-07T18:30:00.000Z	11.36
Tuesday, March 03, 2020	Office Supplies	Envelopes		
Wednesday, March 04, 2020	Office Supplies	Envelopes		
Thursday, March 05, 2020	Office Supplies	Envelopes		
Saturday, March 07, 2020	Office Supplies	Envelopes		
Tuesday, March 10, 2020	Office Supplies	Envelopes		
Wednesday, March 11, 2020	Office Supplies	Envelopes		
Saturday, March 14, 2020	Office Supplies	Envelopes		
Sunday, March 15, 2020	Office Supplies	Envelopes		
Monday, March 16, 2020	Office Supplies	Envelopes		
Tuesday, March 17, 2020	Office Supplies	Envelopes		
Wednesday, March 18, 2020	Office Supplies	Envelopes		
Thursday, March 19, 2020	Office Supplies	Envelopes		
Saturday, March 21, 2020	Office Supplies	Envelopes		
Sunday, March 22, 2020	Office Supplies	Envelopes		
