Category,Sub-Category,Ship Mode,Value Column Name,Value
"Technology","Machines","Same Day","(Sales - Profit)%","50.96001420331527"
"Technology","Machines","Same Day","Profit - Quantity","403.7708"
"Technology","Machines","Same Day","(Profit - Quantity)%","11.536308571428572"
"Technology","Machines","Second Class","Quantity","43"
"Technology","Machines","Second Class","Profit","2157.0299"
"Technology","Machines","Second Class","Sales","22493.7"
"Technology","Machines","Second Class","Sales - Quantity","22450.7"
"Technology","Machines","Second Class","(Sales - Quantity)%","522.1093023255814"
"Technology","Machines","Second Class","Sales - Profit","20336.6701"
"Technology","Machines","Second Class","(Sales - Profit)%","9.428089105301693"
"Technology","Machines","Second Class","Profit - Quantity","2114.0299"
"Technology","Machines","Second Class","(Profit - Quantity)%","49.16348604651162"
"Technology","Machines","Standard Class","Quantity","286"
"Technology","Machines","Standard Class","Profit","2392.4552"
"Technology","Machines","Standard Class","Sales","119792.993"
"Technology","Machines","Standard Class","Sales - Quantity","119506.993"
"Technology","Machines","Standard Class","(Sales - Quantity)%","417.85661888111895"
"Technology","Machines","Standard Class","Sales - Profit","117400.5378"
"Technology","Machines","Standard Class","(Sales - Profit)%","49.07115410144357"
"Technology","Machines","Standard Class","Profit - Quantity","2106.4552"
"Technology","Machines","Standard Class","(Profit - Quantity)%","7.365227972027972"
"Technology","Accessories","First Class","Quantity","461"
"Technology","Accessories","First Class","Profit","5907.4131"
"Technology","Accessories","First Class","Sales","22226.692"
"Technology","Accessories","First Class","Sales - Quantity","21765.692"
"Technology","Accessories","First Class","(Sales - Quantity)%","47.21408242950108"
"Technology","Accessories","First Class","Sales - Profit","16319.2789"
"Technology","Accessories","First Class","(Sales - Profit)%","2.7625084997018403"
"Technology","Accessories","First Class","Profit - Quantity","5446.4131"
"Technology","Accessories","First Class","(Profit - Quantity)%","11.814345119305859"
"Technology","Accessories","Same Day","Quantity","166"
"Technology","Accessories","Same Day","Profit","3866.691"
"Technology","Accessories","Same Day","Sales","13777.224"
"Technology","Accessories","Same Day","Sales - Quantity","13611.224"
"Technology","Accessories","Same Day","(Sales - Quantity)%","81.99532530120482"
"Technology","Accessories","Same Day","Sales - Profit","9910.533"
"Technology","Accessories","Same Day","(Sales - Profit)%","2.563052749754247"
"Technology","Accessories","Same Day","Profit - Quantity","3700.691"
"Technology","Accessories","Same Day","(Profit - Quantity)%","22.293319277108434"
"Technology","Accessories","Second Class","Quantity","629"
"Technology","Accessories","Second Class","Profit","8733.6708"
"Technology","Accessories","Second Class","Sales","37572.986"
"Technology","Accessories","Second Class","Sales - Quantity","36943.986"
"Technology","Accessories","Second Class","(Sales - Quantity)%","58.73447694753577"
"Technology","Accessories","Second Class","Sales - Profit","28839.315199999997"
"Technology","Accessories","Second Class","(Sales - Profit)%","3.3020840675606866"
"Technology","Accessories","Second Class","Profit - Quantity","8104.6708"
"Technology","Accessories","Second Class","(Profit - Quantity)%","12.885009220985692"
"Technology","Accessories","Standard Class","Quantity","1720"
"Technology","Accessories","Standard Class","Profit","23428.8608"
"Technology","Accessories","Standard Class","Sales","93803.416"
"Technology","Accessories","Standard Class","Sales - Quantity","92083.416"
"Technology","Accessories","Standard Class","(Sales - Quantity)%","53.53686976744186"
"Technology","Accessories","Standard Class","Sales - Profit","70374.5552"
"Technology","Accessories","Standard Class","(Sales - Profit)%","3.003754890207893"
"Technology","Accessories","Standard Class","Profit - Quantity","21708.8608"
"Technology","Accessories","Standard Class","(Profit - Quantity)%","12.621430697674418"
"Technology","Copiers","First Class","Quantity","45"
"Technology","Copiers","First Class","Profit","14798.3793"
"Technology","Copiers","First Class","Sales","39369.63"
"Technology","Copiers","First Class","Sales - Quantity","39324.63"
"Technology","Copiers","First Class","(Sales - Quantity)%","873.8806666666665"
"Technology","Copiers","First Class","Sales - Profit","24571.250699999997"
"Technology","Copiers","First Class","(Sales - Profit)%","1.6604014670714649"
"Technology","Copiers","First Class","Profit - Quantity","14753.3793"
"Technology","Copiers","First Class","(Profit - Quantity)%","327.8528733333333"
"Technology","Copiers","Same Day","Quantity","16"
"Technology","Copiers","Same Day","Profit","2580.9549"
"Technology","Copiers","Same Day","Sales","7559.868"
"Technology","Copiers","Same Day","Sales - Quantity","7543.868"
"Technology","Copiers","Same Day","(Sales - Quantity)%","471.49175"
"Technology","Copiers","Same Day","Sales - Profit","4978.9131"
"Technology","Copiers","Same Day","(Sales - Profit)%","1.929097288759288"
"Technology","Copiers","Same Day","Profit - Quantity","2564.9549"
"Technology","Copiers","Same Day","(Profit - Quantity)%","160.30968125"
"Technology","Copiers","Second Class","Quantity","44"
"Technology","Copiers","Second Class","Profit","6883.8703"
"Technology","Copiers","Second Class","Sales","18899.628"
"Technology","Copiers","Second Class","Sales - Quantity","18855.628"
"Technology","Copiers","Second Class","(Sales - Quantity)%","428.53700000000003"
"Technology","Copiers","Second Class","Sales - Profit","12015.757700000002"
"Technology","Copiers","Second Class","(Sales - Profit)%","1.745494493119663"
"Technology","Copiers","Second Class","Profit - Quantity","6839.8703"
"Technology","Copiers","Second Class","(Profit - Quantity)%","155.4515977272727"
"Technology","Copiers","Standard Class","Quantity","129"
"Technology","Copiers","Standard Class","Profit","31354.6204"
"Technology","Copiers","Standard Class","Sales","83698.904"
"Technology","Copiers","Standard Class","Sales - Quantity","83569.904"
"Technology","Copiers","Standard Class","(Sales - Quantity)%","647.8287131782945"
"Technology","Copiers","Standard Class","Sales - Profit","52344.283599999995"
"Technology","Copiers","Standard Class","(Sales - Profit)%","1.6694280757422277"
"Technology","Copiers","Standard Class","Profit - Quantity","31225.6204"
"Technology","Copiers","Standard Class","(Profit - Quantity)%","242.05907286821704"
"Furniture","Chairs","First Class","Quantity","335"
"Furniture","Chairs","First Class","Profit","2645.2149"
"Furniture","Chairs","First Class","Sales","47706.472"
"Furniture","Chairs","First Class","Sales - Quantity","47371.472"
"Furniture","Chairs","First Class","(Sales - Quantity)%","141.40737910447763"
"Furniture","Chairs","First Class","Sales - Profit","45061.2571"
"Furniture","Chairs","First Class","(Sales - Profit)%","17.035008044147947"
"Furniture","Chairs","First Class","Profit - Quantity","2310.2149"
"Furniture","Chairs","First Class","(Profit - Quantity)%","6.8961638805970145"
"Furniture","Chairs","Same Day","Quantity","160"
"Furniture","Chairs","Same Day","Profit","1135.6435"
"Furniture","Chairs","Same Day","Sales","21659.716"
"Furniture","Chairs","Same Day","Sales - Quantity","21499.716"
"Furniture","Chairs","Same Day","(Sales - Quantity)%","134.373225"
"Furniture","Chairs","Same Day","Sales - Profit","20524.072500000002"
"Furniture","Chairs","Same Day","(Sales - Profit)%","18.072636791387442"
"Furniture","Chairs","Same Day","Profit - Quantity","975.6434999999999"
"Furniture","Chairs","Same Day","(Profit - Quantity)%","6.097771874999999"
"Furniture","Chairs","Second Class","Quantity","489"
"Furniture","Chairs","Second Class","Profit","6766.25"
"Furniture","Chairs","Second Class","Sales","74872.058"
"Furniture","Chairs","Second Class","Sales - Quantity","74383.058"
"Furniture","Chairs","Second Class","(Sales - Quantity)%","152.11259304703478"
"Furniture","Chairs","Second Class","Sales - Profit","68105.808"
"Furniture","Chairs","Second Class","(Sales - Profit)%","10.065517531867727"
"Furniture","Chairs","Second Class","Profit - Quantity","6277.25"
"Furniture","Chairs","Second Class","(Profit - Quantity)%","12.836912065439673"
"Furniture","Chairs","Standard Class","Quantity","1372"
"Furniture","Chairs","Standard Class","Profit","16043.0579"
"Furniture","Chairs","Standard Class","Sales","184210.857"
"Furniture","Chairs","Standard Class","Sales - Quantity","182838.857"
"Furniture","Chairs","Standard Class","(Sales - Quantity)%","133.26447303206996"
"Furniture","Chairs","Standard Class","Sales - Profit","168167.7991"
"Furniture","Chairs","Standard Class","(Sales - Profit)%","10.482278387837772"
"Furniture","Chairs","Standard Class","Profit - Quantity","14671.0579"
"Furniture","Chairs","Standard Class","(Profit - Quantity)%","10.693190889212826"
"Furniture","Tables","First Class","Quantity","176"
"Furniture","Tables","First Class","Profit","-1365.3665"
"Furniture","Tables","First Class","Sales","28800.776"
"Furniture","Tables","First Class","Sales - Quantity","28624.776"
"Furniture","Tables","First Class","(Sales - Quantity)%","162.64077272727275"
"Furniture","Tables","First Class","Sales - Profit","30166.1425"
"Furniture","Tables","First Class","(Sales - Profit)%","22.093805948805688"
"Furniture","Tables","First Class","Profit - Quantity","-1541.3665"
"Furniture","Tables","First Class","(Profit - Quantity)%","-8.757764204545454"
"Furniture","Tables","Same Day","Quantity","85"
"Furniture","Tables","Same Day","Profit","-1129.4225"
"Furniture","Tables","Same Day","Sales","9644.347"
"Furniture","Tables","Same Day","Sales - Quantity","9559.347"
"Furniture","Tables","Same Day","(Sales - Quantity)%","112.46290588235293"
"Furniture","Tables","Same Day","Sales - Profit","10773.7695"
"Furniture","Tables","Same Day","(Sales - Profit)%","9.53918440618989"
"Furniture","Tables","Same Day","Profit - Quantity","-1214.4225"
"Furniture","Tables","Same Day","(Profit - Quantity)%","-14.287323529411763"
"Furniture","Tables","Second Class","Quantity","257"
"Furniture","Tables","Second Class","Profit","-3320.6799"
"Furniture","Tables","Second Class","Sales","43693.7475"
"Furniture","Tables","Second Class","Sales - Quantity","43436.7475"
"Furniture","Tables","Second Class","(Sales - Quantity)%","169.01458171206224"
"Furniture","Tables","Second Class","Sales - Profit","47014.4274"
"Furniture","Tables","Second Class","(Sales - Profit)%","14.158072688668364"
"Furniture","Tables","Second Class","Profit - Quantity","-3577.6799"
"Furniture","Tables","Second Class","(Profit - Quantity)%","-13.92093346303502"
"Furniture","Tables","Standard Class","Quantity","723"
"Furniture","Tables","Standard Class","Profit","-11910.0122"
"Furniture","Tables","Standard Class","Sales","124826.6615"
"Furniture","Tables","Standard Class","Sales - Quantity","124103.6615"
"Furniture","Tables","Standard Class","(Sales - Quantity)%","171.65098409405257"
"Furniture","Tables","Standard Class","Sales - Profit","136736.6737"
"Furniture","Tables","Standard Class","(Sales - Profit)%","11.480817265661576"
"Furniture","Tables","Standard Class","Profit - Quantity","-12633.0122"
"Furniture","Tables","Standard Class","(Profit - Quantity)%","-17.4730459197787"
"Furniture","Bookcases","First Class","Quantity","187"
"Furniture","Bookcases","First Class","Profit","-305.9975"
"Furniture","Bookcases","First Class","Sales","21065.3189"
"Furniture","Bookcases","First Class","Sales - Quantity","20878.3189"
"Furniture","Bookcases","First Class","(Sales - Quantity)%","111.64876417112299"
"Furniture","Bookcases","First Class","Sales - Profit","21371.3164"
"Furniture","Bookcases","First Class","(Sales - Profit)%","69.84147386825056"
"Furniture","Bookcases","First Class","Profit - Quantity","-492.9975"
"Furniture","Bookcases","First Class","(Profit - Quantity)%","-2.636350267379679"
"Furniture","Bookcases","Same Day","Quantity","19"
"Furniture","Bookcases","Same Day","Profit","392.5656"
"Furniture","Bookcases","Same Day","Sales","2970.582"
"Furniture","Bookcases","Same Day","Sales - Quantity","2951.582"
"Furniture","Bookcases","Same Day","(Sales - Quantity)%","155.34642105263157"
"Furniture","Bookcases","Same Day","Sales - Profit","2578.0164"
"Furniture","Bookcases","Same Day","(Sales - Profit)%","6.567097066069977"
"Furniture","Bookcases","Same Day","Profit - Quantity","373.5656"
"Furniture","Bookcases","Same Day","(Profit - Quantity)%","19.661347368421055"
"Furniture","Bookcases","Second Class","Quantity","175"
"Furniture","Bookcases","Second Class","Profit","-1028.0213"
"Furniture","Bookcases","Second Class","Sales","22307.2129"
"Furniture","Bookcases","Second Class","Sales - Quantity","22132.2129"
"Furniture","Bookcases","Second Class","(Sales - Quantity)%","126.469788"
"Furniture","Bookcases","Second Class","Sales - Profit","23335.2342"
"Furniture","Bookcases","Second Class","(Sales - Profit)%","22.6991738400751"
"Furniture","Bookcases","Second Class","Profit - Quantity","-1203.0213"
"Furniture","Bookcases","Second Class","(Profit - Quantity)%","-6.87440742857143"
"Furniture","Bookcases","Standard Class","Quantity","487"
"Furniture","Bookcases","Standard Class","Profit","-2531.1028"
"Furniture","Bookcases","Standard Class","Sales","68536.8825"
"Furniture","Bookcases","Standard Class","Sales - Quantity","68049.8825"
"Furniture","Bookcases","Standard Class","(Sales - Quantity)%","139.73281827515402"
"Furniture","Bookcases","Standard Class","Sales - Profit","71067.9853"
"Furniture","Bookcases","Standard Class","(Sales - Profit)%","28.077873921201462"
"Furniture","Bookcases","Standard Class","Profit - Quantity","-3018.1028"
"Furniture","Bookcases","Standard Class","(Profit - Quantity)%","-6.1973363449692"
"Furniture","Furnishings","First Class","Quantity","540"
"Furniture","Furnishings","First Class","Profit","2093.0965"
"Furniture","Furnishings","First Class","Sales","13157.956"
"Furniture","Furnishings","First Class","Sales - Quantity","12617.956"
"Furniture","Furnishings","First Class","(Sales - Quantity)%","23.366585185185187"
"Furniture","Furnishings","First Class","Sales - Profit","11064.8595"
"Furniture","Furnishings","First Class","(Sales - Profit)%","5.286358990137339"
"Furniture","Furnishings","First Class","Profit - Quantity","1553.0965"
"Furniture","Furnishings","First Class","(Profit - Quantity)%","2.8761046296296295"
"Furniture","Furnishings","Same Day","Quantity","189"
"Furniture","Furnishings","Same Day","Profit","398.5618"
"Furniture","Furnishings","Same Day","Sales","4874.134"
"Furniture","Furnishings","Same Day","Sales - Quantity","4685.134"
"Furniture","Furnishings","Same Day","(Sales - Quantity)%","24.78906878306878"
"Furniture","Furnishings","Same Day","Sales - Profit","4475.5722"
"Furniture","Furnishings","Same Day","(Sales - Profit)%","11.229305467809509"
"Furniture","Furnishings","Same Day","Profit - Quantity","209.5618"
"Furniture","Furnishings","Same Day","(Profit - Quantity)%","1.1087925925925926"
"Furniture","Furnishings","Second Class","Quantity","648"
"Furniture","Furnishings","Second Class","Profit","1808.7126"
"Furniture","Furnishings","Second Class","Sales","15416.006"
"Furniture","Furnishings","Second Class","Sales - Quantity","14768.006"
"Furniture","Furnishings","Second Class","(Sales - Quantity)%","22.790132716049378"
"Furniture","Furnishings","Second Class","Sales - Profit","13607.293399999999"
"Furniture","Furnishings","Second Class","(Sales - Profit)%","7.523192684122396"
"Furniture","Furnishings","Second Class","Profit - Quantity","1160.7126"
"Furniture","Furnishings","Second Class","(Profit - Quantity)%","1.7912231481481482"
"Furniture","Furnishings","Standard Class","Quantity","2186"
"Furniture","Furnishings","Standard Class","Profit","8758.7727"
"Furniture","Furnishings","Standard Class","Sales","58257.068"
"Furniture","Furnishings","Standard Class","Sales - Quantity","56071.068"
"Furniture","Furnishings","Standard Class","(Sales - Quantity)%","25.650076852698994"
"Furniture","Furnishings","Standard Class","Sales - Profit","49498.2953"
"Furniture","Furnishings","Standard Class","(Sales - Profit)%","5.6512820911541635"
"Furniture","Furnishings","Standard Class","Profit - Quantity","6572.7726999999995"
"Furniture","Furnishings","Standard Class","(Profit - Quantity)%","3.0067578682525156"
"Office Supplies","Storage","First Class","Quantity","458"
"Office Supplies","Storage","First Class","Profit","3012.1837"
"Office Supplies","Storage","First Class","Sales","26273.258"
"Office Supplies","Storage","First Class","Sales - Quantity","25815.258"
"Office Supplies","Storage","First Class","(Sales - Quantity)%","56.36519213973799"
"Office Supplies","Storage","First Class","Sales - Profit","23261.0743"
"Office Supplies","Storage","First Class","(Sales - Profit)%","7.7223292523626625"
"Office Supplies","Storage","First Class","Profit - Quantity","2554.1837"
"Office Supplies","Storage","First Class","(Profit - Quantity)%","5.576820305676856"
"Office Supplies","Storage","Same Day","Quantity","179"
"Office Supplies","Storage","Same Day","Profit","980.2761"
"Office Supplies","Storage","Same Day","Sales","8850.226"
"Office Supplies","Storage","Same Day","Sales - Quantity","8671.226"
"Office Supplies","Storage","Same Day","(Sales - Quantity)%","48.44260335195531"
"Office Supplies","Storage","Same Day","Sales - Profit","7869.9499000000005"
"Office Supplies","Storage","Same Day","(Sales - Profit)%","8.028299272011223"
"Office Supplies","Storage","Same Day","Profit - Quantity","801.2761"
"Office Supplies","Storage","Same Day","(Profit - Quantity)%","4.4764027932960895"
"Office Supplies","Storage","Second Class","Quantity","670"
"Office Supplies","Storage","Second Class","Profit","5434.3132"
"Office Supplies","Storage","Second Class","Sales","48469.372"
"Office Supplies","Storage","Second Class","Sales - Quantity","47799.372"
"Office Supplies","Storage","Second Class","(Sales - Quantity)%","71.34234626865673"
"Office Supplies","Storage","Second Class","Sales - Profit","43035.058800000006"
"Office Supplies","Storage","Second Class","(Sales - Profit)%","7.919134804376017"
"Office Supplies","Storage","Second Class","Profit - Quantity","4764.3132"
"Office Supplies","Storage","Second Class","(Profit - Quantity)%","7.110915223880596"
"Office Supplies","Storage","Standard Class","Quantity","1851"
"Office Supplies","Storage","Standard Class","Profit","11852.0534"
"Office Supplies","Storage","Standard Class","Sales","140250.752"
"Office Supplies","Storage","Standard Class","Sales - Quantity","138399.752"
"Office Supplies","Storage","Standard Class","(Sales - Quantity)%","74.77026039978391"
"Office Supplies","Storage","Standard Class","Sales - Profit","128398.6986"
"Office Supplies","Storage","Standard Class","(Sales - Profit)%","10.833455964685408"
"Office Supplies","Storage","Standard Class","Profit - Quantity","10001.0534"
"Office Supplies","Storage","Standard Class","(Profit - Quantity)%","5.403054240950838"
"Office Supplies","Binders","First Class","Quantity","918"
"Office Supplies","Binders","First Class","Profit","4128.1425"
"Office Supplies","Binders","First Class","Sales","36157.813"
"Office Supplies","Binders","First Class","Sales - Quantity","35239.813"
"Office Supplies","Binders","First Class","(Sales - Quantity)%","38.38759586056645"
"Office Supplies","Binders","First Class","Sales - Profit","32029.6705"
"Office Supplies","Binders","First Class","(Sales - Profit)%","7.758857767143455"
"Office Supplies","Binders","First Class","Profit - Quantity","3210.1425"
"Office Supplies","Binders","First Class","(Profit - Quantity)%","3.496887254901961"
"Office Supplies","Binders","Same Day","Quantity","258"
"Office Supplies","Binders","Same Day","Profit","1140.2821"
"Office Supplies","Binders","Same Day","Sales","5819.505"
"Office Supplies","Binders","Same Day","Sales - Quantity","5561.505"
"Office Supplies","Binders","Same Day","(Sales - Quantity)%","21.556220930232556"
"Office Supplies","Binders","Same Day","Sales - Profit","4679.222900000001"
"Office Supplies","Binders","Same Day","(Sales - Profit)%","4.10356603861448"
"Office Supplies","Binders","Same Day","Profit - Quantity","882.2820999999999"
"Office Supplies","Binders","Same Day","(Profit - Quantity)%","3.4196980620155033"
"Office Supplies","Binders","Second Class","Quantity","1021"
"Office Supplies","Binders","Second Class","Profit","5461.342"
"Office Supplies","Binders","Second Class","Sales","27115.342"
"Office Supplies","Binders","Second Class","Sales - Quantity","26094.342"
"Office Supplies","Binders","Second Class","(Sales - Quantity)%","25.557631733594516"
"Office Supplies","Binders","Second Class","Sales - Profit","21654"
"Office Supplies","Binders","Second Class","(Sales - Profit)%","3.9649595282624674"
"Office Supplies","Binders","Second Class","Profit - Quantity","4440.342"
"Office Supplies","Binders","Second Class","(Profit - Quantity)%","4.3490127326150825"
"Office Supplies","Binders","Standard Class","Quantity","3777"
"Office Supplies","Binders","Standard Class","Profit","19491.9967"
"Office Supplies","Binders","Standard Class","Sales","134320.073"
"Office Supplies","Binders","Standard Class","Sales - Quantity","130543.073"
"Office Supplies","Binders","Standard Class","(Sales - Quantity)%","34.56263516018004"
"Office Supplies","Binders","Standard Class","Sales - Profit","114828.0763"
"Office Supplies","Binders","Standard Class","(Sales - Profit)%","5.891037130126335"
"Office Supplies","Binders","Standard Class","Profit - Quantity","15714.9967"
"Office Supplies","Binders","Standard Class","(Profit - Quantity)%","4.160708684140852"
"Office Supplies","Appliances","First Class","Quantity","253"
"Office Supplies","Appliances","First Class","Profit","3543.8611"
"Office Supplies","Appliances","First Class","Sales","15726.024"
"Office Supplies","Appliances","First Class","Sales - Quantity","15473.024"
"Office Supplies","Appliances","First Class","(Sales - Quantity)%","61.158197628458495"
"Office Supplies","Appliances","First Class","Sales - Profit","12182.1629"
"Office Supplies","Appliances","First Class","(Sales - Profit)%","3.4375396089874966"
"Office Supplies","Appliances","First Class","Profit - Quantity","3290.8611"
"Office Supplies","Appliances","First Class","(Profit - Quantity)%","13.007356126482215"
"Office Supplies","Appliances","Same Day","Quantity","77"
"Office Supplies","Appliances","Same Day","Profit","1091.6577"
"Office Supplies","Appliances","Same Day","Sales","6270.592"
"Office Supplies","Appliances","Same Day","Sales - Quantity","6193.592"
"Office Supplies","Appliances","Same Day","(Sales - Quantity)%","80.43625974025973"
"Office Supplies","Appliances","Same Day","Sales - Profit","5178.9343"
"Office Supplies","Appliances","Same Day","(Sales - Profit)%","4.744100921012145"
"Office Supplies","Appliances","Same Day","Profit - Quantity","1014.6577"
"Office Supplies","Appliances","Same Day","(Profit - Quantity)%","13.177372727272727"
"Office Supplies","Appliances","Second Class","Quantity","324"
"Office Supplies","Appliances","Second Class","Profit","4906.6957"
"Office Supplies","Appliances","Second Class","Sales","26538.239"
"Office Supplies","Appliances","Second Class","Sales - Quantity","26214.239"
"Office Supplies","Appliances","Second Class","(Sales - Quantity)%","80.9081450617284"
"Office Supplies","Appliances","Second Class","Sales - Profit","21631.5433"
"Office Supplies","Appliances","Second Class","(Sales - Profit)%","4.408576488654065"
"Office Supplies","Appliances","Second Class","Profit - Quantity","4582.6957"
"Office Supplies","Appliances","Second Class","(Profit - Quantity)%","14.1441225308642"
"Office Supplies","Appliances","Standard Class","Quantity","1075"
"Office Supplies","Appliances","Standard Class","Profit","8595.7909"
"Office Supplies","Appliances","Standard Class","Sales","58997.306"
"Office Supplies","Appliances","Standard Class","Sales - Quantity","57922.306"
"Office Supplies","Appliances","Standard Class","(Sales - Quantity)%","53.88121488372093"
"Office Supplies","Appliances","Standard Class","Sales - Profit","50401.5151"
"Office Supplies","Appliances","Standard Class","(Sales - Profit)%","5.86351107028441"
"Office Supplies","Appliances","Standard Class","Profit - Quantity","7520.7909"
"Office Supplies","Appliances","Standard Class","(Profit - Quantity)%","6.996084558139534"
"Office Supplies","Paper","First Class","Quantity","785"
"Office Supplies","Paper","First Class","Profit","4919.2991"
"Office Supplies","Paper","First Class","Sales","11379.798"
"Office Supplies","Paper","First Class","Sales - Quantity","10594.798"
"Office Supplies","Paper","First Class","(Sales - Quantity)%","13.49655796178344"
"Office Supplies","Paper","First Class","Sales - Profit","6460.4989000000005"
"Office Supplies","Paper","First Class","(Sales - Profit)%","1.3132966239031898"
"Office Supplies","Paper","First Class","Profit - Quantity","4134.2991"
"Office Supplies","Paper","First Class","(Profit - Quantity)%","5.266623057324841"
"Office Supplies","Paper","Same Day","Quantity","287"
"Office Supplies","Paper","Same Day","Profit","2088.4229"
"Office Supplies","Paper","Same Day","Sales","4705.696"
"Office Supplies","Paper","Same Day","Sales - Quantity","4418.696"
"Office Supplies","Paper","Same Day","(Sales - Quantity)%","15.396153310104529"
"Office Supplies","Paper","Same Day","Sales - Profit","2617.2731"
"Office Supplies","Paper","Same Day","(Sales - Profit)%","1.2532294584588206"
"Office Supplies","Paper","Same Day","Profit - Quantity","1801.4229"
"Office Supplies","Paper","Same Day","(Profit - Quantity)%","6.276734843205575"
"Office Supplies","Paper","Second Class","Quantity","1122"
"Office Supplies","Paper","Second Class","Profit","7567.0288"
"Office Supplies","Paper","Second Class","Sales","17233.45"
"Office Supplies","Paper","Second Class","Sales - Quantity","16111.45"
"Office Supplies","Paper","Second Class","(Sales - Quantity)%","14.35958110516934"
"Office Supplies","Paper","Second Class","Sales - Profit","9666.4212"
"Office Supplies","Paper","Second Class","(Sales - Profit)%","1.2774394621043335"
"Office Supplies","Paper","Second Class","Profit - Quantity","6445.0288"
"Office Supplies","Paper","Second Class","(Profit - Quantity)%","5.744232442067737"
"Office Supplies","Paper","Standard Class","Quantity","2984"
"Office Supplies","Paper","Standard Class","Profit","19478.8185"
"Office Supplies","Paper","Standard Class","Sales","45160.262"
"Office Supplies","Paper","Standard Class","Sales - Quantity","42176.262"
"Office Supplies","Paper","Standard Class","(Sales - Quantity)%","14.134136058981234"
"Office Supplies","Paper","Standard Class","Sales - Profit","25681.4435"
"Office Supplies","Paper","Standard Class","(Sales - Profit)%","1.3184292209509525"
"Office Supplies","Paper","Standard Class","Profit - Quantity","16494.8185"
"Office Supplies","Paper","Standard Class","(Profit - Quantity)%","5.527754189008045"
"Office Supplies","Supplies","First Class","Quantity","74"
"Office Supplies","Supplies","First Class","Profit","113.1062"
"Office Supplies","Supplies","First Class","Sales","3568.294"
"Office Supplies","Supplies","First Class","Sales - Quantity","3494.294"
"Office Supplies","Supplies","First Class","(Sales - Quantity)%","47.220189189189185"
"Office Supplies","Supplies","First Class","Sales - Profit","3455.1877999999997"
"Office Supplies","Supplies","First Class","(Sales - Profit)%","30.54817330968594"
"Office Supplies","Supplies","First Class","Profit - Quantity","39.1062"
"Office Supplies","Supplies","First Class","(Profit - Quantity)%","0.5284621621621621"
"Office Supplies","Supplies","Same Day","Quantity","34"
"Office Supplies","Supplies","Same Day","Profit","78.9402"
"Office Supplies","Supplies","Same Day","Sales","510.31"
