Orders.Order Date.Variation.Date Hierarchy.Day,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales)
6,April,Qtr 2,2014,Furniture,Bookcases,,,
7,April,Qtr 2,2014,Furniture,Bookcases,,,
8,April,Qtr 2,2014,Furniture,Bookcases,,,
11,April,Qtr 2,2014,Furniture,Bookcases,,,
12,April,Qtr 2,2014,Furniture,Bookcases,-18.147,3,308.499
13,April,Qtr 2,2014,Furniture,Bookcases,,,
15,April,Qtr 2,2014,Furniture,Bookcases,,,
16,April,Qtr 2,2014,Furniture,Bookcases,,,
18,April,Qtr 2,2014,Furniture,Bookcases,,,
19,April,Qtr 2,2014,Furniture,Bookcases,,,
20,April,Qtr 2,2014,Furniture,Bookcases,,,
21,April,Qtr 2,2014,Furniture,Bookcases,,,
22,April,Qtr 2,2014,Furniture,Bookcases,,,
23,April,Qtr 2,2014,Furniture,Bookcases,,,
25,April,Qtr 2,2014,Furniture,Bookcases,,,
26,April,Qtr 2,2014,Furniture,Bookcases,,,
28,April,Qtr 2,2014,Furniture,Bookcases,,,
29,April,Qtr 2,2014,Furniture,Bookcases,,,
30,April,Qtr 2,2014,Furniture,Bookcases,,,
2,May,Qtr 2,2014,Furniture,Bookcases,,,
3,May,Qtr 2,2014,Furniture,Bookcases,,,
4,May,Qtr 2,2014,Furniture,Bookcases,,,
5,May,Qtr 2,2014,Furniture,Bookcases,,,
6,May,Qtr 2,2014,Furniture,Bookcases,,,
7,May,Qtr 2,2014,Furniture,Bookcases,,,
8,May,Qtr 2,2014,Furniture,Bookcases,,,
9,May,Qtr 2,2014,Furniture,Bookcases,,,
10,May,Qtr 2,2014,Furniture,Bookcases,-216.97830000000002,7,349.965
11,May,Qtr 2,2014,Furniture,Bookcases,,,
12,May,Qtr 2,2014,Furniture,Bookcases,,,
13,May,Qtr 2,2014,Furniture,Bookcases,,,
14,May,Qtr 2,2014,Furniture,Bookcases,,,
16,May,Qtr 2,2014,Furniture,Bookcases,,,
17,May,Qtr 2,2014,Furniture,Bookcases,,,
18,May,Qtr 2,2014,Furniture,Bookcases,,,
19,May,Qtr 2,2014,Furniture,Bookcases,,,
20,May,Qtr 2,2014,Furniture,Bookcases,,,
21,May,Qtr 2,2014,Furniture,Bookcases,,,
22,May,Qtr 2,2014,Furniture,Bookcases,,,
23,May,Qtr 2,2014,Furniture,Bookcases,,,
24,May,Qtr 2,2014,Furniture,Bookcases,,,
25,May,Qtr 2,2014,Furniture,Bookcases,,,
26,May,Qtr 2,2014,Furniture,Bookcases,27.356800000000007,2,290.666
27,May,Qtr 2,2014,Furniture,Bookcases,,,
28,May,Qtr 2,2014,Furniture,Bookcases,,,
30,May,Qtr 2,2014,Furniture,Bookcases,,,
31,May,Qtr 2,2014,Furniture,Bookcases,,,
1,June,Qtr 2,2014,Furniture,Bookcases,,,
2,June,Qtr 2,2014,Furniture,Bookcases,,,
3,June,Qtr 2,2014,Furniture,Bookcases,,,
4,June,Qtr 2,2014,Furniture,Bookcases,-44.196000000000026,2,353.568
6,June,Qtr 2,2014,Furniture,Bookcases,,,
7,June,Qtr 2,2014,Furniture,Bookcases,,,
8,June,Qtr 2,2014,Furniture,Bookcases,,,
9,June,Qtr 2,2014,Furniture,Bookcases,,,
10,June,Qtr 2,2014,Furniture,Bookcases,,,
13,June,Qtr 2,2014,Furniture,Bookcases,,,
14,June,Qtr 2,2014,Furniture,Bookcases,57.4938,3,212.94
15,June,Qtr 2,2014,Furniture,Bookcases,,,
16,June,Qtr 2,2014,Furniture,Bookcases,,,
17,June,Qtr 2,2014,Furniture,Bookcases,,,
18,June,Qtr 2,2014,Furniture,Bookcases,,,
20,June,Qtr 2,2014,Furniture,Bookcases,-19.874399999999994,4,193.0656
21,June,Qtr 2,2014,Furniture,Bookcases,,,
22,June,Qtr 2,2014,Furniture,Bookcases,,,
23,June,Qtr 2,2014,Furniture,Bookcases,,,
24,June,Qtr 2,2014,Furniture,Bookcases,,,
25,June,Qtr 2,2014,Furniture,Bookcases,,,
27,June,Qtr 2,2014,Furniture,Bookcases,,,
28,June,Qtr 2,2014,Furniture,Bookcases,,,
29,June,Qtr 2,2014,Furniture,Bookcases,,,
30,June,Qtr 2,2014,Furniture,Bookcases,,,
1,July,Qtr 3,2014,Furniture,Bookcases,,,
2,July,Qtr 3,2014,Furniture,Bookcases,,,
4,July,Qtr 3,2014,Furniture,Bookcases,,,
5,July,Qtr 3,2014,Furniture,Bookcases,,,
6,July,Qtr 3,2014,Furniture,Bookcases,,,
7,July,Qtr 3,2014,Furniture,Bookcases,,,
8,July,Qtr 3,2014,Furniture,Bookcases,,,
9,July,Qtr 3,2014,Furniture,Bookcases,7.0489999999999995,1,119.83299999999998
11,July,Qtr 3,2014,Furniture,Bookcases,,,
12,July,Qtr 3,2014,Furniture,Bookcases,,,
13,July,Qtr 3,2014,Furniture,Bookcases,,,
14,July,Qtr 3,2014,Furniture,Bookcases,,,
15,July,Qtr 3,2014,Furniture,Bookcases,,,
18,July,Qtr 3,2014,Furniture,Bookcases,,,
19,July,Qtr 3,2014,Furniture,Bookcases,,,
20,July,Qtr 3,2014,Furniture,Bookcases,,,
21,July,Qtr 3,2014,Furniture,Bookcases,,,
22,July,Qtr 3,2014,Furniture,Bookcases,,,
23,July,Qtr 3,2014,Furniture,Bookcases,,,
25,July,Qtr 3,2014,Furniture,Bookcases,,,
26,July,Qtr 3,2014,Furniture,Bookcases,,,
27,July,Qtr 3,2014,Furniture,Bookcases,,,
28,July,Qtr 3,2014,Furniture,Bookcases,,,
30,July,Qtr 3,2014,Furniture,Bookcases,259.8896,8,1367.84
1,August,Qtr 3,2014,Furniture,Bookcases,,,
2,August,Qtr 3,2014,Furniture,Bookcases,,,
3,August,Qtr 3,2014,Furniture,Bookcases,,,
4,August,Qtr 3,2014,Furniture,Bookcases,,,
5,August,Qtr 3,2014,Furniture,Bookcases,,,
6,August,Qtr 3,2014,Furniture,Bookcases,,,
8,August,Qtr 3,2014,Furniture,Bookcases,-7.7727999999999895,4,155.45600000000002
9,August,Qtr 3,2014,Furniture,Bookcases,,,
11,August,Qtr 3,2014,Furniture,Bookcases,,,
12,August,Qtr 3,2014,Furniture,Bookcases,,,
15,August,Qtr 3,2014,Furniture,Bookcases,,,
16,August,Qtr 3,2014,Furniture,Bookcases,,,
17,August,Qtr 3,2014,Furniture,Bookcases,,,
19,August,Qtr 3,2014,Furniture,Bookcases,172.4814,9,638.82
20,August,Qtr 3,2014,Furniture,Bookcases,,,
22,August,Qtr 3,2014,Furniture,Bookcases,,,
23,August,Qtr 3,2014,Furniture,Bookcases,,,
24,August,Qtr 3,2014,Furniture,Bookcases,,,
25,August,Qtr 3,2014,Furniture,Bookcases,,,
26,August,Qtr 3,2014,Furniture,Bookcases,,,
27,August,Qtr 3,2014,Furniture,Bookcases,,,
29,August,Qtr 3,2014,Furniture,Bookcases,,,
30,August,Qtr 3,2014,Furniture,Bookcases,,,
31,August,Qtr 3,2014,Furniture,Bookcases,,,
1,September,Qtr 3,2014,Furniture,Bookcases,,,
2,September,Qtr 3,2014,Furniture,Bookcases,,,
3,September,Qtr 3,2014,Furniture,Bookcases,,,
5,September,Qtr 3,2014,Furniture,Bookcases,,,
6,September,Qtr 3,2014,Furniture,Bookcases,,,
7,September,Qtr 3,2014,Furniture,Bookcases,,,
8,September,Qtr 3,2014,Furniture,Bookcases,,,
9,September,Qtr 3,2014,Furniture,Bookcases,,,
10,September,Qtr 3,2014,Furniture,Bookcases,,,
11,September,Qtr 3,2014,Furniture,Bookcases,,,
12,September,Qtr 3,2014,Furniture,Bookcases,,,
13,September,Qtr 3,2014,Furniture,Bookcases,,,
14,September,Qtr 3,2014,Furniture,Bookcases,,,
15,September,Qtr 3,2014,Furniture,Bookcases,,,
16,September,Qtr 3,2014,Furniture,Bookcases,,,
17,September,Qtr 3,2014,Furniture,Bookcases,,,
19,September,Qtr 3,2014,Furniture,Bookcases,,,
20,September,Qtr 3,2014,Furniture,Bookcases,-44.21560000000004,10,1657.938
21,September,Qtr 3,2014,Furniture,Bookcases,,,
22,September,Qtr 3,2014,Furniture,Bookcases,,,
23,September,Qtr 3,2014,Furniture,Bookcases,20.517599999999987,3,435.999
24,September,Qtr 3,2014,Furniture,Bookcases,,,
25,September,Qtr 3,2014,Furniture,Bookcases,-97.23120000000003,2,300.53279999999995
26,September,Qtr 3,2014,Furniture,Bookcases,,,
27,September,Qtr 3,2014,Furniture,Bookcases,,,
28,September,Qtr 3,2014,Furniture,Bookcases,,,
29,September,Qtr 3,2014,Furniture,Bookcases,,,
30,September,Qtr 3,2014,Furniture,Bookcases,,,
1,October,Qtr 4,2014,Furniture,Bookcases,,,
2,October,Qtr 4,2014,Furniture,Bookcases,,,
3,October,Qtr 4,2014,Furniture,Bookcases,,,
4,October,Qtr 4,2014,Furniture,Bookcases,,,
5,October,Qtr 4,2014,Furniture,Bookcases,,,
6,October,Qtr 4,2014,Furniture,Bookcases,,,
7,October,Qtr 4,2014,Furniture,Bookcases,,,
8,October,Qtr 4,2014,Furniture,Bookcases,,,
9,October,Qtr 4,2014,Furniture,Bookcases,,,
10,October,Qtr 4,2014,Furniture,Bookcases,,,
11,October,Qtr 4,2014,Furniture,Bookcases,,,
12,October,Qtr 4,2014,Furniture,Bookcases,,,
13,October,Qtr 4,2014,Furniture,Bookcases,,,
14,October,Qtr 4,2014,Furniture,Bookcases,,,
15,October,Qtr 4,2014,Furniture,Bookcases,,,
16,October,Qtr 4,2014,Furniture,Bookcases,,,
17,October,Qtr 4,2014,Furniture,Bookcases,,,
18,October,Qtr 4,2014,Furniture,Bookcases,,,
19,October,Qtr 4,2014,Furniture,Bookcases,,,
20,October,Qtr 4,2014,Furniture,Bookcases,,,
21,October,Qtr 4,2014,Furniture,Bookcases,,,
22,October,Qtr 4,2014,Furniture,Bookcases,,,
24,October,Qtr 4,2014,Furniture,Bookcases,,,
25,October,Qtr 4,2014,Furniture,Bookcases,,,
26,October,Qtr 4,2014,Furniture,Bookcases,,,
27,October,Qtr 4,2014,Furniture,Bookcases,,,
28,October,Qtr 4,2014,Furniture,Bookcases,-36.294,6,616.998
29,October,Qtr 4,2014,Furniture,Bookcases,,,
31,October,Qtr 4,2014,Furniture,Bookcases,,,
1,November,Qtr 4,2014,Furniture,Bookcases,,,
2,November,Qtr 4,2014,Furniture,Bookcases,,,
3,November,Qtr 4,2014,Furniture,Bookcases,,,
4,November,Qtr 4,2014,Furniture,Bookcases,,,
5,November,Qtr 4,2014,Furniture,Bookcases,,,
6,November,Qtr 4,2014,Furniture,Bookcases,,,
7,November,Qtr 4,2014,Furniture,Bookcases,,,
8,November,Qtr 4,2014,Furniture,Bookcases,,,
9,November,Qtr 4,2014,Furniture,Bookcases,10.47839999999998,2,222.66599999999997
10,November,Qtr 4,2014,Furniture,Bookcases,,,
11,November,Qtr 4,2014,Furniture,Bookcases,-250.5408,4,521.96
12,November,Qtr 4,2014,Furniture,Bookcases,-12.998700000000007,1,67.99319999999999
14,November,Qtr 4,2014,Furniture,Bookcases,,,
15,November,Qtr 4,2014,Furniture,Bookcases,,,
16,November,Qtr 4,2014,Furniture,Bookcases,25.19789999999997,3,305.9745
17,November,Qtr 4,2014,Furniture,Bookcases,-50.0980000000003,10,4007.8400000000006
18,November,Qtr 4,2014,Furniture,Bookcases,-30.293999999999983,6,424.116
19,November,Qtr 4,2014,Furniture,Bookcases,235.9524,6,1025.8799999999999
20,November,Qtr 4,2014,Furniture,Bookcases,,,
21,November,Qtr 4,2014,Furniture,Bookcases,,,
22,November,Qtr 4,2014,Furniture,Bookcases,,,
23,November,Qtr 4,2014,Furniture,Bookcases,,,
24,November,Qtr 4,2014,Furniture,Bookcases,,,
25,November,Qtr 4,2014,Furniture,Bookcases,-37.943400000000025,3,275.952
26,November,Qtr 4,2014,Furniture,Bookcases,,,
27,November,Qtr 4,2014,Furniture,Bookcases,,,
28,November,Qtr 4,2014,Furniture,Bookcases,-4.839199999999977,4,411.332
29,November,Qtr 4,2014,Furniture,Bookcases,,,
30,November,Qtr 4,2014,Furniture,Bookcases,,,
1,December,Qtr 4,2014,Furniture,Bookcases,,,
2,December,Qtr 4,2014,Furniture,Bookcases,-110.49000000000007,5,883.92
3,December,Qtr 4,2014,Furniture,Bookcases,,,
4,December,Qtr 4,2014,Furniture,Bookcases,,,
5,December,Qtr 4,2014,Furniture,Bookcases,,,
6,December,Qtr 4,2014,Furniture,Bookcases,,,
7,December,Qtr 4,2014,Furniture,Bookcases,,,
8,December,Qtr 4,2014,Furniture,Bookcases,,,
9,December,Qtr 4,2014,Furniture,Bookcases,,,
10,December,Qtr 4,2014,Furniture,Bookcases,,,
12,December,Qtr 4,2014,Furniture,Bookcases,11.998799999999989,3,254.97449999999998
13,December,Qtr 4,2014,Furniture,Bookcases,,,
14,December,Qtr 4,2014,Furniture,Bookcases,,,
15,December,Qtr 4,2014,Furniture,Bookcases,,,
16,December,Qtr 4,2014,Furniture,Bookcases,,,
17,December,Qtr 4,2014,Furniture,Bookcases,,,
19,December,Qtr 4,2014,Furniture,Bookcases,,,
20,December,Qtr 4,2014,Furniture,Bookcases,,,
21,December,Qtr 4,2014,Furniture,Bookcases,,,
22,December,Qtr 4,2014,Furniture,Bookcases,,,
23,December,Qtr 4,2014,Furniture,Bookcases,,,
24,December,Qtr 4,2014,Furniture,Bookcases,,,
26,December,Qtr 4,2014,Furniture,Bookcases,,,
27,December,Qtr 4,2014,Furniture,Bookcases,,,
28,December,Qtr 4,2014,Furniture,Bookcases,,,
29,December,Qtr 4,2014,Furniture,Bookcases,,,
30,December,Qtr 4,2014,Furniture,Bookcases,,,
31,December,Qtr 4,2014,Furniture,Bookcases,275.33679999999987,9,1915.448
3,January,Qtr 1,2014,Furniture,Chairs,,,
4,January,Qtr 1,2014,Furniture,Chairs,,,
5,January,Qtr 1,2014,Furniture,Chairs,,,
6,January,Qtr 1,2014,Furniture,Chairs,746.4077999999997,9,2573.82
7,January,Qtr 1,2014,Furniture,Chairs,,,
9,January,Qtr 1,2014,Furniture,Chairs,,,
10,January,Qtr 1,2014,Furniture,Chairs,,,
11,January,Qtr 1,2014,Furniture,Chairs,,,
13,January,Qtr 1,2014,Furniture,Chairs,87.35040000000004,6,545.9399999999999
14,January,Qtr 1,2014,Furniture,Chairs,,,
15,January,Qtr 1,2014,Furniture,Chairs,,,
16,January,Qtr 1,2014,Furniture,Chairs,,,
18,January,Qtr 1,2014,Furniture,Chairs,,,
19,January,Qtr 1,2014,Furniture,Chairs,,,
20,January,Qtr 1,2014,Furniture,Chairs,224.2673999999999,3,1067.94
21,January,Qtr 1,2014,Furniture,Chairs,,,
23,January,Qtr 1,2014,Furniture,Chairs,,,
26,January,Qtr 1,2014,Furniture,Chairs,,,
27,January,Qtr 1,2014,Furniture,Chairs,,,
28,January,Qtr 1,2014,Furniture,Chairs,,,
30,January,Qtr 1,2014,Furniture,Chairs,,,
31,January,Qtr 1,2014,Furniture,Chairs,,,
1,February,Qtr 1,2014,Furniture,Chairs,,,
2,February,Qtr 1,2014,Furniture,Chairs,,,
3,February,Qtr 1,2014,Furniture,Chairs,,,
4,February,Qtr 1,2014,Furniture,Chairs,,,
6,February,Qtr 1,2014,Furniture,Chairs,,,
7,February,Qtr 1,2014,Furniture,Chairs,,,
8,February,Qtr 1,2014,Furniture,Chairs,,,
11,February,Qtr 1,2014,Furniture,Chairs,15.222499999999997,1,60.89
12,February,Qtr 1,2014,Furniture,Chairs,-24.29400000000002,2,129.568
14,February,Qtr 1,2014,Furniture,Chairs,,,
15,February,Qtr 1,2014,Furniture,Chairs,,,
16,February,Qtr 1,2014,Furniture,Chairs,,,
17,February,Qtr 1,2014,Furniture,Chairs,,,
18,February,Qtr 1,2014,Furniture,Chairs,,,
20,February,Qtr 1,2014,Furniture,Chairs,,,
21,February,Qtr 1,2014,Furniture,Chairs,,,
22,February,Qtr 1,2014,Furniture,Chairs,,,
23,February,Qtr 1,2014,Furniture,Chairs,,,
24,February,Qtr 1,2014,Furniture,Chairs,,,
27,February,Qtr 1,2014,Furniture,Chairs,,,
1,March,Qtr 1,2014,Furniture,Chairs,-120.64080000000008,14,1453.934
2,March,Qtr 1,2014,Furniture,Chairs,,,
3,March,Qtr 1,2014,Furniture,Chairs,,,
4,March,Qtr 1,2014,Furniture,Chairs,,,
5,March,Qtr 1,2014,Furniture,Chairs,,,
7,March,Qtr 1,2014,Furniture,Chairs,81.49169999999991,9,966.9840000000002
10,March,Qtr 1,2014,Furniture,Chairs,,,
11,March,Qtr 1,2014,Furniture,Chairs,,,
14,March,Qtr 1,2014,Furniture,Chairs,284.98,4,1139.92
15,March,Qtr 1,2014,Furniture,Chairs,,,
16,March,Qtr 1,2014,Furniture,Chairs,,,
17,March,Qtr 1,2014,Furniture,Chairs,,,
18,March,Qtr 1,2014,Furniture,Chairs,,,
19,March,Qtr 1,2014,Furniture,Chairs,,,
21,March,Qtr 1,2014,Furniture,Chairs,-10.918799999999983,3,218.376
22,March,Qtr 1,2014,Furniture,Chairs,-35.36460000000001,3,314.352
23,March,Qtr 1,2014,Furniture,Chairs,,,
24,March,Qtr 1,2014,Furniture,Chairs,,,
25,March,Qtr 1,2014,Furniture,Chairs,65.2064,7,366.786
26,March,Qtr 1,2014,Furniture,Chairs,,,
28,March,Qtr 1,2014,Furniture,Chairs,,,
29,March,Qtr 1,2014,Furniture,Chairs,,,
30,March,Qtr 1,2014,Furniture,Chairs,-9.092999999999996,7,127.30199999999999
31,March,Qtr 1,2014,Furniture,Chairs,98.48020000000008,7,1125.4879999999998
1,April,Qtr 2,2014,Furniture,Chairs,,,
2,April,Qtr 2,2014,Furniture,Chairs,,,
3,April,Qtr 2,2014,Furniture,Chairs,,,
4,April,Qtr 2,2014,Furniture,Chairs,,,
5,April,Qtr 2,2014,Furniture,Chairs,,,
6,April,Qtr 2,2014,Furniture,Chairs,,,
7,April,Qtr 2,2014,Furniture,Chairs,,,
8,April,Qtr 2,2014,Furniture,Chairs,,,
11,April,Qtr 2,2014,Furniture,Chairs,,,
12,April,Qtr 2,2014,Furniture,Chairs,,,
13,April,Qtr 2,2014,Furniture,Chairs,,,
15,April,Qtr 2,2014,Furniture,Chairs,,,
16,April,Qtr 2,2014,Furniture,Chairs,,,
18,April,Qtr 2,2014,Furniture,Chairs,-18.117599999999996,3,317.058
19,April,Qtr 2,2014,Furniture,Chairs,,,
20,April,Qtr 2,2014,Furniture,Chairs,,,
21,April,Qtr 2,2014,Furniture,Chairs,,,
22,April,Qtr 2,2014,Furniture,Chairs,,,
23,April,Qtr 2,2014,Furniture,Chairs,-24.11759999999998,4,562.7439999999999
25,April,Qtr 2,2014,Furniture,Chairs,148.70400000000006,5,1487.04
26,April,Qtr 2,2014,Furniture,Chairs,23.02799999999999,3,230.28000000000003
28,April,Qtr 2,2014,Furniture,Chairs,,,
29,April,Qtr 2,2014,Furniture,Chairs,83.18799999999993,4,613.5440000000001
30,April,Qtr 2,2014,Furniture,Chairs,,,
2,May,Qtr 2,2014,Furniture,Chairs,,,
3,May,Qtr 2,2014,Furniture,Chairs,,,
4,May,Qtr 2,2014,Furniture,Chairs,,,
5,May,Qtr 2,2014,Furniture,Chairs,-9.133500000000012,3,127.869
6,May,Qtr 2,2014,Furniture,Chairs,,,
7,May,Qtr 2,2014,Furniture,Chairs,244.2496,4,872.32
8,May,Qtr 2,2014,Furniture,Chairs,,,
9,May,Qtr 2,2014,Furniture,Chairs,,,
10,May,Qtr 2,2014,Furniture,Chairs,32.09799999999997,1,256.78400000000005
11,May,Qtr 2,2014,Furniture,Chairs,-69.3119999999999,8,1212.9599999999998
12,May,Qtr 2,2014,Furniture,Chairs,,,
13,May,Qtr 2,2014,Furniture,Chairs,20.959199999999996,6,279.456
14,May,Qtr 2,2014,Furniture,Chairs,,,
16,May,Qtr 2,2014,Furniture,Chairs,17.466000000000008,5,232.88
17,May,Qtr 2,2014,Furniture,Chairs,,,
18,May,Qtr 2,2014,Furniture,Chairs,,,
19,May,Qtr 2,2014,Furniture,Chairs,,,
20,May,Qtr 2,2014,Furniture,Chairs,,,
21,May,Qtr 2,2014,Furniture,Chairs,-29.25240000000001,2,107.772
22,May,Qtr 2,2014,Furniture,Chairs,,,
23,May,Qtr 2,2014,Furniture,Chairs,,,
24,May,Qtr 2,2014,Furniture,Chairs,,,
25,May,Qtr 2,2014,Furniture,Chairs,,,
26,May,Qtr 2,2014,Furniture,Chairs,17.389999999999937,4,585.068
27,May,Qtr 2,2014,Furniture,Chairs,,,
28,May,Qtr 2,2014,Furniture,Chairs,,,
30,May,Qtr 2,2014,Furniture,Chairs,,,
31,May,Qtr 2,2014,Furniture,Chairs,,,
1,June,Qtr 2,2014,Furniture,Chairs,580.5393999999999,7,2001.8600000000001
2,June,Qtr 2,2014,Furniture,Chairs,,,
3,June,Qtr 2,2014,Furniture,Chairs,,,
4,June,Qtr 2,2014,Furniture,Chairs,,,
6,June,Qtr 2,2014,Furniture,Chairs,,,
7,June,Qtr 2,2014,Furniture,Chairs,,,
8,June,Qtr 2,2014,Furniture,Chairs,83.84099999999997,6,755.904
9,June,Qtr 2,2014,Furniture,Chairs,,,
10,June,Qtr 2,2014,Furniture,Chairs,,,
13,June,Qtr 2,2014,Furniture,Chairs,,,
14,June,Qtr 2,2014,Furniture,Chairs,,,
15,June,Qtr 2,2014,Furniture,Chairs,-56.99599999999998,4,797.944
16,June,Qtr 2,2014,Furniture,Chairs,32.39199999999994,8,647.84
17,June,Qtr 2,2014,Furniture,Chairs,,,
18,June,Qtr 2,2014,Furniture,Chairs,,,
20,June,Qtr 2,2014,Furniture,Chairs,,,
21,June,Qtr 2,2014,Furniture,Chairs,,,
22,June,Qtr 2,2014,Furniture,Chairs,-4.858799999999988,8,1023.9879999999998
23,June,Qtr 2,2014,Furniture,Chairs,,,
24,June,Qtr 2,2014,Furniture,Chairs,,,
25,June,Qtr 2,2014,Furniture,Chairs,,,
27,June,Qtr 2,2014,Furniture,Chairs,,,
28,June,Qtr 2,2014,Furniture,Chairs,0,5,1228.465
29,June,Qtr 2,2014,Furniture,Chairs,,,
30,June,Qtr 2,2014,Furniture,Chairs,,,
1,July,Qtr 3,2014,Furniture,Chairs,,,
2,July,Qtr 3,2014,Furniture,Chairs,,,
4,July,Qtr 3,2014,Furniture,Chairs,,,
5,July,Qtr 3,2014,Furniture,Chairs,,,
6,July,Qtr 3,2014,Furniture,Chairs,47.84800000000001,2,478.48
7,July,Qtr 3,2014,Furniture,Chairs,-46.73620000000001,2,172.18599999999998
8,July,Qtr 3,2014,Furniture,Chairs,10.647000000000004,1,63.882000000000005
9,July,Qtr 3,2014,Furniture,Chairs,,,
11,July,Qtr 3,2014,Furniture,Chairs,213.735,3,854.94
12,July,Qtr 3,2014,Furniture,Chairs,-0.7859999999999658,7,635.4939999999999
13,July,Qtr 3,2014,Furniture,Chairs,,,
14,July,Qtr 3,2014,Furniture,Chairs,,,
15,July,Qtr 3,2014,Furniture,Chairs,,,
18,July,Qtr 3,2014,Furniture,Chairs,-25.913599999999988,4,259.136
