Level 0 Description,Level 1 Description,Level 2 Description,Region,Sub Region,Value Column Name,Value
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Plan - 2020 Gross Sales","-306952664.4000007"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","Actuals - 2020 Gross Sales","-933269737.4900007"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","Actuals - 2020 Plan","-626317073.09"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(Actuals - 2020 Plan)%","-2.0404353691285264"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Plan","-537888287.0299997"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","Actuals","-1619829857.1099994"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Actuals","-534912672.59999985"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Actuals - 2020 Gross Sales","-534912672.59999985"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Actuals - 2020 Plan","2975614.429999888"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(2020 Actuals - 2020 Plan)%","0.005532030538218299"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Actuals - Actuals","1084917184.5099995"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(2020 Actuals - Actuals)%","0.6697723095718472"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","2020 Plan - 2020 Gross Sales","-537888287.0299997"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","Actuals - 2020 Gross Sales","-1619829857.1099994"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","Actuals - 2020 Plan","-1081941570.0799997"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Pacific","(Actuals - 2020 Plan)%","-2.011461480327153"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Gross Sales","892792152.02"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Plan","762127429.9199997"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","Actuals","2330710401.649996"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Actuals","810701513.0100008"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Actuals - 2020 Gross Sales","-82090639.00999916"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(2020 Actuals - 2020 Gross Sales)%","-0.09194820857717417"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Actuals - 2020 Plan","48574083.090001106"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(2020 Actuals - 2020 Plan)%","0.06373485743073165"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Actuals - Actuals","-1520008888.639995"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(2020 Actuals - Actuals)%","-0.6521654889272922"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","2020 Plan - 2020 Gross Sales","-130664722.10000026"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(2020 Plan - 2020 Gross Sales)%","-0.14635514190437593"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","Actuals - 2020 Gross Sales","1437918249.6299958"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(Actuals - 2020 Gross Sales)%","1.6105856736941662"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","Actuals - 2020 Plan","1568582971.7299962"
"Operating Profit","Gross Profit","Net Revenue","International","APAC","(Actuals - 2020 Plan)%","2.0581636484264183"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Gross Sales","1767391026.6600006"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Plan","1573856931.700001"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","Actuals","4805988981.029997"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Actuals","1604950417.2600024"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Actuals - 2020 Gross Sales","-162440609.3999982"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(2020 Actuals - 2020 Gross Sales)%","-0.09190983033730626"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Actuals - 2020 Plan","31093485.560001373"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(2020 Actuals - 2020 Plan)%","0.019756233831505737"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Actuals - Actuals","-3201038563.7699947"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(2020 Actuals - Actuals)%","-0.6660519981225516"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","2020 Plan - 2020 Gross Sales","-193534094.95999956"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(2020 Plan - 2020 Gross Sales)%","-0.10950270316000106"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","Actuals - 2020 Gross Sales","3038597954.369996"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(Actuals - 2020 Gross Sales)%","1.7192561852666588"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","Actuals - 2020 Plan","3232132049.329996"
"Operating Profit","Gross Profit","Net Revenue","International","EMEA","(Actuals - 2020 Plan)%","2.0536377762359947"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Gross Sales","889073068.6399997"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Plan","794702029.2799999"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","Actuals","2376797085.6900005"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Actuals","811267201.3199993"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Actuals - 2020 Gross Sales","-77805867.32000041"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(2020 Actuals - 2020 Gross Sales)%","-0.08751346775020273"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Actuals - 2020 Plan","16565172.039999485"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(2020 Actuals - 2020 Plan)%","0.02084450703492922"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Actuals - Actuals","-1565529884.3700013"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(2020 Actuals - Actuals)%","-0.6586720817673491"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","2020 Plan - 2020 Gross Sales","-94371039.3599999"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(2020 Plan - 2020 Gross Sales)%","-0.10614542571214951"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","Actuals - 2020 Gross Sales","1487724017.0500007"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(Actuals - 2020 Gross Sales)%","1.6733427988385108"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","Actuals - 2020 Plan","1582095056.4100008"
"Operating Profit","Gross Profit","Net Revenue","United States","Central","(Actuals - 2020 Plan)%","1.9908028394533976"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Gross Sales","1808507804.6800003"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Plan","1579013017.1700003"
"Operating Profit","Gross Profit","Net Revenue","United States","East","Actuals","4810459882.060001"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Actuals","1644639913.9599998"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Actuals - 2020 Gross Sales","-163867890.7200005"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(2020 Actuals - 2020 Gross Sales)%","-0.09060944624952587"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Actuals - 2020 Plan","65626896.789999485"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(2020 Actuals - 2020 Plan)%","0.04156197325568592"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Actuals - Actuals","-3165819968.1000013"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(2020 Actuals - Actuals)%","-0.6581117077613565"
"Operating Profit","Gross Profit","Net Revenue","United States","East","2020 Plan - 2020 Gross Sales","-229494787.51"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(2020 Plan - 2020 Gross Sales)%","-0.12689731662540826"
"Operating Profit","Gross Profit","Net Revenue","United States","East","Actuals - 2020 Gross Sales","3001952077.380001"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(Actuals - 2020 Gross Sales)%","1.659905514154621"
"Operating Profit","Gross Profit","Net Revenue","United States","East","Actuals - 2020 Plan","3231446864.8900013"
"Operating Profit","Gross Profit","Net Revenue","United States","East","(Actuals - 2020 Plan)%","2.0464979260789056"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Gross Sales","663758446.3800001"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Plan","586672064.37"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","Actuals","1781845595.4399989"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Actuals","603452840.6599989"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Actuals - 2020 Gross Sales","-60305605.72000122"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(2020 Actuals - 2020 Gross Sales)%","-0.09085474700758295"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Actuals - 2020 Plan","16780776.28999889"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(2020 Actuals - 2020 Plan)%","0.028603332780160563"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Actuals - Actuals","-1178392754.78"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(2020 Actuals - Actuals)%","-0.661332697847489"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","2020 Plan - 2020 Gross Sales","-77086382.01000011"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(2020 Plan - 2020 Gross Sales)%","-0.11613619748330606"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","Actuals - 2020 Gross Sales","1118087149.0599988"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(Actuals - 2020 Gross Sales)%","1.6844789774922075"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","Actuals - 2020 Plan","1195173531.0699987"
"Operating Profit","Gross Profit","Net Revenue","United States","Midwest","(Actuals - 2020 Plan)%","2.0372088661720076"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Gross Sales","1118500960.6999998"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Plan","1022990787.0700003"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","Actuals","3083996857.1300015"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Actuals","1018299672.6699997"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Actuals - 2020 Gross Sales","-100201288.03000009"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(2020 Actuals - 2020 Gross Sales)%","-0.08958533926273106"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Actuals - 2020 Plan","-4691114.400000572"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(2020 Actuals - 2020 Plan)%","-0.004585685872535206"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Actuals - Actuals","-2065697184.460002"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(2020 Actuals - Actuals)%","-0.6698117022020447"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","2020 Plan - 2020 Gross Sales","-95510173.62999952"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(2020 Plan - 2020 Gross Sales)%","-0.08539123075068765"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","Actuals - 2020 Gross Sales","1965495896.4300017"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(Actuals - 2020 Gross Sales)%","1.7572590149586644"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","Actuals - 2020 Plan","2061006070.0600014"
"Operating Profit","Gross Profit","Net Revenue","United States","Pacific","(Actuals - 2020 Plan)%","2.0146868340457234"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Plan","-20898046.51999999"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","Actuals","-59114741.76000002"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Actuals","-21486232.1"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Actuals - 2020 Gross Sales","-21486232.1"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Actuals - 2020 Plan","-588185.5800000131"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(2020 Actuals - 2020 Plan)%","-0.02814548141794516"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Actuals - Actuals","37628509.66000002"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(2020 Actuals - Actuals)%","0.6365334354799016"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","2020 Plan - 2020 Gross Sales","-20898046.51999999"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","Actuals - 2020 Gross Sales","-59114741.76000002"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","Actuals - 2020 Plan","-38216695.24000003"
"Operating Profit","Operating Expenses","IT Expenses","International","APAC","(Actuals - 2020 Plan)%","-1.8287209382669158"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Plan","-35602953.08"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","Actuals","-116259463.76"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Actuals","-36758130.82000001"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Actuals - 2020 Gross Sales","-36758130.82000001"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Actuals - 2020 Plan","-1155177.7400000095"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(2020 Actuals - 2020 Plan)%","-0.032446121460888926"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Actuals - Actuals","79501332.94"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(2020 Actuals - Actuals)%","0.6838267644526419"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","2020 Plan - 2020 Gross Sales","-35602953.08"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","Actuals - 2020 Gross Sales","-116259463.76"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","Actuals - 2020 Plan","-80656510.68"
"Operating Profit","Operating Expenses","IT Expenses","International","EMEA","(Actuals - 2020 Plan)%","-2.2654444000407623"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Plan","-18357242.71"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","Actuals","-55744136.73999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Actuals","-19166992.78999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Actuals - 2020 Gross Sales","-19166992.78999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Actuals - 2020 Plan","-809750.0799999908"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(2020 Actuals - 2020 Plan)%","-0.044110659361652614"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Actuals - Actuals","36577143.949999996"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(2020 Actuals - Actuals)%","0.6561612770254555"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","2020 Plan - 2020 Gross Sales","-18357242.71"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","Actuals - 2020 Gross Sales","-55744136.73999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","Actuals - 2020 Plan","-37386894.02999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Central","(Actuals - 2020 Plan)%","-2.0366290635594035"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Plan","-36076635.47999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","Actuals","-113136299.94000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Actuals","-38208859.379999995"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Actuals - 2020 Gross Sales","-38208859.379999995"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Actuals - 2020 Plan","-2132223.900000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(2020 Actuals - 2020 Plan)%","-0.05910262616318695"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Actuals - Actuals","74927440.56000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(2020 Actuals - Actuals)%","0.6622758619447214"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","2020 Plan - 2020 Gross Sales","-36076635.47999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","East","Actuals - 2020 Gross Sales","-113136299.94000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","East","Actuals - 2020 Plan","-77059664.46000007"
"Operating Profit","Operating Expenses","IT Expenses","United States","East","(Actuals - 2020 Plan)%","-2.135999198226788"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Plan","-17460328.20999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","Actuals","-48806047.7"
