Fiscal Year,Subcategory,Group,Value Column Name,Value
"FY2019","Helmets","Europe","Sales Amount","13020.3512"
"FY2019","Helmets","North America","Sales Amount","85521.9929"
"FY2019","Helmets","Pacific","Sales Amount","1119.68"
"FY2019","Shorts","Europe","Sales Amount","9932.346"
"FY2019","Shorts","North America","Sales Amount","72316.2281"
"FY2019","Shorts","Pacific","Sales Amount",
"FY2019","Forks","Europe","Sales Amount","10281.3"
"FY2019","Forks","North America","Sales Amount","67650.3896"
"FY2019","Forks","Pacific","Sales Amount",
"FY2019","Handlebars","Europe","Sales Amount","7765.3486"
"FY2019","Handlebars","North America","Sales Amount","69338.7131"
"FY2019","Handlebars","Pacific","Sales Amount",
"FY2019","Headsets","Europe","Sales Amount","6589.2815"
"FY2019","Headsets","North America","Sales Amount","54352.9169"
"FY2019","Headsets","Pacific","Sales Amount",
"FY2019","Locks","Europe","Sales Amount","1785"
"FY2019","Locks","North America","Sales Amount","14440.22"
"FY2019","Locks","Pacific","Sales Amount",
"FY2019","Pumps","Europe","Sales Amount","1778.8941"
"FY2019","Pumps","North America","Sales Amount","11735.7932"
"FY2019","Pumps","Pacific","Sales Amount",
"FY2019","Caps","Europe","Sales Amount","1427.8436"
"FY2019","Caps","North America","Sales Amount","10648.5332"
"FY2019","Caps","Pacific","Sales Amount","89.9"
"FY2019","Tires and Tubes","Europe","Sales Amount","1563.75"
"FY2019","Tires and Tubes","North America","Sales Amount","1241.81"
"FY2019","Tires and Tubes","Pacific","Sales Amount","908.65"
"FY2019","Bottles and Cages","Europe","Sales Amount","638.13"
"FY2019","Bottles and Cages","North America","Sales Amount","589.2"
"FY2019","Bottles and Cages","Pacific","Sales Amount","539.27"
"FY2019","Fenders","Europe","Sales Amount","153.86"
"FY2019","Fenders","North America","Sales Amount","571.48"
"FY2019","Fenders","Pacific","Sales Amount","373.66"
"FY2019","Bike Racks","Europe","Sales Amount","240"
"FY2019","Bike Racks","North America","Sales Amount","360"
"FY2019","Bike Racks","Pacific","Sales Amount","480"
"FY2019","Hydration Packs","Europe","Sales Amount","329.94"
"FY2019","Hydration Packs","North America","Sales Amount","439.92"
"FY2019","Hydration Packs","Pacific","Sales Amount","274.95"
"FY2019","Vests","Europe","Sales Amount","254"
"FY2019","Vests","North America","Sales Amount","444.5"
"FY2019","Vests","Pacific","Sales Amount","254"
"FY2019","Bike Stands","Europe","Sales Amount","159"
"FY2019","Bike Stands","North America","Sales Amount","318"
"FY2019","Bike Stands","Pacific","Sales Amount","159"
"FY2019","Cleaners","Europe","Sales Amount","63.6"
"FY2019","Cleaners","North America","Sales Amount","47.7"
"FY2019","Cleaners","Pacific","Sales Amount","47.7"
"FY2019","Socks","Europe","Sales Amount","17.98"
"FY2019","Socks","North America","Sales Amount","17.98"
"FY2019","Socks","Pacific","Sales Amount","17.98"
"FY2018","Road Bikes","Europe","Sales Amount","1289802.617"
"FY2018","Road Bikes","North America","Sales Amount","9298073.8874"
"FY2018","Road Bikes","Pacific","Sales Amount","1981862.9608"
"FY2018","Mountain Bikes","Europe","Sales Amount","312627.614"
"FY2018","Mountain Bikes","North America","Sales Amount","8990788.2196"
"FY2018","Mountain Bikes","Pacific","Sales Amount","717828.1712"
"FY2018","Mountain Frames","Europe","Sales Amount",
"FY2018","Mountain Frames","North America","Sales Amount","720080.6026"
"FY2018","Mountain Frames","Pacific","Sales Amount",
"FY2018","Road Frames","Europe","Sales Amount",
"FY2018","Road Frames","North America","Sales Amount","446684.7127"
"FY2018","Road Frames","Pacific","Sales Amount",
"FY2018","Jerseys","Europe","Sales Amount",
"FY2018","Jerseys","North America","Sales Amount","54673.099"
"FY2018","Jerseys","Pacific","Sales Amount",
"FY2018","Helmets","Europe","Sales Amount",
"FY2018","Helmets","North America","Sales Amount","36814.8464"
"FY2018","Helmets","Pacific","Sales Amount",
"FY2018","Socks","Europe","Sales Amount",
"FY2018","Socks","North America","Sales Amount","6573.3884"
"FY2018","Socks","Pacific","Sales Amount",
"FY2018","Caps","Europe","Sales Amount",
"FY2018","Caps","North America","Sales Amount","5081.0472"
"FY2018","Caps","Pacific","Sales Amount",
