Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 2,2015,Office Supplies,Appliances,-523.312600000001,6610.725999999999
Qtr 3,2015,Office Supplies,Appliances,694.2234999999998,3321.588
Qtr 4,2015,Office Supplies,Appliances,2380.0922999999993,11189.171000000002
Qtr 1,2016,Office Supplies,Appliances,497.55929999999995,3274.4959999999996
Qtr 2,2016,Office Supplies,Appliances,521.5242999999999,4327.446
Qtr 3,2016,Office Supplies,Appliances,1218.740099999999,7761.788
Qtr 4,2016,Office Supplies,Appliances,3063.5178,10686.584999999997
Qtr 1,2017,Office Supplies,Appliances,1708.7566999999995,8543.096
Qtr 2,2017,Office Supplies,Appliances,1445.0907999999997,6382.601999999999
Qtr 3,2017,Office Supplies,Appliances,2244.7142000000013,11402.807999999997
Qtr 4,2017,Office Supplies,Appliances,2466.706599999999,16598.426
Qtr 1,2014,Office Supplies,Art,173.1049,663.922
Qtr 2,2014,Office Supplies,Art,406.8376999999998,1542.2479999999998
Qtr 3,2014,Office Supplies,Art,312.47729999999996,1219.5620000000001
Qtr 4,2014,Office Supplies,Art,514.3832000000001,2632.249999999999
Qtr 1,2015,Office Supplies,Art,169.44740000000002,700.1940000000001
Qtr 2,2015,Office Supplies,Art,323.3574,1567.8720000000003
Qtr 3,2015,Office Supplies,Art,407.5025,1756.818
Qtr 4,2015,Office Supplies,Art,584.7508999999999,2211.9500000000003
Qtr 1,2016,Office Supplies,Art,169.82289999999992,845.9960000000001
Qtr 2,2016,Office Supplies,Art,365.35349999999994,1468.1740000000002
Qtr 3,2016,Office Supplies,Art,407.21139999999997,1869.692
Qtr 4,2016,Office Supplies,Art,471.57479999999987,1777.0460000000005
Qtr 1,2017,Office Supplies,Art,292.9129000000001,1123.746
Qtr 2,2017,Office Supplies,Art,579.4465999999999,2277.392000000001
Qtr 3,2017,Office Supplies,Art,716.417,2570.372
Qtr 4,2017,Office Supplies,Art,633.1865999999995,2891.5580000000004
Qtr 1,2014,Office Supplies,Binders,633.5917999999997,2679.445
Qtr 2,2014,Office Supplies,Binders,2161.8373,9633.848999999995
Qtr 3,2014,Office Supplies,Binders,2319.101199999996,19929.495000000006
Qtr 4,2014,Office Supplies,Binders,-374.8143000000022,11245.476
Qtr 1,2015,Office Supplies,Binders,5235.425100000002,11269.445999999996
Qtr 2,2015,Office Supplies,Binders,3373.4824999999987,11218.133000000002
Qtr 3,2015,Office Supplies,Binders,272.71450000000016,6295.6140000000005
Qtr 4,2015,Office Supplies,Binders,-1284.9507000000003,8669.905
Qtr 1,2016,Office Supplies,Binders,1133.8051,3541.993000000001
Qtr 2,2016,Office Supplies,Binders,-1643.0190000000002,4687.897000000002
Qtr 3,2016,Office Supplies,Binders,235.95200000000023,12603.913999999993
Qtr 4,2016,Office Supplies,Binders,10488.896000000004,28849.520999999968
Qtr 1,2017,Office Supplies,Binders,1668.9482999999989,12849.033
Qtr 2,2017,Office Supplies,Binders,2719.977999999999,10271.180000000002
Qtr 3,2017,Office Supplies,Binders,5479.525,27501.847000000012
Qtr 4,2017,Office Supplies,Binders,-2198.7094999999977,22165.985000000004
Qtr 1,2014,Office Supplies,Envelopes,199.99309999999997,547.5600000000001
Qtr 2,2014,Office Supplies,Envelopes,316.0028,718.106
Qtr 3,2014,Office Supplies,Envelopes,295.3433,721.5679999999999
Qtr 4,2014,Office Supplies,Envelopes,684.1396,1868.516
Qtr 1,2015,Office Supplies,Envelopes,284.64329999999995,597.348
Qtr 2,2015,Office Supplies,Envelopes,354.28349999999995,841.788
Qtr 3,2015,Office Supplies,Envelopes,513.5864,1180.74
Qtr 4,2015,Office Supplies,Envelopes,807.6773999999998,1892.3119999999994
Qtr 1,2016,Office Supplies,Envelopes,450.9712999999999,1081.94
Qtr 2,2016,Office Supplies,Envelopes,193.43089999999998,416.80800000000005
Qtr 3,2016,Office Supplies,Envelopes,683.1735999999997,1586.702
Qtr 4,2016,Office Supplies,Envelopes,739.1725000000001,1644.4399999999998
Qtr 1,2017,Office Supplies,Envelopes,352.40509999999995,848.1320000000001
Qtr 2,2017,Office Supplies,Envelopes,247.08599999999998,578.398
Qtr 3,2017,Office Supplies,Envelopes,245.54799999999997,588.6999999999999
Qtr 4,2017,Office Supplies,Envelopes,596.7198999999999,1363.3440000000003
Qtr 1,2014,Office Supplies,Fasteners,10.201099999999997,97.65
Qtr 2,2014,Office Supplies,Fasteners,28.43779999999999,159.552
Qtr 3,2014,Office Supplies,Fasteners,74.86630000000001,205.696
Qtr 4,2014,Office Supplies,Fasteners,65.0531,198.42999999999998
Qtr 1,2015,Office Supplies,Fasteners,28.217299999999998,74.238
Qtr 2,2015,Office Supplies,Fasteners,17.6771,72.27000000000001
Qtr 3,2015,Office Supplies,Fasteners,45.33979999999999,136.426
Qtr 4,2015,Office Supplies,Fasteners,80.70339999999999,262.29
Qtr 1,2016,Office Supplies,Fasteners,28.5745,88.12400000000001
Qtr 2,2016,Office Supplies,Fasteners,54.276399999999995,151.21
Qtr 3,2016,Office Supplies,Fasteners,80.20309999999999,248.11
Qtr 4,2016,Office Supplies,Fasteners,131.01940000000002,472.69000000000005
Qtr 1,2017,Office Supplies,Fasteners,35.39469999999999,136.596
Qtr 2,2017,Office Supplies,Fasteners,19.0085,100.178
Qtr 3,2017,Office Supplies,Fasteners,96.9488,240.21999999999997
Qtr 4,2017,Office Supplies,Fasteners,153.59689999999998,380.59999999999997
Qtr 1,2014,Office Supplies,Labels,104.33719999999998,255.21200000000002
Qtr 2,2014,Office Supplies,Labels,344.25750000000005,744.1580000000001
Qtr 3,2014,Office Supplies,Labels,276.63399999999996,617.702
Qtr 4,2014,Office Supplies,Labels,560.7755,1224.322
Qtr 1,2015,Office Supplies,Labels,368.11859999999996,781.7139999999999
Qtr 2,2015,Office Supplies,Labels,171.65800000000004,423.48600000000005
Qtr 3,2015,Office Supplies,Labels,312.8239,676.602
Qtr 4,2015,Office Supplies,Labels,470.42810000000003,1074.66
Qtr 1,2016,Office Supplies,Labels,62.34609999999999,132.37
Qtr 2,2016,Office Supplies,Labels,263.2686,572.2919999999999
Qtr 3,2016,Office Supplies,Labels,356.81199999999995,826.3420000000001
Qtr 4,2016,Office Supplies,Labels,510.18519999999995,1296.2360000000003
Qtr 1,2017,Office Supplies,Labels,126.70689999999999,277.35999999999996
Qtr 2,2017,Office Supplies,Labels,325.52959999999996,760.2239999999998
Qtr 3,2017,Office Supplies,Labels,889.8238000000001,1944.1380000000001
Qtr 4,2017,Office Supplies,Labels,402.549,879.4940000000003
Qtr 1,2014,Office Supplies,Paper,663.2356000000001,1580.83
Qtr 2,2014,Office Supplies,Paper,911.9930000000002,2194.733999999999
Qtr 3,2014,Office Supplies,Paper,1812.6979999999999,4259.074000000001
Qtr 4,2014,Office Supplies,Paper,2983.094800000001,6800.318000000002
Qtr 1,2015,Office Supplies,Paper,1000.3266,2316.8320000000003
Qtr 2,2015,Office Supplies,Paper,956.2088000000006,2432.764000000001
Qtr 3,2015,Office Supplies,Paper,1793.7208000000003,4028.164
Qtr 4,2015,Office Supplies,Paper,2819.9138000000003,6509.878000000002
Qtr 1,2016,Office Supplies,Paper,1219.1531999999997,2734.2180000000003
Qtr 2,2016,Office Supplies,Paper,2913.0705000000003,6710.059999999999
Qtr 3,2016,Office Supplies,Paper,2219.1205,5060.840000000002
Qtr 4,2016,Office Supplies,Paper,2720.1902999999998,6156.776
Qtr 1,2017,Office Supplies,Paper,2081.6452000000004,4729.932000000001
Qtr 2,2017,Office Supplies,Paper,2441.7446,5561.989999999999
Qtr 3,2017,Office Supplies,Paper,3483.0729000000038,8044.841999999999
Qtr 4,2017,Office Supplies,Paper,4034.3806999999983,9357.954000000003
Qtr 1,2014,Office Supplies,Storage,693.2789999999995,7541.361999999996
Qtr 2,2014,Office Supplies,Storage,543.1238,8242.428
Qtr 3,2014,Office Supplies,Storage,1180.8009999999997,13585.685999999998
Qtr 4,2014,Office Supplies,Storage,1749.0750000000005,20959.566000000006
Qtr 1,2015,Office Supplies,Storage,746.0945000000002,5077.498000000001
Qtr 2,2015,Office Supplies,Storage,689.7557999999998,8621.948000000002
Qtr 3,2015,Office Supplies,Storage,1434.177799999999,17307.246
Qtr 4,2015,Office Supplies,Storage,635.4319999999998,14041.556
Qtr 1,2016,Office Supplies,Storage,1008.8664999999996,8848.104
Qtr 2,2016,Office Supplies,Storage,1154.0078000000003,13805.082000000002
Qtr 3,2016,Office Supplies,Storage,1204.9054999999996,14447.292
Qtr 4,2016,Office Supplies,Storage,2836.5069999999996,21688.221999999994
Qtr 1,2017,Office Supplies,Storage,812.5550999999996,8668.269999999999
Qtr 2,2017,Office Supplies,Storage,2018.1876999999993,18411.844
Qtr 3,2017,Office Supplies,Storage,1293.8884000000005,14380.861999999997
Qtr 4,2017,Office Supplies,Storage,3278.1694999999977,28216.641999999993
Qtr 1,2014,Office Supplies,Supplies,10.172200000000004,257.24
Qtr 2,2014,Office Supplies,Supplies,106.51020000000005,4282.237999999999
Qtr 3,2014,Office Supplies,Supplies,392.5779999999997,8793.427999999998
Qtr 4,2014,Office Supplies,Supplies,-19.204799999999985,1061.1639999999998
Qtr 1,2015,Office Supplies,Supplies,18.68159999999999,122.32000000000001
Qtr 2,2015,Office Supplies,Supplies,41.24939999999999,531.054
Qtr 3,2015,Office Supplies,Supplies,-113.66950000000001,1057.616
Qtr 4,2015,Office Supplies,Supplies,28.860099999999996,241.49200000000002
Qtr 1,2016,Office Supplies,Supplies,-575.2212000000005,8893.722000000002
Qtr 2,2016,Office Supplies,Supplies,-57.40329999999997,2445.4900000000002
Qtr 3,2016,Office Supplies,Supplies,61.07499999999993,743.242
Qtr 4,2016,Office Supplies,Supplies,-127.4144,2195.1220000000003
Qtr 1,2017,Office Supplies,Supplies,-149.09049999999996,6056.181999999999
Qtr 2,2017,Office Supplies,Supplies,107.23780000000002,1377.386
Qtr 3,2017,Office Supplies,Supplies,-971.0515999999999,5523.374000000002
Qtr 4,2017,Office Supplies,Supplies,57.59149999999998,3092.4680000000003
Qtr 1,2014,Technology,Accessories,1124.5735000000002,3057.814
Qtr 2,2014,Technology,Accessories,1038.4554999999998,3908.5200000000004
Qtr 3,2014,Technology,Accessories,1685.6122999999998,7705.984
Qtr 4,2014,Technology,Accessories,2554.0737,10341.954000000002
Qtr 1,2015,Technology,Accessories,670.5037999999997,3149.7279999999996
Qtr 2,2015,Technology,Accessories,1238.1835999999998,4600.2480000000005
Qtr 3,2015,Technology,Accessories,3099.461799999999,11973.883999999998
Qtr 4,2015,Technology,Accessories,5189.126000000001,20800.100000000002
Qtr 1,2016,Technology,Accessories,1035.9632999999994,4890.926000000001
Qtr 2,2016,Technology,Accessories,1684.7750999999994,7222.557999999999
Qtr 3,2016,Technology,Accessories,2585.2865,12445.411999999995
Qtr 4,2016,Technology,Accessories,4358.2636,17336.957999999995
Qtr 1,2017,Technology,Accessories,2291.9934,8515.352
Qtr 2,2017,Technology,Accessories,2575.8228999999988,10741.866000000004
Qtr 3,2017,Technology,Accessories,6334.611800000003,22277.63599999999
Qtr 4,2017,Technology,Accessories,4469.928899999999,18411.377999999997
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,464.98850000000004,2999.93
Qtr 3,2014,Technology,Copiers,1586.9721,4109.928
Qtr 4,2014,Technology,Copiers,860.9826999999999,3739.924
Qtr 1,2015,Technology,Copiers,1858.4616999999998,4269.914000000001
Qtr 2,2015,Technology,Copiers,2241.9406,6379.83
Qtr 3,2015,Technology,Copiers,1600.9739,5119.912000000001
Qtr 4,2015,Technology,Copiers,4228.9226,10409.794000000002
Qtr 1,2016,Technology,Copiers,119.99599999999992,959.9680000000001
Qtr 2,2016,Technology,Copiers,1564.9882999999988,10439.939999999999
Qtr 3,2016,Technology,Copiers,3895.9001,11619.722000000002
Qtr 4,2016,Technology,Copiers,12161.908199999998,26579.779999999995
Qtr 1,2017,Technology,Copiers,10565.914699999998,24319.772
Qtr 2,2017,Technology,Copiers,1049.985,3359.952
Qtr 3,2017,Technology,Copiers,1527.9651000000001,4979.872
Qtr 4,2017,Technology,Copiers,11887.925399999998,30239.792
Qtr 1,2014,Technology,Machines,-1255.4678000000022,25314.658
Qtr 2,2014,Technology,Machines,-142.0174,979.729
Qtr 3,2014,Technology,Machines,-2626.1293000000032,22420.282
Qtr 4,2014,Technology,Machines,4392.783399999998,13308.704000000002
Qtr 1,2015,Technology,Machines,-734.4027000000003,3107.9760000000006
Qtr 2,2015,Technology,Machines,927.4447999999995,4824.756
Qtr 3,2015,Technology,Machines,2044.9754999999998,4973.276
Qtr 4,2015,Technology,Machines,739.4679999999989,14857.689
Qtr 1,2016,Technology,Machines,4968.559199999999,17744.49
Qtr 2,2016,Technology,Machines,4580.507099999998,24273.397
Qtr 3,2016,Technology,Machines,-161.63730000000015,3309.518
Qtr 4,2016,Technology,Machines,-6480.111000000001,10579.481000000003
Qtr 1,2017,Technology,Machines,905.5250999999996,5089.345
Qtr 2,2017,Technology,Machines,-1166.7751000000012,11562.129
Qtr 3,2017,Technology,Machines,256.15279999999984,6008.859
Qtr 4,2017,Technology,Machines,-2864.118399999999,20884.342
Qtr 1,2014,Technology,Phones,1909.1652000000004,8890.502
Qtr 2,2014,Technology,Phones,3262.9792000000007,19343.095999999994
Qtr 3,2014,Technology,Phones,2276.827,13515.171999999999
Qtr 4,2014,Technology,Phones,4359.033899999999,35642.036
Qtr 1,2015,Technology,Phones,822.7797999999996,7890.6280000000015
Qtr 2,2015,Technology,Phones,1552.4182999999996,13434.484000000002
Qtr 3,2015,Technology,Phones,4210.234699999999,22845.654
Qtr 4,2015,Technology,Phones,3813.374600000001,24142.936
Qtr 1,2016,Technology,Phones,1195.2467000000001,15851.447999999999
Qtr 2,2016,Technology,Phones,2712.5184,18159.45
Qtr 3,2016,Technology,Phones,1789.4981999999977,18450.156
Qtr 4,2016,Technology,Phones,3762.3296,26500.975999999995
Qtr 1,2017,Technology,Phones,2050.1640999999995,18264.23
Qtr 2,2017,Technology,Phones,2102.291,17347.127999999997
Qtr 3,2017,Technology,Phones,3191.9692000000005,34505.323999999986
Qtr 4,2017,Technology,Phones,5504.900699999998,35223.83399999999
