Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2015,Office Supplies,Art,Corporate,South,622.6479999999999,90.45079999999997
2016,Office Supplies,Art,Corporate,South,316.33799999999997,75.89029999999998
2017,Office Supplies,Art,Corporate,South,233.938,54.49539999999998
2014,Office Supplies,Art,Corporate,West,1780.4840000000002,342.86879999999996
2015,Office Supplies,Art,Corporate,West,636.4459999999999,178.24179999999996
2016,Office Supplies,Art,Corporate,West,206.358,58.905199999999994
2017,Office Supplies,Art,Corporate,West,877.6120000000002,250.23669999999998
2014,Office Supplies,Art,Home Office,Central,120.75999999999999,14.156500000000001
2015,Office Supplies,Art,Home Office,Central,257.998,67.74780000000001
2016,Office Supplies,Art,Home Office,Central,243.828,68.1978
2017,Office Supplies,Art,Home Office,Central,391.65999999999997,95.52619999999999
2014,Office Supplies,Art,Home Office,East,402.118,108.95429999999996
2015,Office Supplies,Art,Home Office,East,377.7440000000001,72.83769999999998
2016,Office Supplies,Art,Home Office,East,129.09199999999998,30.428199999999997
2017,Office Supplies,Art,Home Office,East,451.21000000000004,132.48829999999998
2014,Office Supplies,Art,Home Office,South,67.648,7.142499999999995
2015,Office Supplies,Art,Home Office,South,202.886,57.60979999999998
2016,Office Supplies,Art,Home Office,South,167.86,36.36219999999999
2017,Office Supplies,Art,Home Office,South,230.06799999999998,44.76349999999999
2014,Office Supplies,Art,Home Office,West,207.716,61.383399999999995
2015,Office Supplies,Art,Home Office,West,295.03,83.90969999999999
2016,Office Supplies,Art,Home Office,West,300.446,79.2635
2017,Office Supplies,Art,Home Office,West,430.3500000000001,108.06679999999997
2014,Office Supplies,Binders,Consumer,Central,14713.503999999995,-914.2178000000026
2015,Office Supplies,Binders,Consumer,Central,1229.0599999999997,-467.11190000000033
2016,Office Supplies,Binders,Consumer,Central,11601.987999999998,3079.143699999999
2017,Office Supplies,Binders,Consumer,Central,12149.023999999998,134.50699999999867
2014,Office Supplies,Binders,Consumer,East,3894.951000000001,936.7102999999995
2015,Office Supplies,Binders,Consumer,East,10539.957000000002,3894.9117999999994
2016,Office Supplies,Binders,Consumer,East,8129.984,721.348299999999
2017,Office Supplies,Binders,Consumer,East,9057.717999999999,1187.6992999999993
2014,Office Supplies,Binders,Consumer,South,2743.1399999999994,522.6309
2015,Office Supplies,Binders,Consumer,South,10395.143000000002,1130.9719999999998
2016,Office Supplies,Binders,Consumer,South,916.507,2.1979999999999933
2017,Office Supplies,Binders,Consumer,South,4562.913000000001,-71.87239999999954
2014,Office Supplies,Binders,Consumer,West,8801.639,1775.5900000000001
2015,Office Supplies,Binders,Consumer,West,2722.3199999999997,828.8235999999997
2016,Office Supplies,Binders,Consumer,West,5471.817,1627.0017999999995
2017,Office Supplies,Binders,Consumer,West,11639.320000000003,3739.854799999999
2014,Office Supplies,Binders,Corporate,Central,471.44800000000004,-415.92180000000013
2015,Office Supplies,Binders,Corporate,Central,340.0800000000001,-141.87170000000006
2016,Office Supplies,Binders,Corporate,Central,2048.272,-253.1095000000002
2017,Office Supplies,Binders,Corporate,Central,6019.74,-3609.5219000000016
2014,Office Supplies,Binders,Corporate,East,1420.8940000000002,-178.1422999999999
2015,Office Supplies,Binders,Corporate,East,2825.014,708.5404999999998
2016,Office Supplies,Binders,Corporate,East,4772.522,1538.8229999999992
2017,Office Supplies,Binders,Corporate,East,3029.951000000001,763.7821999999999
2014,Office Supplies,Binders,Corporate,South,4450.604000000001,1928.3879
2015,Office Supplies,Binders,Corporate,South,2594.096,-882.0821000000002
2016,Office Supplies,Binders,Corporate,South,1026.325,-55.80759999999988
2017,Office Supplies,Binders,Corporate,South,3756.6069999999995,1505.7019
2014,Office Supplies,Binders,Corporate,West,3469.9750000000013,514.7916999999999
2015,Office Supplies,Binders,Corporate,West,883.8999999999999,116.75429999999997
2016,Office Supplies,Binders,Corporate,West,1872.0879999999995,568.8919000000002
2017,Office Supplies,Binders,Corporate,West,12578.797,4268.1035999999995
2014,Office Supplies,Binders,Home Office,Central,685.9859999999999,-45.79620000000011
2015,Office Supplies,Binders,Home Office,Central,4323.992,1975.2723999999996
2016,Office Supplies,Binders,Home Office,Central,406.12,93.30239999999996
2017,Office Supplies,Binders,Home Office,Central,2936.6119999999996,-482.12760000000026
2014,Office Supplies,Binders,Home Office,East,1030.7820000000002,402.4006
2015,Office Supplies,Binders,Home Office,East,841.7099999999999,140.02450000000005
2016,Office Supplies,Binders,Home Office,East,6053.042000000001,542.4744999999994
2017,Office Supplies,Binders,Home Office,East,1901.4720000000002,609.3618999999999
2014,Office Supplies,Binders,Home Office,South,1113.702,-30.917099999999962
2015,Office Supplies,Binders,Home Office,South,478.07800000000003,207.6734
2016,Office Supplies,Binders,Home Office,South,2169.3840000000005,671.635
2017,Office Supplies,Binders,Home Office,South,2823.842000000001,-1027.8559
2014,Office Supplies,Binders,Home Office,West,691.64,244.19979999999995
2015,Office Supplies,Binders,Home Office,West,282.29200000000003,80.94859999999998
2016,Office Supplies,Binders,Home Office,West,5623.252000000002,1812.324799999999
2017,Office Supplies,Binders,Home Office,West,2332.0490000000004,652.1088999999997
2014,Office Supplies,Envelopes,Consumer,Central,837.2560000000001,285.5756999999999
2015,Office Supplies,Envelopes,Consumer,Central,362.73,159.57
2016,Office Supplies,Envelopes,Consumer,Central,366.63599999999997,135.67269999999996
2017,Office Supplies,Envelopes,Consumer,Central,798.828,331.84319999999997
2014,Office Supplies,Envelopes,Consumer,East,589.874,221.85469999999998
2015,Office Supplies,Envelopes,Consumer,East,339.504,150.79859999999996
2016,Office Supplies,Envelopes,Consumer,East,948.192,408.7218
2017,Office Supplies,Envelopes,Consumer,East,217.952,100.5046
2014,Office Supplies,Envelopes,Consumer,South,125.56400000000002,45.9222
2015,Office Supplies,Envelopes,Consumer,South,393.662,183.6358
2016,Office Supplies,Envelopes,Consumer,South,247.342,93.53209999999999
2017,Office Supplies,Envelopes,Consumer,South,424.99,180.34059999999997
2014,Office Supplies,Envelopes,Consumer,West,618.3799999999999,274.9298
2015,Office Supplies,Envelopes,Consumer,West,698.326,319.59659999999997
2016,Office Supplies,Envelopes,Consumer,West,679.6220000000001,322.48400000000004
2017,Office Supplies,Envelopes,Consumer,West,122.288,49.4302
2014,Office Supplies,Envelopes,Corporate,Central,290.47600000000006,109.30069999999999
2015,Office Supplies,Envelopes,Corporate,Central,288.45599999999996,99.35379999999996
2016,Office Supplies,Envelopes,Corporate,Central,436.87199999999996,179.79029999999997
2017,Office Supplies,Envelopes,Corporate,Central,220.104,95.21940000000001
2014,Office Supplies,Envelopes,Corporate,East,746.3879999999999,297.316
2015,Office Supplies,Envelopes,Corporate,East,199.102,87.10419999999999
2016,Office Supplies,Envelopes,Corporate,East,190.626,84.8253
2017,Office Supplies,Envelopes,Corporate,East,443.15,194.3397
2014,Office Supplies,Envelopes,Corporate,South,89.89,44.101099999999995
2015,Office Supplies,Envelopes,Corporate,South,913.8080000000001,393.60349999999994
2016,Office Supplies,Envelopes,Corporate,South,103.28999999999999,50.142599999999995
2017,Office Supplies,Envelopes,Corporate,South,363.916,155.5326
2014,Office Supplies,Envelopes,Corporate,West,23.928,10.208400000000001
2015,Office Supplies,Envelopes,Corporate,West,532.6500000000001,249.0676
2016,Office Supplies,Envelopes,Corporate,West,843.28,398.84839999999997
2017,Office Supplies,Envelopes,Corporate,West,256.734,122.47539999999998
2014,Office Supplies,Envelopes,Home Office,Central,470.95400000000006,175.97179999999997
2015,Office Supplies,Envelopes,Home Office,Central,219.672,88.029
2016,Office Supplies,Envelopes,Home Office,Central,167.288,56.45969999999999
2017,Office Supplies,Envelopes,Home Office,Central,177.60000000000002,60.74199999999998
2014,Office Supplies,Envelopes,Home Office,East,11.36,5.339199999999999
2015,Office Supplies,Envelopes,Home Office,East,338.23400000000004,125.94249999999997
2016,Office Supplies,Envelopes,Home Office,East,165.93200000000002,63.08789999999999
2017,Office Supplies,Envelopes,Home Office,East,185.56,72.5745
2014,Office Supplies,Envelopes,Home Office,South,36.4,17.472
2015,Office Supplies,Envelopes,Home Office,South,101.584,44.992799999999995
2016,Office Supplies,Envelopes,Home Office,South,545.11,256.20169999999996
2017,Office Supplies,Envelopes,Home Office,South,,
2014,Office Supplies,Envelopes,Home Office,West,15.28,7.4872
2015,Office Supplies,Envelopes,Home Office,West,124.46,58.49619999999999
2016,Office Supplies,Envelopes,Home Office,West,35.699999999999996,16.9818
2017,Office Supplies,Envelopes,Home Office,West,167.452,78.7568
2014,Office Supplies,Fasteners,Consumer,Central,65.724,-0.001800000000001134
2015,Office Supplies,Fasteners,Consumer,Central,53.138,15.8691
2016,Office Supplies,Fasteners,Consumer,Central,111.13800000000002,38.1731
2017,Office Supplies,Fasteners,Consumer,Central,192.432,74.10730000000001
2014,Office Supplies,Fasteners,Consumer,East,54.32000000000001,17.551199999999994
2015,Office Supplies,Fasteners,Consumer,East,103.50599999999999,37.262499999999996
2016,Office Supplies,Fasteners,Consumer,East,161.376,51.4534
2017,Office Supplies,Fasteners,Consumer,East,104.496,42.9059
2014,Office Supplies,Fasteners,Consumer,South,78.082,32.9158
2015,Office Supplies,Fasteners,Consumer,South,86.664,32.79959999999999
2016,Office Supplies,Fasteners,Consumer,South,30.740000000000002,14.8626
2017,Office Supplies,Fasteners,Consumer,South,80.93,33.6934
2014,Office Supplies,Fasteners,Consumer,West,116.76400000000002,50.3514
