Sample Data.إسم الحزمة,Sample Data.Project Title,Sample Data.إسم المشروع,Sample Data.Contractor,Sum(Sample Data.% الإنجاز الفعلي),Sum(Sample Data.Pkg Sequence)
دوار المريخ,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الإستقلال,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الإستقلال - المرحلة الثانية,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الجامعة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الخفجي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع السوق المركزي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الطرفة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع العنابي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع اللقطيفية و شارع البحيرة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع المرخية,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع الوعب (جزء من الشارع),Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع جامعة الدول العربية,Roads Beautification,تجميل الطرق,بووم للانشاءات,4.6995,50
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
شارع جليعة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
طرق بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
طريق الوكرة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
مشروع النجادة التجريبي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,تجميل الطرق,الجابر و مخلوف,1.543,140
أعمال تجميل بمنطقة الخوير,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
المنطقة بجانب قصر المرمر,Roads Beautification,تجميل الطرق,الجابر و مخلوف,3.7575,115
بلازا بجانب مكتب بريد قطر,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
بلازا بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
تجميل طريق المجد,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,تجميل الطرق,الجابر و مخلوف,0.09849999999999999,150
دوار المريخ,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الإستقلال,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الإستقلال - المرحلة الثانية,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الجامعة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الخفجي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع السوق المركزي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,0.992,35
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الطرفة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع العنابي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع اللقطيفية و شارع البحيرة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع المرخية,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع الوعب (جزء من الشارع),Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع جامعة الدول العربية,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
شارع جليعة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
طرق بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
طريق الوكرة,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
مشروع النجادة التجريبي,Roads Beautification,تجميل الطرق,الجابر و مخلوف,,
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,2.0475,105
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال تجميل بمنطقة الخوير,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,0.059500000000000004,135
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
المنطقة بجانب قصر المرمر,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
بلازا بجانب مكتب بريد قطر,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
بلازا بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
تجميل طريق المجد,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
دوار المريخ,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الإستقلال,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الإستقلال - المرحلة الثانية,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الجامعة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الخفجي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع السوق المركزي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الطرفة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع العنابي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,3.8375,20
شارع اللقطيفية و شارع البحيرة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع المرخية,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع الوعب (جزء من الشارع),Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع جامعة الدول العربية,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
شارع جليعة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
طرق بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
طريق الوكرة,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
مشروع النجادة التجريبي,Roads Beautification,تجميل الطرق,أي جي الشرق الأوسط,,
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال تجميل بمنطقة الخوير,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
المنطقة بجانب قصر المرمر,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
بلازا بجانب مكتب بريد قطر,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
بلازا بمنطقة الخليج الغربي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
تجميل طريق المجد,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
دوار المريخ,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الإستقلال,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الإستقلال - المرحلة الثانية,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الجامعة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الخفجي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع السوق المركزي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الطرفة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع العنابي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع اللقطيفية و شارع البحيرة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع المرخية,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع الوعب (جزء من الشارع),Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع جامعة الدول العربية,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
شارع جليعة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
طرق بمنطقة الخليج الغربي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
طريق الوكرة,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,,
مشروع النجادة التجريبي,Roads Beautification,حدائق عامة/ساحات,بالميرا الزراعية,4.7875,55
