Orders.Segment,Orders.Ship Mode,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity)
Consumer,First Class,Office Supplies,Envelopes,46
Consumer,Same Day,Office Supplies,Envelopes,39
Consumer,Second Class,Office Supplies,Envelopes,89
Consumer,Standard Class,Office Supplies,Envelopes,268
Corporate,First Class,Office Supplies,Envelopes,34
Corporate,Same Day,Office Supplies,Envelopes,10
Corporate,Second Class,Office Supplies,Envelopes,78
Corporate,Standard Class,Office Supplies,Envelopes,201
Home Office,First Class,Office Supplies,Envelopes,34
Home Office,Same Day,Office Supplies,Envelopes,9
Home Office,Second Class,Office Supplies,Envelopes,19
Home Office,Standard Class,Office Supplies,Envelopes,79
Consumer,First Class,Office Supplies,Supplies,44
Consumer,Same Day,Office Supplies,Supplies,13
Consumer,Second Class,Office Supplies,Supplies,66
Consumer,Standard Class,Office Supplies,Supplies,236
Corporate,First Class,Office Supplies,Supplies,21
Corporate,Same Day,Office Supplies,Supplies,14
Corporate,Second Class,Office Supplies,Supplies,74
Corporate,Standard Class,Office Supplies,Supplies,93
Home Office,First Class,Office Supplies,Supplies,9
Home Office,Same Day,Office Supplies,Supplies,7
Home Office,Second Class,Office Supplies,Supplies,12
Home Office,Standard Class,Office Supplies,Supplies,58
Consumer,First Class,Furniture,Furnishings,287
Consumer,Same Day,Furniture,Furnishings,122
Consumer,Second Class,Furniture,Furnishings,350
Consumer,Standard Class,Furniture,Furnishings,1075
Corporate,First Class,Furniture,Furnishings,186
Corporate,Same Day,Furniture,Furnishings,39
Corporate,Second Class,Furniture,Furnishings,175
Corporate,Standard Class,Furniture,Furnishings,686
Home Office,First Class,Furniture,Furnishings,67
Home Office,Same Day,Furniture,Furnishings,28
Home Office,Second Class,Furniture,Furnishings,123
Home Office,Standard Class,Furniture,Furnishings,425
Consumer,First Class,Furniture,Chairs,157
Consumer,Same Day,Furniture,Chairs,83
Consumer,Second Class,Furniture,Chairs,269
Consumer,Standard Class,Furniture,Chairs,725
Corporate,First Class,Furniture,Chairs,101
Corporate,Same Day,Furniture,Chairs,49
Corporate,Second Class,Furniture,Chairs,141
Corporate,Standard Class,Furniture,Chairs,428
Home Office,First Class,Furniture,Chairs,77
Home Office,Same Day,Furniture,Chairs,28
Home Office,Second Class,Furniture,Chairs,79
Home Office,Standard Class,Furniture,Chairs,219
Consumer,First Class,Furniture,Tables,62
Consumer,Same Day,Furniture,Tables,44
Consumer,Second Class,Furniture,Tables,156
Consumer,Standard Class,Furniture,Tables,340
Corporate,First Class,Furniture,Tables,51
Corporate,Same Day,Furniture,Tables,35
Corporate,Second Class,Furniture,Tables,46
Corporate,Standard Class,Furniture,Tables,287
Home Office,First Class,Furniture,Tables,63
Home Office,Same Day,Furniture,Tables,6
Home Office,Second Class,Furniture,Tables,55
Home Office,Standard Class,Furniture,Tables,96
Consumer,First Class,Furniture,Bookcases,88
Consumer,Same Day,Furniture,Bookcases,2
Consumer,Second Class,Furniture,Bookcases,93
Consumer,Standard Class,Furniture,Bookcases,313
Corporate,First Class,Furniture,Bookcases,77
Corporate,Same Day,Furniture,Bookcases,4
Corporate,Second Class,Furniture,Bookcases,53
Corporate,Standard Class,Furniture,Bookcases,137
Home Office,First Class,Furniture,Bookcases,22
Home Office,Same Day,Furniture,Bookcases,13
Home Office,Second Class,Furniture,Bookcases,29
Home Office,Standard Class,Furniture,Bookcases,37
Consumer,First Class,Technology,Phones,236
Consumer,Same Day,Technology,Phones,85
Consumer,Second Class,Technology,Phones,318
Consumer,Standard Class,Technology,Phones,1046
Corporate,First Class,Technology,Phones,154
Corporate,Same Day,Technology,Phones,19
Corporate,Second Class,Technology,Phones,194
Corporate,Standard Class,Technology,Phones,636
Home Office,First Class,Technology,Phones,111
Home Office,Same Day,Technology,Phones,39
Home Office,Second Class,Technology,Phones,146
Home Office,Standard Class,Technology,Phones,305
Consumer,First Class,Technology,Accessories,256
Consumer,Same Day,Technology,Accessories,115
Consumer,Second Class,Technology,Accessories,332
Consumer,Standard Class,Technology,Accessories,875
Corporate,First Class,Technology,Accessories,137
Corporate,Same Day,Technology,Accessories,30
Corporate,Second Class,Technology,Accessories,193
Corporate,Standard Class,Technology,Accessories,521
Home Office,First Class,Technology,Accessories,68
Home Office,Same Day,Technology,Accessories,21
Home Office,Second Class,Technology,Accessories,104
Home Office,Standard Class,Technology,Accessories,324
Consumer,First Class,Technology,Machines,22
Consumer,Same Day,Technology,Machines,9
Consumer,Second Class,Technology,Machines,18
Consumer,Standard Class,Technology,Machines,168
Corporate,First Class,Technology,Machines,31
Corporate,Same Day,Technology,Machines,18
Corporate,Second Class,Technology,Machines,18
Corporate,Standard Class,Technology,Machines,74
Home Office,First Class,Technology,Machines,23
Home Office,Same Day,Technology,Machines,8
Home Office,Second Class,Technology,Machines,7
Home Office,Standard Class,Technology,Machines,44
Consumer,First Class,Technology,Copiers,16
Consumer,Same Day,Technology,Copiers,7
Consumer,Second Class,Technology,Copiers,29
Consumer,Standard Class,Technology,Copiers,65
Corporate,First Class,Technology,Copiers,14
Corporate,Same Day,Technology,Copiers,5
Corporate,Second Class,Technology,Copiers,13
Corporate,Standard Class,Technology,Copiers,38
Home Office,First Class,Technology,Copiers,15
Home Office,Same Day,Technology,Copiers,4
Home Office,Second Class,Technology,Copiers,2
Home Office,Standard Class,Technology,Copiers,26
