Cat1,Cat2,Year,Sum of S1,Sum of S2
Level1.0018,Level2.0000,2022,692062.1075153,507037.6958141
Level1.0004,Level2.0004,2021,687232.9007946001,723172.7420730001
Level1.0008,Level2.0001,2022,684999.4832876,598590.7933085001
Level1.0016,Level2.0002,2022,684701.5686241998,572094.8619663999
Level1.0000,Level2.0000,2021,682714.2438603999,721179.1843097999
Level1.0006,Level2.0004,2022,681325.9874929999,544334.2199509001
Level1.0007,Level2.0000,2022,680576.6240361,433220.5163732
Level1.0014,Level2.0000,2021,680509.1857552,642110.1084847
Level1.0007,Level2.0000,2021,680294.200501,717906.0516578001
Level1.0010,Level2.0004,2021,670927.5608107001,808654.1593404
Level1.0000,Level2.0002,2022,668523.6843905,652126.9775647001
Level1.0006,Level2.0003,2021,668483.3250364,562297.331355
Level1.0013,Level2.0004,2021,665034.429725,393889.4744301
Level1.0003,Level2.0002,2021,664908.9140631,566650.1191032
Level1.0018,Level2.0004,2021,663279.7465086,525714.9692946
Level1.0001,Level2.0004,2021,662709.5663624,686293.5942062
Level1.0017,Level2.0001,2021,661463.4112996,580349.3034291
Level1.0013,Level2.0002,2022,660299.5257440001,604377.2304509
Level1.0010,Level2.0002,2022,659806.379132,625560.0282018
Level1.0003,Level2.0003,2022,654391.6100526999,670670.7937203001
Level1.0015,Level2.0003,2022,654137.0391292,514927.83608879993
Level1.0006,Level2.0004,2021,654049.4536002,666636.0170168
Level1.0002,Level2.0004,2022,652814.1692958999,626970.1843836001
Level1.0015,Level2.0002,2021,651770.23264,572865.9321084
Level1.0019,Level2.0004,2021,650558.8798748,554750.4501658999
Level1.0009,Level2.0002,2021,650147.7435513,579975.8782479
Level1.0007,Level2.0001,2022,649511.7286587,727372.3966664
Level1.0012,Level2.0001,2022,648127.0809069,538244.3527253
Level1.0019,Level2.0000,2021,647679.2245315,524844.0674373
Level1.0009,Level2.0000,2022,644304.4615748001,493874.7040421
Level1.0015,Level2.0000,2022,642180.8229441001,621701.8828177999
Level1.0004,Level2.0001,2021,641536.2421934,602512.6771992
Level1.0015,Level2.0004,2022,638309.1262527001,473993.9531875
Level1.0008,Level2.0001,2021,637918.2484080001,572319.4989538998
Level1.0004,Level2.0000,2021,637253.5388896,661167.644878
Level1.0005,Level2.0003,2021,636160.3298835999,564747.9024919
Level1.0009,Level2.0001,2022,634588.3158295,728543.20439
Level1.0012,Level2.0001,2021,633345.0526611999,668310.7176025001
Level1.0014,Level2.0004,2021,633273.0254744999,689785.7105479001
Level1.0000,Level2.0001,2021,630972.7298133998,597821.7892008999
Level1.0015,Level2.0001,2022,628557.0191060001,546510.3817687999
Level1.0018,Level2.0001,2022,628365.8605846999,676641.3247583001
Level1.0000,Level2.0000,2022,627044.9302063,631925.6416427001
Level1.0008,Level2.0002,2021,626956.1868519,557487.6124909
Level1.0003,Level2.0000,2022,625606.1056521,603423.4320562
Level1.0008,Level2.0004,2022,625209.0632655,731948.5572367999
Level1.0011,Level2.0001,2022,625013.7361256001,543914.1900818
Level1.0015,Level2.0003,2021,619688.4910391001,467123.93579409993
Level1.0004,Level2.0004,2022,618302.8669674001,641977.1012347
Level1.0007,Level2.0003,2022,616008.5960006,557238.1925341
Level1.0011,Level2.0002,2022,615745.0333231001,524782.7993658
Level1.0001,Level2.0001,2021,614172.2629189,577008.6549827
Level1.0006,Level2.0001,2021,613481.2832993001,624191.6707627
Level1.0006,Level2.0000,2021,609126.997007,715914.475724
Level1.0015,Level2.0002,2022,607786.5095452,621170.7980018
Level1.0018,Level2.0003,2022,605626.7455551999,635879.4268504999
Level1.0008,Level2.0000,2021,604948.6857181,384888.0850898
Level1.0011,Level2.0000,2021,602209.1333949,693277.5911876
Level1.0000,Level2.0004,2021,600924.2700397,626169.4331162
Level1.0014,Level2.0000,2022,598518.5944623,442141.36290639994
Level1.0019,Level2.0002,2021,598311.3736033001,796646.311647
Level1.0017,Level2.0003,2021,597559.508654,622619.8640239999
Level1.0011,Level2.0004,2022,595246.660594,553560.3148044001
Level1.0010,Level2.0004,2022,594102.4889946,454551.5743250001
Level1.0001,Level2.0000,2021,593610.7063245,749044.183735
Level1.0010,Level2.0003,2021,593254.5595086,578381.9798501
Level1.0016,Level2.0003,2021,592389.3193428001,777991.3031119001
Level1.0013,Level2.0003,2022,590913.4081838999,711258.8784285999
Level1.0008,Level2.0003,2021,588309.2650416,459121.7917182001
Level1.0000,Level2.0004,2022,588133.7100651,577153.6260206001
Level1.0013,Level2.0001,2022,587370.9536329999,493997.6922727999
Level1.0007,Level2.0002,2022,587017.8843552999,579131.0050624999
Level1.0005,Level2.0001,2021,586872.2897675,597616.7267850001
Level1.0004,Level2.0002,2021,586020.5115998,561224.8686832
Level1.0019,Level2.0001,2022,585632.5900541,522827.0344771
Level1.0004,Level2.0000,2022,585045.2828641001,565495.5552655
Level1.0001,Level2.0001,2022,584072.4086723,565952.4841859001
Level1.0003,Level2.0003,2021,583674.8015276999,527669.1014558
Level1.0014,Level2.0002,2022,581094.9543893,699166.1545843
Level1.0018,Level2.0002,2022,579541.1042773,539412.7912014
Level1.0003,Level2.0001,2022,578762.4873343,714533.4783827
Level1.0009,Level2.0001,2021,577962.4736428999,699742.4785481
Level1.0017,Level2.0000,2022,576974.4883121001,685399.315026
Level1.0016,Level2.0004,2021,576673.6465393,635683.043616
Level1.0013,Level2.0004,2022,572155.9974186001,839228.4110859
Level1.0003,Level2.0004,2022,571839.6822204,502734.6442313999
Level1.0011,Level2.0003,2021,570330.1702219001,679002.5987345999
Level1.0014,Level2.0001,2021,568129.7838977,649466.3229027
Level1.0000,Level2.0003,2022,565001.4130146,693692.2408851
Level1.0011,Level2.0001,2021,564379.2459305,582409.0097366001
Level1.0016,Level2.0001,2022,561088.6770409,546362.1196874
Level1.0001,Level2.0000,2022,561033.914557,614096.8993833
Level1.0006,Level2.0002,2022,560862.2292434999,566683.3962021
Level1.0010,Level2.0003,2022,558885.6200459001,510598.4432541
Level1.0012,Level2.0002,2022,557085.1780882,850807.8047666001
Level1.0006,Level2.0002,2021,556880.9765380999,451400.2426551
Level1.0014,Level2.0002,2021,556700.7589836,589314.3239454
Level1.0005,Level2.0000,2021,556125.8414418,516174.1187866
Level1.0009,Level2.0004,2022,556059.7624138,537860.3291447
Level1.0013,Level2.0002,2021,555492.7956455001,476174.2890115
Level1.0006,Level2.0003,2022,555453.6743180001,632410.7067937
Level1.0007,Level2.0004,2022,552239.2459594001,648379.934369
Level1.0002,Level2.0002,2022,547617.1411672,439899.12706960004
Level1.0014,Level2.0003,2021,541842.991868,636526.0679396
Level1.0005,Level2.0004,2022,539915.0964865999,649433.1007612
Level1.0011,Level2.0004,2021,536215.3921875,533503.8884518
Level1.0016,Level2.0001,2021,536046.2416145,547997.8799461001
Level1.0006,Level2.0000,2022,533652.6851262,598301.8749103
Level1.0005,Level2.0001,2022,531458.6848365,576774.8021719999
Level1.0003,Level2.0000,2021,528269.4788899999,552842.717888
Level1.0000,Level2.0003,2021,527714.1388927001,610043.4746546001
Level1.0009,Level2.0003,2021,526832.8440304,555055.8311772998
Level1.0002,Level2.0003,2022,526472.5169295,605549.9853454999
Level1.0005,Level2.0002,2022,523080.108977,709608.1724001999
Level1.0019,Level2.0000,2022,522096.02516059997,581004.8391203999
Level1.0014,Level2.0001,2022,521074.5745996,564439.1398534
Level1.0005,Level2.0000,2022,520119.88705889997,542597.7103932
Level1.0011,Level2.0003,2022,515262.38389979996,352596.38974390004
Level1.0017,Level2.0002,2021,514471.1024387,679622.6309149
Level1.0015,Level2.0000,2021,513765.71386779996,501014.79614179995
Level1.0018,Level2.0004,2022,512722.80221200007,491005.39392839995
Level1.0002,Level2.0000,2021,511419.3913199,615759.3755565
Level1.0001,Level2.0002,2021,508715.03695190005,468480.0097984
Level1.0002,Level2.0001,2022,506930.38188570004,563048.0888356001
Level1.0005,Level2.0003,2022,505417.9567753,628813.839297
Level1.0013,Level2.0003,2021,504769.14559689997,594894.4855321
Level1.0019,Level2.0004,2022,501486.74932839995,667285.8644052001
Level1.0001,Level2.0003,2021,499719.40060520003,809337.2103892
Level1.0018,Level2.0002,2021,499268.6974948999,729746.7291828999
Level1.0007,Level2.0002,2021,498885.054228,551929.4580167
Level1.0003,Level2.0001,2021,497934.4085072,685407.1858697999
Level1.0017,Level2.0000,2021,497639.63079080003,469755.72896740003
Level1.0006,Level2.0001,2022,497001.73795499996,420062.051298
Level1.0010,Level2.0001,2022,493528.90245740005,484888.5925366
Level1.0010,Level2.0000,2022,493488.576538,846519.3137739002
Level1.0002,Level2.0001,2021,493065.9706878,545413.0452894999
Level1.0011,Level2.0000,2022,484514.32297380007,496479.9133983
Level1.0019,Level2.0002,2022,484477.76246570004,634669.0185926
Level1.0019,Level2.0001,2021,484008.65139729995,727299.5260933001
Level1.0016,Level2.0000,2022,482213.5168997,633229.033746
Level1.0016,Level2.0003,2022,480789.2620975,703369.6830578999
Level1.0012,Level2.0003,2021,480447.7581114,576308.7274175999
Level1.0005,Level2.0004,2021,475124.9950321,613180.6365254
Level1.0012,Level2.0004,2021,473501.9788503,690323.2204613
Level1.0005,Level2.0002,2021,468575.60596310004,575960.5184593999
Level1.0000,Level2.0001,2022,467573.1370431,605303.1906509
Level1.0002,Level2.0000,2022,465906.5841977,619156.9091097
Level1.0002,Level2.0004,2021,465833.5225248,614608.0783838
Level1.0012,Level2.0000,2021,457296.9212736,725041.4475552001
Level1.0003,Level2.0004,2021,454851.8828437,639993.6438156001
Level1.0004,Level2.0001,2022,453535.5690843001,625120.3396637001
Level1.0004,Level2.0002,2022,446523.8406958,812560.7666035999
Level1.0010,Level2.0001,2021,446351.40271860006,431707.99843669997
Level1.0016,Level2.0002,2021,445621.2342538999,653933.9835155
Level1.0018,Level2.0000,2021,444359.54501759994,689698.6945386
Level1.0018,Level2.0003,2021,440911.07640650007,758439.4299521
Level1.0014,Level2.0004,2022,439009.7800399,727599.6370908
Level1.0001,Level2.0003,2022,435647.19153380004,733909.8456382
Level1.0009,Level2.0002,2022,433865.9662017,767409.0847259
Level1.0011,Level2.0002,2021,405828.35866820003,562963.6091715001
Level1.0004,Level2.0003,2022,384762.0502725,615574.4566162999
Level1.0018,Level2.0001,2021,370596.24005689996,650129.2834334
Level1.0016,Level2.0004,2022,348637.16716049996,551583.3223788999
Level1.0007,Level2.0003,2021,332757.2946967,755063.4849326
