financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.Units Sold)
Medium,Montana,Germany,918232.9500000001,128751.95000000001,9151
Medium,Paseo,Germany,1613763.1400000001,225488.13999999996,25934
Medium,Velo,Germany,1177359.8199999998,134879.82,10908
Medium,VTT,Germany,957112.92,136897.92,11171
None,Amarilla,Germany,539239.5,24469.5,5905.5
None,Carretera,Germany,569290,153820,3722
None,Montana,Germany,47377,22802,4612
None,Paseo,Germany,886054,230013,2886
None,Velo,Germany,396572,123894,4712
None,VTT,Germany,47376,29982,3726
High,Amarilla,Mexico,502833.84,66438.84,12669
High,Carretera,Mexico,1081180.68,14010.680000000008,11949
High,Montana,Mexico,305296.21,70156.21,15453
High,Paseo,Mexico,3238792.29,362344.29,22687
High,Velo,Mexico,1426391.9100000001,113859.90999999999,8993
High,VTT,Mexico,275198.76,23528.760000000002,7109
Low,Amarilla,Mexico,1079214,190184,4040
Low,Carretera,Mexico,1050043.5,248723.5,3101
Low,Montana,Mexico,410148.7,29868.700000000004,7733
Low,Paseo,Mexico,781759.99,42097.99,12157
Low,Velo,Mexico,288681.4,20779.4,4135
Low,VTT,Mexico,1978856.34,460488.33999999997,9565
Medium,Amarilla,Mexico,1495507.5499999998,241988.55000000002,11687
Medium,Carretera,Mexico,711327.24,118584.24,9704
Medium,Montana,Mexico,901434.4,177414.4,5140
Medium,Paseo,Mexico,3312908.1100000003,465813.11000000004,23321
Medium,Velo,Mexico,525213.58,35678.579999999994,11919
Medium,VTT,Mexico,918341.61,91581.61,9455
None,Carretera,Mexico,37050,12350,2470
None,Montana,Mexico,324450,60250,3428
None,Paseo,Mexico,294271,58396,5117
None,Velo,Mexico,10451,2986,1493
