Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Segment,Superstore 2023.State,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
South,Technology,Phones,Corporate,Washington,,
West,Technology,Phones,Corporate,Washington,74.6274,659.664
Central,Technology,Phones,Corporate,Kentucky,,
East,Technology,Phones,Corporate,Kentucky,,
South,Technology,Phones,Corporate,Kentucky,174.6189,624.96
West,Technology,Phones,Corporate,Kentucky,,
Central,Technology,Phones,Corporate,Iowa,161.0838,611.94
East,Technology,Phones,Corporate,Iowa,,
South,Technology,Phones,Corporate,Iowa,,
West,Technology,Phones,Corporate,Iowa,,
Central,Technology,Phones,Corporate,Indiana,158.7519,587.97
East,Technology,Phones,Corporate,Indiana,,
South,Technology,Phones,Corporate,Indiana,,
West,Technology,Phones,Corporate,Indiana,,
Central,Technology,Phones,Corporate,Arkansas,,
East,Technology,Phones,Corporate,Arkansas,,
South,Technology,Phones,Corporate,Arkansas,148.491,494.97
West,Technology,Phones,Corporate,Arkansas,,
Central,Technology,Phones,Corporate,Maine,,
East,Technology,Phones,Corporate,Maine,131.355,437.85
South,Technology,Phones,Corporate,Maine,,
West,Technology,Phones,Corporate,Maine,,
Central,Technology,Phones,Corporate,Colorado,,
East,Technology,Phones,Corporate,Colorado,,
South,Technology,Phones,Corporate,Colorado,,
West,Technology,Phones,Corporate,Colorado,32.4077,370.912
Central,Technology,Phones,Corporate,Idaho,,
East,Technology,Phones,Corporate,Idaho,,
South,Technology,Phones,Corporate,Idaho,,
West,Technology,Phones,Corporate,Idaho,22.8582,304.776
Central,Technology,Phones,Corporate,Kansas,74.8142,257.98
East,Technology,Phones,Corporate,Kansas,,
South,Technology,Phones,Corporate,Kansas,,
West,Technology,Phones,Corporate,Kansas,,
Central,Technology,Phones,Corporate,Michigan,73.416,253.09
East,Technology,Phones,Corporate,Michigan,,
South,Technology,Phones,Corporate,Michigan,,
West,Technology,Phones,Corporate,Michigan,,
Central,Technology,Phones,Corporate,Minnesota,2.299,114.95
East,Technology,Phones,Corporate,Minnesota,,
South,Technology,Phones,Corporate,Minnesota,,
West,Technology,Phones,Corporate,Minnesota,,
Central,Technology,Phones,Corporate,Rhode Island,,
East,Technology,Phones,Corporate,Rhode Island,1.0598,105.98
South,Technology,Phones,Corporate,Rhode Island,,
West,Technology,Phones,Corporate,Rhode Island,,
Central,Technology,Phones,Corporate,Nebraska,22.3888,79.96
East,Technology,Phones,Corporate,Nebraska,,
South,Technology,Phones,Corporate,Nebraska,,
West,Technology,Phones,Corporate,Nebraska,,
Central,Technology,Phones,Corporate,Oklahoma,0.6993,69.93
East,Technology,Phones,Corporate,Oklahoma,,
South,Technology,Phones,Corporate,Oklahoma,,
West,Technology,Phones,Corporate,Oklahoma,,
Central,Technology,Phones,Corporate,New Mexico,,
East,Technology,Phones,Corporate,New Mexico,,
South,Technology,Phones,Corporate,New Mexico,,
West,Technology,Phones,Corporate,New Mexico,6.704,67.04
Central,Technology,Phones,Corporate,Utah,,
East,Technology,Phones,Corporate,Utah,,
South,Technology,Phones,Corporate,Utah,,
West,Technology,Phones,Corporate,Utah,1.6776,16.776
Central,Technology,Phones,Home Office,California,,
East,Technology,Phones,Home Office,California,,
South,Technology,Phones,Home Office,California,,
West,Technology,Phones,Home Office,California,1593.8914,17034.928
Central,Technology,Phones,Home Office,New York,,
East,Technology,Phones,Home Office,New York,2091.379,7821.21
South,Technology,Phones,Home Office,New York,,
West,Technology,Phones,Home Office,New York,,
Central,Technology,Phones,Home Office,Texas,610.1062,5716.224
East,Technology,Phones,Home Office,Texas,,
South,Technology,Phones,Home Office,Texas,,
West,Technology,Phones,Home Office,Texas,,
Central,Technology,Phones,Home Office,Pennsylvania,,
East,Technology,Phones,Home Office,Pennsylvania,-998.7311,4766.22
South,Technology,Phones,Home Office,Pennsylvania,,
West,Technology,Phones,Home Office,Pennsylvania,,
Central,Technology,Phones,Home Office,Michigan,1121.3845,4209.15
East,Technology,Phones,Home Office,Michigan,,
South,Technology,Phones,Home Office,Michigan,,
West,Technology,Phones,Home Office,Michigan,,
Central,Technology,Phones,Home Office,Washington,,
East,Technology,Phones,Home Office,Washington,,
South,Technology,Phones,Home Office,Washington,,
West,Technology,Phones,Home Office,Washington,197.8857,3542.816
Central,Technology,Phones,Home Office,Illinois,263.1288,2648.376
East,Technology,Phones,Home Office,Illinois,,
South,Technology,Phones,Home Office,Illinois,,
West,Technology,Phones,Home Office,Illinois,,
Central,Technology,Phones,Home Office,Kentucky,,
East,Technology,Phones,Home Office,Kentucky,,
South,Technology,Phones,Home Office,Kentucky,640.9163,2359.84
West,Technology,Phones,Home Office,Kentucky,,
Central,Technology,Phones,Home Office,Oklahoma,589.4586,2267.36
East,Technology,Phones,Home Office,Oklahoma,,
South,Technology,Phones,Home Office,Oklahoma,,
West,Technology,Phones,Home Office,Oklahoma,,
Central,Technology,Phones,Home Office,Ohio,,
East,Technology,Phones,Home Office,Ohio,-464.2756,2176.566
South,Technology,Phones,Home Office,Ohio,,
West,Technology,Phones,Home Office,Ohio,,
Central,Technology,Phones,Home Office,Indiana,589.7348,2037.74
East,Technology,Phones,Home Office,Indiana,,
South,Technology,Phones,Home Office,Indiana,,
West,Technology,Phones,Home Office,Indiana,,
Central,Technology,Phones,Home Office,North Carolina,,
East,Technology,Phones,Home Office,North Carolina,,
South,Technology,Phones,Home Office,North Carolina,180.8062,1895.032
West,Technology,Phones,Home Office,North Carolina,,
Central,Technology,Phones,Home Office,Florida,,
East,Technology,Phones,Home Office,Florida,,
South,Technology,Phones,Home Office,Florida,131.594,1510.144
West,Technology,Phones,Home Office,Florida,,
Central,Technology,Phones,Home Office,Vermont,,
East,Technology,Phones,Home Office,Vermont,336.635,1294.75
South,Technology,Phones,Home Office,Vermont,,
West,Technology,Phones,Home Office,Vermont,,
Central,Technology,Phones,Home Office,Arizona,,
East,Technology,Phones,Home Office,Arizona,,
South,Technology,Phones,Home Office,Arizona,,
West,Technology,Phones,Home Office,Arizona,91.3488,1216.664
Central,Technology,Phones,Home Office,Massachusetts,,
East,Technology,Phones,Home Office,Massachusetts,241.069,901.88
South,Technology,Phones,Home Office,Massachusetts,,
West,Technology,Phones,Home Office,Massachusetts,,
Central,Technology,Phones,Home Office,Georgia,,
East,Technology,Phones,Home Office,Georgia,,
South,Technology,Phones,Home Office,Georgia,229.7798,880.55
West,Technology,Phones,Home Office,Georgia,,
Central,Technology,Phones,Home Office,New Hampshire,,
East,Technology,Phones,Home Office,New Hampshire,247.485,824.95
South,Technology,Phones,Home Office,New Hampshire,,
West,Technology,Phones,Home Office,New Hampshire,,
Central,Technology,Phones,Home Office,Rhode Island,,
East,Technology,Phones,Home Office,Rhode Island,180.2515,758.8
South,Technology,Phones,Home Office,Rhode Island,,
West,Technology,Phones,Home Office,Rhode Island,,
Central,Technology,Phones,Home Office,Louisiana,,
East,Technology,Phones,Home Office,Louisiana,,
South,Technology,Phones,Home Office,Louisiana,173.0156,653.91
West,Technology,Phones,Home Office,Louisiana,,
Central,Technology,Phones,Home Office,Delaware,,
East,Technology,Phones,Home Office,Delaware,170.5113,587.97
South,Technology,Phones,Home Office,Delaware,,
West,Technology,Phones,Home Office,Delaware,,
Central,Technology,Phones,Home Office,Missouri,222.7843,564.92
East,Technology,Phones,Home Office,Missouri,,
South,Technology,Phones,Home Office,Missouri,,
West,Technology,Phones,Home Office,Missouri,,
Central,Technology,Phones,Home Office,Virginia,,
East,Technology,Phones,Home Office,Virginia,,
South,Technology,Phones,Home Office,Virginia,64.7372,515.1
West,Technology,Phones,Home Office,Virginia,,
Central,Technology,Phones,Home Office,Nevada,,
East,Technology,Phones,Home Office,Nevada,,
South,Technology,Phones,Home Office,Nevada,,
West,Technology,Phones,Home Office,Nevada,59.493,475.944
Central,Technology,Phones,Home Office,New Mexico,,
East,Technology,Phones,Home Office,New Mexico,,
South,Technology,Phones,Home Office,New Mexico,,
West,Technology,Phones,Home Office,New Mexico,71.9358,443.112
Central,Technology,Phones,Home Office,Montana,,
East,Technology,Phones,Home Office,Montana,,
South,Technology,Phones,Home Office,Montana,,
West,Technology,Phones,Home Office,Montana,42.495,339.96
Central,Technology,Phones,Home Office,Kansas,10.9584,273.96
East,Technology,Phones,Home Office,Kansas,,
South,Technology,Phones,Home Office,Kansas,,
West,Technology,Phones,Home Office,Kansas,,
Central,Technology,Phones,Home Office,Nebraska,72.8946,269.98
East,Technology,Phones,Home Office,Nebraska,,
South,Technology,Phones,Home Office,Nebraska,,
West,Technology,Phones,Home Office,Nebraska,,
Central,Technology,Phones,Home Office,Tennessee,,
East,Technology,Phones,Home Office,Tennessee,,
South,Technology,Phones,Home Office,Tennessee,17.9982,239.976
West,Technology,Phones,Home Office,Tennessee,,
Central,Technology,Phones,Home Office,Oregon,,
East,Technology,Phones,Home Office,Oregon,,
South,Technology,Phones,Home Office,Oregon,,
West,Technology,Phones,Home Office,Oregon,10.4691,185.472
Central,Technology,Phones,Home Office,Colorado,,
East,Technology,Phones,Home Office,Colorado,,
South,Technology,Phones,Home Office,Colorado,,
West,Technology,Phones,Home Office,Colorado,9.1845,146.952
Central,Technology,Phones,Home Office,Wisconsin,35.2772,125.99
East,Technology,Phones,Home Office,Wisconsin,,
South,Technology,Phones,Home Office,Wisconsin,,
West,Technology,Phones,Home Office,Wisconsin,,
Central,Technology,Phones,Home Office,New Jersey,,
East,Technology,Phones,Home Office,New Jersey,52.49,104.98
South,Technology,Phones,Home Office,New Jersey,,
West,Technology,Phones,Home Office,New Jersey,,
Central,Technology,Phones,Home Office,Alabama,,
East,Technology,Phones,Home Office,Alabama,,
South,Technology,Phones,Home Office,Alabama,23.5248,90.48
West,Technology,Phones,Home Office,Alabama,,
Central,Technology,Phones,Home Office,Mississippi,,
East,Technology,Phones,Home Office,Mississippi,,
South,Technology,Phones,Home Office,Mississippi,0.7794,38.97
West,Technology,Phones,Home Office,Mississippi,,
Central,Technology,Machines,Consumer,New York,,
East,Technology,Machines,Consumer,New York,7833.4454,20679.58
South,Technology,Machines,Consumer,New York,,
West,Technology,Machines,Consumer,New York,,
Central,Technology,Machines,Consumer,California,,
East,Technology,Machines,Consumer,California,,
South,Technology,Machines,Consumer,California,,
West,Technology,Machines,Consumer,California,2128.6417,15504.376
Central,Technology,Machines,Consumer,Texas,-1670.211,10552.962
East,Technology,Machines,Consumer,Texas,,
South,Technology,Machines,Consumer,Texas,,
West,Technology,Machines,Consumer,Texas,,
Central,Technology,Machines,Consumer,Virginia,,
East,Technology,Machines,Consumer,Virginia,,
South,Technology,Machines,Consumer,Virginia,2890.2711,8959.92
West,Technology,Machines,Consumer,Virginia,,
Central,Technology,Machines,Consumer,Ohio,,
East,Technology,Machines,Consumer,Ohio,-9884.5852,7137.243
South,Technology,Machines,Consumer,Ohio,,
West,Technology,Machines,Consumer,Ohio,,
Central,Technology,Machines,Consumer,North Carolina,,
East,Technology,Machines,Consumer,North Carolina,,
South,Technology,Machines,Consumer,North Carolina,-1516.9902,3924.975
West,Technology,Machines,Consumer,North Carolina,,
Central,Technology,Machines,Consumer,Kentucky,,
East,Technology,Machines,Consumer,Kentucky,,
South,Technology,Machines,Consumer,Kentucky,1416.8,3080
West,Technology,Machines,Consumer,Kentucky,,
Central,Technology,Machines,Consumer,Washington,,
East,Technology,Machines,Consumer,Washington,,
South,Technology,Machines,Consumer,Washington,,
West,Technology,Machines,Consumer,Washington,338.9067,2821.792
Central,Technology,Machines,Consumer,District of Columbia,,
East,Technology,Machines,Consumer,District of Columbia,648.5624,1379.92
South,Technology,Machines,Consumer,District of Columbia,,
West,Technology,Machines,Consumer,District of Columbia,,
Central,Technology,Machines,Consumer,Illinois,-19.47,1362.9
East,Technology,Machines,Consumer,Illinois,,
South,Technology,Machines,Consumer,Illinois,,
West,Technology,Machines,Consumer,Illinois,,
Central,Technology,Machines,Consumer,Florida,,
East,Technology,Machines,Consumer,Florida,,
South,Technology,Machines,Consumer,Florida,-37.0071,848.685
West,Technology,Machines,Consumer,Florida,,
Central,Technology,Machines,Consumer,Tennessee,,
East,Technology,Machines,Consumer,Tennessee,,
South,Technology,Machines,Consumer,Tennessee,-272.58,649
West,Technology,Machines,Consumer,Tennessee,,
Central,Technology,Machines,Consumer,New Jersey,,
East,Technology,Machines,Consumer,New Jersey,225.6,480
South,Technology,Machines,Consumer,New Jersey,,
West,Technology,Machines,Consumer,New Jersey,,
Central,Technology,Machines,Consumer,Louisiana,,
East,Technology,Machines,Consumer,Louisiana,,
South,Technology,Machines,Consumer,Louisiana,239.985,479.97
West,Technology,Machines,Consumer,Louisiana,,
Central,Technology,Machines,Consumer,Maryland,,
East,Technology,Machines,Consumer,Maryland,209.2365,464.97
South,Technology,Machines,Consumer,Maryland,,
West,Technology,Machines,Consumer,Maryland,,
Central,Technology,Machines,Consumer,Pennsylvania,,
East,Technology,Machines,Consumer,Pennsylvania,-359.35,460.746
South,Technology,Machines,Consumer,Pennsylvania,,
West,Technology,Machines,Consumer,Pennsylvania,,
Central,Technology,Machines,Consumer,Georgia,,
East,Technology,Machines,Consumer,Georgia,,
South,Technology,Machines,Consumer,Georgia,190.08,396
West,Technology,Machines,Consumer,Georgia,,
Central,Technology,Machines,Consumer,Oregon,,
East,Technology,Machines,Consumer,Oregon,,
South,Technology,Machines,Consumer,Oregon,,
West,Technology,Machines,Consumer,Oregon,-273.9324,209.916
Central,Technology,Machines,Consumer,Indiana,22.653,83.9
East,Technology,Machines,Consumer,Indiana,,
South,Technology,Machines,Consumer,Indiana,,
West,Technology,Machines,Consumer,Indiana,,
Central,Technology,Machines,Consumer,Delaware,,
East,Technology,Machines,Consumer,Delaware,31.0059,65.97
South,Technology,Machines,Consumer,Delaware,,
West,Technology,Machines,Consumer,Delaware,,
Central,Technology,Machines,Corporate,New York,,
East,Technology,Machines,Corporate,New York,3886.5052,10958.22
South,Technology,Machines,Corporate,New York,,
West,Technology,Machines,Corporate,New York,,
Central,Technology,Machines,Corporate,New Jersey,,
East,Technology,Machines,Corporate,New Jersey,2484.3522,9419.85
South,Technology,Machines,Corporate,New Jersey,,
West,Technology,Machines,Corporate,New Jersey,,
Central,Technology,Machines,Corporate,California,,
East,Technology,Machines,Corporate,California,,
South,Technology,Machines,Corporate,California,,
West,Technology,Machines,Corporate,California,1214.4374,9006.872
Central,Technology,Machines,Corporate,North Carolina,,
East,Technology,Machines,Corporate,North Carolina,,
South,Technology,Machines,Corporate,North Carolina,-3867.8184,8695.68
West,Technology,Machines,Corporate,North Carolina,,
Central,Technology,Machines,Corporate,Texas,-1041.5004,8656.752
East,Technology,Machines,Corporate,Texas,,
South,Technology,Machines,Corporate,Texas,,
West,Technology,Machines,Corporate,Texas,,
Central,Technology,Machines,Corporate,Michigan,679.996,3059.982
East,Technology,Machines,Corporate,Michigan,,
South,Technology,Machines,Corporate,Michigan,,
West,Technology,Machines,Corporate,Michigan,,
Central,Technology,Machines,Corporate,Alabama,,
East,Technology,Machines,Corporate,Alabama,,
South,Technology,Machines,Corporate,Alabama,1459.2,3040
West,Technology,Machines,Corporate,Alabama,,
Central,Technology,Machines,Corporate,Nevada,,
East,Technology,Machines,Corporate,Nevada,,
South,Technology,Machines,Corporate,Nevada,,
West,Technology,Machines,Corporate,Nevada,179.73,2396.4
Central,Technology,Machines,Corporate,Ohio,,
East,Technology,Machines,Corporate,Ohio,-1886.3595,1840.995
South,Technology,Machines,Corporate,Ohio,,
West,Technology,Machines,Corporate,Ohio,,
Central,Technology,Machines,Corporate,Pennsylvania,,
East,Technology,Machines,Corporate,Pennsylvania,-1859.8956,1672.971
South,Technology,Machines,Corporate,Pennsylvania,,
West,Technology,Machines,Corporate,Pennsylvania,,
Central,Technology,Machines,Corporate,Washington,,
East,Technology,Machines,Corporate,Washington,,
