Orders.Order Date.Variation.Date Hierarchy.Year,Orders.City,Sum(Orders.Profit)
2014,Carlsbad,
2015,Carlsbad,
2016,Carlsbad,24.95199999999999
2017,Carlsbad,132.8141
2014,Carol Stream,
2015,Carol Stream,-39.86830000000013
2016,Carol Stream,
2017,Carol Stream,
2014,Carrollton,18.6866
2015,Carrollton,-563.2456000000002
2016,Carrollton,82.51790000000001
2017,Carrollton,-8.17280000000001
2014,Cary,32.498899999999985
2015,Cary,21.539699999999996
2016,Cary,
2017,Cary,
2014,Cedar Hill,2.477999999999999
2015,Cedar Hill,
2016,Cedar Hill,
2017,Cedar Hill,40.353599999999986
2014,Cedar Rapids,
2015,Cedar Rapids,
2016,Cedar Rapids,80.73599999999998
2017,Cedar Rapids,
2014,Champaign,
2015,Champaign,-182.35200000000003
2016,Champaign,
2017,Champaign,
2014,Chandler,-57.65290000000001
2015,Chandler,
2016,Chandler,
2017,Chandler,139.11339999999987
2014,Chapel Hill,
2015,Chapel Hill,
2016,Chapel Hill,
2017,Chapel Hill,4.7303999999999995
2014,Charlotte,-759.2519000000005
2015,Charlotte,6.774899999999999
2016,Charlotte,-81.8889000000002
2017,Charlotte,404.5834999999998
2014,Charlottesville,
2015,Charlottesville,12.232799999999997
2016,Charlottesville,
2017,Charlottesville,10.395
2014,Chattanooga,
2015,Chattanooga,
2016,Chattanooga,-16.666299999999993
2017,Chattanooga,43.85809999999995
2014,Chesapeake,690.4106
2015,Chesapeake,102.71600000000002
2016,Chesapeake,388.8764
2017,Chesapeake,80.78400000000002
2014,Chester,-20.035499999999992
2015,Chester,113.41789999999995
2016,Chester,
2017,Chester,-45.02460000000001
2014,Cheyenne,
2015,Cheyenne,
2016,Cheyenne,100.19599999999997
2017,Cheyenne,
2014,Chicago,-151.66670000000053
2015,Chicago,-5.5455000000005015
2016,Chicago,-796.2262000000003
2017,Chicago,-5701.130400000001
2014,Chico,
2015,Chico,219.1698999999999
2016,Chico,
2017,Chico,-14.044500000000056
2014,Chula Vista,85.98179999999999
2015,Chula Vista,106.54079999999999
2016,Chula Vista,55.91199999999998
2017,Chula Vista,
2014,Cincinnati,4.111899999999996
2015,Cincinnati,-4.640999999999998
2016,Cincinnati,91.29719999999992
2017,Cincinnati,84.56899999999997
2014,Citrus Heights,
2015,Citrus Heights,
2016,Citrus Heights,
2017,Citrus Heights,54.34380000000001
2014,Clarksville,11.247599999999995
2015,Clarksville,-1053.36
2016,Clarksville,
2017,Clarksville,-13.240800000000036
2014,Cleveland,-203.57149999999996
2015,Cleveland,-151.2188
2016,Cleveland,-216.9819
2017,Cleveland,-276.2357000000001
2014,Clifton,98.58839999999998
2015,Clifton,
2016,Clifton,
2017,Clifton,
2014,Clinton,169.0512
2015,Clinton,1074.9996
2016,Clinton,-38.31210000000003
2017,Clinton,68.50340000000003
2014,Clovis,
2015,Clovis,
2016,Clovis,
2017,Clovis,11.63519999999999
2014,Coachella,
2015,Coachella,
2016,Coachella,
2017,Coachella,47.1736
2014,College Station,
2015,College Station,
2016,College Station,
2017,College Station,-117.6224
2014,Colorado Springs,20.869200000000006
2015,Colorado Springs,-1100.0097
2016,Colorado Springs,122.4563999999999
2017,Colorado Springs,
2014,Columbia,696.2563000000001
2015,Columbia,2188.6839999999997
2016,Columbia,1885.7241000000006
2017,Columbia,835.4523000000002
2014,Columbus,63.15570000000014
2015,Columbus,1015.8831999999998
2016,Columbus,1202.8081000000006
2017,Columbus,3615.2542999999987
2014,Commerce City,
2015,Commerce City,
2016,Commerce City,
2017,Commerce City,-32.9292
2014,Concord,151.80899999999994
2015,Concord,-1727.8974000000003
2016,Concord,241.00569999999996
2017,Concord,616.4437999999999
2014,Conroe,
2015,Conroe,
2016,Conroe,6.979499999999991
2017,Conroe,
2014,Conway,
2015,Conway,45.29399999999998
2016,Conway,
2017,Conway,
2014,Coon Rapids,136.45319999999998
2015,Coon Rapids,
2016,Coon Rapids,
2017,Coon Rapids,
2014,Coppell,
2015,Coppell,34.742
2016,Coppell,
2017,Coppell,6.747199999999999
2014,Coral Gables,
2015,Coral Gables,
2016,Coral Gables,22.3578
2017,Coral Gables,
2014,Coral Springs,
2015,Coral Springs,32.77680000000001
2016,Coral Springs,
2017,Coral Springs,-14.21999999999999
2014,Corpus Christi,-66.9654
2015,Corpus Christi,
2016,Corpus Christi,
2017,Corpus Christi,23.234999999999992
2014,Costa Mesa,
2015,Costa Mesa,12.856800000000002
2016,Costa Mesa,163.2002
2017,Costa Mesa,121.15190000000001
2014,Cottage Grove,54.796800000000005
2015,Cottage Grove,
2016,Cottage Grove,
2017,Cottage Grove,
2014,Covington,
2015,Covington,13.132000000000001
2016,Covington,101.9774
2017,Covington,
2014,Cranston,472.08439999999996
2015,Cranston,
2016,Cranston,
2017,Cranston,165.4133
2014,Cuyahoga Falls,
2015,Cuyahoga Falls,1.2527999999999997
2016,Cuyahoga Falls,-1.4760000000000004
2017,Cuyahoga Falls,-12.352
2014,Dallas,-241.28929999999997
2015,Dallas,-621.4942000000005
2016,Dallas,240.7135999999997
2017,Dallas,-2224.455800000001
2014,Danbury,
2015,Danbury,
2016,Danbury,
2017,Danbury,9.8856
2014,Danville,
2015,Danville,
2016,Danville,
2017,Danville,213.04529999999988
2014,Davis,
2015,Davis,
2016,Davis,15.552000000000001
2017,Davis,
2014,Daytona Beach,
2015,Daytona Beach,-52.333999999999996
2016,Daytona Beach,
2017,Daytona Beach,
2014,Dearborn,
2015,Dearborn,444.26719999999995
2016,Dearborn,
2017,Dearborn,23.1192
2014,Dearborn Heights,50.844300000000004
2015,Dearborn Heights,
2016,Dearborn Heights,
2017,Dearborn Heights,90.0462
2014,Decatur,618.8935000000001
2015,Decatur,436.2753
2016,Decatur,-69.23600000000006
2017,Decatur,-296.87720000000024
2014,Deer Park,
2015,Deer Park,
2016,Deer Park,-10.386
2017,Deer Park,
2014,Delray Beach,3.2213999999999996
2015,Delray Beach,
2016,Delray Beach,25.832799999999995
2017,Delray Beach,
2014,Deltona,82.33399999999999
2015,Deltona,37.79159999999999
2016,Deltona,
2017,Deltona,2.0087999999999973
2014,Denver,182.76209999999963
2015,Denver,124.34920000000007
2016,Denver,-136.56630000000018
2017,Denver,-415.4649999999999
2014,Des Moines,872.8476999999999
2015,Des Moines,21.404799999999998
2016,Des Moines,610.5527000000001
2017,Des Moines,105.9391
2014,Des Plaines,-284.7474000000001
2015,Des Plaines,
2016,Des Plaines,
2017,Des Plaines,47.97999999999999
2014,Detroit,529.1686
2015,Detroit,1849.4326000000003
2016,Detroit,7385.8329
2017,Detroit,3417.3566999999994
2014,Dover,108.05420000000001
2015,Dover,802.4011
2016,Dover,111.0388
2017,Dover,
2014,Draper,34.698299999999996
2015,Draper,
2016,Draper,
2017,Draper,58.02719999999999
2014,Dublin,
2015,Dublin,-365.987
2016,Dublin,
2017,Dublin,16.057500000000033
2014,Dubuque,
2015,Dubuque,477.67440000000005
2016,Dubuque,
2017,Dubuque,
2014,Durham,5.082
2015,Durham,105.90429999999998
2016,Durham,
2017,Durham,5.8835999999999995
2014,Eagan,
2015,Eagan,34.183800000000005
2016,Eagan,27.9776
2017,Eagan,24.8724
2014,East Orange,
2015,East Orange,
2016,East Orange,160.9451
2017,East Orange,13.674000000000003
2014,East Point,
2015,East Point,102.01379999999999
2016,East Point,
2017,East Point,
2014,Eau Claire,45.839999999999996
2015,Eau Claire,163.92079999999999
2016,Eau Claire,209.2714
2017,Eau Claire,8.465600000000002
2014,Edinburg,
2015,Edinburg,
2016,Edinburg,26.979799999999997
2017,Edinburg,0.8287999999999999
2014,Edmond,
2015,Edmond,
2016,Edmond,243.1039
2017,Edmond,
2014,Edmonds,379.4923999999999
2015,Edmonds,
2016,Edmonds,148.34780000000003
2017,Edmonds,106.4076
2014,El Cajon,47.84800000000001
2015,El Cajon,
2016,El Cajon,4.839199999999991
2017,El Cajon,
2014,El Paso,-19.969599999999993
2015,El Paso,-2.0364000000000004
2016,El Paso,4.2408
2017,El Paso,-162.1355000000001
2014,Elkhart,
2015,Elkhart,
2016,Elkhart,
2017,Elkhart,16.672099999999997
2014,Elmhurst,-166.43880000000001
2015,Elmhurst,
2016,Elmhurst,-45.6933
2017,Elmhurst,
2014,Elyria,
2015,Elyria,
2016,Elyria,
2017,Elyria,-1.3983999999999996
2014,Encinitas,
2015,Encinitas,
2016,Encinitas,9.821399999999992
2017,Encinitas,61.2374
2014,Englewood,
2015,Englewood,
2016,Englewood,13.7547
2017,Englewood,
2014,Escondido,21.679399999999994
2015,Escondido,
2016,Escondido,
2017,Escondido,6.073599999999999
2014,Eugene,
2015,Eugene,
2016,Eugene,134.0371999999999
2017,Eugene,
2014,Evanston,-70.10430000000002
2015,Evanston,481.0886999999999
2016,Evanston,0.8993999999999991
2017,Evanston,
2014,Everett,312.9472000000001
2015,Everett,531.3104000000001
2016,Everett,
2017,Everett,517.2211
2014,Fairfield,180.69719999999992
2015,Fairfield,122.2936
2016,Fairfield,187.40079999999995
2017,Fairfield,719.9203
2014,Fargo,
2015,Fargo,
2016,Fargo,
2017,Fargo,230.14969999999997
2014,Farmington,
2015,Farmington,0.3864000000000001
2016,Farmington,
2017,Farmington,169.0251
2014,Fayetteville,893.2176999999999
2015,Fayetteville,50.8242
2016,Fayetteville,418.01170000000013
2017,Fayetteville,456.6156
2014,Florence,240.60270000000003
2015,Florence,1638.7096999999994
2016,Florence,21.628200000000003
2017,Florence,268.0254999999999
2014,Fort Collins,
2015,Fort Collins,
2016,Fort Collins,9.832800000000006
2017,Fort Collins,-262.5254
2014,Fort Lauderdale,243.6048
2015,Fort Lauderdale,-380.5146000000001
2016,Fort Lauderdale,-57.87200000000001
2017,Fort Lauderdale,33.42669999999986
2014,Fort Worth,537.2533999999999
2015,Fort Worth,70.85090000000014
2016,Fort Worth,-81.46789999999997
2017,Fort Worth,-227.90370000000007
2014,Frankfort,
2015,Frankfort,-52.95840000000001
2016,Frankfort,26.902399999999993
2017,Frankfort,
2014,Franklin,-36.05020000000002
2015,Franklin,409.45209999999975
2016,Franklin,1563.1253999999997
2017,Franklin,-271.65939999999983
2014,Freeport,9.995999999999999
2015,Freeport,101.325
2016,Freeport,
2017,Freeport,-131.40900000000002
2014,Fremont,
2015,Fremont,
2016,Fremont,36.342
2017,Fremont,143.1276
2014,Fresno,282.69960000000003
2015,Fresno,
2016,Fresno,282
2017,Fresno,383.5684999999999
2014,Frisco,
2015,Frisco,-1.3583999999999987
2016,Frisco,
2017,Frisco,-17.443199999999997
2014,Gaithersburg,
2015,Gaithersburg,
2016,Gaithersburg,105.54099999999998
2017,Gaithersburg,
2014,Garden City,74.8142
2015,Garden City,7.822099999999999
2016,Garden City,
2017,Garden City,7.989599999999999
2014,Garland,-7.475999999999999
2015,Garland,
2016,Garland,
2017,Garland,-24.897000000000013
2014,Gastonia,
2015,Gastonia,
2016,Gastonia,-14.743600000000043
2017,Gastonia,
2014,Georgetown,
2015,Georgetown,
2016,Georgetown,345.20920000000007
2017,Georgetown,57.5508
2014,Gilbert,174.29039999999998
2015,Gilbert,106.08419999999987
2016,Gilbert,
2017,Gilbert,-142.1216
2014,Gladstone,
2015,Gladstone,
2016,Gladstone,
2017,Gladstone,52.58879999999999
2014,Glendale,27.60869999999997
2015,Glendale,14.123399999999984
2016,Glendale,112.97409999999995
2017,Glendale,28.15360000000004
2014,Glenview,
2015,Glenview,13.857900000000008
2016,Glenview,
2017,Glenview,
2014,Goldsboro,
2015,Goldsboro,
2016,Goldsboro,3.0576000000000008
2017,Goldsboro,
2014,Grand Island,
2015,Grand Island,
2016,Grand Island,
2017,Grand Island,7.98
2014,Grand Prairie,-57.73160000000003
2015,Grand Prairie,-23.454800000000027
2016,Grand Prairie,-19.53460000000001
2017,Grand Prairie,15.489899999999977
2014,Grand Rapids,9.5256
2015,Grand Rapids,
2016,Grand Rapids,96.8401
2017,Grand Rapids,127.55699999999999
2014,Grapevine,
2015,Grapevine,
2016,Grapevine,8.774899999999995
2017,Grapevine,
2014,Great Falls,127.15560000000002
2015,Great Falls,
2016,Great Falls,
2017,Great Falls,1455.5514999999998
2014,Greeley,
2015,Greeley,
2016,Greeley,
2017,Greeley,10.3614
2014,Green Bay,206.31600000000006
2015,Green Bay,
2016,Green Bay,11.9364
2017,Green Bay,10.223999999999998
2014,Greensboro,-45.31689999999999
2015,Greensboro,8.084999999999997
2016,Greensboro,-5.419299999999998
2017,Greensboro,-80.30220000000004
2014,Greenville,-571.9956
2015,Greenville,
2016,Greenville,39.34739999999998
2017,Greenville,-16.34020000000001
2014,Greenwood,
2015,Greenwood,
2016,Greenwood,356.225
2017,Greenwood,115.5072
2014,Gresham,156.30880000000008
2015,Gresham,
2016,Gresham,-5.444399999999995
2017,Gresham,
2014,Grove City,
2015,Grove City,
2016,Grove City,
2017,Grove City,13.195199999999991
2014,Gulfport,
2015,Gulfport,
2016,Gulfport,53.718
2017,Gulfport,23.8581
2014,Hackensack,451.25469999999996
2015,Hackensack,
2016,Hackensack,
2017,Hackensack,
2014,Hagerstown,
2015,Hagerstown,
2016,Hagerstown,
2017,Hagerstown,20.586
2014,Haltom City,
2015,Haltom City,51.955799999999996
2016,Haltom City,
2017,Haltom City,
2014,Hamilton,-18.679000000000023
2015,Hamilton,
2016,Hamilton,9.293999999999997
2017,Hamilton,
2014,Hampton,616.3830999999999
2015,Hampton,261.7944
2016,Hampton,75.6548
2017,Hampton,
2014,Harlingen,
2015,Harlingen,
2016,Harlingen,4.056899999999995
2017,Harlingen,14.070600000000002
2014,Harrisonburg,868.2143
2015,Harrisonburg,14.3856
2016,Harrisonburg,
2017,Harrisonburg,6.9239999999999995
2014,Hattiesburg,
2015,Hattiesburg,105.46800000000002
2016,Hattiesburg,363.4222000000001
2017,Hattiesburg,113.17920000000001
2014,Helena,
2015,Helena,64.24819999999994
2016,Helena,
2017,Helena,10.373999999999999
2014,Hempstead,44.29559999999999
2015,Hempstead,98.19680000000002
2016,Hempstead,482.66200000000003
2017,Hempstead,3.9102000000000006
2014,Henderson,1400.0974999999996
2015,Henderson,599.1645000000001
2016,Henderson,805.0328000000001
2017,Henderson,2107.5661
2014,Hendersonville,
2015,Hendersonville,
2016,Hendersonville,-10.956599999999998
2017,Hendersonville,-34.43010000000001
2014,Hesperia,
2015,Hesperia,
2016,Hesperia,136.7385
2017,Hesperia,-38.21160000000003
2014,Hialeah,-223.47129999999993
2015,Hialeah,-1.9791000000000025
2016,Hialeah,21.829799999999977
2017,Hialeah,24.393100000000015
2014,Hickory,
2015,Hickory,
2016,Hickory,2.7143999999999995
2017,Hickory,-3.8100000000000005
2014,Highland Park,
2015,Highland Park,-169.70299999999992
2016,Highland Park,-0.2376000000001035
2017,Highland Park,
2014,Hillsboro,
2015,Hillsboro,-1.607199999999998
2016,Hillsboro,
2017,Hillsboro,3.1527000000000003
2014,Holland,
2015,Holland,3.5999999999999996
2016,Holland,63.0588
2017,Holland,
2014,Hollywood,63.673399999999965
2015,Hollywood,10.666599999999999
2016,Hollywood,14.563199999999998
2017,Hollywood,19.29800000000002
2014,Holyoke,
2015,Holyoke,60.391999999999996
2016,Holyoke,
2017,Holyoke,
2014,Homestead,
2015,Homestead,
2016,Homestead,7.457100000000004
2017,Homestead,14.871999999999998
2014,Hoover,
2015,Hoover,
2016,Hoover,
2017,Hoover,18.71730000000001
2014,Hot Springs,
2015,Hot Springs,2.9989999999999988
2016,Hot Springs,59.084799999999994
2017,Hot Springs,
2014,Houston,-3085.2932000000014
2015,Houston,129.46069999999932
2016,Houston,-3343.9764000000027
2017,Houston,-3853.7396000000003
2014,Huntington Beach,8.4038
2015,Huntington Beach,
2016,Huntington Beach,5.7509999999999994
2017,Huntington Beach,865.8844000000001
2014,Huntsville,-68.97109999999992
2015,Huntsville,-135.10100000000006
2016,Huntsville,403.5738000000001
2017,Huntsville,-37.67090000000008
2014,Independence,
2015,Independence,
2016,Independence,
2017,Independence,975.663
2014,Indianapolis,552.6084
2015,Indianapolis,510.6712
2016,Indianapolis,15.938399999999998
2017,Indianapolis,1662.4358
2014,Inglewood,
2015,Inglewood,
2016,Inglewood,
2017,Inglewood,1026.696
2014,Iowa City,
2015,Iowa City,
2016,Iowa City,4.4955
2017,Iowa City,
2014,Irving,7.767900000000001
2015,Irving,
2016,Irving,-108.28040000000004
2017,Irving,
2014,Jackson,709.5633999999999
2015,Jackson,484.11000000000007
2016,Jackson,1867.1035000000002
2017,Jackson,4520.9059
2014,Jacksonville,-2088.2107000000024
2015,Jacksonville,343.0893999999997
2016,Jacksonville,1.4863999999999749
2017,Jacksonville,-580.2001000000002
2014,Jamestown,1285.7715000000003
2015,Jamestown,
2016,Jamestown,
2017,Jamestown,
2014,Jefferson City,
2015,Jefferson City,
2016,Jefferson City,8.661999999999992
2017,Jefferson City,
2014,Johnson City,37.39760000000001
2015,Johnson City,
2016,Johnson City,-45.47179999999999
2017,Johnson City,19.930400000000006
2014,Jonesboro,609.7289
2015,Jonesboro,
2016,Jonesboro,132.95399999999998
2017,Jonesboro,58.428399999999996
2014,Jupiter,
2015,Jupiter,
2016,Jupiter,
2017,Jupiter,0.15480000000000005
2014,Keller,
2015,Keller,
2016,Keller,
2017,Keller,2.0999999999999996
2014,Kenner,
2015,Kenner,
2016,Kenner,19.797600000000003
2017,Kenner,
2014,Kenosha,
2015,Kenosha,884.0908
2016,Kenosha,
2017,Kenosha,143.982
2014,Kent,87.8887
2015,Kent,
2016,Kent,16.894799999999996
2017,Kent,487.01210000000003
2014,Kirkwood,
2015,Kirkwood,47.1344
2016,Kirkwood,
2017,Kirkwood,
2014,Kissimmee,
2015,Kissimmee,
2016,Kissimmee,
2017,Kissimmee,84.59819999999988
2014,Knoxville,-154.19969999999998
2015,Knoxville,
2016,Knoxville,21.576000000000008
2017,Knoxville,-1032.4518
2014,La Crosse,
2015,La Crosse,
2016,La Crosse,272.0761
2017,La Crosse,
2014,La Mesa,
2015,La Mesa,
2016,La Mesa,
2017,La Mesa,114.38699999999996
2014,La Porte,
2015,La Porte,
2016,La Porte,160.3988
2017,La Porte,31.58699999999996
2014,La Quinta,
2015,La Quinta,18.0648
2016,La Quinta,
2017,La Quinta,
2014,Lafayette,67.975
2015,Lafayette,177.60479999999995
2016,Lafayette,8789.823099999998
2017,Lafayette,982.9847000000003
2014,Laguna Niguel,
2015,Laguna Niguel,
2016,Laguna Niguel,6.3504000000000005
2017,Laguna Niguel,35.631099999999975
2014,Lake Charles,21.601200000000002
2015,Lake Charles,
2016,Lake Charles,
2017,Lake Charles,219.6546
2014,Lake Elsinore,
2015,Lake Elsinore,17.74500000000002
2016,Lake Elsinore,
2017,Lake Elsinore,
2014,Lake Forest,
2015,Lake Forest,
2016,Lake Forest,155.73699999999988
2017,Lake Forest,171.79439999999997
2014,Lakeland,158.63229999999993
2015,Lakeland,-139.56910000000022
2016,Lakeland,-255.5875000000001
2017,Lakeland,47.88779999999998
2014,Lakeville,1262.8653
2015,Lakeville,38.970000000000006
2016,Lakeville,
2017,Lakeville,44.7668
2014,Lakewood,628.9069999999999
2015,Lakewood,128.32779999999997
2016,Lakewood,2192.4936
2017,Lakewood,284.29939999999965
2014,Lancaster,-71.9382
2015,Lancaster,40.24889999999998
2016,Lancaster,-6823.072300000001
2017,Lancaster,-384.30679999999995
2014,Lansing,
2015,Lansing,326.2745999999999
2016,Lansing,32.16
2017,Lansing,54.438799999999986
2014,Laredo,74.1688
2015,Laredo,
2016,Laredo,-128.7827
2017,Laredo,
2014,Las Cruces,
2015,Las Cruces,26.563999999999997
2016,Las Cruces,
2017,Las Cruces,17.3754
2014,Las Vegas,19.2384
2015,Las Vegas,195.6042
2016,Las Vegas,
2017,Las Vegas,117.60069999999997
2014,Laurel,
2015,Laurel,
2016,Laurel,
2017,Laurel,46.17329999999998
2014,Lawrence,525.3924000000001
2015,Lawrence,577.1664000000001
2016,Lawrence,165.5163
2017,Lawrence,1114.0714000000003
2014,Lawton,157.4166
2015,Lawton,
2016,Lawton,
2017,Lawton,78.09189999999998
2014,Layton,
2015,Layton,2.3312
2016,Layton,
2017,Layton,
2014,League City,-4.560399999999948
2015,League City,
2016,League City,
2017,League City,-26.789499999999997
2014,Lebanon,
2015,Lebanon,6.372
2016,Lebanon,17.998199999999997
2017,Lebanon,59.4355
2014,Lehi,
2015,Lehi,1.6776
2016,Lehi,449.9849999999999
2017,Lehi,
2014,Leominster,
2015,Leominster,79.50160000000001
2016,Leominster,
2017,Leominster,
2014,Lewiston,3.3543999999999996
2015,Lewiston,32.2658
2016,Lewiston,
2017,Lewiston,
2014,Lincoln Park,
2015,Lincoln Park,38.62830000000001
2016,Lincoln Park,29.7408
2017,Lincoln Park,
2014,Linden,49.60480000000001
2015,Linden,
2016,Linden,
2017,Linden,
2014,Lindenhurst,
